[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
3053  0x0002381a 0x0042441a 6   7    sect_0  ascii   ='\fXQj
3054  0x00023833 0x00424433 5   6    sect_0  ascii   T@'`\b
3055  0x000238bd 0x004244bd 7   8    sect_0  ascii   #|@tnxo
3056  0x000238da 0x004244da 7   9    sect_0  utf8    <\eԲe,,\b blocks=Basic Latin,Armenian
3057  0x00023916 0x00424516 5   7    sect_0  utf8    ݞB:UR blocks=Arabic Supplement,Basic Latin
3058  0x00023923 0x00424523 4   5    sect_0  ascii   }D\b|
3059  0x00023931 0x00424531 5   6    sect_0  ascii   p-Q}1
3060  0x000239c2 0x004245c2 5   6    sect_0  ascii   7`\OG
3061  0x000239e7 0x004245e7 6   8    sect_0  utf8    \v;\ni4֊ blocks=Basic Latin,Armenian
3062  0x00023a11 0x00424611 6   9    sect_0  utf8    ܭú?\e5I blocks=Syriac,Latin-1 Supplement,Basic Latin
3063  0x00023a38 0x00424638 4   5    sect_0  ascii   )W$Z
3064  0x00023a3d 0x0042463d 5   6    sect_0  ascii   x,*M\f
3065  0x00023a8f 0x0042468f 4   5    sect_0  ascii   id}\a
3066  0x00023aae 0x004246ae 4   5    sect_0  ascii   t{^o
3067  0x00023ade 0x004246de 6   9    sect_0  utf8    *\bSL'吴 blocks=Basic Latin,CJK Unified Ideographs
3068  0x00023af0 0x004246f0 4   5    sect_0  ascii   &5'q
3069  0x00023afe 0x004246fe 4   6    sect_0  utf8    ܗEKG blocks=Syriac,Basic Latin
3070  0x00023b0c 0x0042470c 4   5    sect_0  ascii   ,iIP
3071  0x00023b3a 0x0042473a 5   6    sect_0  ascii   #nLHn
3072  0x00023baa 0x004247aa 6   7    sect_0  ascii   Z%NihP
3073  0x00023bf4 0x004247f4 4   5    sect_0  ascii   bLO[
3074  0x00023c28 0x00424828 4   5    sect_0  ascii   kn<}
3075  0x00023c6e 0x0042486e 4   5    sect_0  ascii   Hlge
3076  0x00023c74 0x00424874 5   6    sect_0  ascii   NL^Uv
3077  0x00023ca4 0x004248a4 5   7    sect_0  utf8    mǝ6'0 blocks=Basic Latin,Latin Extended-B
3078  0x00023cad 0x004248ad 4   5    sect_0  ascii   \/!]
3079  0x00023ce9 0x004248e9 4   5    sect_0  ascii   \r2@,
3080  0x00023d27 0x00424927 5   7    sect_0  utf8    Ape1Ο blocks=Basic Latin,Greek and Coptic
3081  0x00023d5c 0x0042495c 4   5    sect_0  ascii   1+O$
3082  0x00023df6 0x004249f6 4   5    sect_0  ascii   F{p1
3083  0x00023e10 0x00424a10 4   5    sect_0  ascii   ;~\rK
3084  0x00023e1e 0x00424a1e 4   7    sect_0  utf8    m\t⣋x blocks=Basic Latin,Braille Patterns
3085  0x00023e6f 0x00424a6f 4   5    sect_0  ascii   `6:.
3086  0x00023e7c 0x00424a7c 4   5    sect_0  ascii   /FW4
3087  0x00023eaf 0x00424aaf 7   8    sect_0  ascii   _Y9##Xq
3088  0x00023eb9 0x00424ab9 7   8    sect_0  ascii   iGF8lG+
3089  0x00023ecf 0x00424acf 4   6    sect_0  utf8    V˶jU blocks=Basic Latin,Spacing Modifier Letters
3090  0x00023f39 0x00424b39 8   10   sect_0  utf8    Χkt[<HX_ blocks=Greek and Coptic,Basic Latin
3091  0x00023f4f 0x00424b4f 5   6    sect_0  ascii   DxA%O
3092  0x0002402e 0x00424c2e 7   8    sect_0  ascii   \|: K3/
3093  0x00024062 0x00424c62 4   5    sect_0  ascii   r^6f
3094  0x000240ab 0x00424cab 7   8    sect_0  ascii   |o!\n)HK
3095  0x000240bc 0x00424cbc 4   5    sect_0  ascii   u1O]
3096  0x000240ce 0x00424cce 4   5    sect_0  ascii   oE!\
3097  0x000240ec 0x00424cec 4   5    sect_0  ascii   HL/W
3098  0x0002412d 0x00424d2d 4   7    sect_0  utf8    %)棓D blocks=Basic Latin,CJK Unified Ideographs
3099  0x0002414f 0x00424d4f 5   6    sect_0  ascii   WPj^m
3100  0x00024161 0x00424d61 4   5    sect_0  ascii   Tu/a
3101  0x0002416a 0x00424d6a 4   7    sect_0  utf8    ī@sǝ blocks=Latin Extended-A,Basic Latin,Latin Extended-B
3102  0x00024174 0x00424d74 4   5    sect_0  ascii   K:`d
3103  0x00024185 0x00424d85 4   5    sect_0  ascii   plG6
3104  0x0002418e 0x00424d8e 6   7    sect_0  ascii   6mrUDL
3105  0x00024198 0x00424d98 4   5    sect_0  ascii   I"XT
3106  0x000241bd 0x00424dbd 4   5    sect_0  ascii   Ml:5
3107  0x00024214 0x00424e14 4   5    sect_0  ascii   BF1\n
3108  0x00024251 0x00424e51 4   5    sect_0  ascii   NDW'
3109  0x00024281 0x00424e81 5   8    sect_0  utf8    7~Ǖ\v̟ blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
3110  0x00024297 0x00424e97 4   6    sect_0  utf8    \t^ЏT blocks=Basic Latin,Cyrillic
3111  0x000242a0 0x00424ea0 5   6    sect_0  ascii   \b'w53
3112  0x000242af 0x00424eaf 5   7    sect_0  utf8    {]=/֨ blocks=Basic Latin,Hebrew
3113  0x000242d1 0x00424ed1 4   5    sect_0  ascii   Y0rO
3114  0x000242de 0x00424ede 4   5    sect_0  ascii   \tV;r
3115  0x000242fb 0x00424efb 4   5    sect_0  ascii   6\fh:
3116  0x0002430a 0x00424f0a 7   9    sect_0  utf8    uИT$pIT blocks=Basic Latin,Cyrillic
3117  0x0002431c 0x00424f1c 4   5    sect_0  ascii   k>Ho
3118  0x00024343 0x00424f43 4   5    sect_0  ascii   #F#b
3119  0x00024377 0x00424f77 7   10   sect_0  utf8    *<\nZȍlҠ blocks=Basic Latin,Latin Extended-B,Cyrillic
3120  0x00024399 0x00424f99 4   5    sect_0  ascii   76N_
3121  0x0002439e 0x00424f9e 4   6    sect_0  utf8    j/ەa blocks=Basic Latin,Arabic
3122  0x000243b8 0x00424fb8 5   6    sect_0  ascii   S4p;V
3123  0x00024417 0x00425017 7   9    sect_0  utf8    lޙRuw05 blocks=Basic Latin,Thaana
3124  0x0002443d 0x0042503d 6   8    sect_0  utf8    nB=3-Ë blocks=Basic Latin,Latin-1 Supplement
3125  0x00024472 0x00425072 4   5    sect_0  ascii    \b\t\
3126  0x0002447d 0x0042507d 4   5    sect_0  ascii   +\b4e
3127  0x000244b0 0x004250b0 4   5    sect_0  ascii   hr=V
3128  0x000244be 0x004250be 9   11   sect_0  utf8    0NvU3$Х\en blocks=Basic Latin,Cyrillic
3129  0x000244e8 0x004250e8 4   5    sect_0  ascii   >KN\v
3130  0x0002452b 0x0042512b 4   5    sect_0  ascii   e"mU
3131  0x00024545 0x00425145 6   7    sect_0  ascii   h0*z+\r
3132  0x00024578 0x00425178 4   5    sect_0  ascii   \v[Y\r
3133  0x000245a9 0x004251a9 9   10   sect_0  ascii   W;EmA+{<5
3134  0x00024622 0x00425222 5   7    sect_0  utf8    u9#yѡ blocks=Basic Latin,Cyrillic
3135  0x00024643 0x00425243 4   6    sect_0  utf8    }ߌB6 blocks=Basic Latin,NKo
3136  0x00024651 0x00425251 5   8    sect_0  utf8    \n(ꤿH[ blocks=Basic Latin,Rejang
3137  0x000246af 0x004252af 4   5    sect_0  ascii   N{^\t
3138  0x000246b7 0x004252b7 4   5    sect_0  ascii   #$so
3139  0x000246c1 0x004252c1 5   7    sect_0  utf8    <ÍMYt blocks=Basic Latin,Latin-1 Supplement
3140  0x000246ef 0x004252ef 4   7    sect_0  utf8    ̭p˰9 blocks=Combining Diacritical Marks,Basic Latin,Spacing Modifier Letters
3141  0x00024706 0x00425306 4   7    sect_0  utf8    BεNʢ blocks=Basic Latin,Greek and Coptic,IPA Extensions
3142  0x00024712 0x00425312 4   5    sect_0  ascii   \r.,m
3143  0x00024752 0x00425352 4   7    sect_0  utf8    ֡ąl@ blocks=Hebrew,Latin Extended-A,Basic Latin
3144  0x0002476b 0x0042536b 4   5    sect_0  ascii   f\tTa
3145  0x00024788 0x00425388 5   6    sect_0  ascii   \n#!h~
3146  0x000247ab 0x004253ab 4   5    sect_0  ascii   &x j
3147  0x000247c3 0x004253c3 6   7    sect_0  ascii    \vx_^I
3148  0x0002487f 0x0042547f 4   6    sect_0  utf8    iɲ \n blocks=Basic Latin,IPA Extensions
3149  0x000248bd 0x004254bd 4   5    sect_0  ascii   \eBr<
3150  0x000248c9 0x004254c9 9   12   sect_0  utf8    fs40Du ڶω blocks=Basic Latin,Arabic,Greek and Coptic
3151  0x000248d8 0x004254d8 4   7    sect_0  utf8    |o]枅 blocks=Basic Latin,CJK Unified Ideographs
3152  0x00024920 0x00425520 6   7    sect_0  ascii   k21\nhB
3153  0x00024937 0x00425537 9   10   sect_0  ascii   \rc@)9MKW:
3154  0x00024991 0x00425591 4   5    sect_0  ascii   Y\Bz
3155  0x000249b6 0x004255b6 6   7    sect_0  ascii   \fFNv\vn
3156  0x000249dd 0x004255dd 6   7    sect_0  ascii   ItRyzd
3157  0x00024a50 0x00425650 4   5    sect_0  ascii   n?>R
3158  0x00024ab0 0x004256b0 7   8    sect_0  ascii   zzoxEci
3159  0x00024abe 0x004256be 5   6    sect_0  ascii   n[,e\t
3160  0x00024af6 0x004256f6 4   7    sect_0  utf8    -## blocks=Basic Latin,Private Use Area
3161  0x00024b08 0x00425708 5   8    sect_0  utf8    Yg⥡@h blocks=Basic Latin,Supplemental Arrows-B
3162  0x00024b6a 0x0042576a 4   5    sect_0  ascii   *cuT
3163  0x00024b96 0x00425796 6   7    sect_0  ascii   #>\nO`i
3164  0x00024c25 0x00425825 5   6    sect_0  ascii   ;7LHW
3165  0x00024c51 0x00425851 5   6    sect_0  ascii   +$PXM
3166  0x00024cd9 0x004258d9 6   9    sect_0  utf8    VlNϡ?̺ blocks=Basic Latin,Greek and Coptic,Combining Diacritical Marks
3167  0x00024cee 0x004258ee 4   5    sect_0  ascii   Cn\nk
3168  0x00024d40 0x00425940 4   5    sect_0  ascii   '0\ri
3169  0x00024d9d 0x0042599d 4   6    sect_0  utf8    Y֣@n blocks=Basic Latin,Hebrew
3170  0x00024df0 0x004259f0 4   5    sect_0  ascii   YRY\
3171  0x00024e47 0x00425a47 4   5    sect_0  ascii   JT5/
3172  0x00024e52 0x00425a52 4   5    sect_0  ascii   Mq3]
3173  0x00024e89 0x00425a89 4   5    sect_0  ascii   Ock>
3174  0x00024e9a 0x00425a9a 4   6    sect_0  utf8    +ϲ_| blocks=Basic Latin,Greek and Coptic
3175  0x00024f73 0x00425b73 5   6    sect_0  ascii   -ZSW+
3176  0x00024f88 0x00425b88 4   7    sect_0  utf8    c*Q blocks=Basic Latin,Private Use Area
3177  0x00024fae 0x00425bae 4   5    sect_0  ascii   q|\rG
3178  0x00024fdd 0x00425bdd 4   5    sect_0  ascii   J)kz
3179  0x00025042 0x00425c42 7   10   sect_0  utf8    NE뒋4,Z: blocks=Basic Latin,Hangul Syllables
3180  0x00025080 0x00425c80 4   7    sect_0  utf8    QٙˀD blocks=Basic Latin,Arabic,Spacing Modifier Letters
3181  0x0002509a 0x00425c9a 5   6    sect_0  ascii   v\a\vn2
3182  0x000250ae 0x00425cae 5   7    sect_0  utf8    4ۍ\ \b blocks=Basic Latin,Arabic
3183  0x000250c5 0x00425cc5 4   5    sect_0  ascii   ;D,O
3184  0x00025103 0x00425d03 5   6    sect_0  ascii   DT`\ao
3185  0x00025111 0x00425d11 4   7    sect_0  utf8    B_3佀 blocks=Basic Latin,CJK Unified Ideographs
3186  0x0002511e 0x00425d1e 5   7    sect_0  utf8    =ՇC`J blocks=Basic Latin,Armenian
3187  0x00025142 0x00425d42 4   5    sect_0  ascii   +[-$
3188  0x0002514f 0x00425d4f 4   6    sect_0  utf8    d^ؠi blocks=Basic Latin,Arabic
3189  0x000251e9 0x00425de9 4   5    sect_0  ascii   ^J7C
3190  0x00025266 0x00425e66 4   5    sect_0  ascii   S{|?
3191  0x00025275 0x00425e75 4   5    sect_0  ascii   Pkbq
3192  0x000252aa 0x00425eaa 4   5    sect_0  ascii   d\aI8
3193  0x000252b2 0x00425eb2 4   5    sect_0  ascii   2$-\t
3194  0x000252e1 0x00425ee1 6   10   sect_0  utf8    굌ōvCq\t blocks=Hangul Syllables,Latin Extended-A,Basic Latin
3195  0x00025301 0x00425f01 4   5    sect_0  ascii   W>\a;
3196  0x0002531a 0x00425f1a 4   5    sect_0  ascii   q<Ab
3197  0x0002532c 0x00425f2c 5   6    sect_0  ascii   917'b
3198  0x0002535e 0x00425f5e 4   5    sect_0  ascii   `$BP
3199  0x000253bc 0x00425fbc 4   5    sect_0  ascii   QtX\v
3200  0x000253d3 0x00425fd3 5   6    sect_0  ascii   cQ$:#
3201  0x0002540e 0x0042600e 7   11   sect_0  utf8    ۞&ȧW.oњ blocks=Arabic,Basic Latin,Latin Extended-B,Cyrillic
3202  0x0002542c 0x0042602c 5   7    sect_0  utf8    q/Ċxq blocks=Basic Latin,Latin Extended-A
3203  0x0002546c 0x0042606c 5   6    sect_0  ascii   C\v:ed
3204  0x00025491 0x00426091 6   7    sect_0  ascii   <R3A3X
3205  0x000254cc 0x004260cc 4   5    sect_0  ascii   $<)/
3206  0x000254fc 0x004260fc 5   7    sect_0  utf8    sIӿhB blocks=Basic Latin,Cyrillic
3207  0x00025521 0x00426121 4   5    sect_0  ascii   hOy_
3208  0x0002552c 0x0042612c 4   6    sect_0  utf8    #ݜSl blocks=Basic Latin,Arabic Supplement
3209  0x00025566 0x00426166 4   5    sect_0  ascii   !Yzq
3210  0x0002563e 0x0042623e 4   6    sect_0  utf8    .ӧj[ blocks=Basic Latin,Cyrillic
3211  0x0002564c 0x0042624c 5   6    sect_0  ascii   N5F%g
3212  0x0002566b 0x0042626b 4   6    sect_0  utf8    5_5I
3213  0x00025690 0x00426290 4   5    sect_0  ascii   ;Wpt
3214  0x0002569d 0x0042629d 6   8    sect_0  utf8    П\f\e43t blocks=Cyrillic,Basic Latin
3215  0x000256c8 0x004262c8 5   6    sect_0  ascii   1<>_(
3216  0x000256ce 0x004262ce 6   9    sect_0  utf8    \n|a\A blocks=Basic Latin,Private Use Area
3217  0x000256d7 0x004262d7 5   7    sect_0  utf8    >dx϶n blocks=Basic Latin,Greek and Coptic
3218  0x000256e4 0x004262e4 4   6    sect_0  utf8    eKχy blocks=Basic Latin,Greek and Coptic
3219  0x000256fc 0x004262fc 4   5    sect_0  ascii   ;M~8
3220  0x00025787 0x00426387 4   5    sect_0  ascii   c:'q
3221  0x000257b7 0x004263b7 4   5    sect_0  ascii   Hf]v
3222  0x000257cc 0x004263cc 5   6    sect_0  ascii   Y;\r\aZ
3223  0x00025816 0x00426416 7   10   sect_0  utf8    su踅t;)X blocks=Basic Latin,CJK Unified Ideographs
3224  0x00025848 0x00426448 5   6    sect_0  ascii   A4pnI
3225  0x000258a2 0x004264a2 4   5    sect_0  ascii   =C2U
3226  0x00025915 0x00426515 4   5    sect_0  ascii   &je=
3227  0x00025937 0x00426537 4   6    sect_0  utf8    H$Û\a blocks=Basic Latin,Latin-1 Supplement
3228  0x0002593d 0x0042653d 4   5    sect_0  ascii   &Y$z
3229  0x00025942 0x00426542 6   7    sect_0  ascii   v\aaM\nx
3230  0x00025985 0x00426585 5   6    sect_0  ascii   C+|F[
3231  0x0002599c 0x0042659c 9   11   sect_0  utf8    Os[Y0w\b͉J blocks=Basic Latin,Combining Diacritical Marks
3232  0x000259bd 0x004265bd 4   5    sect_0  ascii   u}v)
3233  0x000259c2 0x004265c2 4   5    sect_0  ascii   1{V4
3234  0x000259ee 0x004265ee 6   7    sect_0  ascii   )z\r\nhK
3235  0x00025a03 0x00426603 4   6    sect_0  utf8    7KӠ  blocks=Basic Latin,Cyrillic
3236  0x00025a09 0x00426609 4   6    sect_0  utf8    '˲_\f blocks=Basic Latin,Spacing Modifier Letters
3237  0x00025a20 0x00426620 5   6    sect_0  ascii   Ey|-W
3238  0x00025a39 0x00426639 5   6    sect_0  ascii   jxqJ)
3239  0x00025a3f 0x0042663f 4   7    sect_0  utf8    ҋҾN\r blocks=Cyrillic,Basic Latin
3240  0x00025abb 0x004266bb 4   5    sect_0  ascii   M\v@ 
3241  0x00025b47 0x00426747 4   5    sect_0  ascii   JX%P
3242  0x00025b55 0x00426755 4   5    sect_0  ascii   5g<[
3243  0x00025b62 0x00426762 5   7    sect_0  utf8    5ů\tN_ blocks=Basic Latin,Latin Extended-A
3244  0x00025b8a 0x0042678a 4   5    sect_0  ascii   =6|e
3245  0x00025bc7 0x004267c7 8   9    sect_0  ascii   AfUeTDP1
3246  0x00025c13 0x00426813 5   6    sect_0  ascii   r=8JH
3247  0x00025c35 0x00426835 4   5    sect_0  ascii   \a~\r>
3248  0x00025c3d 0x0042683d 5   6    sect_0  ascii   jge%[
3249  0x00025c56 0x00426856 5   6    sect_0  ascii   4>8[y
3250  0x00025c7b 0x0042687b 4   5    sect_0  ascii   )D\nJ
3251  0x00025c89 0x00426889 5   8    sect_0  utf8     TI䥭0 blocks=Basic Latin,CJK Unified Ideographs Extension A
3252  0x00025ccf 0x004268cf 5   6    sect_0  ascii   ?3)29
3253  0x00025cdf 0x004268df 6   7    sect_0  ascii   p^dCaV
3254  0x00025d5e 0x0042695e 6   8    sect_0  utf8    Y?M1߭4 blocks=Basic Latin,NKo
3255  0x00025d7e 0x0042697e 4   5    sect_0  ascii   ,\rTJ
3256  0x00025dc8 0x004269c8 5   6    sect_0  ascii   JHPkF
3257  0x00025dd2 0x004269d2 4   6    sect_0  utf8    m1 Z blocks=Basic Latin,Latin-1 Supplement
3258  0x00025def 0x004269ef 4   5    sect_0  ascii   u7zL
3259  0x00025e3c 0x00426a3c 5   6    sect_0  ascii   \t:->B
3260  0x00025e52 0x00426a52 7   9    sect_0  utf8    !;7K+ߤ^ blocks=Basic Latin,NKo
3261  0x00025ecb 0x00426acb 7   9    sect_0  utf8    Ђx6G|iG blocks=Cyrillic,Basic Latin
3262  0x00025eed 0x00426aed 4   5    sect_0  ascii   :(cg
3263  0x00025f55 0x00426b55 9   10   sect_0  ascii   ibo&}]2{L
3264  0x00026016 0x00426c16 5   6    sect_0  ascii   -5=o9
3265  0x00026022 0x00426c22 4   5    sect_0  ascii   1z)]
3266  0x000260b0 0x00426cb0 6   7    sect_0  ascii   yv:dg9
3267  0x000260c0 0x00426cc0 5   6    sect_0  ascii   X?.xm
3268  0x000260da 0x00426cda 5   6    sect_0  ascii   fELZ%
3269  0x00026111 0x00426d11 4   5    sect_0  ascii   a;=w
3270  0x00026119 0x00426d19 4   5    sect_0  ascii   \v>'@
3271  0x00026139 0x00426d39 4   5    sect_0  ascii   tHLu
3272  0x00026238 0x00426e38 6   8    sect_0  utf8    0Uغ~~@ blocks=Basic Latin,Arabic
3273  0x00026249 0x00426e49 4   6    sect_0  utf8    ΔN@i blocks=Greek and Coptic,Basic Latin
3274  0x000262ea 0x00426eea 4   5    sect_0  ascii   1/!d
3275  0x000262f9 0x00426ef9 6   7    sect_0  ascii   m}33\em
3276  0x00026359 0x00426f59 4   8    sect_0  utf8    VZϛ blocks=Basic Latin,Private Use Area,Greek and Coptic
3277  0x00026398 0x00426f98 4   6    sect_0  utf8    ݡu-6 blocks=Arabic Supplement,Basic Latin
3278  0x000263e2 0x00426fe2 5   6    sect_0  ascii   %infB
3279  0x00026417 0x00427017 5   9    sect_0  utf8    ۛ*U嬗a blocks=Arabic,Basic Latin,CJK Unified Ideographs
3280  0x00026423 0x00427023 4   5    sect_0  ascii   V:\b"
3281  0x00026481 0x00427081 6   7    sect_0  ascii   83l29U
3282  0x00026499 0x00427099 5   7    sect_0  utf8    ̷*[EZ blocks=Combining Diacritical Marks,Basic Latin
3283  0x000264b9 0x004270b9 8   9    sect_0  ascii   3\fG-'m\bL
3284  0x000264c8 0x004270c8 7   8    sect_0  ascii   5>a+;rP
3285  0x000264ec 0x004270ec 4   5    sect_0  ascii   Q_xF
3286  0x00026572 0x00427172 4   5    sect_0  ascii   `l%m
3287  0x000265fe 0x004271fe 4   5    sect_0  ascii   A>PT
3288  0x00026653 0x00427253 4   5    sect_0  ascii   2\n-l
3289  0x00026669 0x00427269 4   5    sect_0  ascii   '\eK/
3290  0x00026673 0x00427273 5   7    sect_0  utf8    P܌{I# blocks=Basic Latin,Syriac
3291  0x00026680 0x00427280 4   6    sect_0  utf8    :LƠY blocks=Basic Latin,Latin Extended-B
3292  0x0002668c 0x0042728c 4   5    sect_0  ascii   \bQDM
3293  0x000266a6 0x004272a6 4   6    sect_0  utf8    (}y7
3294  0x000266ba 0x004272ba 4   6    sect_0  utf8    ϶jd* blocks=Greek and Coptic,Basic Latin
3295  0x000266dd 0x004272dd 5   6    sect_0  ascii   LHdO{
3296  0x00026790 0x00427390 7   11   sect_0  utf8    ~:{атq\n blocks=Basic Latin,Cyrillic
3297  0x0002679e 0x0042739e 5   8    sect_0  utf8    X*ٱޯG blocks=Basic Latin,Arabic,Thaana
3298  0x000267da 0x004273da 4   5    sect_0  ascii   R;qW
3299  0x0002680b 0x0042740b 5   6    sect_0  ascii   *#Gt\v
3300  0x00026821 0x00427421 5   6    sect_0  ascii   nwJvH
3301  0x0002682f 0x0042742f 6   7    sect_0  ascii   &}Qs! 
3302  0x00026838 0x00427438 5   6    sect_0  ascii   XjZ0.
3303  0x0002684a 0x0042744a 4   6    sect_0  utf8    Д:\n" blocks=Cyrillic,Basic Latin
3304  0x0002687c 0x0042747c 5   7    sect_0  utf8    K\fϏC@ blocks=Basic Latin,Greek and Coptic
3305  0x00026893 0x00427493 4   5    sect_0  ascii   ;4\f$
3306  0x000268a2 0x004274a2 5   7    sect_0  utf8    ּh g3 blocks=Hebrew,Basic Latin
3307  0x000268b3 0x004274b3 4   6    sect_0  utf8    Ob?ج blocks=Basic Latin,Arabic
3308  0x000268ee 0x004274ee 4   6    sect_0  utf8    ºB[I blocks=Latin-1 Supplement,Basic Latin
3309  0x00026903 0x00427503 4   5    sect_0  ascii   yhs>
3310  0x00026937 0x00427537 4   6    sect_0  utf8    wk؎8 blocks=Basic Latin,Arabic
3311  0x00026962 0x00427562 11  13   sect_0  utf8    nF;4#+nvMV\n blocks=Basic Latin,Greek and Coptic
3312  0x00026999 0x00427599 5   7    sect_0  utf8    ڇhp A blocks=Arabic,Basic Latin
3313  0x000269a9 0x004275a9 4   5    sect_0  ascii   Y"`l
3314  0x000269b6 0x004275b6 4   5    sect_0  ascii   |uEP
3315  0x000269bd 0x004275bd 7   8    sect_0  ascii    d+->#D
3316  0x000269da 0x004275da 4   5    sect_0  ascii   u Ps
3317  0x000269e6 0x004275e6 4   5    sect_0  ascii   \rboK
3318  0x00026a1b 0x0042761b 5   6    sect_0  ascii   RYa\bE
3319  0x00026a35 0x00427635 4   6    sect_0  utf8    wsǰx blocks=Basic Latin,Latin Extended-B
3320  0x00026a46 0x00427646 6   7    sect_0  ascii   SGF!q#
3321  0x00026a75 0x00427675 5   6    sect_0  ascii   tdq\rg
3322  0x00026ad5 0x004276d5 5   6    sect_0  ascii   R\tn[x
3323  0x00026b28 0x00427728 4   6    sect_0  utf8    )1رh blocks=Basic Latin,Arabic
3324  0x00026b9c 0x0042779c 4   5    sect_0  ascii   @e{T
3325  0x00026baf 0x004277af 5   6    sect_0  ascii   up \t\a
3326  0x00026bc0 0x004277c0 4   5    sect_0  ascii   ><Gk
3327  0x00026bdc 0x004277dc 4   5    sect_0  ascii   \a;89
3328  0x00026c15 0x00427815 4   5    sect_0  ascii   +9PK
3329  0x00026c36 0x00427836 8   10   sect_0  utf8    3ZM_9BBǍ blocks=Basic Latin,Latin Extended-B
3330  0x00026c47 0x00427847 6   7    sect_0  ascii   #>~0X<
3331  0x00026c65 0x00427865 5   7    sect_0  utf8    |Bߣ&1 blocks=Basic Latin,NKo
3332  0x00026c89 0x00427889 4   5    sect_0  ascii   xOD~
3333  0x00026c9e 0x0042789e 4   5    sect_0  ascii   e;\t"
3334  0x00026ccb 0x004278cb 4   5    sect_0  ascii   age^
3335  0x00026d17 0x00427917 4   6    sect_0  utf8    ~й#! blocks=Basic Latin,Cyrillic
3336  0x00026d4d 0x0042794d 6   7    sect_0  ascii   b*']/O
3337  0x00026d61 0x00427961 4   5    sect_0  ascii   Ix~3
3338  0x00026dad 0x004279ad 4   5    sect_0  ascii   F/%|
3339  0x00026de9 0x004279e9 6   8    sect_0  utf8    w=ą\nNz blocks=Basic Latin,Latin Extended-A
3340  0x00026e0f 0x00427a0f 6   7    sect_0  ascii   C|\b`C\b
3341  0x00026e16 0x00427a16 4   5    sect_0  ascii   tglh
3342  0x00026e38 0x00427a38 5   7    sect_0  utf8    rsTkԷ blocks=Basic Latin,Armenian
3343  0x00026e9e 0x00427a9e 4   8    sect_0  utf8    埀֊zU blocks=CJK Unified Ideographs,Armenian,Basic Latin
3344  0x00026eb8 0x00427ab8 4   5    sect_0  ascii   {<"v
3345  0x00026ec5 0x00427ac5 4   5    sect_0  ascii   \99v
3346  0x00026ece 0x00427ace 4   5    sect_0  ascii   ;1Y}
3347  0x00026f22 0x00427b22 4   5    sect_0  ascii   >%84
3348  0x00026f39 0x00427b39 5   7    sect_0  utf8    G=Աit blocks=Basic Latin,Armenian
3349  0x00026f88 0x00427b88 5   8    sect_0  utf8    붖mq2= blocks=Hangul Syllables,Basic Latin
3350  0x00027009 0x00427c09 4   8    sect_0  utf8    PÜ' blocks=Basic Latin,Latin-1 Supplement,Private Use Area
3351  0x00027066 0x00427c66 5   7    sect_0  utf8    2бEk" blocks=Basic Latin,Cyrillic
3352  0x0002707d 0x00427c7d 4   5    sect_0  ascii   hA[>
3353  0x0002708e 0x00427c8e 4   5    sect_0  ascii   mrG*
3354  0x000270a8 0x00427ca8 6   8    sect_0  utf8    !\r*`^ͼ blocks=Basic Latin,Greek and Coptic
3355  0x000270c2 0x00427cc2 4   5    sect_0  ascii   gCT8
3356  0x000270c7 0x00427cc7 4   5    sect_0  ascii   5;\tp
3357  0x000270da 0x00427cda 5   7    sect_0  utf8    DbֿEU blocks=Basic Latin,Hebrew
3358  0x00027102 0x00427d02 4   7    sect_0  utf8    o?䤊c blocks=Basic Latin,CJK Unified Ideographs Extension A
3359  0x0002713c 0x00427d3c 4   5    sect_0  ascii   1{\aH
3360  0x0002715b 0x00427d5b 5   7    sect_0  utf8    \vKKmb
3361  0x000271a7 0x00427da7 4   6    sect_0  utf8    (j̘m blocks=Basic Latin,Combining Diacritical Marks
3362  0x000271b9 0x00427db9 4   5    sect_0  ascii   6\fE\n
3363  0x000271fb 0x00427dfb 4   5    sect_0  ascii   kW7:
3364  0x00027206 0x00427e06 5   6    sect_0  ascii   x=F>5
3365  0x00027228 0x00427e28 4   6    sect_0  utf8    ˮ`\bU blocks=Spacing Modifier Letters,Basic Latin
3366  0x00027297 0x00427e97 4   5    sect_0  ascii   AOV9
3367  0x00027383 0x00427f83 5   7    sect_0  utf8    Ռyyl9 blocks=Armenian,Basic Latin
3368  0x000273c2 0x00427fc2 4   5    sect_0  ascii   K8`}
3369  0x000273d2 0x00427fd2 4   5    sect_0  ascii   P4\x
3370  0x00027412 0x00428012 5   6    sect_0  ascii   Za&gY
3371  0x00027428 0x00428028 4   5    sect_0  ascii   #.|:
3372  0x0002745b 0x0042805b 4   8    sect_0  utf8    "ꃬɼ8 blocks=Basic Latin,Yi Syllables,IPA Extensions
3373  0x000274cb 0x004280cb 4   5    sect_0  ascii   NEmr
3374  0x000274d4 0x004280d4 6   7    sect_0  ascii   BxCF+8
3375  0x000274f5 0x004280f5 5   6    sect_0  ascii   {Q}n^
3376  0x00027655 0x00428255 5   6    sect_0  ascii   0_\n}\
3377  0x000276a7 0x004282a7 4   5    sect_0  ascii   'rL_
3378  0x000276ac 0x004282ac 4   5    sect_0  ascii   }$I+
