Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f8 0x000000f8 4   5            ascii   Rich
2    0x00000200 0x00000200 5   6            ascii   .text
3    0x00000227 0x00000227 7   8            ascii   `.rdata
4    0x0000024f 0x0000024f 6   7            ascii   @.data
5    0x00000278 0x00000278 5   6            ascii   .Init
6    0x000002a0 0x000002a0 5   6            ascii   .rsrc
7    0x000002c7 0x000002c7 7   8            ascii   @.reloc
8    0x00001004 0x10001c04 4   5    .text   ascii   M\fVW
9    0x00001021 0x10001c21 4   5    .text   ascii   PWh#
10   0x000010a2 0x10001ca2 4   5    .text   ascii   YY^]
11   0x000010c7 0x10001cc7 4   6    .text   utf8    +ыM\b blocks=Basic Latin,Cyrillic
12   0x000010da 0x10001cda 4   5    .text   ascii   A\b^]
13   0x000010e3 0x10001ce3 5   6    .text   ascii   E\fVW3
14   0x0000111e 0x10001d1e 4   5    .text   ascii   A\b^]
15   0x0000117c 0x10001d7c 5   6    .text   ascii   u$WSQ
16   0x00001194 0x10001d94 4   5    .text   ascii   ^_[]
17   0x0000119f 0x10001d9f 4   5    .text   ascii   E\f\vE
18   0x000011ad 0x10001dad 7   8    .text   ascii   B\f#M\f#E
19   0x000011bf 0x10001dbf 5   6    .text   ascii   #E\f#M
20   0x000015a6 0x100021a6 4   6    .text   utf8    ЉT$$ blocks=Cyrillic,Basic Latin
21   0x000016f5 0x100022f5 4   5    .text   ascii   \bSVW
22   0x00001760 0x10002360 4   5    .text   ascii   Wj@V
23   0x0000194b 0x1000254b 4   7    .text   utf8    uȍEċ blocks=Basic Latin,Latin Extended-B,Latin Extended-A
24   0x0000197c 0x1000257c 4   5    .text   ascii   j@hP
25   0x000019c0 0x100025c0 4   5    .text   ascii   j@hP
26   0x00001a07 0x10002607 4   5    .text   ascii   j@hP
27   0x00001ab1 0x100026b1 4   5    .text   ascii   SVWP
28   0x00001afe 0x100026fe 4   5    .text   ascii   tf@h
29   0x00001b72 0x10002772 4   5    .text   ascii   Y_^[
30   0x00001bc3 0x100027c3 4   6    .text   utf8    SVWƅ blocks=Basic Latin,Latin Extended-B
31   0x00001f98 0x10002b98 4   5    .text   ascii   T\b\ff
32   0x0000274f 0x1000334f 4   5    .text   ascii   t\aj\a
33   0x000027ae 0x100033ae 5   6    .text   ascii   t h 1
34   0x0000282a 0x1000342a 4   5    .text   ascii   j\fhh
35   0x0000285c 0x1000345c 4   5    .text   ascii   t\aj\a
36   0x00002887 0x10003487 4   6    .text   utf8    YY3Ʉ blocks=Basic Latin,Latin Extended-B
37   0x00002d1a 0x1000391a 7   8    .text   ascii   M\f;J\fr\n
38   0x00002eb5 0x10003ab5 5   7    .text   utf8    j Y+ȃ blocks=Basic Latin,Latin Extended-B
39   0x00002ef5 0x10003af5 4   5    .text   ascii   j\bh8
40   0x00002f92 0x10003b92 4   6    .text   utf8    u\t39
41   0x00002ffd 0x10003bfd 4   5    .text   ascii   #E\b]
42   0x000032d0 0x10003ed0 5   6    .text   ascii   Y__^[
43   0x000032eb 0x10003eeb 5   6    .text   ascii   t\nj\fV
44   0x0000335a 0x10003f5a 4   5    .text   ascii   ineI
45   0x00003361 0x10003f61 8   10   .text   utf8    5ntel\vȋE blocks=Basic Latin,Latin Extended-B
46   0x0000336b 0x10003f6b 6   7    .text   ascii   5Genu\v
47   0x0000338e 0x10003f8e 4   5    .text   ascii   W\ftC
48   0x0000339f 0x10003f9f 4   5    .text   ascii   t#=`
49   0x000033bb 0x10003fbb 4   5    .text   ascii   t\a=p
50   0x000033ee 0x10003fee 6   7    .text   ascii   |2j\aX3
51   0x000034c2 0x100040c2 4   5    .text   ascii   }\bww
52   0x000035bc 0x100041bc 4   8    .text   utf8    뽋}\b3 blocks=Hangul Syllables,Basic Latin
53   0x000035f0 0x100041f0 4   5    .text   ascii   }\fVW
54   0x00003653 0x10004253 4   5    .text   ascii   vZWh
55   0x000036ef 0x100042ef 4   5    .text   ascii   vZWh
56   0x0000375b 0x1000435b 5   6    .text   ascii   PPPh 
57   0x000037a7 0x100043a7 6   7    .text   ascii   3\f8_^]
58   0x000037c8 0x100043c8 4   5    .text   ascii   ]\fVW
59   0x00003848 0x10004448 4   5    .text   ascii   xj~W
60   0x00003850 0x10004450 4   5    .text   ascii   8csm
61   0x00003897 0x10004497 7   8    .text   ascii   E\f9x\ft_
62   0x000039a4 0x100045a4 7   8    .text   ascii   ]\bVWj\bY
63   0x000039e3 0x100045e3 4   5    .text   ascii   \a\bt\a
64   0x00003adf 0x100046df 4   6    .text   utf8    ̋L$\f blocks=Combining Diacritical Marks,Basic Latin
65   0x00003c45 0x10004845 7   9    .text   utf8    j Y+ȋE\b blocks=Basic Latin,Latin Extended-B
66   0x00003cf2 0x100048f2 4   5    .text   ascii   _^[]
67   0x00003d00 0x10004900 4   6    .text   utf8    W3\r<
68   0x00003d43 0x10004943 6   7    .text   ascii   Wu\rVVS
69   0x00003d73 0x10004973 4   5    .text   ascii   ^_[]
70   0x00003db2 0x100049b2 5   6    .text   ascii   j2X^]
71   0x00003df5 0x100049f5 5   6    .text   ascii   j2X^]
72   0x00003e2f 0x10004a2f 5   6    .text   ascii   j2X^]
73   0x00003e78 0x10004a78 5   6    .text   ascii   j2X^]
74   0x00003e81 0x10004a81 4   5    .text   ascii   Vh03
75   0x00003ebb 0x10004abb 4   5    .text   ascii   VhD3
76   0x00003ef5 0x10004af5 4   5    .text   ascii   VhT3
77   0x00003f2f 0x10004b2f 4   5    .text   ascii   Vhh3
78   0x00003f6c 0x10004b6c 4   5    .text   ascii   Vh|3
79   0x0000401f 0x10004c1f 6   7    .text   ascii   URPQQh
80   0x00004035 0x10004c35 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
81   0x0000404a 0x10004c4a 4   5    .text   ascii   L$,3
82   0x0000409c 0x10004c9c 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
83   0x0000410e 0x10004d0e 4   5    .text   ascii   UVWS
84   0x00004120 0x10004d20 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
85   0x00004141 0x10004d41 4   5    .text   ascii   SVWj
86   0x00004146 0x10004d46 4   5    .text   ascii   RhRA
87   0x00004152 0x10004d52 4   5    .text   ascii   _^[]
88   0x00004159 0x10004d59 5   6    .text   ascii   l$\bRQ
89   0x00004201 0x10004e01 4   5    .text   ascii   Bj(j
90   0x00004308 0x10004f08 4   5    .text   ascii   j Y+
91   0x00004323 0x10004f23 5   6    .text   ascii   SVWUj
92   0x00004338 0x10004f38 4   5    .text   ascii   ]_^[
93   0x0000433e 0x10004f3e 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
94   0x000043c4 0x10004fc4 6   7    .text   ascii   ;t$,v-
95   0x0000441f 0x1000501f 6   7    .text   ascii   R\f9Q\bu
96   0x00004447 0x10005047 10  11   .text   ascii   k\fUQPXY]Y[
97   0x00004564 0x10005164 4   6    .text   utf8    ]Ã}\f blocks=Basic Latin,Latin-1 Supplement
98   0x00004672 0x10005272 6   7    .text   ascii   uG9E\bu
99   0x000047f0 0x100053f0 6   8    .text   utf8    r\bwӃ}\f blocks=Basic Latin,Cyrillic
100  0x00004822 0x10005422 4   5    .text   ascii   M\fSW
101  0x000048d8 0x100054d8 6   7    .text   ascii   ,0<\tw\b
102  0x0000490f 0x1000550f 5   6    .text   ascii   u=j\n_
103  0x0000491d 0x1000551d 9   10   .text   ascii   u\f<xt\e<Xt
104  0x0000494c 0x1000554c 4   6    .text   utf8    u\f3҃ blocks=Basic Latin,Cyrillic
105  0x000049df 0x100055df 4   6    .text   utf8    3ۉE\f blocks=Basic Latin,Arabic
106  0x00004a4a 0x1000564a 4   5    .text   ascii   M\fVW
107  0x00004b17 0x10005717 6   7    .text   ascii   ,0<\tw\b
108  0x00004b4e 0x1000574e 5   6    .text   ascii   uLj\nX
109  0x00004b5f 0x1000575f 9   10   .text   ascii   }\f<xt"<Xt
110  0x00004bc5 0x100057c5 6   7    .text   ascii   ,0<\tw\b
111  0x00004bfc 0x100057fc 4   5    .text   ascii   t`;U
112  0x00004c23 0x10005823 4   5    .text   ascii   u\f;]
113  0x00004c71 0x10005871 6   9    .text   utf8    EЉE\f3\v blocks=Basic Latin,Cyrillic
114  0x00004caa 0x100058aa 4   6    .text   utf8    t\t3>
115  0x00004d4e 0x1000594e 6   8    .text   utf8    H#E\f]Ë blocks=Basic Latin,Latin-1 Supplement
116  0x00004e15 0x10005a15 4   5    .text   ascii   8E\bV
117  0x00004e54 0x10005a54 4   5    .text   ascii   8E\bV
118  0x00004e93 0x10005a93 4   5    .text   ascii   8E\bV
119  0x00004f66 0x10005b66 4   5    .text   ascii   8E\bV
120  0x00005103 0x10005d03 4   6    .text   utf8    E\b]Ë blocks=Basic Latin,Latin-1 Supplement
121  0x00005148 0x10005d48 4   5    .text   ascii   M\fQP
122  0x0000516d 0x10005d6d 4   5    .text   ascii   \vM u
123  0x000051c3 0x10005dc3 4   5    .text   ascii   M\fQP
124  0x000051e8 0x10005de8 4   5    .text   ascii   \vM u
125  0x00005213 0x10005e13 5   6    .text   ascii   u\bj\aX
126  0x00005338 0x10005f38 6   7    .text   ascii   ,0<\tw\b
127  0x00005390 0x10005f90 4   7    .text   utf8    뤋E\bj blocks=Hangul Syllables,Basic Latin
128  0x000053e9 0x10005fe9 6   7    .text   ascii   ,0<\tw\b
129  0x00005492 0x10006092 12  13   .text   ascii   <Pt\b<et\t<pu\f
130  0x000054fa 0x100060fa 6   7    .text   ascii   ,0<\tw\b
131  0x0000552d 0x1000612d 4   5    .text   ascii   \ns$k
132  0x00005556 0x10006156 6   7    .text   ascii   ,0<\tw\b
133  0x0000560d 0x1000620d 4   5    .text   ascii   ~\bj\t
134  0x000056f9 0x100062f9 4   5    .text   ascii   X_^[
135  0x00005737 0x10006337 5   7    .text   utf8    }\f3ۉ} blocks=Basic Latin,Arabic
136  0x00005782 0x10006382 4   5    .text   ascii   <(t)
137  0x000057e9 0x100063e9 4   5    .text   ascii   >)t@
138  0x00005820 0x10006420 6   8    .text   utf8    <)uɀ>) blocks=Basic Latin,Latin Extended-B
139  0x0000582f 0x1000642f 4   5    .text   ascii   X_^[
