[Strings]
nth paddr      vaddr      len size section type  string
89  0x000015aa 0x100023aa 5   6    .rdata  ascii ftell
90  0x000015b2 0x100023b2 5   6    .rdata  ascii fseek
91  0x000015ba 0x100023ba 7   8    .rdata  ascii strncmp
92  0x000015c4 0x100023c4 7   8    .rdata  ascii strncpy
93  0x000015ce 0x100023ce 6   7    .rdata  ascii strcpy
94  0x000015d6 0x100023d6 10  11   .rdata  ascii MSVCRT.dll
95  0x000015e4 0x100023e4 9   10   .rdata  ascii _initterm
96  0x000015f0 0x100023f0 12  13   .rdata  ascii _adjust_fdiv
97  0x00001600 0x10002400 7   8    .rdata  ascii LZClose
98  0x0000160a 0x1000240a 6   7    .rdata  ascii LZCopy
99  0x00001614 0x10002414 11  12   .rdata  ascii LZOpenFileA
100 0x00001620 0x10002420 8   9    .rdata  ascii LZ32.dll
101 0x00001810 0x10003010 11  12   .data   ascii ntshrui.dll
102 0x0000181c 0x1000301c 22  23   .data   ascii %SystemRoot%\System32\
103 0x0000183c 0x1000303c 44  45   .data   ascii Microsoft DH SChannel Cryptographic Provider
104 0x0000186c 0x1000306c 31  32   .data   ascii http://12.38.236.41/contact.htm
105 0x00001970 0x10003170 13  14   .data   ascii  2010QBP//-->
106 0x00001980 0x10003180 13  14   .data   ascii <!--<2010QBP 
107 0x00001990 0x10003190 19  20   .data   ascii HKEY_CURRENT_CONFIG
108 0x000019a4 0x100031a4 10  11   .data   ascii HKEY_USERS
109 0x000019b0 0x100031b0 18  19   .data   ascii HKEY_LOCAL_MACHINE
110 0x000019c4 0x100031c4 17  18   .data   ascii HKEY_CURRENT_USER
111 0x000019d8 0x100031d8 17  18   .data   ascii HKEY_CLASSES_ROOT
112 0x000019f0 0x100031f0 10  11   .data   ascii AutoUpdate
113 0x000019fc 0x100031fc 63  64   .data   ascii HKEY_CURRENT_USER\AOFTWARE\Microsoft\Windows\CurrentVersion\run
114 0x00001a3c 0x1000323c 4   5    .data   ascii .tmp
115 0x00001a44 0x10003244 23  24   .data   ascii URLDownloadToCacheFileA
116 0x00001a5c 0x1000325c 10  11   .data   ascii urlmon.dll
117 0x00001a68 0x10003268 9   10   .data   ascii Hello@)!0
118 0x00001a74 0x10003274 23  24   .data   ascii VRLDownloadToCacheFileA
119 0x00001a8c 0x1000328c 21  22   .data   ascii DnsFlushResolverCache
120 0x00001aa4 0x100032a4 10  11   .data   ascii dnsapi.dll
121 0x00001ab0 0x100032b0 5   6    .data   ascii ~hf~\
122 0x00001ab8 0x100032b8 5   6    .data   ascii Temp\
123 0x00001ac0 0x100032c0 29  30   .data   ascii %USERPROFILE%\Local Settings\
124 0x00001c08 0x10004008 8   9    .reloc  ascii =0C0S0h0
125 0x00001c17 0x10004017 9   10   .reloc  ascii 1'1L1R1g1
126 0x00001c23 0x10004023 5   6    .reloc  ascii 1Q2y2
127 0x00001c39 0x10004039 13  14   .reloc  ascii 3+313I3a3k3y3
128 0x00001c4d 0x1000404d 9   10   .reloc  ascii 3\a474B4r4
129 0x00001c67 0x10004067 13  14   .reloc  ascii 5+535A5G5L5d5
130 0x00001c77 0x10004077 7   8    .reloc  ascii 516Y6`6
131 0x00001c85 0x10004085 5   6    .reloc  ascii 7E7w7
132 0x00001c8d 0x1000408d 7   8    .reloc  ascii 8P8[8f8
133 0x00001c9b 0x1000409b 11  12   .reloc  ascii 9)9/989?9y9
134 0x00001ca9 0x100040a9 15  16   .reloc  ascii 9&:>:O:U:_:h:y:
135 0x00001cd5 0x100040d5 21  22   .reloc  ascii ;,;4;:;E;R;Z;h;m;r;w;
136 0x00001cf9 0x100040f9 11  12   .reloc  ascii ;P<l<r<x<~<

