[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c1 0x000000c1 6   11           utf8    ]ǥ:]ƥ blocks=Basic Latin,Latin Extended-B,Private Use Area
2    0x000000e5 0x000000e5 6   8            utf8    ]ƥRich blocks=Basic Latin,Latin Extended-B
3    0x00000100 0x00000100 4   5            ascii   #BqQ
4    0x000001f0 0x000001f0 5   6            ascii   .text
5    0x00000217 0x00000217 7   8            ascii   `.rdata
6    0x0000023f 0x0000023f 6   7            ascii   @.data
7    0x00000268 0x00000268 5   6            ascii   .rsrc
8    0x0000028f 0x0000028f 7   8            ascii   @.reloc
9    0x000004ff 0x004010ff 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
10   0x0000057f 0x0040117f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
11   0x00000666 0x00401266 7   10   .text   utf8    ^ÍF\b^ÍF blocks=Basic Latin,Latin-1 Supplement
12   0x00000678 0x00401278 6   7    .text   ascii   t\r8\bt\t
13   0x0000075b 0x0040135b 4   7    .text   utf8    ǋ؋D$ blocks=Latin Extended-B,Arabic,Basic Latin
14   0x00000793 0x00401393 4   5    .text   ascii   ^][Y
15   0x000007b4 0x004013b4 4   5    .text   ascii   ^][Y
16   0x00000804 0x00401404 4   5    .text   ascii   ^][Y
17   0x0000082e 0x0040142e 4   5    .text   ascii   ^][Y
18   0x0000085b 0x0040145b 5   7    .text   utf8    ^][YÍ blocks=Basic Latin,Latin-1 Supplement
19   0x00000865 0x00401465 5   7    .text   utf8    ^][YÍ blocks=Basic Latin,Latin-1 Supplement
20   0x0000086f 0x0040146f 4   5    .text   ascii   ^][Y
21   0x00000878 0x00401478 4   5    .text   ascii   ^][Y
22   0x000008db 0x004014db 4   5    .text   ascii   ^][Y
23   0x00000937 0x00401537 4   5    .text   ascii   ^][Y
24   0x00000bdf 0x004017df 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
25   0x00000c6f 0x0040186f 4   6    .text   utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
26   0x00000d0e 0x0040190e 4   5    .text   ascii   UVW3
27   0x00000d16 0x00401916 4   5    .text   ascii   t\a@G
28   0x00000d4e 0x0040194e 6   8    .text   utf8    /_^][Å blocks=Basic Latin,Latin-1 Supplement
29   0x00000d6d 0x0040196d 5   6    .text   ascii   /_^][
30   0x00000dbe 0x004019be 6   8    .text   utf8    /_^][Å blocks=Basic Latin,Latin-1 Supplement
31   0x00000dd5 0x004019d5 5   6    .text   ascii   /_^][
32   0x00000e53 0x00401a53 4   5    .text   ascii   l$\fV
33   0x00000ead 0x00401aad 6   8    .text   utf8    _^][ËE blocks=Basic Latin,Latin-1 Supplement
34   0x00000ebf 0x00401abf 6   8    .text   utf8    _^][ËE blocks=Basic Latin,Latin-1 Supplement
35   0x00000ed1 0x00401ad1 6   8    .text   utf8    _^][ËU blocks=Basic Latin,Latin-1 Supplement
36   0x00000eea 0x00401aea 6   8    .text   utf8    _^][ËM blocks=Basic Latin,Latin-1 Supplement
37   0x00000f03 0x00401b03 5   7    .text   utf8    _^][À blocks=Basic Latin,Latin-1 Supplement
38   0x00000f2d 0x00401b2d 5   7    .text   utf8    _^][À blocks=Basic Latin,Latin-1 Supplement
39   0x00000f4a 0x00401b4a 6   8    .text   utf8    _^][Ã} blocks=Basic Latin,Latin-1 Supplement
40   0x00000f5c 0x00401b5c 5   7    .text   utf8    _^][À blocks=Basic Latin,Latin-1 Supplement
41   0x00000f71 0x00401b71 5   7    .text   utf8    _^][À blocks=Basic Latin,Latin-1 Supplement
42   0x00000f85 0x00401b85 5   7    .text   utf8    _^][À blocks=Basic Latin,Latin-1 Supplement
43   0x00000f9a 0x00401b9a 4   5    .text   ascii   _^][
44   0x00000f9f 0x00401b9f 4   5    .text   ascii   _^]3
45   0x00001049 0x00401c49 5   7    .text   utf8    ^][ÍI blocks=Basic Latin,Latin-1 Supplement
46   0x000010d7 0x00401cd7 4   6    .text   utf8    ^]YÅ blocks=Basic Latin,Latin-1 Supplement
47   0x000011b3 0x00401db3 4   6    .text   utf8    3ɉL$ blocks=Basic Latin,Latin Extended-B
48   0x00001230 0x00401e30 4   5    .text   ascii   |.A+
49   0x000012f6 0x00401ef6 4   5    .text   ascii   9_^]
50   0x00001302 0x00401f02 5   6    .text   ascii   l$\bVW
51   0x00001345 0x00401f45 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
52   0x00001461 0x00402061 7   8    .text   ascii   \tD$\f\tT$
53   0x0000146f 0x0040206f 5   7    .text   utf8    rߋD$\f blocks=Basic Latin,NKo
54   0x0000147e 0x0040207e 4   6    .text   utf8    \bËD$ blocks=Basic Latin,Latin-1 Supplement
55   0x000014a7 0x004020a7 4   6    .text   utf8    ËT$\b blocks=Latin-1 Supplement,Basic Latin
56   0x00001512 0x00402112 4   5    .text   ascii   \bUVW
57   0x000017bb 0x004023bb 4   5    .text   ascii   \f0Q+
58   0x00001884 0x00402484 4   5    .text   ascii   _^[Y
59   0x00001892 0x00402492 4   6    .text   utf8    [YÍI blocks=Basic Latin,Latin-1 Supplement
60   0x000018c3 0x004024c3 5   6    .text   ascii   l$\fVW
61   0x00001931 0x00402531 6   8    .text   utf8    _^][ËQ blocks=Basic Latin,Latin-1 Supplement
62   0x0000194b 0x0040254b 5   7    .text   utf8    _^][Å blocks=Basic Latin,Latin-1 Supplement
63   0x00001964 0x00402564 6   8    .text   utf8    _^][ËX blocks=Basic Latin,Latin-1 Supplement
64   0x0000198c 0x0040258c 5   6    .text   ascii   \f_^][
65   0x000019b9 0x004025b9 4   5    .text   ascii   _^][
66   0x000019ca 0x004025ca 8   10   .text   utf8    \b_^][ËD$ blocks=Basic Latin,Latin-1 Supplement
67   0x00001b24 0x00402724 6   8    .text   utf8    ^]_[ÍI blocks=Basic Latin,Latin-1 Supplement
68   0x00001b74 0x00402774 4   5    .text   ascii   ]\fVW
69   0x00001b82 0x00402782 5   7    .text   utf8    3ɉD$\f blocks=Basic Latin,Latin Extended-B
70   0x00001b95 0x00402795 4   5    .text   ascii   L$(;
71   0x00001bd7 0x004027d7 5   6    .text   ascii   T$P9O
72   0x00001c05 0x00402805 4   5    .text   ascii   D$4P
73   0x00001c0e 0x0040280e 4   5    .text   ascii   L$0Q
74   0x00001c2b 0x0040282b 6   7    .text   ascii   ;T$,t4
75   0x00001c77 0x00402877 4   6    .text   utf8    +ωT$ blocks=Basic Latin,Greek and Coptic
76   0x00001cd2 0x004028d2 5   6    .text   ascii   D$8PQ
77   0x00001dbd 0x004029bd 4   5    .text   ascii   )t$\f
78   0x00001dd2 0x004029d2 10  12   .text   utf8    D$(3ɉL$\f9O blocks=Basic Latin,Latin Extended-B
79   0x00001ebe 0x00402abe 5   6    .text   ascii   D$\f;C
80   0x00001ef1 0x00402af1 4   5    .text   ascii   D$\f@
81   0x00001ef6 0x00402af6 5   6    .text   ascii   D$\f;C
82   0x00001f1a 0x00402b1a 5   6    .text   ascii   9X\bu\n
83   0x00001f93 0x00402b93 4   5    .text   ascii   D$ u
84   0x00001fd2 0x00402bd2 6   8    .text   utf8    rދD$ @ blocks=Basic Latin,Thaana
85   0x00001fda 0x00402bda 6   7    .text   ascii   D$ ;D$
86   0x000020c6 0x00402cc6 4   5    .text   ascii   *u&3
87   0x000021af 0x00402daf 5   7    .text   utf8    rߋE\b_ blocks=Basic Latin,NKo
88   0x000021d2 0x00402dd2 4   5    .text   ascii   \b^][
89   0x000021d8 0x00402dd8 4   6    .text   utf8    \bËA\f blocks=Basic Latin,Latin-1 Supplement
90   0x0000222b 0x00402e2b 4   5    .text   ascii   t\t9H
91   0x00002282 0x00402e82 4   5    .text   ascii   l$\bV
92   0x000023b8 0x00402fb8 4   5    .text   ascii   t'SU
93   0x000023df 0x00402fdf 4   5    .text   ascii   ][G;
94   0x00002466 0x00403066 4   5    .text   ascii   <.t\r
95   0x000024c1 0x004030c1 4   5    .text   ascii   _[^3
96   0x000024db 0x004030db 4   5    .text   ascii   _[^]
97   0x000024ef 0x004030ef 4   5    .text   ascii   _[^]
98   0x00002527 0x00403127 4   6    .text   utf8    Ł8PE blocks=Latin Extended-A,Basic Latin
99   0x000025bb 0x004031bb 4   7    .text   utf8    뫋T$  blocks=Hangul Syllables,Basic Latin
100  0x000025d7 0x004031d7 6   7    .text   ascii   D$$RPU
101  0x000025e2 0x004031e2 4   5    .text   ascii   _^[]
102  0x00002621 0x00403221 5   6    .text   ascii   L$\f+H
103  0x00002627 0x00403227 4   5    .text   ascii   QVPR
104  0x0000265f 0x0040325f 4   5    .text   ascii   \fSVW
105  0x0000271b 0x0040331b 5   6    .text   ascii   9=@7B
106  0x00002728 0x00403328 4   5    .text   ascii   h(7B
107  0x0000273d 0x0040333d 4   5    .text   ascii   h(7B
108  0x00002768 0x00403368 4   5    .text   ascii   h(7B
109  0x0000277d 0x0040337d 4   5    .text   ascii   h(7B
110  0x00002790 0x00403390 4   5    .text   ascii   UVW3
111  0x00002797 0x00403397 5   6    .text   ascii   9=@7B
112  0x000027a4 0x004033a4 4   5    .text   ascii   h(7B
113  0x000027b9 0x004033b9 4   5    .text   ascii   h(7B
114  0x000027d8 0x004033d8 4   5    .text   ascii   h(7B
115  0x00002827 0x00403427 4   5    .text   ascii   h(7B
116  0x0000287f 0x0040347f 4   5    .text   ascii   D$\fP
117  0x0000289f 0x0040349f 4   6    .text   utf8    ̡D7B blocks=Combining Diacritical Marks,Basic Latin
118  0x000028c3 0x004034c3 4   5    .text   ascii   L$\bQ
119  0x000028d2 0x004034d2 4   5    .text   ascii   T$\fR
120  0x0000291f 0x0040351f 4   6    .text   utf8    ̡H7B blocks=Combining Diacritical Marks,Basic Latin
121  0x00002943 0x00403543 4   5    .text   ascii   L$\bQ
122  0x00002952 0x00403552 4   5    .text   ascii   T$\fR
123  0x0000299f 0x0040359f 4   6    .text   utf8    ̡L7B blocks=Combining Diacritical Marks,Basic Latin
124  0x000029c3 0x004035c3 4   5    .text   ascii   L$\bQ
125  0x000029d2 0x004035d2 4   5    .text   ascii   T$\fR
126  0x00002a1f 0x0040361f 4   6    .text   utf8    ̡P7B blocks=Combining Diacritical Marks,Basic Latin
127  0x00002a43 0x00403643 4   5    .text   ascii   L$\bQ
128  0x00002a52 0x00403652 4   5    .text   ascii   T$\fR
129  0x00002aaf 0x004036af 4   6    .text   utf8    ̡T7B blocks=Combining Diacritical Marks,Basic Latin
130  0x00002ad3 0x004036d3 4   5    .text   ascii   L$\bQ
131  0x00002ae2 0x004036e2 4   5    .text   ascii   T$\fR
132  0x00002b3f 0x0040373f 4   6    .text   utf8    ̡X7B blocks=Combining Diacritical Marks,Basic Latin
133  0x00002b63 0x00403763 4   5    .text   ascii   L$\bQ
134  0x00002b72 0x00403772 4   5    .text   ascii   T$\fR
135  0x00002bcf 0x004037cf 4   6    .text   utf8    ̡\7B blocks=Combining Diacritical Marks,Basic Latin
136  0x00002bf3 0x004037f3 4   5    .text   ascii   L$\bQ
137  0x00002c02 0x00403802 4   5    .text   ascii   T$\fR
138  0x00002c5f 0x0040385f 4   6    .text   utf8    ̡`7B blocks=Combining Diacritical Marks,Basic Latin
139  0x00002c83 0x00403883 4   5    .text   ascii   L$\bQ
140  0x00002c92 0x00403892 4   5    .text   ascii   T$\fR
141  0x00002cff 0x004038ff 4   6    .text   utf8    ̡d7B blocks=Combining Diacritical Marks,Basic Latin
142  0x00002d23 0x00403923 4   5    .text   ascii   L$\bQ
143  0x00002d32 0x00403932 4   5    .text   ascii   T$\fR
144  0x00002dcf 0x004039cf 4   6    .text   utf8    ̡h7B blocks=Combining Diacritical Marks,Basic Latin
145  0x00002df3 0x004039f3 4   5    .text   ascii   L$\bQ
146  0x00002e02 0x00403a02 4   5    .text   ascii   T$\fR
147  0x00002e4f 0x00403a4f 4   6    .text   utf8    ̡l7B blocks=Combining Diacritical Marks,Basic Latin
148  0x00002e73 0x00403a73 4   5    .text   ascii   L$\bQ
149  0x00002e82 0x00403a82 4   5    .text   ascii   T$\fR
150  0x00002ecf 0x00403acf 4   6    .text   utf8    ̡p7B blocks=Combining Diacritical Marks,Basic Latin
151  0x00002ef3 0x00403af3 4   5    .text   ascii   L$\bQ
152  0x00002f02 0x00403b02 4   5    .text   ascii   T$\fR
