[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
944  0x00014e4e 0x10014e4e 5   6    .text   ascii   ud_^[
945  0x00014e90 0x10014e90 4   5    .text   ascii   E\fVP
946  0x00014eca 0x10014eca 4   5    .text   ascii   tTSV
947  0x00014eeb 0x10014eeb 5   6    .text   ascii   9p\bt3
948  0x00014ef1 0x10014ef1 4   5    .text   ascii   ?MOC
949  0x00014ef9 0x10014ef9 4   5    .text   ascii   ?RCC
950  0x00014f07 0x10014f07 4   5    .text   ascii   u SV
951  0x00014f1c 0x10014f1c 5   6    .text   ascii   t\b^[_
952  0x00014f9a 0x10014f9a 4   5    .text   ascii   u Rj
953  0x00014fcf 0x10014fcf 5   6    .text   ascii   U\bSVW
954  0x00015053 0x10015053 5   6    .text   ascii   @_^[]
955  0x0001507f 0x1001507f 5   6    .text   ascii   9p u"
956  0x00015085 0x10015085 4   5    .text   ascii   :csm
957  0x000150a9 0x100150a9 5   6    .text   ascii   ft&9q
958  0x000150d2 0x100150d2 4   5    .text   ascii   9q\fu
959  0x000150f6 0x100150f6 4   5    .text   ascii   :csm
960  0x00015101 0x10015101 4   5    .text   ascii   r49z
961  0x00015155 0x10015155 5   6    .text   ascii   @_^[]
962  0x000151ad 0x100151ad 4   5    .text   ascii   j<h(
963  0x000151ca 0x100151ca 4   6    .text   utf8    EЋ}\b blocks=Basic Latin,Cyrillic
964  0x00015273 0x10015273 6   7    .text   ascii   9O\fv:k
965  0x00015283 0x10015283 4   5    .text   ascii   ]\f~"
966  0x000152ad 0x100152ad 4   5    .text   ascii   ;O\fr
967  0x000152e9 0x100152e9 4   5    .text   ascii   Y_^[
968  0x000152f6 0x100152f6 4   6    .text   utf8    EЋM\f blocks=Basic Latin,Cyrillic
969  0x0001531e 0x1001531e 4   5    .text   ascii   ?csm
970  0x000153b4 0x100153b4 4   5    .text   ascii   8csm
971  0x0001546a 0x1001546a 4   5    .text   ascii   t0QW
972  0x000154d2 0x100154d2 4   5    .text   ascii   Y_^[
973  0x0001562b 0x1001562b 4   5    .text   ascii   ;A\br
974  0x00015658 0x10015658 4   5    .text   ascii   ;A\br
975  0x0001567f 0x1001567f 6   7    .text   ascii   URPQQh
976  0x00015695 0x10015695 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
977  0x000156aa 0x100156aa 4   5    .text   ascii   L$,3
978  0x000156fc 0x100156fc 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
979  0x00015770 0x10015770 4   5    .text   ascii   UVWS
980  0x00015782 0x10015782 5   7    .text   utf8    [_^]Ð blocks=Basic Latin,Latin-1 Supplement
981  0x000157a7 0x100157a7 4   5    .text   ascii   SVWj
982  0x000157b9 0x100157b9 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
983  0x000157c2 0x100157c2 5   6    .text   ascii   l$\bRQ
984  0x00015848 0x10015848 6   8    .text   utf8    3\nD$\bS
985  0x0001587d 0x1001587d 4   6    .text   utf8    V\v؋\n blocks=Basic Latin,Arabic
986  0x000158bc 0x100158bc 4   5    .text   ascii   ^_[3
987  0x000158f9 0x100158f9 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
988  0x00015900 0x10015900 5   7    .text   utf8    ^_[ÍB blocks=Basic Latin,Latin-1 Supplement
989  0x00015907 0x10015907 4   6    .text   utf8    ^_[á blocks=Basic Latin,Latin-1 Supplement
990  0x00015984 0x10015984 4   5    .text   ascii   QSVW
991  0x000159d0 0x100159d0 6   7    .text   ascii   Wu5j\ah
992  0x000159e5 0x100159e5 5   6    .text   ascii   t!j\ah
993  0x000159f9 0x100159f9 5   6    .text   ascii   t\rVVS
994  0x00015a95 0x10015a95 4   7    .text   utf8    t\rV蘖 blocks=Basic Latin,CJK Unified Ideographs
995  0x00015c76 0x10015c76 7   9    .text   utf8    A\b]ËA\b] blocks=Basic Latin,Latin-1 Supplement
996  0x00015c93 0x10015c93 5   6    .text   ascii   SVWUj
997  0x00015ca9 0x10015ca9 4   5    .text   ascii   ]_^[
998  0x00015caf 0x10015caf 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
999  0x00015d35 0x10015d35 6   7    .text   ascii   ;t$,v-
1000 0x00015d90 0x10015d90 6   7    .text   ascii   R\f9Q\bu
1001 0x00015dbe 0x10015dbe 10  11   .text   ascii   k\fUQPXY]Y[
1002 0x00015de8 0x10015de8 4   5    .text   ascii   t&:a
1003 0x00015e8b 0x10015e8b 4   5    .text   ascii   uiQQ
1004 0x00015f0b 0x10015f0b 4   5    .text   ascii   E\bYY
1005 0x000160b2 0x100160b2 4   6    .text   utf8    \fÍT$ blocks=Basic Latin,Latin-1 Supplement
1006 0x000160c3 0x100160c3 6   7    .text   ascii   D$\ftQf
1007 0x00016357 0x10016357 5   6    .text   ascii   PPPPP
1008 0x0001636a 0x1001636a 5   6    .text   ascii   VVVVV
1009 0x00016377 0x10016377 5   6    .text   ascii   VVVVV
1010 0x000163be 0x100163be 6   8    .text   utf8    M\bSV3ۋ blocks=Basic Latin,Arabic
1011 0x000163ca 0x100163ca 7   8    .text   ascii   t\fj-ZCf
1012 0x0001643e 0x1001643e 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1013 0x0001663a 0x1001663a 4   6    .text   utf8    \b\vЀ} blocks=Basic Latin,Cyrillic
1014 0x00016718 0x10016718 6   8    .text   utf8    H#E\f]Ë blocks=Basic Latin,Latin-1 Supplement
1015 0x0001679b 0x1001679b 4   5    .text   ascii   j\fh 
1016 0x000168d5 0x100168d5 4   5    .text   ascii   u\fQP
1017 0x000168f6 0x100168f6 4   6    .text   utf8    E\b3Ƀ blocks=Basic Latin,Latin Extended-B
1018 0x00016ac7 0x10016ac7 7   8    .text   ascii   <ct\b<st
1019 0x00016b34 0x10016b34 4   6    .text   utf8    t03ҋ blocks=Basic Latin,Cyrillic
1020 0x00016b65 0x10016b65 4   6    .text   utf8    ŋF4+ blocks=Latin Extended-A,Basic Latin
1021 0x00016b6c 0x10016b6c 4   5    .text   ascii   ~8@_
1022 0x00016b71 0x10016b71 5   6    .text   ascii   F4^[]
1023 0x00016b7e 0x10016b7e 4   5    .text   ascii   QQSV
1024 0x00016be8 0x10016be8 6   9    .text   utf8    N4빋F4+ blocks=Basic Latin,Hangul Syllables
1025 0x00016bf2 0x10016bf2 4   5    .text   ascii   ~8@_
1026 0x00016bf7 0x10016bf7 4   5    .text   ascii   F4^[
1027 0x00016c29 0x10016c29 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1028 0x00016c55 0x10016c55 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1029 0x00016c5e 0x10016c5e 4   6    .text   utf8    Q3\tM
1030 0x00016e39 0x10016e39 10  11   .text   ascii   \t<et\v<Et\aA
1031 0x00016e81 0x10016e81 4   6    .text   utf8    3ɋE\f blocks=Basic Latin,Latin Extended-B
1032 0x00016f33 0x10016f33 4   5    .text   ascii   Wj\nQ
1033 0x00017078 0x10017078 4   6    .text   utf8    [^ÍI blocks=Basic Latin,Latin-1 Supplement
1034 0x000172b3 0x100172b3 4   5    .text   ascii   <Pt8
1035 0x00017314 0x10017314 4   5    .text   ascii   <Pt8
1036 0x00017358 0x10017358 5   6    .text   ascii   y1*t\n
1037 0x0001737e 0x1001737e 6   8    .text   utf8    ÊA1<Fu blocks=Latin-1 Supplement,Basic Latin
1038 0x000173a0 0x100173a0 4   5    .text   ascii   <Nu&
1039 0x000173a6 0x100173a6 4   6    .text   utf8    j\bZ#
1040 0x0001746f 0x1001746f 4   5    .text   ascii   u<dt
1041 0x00017478 0x10017478 11  12   .text   ascii   <ot\f<ut\b<xt
1042 0x00017484 0x10017484 4   5    .text   ascii   <Xu]
1043 0x000174cd 0x100174cd 5   6    .text   ascii   8lu\r@
1044 0x000174e7 0x100174e7 6   8    .text   utf8    ÊA1<Fu blocks=Latin-1 Supplement,Basic Latin
1045 0x00017509 0x10017509 4   5    .text   ascii   <Nu&
1046 0x0001750f 0x1001750f 4   6    .text   utf8    j\bZ#
1047 0x000175d8 0x100175d8 4   5    .text   ascii   u<dt
1048 0x000175e1 0x100175e1 11  12   .text   ascii   <ot\f<ut\b<xt
1049 0x000175ed 0x100175ed 4   5    .text   ascii   <Xu]
1050 0x00017636 0x10017636 5   6    .text   ascii   8lu\r@
1051 0x000176b9 0x100176b9 4   5    .text   ascii   \atVH
1052 0x000177e9 0x100177e9 6   7    .text   ascii   ^$+^8+
1053 0x000178e8 0x100178e8 4   5    .text   ascii   \atVH
1054 0x00017a18 0x10017a18 6   7    .text   ascii   ^$+^8+
1055 0x00017aad 0x10017aad 7   9    .text   utf8    ]Ày1*t\n blocks=Basic Latin,Latin-1 Supplement
1056 0x00017bb0 0x10017bb0 10  11   .text   ascii   F1<at\r<At\t
1057 0x00017bcf 0x10017bcf 5   6    .text   ascii   F1<gt
1058 0x00017bd5 0x10017bd5 4   5    .text   ascii   <Gu\a
1059 0x00017c01 0x10017c01 4   6    .text   utf8    +ÉF( blocks=Basic Latin,Latin-1 Supplement
1060 0x00017c52 0x10017c52 4   5    .text   ascii   v(PQ
1061 0x00017c92 0x10017c92 5   6    .text   ascii   F1<gt
1062 0x00017cb7 0x10017cb7 4   5    .text   ascii   8-u\b
1063 0x00017cbc 0x10017cbc 4   5    .text   ascii   N @@
1064 0x00017cc8 0x10017cc8 11  12   .text   ascii   <it\f<It\b<nt
1065 0x00017d37 0x10017d37 4   5    .text   ascii   F8SP
1066 0x00017e71 0x10017e71 4   5    .text   ascii   9F(~
1067 0x00017e8b 0x10017e8b 5   6    .text   ascii   \bu\vRQ
1068 0x00017eb5 0x10017eb5 4   5    .text   ascii   80t\f
1069 0x00017f3e 0x10017f3e 5   7    .text   utf8    _^ËQ  blocks=Basic Latin,Latin-1 Supplement
1070 0x00018112 0x10018112 4   5    .text   ascii   A\b;A
1071 0x0001816f 0x1001816f 4   6    .text   utf8    ~43ۅ blocks=Basic Latin,Arabic
1072 0x00018196 0x10018196 4   5    .text   ascii   u&9E
1073 0x000181b6 0x100181b6 5   6    .text   ascii   C;^8u
1074 0x00018216 0x10018216 4   6    .text   utf8    ~43ۅ blocks=Basic Latin,Arabic
1075 0x0001823d 0x1001823d 4   5    .text   ascii   u&9E
1076 0x0001825d 0x1001825d 5   6    .text   ascii   C;^8u
1077 0x00018327 0x10018327 4   5    .text   ascii   QQVW
1078 0x00018340 0x10018340 4   5    .text   ascii   9p\bu
1079 0x0001835c 0x1001835c 5   6    .text   ascii   E+p\bS
1080 0x0001844e 0x1001844e 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
1081 0x0001867a 0x1001867a 4   5    .text   ascii   |%=2
1082 0x000186ce 0x100186ce 6   8    .text   utf8    E\bYY]Ë blocks=Basic Latin,Latin-1 Supplement
1083 0x000186f5 0x100186f5 5   7    .text   utf8    j\rX]Í blocks=Basic Latin,Latin-1 Supplement
1084 0x00018838 0x10018838 4   5    .text   ascii   kE\b8
1085 0x000188ad 0x100188ad 5   7    .text   utf8    X]ËU\f blocks=Basic Latin,Latin-1 Supplement
1086 0x00018906 0x10018906 8   9    .text   ascii   PPPPPPPP
1087 0x00018946 0x10018946 4   5    .text   ascii   j\fh@
1088 0x00018a42 0x10018a42 4   5    .text   ascii   E\bYY
1089 0x00018a50 0x10018a50 5   6    .text   ascii   Dz8QQ
1090 0x00018a89 0x10018a89 5   6    .text   ascii   E\bWQQ
1091 0x00018aca 0x10018aca 4   5    .text   ascii   E\fSV
1092 0x00018acf 0x10018acf 4   6    .text   utf8    u\b+ƃ blocks=Basic Latin,Latin Extended-B
1093 0x00018adc 0x10018adc 4   5    .text   ascii   9u\f\e
1094 0x00018b42 0x10018b42 4   5    .text   ascii   ;u\fu
1095 0x00018bb1 0x10018bb1 4   5    .text   ascii   j\fh`
1096 0x00018c0b 0x10018c0b 5   6    .text   ascii   }\bcsm
1097 0x00018c77 0x10018c77 4   5    .text   ascii   j Y+
1098 0x00018d8f 0x10018d8f 4   6    .text   utf8    A8PE
1099 0x00018da1 0x10018da1 4   6    .text   utf8    uۃxt blocks=Basic Latin,Arabic
1100 0x00018dcc 0x10018dcc 4   5    .text   ascii   Ph4N
1101 0x00018ddc 0x10018ddc 6   7    .text   ascii   t#VhLN
1102 0x00018ea5 0x10018ea5 4   5    .text   ascii   5x"\a
1103 0x00018ec2 0x10018ec2 4   5    .text   ascii   PWWS
1104 0x00018f43 0x10018f43 4   5    .text   ascii   9:t\b
1105 0x00018f4a 0x10018f4a 4   5    .text   ascii   A98u
1106 0x00018f50 0x10018f50 5   7    .text   utf8    ǉ\rd"\a blocks=Latin Extended-B,Basic Latin
1107 0x00018fa7 0x10018fa7 5   7    .text   utf8    E\f2ɈM blocks=Basic Latin,Latin Extended-B
1108 0x00018faf 0x10018faf 4   5    .text   ascii   >"u\r
1109 0x00019052 0x10019052 4   5    .text   ascii   >"u1
1110 0x00019095 0x10019095 10  11   .text   ascii   u\b< t1<\tt-
1111 0x000190dc 0x100190dc 5   6    .text   ascii   M\f_^[
1112 0x0001910b 0x1001910b 4   6    .text   utf8    M\f3ҋ blocks=Basic Latin,Cyrillic
1113 0x00019142 0x10019142 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1114 0x000191af 0x100191af 5   6    .text   ascii   QQSVW
1115 0x000191b5 0x100191b5 4   6    .text   utf8    }\b3ҋ blocks=Basic Latin,Cyrillic
1116 0x000191ff 0x100191ff 4   6    .text   utf8    +ʀ?= blocks=Basic Latin,IPA Extensions
1117 0x00019270 0x10019270 5   6    .text   ascii   PPPPP
1118 0x000192a5 0x100192a5 5   7    .text   utf8    Y_^]Ë blocks=Basic Latin,Latin-1 Supplement
1119 0x0001945b 0x1001945b 7   9    .text   utf8    j Y+ȋE\b blocks=Basic Latin,Latin Extended-B
1120 0x000194cb 0x100194cb 4   5    .text   ascii   j Y+
1121 0x00019524 0x10019524 7   8    .text   ascii   u\vj Y;E
1122 0x00019556 0x10019556 4   5    .text   ascii   j Y+
1123 0x00019578 0x10019578 4   5    .text   ascii   P\b_3
1124 0x000195bc 0x100195bc 5   7    .text   utf8    3؋v\b3 blocks=Basic Latin,Arabic
1125 0x000195ea 0x100195ea 4   5    .text   ascii   j _;
1126 0x0001964c 0x1001964c 4   5    .text   ascii   j Y+
1127 0x000196e0 0x100196e0 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1128 0x00019715 0x10019715 4   5    .text   ascii   ;F\bu
1129 0x00019722 0x10019722 4   5    .text   ascii   j Y+
1130 0x00019825 0x10019825 4   5    .text   ascii   5h"\a
1131 0x00019836 0x10019836 4   5    .text   ascii   5l"\a
1132 0x0001983c 0x1001983c 4   5    .text   ascii   5h"\a
1133 0x0001984a 0x1001984a 4   5    .text   ascii   5l"\a
1134 0x00019a72 0x10019a72 5   6    .text   ascii   ~0WPQ
1135 0x00019aa6 0x10019aa6 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
1136 0x00019b29 0x10019b29 4   6    .text   utf8    Eԋ]\b blocks=Basic Latin,Cyrillic Supplement
1137 0x00019b85 0x10019b85 4   6    .text   utf8    \tE܃e blocks=Basic Latin,Syriac
1138 0x00019bc5 0x10019bc5 5   7    .text   utf8    Ë]\bj\b blocks=Latin-1 Supplement,Basic Latin
1139 0x00019bd2 0x10019bd2 4   5    .text   ascii   j\fh\b
1140 0x00019c4a 0x10019c4a 4   6    .text   utf8    ]Ãj\b blocks=Basic Latin,Latin-1 Supplement
1141 0x00019ddb 0x10019ddb 4   6    .text   utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1142 0x00019ded 0x10019ded 4   5    .text   ascii   j\fhp
1143 0x00019df9 0x10019df9 4   6    .text   utf8    3\vu\f
1144 0x0001a1a0 0x1001a1a0 4   5    .text   ascii   9u\fr
1145 0x0001a1ce 0x1001a1ce 5   6    .text   ascii   \f9u\fs
1146 0x0001a1e9 0x1001a1e9 5   7    .text   utf8    X_^]Ë blocks=Basic Latin,Latin-1 Supplement
1147 0x0001a20c 0x1001a20c 4   6    .text   utf8    ]ËE\f blocks=Basic Latin,Latin-1 Supplement
1148 0x0001a231 0x1001a231 4   5    .text   ascii   u\b+u
1149 0x0001a238 0x1001a238 4   5    .text   ascii   }\f\e}
1150 0x0001a241 0x1001a241 4   5    .text   ascii   A9E\f
1151 0x0001a249 0x1001a249 4   5    .text   ascii   9E\bs
1152 0x0001a268 0x1001a268 5   6    .text   ascii   t39E\f
1153 0x0001a271 0x1001a271 4   5    .text   ascii   9E\bs
1154 0x0001a2a5 0x1001a2a5 4   5    .text   ascii   _^[]
1155 0x0001a33a 0x1001a33a 4   5    .text   ascii   Wu\a2
1156 0x0001a35c 0x1001a35c 4   5    .text   ascii   E\bV3
1157 0x0001a361 0x1001a361 5   6    .text   ascii   9p\b|h
1158 0x0001a389 0x1001a389 4   5    .text   ascii   uC9u
1159 0x0001a392 0x1001a392 4   7    .text   utf8    VVR裝 blocks=Basic Latin,CJK Unified Ideographs
1160 0x0001a3d0 0x1001a3d0 6   8    .text   utf8    ^_]Ëu\b blocks=Basic Latin,Latin-1 Supplement
1161 0x0001a3dc 0x1001a3dc 4   6    .text   utf8    +Y;U
1162 0x0001a403 0x1001a403 5   6    .text   ascii   M\b)y\b
1163 0x0001a42a 0x1001a42a 8   10   .text   utf8    ]ËE\bSVWj blocks=Basic Latin,Latin-1 Supplement
1164 0x0001a442 0x1001a442 5   6    .text   ascii   ]\fVWS
1165 0x0001a48f 0x1001a48f 5   6    .text   ascii   E\bt\vj
1166 0x0001a4a3 0x1001a4a3 4   5    .text   ascii   A<Au
1167 0x0001a4c5 0x1001a4c5 4   5    .text   ascii   VWSP
1168 0x0001a4de 0x1001a4de 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
1169 0x0001a5f4 0x1001a5f4 4   6    .text   utf8    ]ËM\b blocks=Basic Latin,Latin-1 Supplement
1170 0x0001a606 0x1001a606 4   6    .text   utf8    wՍC\f blocks=Basic Latin,Armenian
1171 0x0001a65f 0x1001a65f 5   6    .text   ascii   \f)C\b+
1172 0x0001a89d 0x1001a89d 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
1173 0x0001aa34 0x1001aa34 4   5    .text   ascii   [_^]
1174 0x0001aa45 0x1001aa45 4   6    .text   utf8    3\vu\f
1175 0x0001aac2 0x1001aac2 4   5    .text   ascii   tVWh
1176 0x0001aae8 0x1001aae8 4   5    .text   ascii   "tPj
1177 0x0001ab3b 0x1001ab3b 5   6    .text   ascii   WWWWW
1178 0x0001ab73 0x1001ab73 4   6    .text   utf8    E܋HL blocks=Basic Latin,Syriac
1179 0x0001ab79 0x1001ab79 4   6    .text   utf8    MԋHH blocks=Basic Latin,Cyrillic Supplement
1180 0x0001ab89 0x1001ab89 5   6    .text   ascii   PSWSS
1181 0x0001aba5 0x1001aba5 8   9    .text   ascii   "u\nSSSSS
1182 0x0001abf0 0x1001abf0 9   12   .text   utf8    "u\aWWWWW볅 blocks=Basic Latin,Hangul Syllables
1183 0x0001ad89 0x1001ad89 6   8    .text   utf8    YY]ËM\b blocks=Basic Latin,Latin-1 Supplement
1184 0x0001adb6 0x1001adb6 6   8    .text   utf8    YY]ËM\b blocks=Basic Latin,Latin-1 Supplement
1185 0x0001ade3 0x1001ade3 6   8    .text   utf8    YY]ËM\b blocks=Basic Latin,Latin-1 Supplement
1186 0x0001ae05 0x1001ae05 6   8    .text   utf8    ]ËM\bW3 blocks=Basic Latin,Latin-1 Supplement
1187 0x0001ae38 0x1001ae38 4   5    .text   ascii   u\bSW
1188 0x0001ae4e 0x1001ae4e 5   6    .text   ascii   PPPPP
1189 0x0001aeeb 0x1001aeeb 4   8    .text   utf8    uĉ]䋎 blocks=Basic Latin,Latin Extended-A,CJK Unified Ideographs Extension A
1190 0x0001aefa 0x1001aefa 5   8    .text   utf8    ]܉]Љu blocks=Basic Latin,Syriac,Cyrillic
1191 0x0001b00c 0x1001b00c 4   5    .text   ascii   PRQh
1192 0x0001b063 0x1001b063 4   5    .text   ascii   ~+8]
1193 0x0001b0ed 0x1001b0ed 4   5    .text   ascii   ~@8]
1194 0x0001b2f4 0x1001b2f4 4   5    .text   ascii   u\n_3
1195 0x0001b448 0x1001b448 4   7    .text   utf8    +ЉMȋ blocks=Basic Latin,Cyrillic,Latin Extended-B
1196 0x0001b488 0x1001b488 5   6    .text   ascii   u\v^_3
1197 0x0001b493 0x1001b493 6   9    .text   utf8    ]Ë}ȋE\f blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
1198 0x0001b4c3 0x1001b4c3 4   7    .text   utf8    +IEą blocks=Basic Latin,Latin Extended-A
1199 0x0001b5da 0x1001b5da 5   8    .text   utf8    3\tu؉] blocks=Basic Latin,Arabic
1200 0x0001b5f4 0x1001b5f4 6   8    .text   utf8    wIPS3ɋ blocks=Basic Latin,Latin Extended-B
1201 0x0001b66e 0x1001b66e 4   7    .text   utf8    e؋ȋE blocks=Basic Latin,Arabic,Latin Extended-B
1202 0x0001b815 0x1001b815 5   6    .text   ascii   d$\buZ
1203 0x0001b851 0x1001b851 4   5    .text   ascii   d$\bu
1204 0x0001b873 0x1001b873 4   6    .text   utf8    ÍT$\f blocks=Latin-1 Supplement,Basic Latin
1205 0x0001b912 0x1001b912 5   7    .text   utf8    ZÍT$\b blocks=Basic Latin,Latin-1 Supplement
1206 0x0001b94e 0x1001b94e 5   7    .text   utf8    učT$\b blocks=Basic Latin,Latin Extended-A
1207 0x0001b971 0x1001b971 5   6    .text   ascii   \vT$\bu
1208 0x0001b9b3 0x1001b9b3 4   5    .text   ascii   D$\f%
1209 0x0001b9bb 0x1001b9bb 4   5    .text   ascii   \vD$\b
1210 0x0001ba75 0x1001ba75 8   9    .text   ascii   t\f;E\ft\a@
1211 0x0001bb02 0x1001bb02 4   5    .text   ascii   j X+
1212 0x0001bb0b 0x1001bb0b 5   7    .text   utf8    #ЋE\f; blocks=Basic Latin,Cyrillic
1213 0x0001bb8c 0x1001bb8c 5   7    .text   utf8    #ЋE\f; blocks=Basic Latin,Cyrillic
1214 0x0001bc1c 0x1001bc1c 4   5    .text   ascii   M\bVW
1215 0x0001bc5a 0x1001bc5a 4   5    .text   ascii   j X+
1216 0x0001bc7d 0x1001bc7d 7   8    .text   ascii   t\rf9:t\b
1217 0x0001bca8 0x1001bca8 4   6    .text   utf8    Wɍ\fJ blocks=Basic Latin,Latin Extended-B
1218 0x0001bccc 0x1001bccc 6   7    .text   ascii   \bf9:t\a
1219 0x0001bd42 0x1001bd42 7   8    .text   ascii   t\rf9:t\b
1220 0x0001bd69 0x1001bd69 4   6    .text   utf8    +ȍ\fJ blocks=Basic Latin,Latin Extended-B
1221 0x0001bd90 0x1001bd90 6   7    .text   ascii   \bf9:t\a
1222 0x0001bdaf 0x1001bdaf 5   6    .text   ascii   f9:t\a
1223 0x0001be5d 0x1001be5d 4   5    .text   ascii   M\fSW
1224 0x0001bf13 0x1001bf13 6   7    .text   ascii   ,0<\tw\b
1225 0x0001bf4a 0x1001bf4a 5   6    .text   ascii   u=j\n_
1226 0x0001bf58 0x1001bf58 9   10   .text   ascii   u\f<xt\e<Xt
1227 0x0001bf87 0x1001bf87 4   6    .text   utf8    u\f3҃ blocks=Basic Latin,Cyrillic
1228 0x0001c01a 0x1001c01a 4   6    .text   utf8    3ۉE\f blocks=Basic Latin,Arabic
1229 0x0001c085 0x1001c085 4   5    .text   ascii   M\fSW
1230 0x0001c130 0x1001c130 4   5    .text   ascii   j0Xj
1231 0x0001c14b 0x1001c14b 5   6    .text   ascii   j:Xf;
1232 0x0001c39e 0x1001c39e 7   8    .text   ascii   u0jAXf;
1233 0x0001c3a6 0x1001c3a6 7   8    .text   ascii   w\bjZXf;
1234 0x0001c427 0x1001c427 5   6    .text   ascii   j0Xf;
1235 0x0001c433 0x1001c433 5   6    .text   ascii   j:Xf;
1236 0x0001c686 0x1001c686 7   8    .text   ascii   u0jAXf;
1237 0x0001c68e 0x1001c68e 7   8    .text   ascii   w\bjZXf;
1238 0x0001c6bb 0x1001c6bb 4   5    .text   ascii   t1;E
1239 0x0001c6ff 0x1001c6ff 4   6    .text   utf8    3ۉE\f blocks=Basic Latin,Arabic
1240 0x0001c769 0x1001c769 4   5    .text   ascii   j\nQQ
1241 0x0001c814 0x1001c814 4   6    .text   utf8    ]ËM\f blocks=Basic Latin,Latin-1 Supplement
1242 0x0001c828 0x1001c828 7   8    .text   ascii   t\rf;1u\b
1243 0x0001c857 0x1001c857 4   5    .text   ascii   3E\f%
1244 0x0001c886 0x1001c886 4   5    .text   ascii   E\bQQ
1245 0x0001c9e0 0x1001c9e0 4   6    .text   utf8    8_]Ë blocks=Basic Latin,Latin-1 Supplement
1246 0x0001ca20 0x1001ca20 4   5    .text   ascii   E\bu\a
1247 0x0001ca28 0x1001ca28 5   7    .text   utf8    @]Á}\f blocks=Basic Latin,Latin-1 Supplement
1248 0x0001cb9f 0x1001cb9f 5   6    .text   ascii   C WVP
1249 0x0001cbc0 0x1001cbc0 5   7    .text   utf8    E\rC j
1250 0x0001cc3e 0x1001cc3e 4   5    .text   ascii   C YY
1251 0x0001cdc2 0x1001cdc2 5   7    .text   utf8    }++ȋE blocks=Basic Latin,Latin Extended-B
1252 0x0001ce04 0x1001ce04 4   5    .text   ascii   _t\bj
1253 0x0001ce1a 0x1001ce1a 5   6    .text   ascii    t\vj 
1254 0x0001cf04 0x1001cf04 4   5    .text   ascii   \b1A\b
1255 0x0001cf37 0x1001cf37 4   5    .text   ascii   3A\b#
1256 0x0001cf7c 0x1001cf7c 5   6    .text   ascii   E\b\tX\f
1257 0x0001d013 0x1001d013 5   6    .text   ascii   E\b\tX 
1258 0x0001d031 0x1001d031 5   6    .text   ascii   E\b\tX`
1259 0x0001d065 0x1001d065 5   6    .text   ascii   E\b\tX`
1260 0x0001d08a 0x1001d08a 4   5    .text   ascii   E\bPj
1261 0x0001d0a5 0x1001d0a5 4   5    .text   ascii   A\b\bt
1262 0x0001d151 0x1001d151 5   7    .text   utf8    \e_[]Ë blocks=Basic Latin,Latin-1 Supplement
1263 0x0001d251 0x1001d251 5   6    .text   ascii   #E\ff\v
1264 0x0001d306 0x1001d306 4   5    .text   ascii   u\vf9
1265 0x0001d32f 0x1001d32f 4   5    .text   ascii   u\ff9
1266 0x0001d355 0x1001d355 6   7    .text   ascii   Wj5_f;
1267 0x0001d3f1 0x1001d3f1 4   6    .text   utf8    \a#ЉU blocks=Basic Latin,Cyrillic
1268 0x0001d5e1 0x1001d5e1 5   7    .text   utf8    @t\bƅp blocks=Basic Latin,Latin Extended-B
1269 0x0001d60e 0x1001d60e 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
1270 0x0001d64d 0x1001d64d 5   7    .text   utf8    @t\tƅp blocks=Basic Latin,Latin Extended-B
1271 0x0001d797 0x1001d797 5   7    .text   utf8    ËD$\b% blocks=Latin-1 Supplement,Basic Latin
1272 0x0001d7a8 0x1001d7a8 4   6    .text   utf8    ËD$\b blocks=Latin-1 Supplement,Basic Latin
1273 0x0001d7e1 0x1001d7e1 4   6    .text   utf8    ,$ZÃ blocks=Basic Latin,Latin-1 Supplement
1274 0x0001d89c 0x1001d89c 4   5    .text   ascii   j\bhp
1275 0x0001d998 0x1001d998 4   5    .text   ascii   j\bhP
1276 0x0001dbdb 0x1001dbdb 4   5    .text   ascii   FLY;
