[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
155  0x0000522c 0x1000522c 4   6    .text   utf8    +ы|$ blocks=Basic Latin,Cyrillic
156  0x00005272 0x10005272 4   6    .text   utf8    YY3҉ blocks=Basic Latin,Cyrillic
157  0x000052f3 0x100052f3 4   5    .text   ascii   _^][
158  0x000053cc 0x100053cc 4   5    .text   ascii   \fSVW
159  0x000053d9 0x100053d9 5   6    .text   ascii   }\f+}\b
160  0x00005416 0x10005416 4   5    .text   ascii   ;E\ft
161  0x0000545c 0x1000545c 4   5    .text   ascii   \$\bW
162  0x000054d0 0x100054d0 4   5    .text   ascii   \$\bW
163  0x00005519 0x10005519 4   5    .text   ascii   r\v@P
164  0x0000554c 0x1000554c 4   7    .text   utf8    t\bP豛 blocks=Basic Latin,CJK Unified Ideographs
165  0x00005574 0x10005574 5   6    .text   ascii   E\fYYP
166  0x00005690 0x10005690 4   5    .text   ascii   I\bVW
167  0x000056b3 0x100056b3 4   5    .text   ascii   FYf;
168  0x0000574c 0x1000574c 4   5    .text   ascii   T$\bf
169  0x000057d2 0x100057d2 4   5    .text   ascii   QQvI
170  0x00005804 0x10005804 4   5    .text   ascii   XD$(
171  0x00005816 0x10005816 4   5    .text   ascii   XL$\b
172  0x00005876 0x10005876 4   5    .text   ascii   XD$0
173  0x00005890 0x10005890 4   6    .text   utf8    ]ËD$ blocks=Basic Latin,Latin-1 Supplement
174  0x000058c7 0x100058c7 5   6    .text   ascii   QQSVW
175  0x0000597d 0x1000597d 5   6    .text   ascii   D$\f_^
176  0x000059af 0x100059af 4   6    .text   utf8    u\fhŝ blocks=Basic Latin,Latin Extended-A
177  0x000059d8 0x100059d8 4   5    .text   ascii   G\f;4
178  0x000059ea 0x100059ea 4   5    .text   ascii   ;F\bu
179  0x00005a58 0x10005a58 4   6    .text   utf8    <ًB\f blocks=Basic Latin,Arabic
180  0x00005b1b 0x10005b1b 4   5    .text   ascii   /\vvE
181  0x00005b41 0x10005b41 4   5    .text   ascii   t!VW
182  0x00005b62 0x10005b62 5   6    .text   ascii   _^[YY
183  0x00005b80 0x10005b80 5   6    .text   ascii   D$\bVW
184  0x00005bc2 0x10005bc2 4   5    .text   ascii   QSVW
185  0x00005c1a 0x10005c1a 5   6    .text   ascii   t$\fWj
186  0x00005c23 0x10005c23 5   7    .text   utf8    F\bPhŝ blocks=Basic Latin,Latin Extended-A
187  0x00005c75 0x10005c75 5   6    .text   ascii   D$\f_^
188  0x00005c82 0x10005c82 4   6    .text   utf8    ËD$\f blocks=Latin-1 Supplement,Basic Latin
189  0x00005d96 0x10005d96 4   5    .text   ascii   w\e9~
190  0x00005db9 0x10005db9 4   5    .text   ascii   j>Y3
191  0x00005e12 0x10005e12 4   5    .text   ascii   w+9F
192  0x00005e57 0x10005e57 5   6    .text   ascii   t$\b+A
193  0x00005ee9 0x10005ee9 5   6    .text   ascii   7@PVW
194  0x00005f49 0x10005f49 4   5    .text   ascii   t$\fW
195  0x00005f99 0x10005f99 4   6    .text   utf8    s7+͋ blocks=Basic Latin,Combining Diacritical Marks
196  0x00005fd4 0x10005fd4 4   6    .text   utf8    +ŉD$ blocks=Basic Latin,Latin Extended-A
197  0x00005fee 0x10005fee 4   6    .text   utf8    I|$$
198  0x00006017 0x10006017 4   5    .text   ascii   +;D$
199  0x0000605c 0x1000605c 5   6    .text   ascii   D$8SP
200  0x0000608f 0x1000608f 5   6    .text   ascii   ][_^Y
201  0x0000609f 0x1000609f 4   5    .text   ascii   \$\fU
202  0x000060ac 0x100060ac 4   5    .text   ascii   WUSV
203  0x000060b9 0x100060b9 4   5    .text   ascii   t$8V
204  0x000060be 0x100060be 4   5    .text   ascii   t$8W
205  0x000060c8 0x100060c8 4   5    .text   ascii   D$4+
206  0x000060cd 0x100060cd 6   7    .text   ascii   +D$<@P
207  0x000060d7 0x100060d7 4   5    .text   ascii   D$@P
208  0x000060e6 0x100060e6 5   6    .text   ascii   $_^][
209  0x000060f6 0x100060f6 4   5    .text   ascii   }\b;~
210  0x0000610a 0x1000610a 5   6    .text   ascii   E\fWPS
211  0x00006165 0x10006165 5   6    .text   ascii   E\fSPV
212  0x000061af 0x100061af 4   6    .text   utf8    +IL$
213  0x0000623a 0x1000623a 4   6    .text   utf8    +IL$
214  0x00006303 0x10006303 4   5    .text   ascii   D$0f
215  0x00006346 0x10006346 6   7    .text   ascii   _^][YY
216  0x00006355 0x10006355 4   5    .text   ascii   QQSU
217  0x000063da 0x100063da 6   7    .text   ascii   _^][YY
218  0x000063f3 0x100063f3 4   5    .text   ascii   L$\fU
219  0x0000643b 0x1000643b 4   5    .text   ascii   t$,U
220  0x0000647a 0x1000647a 4   5    .text   ascii   \$\bW
221  0x000064c5 0x100064c5 4   5    .text   ascii   r\v@P
222  0x000064ed 0x100064ed 4   5    .text   ascii   L$\fU
