[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
81   0x00004037 0x00404c37 4   5    .text   ascii   VL^[
82   0x0000405a 0x00404c5a 5   6    .text   ascii   VWjHj
83   0x000057c4 0x004063c4 4   5    .text   ascii   G@_^
84   0x00005820 0x00406420 4   5    .text   ascii   $?\f@
85   0x00005a5d 0x0040665d 4   6    .text   utf8    \a3ڋU blocks=Basic Latin,Arabic
86   0x00005a7f 0x0040667f 4   6    .text   utf8    \r3ȉM blocks=Basic Latin,Latin Extended-B
87   0x00005abd 0x004066bd 6   9    .text   utf8    \r3щ]؉U blocks=Basic Latin,Cyrillic,Arabic
88   0x00005b03 0x00406703 4   6    .text   utf8    \r3ى] blocks=Basic Latin,Arabic
89   0x00005b8b 0x0040678b 5   7    .text   utf8    {\f+ٍq blocks=Basic Latin,Arabic
90   0x00005d52 0x00406952 4   6    .text   utf8    \b\vȋE blocks=Basic Latin,Latin Extended-B
91   0x00005e73 0x00406a73 4   6    .text   utf8    \b\vȉM blocks=Basic Latin,Latin Extended-B
92   0x00005f07 0x00406b07 6   7    .text   ascii   D$X\b~A
93   0x00005f1f 0x00406b1f 6   7    .text   ascii   D$d ~A
94   0x00005f27 0x00406b27 6   7    .text   ascii   D$h(~A
95   0x00005f2f 0x00406b2f 6   7    .text   ascii   D$l0~A
96   0x00005f37 0x00406b37 6   7    .text   ascii   D$p8~A
97   0x00005f3f 0x00406b3f 6   7    .text   ascii   D$t@~A
98   0x00005f47 0x00406b47 6   7    .text   ascii   D$xH~A
99   0x00005f4f 0x00406b4f 6   7    .text   ascii   D$|P~A
100  0x00006006 0x00406c06 4   5    .text   ascii   t$$3
101  0x0000606d 0x00406c6d 6   7    .text   ascii   D$$Pjx
102  0x0000612e 0x00406d2e 5   6    .text   ascii   D$$h@
103  0x00006146 0x00406d46 4   5    .text   ascii   D$(\t
104  0x0000615a 0x00406d5a 7   8    .text   ascii   D$9#D$$
105  0x00006168 0x00406d68 4   5    .text   ascii   D$)f
106  0x00006180 0x00406d80 4   5    .text   ascii   Qj P
107  0x000061a0 0x00406da0 4   5    .text   ascii   $?\f@
108  0x000061b1 0x00406db1 4   5    .text   ascii   D$(P
109  0x00006236 0x00406e36 4   5    .text   ascii   VVVh
110  0x00006256 0x00406e56 4   6    .text   utf8    Ӊ|$( blocks=Cyrillic,Basic Latin
111  0x0000628b 0x00406e8b 4   5    .text   ascii   =d0A
112  0x000062c4 0x00406ec4 5   6    .text   ascii   D$0PV
113  0x00006326 0x00406f26 4   5    .text   ascii   D$ P
114  0x00006370 0x00406f70 4   5    .text   ascii   t$(h
115  0x00006397 0x00406f97 4   5    .text   ascii   =d0A
116  0x000063c9 0x00406fc9 5   6    .text   ascii   D$0PV
117  0x000063eb 0x00406feb 4   5    .text   ascii   5t0A
118  0x000063f6 0x00406ff6 4   7    .text   utf8    փ=ܳA blocks=Armenian,Basic Latin,Syriac
119  0x00006437 0x00407037 5   6    .text   ascii   Ph`2A
120  0x00006441 0x00407041 4   5    .text   ascii   h@2A
121  0x00006495 0x00407095 4   5    .text   ascii   D$(P
122  0x000064a5 0x004070a5 4   5    .text   ascii   D$0@
123  0x000064c8 0x004070c8 4   5    .text   ascii   D$(P
124  0x000064cf 0x004070cf 8   9    .text   ascii   D$$PhP2A
125  0x000064df 0x004070df 4   5    .text   ascii   h02A
126  0x00006505 0x00407105 5   11   .text   utf16le jjjjj
127  0x0000654e 0x0040714e 5   6    .text   ascii   T$ Rj
128  0x000065b5 0x004071b5 4   5    .text   ascii   T$(j
129  0x000065d0 0x004071d0 6   7    .text   ascii   |$(\buh
130  0x00006629 0x00407229 4   5    .text   ascii   Q@Vj
131  0x00006638 0x00407238 4   5    .text   ascii   D$(P
132  0x00006649 0x00407249 4   5    .text   ascii   D$(P
133  0x00006685 0x00407285 4   5    .text   ascii   D$$P
134  0x000066a1 0x004072a1 4   5    .text   ascii   _^[3
135  0x000066d5 0x004072d5 5   6    .text   ascii   ]\bVWj
136  0x000067d0 0x004073d0 4   5    .text   ascii   t]WV
137  0x000068fc 0x004074fc 6   7    .text   ascii   SVWQPj
138  0x00006aac 0x004076ac 4   5    .text   ascii   t]WV
139  0x00006e53 0x00407a53 4   5    .text   ascii   hp2A
140  0x00006f6b 0x00407b6b 4   5    .text   ascii   h\b2A
141  0x00006fc5 0x00407bc5 5   6    .text   ascii   9>t\eV
142  0x0000700f 0x00407c0f 4   5    .text   ascii   VPWh
143  0x00007056 0x00407c56 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
144  0x00007084 0x00407c84 4   5    .text   ascii   Y_^[
145  0x000070cd 0x00407ccd 7   8    .text   ascii   M\f;J\fr\n
146  0x00007181 0x00407d81 4   5    .text   ascii   u"h@
147  0x000071e0 0x00407de0 4   5    .text   ascii   j\bhx
148  0x0000726e 0x00407e6e 4   5    .text   ascii   Y_^[
149  0x00007284 0x00407e84 5   7    .text   utf8    u\t398
150  0x000072c4 0x00407ec4 4   5    .text   ascii   u\bu\a
151  0x000072e1 0x00407ee1 4   5    .text   ascii   #E\b]
152  0x00007575 0x00408175 5   6    .text   ascii   f9\bu*
153  0x0000757e 0x0040817e 4   6    .text   utf8    ȁ9PE blocks=Latin Extended-B,Basic Latin
154  0x000075be 0x004081be 4   5    .text   ascii   >csm
155  0x000075e8 0x004081e8 4   5    .text   ascii   t\b_3
156  0x000076c0 0x004082c0 5   6    .text   ascii   Y__^[
157  0x000076f4 0x004082f4 6   8    .text   utf8    SVW3ɍ} blocks=Basic Latin,Latin Extended-B
158  0x00007708 0x00408308 6   8    .text   utf8    O\b3ɉW\f blocks=Basic Latin,Latin Extended-B
159  0x0000771a 0x0040831a 4   5    .text   ascii   ntel
160  0x00007721 0x00408321 5   6    .text   ascii   5ineI
161  0x0000772c 0x0040832c 5   6    .text   ascii   5Genu
162  0x00007751 0x00408351 4   5    .text   ascii   S\fuC
163  0x00007762 0x00408362 4   5    .text   ascii   t#=`
164  0x0000777e 0x0040837e 4   5    .text   ascii   t\a=p
165  0x00007894 0x00408494 4   5    .text   ascii   _^[3
166  0x000078d7 0x004084d7 6   7    .text   ascii   3\f8_^]
167  0x000078f8 0x004084f8 4   5    .text   ascii   ]\bVW
168  0x000079c8 0x004085c8 4   6    .text   utf8    ]ËE\b blocks=Basic Latin,Latin-1 Supplement
169  0x000079ce 0x004085ce 4   5    .text   ascii   8csm
170  0x000079d6 0x004085d6 4   5    .text   ascii   =x2A
171  0x000079dc 0x004085dc 6   7    .text   ascii   t/hx2A
172  0x000079f0 0x004085f0 4   5    .text   ascii   5x2A
173  0x00007a18 0x00408618 6   7    .text   ascii   E\f9x\ft
174  0x00007a98 0x00408698 4   5    .text   ascii   8csm
175  0x00007aef 0x004086ef 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
176  0x00007b1f 0x0040871f 4   5    .text   ascii   Y_^[
177  0x00007b39 0x00408739 4   5    .text   ascii   t2VW
178  0x00007b43 0x00408743 4   5    .text   ascii   >csm
179  0x00007b9f 0x0040879f 4   6    .text   utf8    ̋L$\f blocks=Combining Diacritical Marks,Basic Latin
180  0x00007d0f 0x0040890f 6   7    .text   ascii   URPQQh
181  0x00007d25 0x00408925 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
182  0x00007d3a 0x0040893a 4   5    .text   ascii   L$,3
183  0x00007d8c 0x0040898c 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
184  0x00007e00 0x00408a00 4   5    .text   ascii   UVWS
