[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
230   0x0000343c 0x0040743c 8   9            ascii   .idata$7
231   0x0000344e 0x0040744e 8   9            ascii   .idata$5
232   0x00003460 0x00407460 8   9            ascii   .idata$4
233   0x00003472 0x00407472 9   10           ascii   .idata$6 
234   0x00003484 0x00407484 5   6            ascii   .text
235   0x00003496 0x00407496 5   6            ascii   .data
236   0x000034a8 0x004074a8 4   5            ascii   .bss
237   0x000034ba 0x004074ba 8   9            ascii   .idata$7
238   0x000034cc 0x004074cc 8   9            ascii   .idata$5
239   0x000034de 0x004074de 8   9            ascii   .idata$4
240   0x000034f0 0x004074f0 8   9            ascii   .idata$6
241   0x00003502 0x00407502 5   6            ascii   .text
242   0x00003514 0x00407514 5   6            ascii   .data
243   0x00003526 0x00407526 4   5            ascii   .bss
244   0x00003538 0x00407538 8   9            ascii   .idata$7
245   0x0000354a 0x0040754a 8   9            ascii   .idata$5
246   0x0000355c 0x0040755c 8   9            ascii   .idata$4
247   0x0000356e 0x0040756e 8   9            ascii   .idata$6
248   0x00003580 0x00407580 5   6            ascii   .text
249   0x00003592 0x00407592 5   6            ascii   .data
250   0x000035a4 0x004075a4 4   5            ascii   .bss
251   0x000035b6 0x004075b6 8   9            ascii   .idata$7
252   0x000035c8 0x004075c8 8   9            ascii   .idata$5
253   0x000035da 0x004075da 8   9            ascii   .idata$4
254   0x000035ec 0x004075ec 8   9            ascii   .idata$6
255   0x000035fe 0x004075fe 5   6            ascii   .text
256   0x00003610 0x00407610 5   6            ascii   .data
257   0x00003622 0x00407622 4   5            ascii   .bss
258   0x00003634 0x00407634 8   9            ascii   .idata$7
259   0x00003646 0x00407646 9   10           ascii   .idata$5 
260   0x00003658 0x00407658 9   10           ascii   .idata$40
261   0x0000366a 0x0040766a 8   9            ascii   .idata$6
262   0x0000367c 0x0040767c 5   6            ascii   .text
263   0x0000368e 0x0040768e 5   6            ascii   .data
264   0x000036a0 0x004076a0 4   5            ascii   .bss
265   0x000036b2 0x004076b2 8   9            ascii   .idata$7
266   0x000036c4 0x004076c4 8   9            ascii   .idata$5
267   0x000036d6 0x004076d6 8   9            ascii   .idata$4
268   0x000036e8 0x004076e8 8   9            ascii   .idata$6
269   0x000036fa 0x004076fa 5   6            ascii   .text
270   0x0000370c 0x0040770c 5   6            ascii   .data
271   0x0000371e 0x0040771e 4   5            ascii   .bss
272   0x00003730 0x00407730 8   9            ascii   .idata$7
273   0x00003742 0x00407742 8   9            ascii   .idata$5
274   0x00003754 0x00407754 8   9            ascii   .idata$4
275   0x00003766 0x00407766 9   10           ascii   .idata$6\f
276   0x00003778 0x00407778 5   6            ascii   .text
277   0x0000378a 0x0040778a 5   6            ascii   .data
278   0x0000379c 0x0040779c 4   5            ascii   .bss
279   0x000037ae 0x004077ae 8   9            ascii   .idata$7
280   0x000037c0 0x004077c0 8   9            ascii   .idata$5
281   0x000037d2 0x004077d2 8   9            ascii   .idata$4
282   0x000037e4 0x004077e4 8   9            ascii   .idata$6
283   0x000037f6 0x004077f6 5   6            ascii   .text
284   0x00003808 0x00407808 5   6            ascii   .data
285   0x0000381a 0x0040781a 4   5            ascii   .bss
286   0x0000382c 0x0040782c 8   9            ascii   .idata$7
287   0x0000383e 0x0040783e 9   10           ascii   .idata$50
288   0x00003850 0x00407850 9   10           ascii   .idata$4@
289   0x00003862 0x00407862 8   9            ascii   .idata$6
290   0x00003874 0x00407874 5   6            ascii   .text
291   0x00003886 0x00407886 5   6            ascii   .data
292   0x00003898 0x00407898 4   5            ascii   .bss
293   0x000038aa 0x004078aa 8   9            ascii   .idata$7
