[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
4612  0x0006ad29 0x0046ed29 22  23           ascii   .?AV?$_Mpunct@_W@std@@
4613  0x0006ad49 0x0046ed49 28  29           ascii   .?AV?$moneypunct@_W$00@std@@
4614  0x0006ad71 0x0046ed71 77  78           ascii   .?AV?$time_get@_WV?$istreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
4615  0x0006adc9 0x0046edc9 77  78           ascii   .?AV?$time_put@_WV?$ostreambuf_iterator@_WU?$char_traits@_W@std@@@std@@@std@@
4616  0x0006ae21 0x0046ee21 73  74           ascii   .?AV?$num_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
4617  0x0006ae79 0x0046ee79 73  74           ascii   .?AV?$num_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
4618  0x0006aecd 0x0046eecd 22  23           ascii   .?AV?$numpunct@G@std@@
4619  0x0006aeed 0x0046eeed 21  22           ascii   .?AV?$collate@G@std@@
4620  0x0006af0d 0x0046ef0d 22  23           ascii   .?AV?$messages@G@std@@
4621  0x0006af31 0x0046ef31 75  76           ascii   .?AV?$money_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
4622  0x0006af89 0x0046ef89 75  76           ascii   .?AV?$money_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
4623  0x0006afdd 0x0046efdd 28  29           ascii   .?AV?$moneypunct@G$0A@@std@@
4624  0x0006b005 0x0046f005 21  22           ascii   .?AV?$_Mpunct@G@std@@
4625  0x0006b025 0x0046f025 27  28           ascii   .?AV?$moneypunct@G$00@std@@
4626  0x0006b049 0x0046f049 74  75           ascii   .?AV?$time_get@GV?$istreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
4627  0x0006b0a1 0x0046f0a1 74  75           ascii   .?AV?$time_put@GV?$ostreambuf_iterator@GU?$char_traits@G@std@@@std@@@std@@
4628  0x0006b0f5 0x0046f0f5 21  22           ascii   .?AV?$collate@D@std@@
4629  0x0006b115 0x0046f115 22  23           ascii   .?AV?$messages@D@std@@
4630  0x0006b139 0x0046f139 75  76           ascii   .?AV?$money_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
4631  0x0006b191 0x0046f191 75  76           ascii   .?AV?$money_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
4632  0x0006b1e5 0x0046f1e5 28  29           ascii   .?AV?$moneypunct@D$0A@@std@@
4633  0x0006b20d 0x0046f20d 21  22           ascii   .?AV?$_Mpunct@D@std@@
4634  0x0006b22d 0x0046f22d 27  28           ascii   .?AV?$moneypunct@D$00@std@@
4635  0x0006b251 0x0046f251 74  75           ascii   .?AV?$time_get@DV?$istreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
4636  0x0006b2a9 0x0046f2a9 74  75           ascii   .?AV?$time_put@DV?$ostreambuf_iterator@DU?$char_traits@D@std@@@std@@@std@@
4637  0x0006b2fd 0x0046f2fd 32  33           ascii   .?AV_System_error_category@std@@
4638  0x0006b329 0x0046f329 26  27           ascii   .?AVinvalid_argument@std@@
4639  0x0006b34d 0x0046f34d 22  23           ascii   .?AVlength_error@std@@
4640  0x0006b36d 0x0046f36d 22  23           ascii   .?AVout_of_range@std@@
4641  0x0006b38d 0x0046f38d 24  25           ascii   .?AVoverflow_error@std@@
4642  0x0006b3b1 0x0046f3b1 27  28           ascii   .?AVbad_function_call@std@@
4643  0x0006b3d5 0x0046f3d5 21  22           ascii   .?AVregex_error@std@@
4644  0x0006b3f5 0x0046f3f5 50  51           ascii   .?AV?$basic_iostream@DU?$char_traits@D@std@@@std@@
4645  0x0006b431 0x0046f431 52  53           ascii   .?AV?$basic_iostream@_WU?$char_traits@_W@std@@@std@@
4646  0x0006b471 0x0046f471 50  51           ascii   .?AV?$basic_iostream@GU?$char_traits@G@std@@@std@@
4647  0x0006b4ad 0x0046f4ad 15  16           ascii   .?AVtype_info@@
4648  0x0006bd5f 0x0046fd5f 20  21           ascii   __std_exception_copy
4649  0x0006bd77 0x0046fd77 23  24           ascii   __std_exception_destroy
4650  0x0006bd91 0x0046fd91 19  20           ascii   __current_exception
4651  0x0006bda7 0x0046fda7 15  16           ascii   __AdjustPointer
4652  0x0006bdb9 0x0046fdb9 18  19           ascii   _CxxThrowException
4653  0x0006bdcf 0x0046fdcf 18  19           ascii   __CxxFrameHandler3
4654  0x0006bde5 0x0046fde5 6   7            ascii   memcpy
4655  0x0006bdef 0x0046fdef 6   7            ascii   memset
4656  0x0006bdf9 0x0046fdf9 9   10           ascii   _purecall
4657  0x0006be05 0x0046fe05 15  16           ascii   __std_terminate
4658  0x0006be17 0x0046fe17 7   8            ascii   memmove
4659  0x0006be21 0x0046fe21 6   7            ascii   memchr
4660  0x0006be2b 0x0046fe2b 20  21           ascii   __uncaught_exception
4661  0x0006be43 0x0046fe43 21  22           ascii   __uncaught_exceptions
4662  0x0006be5b 0x0046fe5b 6   7            ascii   memcmp
4663  0x0006be65 0x0046fe65 27  28           ascii   __current_exception_context
4664  0x0006be83 0x0046fe83 23  24           ascii   _except_handler4_common
4665  0x0006be9d 0x0046fe9d 28  29           ascii   __std_type_info_destroy_list
4666  0x0006bebb 0x0046febb 16  17           ascii   VCRUNTIME140.dll
4667  0x0006becf 0x0046fecf 4   5            ascii   free
4668  0x0006bed7 0x0046fed7 6   7            ascii   malloc
4669  0x0006bee1 0x0046fee1 5   6            ascii   abort
4670  0x0006bee9 0x0046fee9 9   10           ascii   terminate
4671  0x0006bef5 0x0046fef5 9   10           ascii   __strncnt
4672  0x0006bf01 0x0046ff01 7   8            ascii   wcsnlen
4673  0x0006bf0b 0x0046ff0b 8   9            ascii   wcscpy_s
4674  0x0006bf17 0x0046ff17 13  14           ascii   __pctype_func
4675  0x0006bf27 0x0046ff27 7   8            ascii   isupper
4676  0x0006bf31 0x0046ff31 7   8            ascii   _wcsdup
4677  0x0006bf3b 0x0046ff3b 6   7            ascii   calloc
4678  0x0006bf45 0x0046ff45 22  23           ascii   ___lc_locale_name_func
4679  0x0006bf5f 0x0046ff5f 19  20           ascii   ___lc_codepage_func
4680  0x0006bf75 0x0046ff75 7   8            ascii   islower
4681  0x0006bf7f 0x0046ff7f 34  35           ascii   _invalid_parameter_noinfo_noreturn
4682  0x0006bfa5 0x0046ffa5 15  16           ascii   __acrt_iob_func
4683  0x0006bfb7 0x0046ffb7 27  28           ascii   _get_stream_buffer_pointers
4684  0x0006bfd5 0x0046ffd5 6   7            ascii   fclose
4685  0x0006bfdf 0x0046ffdf 6   7            ascii   fflush
4686  0x0006bfe9 0x0046ffe9 5   6            ascii   fgetc
4687  0x0006bff1 0x0046fff1 7   8            ascii   fgetpos
4688  0x0006bffb 0x0046fffb 5   6            ascii   fputc
4689  0x0006c003 0x00470003 5   6            ascii   fread
4690  0x0006c00b 0x0047000b 7   8            ascii   fsetpos
4691  0x0006c015 0x00470015 9   10           ascii   _fseeki64
4692  0x0006c021 0x00470021 6   7            ascii   fwrite
4693  0x0006c02b 0x0047002b 7   8            ascii   setvbuf
4694  0x0006c035 0x00470035 6   7            ascii   ungetc
4695  0x0006c03f 0x0047003f 10  11           ascii   _lock_file
4696  0x0006c04d 0x0047004d 12  13           ascii   _unlock_file
4697  0x0006c05d 0x0047005d 10  11           ascii   localeconv
4698  0x0006c06b 0x0047006b 8   9            ascii   _Getdays
4699  0x0006c077 0x00470077 10  11           ascii   _Getmonths
4700  0x0006c085 0x00470085 10  11           ascii   _Gettnames
4701  0x0006c093 0x00470093 10  11           ascii   _W_Getdays
4702  0x0006c0a1 0x004700a1 12  13           ascii   _W_Getmonths
4703  0x0006c0b1 0x004700b1 12  13           ascii   _W_Gettnames
4704  0x0006c0c1 0x004700c1 8   9            ascii   _wgetcwd
4705  0x0006c0cd 0x004700cd 7   8            ascii   _wchdir
4706  0x0006c0d7 0x004700d7 7   8            ascii   _wrmdir
4707  0x0006c0e1 0x004700e1 8   9            ascii   _wremove
4708  0x0006c0ed 0x004700ed 8   9            ascii   _wrename
4709  0x0006c0f9 0x004700f9 8   9            ascii   _wfsopen
4710  0x0006c105 0x00470105 7   8            ascii   _fsopen
4711  0x0006c10f 0x0047010f 5   6            ascii   fseek
4712  0x0006c117 0x00470117 5   6            ascii   frexp
4713  0x0006c11f 0x0047011f 5   6            ascii   ldexp
4714  0x0006c127 0x00470127 7   8            ascii   realloc
4715  0x0006c131 0x00470131 6   7            ascii   _errno
4716  0x0006c13b 0x0047013b 6   7            ascii   strtof
4717  0x0006c145 0x00470145 6   7            ascii   strtod
4718  0x0006c14f 0x0047014f 7   8            ascii   strcspn
4719  0x0006c159 0x00470159 25  26           ascii   __stdio_common_vsprintf_s
4720  0x0006c175 0x00470175 9   10           ascii   setlocale
4721  0x0006c181 0x00470181 6   7            ascii   _CIpow
4722  0x0006c18b 0x0047018b 16  17           ascii   _set_new_handler
4723  0x0006c19f 0x0047019f 14  15           ascii   _beginthreadex
4724  0x0006c1b1 0x004701b1 12  13           ascii   _endthreadex
4725  0x0006c1c1 0x004701c1 5   6            ascii   fputs
4726  0x0006c1c9 0x004701c9 6   7            ascii   fgetwc
4727  0x0006c1d3 0x004701d3 6   7            ascii   fputwc
4728  0x0006c1dd 0x004701dd 7   8            ascii   ungetwc
4729  0x0006c1e7 0x004701e7 9   10           ascii   _Wcsftime
4730  0x0006c1f3 0x004701f3 6   7            ascii   _CIlog
4731  0x0006c1fd 0x004701fd 9   10           ascii   _Strftime
4732  0x0006c209 0x00470209 13  14           ascii   _lock_locales
4733  0x0006c219 0x00470219 15  16           ascii   _unlock_locales
4734  0x0006c22b 0x0047022b 6   7            ascii   rand_s
4735  0x0006c235 0x00470235 7   8            ascii   isdigit
4736  0x0006c23f 0x0047023f 7   8            ascii   isspace
4737  0x0006c249 0x00470249 8   9            ascii   isxdigit
4738  0x0006c255 0x00470255 7   8            ascii   isalnum
4739  0x0006c25f 0x0047025f 7   8            ascii   tolower
4740  0x0006c269 0x00470269 21  22           ascii   ___lc_collate_cp_func
4741  0x0006c281 0x00470281 18  19           ascii   ___mb_cur_max_func
4742  0x0006c297 0x00470297 8   9            ascii   iswdigit
4743  0x0006c2a3 0x004702a3 5   6            ascii   btowc
4744  0x0006c2ab 0x004702ab 8   9            ascii   iswalnum
4745  0x0006c2b7 0x004702b7 8   9            ascii   iswspace
4746  0x0006c2c3 0x004702c3 9   10           ascii   iswxdigit
4747  0x0006c2cf 0x004702cf 9   10           ascii   _callnewh
4748  0x0006c2db 0x004702db 15  16           ascii   _seh_filter_dll
4749  0x0006c2ed 0x004702ed 22  23           ascii   _configure_narrow_argv
4750  0x0006c307 0x00470307 30  31           ascii   _initialize_narrow_environment
4751  0x0006c329 0x00470329 24  25           ascii   _initialize_onexit_table
4752  0x0006c345 0x00470345 25  26           ascii   _register_onexit_function
4753  0x0006c361 0x00470361 21  22           ascii   _execute_onexit_table
4754  0x0006c379 0x00470379 11  12           ascii   _crt_atexit
4755  0x0006c387 0x00470387 6   7            ascii   _cexit
4756  0x0006c391 0x00470391 9   10           ascii   _initterm
4757  0x0006c39d 0x0047039d 11  12           ascii   _initterm_e
4758  0x0006c3a9 0x004703a9 30  31           ascii   api-ms-win-crt-heap-l1-1-0.dll
4759  0x0006c3c9 0x004703c9 33  34           ascii   api-ms-win-crt-runtime-l1-1-0.dll
4760  0x0006c3eb 0x004703eb 32  33           ascii   api-ms-win-crt-string-l1-1-0.dll
4761  0x0006c40d 0x0047040d 32  33           ascii   api-ms-win-crt-locale-l1-1-0.dll
4762  0x0006c42f 0x0047042f 31  32           ascii   api-ms-win-crt-stdio-l1-1-0.dll
4763  0x0006c44f 0x0047044f 36  37           ascii   api-ms-win-crt-filesystem-l1-1-0.dll
4764  0x0006c475 0x00470475 30  31           ascii   api-ms-win-crt-time-l1-1-0.dll
4765  0x0006c495 0x00470495 37  38           ascii   api-ms-win-crt-environment-l1-1-0.dll
4766  0x0006c4bb 0x004704bb 30  31           ascii   api-ms-win-crt-math-l1-1-0.dll
4767  0x0006c4db 0x004704db 33  34           ascii   api-ms-win-crt-convert-l1-1-0.dll
4768  0x0006c4fd 0x004704fd 33  34           ascii   api-ms-win-crt-utility-l1-1-0.dll
4769  0x0006c521 0x00470521 14  15           ascii   RaiseException
4770  0x0006c533 0x00470533 19  20           ascii   MultiByteToWideChar
4771  0x0006c549 0x00470549 9   10           ascii   GetCPInfo
4772  0x0006c555 0x00470555 19  20           ascii   WideCharToMultiByte
4773  0x0006c56b 0x0047056b 14  15           ascii   CompareStringW
4774  0x0006c57d 0x0047057d 12  13           ascii   LCMapStringW
4775  0x0006c58d 0x0047058d 14  15           ascii   GetLocaleInfoW
4776  0x0006c59f 0x0047059f 16  17           ascii   CreateDirectoryW
4777  0x0006c5b3 0x004705b3 11  12           ascii   CreateFileW
4778  0x0006c5c1 0x004705c1 9   10           ascii   FindClose
4779  0x0006c5cd 0x004705cd 16  17           ascii   FindFirstFileExW
4780  0x0006c5e1 0x004705e1 13  14           ascii   FindNextFileW
4781  0x0006c5f1 0x004705f1 19  20           ascii   GetDiskFreeSpaceExW
4782  0x0006c607 0x00470607 20  21           ascii   GetFileAttributesExW
4783  0x0006c61f 0x0047061f 26  27           ascii   GetFileInformationByHandle
4784  0x0006c63d 0x0047063d 12  13           ascii   SetEndOfFile
4785  0x0006c64d 0x0047064d 18  19           ascii   SetFileAttributesW
4786  0x0006c663 0x00470663 16  17           ascii   SetFilePointerEx
4787  0x0006c677 0x00470677 11  12           ascii   SetFileTime
4788  0x0006c685 0x00470685 12  13           ascii   GetTempPathW
4789  0x0006c695 0x00470695 15  16           ascii   AreFileApisANSI
4790  0x0006c6a7 0x004706a7 11  12           ascii   CloseHandle
4791  0x0006c6b5 0x004706b5 12  13           ascii   GetLastError
4792  0x0006c6c5 0x004706c5 9   10           ascii   CopyFileW
4793  0x0006c6d1 0x004706d1 15  16           ascii   CreateHardLinkW
4794  0x0006c6e3 0x004706e3 13  14           ascii   EncodePointer
4795  0x0006c6f3 0x004706f3 13  14           ascii   DecodePointer
4796  0x0006c703 0x00470703 14  15           ascii   FormatMessageW
4797  0x0006c715 0x00470715 21  22           ascii   WaitForSingleObjectEx
4798  0x0006c72d 0x0047072d 5   6            ascii   Sleep
4799  0x0006c735 0x00470735 14  15           ascii   SwitchToThread
4800  0x0006c747 0x00470747 18  19           ascii   GetCurrentThreadId
4801  0x0006c75d 0x0047075d 17  18           ascii   GetExitCodeThread
4802  0x0006c771 0x00470771 19  20           ascii   GetNativeSystemInfo
4803  0x0006c787 0x00470787 20  21           ascii   EnterCriticalSection
4804  0x0006c79f 0x0047079f 20  21           ascii   LeaveCriticalSection
4805  0x0006c7b7 0x004707b7 23  24           ascii   TryEnterCriticalSection
4806  0x0006c7d1 0x004707d1 21  22           ascii   DeleteCriticalSection
4807  0x0006c7e9 0x004707e9 17  18           ascii   QueueUserWorkItem
4808  0x0006c7fd 0x004707fd 18  19           ascii   GetModuleHandleExW
4809  0x0006c813 0x00470813 23  24           ascii   QueryPerformanceCounter
4810  0x0006c82d 0x0047082d 25  26           ascii   QueryPerformanceFrequency
4811  0x0006c849 0x00470849 14  15           ascii   GetStringTypeW
4812  0x0006c85b 0x0047085b 24  25           ascii   RtlCaptureStackBackTrace
4813  0x0006c877 0x00470877 25  26           ascii   IsProcessorFeaturePresent
4814  0x0006c893 0x00470893 12  13           ascii   SetLastError
4815  0x0006c8a3 0x004708a3 37  38           ascii   InitializeCriticalSectionAndSpinCount
4816  0x0006c8cb 0x004708cb 12  13           ascii   CreateEventW
4817  0x0006c8db 0x004708db 23  24           ascii   GetSystemTimeAsFileTime
4818  0x0006c8f5 0x004708f5 12  13           ascii   GetTickCount
4819  0x0006c905 0x00470905 16  17           ascii   GetModuleHandleW
4820  0x0006c919 0x00470919 14  15           ascii   GetProcAddress
4821  0x0006c92b 0x0047092b 24  25           ascii   UnhandledExceptionFilter
4822  0x0006c947 0x00470947 27  28           ascii   SetUnhandledExceptionFilter
4823  0x0006c965 0x00470965 17  18           ascii   GetCurrentProcess
4824  0x0006c979 0x00470979 16  17           ascii   TerminateProcess
4825  0x0006c98d 0x0047098d 17  18           ascii   IsDebuggerPresent
4826  0x0006c9a1 0x004709a1 19  20           ascii   GetCurrentProcessId
4827  0x0006c9b7 0x004709b7 19  20           ascii   InitializeSListHead
4828  0x0006c9cd 0x004709cd 13  14           ascii   GetSystemInfo
4829  0x0006c9dd 0x004709dd 14  15           ascii   VirtualProtect
4830  0x0006c9ef 0x004709ef 12  13           ascii   VirtualQuery
4831  0x0006c9ff 0x004709ff 11  12           ascii   FreeLibrary
4832  0x0006ca0d 0x00470a0d 14  15           ascii   LoadLibraryExA
4833  0x0006ca1d 0x00470a1d 12  13           ascii   KERNEL32.dll
4834  0x0006ccd7 0x00470cd7 15  32           utf16le VS_VERSION_INFO
4835  0x0006cd33 0x00470d33 14  30           utf16le StringFileInfo
4836  0x0006cd57 0x00470d57 8   18           utf16le 040904B0
4837  0x0006cd6f 0x00470d6f 11  24           utf16le CompanyName
4838  0x0006cd89 0x00470d89 21  44           utf16le Microsoft Corporation
4839  0x0006cdbb 0x00470dbb 15  32           utf16le FileDescription
4840  0x0006cddd 0x00470ddd 9   19           utf16le Microsoft
4841  0x0006cdf1 0x00470df1 18  38           utf16le  C Runtime Library
4842  0x0006ce1f 0x00470e1f 11  24           utf16le FileVersion
4843  0x0006ce39 0x00470e39 32  66           utf16le 14.24.28127.4 built by: vcwrkspc
4844  0x0006ce83 0x00470e83 12  26           utf16le InternalName
4845  0x0006ce9d 0x00470e9d 12  26           utf16le msvcp140.dll
4846  0x0006cebf 0x00470ebf 14  30           utf16le LegalCopyright
4847  0x0006cedf 0x00470edf 44  90           utf16le  Microsoft Corporation. All rights reserved.
4848  0x0006cf3f 0x00470f3f 16  34           utf16le OriginalFilename
4849  0x0006cf61 0x00470f61 12  26           utf16le msvcp140.dll
4850  0x0006cf83 0x00470f83 11  24           utf16le ProductName
4851  0x0006cf9d 0x00470f9d 9   19           utf16le Microsoft
4852  0x0006cfb1 0x00470fb1 14  29           utf16le  Visual Studio
4853  0x0006cfd7 0x00470fd7 14  30           utf16le ProductVersion
4854  0x0006cff5 0x00470ff5 13  28           utf16le 14.24.28127.4
4855  0x0006d017 0x00471017 11  24           utf16le VarFileInfo
4856  0x0006d037 0x00471037 11  24           utf16le Translation
4857  0x0006d07a 0x0047107a 5   6            ascii   0\b0\f0
4858  0x0006d086 0x00471086 49  50           ascii   0 0$0(0,0004080<0@0D0H0L0P0T0X0\0`0d0h0l0p0t0x0|0
4859  0x0006d102 0x00471102 37  38           ascii   :(:,:0:4:8:<:@:D:H:L:P:T:X:\:`:l:t:|:
4860  0x0006d14e 0x0047114e 25  26           ascii   ;$;,;4;<;D;L;T;\;d;l;t;|;
4861  0x0006d18e 0x0047118e 25  26           ascii   <$<,<4<<<D<L<T<\<d<l<t<|<
4862  0x0006d1ce 0x004711ce 25  26           ascii   =$=,=4=<=D=L=T=\=d=l=t=|=
4863  0x0006d20e 0x0047120e 25  26           ascii   >$>,>4><>D>L>T>\>d>l>t>|>
4864  0x0006d24e 0x0047124e 25  26           ascii   ?$?,?4?<?D?L?T?\?d?l?t?|?
4865  0x0006d298 0x00471298 25  26           ascii   0$0,040<0D0L0T0\0d0l0t0|0
4866  0x0006d2d8 0x004712d8 25  26           ascii   1$1,141<1D1L1T1\1d1l1t1|1
4867  0x0006d318 0x00471318 25  26           ascii   2 2(20282@2H2P2X2`2h2p2x2
4868  0x0006d358 0x00471358 25  26           ascii   3 3(30383@3H3P3X3`3h3p3x3
4869  0x0006d398 0x00471398 25  26           ascii   4 4(40484@4H4P4X4`4h4p4x4
4870  0x0006d3d8 0x004713d8 25  26           ascii   5 5(50585@5H5P5X5`5h5p5x5
4871  0x0006d418 0x00471418 25  26           ascii   6 6(60686@6H6P6X6`6h6p6x6
4872  0x0006d458 0x00471458 25  26           ascii   7 7(70787@7H7P7X7`7h7p7x7
4873  0x0006d498 0x00471498 25  26           ascii   8 8(80888@8H8P8X8`8h8p8x8
4874  0x0006d4c5 0x004714c5 32  33           ascii    ;$;(;D;H;L;P;T;X;`;d;h;p;t;x;|;
4875  0x0006d526 0x00471526 5   6            ascii   ?\b?\f?
4876  0x0006d532 0x00471532 49  50           ascii   ? ?$?(?,?0?4?8?<?@?D?H?L?P?T?X?\?`?d?h?l?p?t?x?|?
4877  0x0006d5b0 0x004715b0 5   6            ascii   0\b0\f0
4878  0x0006d5bc 0x004715bc 49  50           ascii   0 0$0(0,0004080<0@0D0H0L0P0T0X0\0`0d0h0l0p0t0x0|0
4879  0x0006d60c 0x0047160c 5   6            ascii   1\b1\f1
4880  0x0006d618 0x00471618 45  46           ascii   1 1$1(1,1014181<1@1D1H1L1P1T1X1\1h1l1p1t1x1|1
4881  0x0006d66a 0x0047166a 5   6            ascii   2\b2\f2
4882  0x0006d676 0x00471676 23  24           ascii   2T2X2\2`2d2h2l2p2t2x2|2
4883  0x0006d692 0x00471692 7   8            ascii   2\3`3d3
4884  0x0006d6ba 0x004716ba 5   6            ascii   4\b4\f4
4885  0x0006d6c6 0x004716c6 49  50           ascii   4 4$4(4,4044484<4@4D4H4L4P4T4X4\4D7L7T7\7d7l7t7|7
4886  0x0006d71e 0x0047171e 25  26           ascii   8$8,848<8D8L8T8\8d8l8t8|8
4887  0x0006d75e 0x0047175e 25  26           ascii   9$9,949<9D9L9T9\9d9l9t9|9
4888  0x0006d79c 0x0047179c 5   6            ascii   0\b0\f0
4889  0x0006d7a8 0x004717a8 49  50           ascii   0 0$0(0,0004080<0@0D0H0L0P0T0X0\0`0d0h0l0p0t0x0|0
4890  0x0006d80e 0x0047180e 5   6            ascii   1\b1\f1
4891  0x0006d81a 0x0047181a 41  42           ascii   1 1$1(1,1014181D1H1T1X1\1`1d1h1l1p1t1x1|1
4892  0x0006d87e 0x0047187e 5   6            ascii   2\b2\f2
4893  0x0006d88a 0x0047188a 49  50           ascii   2 2$2(2,2024282<2@2D2H2L2P2T2X2\2`2d2h2l2p2t2x2|2
4894  0x0006d8fe 0x004718fe 5   6            ascii   3\b3\f3
4895  0x0006d90a 0x0047190a 49  50           ascii   3 3$3(3,3034383<3@3D3H3L3P3T3X3\3`3d3h3l3p3t3x3|3
4896  0x0006d97e 0x0047197e 5   6            ascii   4\b4\f4
4897  0x0006d98a 0x0047198a 49  50           ascii   4 4$4(4,4044484<4@4D4H4L4P4T4X4\4`4d4h4l4p4t4x4|4
4898  0x0006d9fe 0x004719fe 5   6            ascii   5\b5\f5
4899  0x0006da0a 0x00471a0a 49  50           ascii   5 5$5(5,5054585<5@5D5H5L5P5T5X5\5`5d5h5l5p5t5x5|5
4900  0x0006da78 0x00471a78 5   6            ascii   ;\b;\f;
4901  0x0006da84 0x00471a84 49  50           ascii   ; ;$;(;,;0;4;8;<;@;D;H;L;P;T;X;\;`;d;h;l;p;t;x;|;
4902  0x0006db0c 0x00471b0c 5   6            ascii   >\b>\f>
4903  0x0006db18 0x00471b18 9   10           ascii   > >8><>@>
4904  0x0006db3c 0x00471b3c 5   6            ascii   7t8x8
4905  0x0006db44 0x00471b44 17  18           ascii   8$9(989<9D9\9l9p9
4906  0x0006db72 0x00471b72 17  18           ascii   :(:8:<:L:P:T:\:t:
4907  0x0006dba0 0x00471ba0 19  20           ascii   ; ;0;4;8;<;D;\;l;p;
4908  0x0006dbc8 0x00471bc8 5   6            ascii   ;\b<\f<
4909  0x0006dbce 0x00471bce 21  22           ascii   < <$<(<0<H<X<\<l<p<x<
4910  0x0006dbfe 0x00471bfe 17  18           ascii   = =8=H=L=\=`=d=l=
4911  0x0006dc2a 0x00471c2a 21  22           ascii   >(>,>0>4><>T>d>h>x>|>
4912  0x0006dc5e 0x00471c5e 21  22           ascii   ? ?$?,?D?T?X?h?l?p?x?
4913  0x0006dc94 0x00471c94 5   6            ascii   0\b0\f0
4914  0x0006dc9a 0x00471c9a 17  18           ascii   0,000H0X0\0`0d0l0
4915  0x0006dcc6 0x00471cc6 25  26           ascii   1\b1 10141D1H1L1P1T1X1`1x1
4916  0x0006dd04 0x00471d04 21  22           ascii   2(282<2L2P2T2X2\2`2h2
4917  0x0006dd38 0x00471d38 5   6            ascii   3\b3\f3
4918  0x0006dd3e 0x00471d3e 21  22           ascii   3,3<3@3P3T3X3\3`3d3l3
4919  0x0006dd70 0x00471d70 5   6            ascii   4\b4\f4
4920  0x0006dd7a 0x00471d7a 21  22           ascii   444D4H4X4\4`4d4h4l4t4
4921  0x0006dda8 0x00471da8 5   6            ascii   5\b5\f5
4922  0x0006ddb2 0x00471db2 15  16           ascii   545D5H5X5\5`5h5
4923  0x0006dde0 0x00471de0 23  24           ascii   6\f6$64686H6L6P6T6X6`6x6
4924  0x0006de14 0x00471e14 21  22           ascii   7$7(7,747L7\7`7p7t7x7
4925  0x0006de42 0x00471e42 19  20           ascii   8(8,8<8@8D8L8d8t8x8
4926  0x0006de70 0x00471e70 21  22           ascii   9 9$9(9,90989P9T9l9|9
4927  0x0006dea0 0x00471ea0 23  24           ascii   : :$:8:<:L:P:`:d:t:x:|:
4928  0x0006ded6 0x00471ed6 21  22           ascii   ;$;<;L;P;`;d;h;l;p;x;
4929  0x0006defe 0x00471efe 5   6            ascii   ;\b<\f<
4930  0x0006df04 0x00471f04 25  26           ascii   < <$<(<,<4<L<\<`<d<h<l<t<
4931  0x0006df3a 0x00471f3a 23  24           ascii   =\b= =0=4=D=H=L=P=T=\=t=
4932  0x0006df74 0x00471f74 21  22           ascii   >,>0>@>D>H>L>P>T>\>t>
4933  0x0006dfac 0x00471fac 25  26           ascii   ?,?0?@?D?H?L?P?T?X?`?x?|?
4934  0x0006dff0 0x00471ff0 21  22           ascii   0(0,0<0@0D0H0L0P0X0p0
4935  0x0006e024 0x00472024 5   6            ascii   1\b1\f1
4936  0x0006e02a 0x0047202a 19  20           ascii   1,1<1@1P1T1X1\1`1h1
4937  0x0006e060 0x00472060 21  22           ascii   2(282<2L2P2T2X2\2`2h2
4938  0x0006e098 0x00472098 23  24           ascii   3(383<3L3P3T3X3\3`3d3l3
4939  0x0006e0d2 0x004720d2 25  26           ascii   4\f4$44484H4L4P4T4X4\4d4|4
4940  0x0006e104 0x00472104 5   6            ascii   4\b5\f5
4941  0x0006e10e 0x0047210e 23  24           ascii   5 585H5L5\5`5d5h5l5p5x5
4942  0x0006e13c 0x0047213c 5   6            ascii   5\b6\f6
4943  0x0006e146 0x00472146 25  26           ascii   6 686H6L6\6`6d6h6l6p6t6|6
4944  0x0006e17a 0x0047217a 5   6            ascii   7\b7\f7
4945  0x0006e184 0x00472184 21  22           ascii   747D7H7X7\7`7d7h7l7t7
4946  0x0006e1b8 0x004721b8 21  22           ascii   8 8(8@8P8T8d8h8l8p8x8
4947  0x0006e1e4 0x004721e4 5   6            ascii   9\b9\f9
4948  0x0006e1ec 0x004721ec 17  18           ascii   909@9D9T9X9\9`9h9
4949  0x0006e21c 0x0047221c 27  28           ascii   :,:0:@:D:H:L:P:T:X:\:`:d:l:
4950  0x0006e256 0x00472256 33  34           ascii   :\b;\f;$;4;8;H;L;P;T;X;\;`;d;h;l;t;
4951  0x0006e291 0x00472291 6   7            ascii   e3j3t3
4952  0x0006e2b0 0x004722b0 21  22           ascii   40444>4Q4W4[4c4i4q4{4
4953  0x0006e2e0 0x004722e0 19  20           ascii   5\e555:5D5V5\5p5t5~5
4954  0x0006e304 0x00472304 15  16           ascii   6\e616A6K6e6j6t6
4955  0x0006e338 0x00472338 19  20           ascii   7\e757:7D7X7^7o7s7y7
