[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000050 0x00000050 40  41            ascii   This program must be run under Win32\r\n$7
1    0x00000218 0x00000218 4   5             ascii   UPX0
2    0x00000240 0x00000240 4   5             ascii   UPX1
3    0x00000268 0x00000268 5   6             ascii   .rsrc
4    0x00000290 0x00000290 8   9             ascii   d2h526gw
5    0x000002b8 0x000002b8 8   9             ascii   120o9xkr
6    0x000002e0 0x000002e0 8   9             ascii   g6zigbcy
7    0x0000032d 0x0000032d 5   6             ascii   82K%3
8    0x0000033d 0x0000033d 5   6             ascii   !x7}D
9    0x00000373 0x00000373 6   9             utf8    VVڈW+A blocks=Basic Latin,Arabic
10   0x00000383 0x00000383 7   8             ascii   \anS;H!B
11   0x00044008 0x10044008 10  11   UPX1     ascii   \t\bWideChar
12   0x00044020 0x10044020 4   5    UPX1     ascii   Byte
13   0x00044027 0x10044027 4   5    UPX1     ascii   0+\v\n
14   0x0004402f 0x1004402f 6   7    UPX1     ascii   String
15   0x0004404e 0x1004404e 4   5    UPX1     ascii   4\e\a 
16   0x00044055 0x10044055 7   8    UPX1     ascii   TObject
17   0x00044094 0x10044094 4   5    UPX1     ascii    xtS
18   0x000440bc 0x100440bc 5   6    UPX1     ascii   cplh2
19   0x000440ca 0x100440ca 4   5    UPX1     ascii   \fXTV
20   0x000440d9 0x100440d9 4   5    UPX1     ascii   u:hD
21   0x000440f7 0x100440f7 4   6    UPX1     utf8    \r\a3ҋ blocks=Basic Latin,Cyrillic
22   0x0004413f 0x1004413f 4   5    UPX1     ascii   0X\tB
23   0x0004414a 0x1004414a 5   6    UPX1     ascii   }\ePP\b
24   0x0004415e 0x1004415e 4   5    UPX1     ascii   GWUQ
25   0x00044178 0x10044178 4   5    UPX1     ascii   ;wS\b
26   0x000441b3 0x100441b3 4   5    UPX1     ascii   3Z]_
27   0x000441c3 0x100441c3 5   6    UPX1     ascii   2K{{{
28   0x000441da 0x100441da 5   6    UPX1     ascii   um{u\e
29   0x000441e7 0x100441e7 7   10   UPX1     utf8    {\f췃-;Ha blocks=Basic Latin,Hangul Syllables
30   0x0004428a 0x1004428a 5   6    UPX1     ascii   Oh\vUM
31   0x000442d9 0x100442d9 4   5    UPX1     ascii   w;;t
32   0x000442de 0x100442de 4   5    UPX1     ascii   ank4
33   0x00044300 0x10044300 6   8    UPX1     utf8    Xu[[rۧ blocks=Basic Latin,Arabic
34   0x0004430a 0x1004430a 4   5    UPX1     ascii   u\b|7
35   0x00044317 0x10044317 4   5    UPX1     ascii   JyH+
36   0x00044342 0x10044342 4   5    UPX1     ascii   9D({
37   0x00044357 0x10044357 4   5    UPX1     ascii   o|~\f
38   0x00044387 0x10044387 4   5    UPX1     ascii   \fs+\e
39   0x000443c8 0x100443c8 5   6    UPX1     ascii   *;D%w
40   0x000443e9 0x100443e9 5   6    UPX1     ascii   XRIFz
41   0x000443f5 0x100443f5 4   5    UPX1     ascii   FLFk
42   0x00044444 0x10044444 4   6    UPX1     utf8    f٨+[ blocks=Basic Latin,Arabic
43   0x00044481 0x10044481 6   7    UPX1     ascii   \nllfk\e
44   0x0004449d 0x1004449d 4   5    UPX1     ascii   @N\bQ
45   0x000444b4 0x100444b4 5   6    UPX1     ascii   mmDF\e
46   0x00044500 0x10044500 4   6    UPX1     utf8    oߛUh blocks=Basic Latin,NKo
47   0x0004452d 0x1004452d 5   7    UPX1     utf8    oow2ˣ blocks=Basic Latin,Spacing Modifier Letters
48   0x0004457e 0x1004457e 4   6    UPX1     utf8    S%\v˄ blocks=Basic Latin,Spacing Modifier Letters
49   0x000445ae 0x100445ae 4   5    UPX1     ascii   6{M\
50   0x0004460d 0x1004460d 4   5    UPX1     ascii   \bGxc
51   0x0004461a 0x1004461a 4   5    UPX1     ascii   r\a~/
52   0x00044649 0x10044649 5   8    UPX1     utf8    ۬ѹ\fHO blocks=Arabic,Cyrillic,Basic Latin
53   0x0004467d 0x1004467d 4   5    UPX1     ascii   ;6\f|
54   0x000446ab 0x100446ab 4   5    UPX1     ascii   Sc+V
55   0x000446e3 0x100446e3 4   5    UPX1     ascii   f\v%Y
56   0x000446f8 0x100446f8 4   5    UPX1     ascii   c1N\b
57   0x00044706 0x10044706 4   6    UPX1     utf8    \bƍR; blocks=Basic Latin,Latin Extended-B
58   0x0004470e 0x1004470e 4   5    UPX1     ascii   %\nDJ
59   0x0004475b 0x1004475b 4   6    UPX1     utf8    В;tU blocks=Cyrillic,Basic Latin
60   0x000447bd 0x100447bd 7   8    UPX1     ascii   ,><|\rP`
61   0x000447d6 0x100447d6 7   8    UPX1     ascii   6\b~@\bws
62   0x000448db 0x100448db 4   5    UPX1     ascii   \buN\f
63   0x000448e8 0x100448e8 4   5    UPX1     ascii   #;u#
64   0x000448f0 0x100448f0 5   6    UPX1     ascii   }w\b;h
65   0x00044970 0x10044970 7   8    UPX1     ascii   \f4!F?4B
66   0x0004497d 0x1004497d 4   5    UPX1     ascii   T{ ,
67   0x00044989 0x10044989 4   6    UPX1     utf8    2îBW blocks=Basic Latin,Latin-1 Supplement
68   0x0004499e 0x1004499e 5   9    UPX1     utf8    Ȁ\v˾=D blocks=Latin Extended-B,Basic Latin,Spacing Modifier Letters
69   0x000449cf 0x100449cf 5   6    UPX1     ascii   J)\a[\r
70   0x000449e9 0x100449e9 4   5    UPX1     ascii   m"9I
71   0x00044a16 0x10044a16 4   5    UPX1     ascii   QN"l
72   0x00044a60 0x10044a60 4   5    UPX1     ascii   v(\e^
73   0x00044a66 0x10044a66 7   8    UPX1     ascii   H;=\fpu,
74   0x00044a6e 0x10044a6e 5   6    UPX1     ascii   f=LU`
75   0x00044aa3 0x10044aa3 4   5    UPX1     ascii   \n\b\f#
76   0x00044aac 0x10044aac 4   7    UPX1     utf8    M9Ӑ< blocks=Basic Latin,Cyrillic
77   0x00044ab9 0x10044ab9 4   5    UPX1     ascii   U"+I
78   0x00044abf 0x10044abf 4   7    UPX1     utf8    ]ω=Ͳ blocks=Basic Latin,Greek and Coptic
79   0x00044acd 0x10044acd 5   6    UPX1     ascii   <S\v[H
80   0x00044ad3 0x10044ad3 5   8    UPX1     utf8    c}שͥ\v blocks=Basic Latin,Hebrew,Combining Diacritical Marks
81   0x00044aed 0x10044aed 4   6    UPX1     utf8    ֦Fh8 blocks=Hebrew,Basic Latin
82   0x00044af3 0x10044af3 11  12   UPX1     ascii   {\n8\nF\a1\nq]}
83   0x00044b40 0x10044b40 4   5    UPX1     ascii   \fg@;
84   0x00044b6e 0x10044b6e 4   7    UPX1     utf8    Ԕ߰\f` blocks=Cyrillic Supplement,NKo,Basic Latin
85   0x00044bda 0x10044bda 4   6    UPX1     utf8    o~&ڃ blocks=Basic Latin,Arabic
86   0x00044bf4 0x10044bf4 4   6    UPX1     utf8    PmQ}
87   0x00044c10 0x10044c10 4   5    UPX1     ascii   $/pb
88   0x00044c48 0x10044c48 4   5    UPX1     ascii   '4Y\t
89   0x00044c89 0x10044c89 4   5    UPX1     ascii   n\r%<
90   0x00044ca0 0x10044ca0 4   5    UPX1     ascii   8A\t-
91   0x00044cc8 0x10044cc8 5   6    UPX1     ascii   t/,x*
92   0x00044d00 0x10044d00 4   5    UPX1     ascii   , \vf
93   0x00044d3b 0x10044d3b 4   5    UPX1     ascii   w)f%
94   0x00044d4e 0x10044d4e 5   6    UPX1     ascii   \n$t\en
95   0x00044d5a 0x10044d5a 4   5    UPX1     ascii   :<QX
96   0x00044d7d 0x10044d7d 4   8    UPX1     utf8    竉Ѫ_' blocks=CJK Unified Ideographs,Cyrillic,Basic Latin
97   0x00044d96 0x10044d96 4   5    UPX1     ascii   FL t
98   0x00044da6 0x10044da6 9   10   UPX1     ascii   +t_$xtZXO
99   0x00044dca 0x10044dca 4   5    UPX1     ascii   \tw%9
100  0x00044de1 0x10044de1 4   5    UPX1     ascii   bi}T
101  0x00044df0 0x10044df0 6   7    UPX1     ascii   ~KxI[)
102  0x00044e0f 0x10044e0f 5   6    UPX1     ascii   e{v\v\a
103  0x00044e2c 0x10044e2c 6   7    UPX1     ascii   2F\fz0'
104  0x00044e6b 0x10044e6b 4   5    UPX1     ascii   P4Bh
105  0x00044e75 0x10044e75 4   5    UPX1     ascii   d"F\f
106  0x00044e81 0x10044e81 5   6    UPX1     ascii   }(0 \
107  0x00044ebe 0x10044ebe 17  20   UPX1     utf8    奣OFTWARE\BorlandE blocks=CJK Unified Ideographs,Basic Latin
108  0x00044ed4 0x10044ed4 11  12   UPX1     ascii   \Delphi\RTL
109  0x00044ee0 0x10044ee0 13  14   UPX1     ascii   FPUMaskValuer
110  0x00044f02 0x10044f02 4   5    UPX1     ascii   \rL[\e
111  0x00044f95 0x10044f95 5   8    UPX1     utf8    V\vv]ӛ blocks=Basic Latin,Cyrillic
112  0x00044fcb 0x10044fcb 4   6    UPX1     utf8    )ȋtG blocks=Basic Latin,Latin Extended-B
113  0x00044fe0 0x10044fe0 5   6    UPX1     ascii   ^~2f\t
114  0x00044fed 0x10044fed 5   6    UPX1     ascii   \r|(\r!
115  0x0004501d 0x1004501d 6   7    UPX1     ascii   u]*9A\f
116  0x0004503c 0x1004503c 4   5    UPX1     ascii   P%X8
117  0x0004507a 0x1004507a 4   5    UPX1     ascii   P0Tj
118  0x00045091 0x10045091 4   5    UPX1     ascii   W\aPS
