[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
81   0x000026f9 0x004032f9 4   7    .text   utf8    ۈ2yܸ blocks=Arabic,Basic Latin,Syriac
82   0x00002765 0x00403365 4   5    .text   ascii   gqr<
83   0x000027c7 0x004033c7 4   5    .text   ascii   $/o|
84   0x000027d5 0x004033d5 4   5    .text   ascii   f-=v
85   0x000027f7 0x004033f7 4   6    .text   utf8    3x\aɢ blocks=Basic Latin,IPA Extensions
86   0x0000280c 0x0040340c 4   5    .text   ascii   \bm=-
87   0x00002868 0x00403468 6   10   .text   utf8    JߥA=ؕפ blocks=Basic Latin,NKo,Arabic,Hebrew
88   0x000028d2 0x004034d2 4   6    .text   utf8    \;:l
89   0x00002900 0x00403500 7   8    .text   ascii   \rmj>zjZ
90   0x00002931 0x00403531 5   6    .text   ascii   l6qnk
91   0x00002979 0x00403579 7   9    .text   utf8    \r+گ\n\eL6 blocks=Basic Latin,Arabic
92   0x000029a0 0x004035a0 5   7    .text   utf8    %oҠRh blocks=Basic Latin,Cyrillic
93   0x000029b6 0x004035b6 4   6    .text   utf8    &/ź; blocks=Basic Latin,Latin Extended-A
94   0x000029ee 0x004035ee 5   6    .text   ascii   6?r\ag
95   0x00002a67 0x00403667 4   6    .text   utf8    §g&a blocks=Latin-1 Supplement,Basic Latin
96   0x00002a70 0x00403670 8   10   .text   utf8    IiGM>nwۮ blocks=Basic Latin,Arabic
97   0x00002add 0x004036dd 6   7    .text   ascii   \e1A26b
98   0x00002b75 0x00403775 4   6    .text   utf8    Ųe]] blocks=Latin Extended-A,Basic Latin
99   0x00002b87 0x00403787 4   5    .text   ascii   i91k
100  0x00002b90 0x00403790 4   5    .text   ascii   \v\a\t,
101  0x00002c95 0x00403895 6   7    .text   ascii   ewh/?y
102  0x00002ca6 0x004038a6 4   5    .text   ascii   *5KS
103  0x00002d2c 0x0040392c 7   8    .text   ascii   \f6~_'\e-
104  0x00002d75 0x00403975 4   5    .text   ascii   F*.f
105  0x00002dc1 0x004039c1 9   10   .text   ascii   *F2\a1wsHp
106  0x00002dfd 0x004039fd 4   5    .text   ascii   8l\a1
107  0x00002e5c 0x00403a5c 5   7    .text   utf8    Ge­lH blocks=Basic Latin,Latin-1 Supplement
108  0x00002e70 0x00403a70 4   5    .text   ascii   \b$Tj
109  0x00002f0b 0x00403b0b 5   7    .text   utf8    d\bؓS\n blocks=Basic Latin,Arabic
110  0x00002f12 0x00403b12 6   7    .text   ascii   -\n\v\G=
111  0x00002f27 0x00403b27 4   5    .text   ascii   )\e/\v
112  0x00002f57 0x00403b57 4   5    .text   ascii   M8MF
113  0x00002f76 0x00403b76 4   5    .text   ascii   Pe6^
114  0x00002fa8 0x00403ba8 5   6    .text   ascii   #bML"
115  0x00002fc2 0x00403bc2 8   9    .text   ascii   `F(>\nq-q
116  0x00002fec 0x00403bec 5   6    .text   ascii   vQO+t
117  0x00002ff3 0x00403bf3 5   7    .text   utf8    ru՛E~ blocks=Basic Latin,Armenian
118  0x00002fff 0x00403bff 4   5    .text   ascii   O}\r\b
119  0x0000302f 0x00403c2f 4   5    .text   ascii   [h1R
120  0x0000308e 0x00403c8e 4   5    .text   ascii   XsBI
121  0x0000309a 0x00403c9a 4   5    .text   ascii   hPU3
122  0x000030d0 0x00403cd0 5   6    .text   ascii   ^oEZ_
123  0x00003159 0x00403d59 6   8    .text   utf8    x]`غ7W blocks=Basic Latin,Arabic
124  0x000031c9 0x00403dc9 6   8    .text   utf8    D\at͆mC blocks=Basic Latin,Combining Diacritical Marks
125  0x0000328a 0x00403e8a 4   6    .text   utf8    )ġ:C blocks=Basic Latin,Latin Extended-A
126  0x000032ce 0x00403ece 4   8    .text   utf8    ÿZ^ھ blocks=Latin-1 Supplement,Basic Latin,Arabic
127  0x000032ef 0x00403eef 5   7    .text   utf8    2%k_ܝ blocks=Basic Latin,Syriac
128  0x00003312 0x00403f12 4   5    .text   ascii   w3Xc
129  0x00003330 0x00403f30 4   5    .text   ascii   ur\bC
130  0x00003354 0x00403f54 5   7    .text   utf8    \bzGɠ2 blocks=Basic Latin,IPA Extensions
131  0x0000335f 0x00403f5f 4   5    .text   ascii   [\n;g
132  0x00003368 0x00403f68 4   5    .text   ascii   /P8i
133  0x00003380 0x00403f80 7   9    .text   utf8    ϏOZw3(? blocks=Greek and Coptic,Basic Latin
134  0x000033a0 0x00403fa0 4   5    .text   ascii   Z"0*
135  0x00003431 0x00404031 4   5    .text   ascii   fP~V
136  0x00003469 0x00404069 4   5    .text   ascii   D`T\f
137  0x000034df 0x004040df 4   5    .text   ascii   ^GP~
138  0x000034e8 0x004040e8 7   9    .text   utf8    b;!lڇF\t blocks=Basic Latin,Arabic
139  0x00003502 0x00404102 6   7    .text   ascii   V_:X1:
140  0x00003526 0x00404126 5   6    .text   ascii   NJ2"v
141  0x0000354c 0x0040414c 5   6    .text   ascii   O*9y]
142  0x000035ba 0x004041ba 4   5    .text   ascii   fu`z
143  0x000035e9 0x004041e9 4   5    .text   ascii   /yQA
144  0x00003605 0x00404205 4   5    .text   ascii   Li\a<
145  0x0000364d 0x0040424d 7   10   .text   utf8    >aDƋΪ~7 blocks=Basic Latin,Latin Extended-B,Greek and Coptic
146  0x0000365e 0x0040425e 4   5    .text   ascii   &]|v
147  0x000036ae 0x004042ae 5   8    .text   utf8    散\rI{\e blocks=CJK Unified Ideographs,Basic Latin
148  0x000037a0 0x004043a0 14  60   .text   utf32le \a\a\b\b\t\t\n\n\v\v\f\f\r\r
149  0x00003c2a 0x0040482a 7   16   .text   utf16le \a@\a \a`\a
150  0x00003c3a 0x0040483a 15  32   .text   utf16le \aP\a0\ap\a\b\aH\a(\ah\a
151  0x00003c5a 0x0040485a 7   16   .text   utf16le \aX\a8\ax\a
152  0x00003c6a 0x0040486a 7   16   .text   utf16le \aD\a$\ad\a
153  0x00003c7a 0x0040487a 7   16   .text   utf16le \aT\a4\at\a
