[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
95   0x0000164e 0x0040224e 4   5    .text   ascii   _^[3
96   0x0000169c 0x0040229c 5   6    .text   ascii   D$\bPW
97   0x000016b9 0x004022b9 4   5    .text   ascii   h\b|A
98   0x000016c3 0x004022c3 4   5    .text   ascii   h(|A
99   0x000016ce 0x004022ce 5   6    .text   ascii   3hP|A
100  0x000016ed 0x004022ed 5   6    .text   ascii   D$4Ph
101  0x000016ff 0x004022ff 5   6    .text   ascii   L$\bQW
102  0x00001ad3 0x004026d3 4   5    .text   ascii   L$ f
103  0x00001ae7 0x004026e7 4   5    .text   ascii   D$$f
104  0x00001aec 0x004026ec 4   5    .text   ascii   L$&f
105  0x00001afd 0x004026fd 4   5    .text   ascii   L$,f
106  0x00001b34 0x00402734 4   5    .text   ascii   L$X3
107  0x00001b45 0x00402745 4   5    .text   ascii   T$Tf
108  0x00001b7c 0x0040277c 4   5    .text   ascii   D$Vf
109  0x00001b81 0x00402781 4   5    .text   ascii   D$\f
110  0x00001bae 0x004027ae 6   8    .text   utf8    L$@3ɸy blocks=Basic Latin,IPA Extensions
111  0x00001bc4 0x004027c4 4   5    .text   ascii   T$Bf
112  0x00001c0a 0x0040280a 4   5    .text   ascii   D$bf
113  0x00001c2a 0x0040282a 4   5    .text   ascii   D$hf
114  0x00001c48 0x00402848 4   5    .text   ascii   D$nf
115  0x00001c56 0x00402856 4   5    .text   ascii   L$\bf
116  0x00001c5b 0x0040285b 4   5    .text   ascii   T$xQ
117  0x00001c68 0x00402868 4   5    .text   ascii   D$x3
118  0x00001c91 0x00402891 4   5    .text   ascii   D$\bP
119  0x00001ca8 0x004028a8 5   6    .text   ascii   D$,PQ
120  0x00001cae 0x004028ae 4   5    .text   ascii   D$ P
121  0x00001cd3 0x004028d3 4   5    .text   ascii   D$\bP
122  0x00001ce8 0x004028e8 5   6    .text   ascii   D$DPQ
123  0x00001d0e 0x0040290e 4   5    .text   ascii   T$\bR
124  0x00001d26 0x00402926 5   6    .text   ascii   T$\RP
125  0x00001d2c 0x0040292c 4   5    .text   ascii   D$ P
126  0x00001d37 0x00402937 8   9    .text   ascii   u&9D$\bt 
127  0x00001d4f 0x0040294f 5   6    .text   ascii   Qh,}A
128  0x00001d60 0x00402960 5   6    .text   ascii   7hP}A
129  0x00001dc2 0x004029c2 4   5    .text   ascii   D$\bP
130  0x00001dda 0x004029da 5   6    .text   ascii   D$tPQ
131  0x00001de0 0x004029e0 4   5    .text   ascii   D$ P
132  0x00001deb 0x004029eb 7   8    .text   ascii   u#9D$\bt
133  0x00001e22 0x00402a22 6   7    .text   ascii   7Phx~A
134  0x00001e74 0x00402a74 4   5    .text   ascii   UVW3
135  0x00001e8e 0x00402a8e 4   5    .text   ascii   l$ f
136  0x00001ecd 0x00402acd 8   10   .text   utf8    D$D3\tL$<
137  0x00001ef2 0x00402af2 4   5    .text   ascii   D$^f
138  0x00001f22 0x00402b22 8   10   .text   utf8    D$t3\tT$d
139  0x000022a0 0x00402ea0 5   6    .text   ascii   Rj\aVj
140  0x000022b8 0x00402eb8 4   5    .text   ascii   D$\fP
141  0x000022d9 0x00402ed9 4   5    .text   ascii   D$ P
142  0x000022f9 0x00402ef9 4   5    .text   ascii   T$\fR
143  0x0000231a 0x00402f1a 5   6    .text   ascii   T$$RV
144  0x00002366 0x00402f66 4   5    .text   ascii   _^]3
145  0x00002393 0x00402f93 4   5    .text   ascii   `SVW
146  0x000023d4 0x00402fd4 5   6    .text   ascii   QhtlA
147  0x000023dc 0x00402fdc 5   6    .text   ascii   WhdlA
148  0x00002429 0x00403029 4   5    .text   ascii   t~jL
149  0x00002451 0x00403051 4   5    .text   ascii   J\fPV
150  0x0000246a 0x0040306a 4   5    .text   ascii   3PhT
151  0x0000247d 0x0040307d 4   5    .text   ascii   3Rh\
152  0x000024d4 0x004030d4 4   5    .text   ascii   Y_^[
153  0x00002525 0x00403125 4   6    .text   utf8    WQƄ$ blocks=Basic Latin,Latin Extended-B
154  0x00002541 0x00403141 5   7    .text   utf8    3\tD$0
155  0x00002550 0x00403150 4   5    .text   ascii   D$<f
156  0x0000255b 0x0040315b 8   10   .text   utf8    D$D3\tD$G
157  0x00002576 0x00403176 8   10   .text   utf8    D$X3\tD$^
158  0x00002580 0x00403180 4   5    .text   ascii   D$bf
159  0x0000258e 0x0040318e 8   10   .text   utf8    D$l3\tT$@
160  0x0000259e 0x0040319e 4   5    .text   ascii   L$Ff
161  0x000025ad 0x004031ad 4   5    .text   ascii   D$uf
162  0x000025db 0x004031db 5   7    .text   utf8    3\tT$h
163  0x0000265b 0x0040325b 6   7    .text   ascii   D$,???
164  0x0000280c 0x0040340c 4   5    .text   ascii   zu$;
165  0x0000281d 0x0040341d 4   5    .text   ascii   L$\fQ
166  0x00002851 0x00403451 4   5    .text   ascii   h\b|A
167  0x0000292c 0x0040352c 4   5    .text   ascii   D$D@
168  0x00002957 0x00403557 4   5    .text   ascii   _][3
169  0x00002998 0x00403598 5   6    .text   ascii   D$ PS
170  0x000029c3 0x004035c3 4   5    .text   ascii   |$\f;
171  0x000029d6 0x004035d6 5   6    .text   ascii   T$ RW
172  0x00002a0f 0x0040360f 4   5    .text   ascii   T$$h
173  0x00002a20 0x00403620 4   5    .text   ascii   hYlA
174  0x00002a2b 0x0040362b 5   6    .text   ascii   D$4Ph
175  0x00002a4b 0x0040364b 4   5    .text   ascii   T$<C
176  0x00002a76 0x00403676 4   5    .text   ascii   _][3
177  0x00002a95 0x00403695 4   5    .text   ascii   $Pj(
178  0x00002ace 0x004036ce 4   5    .text   ascii   D$\bj
179  0x00002b42 0x00403742 5   6    .text   ascii   D$4Pj
180  0x00002b62 0x00403762 4   5    .text   ascii   |$$;
181  0x00002b8f 0x0040378f 5   7    .text   utf8    rߋ|$$ blocks=Basic Latin,NKo
182  0x00002bc1 0x004037c1 4   5    .text   ascii   _^][
183  0x00002be5 0x004037e5 5   6    .text   ascii   T$$Rj
184  0x00002c14 0x00403814 4   5    .text   ascii   |$\f;
185  0x00002c19 0x00403819 5   6    .text   ascii   t:9\$
186  0x00002c3d 0x0040383d 6   7    .text   ascii   \f;\$ r
187  0x00002c46 0x00403846 4   5    .text   ascii   |$\f3
188  0x00002cb2 0x004038b2 5   6    .text   ascii   9A\bu\t
189  0x00002cd2 0x004038d2 5   6    .text   ascii   9A\bu\n
190  0x00002cf2 0x004038f2 5   6    .text   ascii   9A\bu\n
191  0x00002d44 0x00403944 4   5    .text   ascii   D$&P
192  0x00002d69 0x00403969 4   6    .text   utf8    UhԂA blocks=Basic Latin,Cyrillic Supplement
193  0x00002d76 0x00403976 4   5    .text   ascii   =LPA
194  0x00002d82 0x00403982 5   7    .text   utf8    t\ahԂA blocks=Basic Latin,Cyrillic Supplement
195  0x00002e32 0x00403a32 5   8    .text   utf8    T$(R腎 blocks=Basic Latin,CJK Unified Ideographs
