[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d0 0x000000d0 5   7            utf8    Rich̒ blocks=Basic Latin,Combining Diacritical Marks
2    0x000001e0 0x000001e0 5   6            ascii   .text
3    0x00000207 0x00000207 7   8            ascii   `.rdata
4    0x0000022f 0x0000022f 6   7            ascii   @.data
5    0x00000258 0x00000258 5   6            ascii   .rsrc
6    0x0000027f 0x0000027f 7   8            ascii   @.reloc
7    0x000004c4 0x004010c4 4   5    .text   ascii   E\b;H
8    0x000004cd 0x004010cd 4   5    .text   ascii   ;E\fu
9    0x000005bf 0x004011bf 4   6    .text   utf8    ̸0EA blocks=Combining Diacritical Marks,Basic Latin
10   0x00000690 0x00401290 4   5    .text   ascii   SVWj
11   0x000006c1 0x004012c1 4   5    .text   ascii   +F4h
12   0x00000716 0x00401316 4   9    .text   utf8    r؋u􋾠 blocks=Basic Latin,Arabic,Supplementary Private Use Area-B
13   0x00000835 0x00401435 5   6    .text   ascii   Ph8EA
14   0x00000860 0x00401460 4   5    .text   ascii   SVWh
15   0x00000868 0x00401468 4   5    .text   ascii   htEA
16   0x000008a2 0x004014a2 5   6    .text   ascii   Vh|EA
17   0x000008ef 0x004014ef 4   5    .text   ascii   oopp
18   0x00000926 0x00401526 4   5    .text   ascii   h@EA
19   0x00000935 0x00401535 4   5    .text   ascii   h\EA
20   0x00000965 0x00401565 4   5    .text   ascii   ]\bVW
21   0x00000a4c 0x0040164c 4   5    .text   ascii   _^[]
22   0x00000b48 0x00401748 5   6    .text   ascii   t\vWSP
23   0x00000b66 0x00401766 4   5    .text   ascii   _^[]
24   0x00000c43 0x00401843 4   5    .text   ascii   \fSVW
25   0x00000d33 0x00401933 5   6    .text   ascii   t\vSQP
26   0x00000d73 0x00401973 4   5    .text   ascii   Y_^[
27   0x00000d84 0x00401984 4   6    .text   utf8    E\b3Ʌ blocks=Basic Latin,Latin Extended-B
28   0x00000dbe 0x004019be 6   7    .text   ascii   M\b9\bt\r
29   0x00000de8 0x004019e8 6   7    .text   ascii   M\b9\bt\r
30   0x00000f09 0x00401b09 4   5    .text   ascii   h\KA
31   0x00000f4d 0x00401b4d 5   6    .text   ascii   ;\r\b`A
32   0x0000102a 0x00401c2a 4   5    .text   ascii   oF f
33   0x00001086 0x00401c86 4   5    .text   ascii   oF f
34   0x000010de 0x00401cde 4   5    .text   ascii   oF f
35   0x000012a9 0x00401ea9 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
36   0x000012b5 0x00401eb5 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
37   0x000012c7 0x00401ec7 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
38   0x000012e1 0x00401ee1 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
39   0x00001445 0x00402045 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
40   0x00001453 0x00402053 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
41   0x00001469 0x00402069 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
42   0x00001483 0x00402083 6   8    .text   utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
43   0x000014bb 0x004020bb 4   5    .text   ascii   oV f
44   0x000014c0 0x004020c0 4   5    .text   ascii   o^0f
45   0x000014d8 0x004020d8 4   5    .text   ascii   of@f
46   0x000014dd 0x004020dd 4   5    .text   ascii   onPf
47   0x000014e2 0x004020e2 4   5    .text   ascii   ov`f
48   0x000014e7 0x004020e7 4   5    .text   ascii   o~pf
49   0x00001554 0x00402154 5   6    .text   ascii   \aFGIu
50   0x00001560 0x00402160 4   6    .text   utf8    X^_Í blocks=Basic Latin,Latin-1 Supplement
51   0x00001587 0x00402187 4   5    .text   ascii   FGIu
52   0x000015c9 0x004021c9 4   6    .text   utf8    X^Ã& blocks=Basic Latin,Latin-1 Supplement
53   0x00001672 0x00402272 4   5    .text   ascii   r\rPS
54   0x00001686 0x00402286 4   5    .text   ascii   r>PS
