[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000099 0x00000099 4   6            utf8    K}80
2     0x000000a1 0x000000a1 4   6            utf8    K|8R
3     0x000000d7 0x000000d7 5   8            utf8    8؉q8K blocks=Basic Latin,Arabic
4     0x000000ef 0x000000ef 6   8            utf8    8RichJ
5     0x000001f8 0x000001f8 5   6            ascii   .text
6     0x0000021f 0x0000021f 7   8            ascii   `.rdata
7     0x00000247 0x00000247 6   7            ascii   @.data
8     0x00000270 0x00000270 6   7            ascii   .gfids
9     0x00000297 0x00000297 6   7            ascii   @.UPX0
10    0x000002c0 0x000002c0 4   5            ascii   .tls
11    0x000002e8 0x000002e8 5   6            ascii   .UPX1
12    0x00000310 0x00000310 6   7            ascii   .reloc
13    0x00000337 0x00000337 6   7            ascii   @.rsrc
14    0x0000061f 0x0042301f 5   7    .UPX1   utf8    CYކEe blocks=Basic Latin,Thaana
15    0x00000643 0x00423043 5   6    .UPX1   ascii   7#62P
16    0x0000066d 0x0042306d 4   5    .UPX1   ascii   3<U;
17    0x000006c9 0x004230c9 6   7    .UPX1   ascii   Aya^Z%
18    0x000006e0 0x004230e0 5   6    .UPX1   ascii   0\eqd*
19    0x000006f0 0x004230f0 4   6    .UPX1   utf8    Vp.߮ blocks=Basic Latin,NKo
20    0x0000071e 0x0042311e 4   5    .UPX1   ascii   y\n3d
21    0x00000739 0x00423139 5   6    .UPX1   ascii   \ebonK
22    0x0000074d 0x0042314d 4   5    .UPX1   ascii   Qpl&
23    0x00000757 0x00423157 4   5    .UPX1   ascii   _H^}
24    0x000007c1 0x004231c1 5   6    .UPX1   ascii   B(Ra8
25    0x000007d3 0x004231d3 4   6    .UPX1   utf8    63&S
26    0x00000828 0x00423228 6   7    .UPX1   ascii   \vJabXq
27    0x000008a5 0x004232a5 4   6    .UPX1   utf8    ŋu\ff blocks=Latin Extended-A,Basic Latin
28    0x000008cb 0x004232cb 8   10   .UPX1   utf8    >ԎGOhoX_ blocks=Basic Latin,Cyrillic Supplement
29    0x000008ea 0x004232ea 6   8    .UPX1   utf8    aC0Eפy blocks=Basic Latin,Hebrew
30    0x000008f9 0x004232f9 7   8    .UPX1   ascii   UZA~=*z
31    0x00000903 0x00423303 6   7    .UPX1   ascii   \n=vG\bA
32    0x00000913 0x00423313 4   5    .UPX1   ascii   Cy3&
33    0x0000091c 0x0042331c 7   8    .UPX1   ascii   M\aNp @q
34    0x00000989 0x00423389 5   6    .UPX1   ascii   HK@Xg
35    0x00000996 0x00423396 4   5    .UPX1   ascii   ;bwX
36    0x00000a55 0x00423455 4   5    .UPX1   ascii   g$!I
37    0x00000a5d 0x0042345d 5   6    .UPX1   ascii   TIu*l
38    0x00000a70 0x00423470 4   5    .UPX1   ascii   C\v@&
39    0x00000a7b 0x0042347b 4   5    .UPX1   ascii   \v\bL%
40    0x00000a90 0x00423490 4   5    .UPX1   ascii   r8^-
41    0x00000aa0 0x004234a0 4   5    .UPX1   ascii   gjfx
42    0x00000ab5 0x004234b5 7   8    .UPX1   ascii   @E\r<=T}
43    0x00000ac1 0x004234c1 6   7    .UPX1   ascii   \a]\b(/u
44    0x00000b36 0x00423536 6   7    .UPX1   ascii   D$Pp@B
45    0x00000b6a 0x0042356a 4   5    .UPX1   ascii   D$ \f
46    0x00000b92 0x00423592 11  12   .UPX1   ascii   GetFileType
47    0x00000c17 0x00423617 4   5    .UPX1   ascii   Q;An
48    0x00000cf6 0x004236f6 4   5    .UPX1   ascii   k'TE
49    0x00000d03 0x00423703 7   8    .UPX1   ascii   =x o1*~
50    0x00000d10 0x00423710 7   9    .UPX1   utf8    G_Rδ{MQ blocks=Basic Latin,Greek and Coptic
51    0x00000da3 0x004237a3 6   7    .UPX1   ascii   I0M\t|m
52    0x00000dbd 0x004237bd 4   5    .UPX1   ascii   aDd'
53    0x00000de2 0x004237e2 5   9    .UPX1   utf8    ~Ƒ˒߸< blocks=Basic Latin,Latin Extended-B,Spacing Modifier Letters,NKo
54    0x00000e32 0x00423832 5   8    .UPX1   utf8    0윍d$\b blocks=Basic Latin,Hangul Syllables
55    0x00000e56 0x00423856 15  16   .UPX1   ascii   ShellExecuteExA
56    0x00000e76 0x00423876 5   6    .UPX1   ascii   hGd";
57    0x00000ebb 0x004238bb 5   7    .UPX1   utf8    (9¿P\a blocks=Basic Latin,Latin-1 Supplement
58    0x00000ed2 0x004238d2 5   8    .UPX1   utf8    FezY blocks=Basic Latin,Private Use Area
59    0x00000ef7 0x004238f7 4   5    .UPX1   ascii   l]J7
60    0x00000f01 0x00423901 4   6    .UPX1   utf8    Pd\aۂ blocks=Basic Latin,Arabic
61    0x00000f31 0x00423931 4   5    .UPX1   ascii   |nc(
62    0x00000f38 0x00423938 4   5    .UPX1   ascii   D$ \v
63    0x00000f92 0x00423992 4   5    .UPX1   ascii   D$\bI
64    0x00000fc5 0x004239c5 4   5    .UPX1   ascii   C\k8
65    0x00000fd3 0x004239d3 8   9    .UPX1   ascii   fk\vRyziB
66    0x00000fed 0x004239ed 4   5    .UPX1   ascii   &%\fq
67    0x00001004 0x00423a04 5   8    .UPX1   utf8    Zh+X blocks=Basic Latin,Private Use Area
68    0x00001078 0x00423a78 5   6    .UPX1   ascii   Tgcri
69    0x00001082 0x00423a82 4   5    .UPX1   ascii   W$!T
70    0x00001089 0x00423a89 5   6    .UPX1   ascii   ghpmh
71    0x000010b8 0x00423ab8 4   7    .UPX1   utf8    렘U\v4 blocks=Hangul Syllables,Basic Latin
72    0x00001186 0x00423b86 4   5    .UPX1   ascii   6mZh
73    0x00001194 0x00423b94 6   7    .UPX1   ascii   9`=<1C
74    0x000011a5 0x00423ba5 4   8    .UPX1   utf8    ֑Mֹ͗ blocks=Hebrew,Basic Latin,Combining Diacritical Marks
75    0x000011ba 0x00423bba 4   6    .UPX1   utf8    ԑYnQ blocks=Cyrillic Supplement,Basic Latin
76    0x00001228 0x00423c28 4   5    .UPX1   ascii   #KH7
77    0x0000123f 0x00423c3f 5   6    .UPX1   ascii   %$lgH
78    0x00001276 0x00423c76 4   5    .UPX1   ascii   #v9\a
79    0x000012cb 0x00423ccb 4   5    .UPX1   ascii   \b-:w
80    0x000012d4 0x00423cd4 7   9    .UPX1   utf8    D$@OڠfP blocks=Basic Latin,Arabic
81    0x00001305 0x00423d05 6   7    .UPX1   ascii   Vefm:W
82    0x00001325 0x00423d25 5   6    .UPX1   ascii   j@)H=
83    0x000013aa 0x00423daa 4   5    .UPX1   ascii   &5i+
84    0x000013f1 0x00423df1 4   5    .UPX1   ascii   hagU
85    0x00001454 0x00423e54 4   5    .UPX1   ascii   ~ccr
86    0x00001470 0x00423e70 4   5    .UPX1   ascii   `4Gd
87    0x00001479 0x00423e79 7   8    .UPX1   ascii   %mtC\\e$
88    0x000014ba 0x00423eba 5   6    .UPX1   ascii   *O\We
89    0x000014d0 0x00423ed0 4   6    .UPX1   utf8    \vB\b`
90    0x0000159b 0x00423f9b 5   7    .UPX1   utf8    ˟].da blocks=Spacing Modifier Letters,Basic Latin
91    0x000015a9 0x00423fa9 5   7    .UPX1   utf8    65ʊGp blocks=Basic Latin,IPA Extensions
92    0x000015b8 0x00423fb8 5   6    .UPX1   ascii   (NHl$
93    0x0000160d 0x0042400d 4   5    .UPX1   ascii   +j76
94    0x00001783 0x00424183 4   5    .UPX1   ascii    MCs
95    0x0000179d 0x0042419d 8   9    .UPX1   ascii   \e#+3;CKS
96    0x000017a6 0x004241a6 6   7    .UPX1   ascii   [cksa.
97    0x000017bc 0x004241bc 4   5    .UPX1   ascii   "*2:
98    0x000017c1 0x004241c1 7   8    .UPX1   ascii   BJRZbjr
99    0x000017ce 0x004241ce 4   5    .UPX1   ascii   J2\nh
100   0x000017e1 0x004241e1 4   5    .UPX1   ascii   :a-a
101   0x000017fd 0x004241fd 4   7    .UPX1   utf8    cɩ|ń blocks=Basic Latin,IPA Extensions,Latin Extended-A
102   0x00001854 0x00424254 4   5    .UPX1   ascii   O\v@p
103   0x0000188e 0x0042428e 4   5    .UPX1   ascii   cTos
104   0x000018cd 0x004242cd 6   7    .UPX1   ascii   fs2'[O
105   0x00001928 0x00424328 4   5    .UPX1   ascii   (!\ts
106   0x0000196c 0x0042436c 4   7    .UPX1   utf8    ߪEۧ` blocks=NKo,Basic Latin,Arabic
107   0x00001995 0x00424395 4   5    .UPX1   ascii   7\fX\e
108   0x00001a46 0x00424446 4   5    .UPX1   ascii   J^Y"
109   0x00001ab3 0x004244b3 4   6    .UPX1   utf8    }́v3 blocks=Basic Latin,Combining Diacritical Marks
110   0x00001b3b 0x0042453b 5   6    .UPX1   ascii   t\bGE[
111   0x00001b74 0x00424574 4   6    .UPX1   utf8    ͻK5g blocks=Greek and Coptic,Basic Latin
112   0x00001b90 0x00424590 4   6    .UPX1   utf8    z\a#ŧ blocks=Basic Latin,Latin Extended-A
113   0x00001bd9 0x004245d9 5   7    .UPX1   utf8    s\n4΅z blocks=Basic Latin,Greek and Coptic
114   0x00001c49 0x00424649 4   5    .UPX1   ascii   f7v\b
115   0x00001c50 0x00424650 4   5    .UPX1   ascii   0lY#
116   0x00001c5b 0x0042465b 4   5    .UPX1   ascii   ZSG6
117   0x00001cbd 0x004246bd 4   6    .UPX1   utf8    0ī% blocks=Basic Latin,Combining Diacritical Marks
118   0x00001cd4 0x004246d4 5   6    .UPX1   ascii   \rW\ay.
119   0x00001d38 0x00424738 4   5    .UPX1   ascii   *zC|
120   0x00001d80 0x00424780 4   5    .UPX1   ascii   N,Kx
121   0x00001da9 0x004247a9 4   5    .UPX1   ascii   81P}
122   0x00001dd8 0x004247d8 5   6    .UPX1   ascii   4|i\aM
123   0x00001e02 0x00424802 4   5    .UPX1   ascii   !6q2
124   0x00001e0c 0x0042480c 5   7    .UPX1   utf8    4ϕ^AQ blocks=Basic Latin,Greek and Coptic
125   0x00001e90 0x00424890 6   7    .UPX1   ascii   ?&XnY9
126   0x00001e99 0x00424899 6   11   .UPX1   utf8    E漌ٜgߙx blocks=Basic Latin,CJK Unified Ideographs,Arabic,NKo
127   0x00001edb 0x004248db 5   6    .UPX1   ascii   [e@jh
128   0x00001f03 0x00424903 5   7    .UPX1   utf8    %\b\vKۡ blocks=Basic Latin,Arabic
129   0x00001f1d 0x0042491d 6   10   .UPX1   utf8    y}?媟yʏ blocks=Basic Latin,CJK Unified Ideographs,IPA Extensions
130   0x00001f7a 0x0042497a 6   7    .UPX1   ascii   2]<I_F
131   0x00001fa7 0x004249a7 4   6    .UPX1   utf8    ȍ,LR blocks=Latin Extended-B,Basic Latin
132   0x00001fdb 0x004249db 4   5    .UPX1   ascii   %=C^
133   0x00002000 0x00424a00 5   6    .UPX1   ascii   PZd&\r
134   0x0000200c 0x00424a0c 6   8    .UPX1   utf8    /͗BTNt blocks=Basic Latin,Combining Diacritical Marks
135   0x0000202f 0x00424a2f 4   5    .UPX1   ascii   V\r5s
136   0x00002069 0x00424a69 4   6    .UPX1   utf8    gɫ\vq blocks=Basic Latin,IPA Extensions
137   0x000020b4 0x00424ab4 4   5    .UPX1   ascii   Y~!0
138   0x000020e2 0x00424ae2 4   5    .UPX1   ascii   WBRK
139   0x00002120 0x00424b20 6   7    .UPX1   ascii   fv\eM-F
140   0x00002180 0x00424b80 5   6    .UPX1   ascii   s=o2-
141   0x0000218c 0x00424b8c 4   9    .UPX1   utf8    \b\܀E blocks=Basic Latin,Syriac
142   0x0000219c 0x00424b9c 4   7    .UPX1   utf8    ɉD\rҥ blocks=Latin Extended-B,Basic Latin,Cyrillic
143   0x00002215 0x00424c15 4   5    .UPX1   ascii   sbUH
144   0x0000222f 0x00424c2f 6   8    .UPX1   utf8    "559#ħ blocks=Basic Latin,Latin Extended-A
145   0x00002261 0x00424c61 4   6    .UPX1   utf8    iyçd blocks=Basic Latin,Latin-1 Supplement
146   0x00002290 0x00424c90 5   7    .UPX1   utf8    c4ƣ:E blocks=Basic Latin,Latin Extended-B
147   0x000022ca 0x00424cca 5   6    .UPX1   ascii   \amg8\e
148   0x0000230d 0x00424d0d 6   7    .UPX1   ascii   [v(>Kx
149   0x00002325 0x00424d25 4   5    .UPX1   ascii   tF"g
150   0x0000233e 0x00424d3e 4   6    .UPX1   utf8    _1ۛj blocks=Basic Latin,Arabic
151   0x00002378 0x00424d78 4   6    .UPX1   utf8    +mٓV blocks=Basic Latin,Arabic
152   0x000023af 0x00424daf 5   6    .UPX1   ascii   zsu:h
153   0x000023d1 0x00424dd1 5   7    .UPX1   utf8    §lx%t blocks=Latin-1 Supplement,Basic Latin
154   0x000024b6 0x00424eb6 4   5    .UPX1   ascii   Vy=[
155   0x000024d0 0x00424ed0 9   10   .UPX1   ascii   \nY".`2aEX
156   0x000024fa 0x00424efa 4   6    .UPX1   utf8    UۂS, blocks=Basic Latin,Arabic
157   0x00002533 0x00424f33 4   6    .UPX1   utf8    Aރ>l blocks=Basic Latin,Thaana
158   0x0000253d 0x00424f3d 4   7    .UPX1   utf8    ͧ\rCצ blocks=Combining Diacritical Marks,Basic Latin,Hebrew
159   0x0000257f 0x00424f7f 4   5    .UPX1   ascii   \rit\v
160   0x000025d8 0x00424fd8 5   6    .UPX1   ascii   CJ%-7
161   0x000025fe 0x00424ffe 4   5    .UPX1   ascii   bkn6
162   0x0000267a 0x0042507a 6   7    .UPX1   ascii   A\b?`xY
163   0x00002751 0x00425151 4   6    .UPX1   utf8    0a}+
164   0x000027b6 0x004251b6 5   8    .UPX1   utf8    @A뺢cy blocks=Basic Latin,Hangul Syllables
165   0x000028a6 0x004252a6 5   6    .UPX1   ascii   %7o&0
166   0x00002917 0x00425317 5   9    .UPX1   utf8    \fEZ󱧤G blocks=Basic Latin,Supplementary Private Use Area-A
167   0x00002947 0x00425347 7   9    .UPX1   utf8    m+pIKܧ] blocks=Basic Latin,Syriac
168   0x00002959 0x00425359 4   5    .UPX1   ascii   0LB$
169   0x0000298f 0x0042538f 4   6    .UPX1   utf8    مJZ] blocks=Arabic,Basic Latin
170   0x00002999 0x00425399 4   5    .UPX1   ascii   " NO
171   0x0000299f 0x0042539f 5   6    .UPX1   ascii   qX3o:
172   0x000029bb 0x004253bb 5   6    .UPX1   ascii   Q3DCV
173   0x000029c1 0x004253c1 4   5    .UPX1   ascii   N!Sd
174   0x00002a5a 0x0042545a 4   5    .UPX1   ascii   6m"/
175   0x00002a61 0x00425461 6   8    .UPX1   utf8    Gۉj\\r\n blocks=Basic Latin,Arabic
176   0x00002a91 0x00425491 4   6    .UPX1   utf8    %fƗ^ blocks=Basic Latin,Latin Extended-B
177   0x00002a9b 0x0042549b 4   5    .UPX1   ascii   `Vrg
178   0x00002afe 0x004254fe 4   5    .UPX1   ascii   [tC`
179   0x00002b0e 0x0042550e 6   7    .UPX1   ascii   YnI>EC
180   0x00002bc1 0x004255c1 5   10   .UPX1   utf8    b\e旅\n blocks=Basic Latin,Private Use Area,CJK Compatibility Ideographs
181   0x00002bcb 0x004255cb 13  14   .UPX1   ascii   _|ZoNwNg>\a~?&
182   0x00002c83 0x00425683 4   5    .UPX1   ascii   |!P\r
183   0x00002cf5 0x004256f5 4   5    .UPX1   ascii   8x`{
184   0x00002d01 0x00425701 4   6    .UPX1   utf8    ˕[VZ blocks=Spacing Modifier Letters,Basic Latin
185   0x00002d8a 0x0042578a 4   5    .UPX1   ascii   D$Hf
186   0x00002d97 0x00425797 4   5    .UPX1   ascii   \$Hf
187   0x00002d9e 0x0042579e 4   5    .UPX1   ascii   h?+E
188   0x00002de2 0x004257e2 4   5    .UPX1   ascii   78~|
189   0x00002dfd 0x004257fd 4   5    .UPX1   ascii   `UDU
190   0x00002e1e 0x0042581e 4   5    .UPX1   ascii   \b{T>
191   0x00002e9b 0x0042589b 4   5    .UPX1   ascii   9^)W
192   0x00002ef5 0x004258f5 4   7    .UPX1   utf8    މש}D blocks=Thaana,Hebrew,Basic Latin
193   0x00002fed 0x004259ed 4   5    .UPX1   ascii   [|+$
194   0x0000300f 0x00425a0f 4   5    .UPX1   ascii   #\eH$
195   0x0000303b 0x00425a3b 4   5    .UPX1   ascii   Mlkb
196   0x000030db 0x00425adb 4   5    .UPX1   ascii   ufM^
197   0x00003127 0x00425b27 4   5    .UPX1   ascii   \eN:"
198   0x00003147 0x00425b47 4   5    .UPX1   ascii   \r~3|
199   0x0000317e 0x00425b7e 4   5    .UPX1   ascii   Tq_I
200   0x000031d5 0x00425bd5 8   9    .UPX1   ascii   \f\r]jx?67
201   0x000031e8 0x00425be8 4   6    .UPX1   utf8    +Cǳl blocks=Basic Latin,Latin Extended-B
202   0x00003220 0x00425c20 5   8    .UPX1   utf8    Hᒯ|)4 blocks=Basic Latin,Unified Canadian Aboriginal Syllabics
203   0x00003236 0x00425c36 5   6    .UPX1   ascii   M>\v{x
204   0x000032a2 0x00425ca2 5   6    .UPX1   ascii   @vk\e8
205   0x000032e7 0x00425ce7 5   6    .UPX1   ascii   #7U Q
206   0x00003313 0x00425d13 4   5    .UPX1   ascii   EiL?
207   0x0000337a 0x00425d7a 5   6    .UPX1   ascii   1`=<)
208   0x000033af 0x00425daf 4   5    .UPX1   ascii   ![VZ
209   0x0000341e 0x00425e1e 8   10   .UPX1   utf8    ˦PvNc:+q blocks=Spacing Modifier Letters,Basic Latin
210   0x000034a1 0x00425ea1 5   6    .UPX1   ascii   _V#0-
211   0x000034ca 0x00425eca 5   7    .UPX1   utf8    k<rEʓ blocks=Basic Latin,IPA Extensions
212   0x000034dd 0x00425edd 4   5    .UPX1   ascii   5G"Z
213   0x000034f5 0x00425ef5 12  13   .UPX1   ascii   LoadLibraryA
214   0x00003530 0x00425f30 4   6    .UPX1   utf8    )ɍd$ blocks=Basic Latin,Latin Extended-B
215   0x0000353c 0x00425f3c 4   5    .UPX1   ascii   d$,V
216   0x00003593 0x00425f93 6   10   .UPX1   utf8    â_~ӎǐC blocks=Latin-1 Supplement,Basic Latin,Cyrillic,Latin Extended-B
217   0x000035a7 0x00425fa7 6   7    .UPX1   ascii   Rq~]rx
218   0x00003639 0x00426039 7   8    .UPX1   ascii   gHFkrkK
219   0x00003663 0x00426063 4   5    .UPX1   ascii   Ej!"
220   0x0000367e 0x0042607e 4   5    .UPX1   ascii   /r}N
221   0x000036c2 0x004260c2 4   6    .UPX1   utf8    \rܤNO blocks=Basic Latin,Syriac
222   0x000036ea 0x004260ea 4   5    .UPX1   ascii   \Mk\t
223   0x00003795 0x00426195 5   6    .UPX1   ascii   |\t26s
224   0x000037b5 0x004261b5 4   5    .UPX1   ascii   .bY\a
225   0x00003886 0x00426286 4   5    .UPX1   ascii   'dU\e
226   0x000038a7 0x004262a7 4   5    .UPX1   ascii   5;#B
227   0x000038ee 0x004262ee 6   7    .UPX1   ascii   78(IFN
228   0x0000391e 0x0042631e 4   5    .UPX1   ascii   FNf\t
229   0x0000395d 0x0042635d 4   5    .UPX1   ascii   S<\vF
230   0x00003a06 0x00426406 4   5    .UPX1   ascii   $mmH
231   0x00003a23 0x00426423 12  13   .UPX1   ascii   KERNEL32.dll
232   0x00003a66 0x00426466 4   6    .UPX1   utf8    ƭv\r* blocks=Latin Extended-B,Basic Latin
233   0x00003a91 0x00426491 5   6    .UPX1   ascii   _kq_z
234   0x00003a97 0x00426497 5   7    .UPX1   utf8    Ԉ;t\fw blocks=Cyrillic Supplement,Basic Latin
235   0x00003aa2 0x004264a2 4   5    .UPX1   ascii   gKxE
236   0x00003b30 0x00426530 6   7    .UPX1   ascii   6K{|"\t
237   0x00003b50 0x00426550 4   5    .UPX1   ascii   pmuL
238   0x00003b55 0x00426555 5   6    .UPX1   ascii   @7\fcp
239   0x00003b5d 0x0042655d 7   11   .UPX1   utf8    f`܆tܩv^ blocks=Basic Latin,Syriac
240   0x00003b6c 0x0042656c 4   5    .UPX1   ascii   $aV%
241   0x00003b82 0x00426582 4   6    .UPX1   utf8    &nɹB blocks=Basic Latin,IPA Extensions
242   0x00003b8d 0x0042658d 5   6    .UPX1   ascii   \vxY`X
243   0x00003b94 0x00426594 4   6    .UPX1   utf8    5rzٝ blocks=Basic Latin,Arabic
244   0x00003bbb 0x004265bb 4   5    .UPX1   ascii   V}@b
245   0x00003bc2 0x004265c2 7   8    .UPX1   ascii   84R]I3(
246   0x00003bf0 0x004265f0 4   5    .UPX1   ascii   \v(GM
247   0x00003c49 0x00426649 6   7    .UPX1   ascii   `h{jo{
248   0x00003c8f 0x0042668f 5   6    .UPX1   ascii   ,spOT
249   0x00003c95 0x00426695 5   6    .UPX1   ascii   \sT*W
250   0x00003ced 0x004266ed 4   5    .UPX1   ascii   hUw\r
