Metadata Signature: 0xfb4 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: ca0
Stream name: #~ 4
DirectoryAddress: d0c Size: 10e0
Stream name: #Strings 12
DirectoryAddress: 1dec Size: 1384
Stream name: #US 4
DirectoryAddress: 3170 Size: 10
Stream name: #GUID 8
DirectoryAddress: 3180 Size: 2fc
Stream name: #Blob 8
[Strings]
nth paddr      vaddr      len  size section type    string
81  0x00001f7f 0x00403d7f 7    8    .text   ascii   dwXSize
82  0x00001f87 0x00403d87 7    8    .text   ascii   dwYSize
83  0x00001f8f 0x00403d8f 13   14   .text   ascii   dwXCountChars
84  0x00001f9d 0x00403d9d 13   14   .text   ascii   dwYCountChars
85  0x00001fab 0x00403dab 15   16   .text   ascii   dwFillAttribute
86  0x00001fbb 0x00403dbb 7    8    .text   ascii   dwFlags
87  0x00001fc3 0x00403dc3 11   12   .text   ascii   wShowWindow
88  0x00001fcf 0x00403dcf 11   12   .text   ascii   cbReserved2
89  0x00001fdb 0x00403ddb 11   12   .text   ascii   lpReserved2
90  0x00001fe7 0x00403de7 9    10   .text   ascii   hStdInput
91  0x00001ff1 0x00403df1 10   11   .text   ascii   hStdOutput
92  0x00001ffc 0x00403dfc 9    10   .text   ascii   hStdError
93  0x00002006 0x00403e06 7    8    .text   ascii   nLength
94  0x0000200e 0x00403e0e 19   20   .text   ascii   pSecurityDescriptor
95  0x00002022 0x00403e22 14   15   .text   ascii   bInheritHandle
96  0x00002031 0x00403e31 27   28   .text   ascii   Microsoft.Win32.SafeHandles
97  0x0000204d 0x00403e4d 14   15   .text   ascii   SafeWaitHandle
98  0x0000205c 0x00403e5c 27   28   .text   ascii   RpcBindingFromStringBinding
99  0x00002078 0x00403e78 17   18   .text   ascii   NdrClientCall2x86
100 0x0000208a 0x00403e8a 14   15   .text   ascii   RpcBindingFree
101 0x00002099 0x00403e99 23   24   .text   ascii   RpcStringBindingCompose
102 0x000020b1 0x00403eb1 19   20   .text   ascii   RpcBindingSetOption
103 0x000020c5 0x00403ec5 17   18   .text   ascii   NdrClientCall2x64
104 0x000020d7 0x00403ed7 24   25   .text   ascii   MIDL_ProcFormatStringx86
105 0x000020f0 0x00403ef0 24   25   .text   ascii   MIDL_ProcFormatStringx64
106 0x00002109 0x00403f09 24   25   .text   ascii   MIDL_TypeFormatStringx86
107 0x00002122 0x00403f22 24   25   .text   ascii   MIDL_TypeFormatStringx64
108 0x0000213b 0x00403f3b 4    5    .text   ascii   Guid
109 0x00002140 0x00403f40 11   12   .text   ascii   interfaceId
110 0x0000214c 0x00403f4c 8    9    .text   ascii   Finalize
111 0x00002155 0x00403f55 17   18   .text   ascii   EfsRpcOpenFileRaw
112 0x00002167 0x00403f67 21   22   .text   ascii   MIDL_ProcFormatString
113 0x0000217d 0x00403f7d 21   22   .text   ascii   MIDL_TypeFormatString
114 0x00002193 0x00403f93 30   31   .text   ascii   System.Runtime.InteropServices
115 0x000021b2 0x00403fb2 8    9    .text   ascii   GCHandle
116 0x000021bb 0x00403fbb 10   11   .text   ascii   procString
117 0x000021c6 0x00403fc6 12   13   .text   ascii   formatString
118 0x000021d3 0x00403fd3 4    5    .text   ascii   stub
119 0x000021d8 0x00403fd8 12   13   .text   ascii   faultoffsets
120 0x000021e5 0x00403fe5 15   16   .text   ascii   clientinterface
121 0x000021f5 0x00403ff5 8    9    .text   ascii   PipeName
122 0x000021fe 0x00403ffe 22   23   .text   ascii   AllocateMemoryDelegate
123 0x00002215 0x00404015 18   19   .text   ascii   FreeMemoryDelegate
124 0x00002228 0x00404028 10   11   .text   ascii   RPCTimeOut
125 0x00002233 0x00404033 14   15   .text   ascii   InitializeStub
126 0x00002242 0x00404042 8    9    .text   ascii   freeStub
127 0x0000224b 0x0040404b 14   15   .text   ascii   AllocateMemory
128 0x0000225a 0x0040405a 10   11   .text   ascii   FreeMemory
129 0x00002265 0x00404065 4    5    .text   ascii   Bind
130 0x0000226a 0x0040406a 19   20   .text   ascii   GetProcStringHandle
131 0x0000227e 0x0040407e 13   14   .text   ascii   GetStubHandle
132 0x0000228c 0x0040408c 21   22   .text   ascii   CallNdrClientCall2x86
133 0x000022a2 0x004040a2 6    7    .text   ascii   Invoke
134 0x000022a9 0x004040a9 12   13   .text   ascii   IAsyncResult
135 0x000022b6 0x004040b6 13   14   .text   ascii   AsyncCallback
136 0x000022c4 0x004040c4 11   12   .text   ascii   BeginInvoke
137 0x000022d0 0x004040d0 9    10   .text   ascii   EndInvoke
138 0x000022da 0x004040da 10   11   .text   ascii   CommOffset
139 0x000022e5 0x004040e5 11   12   .text   ascii   FaultOffset
140 0x000022f1 0x004040f1 12   13   .text   ascii   MajorVersion
141 0x000022fe 0x004040fe 12   13   .text   ascii   MinorVersion
142 0x0000230b 0x0040410b 10   11   .text   ascii   SyntaxGUID
143 0x00002316 0x00404116 13   14   .text   ascii   SyntaxVersion
144 0x00002324 0x00404124 6    7    .text   ascii   Length
145 0x0000232b 0x0040412b 11   12   .text   ascii   InterfaceId
146 0x00002337 0x00404137 14   15   .text   ascii   TransferSyntax
147 0x00002346 0x00404146 13   14   .text   ascii   DispatchTable
148 0x00002354 0x00404154 23   24   .text   ascii   RpcProtseqEndpointCount
149 0x0000236c 0x0040416c 18   19   .text   ascii   RpcProtseqEndpoint
150 0x0000237f 0x0040417f 8    9    .text   ascii   Reserved
151 0x00002388 0x00404188 15   16   .text   ascii   InterpreterInfo
152 0x00002398 0x00404198 5    6    .text   ascii   Flags
153 0x0000239e 0x0040419e 10   11   .text   ascii   IID_SYNTAX
154 0x000023a9 0x004041a9 23   24   .text   ascii   RpcInterfaceInformation
155 0x000023c1 0x004041c1 11   12   .text   ascii   pfnAllocate
156 0x000023cd 0x004041cd 7    8    .text   ascii   pfnFree
157 0x000023d5 0x004041d5 15   16   .text   ascii   pAutoBindHandle
158 0x000023e5 0x004041e5 22   23   .text   ascii   apfnNdrRundownRoutines
159 0x000023fc 0x004041fc 27   28   .text   ascii   aGenericBindingRoutinePairs
160 0x00002418 0x00404218 12   13   .text   ascii   apfnExprEval
161 0x00002425 0x00404225 14   15   .text   ascii   aXmitQuintuple
162 0x00002434 0x00404234 12   13   .text   ascii   pFormatTypes
163 0x00002441 0x00404241 12   13   .text   ascii   fCheckBounds
164 0x0000244e 0x0040424e 7    8    .text   ascii   Version
165 0x00002456 0x00404256 17   18   .text   ascii   pMallocFreeStruct
166 0x00002468 0x00404268 11   12   .text   ascii   MIDLVersion
167 0x00002474 0x00404274 16   17   .text   ascii   CommFaultOffsets
168 0x00002485 0x00404285 21   22   .text   ascii   aUserMarshalQuadruple
169 0x0000249b 0x0040429b 18   19   .text   ascii   NotifyRoutineTable
170 0x000024ae 0x004042ae 6    7    .text   ascii   mFlags
171 0x000024b5 0x004042b5 15   16   .text   ascii   CsRoutineTables
172 0x000024c5 0x004042c5 15   16   .text   ascii   ProxyServerInfo
173 0x000024d5 0x004042d5 9    10   .text   ascii   pExprInfo
174 0x000024df 0x004042df 4    5    .text   ascii   args
175 0x000024e6 0x004042e6 10   11   .text   ascii   lpFileName
176 0x000024f1 0x004042f1 6    7    .text   ascii   access
177 0x000024f8 0x004042f8 5    6    .text   ascii   share
178 0x00002504 0x00404304 4    5    .text   ascii   flag
179 0x00002509 0x00404309 4    5    .text   ascii   zero
