[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c8 0x000000c8 4   5            ascii   Rich
2    0x000001d0 0x000001d0 5   6            ascii   .text
3    0x000001f7 0x000001f7 7   8            ascii   `.rdata
4    0x0000021f 0x0000021f 6   7            ascii   @.data
5    0x00000248 0x00000248 5   6            ascii   .rsrc
6    0x0000026f 0x0000026f 7   8            ascii   @.reloc
7    0x00000423 0x00401023 7   8    .text   ascii   l$\fVWhp
8    0x00000547 0x00401147 7   8    .text   ascii   HI2H\n2H
9    0x000005a0 0x004011a0 7   8    .text   ascii   YI2Y\n2Y
10   0x000005f4 0x004011f4 7   8    .text   ascii   YI2Y\n2Y
11   0x00000648 0x00401248 7   8    .text   ascii   YI2Y\n2Y
12   0x0000069c 0x0040129c 7   8    .text   ascii   YI2Y\n2Y
13   0x00000aa9 0x004016a9 4   5    .text   ascii   _^][
14   0x00000ab9 0x004016b9 4   5    .text   ascii   A\rSU
15   0x00000af2 0x004016f2 4   7    .text   utf8    3芄*t blocks=Basic Latin,CJK Unified Ideographs
16   0x00000ba2 0x004017a2 4   6    .text   utf8    2وL$ blocks=Basic Latin,Arabic
17   0x00000bae 0x004017ae 6   7    .text   ascii   "Y7"D$
18   0x00000bd9 0x004017d9 7   8    .text   ascii   NI2N\n2N
19   0x00000cd5 0x004018d5 5   6    .text   ascii   _^][Y
20   0x00000ce8 0x004018e8 5   7    .text   utf8    3ĉD$p blocks=Basic Latin,Latin Extended-A
21   0x00000f17 0x00401b17 4   5    .text   ascii   D$\fd
22   0x0000115c 0x00401d5c 7   9    .text   utf8    L$t^3̣| blocks=Basic Latin,Combining Diacritical Marks
23   0x000013e7 0x00401fe7 4   5    .text   ascii   D4\fF
24   0x00001446 0x00402046 5   8    .text   utf8    \b|닌$L blocks=Basic Latin,Hangul Syllables
25   0x00001453 0x00402053 4   6    .text   utf8    2ӈT/ blocks=Basic Latin,Cyrillic
26   0x00001461 0x00402061 4   6    .text   utf8    |͋D$ blocks=Basic Latin,Combining Diacritical Marks
27   0x000014a0 0x004020a0 5   6    .text   ascii   Vh`+A
28   0x000014bb 0x004020bb 4   5    .text   ascii   hp+A
29   0x0000156d 0x0040216d 4   5    .text   ascii   h$,A
30   0x0000157a 0x0040217a 4   5    .text   ascii   h8,A
31   0x00001587 0x00402187 4   5    .text   ascii   hH,A
32   0x00001594 0x00402194 4   5    .text   ascii   h\,A
33   0x000015b0 0x004021b0 5   6    .text   ascii   Vhp,A
34   0x000016a5 0x004022a5 4   7    .text   utf8    \$ 胉 blocks=Basic Latin,CJK Unified Ideographs
35   0x000016cf 0x004022cf 4   5    .text   ascii   D$\fP
36   0x000016dc 0x004022dc 5   7    .text   utf8    ՍD$\bH blocks=Armenian,Basic Latin
37   0x000016fb 0x004022fb 4   5    .text   ascii   T$\fh
38   0x0000173d 0x0040233d 4   5    .text   ascii   \fSj\b
39   0x0000179e 0x0040239e 4   5    .text   ascii   \fSj&
40   0x000017f8 0x004023f8 4   5    .text   ascii   h\f-A
41   0x00001808 0x00402408 4   5    .text   ascii   h -A
42   0x00001814 0x00402414 8   9    .text   ascii   L$4Qh4-A
43   0x00001880 0x00402480 4   5    .text   ascii   Qj(P
44   0x0000188f 0x0040248f 8   9    .text   ascii   T$\bRh<-A
45   0x000018a8 0x004024a8 6   7    .text   ascii   L$\fVVj
46   0x0000191b 0x0040251b 4   5    .text   ascii   D$\tj
47   0x00001933 0x00402533 5   6    .text   ascii   L$\fQj
48   0x0000193f 0x0040253f 4   5    .text   ascii   hP-A
49   0x00001945 0x00402545 4   5    .text   ascii   T$\bR
50   0x00001952 0x00402552 4   5    .text   ascii   D$\bP
51   0x00001962 0x00402562 4   5    .text   ascii   L$\bQ
52   0x0000197b 0x0040257b 5   6    .text   ascii   D$\bPh
53   0x000019c5 0x004025c5 4   5    .text   ascii   h@w\e
54   0x000019f5 0x004025f5 4   9    .text   utf16le jjjh
55   0x00001a34 0x00402634 6   7    .text   ascii   SUVWh\a
56   0x00001a40 0x00402640 5   6    .text   ascii   D$EVP
57   0x00001a4f 0x0040264f 4   5    .text   ascii   hp.A
58   0x00001a54 0x00402654 4   5    .text   ascii   h<.A
59   0x00001a5a 0x0040265a 4   5    .text   ascii   L$Th
60   0x00001a6c 0x0040266c 5   6    .text   ascii   VVVVh
61   0x00001a9a 0x0040269a 4   5    .text   ascii   l$ ;
62   0x00001aa9 0x004026a9 4   5    .text   ascii   VVVh
63   0x00001abb 0x004026bb 4   5    .text   ascii   |$$;
64   0x00001acd 0x004026cd 6   7    .text   ascii   T$4RVh
65   0x00001ad8 0x004026d8 5   6    .text   ascii   D$TPh
66   0x00001ae9 0x004026e9 5   7    .text   utf8    ؉\$(; blocks=Arabic,Basic Latin
67   0x00001b27 0x00402727 5   6    .text   ascii   T$<Rj
68   0x00001b2f 0x0040272f 4   5    .text   ascii   D$(\n
69   0x00001b45 0x00402745 4   5    .text   ascii   D$4P
70   0x00001bdc 0x004027dc 5   7    .text   utf8    Q+ЉD$ blocks=Basic Latin,Cyrillic
71   0x00001bf0 0x004027f0 4   6    .text   utf8    uԋL$ blocks=Basic Latin,Cyrillic Supplement
72   0x00001c19 0x00402819 4   6    .text   utf8    @hؔA blocks=Basic Latin,Arabic
73   0x00001c57 0x00402857 4   5    .text   ascii   PQVW
74   0x00001cb7 0x004028b7 4   5    .text   ascii   l$ V
75   0x00001ce3 0x004028e3 5   6    .text   ascii   _^][3
76   0x00001d32 0x00402932 4   5    .text   ascii   D$\bP
77   0x00001d72 0x00402972 5   7    .text   utf8    u%hГA blocks=Basic Latin,Cyrillic
78   0x00001e03 0x00402a03 4   5    .text   ascii   D$Af
79   0x00001e10 0x00402a10 7   8    .text   ascii   D$(0123
80   0x00001e18 0x00402a18 7   8    .text   ascii   D$,4567
81   0x00001e20 0x00402a20 7   8    .text   ascii   D$0abcd
82   0x00001e28 0x00402a28 7   8    .text   ascii   D$4efgh
83   0x00001e34 0x00402a34 7   8    .text   ascii   L$(QRWV
84   0x00001f71 0x00402b71 4   5    .text   ascii   \rX/A
85   0x00001f83 0x00402b83 4   5    .text   ascii   \r`/A
86   0x00001fe1 0x00402be1 4   5    .text   ascii   \rt.A
87   0x0000203b 0x00402c3b 4   6    .text   utf8    +KL$
88   0x000020c0 0x00402cc0 6   7    .text   ascii   D$ 9D$
89   0x000020d9 0x00402cd9 4   5    .text   ascii   L$$Q
90   0x000020e9 0x00402ce9 4   5    .text   ascii   T$ R
91   0x000020f3 0x00402cf3 4   5    .text   ascii   D$ P
92   0x00002106 0x00402d06 5   6    .text   ascii   ^[_]3
