[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0     0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1     0x00000188 0x00000188 5   6            ascii   .text
2     0x000001ae 0x000001ae 7   8            ascii   P`.data
3     0x000001d8 0x000001d8 6   7            ascii   .rdata
4     0x000001fe 0x000001fe 8   9            ascii   `@.pdata
5     0x00000226 0x00000226 8   9            ascii   0@.xdata
6     0x0000024e 0x0000024e 6   7            ascii   0@.bss
7     0x00000278 0x00000278 6   7            ascii   .edata
8     0x0000029e 0x0000029e 8   9            ascii   0@.idata
9     0x000002c8 0x000002c8 5   6            ascii   .rsrc
10    0x000002f0 0x000002f0 6   7            ascii   .reloc
11    0x0000040c 0x0040100c 4   5    .text   ascii   T$ H
12    0x00000411 0x00401011 4   5    .text   ascii   D$<H
13    0x0000045e 0x0040105e 4   6    .text   utf8    E1:2
14    0x000004c8 0x004010c8 7   8    .text   ascii   ATUWVSH
15    0x00000541 0x00401141 4   5    .text   ascii   D$lA
16    0x00000551 0x00401151 4   5    .text   ascii   L$xH
17    0x00000556 0x00401156 4   5    .text   ascii   D$ L
18    0x00000571 0x00401171 5   6    .text   ascii   |$PE1
19    0x0000057e 0x0040117e 4   5    .text   ascii   t$HH
20    0x00000583 0x00401183 4   5    .text   ascii   L$xH
21    0x000005bf 0x004011bf 4   5    .text   ascii   |$PI
22    0x000005c7 0x004011c7 4   5    .text   ascii   t$HH
23    0x000005cc 0x004011cc 4   5    .text   ascii   L$pH
24    0x00000609 0x00401209 4   5    .text   ascii   L$xH
25    0x0000063d 0x0040123d 4   5    .text   ascii   |$HH
26    0x00000642 0x00401242 4   5    .text   ascii   t$@H
27    0x0000069c 0x0040129c 6   7    .text   ascii   [^_]A\
28    0x000006a3 0x004012a3 7   8    .text   ascii   ATUWVSH
29    0x00000701 0x00401301 7   8    .text   ascii    [^_]A\
30    0x00000787 0x00401387 4   5    .text   ascii   T$ H
31    0x000007a8 0x004013a8 13  14   .text   ascii   AWAVAUATUWVSH
32    0x00000806 0x00401406 5   6    .text   ascii   D$0E1
33    0x00000815 0x00401415 4   5    .text   ascii   D$(H
34    0x00000823 0x00401423 4   5    .text   ascii   D$0X
35    0x0000082c 0x0040142c 4   5    .text   ascii   d$ A
36    0x00000833 0x00401433 5   6    .text   ascii   D$0E1
37    0x0000083b 0x0040143b 4   5    .text   ascii   d$ D
38    0x00000840 0x00401440 4   5    .text   ascii   L$4H
39    0x0000084e 0x0040144e 4   5    .text   ascii   D$(A
40    0x0000085f 0x0040145f 12  13   .text   ascii   [^_]A\A]A^A_
41    0x000008b6 0x004014b6 5   6    .text   ascii   D$8E1
42    0x000008c4 0x004014c4 4   5    .text   ascii   D$ H
43    0x000008e1 0x004014e1 5   6    .text   ascii   D$4E1
44    0x000008ec 0x004014ec 4   5    .text   ascii   L$8H
45    0x00000900 0x00401500 4   5    .text   ascii   D$(H
46    0x00000978 0x00401578 5   6    .text   ascii   D$4E1
47    0x00000983 0x00401583 4   5    .text   ascii   L$8H
48    0x00000988 0x00401588 4   5    .text   ascii   D$(H
49    0x0000098d 0x0040158d 4   5    .text   ascii   D$0H
50    0x000009ad 0x004015ad 5   7    .text   utf8    1҃|$0 blocks=Basic Latin,Cyrillic
51    0x000009be 0x004015be 5   6    .text   ascii   UWVSH
52    0x000009cb 0x004015cb 4   5    .text   ascii   t$8H
53    0x00000a3c 0x0040163c 4   5    .text   ascii   [^_]
54    0x00000a41 0x00401641 7   8    .text   ascii   ATUWVSH
55    0x00000a5d 0x0040165d 4   5    .text   ascii   L$ f
56    0x00000a62 0x00401662 4   5    .text   ascii   D$"_
57    0x00000a6d 0x0040166d 4   5    .text   ascii   |$ H
58    0x00000abe 0x004016be 7   8    .text   ascii   @[^_]A\
59    0x00000ac6 0x004016c6 5   6    .text   ascii   UWVSH
60    0x00000aed 0x004016ed 4   5    .text   ascii   \$`H
61    0x00000af2 0x004016f2 4   5    .text   ascii   t$@H
62    0x00000b11 0x00401711 4   5    .text   ascii   D$B_
63    0x00000b24 0x00401724 4   5    .text   ascii   |$<f
64    0x00000b29 0x00401729 4   5    .text   ascii   D$@0
65    0x00000b30 0x00401730 8   9    .text   ascii   |$@9wLE1
66    0x00000b3e 0x0040173e 4   5    .text   ascii   |$(H
67    0x00000b45 0x00401745 4   5    .text   ascii   D$<0
68    0x00000b89 0x00401789 4   5    .text   ascii   [^_]
69    0x00000c5e 0x0040185e 5   6    .text   ascii   UWVSH
70    0x00000c9b 0x0040189b 4   5    .text   ascii   D$:_
71    0x00000cae 0x004018ae 4   5    .text   ascii   l$4f
72    0x00000cb3 0x004018b3 4   5    .text   ascii   D$80
73    0x00000cba 0x004018ba 4   5    .text   ascii   |$Xf
74    0x00000cbf 0x004018bf 8   9    .text   ascii   |$89wOE1
75    0x00000ccd 0x004018cd 4   5    .text   ascii   l$(H
76    0x00000cd4 0x004018d4 4   5    .text   ascii   D$4\b
77    0x00000cf3 0x004018f3 5   6    .text   ascii   |$ E1
78    0x00000d49 0x00401949 4   5    .text   ascii   [^_]
79    0x00000da0 0x004019a0 5   6    .text   ascii   UWVSH
80    0x00000dbf 0x004019bf 4   5    .text   ascii   D$8H
81    0x00000dcb 0x004019cb 4   6    .text   utf8    D$@1
82    0x00000ddd 0x004019dd 4   5    .text   ascii   D$4D
83    0x00000ded 0x004019ed 4   5    .text   ascii   D$H*
84    0x00000df8 0x004019f8 4   5    .text   ascii   l$lH
85    0x00000e49 0x00401a49 4   5    .text   ascii   D$`1
86    0x00000e5e 0x00401a5e 4   5    .text   ascii   t?E1
87    0x00000e6a 0x00401a6a 4   5    .text   ascii   L$8H
88    0x00000ee8 0x00401ae8 4   5    .text   ascii   L$4I
89    0x00000efa 0x00401afa 4   5    .text   ascii   L$@1
90    0x00000f18 0x00401b18 4   5    .text   ascii   L$@A
91    0x00000fa9 0x00401ba9 4   5    .text   ascii   [^_]
92    0x00000fc8 0x00401bc8 4   5    .text   ascii   \$PH
93    0x00001019 0x00401c19 4   5    .text   ascii   D$LH
94    0x0000102a 0x00401c2a 4   5    .text   ascii   D$0H
95    0x0000102f 0x00401c2f 4   5    .text   ascii   D$HH
96    0x0000105c 0x00401c5c 9   10   .text   ascii   AUATUWVSH
97    0x00001178 0x00401d78 4   6    .text   utf8    IT$ 
98    0x000012e1 0x00401ee1 4   5    .text   ascii   D$@H
99    0x000012f2 0x00401ef2 4   5    .text   ascii   D$0H
100   0x000012f7 0x00401ef7 4   5    .text   ascii   D$DH
101   0x000014d7 0x004020d7 4   5    .text   ascii   d$(D
102   0x0000150d 0x0040210d 4   5    .text   ascii   l$HH
103   0x0000159a 0x0040219a 4   5    .text   ascii   d$(H
104   0x000015b7 0x004021b7 4   5    .text   ascii   D$0L
105   0x000015d4 0x004021d4 4   5    .text   ascii   d$(I
106   0x000015e7 0x004021e7 4   6    .text   utf8    ىT$8 blocks=Arabic,Basic Latin
107   0x000015f3 0x004021f3 4   5    .text   ascii   T$0H
108   0x0000165b 0x0040225b 4   6    .text   utf8    fǄ$P blocks=Basic Latin,Latin Extended-B
109   0x0000169a 0x0040229a 5   6    .text   ascii   D$(0\a
110   0x000016a3 0x004022a3 4   5    .text   ascii   D$@L
111   0x000016ab 0x004022ab 4   5    .text   ascii   \$ H
112   0x0000179d 0x0040239d 4   5    .text   ascii   l$|H
113   0x000017c0 0x004023c0 4   6    .text   utf8    1ҁ=X blocks=Basic Latin,Cyrillic
114   0x000017ce 0x004023ce 4   5    .text   ascii   D$0H
115   0x000017e8 0x004023e8 4   5    .text   ascii   D$(H
116   0x00001825 0x00402425 5   7    .text   utf8    t\nfǄ$ blocks=Basic Latin,Latin Extended-B
117   0x00001848 0x00402448 4   6    .text   utf8    fǄ$: blocks=Basic Latin,Latin Extended-B
118   0x00001acc 0x004026cc 4   5    .text   ascii   D$^_
119   0x00001ada 0x004026da 6   7    .text   ascii   D$\t\fH
120   0x00001ae1 0x004026e1 4   5    .text   ascii   L$\1
121   0x00001c3b 0x0040283b 4   5    .text   ascii   D$(H
122   0x00001d0c 0x0040290c 4   5    .text   ascii   D$(H
123   0x00001d42 0x00402942 4   5    .text   ascii   t$ H
124   0x00001d74 0x00402974 4   5    .text   ascii   d$ H
125   0x00001db8 0x004029b8 4   5    .text   ascii   D$(H
126   0x00001e12 0x00402a12 4   5    .text   ascii   \$\f
127   0x00001e17 0x00402a17 4   5    .text   ascii   D$^_
128   0x00001e2e 0x00402a2e 4   5    .text   ascii   t$@f
129   0x00001e33 0x00402a33 4   5    .text   ascii   D$\0
130   0x00001e3a 0x00402a3a 5   6    .text   ascii   |$\9w
131   0x00001e52 0x00402a52 4   5    .text   ascii   |$\9
132   0x00001ef5 0x00402af5 8   9    .text   ascii   [^_]A\A]
133   0x00001efe 0x00402afe 13  14   .text   ascii   AWAVAUATUWVSH
134   0x00001f8a 0x00402b8a 4   5    .text   ascii   D$ L
135   0x00001fb6 0x00402bb6 4   5    .text   ascii   D$HH
136   0x00001fc3 0x00402bc3 4   5    .text   ascii   D$@H
137   0x00002197 0x00402d97 4   5    .text   ascii   D$pH
138   0x000021a0 0x00402da0 4   5    .text   ascii   D$Xf
139   0x0000225e 0x00402e5e 4   5    .text   ascii   l$(H
140   0x0000226a 0x00402e6a 5   7    .text   utf8    d$ Ǆ$ blocks=Basic Latin,Latin Extended-B
141   0x00002332 0x00402f32 5   7    .text   utf8    l$(Ǆ$ blocks=Basic Latin,Latin Extended-B
142   0x00002374 0x00402f74 5   7    .text   utf8    l$(Ǆ$ blocks=Basic Latin,Latin Extended-B
