[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
805  0x00014ff8 0x00415bf8 5   12   .rdata  utf16le ta-IN
806  0x00015004 0x00415c04 5   12   .rdata  utf16le te-IN
807  0x00015010 0x00415c10 5   12   .rdata  utf16le kn-IN
808  0x0001501c 0x00415c1c 5   12   .rdata  utf16le ml-IN
809  0x00015028 0x00415c28 5   12   .rdata  utf16le mr-IN
810  0x00015034 0x00415c34 5   12   .rdata  utf16le sa-IN
811  0x00015040 0x00415c40 5   12   .rdata  utf16le mn-MN
812  0x0001504c 0x00415c4c 5   12   .rdata  utf16le cy-GB
813  0x00015058 0x00415c58 5   12   .rdata  utf16le gl-ES
814  0x00015064 0x00415c64 6   14   .rdata  utf16le kok-IN
815  0x00015074 0x00415c74 6   14   .rdata  utf16le syr-SY
816  0x00015084 0x00415c84 6   14   .rdata  utf16le div-MV
817  0x00015094 0x00415c94 6   14   .rdata  utf16le quz-BO
818  0x000150a4 0x00415ca4 5   12   .rdata  utf16le ns-ZA
819  0x000150b0 0x00415cb0 5   12   .rdata  utf16le mi-NZ
820  0x000150bc 0x00415cbc 5   12   .rdata  utf16le ar-IQ
821  0x000150c8 0x00415cc8 5   12   .rdata  utf16le de-CH
822  0x000150d4 0x00415cd4 5   12   .rdata  utf16le en-GB
823  0x000150e0 0x00415ce0 5   12   .rdata  utf16le es-MX
824  0x000150ec 0x00415cec 5   12   .rdata  utf16le fr-BE
825  0x000150f8 0x00415cf8 5   12   .rdata  utf16le it-CH
826  0x00015104 0x00415d04 5   12   .rdata  utf16le nl-BE
827  0x00015110 0x00415d10 5   12   .rdata  utf16le nn-NO
828  0x0001511c 0x00415d1c 5   12   .rdata  utf16le pt-PT
829  0x00015128 0x00415d28 10  22   .rdata  utf16le sr-SP-Latn
830  0x00015140 0x00415d40 5   12   .rdata  utf16le sv-FI
831  0x0001514c 0x00415d4c 10  22   .rdata  utf16le az-AZ-Cyrl
832  0x00015164 0x00415d64 5   12   .rdata  utf16le se-SE
833  0x00015170 0x00415d70 5   12   .rdata  utf16le ms-BN
834  0x0001517c 0x00415d7c 10  22   .rdata  utf16le uz-UZ-Cyrl
835  0x00015194 0x00415d94 6   14   .rdata  utf16le quz-EC
836  0x000151a4 0x00415da4 5   12   .rdata  utf16le ar-EG
837  0x000151b0 0x00415db0 5   12   .rdata  utf16le zh-HK
838  0x000151bc 0x00415dbc 5   12   .rdata  utf16le de-AT
839  0x000151c8 0x00415dc8 5   12   .rdata  utf16le en-AU
840  0x000151d4 0x00415dd4 5   12   .rdata  utf16le es-ES
841  0x000151e0 0x00415de0 5   12   .rdata  utf16le fr-CA
842  0x000151ec 0x00415dec 10  22   .rdata  utf16le sr-SP-Cyrl
843  0x00015204 0x00415e04 5   12   .rdata  utf16le se-FI
844  0x00015210 0x00415e10 6   14   .rdata  utf16le quz-PE
845  0x00015220 0x00415e20 5   12   .rdata  utf16le ar-LY
846  0x0001522c 0x00415e2c 5   12   .rdata  utf16le zh-SG
847  0x00015238 0x00415e38 5   12   .rdata  utf16le de-LU
848  0x00015244 0x00415e44 5   12   .rdata  utf16le en-CA
849  0x00015250 0x00415e50 5   12   .rdata  utf16le es-GT
850  0x0001525c 0x00415e5c 5   12   .rdata  utf16le fr-CH
851  0x00015268 0x00415e68 5   12   .rdata  utf16le hr-BA
852  0x00015274 0x00415e74 6   14   .rdata  utf16le smj-NO
853  0x00015284 0x00415e84 5   12   .rdata  utf16le ar-DZ
854  0x00015290 0x00415e90 5   12   .rdata  utf16le zh-MO
855  0x0001529c 0x00415e9c 5   12   .rdata  utf16le de-LI
856  0x000152a8 0x00415ea8 5   12   .rdata  utf16le en-NZ
857  0x000152b4 0x00415eb4 5   12   .rdata  utf16le es-CR
858  0x000152c0 0x00415ec0 5   12   .rdata  utf16le fr-LU
859  0x000152cc 0x00415ecc 10  22   .rdata  utf16le bs-BA-Latn
860  0x000152e4 0x00415ee4 6   14   .rdata  utf16le smj-SE
861  0x000152f4 0x00415ef4 5   12   .rdata  utf16le ar-MA
862  0x00015300 0x00415f00 5   12   .rdata  utf16le en-IE
863  0x0001530c 0x00415f0c 5   12   .rdata  utf16le es-PA
864  0x00015318 0x00415f18 5   12   .rdata  utf16le fr-MC
865  0x00015324 0x00415f24 10  22   .rdata  utf16le sr-BA-Latn
866  0x0001533c 0x00415f3c 6   14   .rdata  utf16le sma-NO
867  0x0001534c 0x00415f4c 5   12   .rdata  utf16le ar-TN
868  0x00015358 0x00415f58 5   12   .rdata  utf16le en-ZA
869  0x00015364 0x00415f64 5   12   .rdata  utf16le es-DO
870  0x00015370 0x00415f70 10  22   .rdata  utf16le sr-BA-Cyrl
871  0x00015388 0x00415f88 6   14   .rdata  utf16le sma-SE
872  0x00015398 0x00415f98 5   12   .rdata  utf16le ar-OM
873  0x000153a4 0x00415fa4 5   12   .rdata  utf16le en-JM
874  0x000153b0 0x00415fb0 5   12   .rdata  utf16le es-VE
875  0x000153bc 0x00415fbc 6   14   .rdata  utf16le sms-FI
876  0x000153cc 0x00415fcc 5   12   .rdata  utf16le ar-YE
877  0x000153d8 0x00415fd8 5   12   .rdata  utf16le en-CB
878  0x000153e4 0x00415fe4 5   12   .rdata  utf16le es-CO
879  0x000153f0 0x00415ff0 6   14   .rdata  utf16le smn-FI
880  0x00015400 0x00416000 5   12   .rdata  utf16le ar-SY
881  0x0001540c 0x0041600c 5   12   .rdata  utf16le en-BZ
882  0x00015418 0x00416018 5   12   .rdata  utf16le es-PE
883  0x00015424 0x00416024 5   12   .rdata  utf16le ar-JO
884  0x00015430 0x00416030 5   12   .rdata  utf16le en-TT
885  0x0001543c 0x0041603c 5   12   .rdata  utf16le es-AR
886  0x00015448 0x00416048 5   12   .rdata  utf16le ar-LB
887  0x00015454 0x00416054 5   12   .rdata  utf16le en-ZW
888  0x00015460 0x00416060 5   12   .rdata  utf16le es-EC
889  0x0001546c 0x0041606c 5   12   .rdata  utf16le ar-KW
890  0x00015478 0x00416078 5   12   .rdata  utf16le en-PH
891  0x00015484 0x00416084 5   12   .rdata  utf16le es-CL
892  0x00015490 0x00416090 5   12   .rdata  utf16le ar-AE
893  0x0001549c 0x0041609c 5   12   .rdata  utf16le es-UY
894  0x000154a8 0x004160a8 5   12   .rdata  utf16le ar-BH
895  0x000154b4 0x004160b4 5   12   .rdata  utf16le es-PY
896  0x000154c0 0x004160c0 5   12   .rdata  utf16le ar-QA
897  0x000154cc 0x004160cc 5   12   .rdata  utf16le es-BO
898  0x000154d8 0x004160d8 5   12   .rdata  utf16le es-SV
899  0x000154e4 0x004160e4 5   12   .rdata  utf16le es-HN
900  0x000154f0 0x004160f0 5   12   .rdata  utf16le es-NI
901  0x000154fc 0x004160fc 5   12   .rdata  utf16le es-PR
902  0x00015508 0x00416108 6   14   .rdata  utf16le zh-CHT
903  0x00015c4c 0x0041684c 5   12   .rdata  utf16le ar-ae
904  0x00015c58 0x00416858 5   12   .rdata  utf16le ar-bh
905  0x00015c64 0x00416864 5   12   .rdata  utf16le ar-dz
906  0x00015c70 0x00416870 5   12   .rdata  utf16le ar-eg
907  0x00015c7c 0x0041687c 5   12   .rdata  utf16le ar-iq
908  0x00015c88 0x00416888 5   12   .rdata  utf16le ar-jo
909  0x00015c94 0x00416894 5   12   .rdata  utf16le ar-kw
910  0x00015ca0 0x004168a0 5   12   .rdata  utf16le ar-lb
911  0x00015cac 0x004168ac 5   12   .rdata  utf16le ar-ly
912  0x00015cb8 0x004168b8 5   12   .rdata  utf16le ar-ma
913  0x00015cc4 0x004168c4 5   12   .rdata  utf16le ar-om
914  0x00015cd0 0x004168d0 5   12   .rdata  utf16le ar-qa
915  0x00015cdc 0x004168dc 5   12   .rdata  utf16le ar-sa
916  0x00015ce8 0x004168e8 5   12   .rdata  utf16le ar-sy
917  0x00015cf4 0x004168f4 5   12   .rdata  utf16le ar-tn
918  0x00015d00 0x00416900 5   12   .rdata  utf16le ar-ye
919  0x00015d0c 0x0041690c 10  22   .rdata  utf16le az-az-cyrl
920  0x00015d24 0x00416924 10  22   .rdata  utf16le az-az-latn
921  0x00015d3c 0x0041693c 5   12   .rdata  utf16le be-by
922  0x00015d48 0x00416948 5   12   .rdata  utf16le bg-bg
923  0x00015d54 0x00416954 5   12   .rdata  utf16le bn-in
924  0x00015d60 0x00416960 10  22   .rdata  utf16le bs-ba-latn
925  0x00015d78 0x00416978 5   12   .rdata  utf16le ca-es
926  0x00015d84 0x00416984 5   12   .rdata  utf16le cs-cz
927  0x00015d90 0x00416990 5   12   .rdata  utf16le cy-gb
928  0x00015d9c 0x0041699c 5   12   .rdata  utf16le da-dk
929  0x00015da8 0x004169a8 5   12   .rdata  utf16le de-at
930  0x00015db4 0x004169b4 5   12   .rdata  utf16le de-ch
931  0x00015dc0 0x004169c0 5   12   .rdata  utf16le de-de
932  0x00015dcc 0x004169cc 5   12   .rdata  utf16le de-li
933  0x00015dd8 0x004169d8 5   12   .rdata  utf16le de-lu
934  0x00015de4 0x004169e4 6   14   .rdata  utf16le div-mv
935  0x00015df4 0x004169f4 5   12   .rdata  utf16le el-gr
936  0x00015e00 0x00416a00 5   12   .rdata  utf16le en-au
937  0x00015e0c 0x00416a0c 5   12   .rdata  utf16le en-bz
938  0x00015e18 0x00416a18 5   12   .rdata  utf16le en-ca
939  0x00015e24 0x00416a24 5   12   .rdata  utf16le en-cb
940  0x00015e30 0x00416a30 5   12   .rdata  utf16le en-gb
941  0x00015e3c 0x00416a3c 5   12   .rdata  utf16le en-ie
942  0x00015e48 0x00416a48 5   12   .rdata  utf16le en-jm
943  0x00015e54 0x00416a54 5   12   .rdata  utf16le en-nz
944  0x00015e60 0x00416a60 5   12   .rdata  utf16le en-ph
945  0x00015e6c 0x00416a6c 5   12   .rdata  utf16le en-tt
946  0x00015e78 0x00416a78 5   12   .rdata  utf16le en-us
947  0x00015e84 0x00416a84 5   12   .rdata  utf16le en-za
948  0x00015e90 0x00416a90 5   12   .rdata  utf16le en-zw
949  0x00015e9c 0x00416a9c 5   12   .rdata  utf16le es-ar
950  0x00015ea8 0x00416aa8 5   12   .rdata  utf16le es-bo
951  0x00015eb4 0x00416ab4 5   12   .rdata  utf16le es-cl
952  0x00015ec0 0x00416ac0 5   12   .rdata  utf16le es-co
953  0x00015ecc 0x00416acc 5   12   .rdata  utf16le es-cr
954  0x00015ed8 0x00416ad8 5   12   .rdata  utf16le es-do
955  0x00015ee4 0x00416ae4 5   12   .rdata  utf16le es-ec
956  0x00015ef0 0x00416af0 5   12   .rdata  utf16le es-es
957  0x00015efc 0x00416afc 5   12   .rdata  utf16le es-gt
958  0x00015f08 0x00416b08 5   12   .rdata  utf16le es-hn
959  0x00015f14 0x00416b14 5   12   .rdata  utf16le es-mx
960  0x00015f20 0x00416b20 5   12   .rdata  utf16le es-ni
961  0x00015f2c 0x00416b2c 5   12   .rdata  utf16le es-pa
962  0x00015f38 0x00416b38 5   12   .rdata  utf16le es-pe
963  0x00015f44 0x00416b44 5   12   .rdata  utf16le es-pr
964  0x00015f50 0x00416b50 5   12   .rdata  utf16le es-py
965  0x00015f5c 0x00416b5c 5   12   .rdata  utf16le es-sv
966  0x00015f68 0x00416b68 5   12   .rdata  utf16le es-uy
967  0x00015f74 0x00416b74 5   12   .rdata  utf16le es-ve
968  0x00015f80 0x00416b80 5   12   .rdata  utf16le et-ee
969  0x00015f8c 0x00416b8c 5   12   .rdata  utf16le eu-es
970  0x00015f98 0x00416b98 5   12   .rdata  utf16le fa-ir
971  0x00015fa4 0x00416ba4 5   12   .rdata  utf16le fi-fi
972  0x00015fb0 0x00416bb0 5   12   .rdata  utf16le fo-fo
973  0x00015fbc 0x00416bbc 5   12   .rdata  utf16le fr-be
974  0x00015fc8 0x00416bc8 5   12   .rdata  utf16le fr-ca
975  0x00015fd4 0x00416bd4 5   12   .rdata  utf16le fr-ch
976  0x00015fe0 0x00416be0 5   12   .rdata  utf16le fr-fr
977  0x00015fec 0x00416bec 5   12   .rdata  utf16le fr-lu
978  0x00015ff8 0x00416bf8 5   12   .rdata  utf16le fr-mc
979  0x00016004 0x00416c04 5   12   .rdata  utf16le gl-es
980  0x00016010 0x00416c10 5   12   .rdata  utf16le gu-in
981  0x0001601c 0x00416c1c 5   12   .rdata  utf16le he-il
982  0x00016028 0x00416c28 5   12   .rdata  utf16le hi-in
983  0x00016034 0x00416c34 5   12   .rdata  utf16le hr-ba
984  0x00016040 0x00416c40 5   12   .rdata  utf16le hr-hr
985  0x0001604c 0x00416c4c 5   12   .rdata  utf16le hu-hu
986  0x00016058 0x00416c58 5   12   .rdata  utf16le hy-am
987  0x00016064 0x00416c64 5   12   .rdata  utf16le id-id
988  0x00016070 0x00416c70 5   12   .rdata  utf16le is-is
989  0x0001607c 0x00416c7c 5   12   .rdata  utf16le it-ch
990  0x00016088 0x00416c88 5   12   .rdata  utf16le it-it
991  0x00016094 0x00416c94 5   12   .rdata  utf16le ja-jp
992  0x000160a0 0x00416ca0 5   12   .rdata  utf16le ka-ge
993  0x000160ac 0x00416cac 5   12   .rdata  utf16le kk-kz
994  0x000160b8 0x00416cb8 5   12   .rdata  utf16le kn-in
995  0x000160c4 0x00416cc4 6   14   .rdata  utf16le kok-in
996  0x000160d4 0x00416cd4 5   12   .rdata  utf16le ko-kr
997  0x000160e0 0x00416ce0 5   12   .rdata  utf16le ky-kg
998  0x000160ec 0x00416cec 5   12   .rdata  utf16le lt-lt
999  0x000160f8 0x00416cf8 5   12   .rdata  utf16le lv-lv
1000 0x00016104 0x00416d04 5   12   .rdata  utf16le mi-nz
1001 0x00016110 0x00416d10 5   12   .rdata  utf16le mk-mk
1002 0x0001611c 0x00416d1c 5   12   .rdata  utf16le ml-in
1003 0x00016128 0x00416d28 5   12   .rdata  utf16le mn-mn
1004 0x00016134 0x00416d34 5   12   .rdata  utf16le mr-in
1005 0x00016140 0x00416d40 5   12   .rdata  utf16le ms-bn
1006 0x0001614c 0x00416d4c 5   12   .rdata  utf16le ms-my
1007 0x00016158 0x00416d58 5   12   .rdata  utf16le mt-mt
1008 0x00016164 0x00416d64 5   12   .rdata  utf16le nb-no
1009 0x00016170 0x00416d70 5   12   .rdata  utf16le nl-be
1010 0x0001617c 0x00416d7c 5   12   .rdata  utf16le nl-nl
1011 0x00016188 0x00416d88 5   12   .rdata  utf16le nn-no
1012 0x00016194 0x00416d94 5   12   .rdata  utf16le ns-za
1013 0x000161a0 0x00416da0 5   12   .rdata  utf16le pa-in
1014 0x000161ac 0x00416dac 5   12   .rdata  utf16le pl-pl
1015 0x000161b8 0x00416db8 5   12   .rdata  utf16le pt-br
1016 0x000161c4 0x00416dc4 5   12   .rdata  utf16le pt-pt
1017 0x000161d0 0x00416dd0 6   14   .rdata  utf16le quz-bo
1018 0x000161e0 0x00416de0 6   14   .rdata  utf16le quz-ec
1019 0x000161f0 0x00416df0 6   14   .rdata  utf16le quz-pe
1020 0x00016200 0x00416e00 5   12   .rdata  utf16le ro-ro
1021 0x0001620c 0x00416e0c 5   12   .rdata  utf16le ru-ru
1022 0x00016218 0x00416e18 5   12   .rdata  utf16le sa-in
1023 0x00016224 0x00416e24 5   12   .rdata  utf16le se-fi
1024 0x00016230 0x00416e30 5   12   .rdata  utf16le se-no
1025 0x0001623c 0x00416e3c 5   12   .rdata  utf16le se-se
1026 0x00016248 0x00416e48 5   12   .rdata  utf16le sk-sk
1027 0x00016254 0x00416e54 5   12   .rdata  utf16le sl-si
1028 0x00016260 0x00416e60 6   14   .rdata  utf16le sma-no
1029 0x00016270 0x00416e70 6   14   .rdata  utf16le sma-se
1030 0x00016280 0x00416e80 6   14   .rdata  utf16le smj-no
1031 0x00016290 0x00416e90 6   14   .rdata  utf16le smj-se
1032 0x000162a0 0x00416ea0 6   14   .rdata  utf16le smn-fi
1033 0x000162b0 0x00416eb0 6   14   .rdata  utf16le sms-fi
1034 0x000162c0 0x00416ec0 5   12   .rdata  utf16le sq-al
1035 0x000162cc 0x00416ecc 10  22   .rdata  utf16le sr-ba-cyrl
1036 0x000162e4 0x00416ee4 10  22   .rdata  utf16le sr-ba-latn
1037 0x000162fc 0x00416efc 10  22   .rdata  utf16le sr-sp-cyrl
1038 0x00016314 0x00416f14 10  22   .rdata  utf16le sr-sp-latn
1039 0x0001632c 0x00416f2c 5   12   .rdata  utf16le sv-fi
1040 0x00016338 0x00416f38 5   12   .rdata  utf16le sv-se
1041 0x00016344 0x00416f44 5   12   .rdata  utf16le sw-ke
1042 0x00016350 0x00416f50 6   14   .rdata  utf16le syr-sy
1043 0x00016360 0x00416f60 5   12   .rdata  utf16le ta-in
1044 0x0001636c 0x00416f6c 5   12   .rdata  utf16le te-in
1045 0x00016378 0x00416f78 5   12   .rdata  utf16le th-th
1046 0x00016384 0x00416f84 5   12   .rdata  utf16le tn-za
1047 0x00016390 0x00416f90 5   12   .rdata  utf16le tr-tr
1048 0x0001639c 0x00416f9c 5   12   .rdata  utf16le tt-ru
1049 0x000163a8 0x00416fa8 5   12   .rdata  utf16le uk-ua
1050 0x000163b4 0x00416fb4 5   12   .rdata  utf16le ur-pk
1051 0x000163c0 0x00416fc0 10  22   .rdata  utf16le uz-uz-cyrl
1052 0x000163d8 0x00416fd8 10  22   .rdata  utf16le uz-uz-latn
1053 0x000163f0 0x00416ff0 5   12   .rdata  utf16le vi-vn
1054 0x000163fc 0x00416ffc 5   12   .rdata  utf16le xh-za
1055 0x00016408 0x00417008 6   14   .rdata  utf16le zh-chs
1056 0x00016418 0x00417018 6   14   .rdata  utf16le zh-cht
1057 0x00016428 0x00417028 5   12   .rdata  utf16le zh-cn
1058 0x00016434 0x00417034 5   12   .rdata  utf16le zh-hk
1059 0x00016440 0x00417040 5   12   .rdata  utf16le zh-mo
1060 0x0001644c 0x0041704c 5   12   .rdata  utf16le zh-sg
1061 0x00016458 0x00417058 5   12   .rdata  utf16le zh-tw
1062 0x00016464 0x00417064 5   12   .rdata  utf16le zu-za
1063 0x00016490 0x00417090 5   6    .rdata  ascii   log10
1064 0x000164e8 0x004170e8 7   16   .rdata  utf16le CONOUT$
1065 0x000165f4 0x004171f4 4   5    .rdata  ascii   lzZ?
1066 0x000166e8 0x004172e8 5   6    .rdata  ascii   log10
1067 0x000166f8 0x004172f8 4   5    .rdata  ascii   asin
1068 0x00016700 0x00417300 4   5    .rdata  ascii   acos
1069 0x00016708 0x00417308 4   5    .rdata  ascii   sqrt
1070 0x0001674c 0x0041734c 4   5    .rdata  ascii   \tk8=
1071 0x0001677b 0x0041737b 5   6    .rdata  ascii   \tQ*\e=
1072 0x0001678c 0x0041738c 4   5    .rdata  ascii   b6\b=
1073 0x00016823 0x00417423 4   6    .rdata  utf8    N\vָ? blocks=Basic Latin,Hebrew
1074 0x00016837 0x00417437 6   7    .rdata  ascii   ?5Wg4p
1075 0x00016849 0x00417449 4   5    .rdata  ascii   Nv$^
1076 0x00016881 0x00417481 4   6    .rdata  utf8     <śm blocks=Basic Latin,Latin Extended-A
1077 0x000168b9 0x004174b9 4   5    .rdata  ascii   w(@\t
1078 0x000168fb 0x004174fb 5   6    .rdata  ascii   BC .=
1079 0x00016919 0x00417519 4   5    .rdata  ascii   a>-\e
1080 0x00016932 0x00417532 4   5    .rdata  ascii   (lX 
1081 0x000169fc 0x004175fc 4   5    .rdata  ascii   #{ =
1082 0x00016a01 0x00417601 4   5    .rdata  ascii   `~R=
1083 0x00016a3c 0x0041763c 4   5    .rdata  ascii   }s"=
1084 0x00016a42 0x00417642 4   5    .rdata  ascii   \tE[\n
1085 0x00016a49 0x00417649 5   6    .rdata  ascii   %S#[k
1086 0x00016a91 0x00417691 4   6    .rdata  utf8    x¾/@ blocks=Basic Latin,Latin-1 Supplement
1087 0x00016a9a 0x0041769a 6   7    .rdata  ascii   "B <1=
1088 0x00016aa9 0x004176a9 4   5    .rdata  ascii   \-!y
1089 0x00016aca 0x004176ca 6   7    .rdata  ascii   \f#.X'=
1090 0x00016afc 0x004176fc 4   5    .rdata  ascii   i9+=
1091 0x00017030 0x00417c30 4   5    .rdata  ascii   sinh
1092 0x00017038 0x00417c38 4   5    .rdata  ascii   cosh
1093 0x00017040 0x00417c40 4   5    .rdata  ascii   tanh
1094 0x00017048 0x00417c48 4   5    .rdata  ascii   atan
1095 0x00017050 0x00417c50 5   6    .rdata  ascii   atan2
1096 0x00017064 0x00417c64 4   5    .rdata  ascii   ceil
1097 0x0001706c 0x00417c6c 5   6    .rdata  ascii   floor
1098 0x00017074 0x00417c74 4   5    .rdata  ascii   fabs
1099 0x0001707c 0x00417c7c 4   5    .rdata  ascii   modf
1100 0x00017084 0x00417c84 5   6    .rdata  ascii   ldexp
1101 0x0001708c 0x00417c8c 5   6    .rdata  ascii   _cabs
1102 0x00017094 0x00417c94 6   7    .rdata  ascii   _hypot
1103 0x0001709c 0x00417c9c 4   5    .rdata  ascii   fmod
1104 0x000170a4 0x00417ca4 5   6    .rdata  ascii   frexp
1105 0x000170b8 0x00417cb8 5   6    .rdata  ascii   _logb
1106 0x000170c0 0x00417cc0 10  11   .rdata  ascii   _nextafter
1107 0x000170fc 0x00417cfc 16  17   .rdata  ascii   expand 32-byte k
1108 0x00017110 0x00417d10 16  17   .rdata  ascii   expand 16-byte k
1109 0x0001713c 0x00417d3c 12  13   .rdata  ascii   Microsoft Hv
1110 0x0001714c 0x00417d4c 7   16   .rdata  utf16le Windows
1111 0x0001715c 0x00417d5c 11  24   .rdata  utf16le ProgramData
1112 0x00017174 0x00417d74 12  26   .rdata  utf16le $Recycle.bin
1113 0x00017190 0x00417d90 25  52   .rdata  utf16le System Volume Information
1114 0x000172a0 0x00417ea0 7   16   .rdata  utf16le \\?\%c:
1115 0x000172b8 0x00417eb8 7   16   .rdata  utf16le %ls\%ls
1116 0x000172c8 0x00417ec8 4   10   .rdata  utf16le .MME
1117 0x000172d4 0x00417ed4 11  24   .rdata  utf16le Read_Me.txt
1118 0x000172ec 0x00417eec 6   14   .rdata  utf16le %ls%ls
1119 0x000172fc 0x00417efc 14  15   .rdata  ascii   IsWow64Process
1120 0x0001730c 0x00417f0c 12  13   .rdata  ascii   kernel32.dll
1121 0x0001731c 0x00417f1c 22  46   .rdata  utf16le __ProviderArchitecture
1122 0x0001734c 0x00417f4c 10  22   .rdata  utf16le ROOT\cimv2
1123 0x00017364 0x00417f64 30  62   .rdata  utf16le select * from Win32_ShadowCopy
1124 0x000173b4 0x00417fb4 24  50   .rdata  utf16le Win32_ShadowCopy.ID='%s'
1125 0x00017418 0x00418018 4   5    .rdata  ascii   \n\v\b\t
1126 0x00017428 0x00418028 4   5    .rdata  ascii   \v\b\t\n
1127 0x00017438 0x00418038 11  12   .rdata  ascii   ZZZZZZZZD3"
1128 0x00017445 0x00418045 4   6    .rdata  utf8    wfU̻ blocks=Basic Latin,Combining Diacritical Marks
1129 0x0001754c 0x0041814c 4   5    .rdata  ascii   GCTL
1130 0x00017558 0x00418158 8   9    .rdata  ascii   .text$mn
1131 0x0001756c 0x0041816c 8   9    .rdata  ascii   .idata$5
1132 0x00017580 0x00418180 6   7    .rdata  ascii   .00cfg
1133 0x00017590 0x00418190 8   9    .rdata  ascii   .CRT$XCA
1134 0x000175a4 0x004181a4 9   10   .rdata  ascii   .CRT$XCAA
1135 0x000175b8 0x004181b8 8   9    .rdata  ascii   .CRT$XCZ
1136 0x000175cc 0x004181cc 8   9    .rdata  ascii   .CRT$XIA
1137 0x000175e0 0x004181e0 9   10   .rdata  ascii   .CRT$XIAA
1138 0x000175f4 0x004181f4 9   10   .rdata  ascii   .CRT$XIAC
1139 0x00017608 0x00418208 8   9    .rdata  ascii   .CRT$XIC
1140 0x0001761c 0x0041821c 8   9    .rdata  ascii   .CRT$XIZ
1141 0x00017630 0x00418230 8   9    .rdata  ascii   .CRT$XPA
1142 0x00017644 0x00418244 8   9    .rdata  ascii   .CRT$XPX
1143 0x00017658 0x00418258 9   10   .rdata  ascii   .CRT$XPXA
1144 0x0001766c 0x0041826c 8   9    .rdata  ascii   .CRT$XPZ
1145 0x00017680 0x00418280 8   9    .rdata  ascii   .CRT$XTA
1146 0x00017694 0x00418294 8   9    .rdata  ascii   .CRT$XTZ
1147 0x000176a8 0x004182a8 6   7    .rdata  ascii   .rdata
1148 0x000176b8 0x004182b8 13  14   .rdata  ascii   .rdata$sxdata
1149 0x000176d0 0x004182d0 13  14   .rdata  ascii   .rdata$zzzdbg
1150 0x000176e8 0x004182e8 8   9    .rdata  ascii   .rtc$IAA
1151 0x000176fc 0x004182fc 8   9    .rdata  ascii   .rtc$IZZ
1152 0x00017710 0x00418310 8   9    .rdata  ascii   .rtc$TAA
1153 0x00017724 0x00418324 8   9    .rdata  ascii   .rtc$TZZ
1154 0x00017738 0x00418338 8   9    .rdata  ascii   .xdata$x
1155 0x0001774c 0x0041834c 8   9    .rdata  ascii   .idata$2
1156 0x00017760 0x00418360 8   9    .rdata  ascii   .idata$3
1157 0x00017774 0x00418374 8   9    .rdata  ascii   .idata$4
1158 0x00017788 0x00418388 8   9    .rdata  ascii   .idata$6
1159 0x0001779c 0x0041839c 5   6    .rdata  ascii   .data
1160 0x000177ac 0x004183ac 4   5    .rdata  ascii   .bss
1161 0x00017e7a 0x00418a7a 8   9    .rdata  ascii   StrStrIW
1162 0x00017e86 0x00418a86 10  11   .rdata  ascii   wnsprintfW
1163 0x00017e92 0x00418a92 11  12   .rdata  ascii   SHLWAPI.dll
1164 0x00017ea0 0x00418aa0 13  14   .rdata  ascii   WNetCloseEnum
1165 0x00017eb0 0x00418ab0 18  19   .rdata  ascii   WNetGetConnectionW
1166 0x00017ec6 0x00418ac6 17  18   .rdata  ascii   WNetEnumResourceW
1167 0x00017eda 0x00418ada 19  20   .rdata  ascii   WNetAddConnection2W
1168 0x00017ef0 0x00418af0 13  14   .rdata  ascii   WNetOpenEnumW
1169 0x00017efe 0x00418afe 7   8    .rdata  ascii   MPR.dll
1170 0x00017f08 0x00418b08 19  20   .rdata  ascii   RmRegisterResources
1171 0x00017f1e 0x00418b1e 9   10   .rdata  ascii   RmGetList
1172 0x00017f2a 0x00418b2a 14  15   .rdata  ascii   RmStartSession
1173 0x00017f3c 0x00418b3c 12  13   .rdata  ascii   RmEndSession
1174 0x00017f4a 0x00418b4a 12  13   .rdata  ascii   RstrtMgr.DLL
1175 0x00017f5a 0x00418b5a 8   9    .rdata  ascii   ReadFile
1176 0x00017f66 0x00418b66 9   10   .rdata  ascii   WriteFile
1177 0x00017f72 0x00418b72 16  17   .rdata  ascii   TerminateProcess
1178 0x00017f86 0x00418b86 19  20   .rdata  ascii   WaitForSingleObject
1179 0x00017f9c 0x00418b9c 11  12   .rdata  ascii   CreateFileW
1180 0x00017faa 0x00418baa 11  12   .rdata  ascii   OpenProcess
1181 0x00017fb8 0x00418bb8 18  19   .rdata  ascii   SetFileAttributesW
1182 0x00017fce 0x00418bce 11  12   .rdata  ascii   CloseHandle
1183 0x00017fdc 0x00418bdc 16  17   .rdata  ascii   SetFilePointerEx
1184 0x00017ff0 0x00418bf0 11  12   .rdata  ascii   GetFileSize
1185 0x00017ffe 0x00418bfe 19  20   .rdata  ascii   GetCurrentProcessId
1186 0x00018014 0x00418c14 16  17   .rdata  ascii   GetLogicalDrives
1187 0x00018028 0x00418c28 14  15   .rdata  ascii   FindFirstFileW
1188 0x0001803a 0x00418c3a 16  17   .rdata  ascii   FindFirstVolumeW
1189 0x0001804e 0x00418c4e 8   9    .rdata  ascii   HeapFree
1190 0x0001805a 0x00418c5a 13  14   .rdata  ascii   FindNextFileW
1191 0x0001806a 0x00418c6a 17  18   .rdata  ascii   GetCurrentProcess
1192 0x0001807e 0x00418c7e 8   9    .rdata  ascii   lstrlenW
