[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
116  0x00006256 0x00406e56 4   6    .text   utf8    Ӊ|$( blocks=Cyrillic,Basic Latin
117  0x0000628b 0x00406e8b 4   5    .text   ascii   =d0A
118  0x000062c4 0x00406ec4 5   6    .text   ascii   D$0PV
119  0x00006326 0x00406f26 4   5    .text   ascii   D$ P
120  0x00006370 0x00406f70 4   5    .text   ascii   t$(h
121  0x00006397 0x00406f97 4   5    .text   ascii   =d0A
122  0x000063c9 0x00406fc9 5   6    .text   ascii   D$0PV
123  0x000063eb 0x00406feb 4   5    .text   ascii   5t0A
124  0x000063f6 0x00406ff6 4   7    .text   utf8    փ=ܹA blocks=Armenian,Basic Latin,Syriac
125  0x00006437 0x00407037 5   6    .text   ascii   Ph`2A
126  0x00006441 0x00407041 4   5    .text   ascii   h@2A
127  0x00006495 0x00407095 4   5    .text   ascii   D$(P
128  0x000064a5 0x004070a5 4   5    .text   ascii   D$0@
129  0x000064c8 0x004070c8 4   5    .text   ascii   D$(P
130  0x000064cf 0x004070cf 8   9    .text   ascii   D$$PhP2A
131  0x000064df 0x004070df 4   5    .text   ascii   h02A
132  0x00006505 0x00407105 5   11   .text   utf16le jjjjj
133  0x0000654e 0x0040714e 5   6    .text   ascii   T$ Rj
134  0x00006554 0x00407154 4   5    .text   ascii   j0hd
135  0x000065b5 0x004071b5 4   5    .text   ascii   T$(j
136  0x000065d0 0x004071d0 6   7    .text   ascii   |$(\buh
137  0x00006629 0x00407229 4   5    .text   ascii   Q@Vj
138  0x00006638 0x00407238 4   5    .text   ascii   D$(P
139  0x00006649 0x00407249 4   5    .text   ascii   D$(P
140  0x00006685 0x00407285 4   5    .text   ascii   D$$P
141  0x000066a1 0x004072a1 4   5    .text   ascii   _^[3
142  0x000066d5 0x004072d5 5   6    .text   ascii   ]\bVWj
143  0x000067d0 0x004073d0 4   5    .text   ascii   t]WV
144  0x000068fc 0x004074fc 6   7    .text   ascii   SVWQPj
145  0x00006aac 0x004076ac 4   5    .text   ascii   t]WV
146  0x00006e53 0x00407a53 4   5    .text   ascii   hp2A
147  0x00006f6b 0x00407b6b 4   5    .text   ascii   h\b2A
148  0x00006fc5 0x00407bc5 5   6    .text   ascii   9>t\eV
149  0x0000700f 0x00407c0f 4   5    .text   ascii   VPWh
150  0x00007056 0x00407c56 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
151  0x00007084 0x00407c84 4   5    .text   ascii   Y_^[
152  0x000070cd 0x00407ccd 7   8    .text   ascii   M\f;J\fr\n
153  0x00007181 0x00407d81 4   5    .text   ascii   u"h@
154  0x000071e0 0x00407de0 4   5    .text   ascii   j\bhH
155  0x0000726e 0x00407e6e 4   5    .text   ascii   Y_^[
156  0x00007284 0x00407e84 5   7    .text   utf8    u\t398
157  0x000072c4 0x00407ec4 4   5    .text   ascii   u\bu\a
158  0x000072e1 0x00407ee1 4   5    .text   ascii   #E\b]
159  0x00007575 0x00408175 5   6    .text   ascii   f9\bu*
160  0x0000757e 0x0040817e 4   6    .text   utf8    ȁ9PE blocks=Latin Extended-B,Basic Latin
161  0x000075be 0x004081be 4   5    .text   ascii   >csm
162  0x000075e8 0x004081e8 4   5    .text   ascii   t\b_3
163  0x000076c0 0x004082c0 5   6    .text   ascii   Y__^[
164  0x000076f4 0x004082f4 6   8    .text   utf8    SVW3ɍ} blocks=Basic Latin,Latin Extended-B
165  0x00007708 0x00408308 6   8    .text   utf8    O\b3ɉW\f blocks=Basic Latin,Latin Extended-B
166  0x0000771a 0x0040831a 4   5    .text   ascii   ntel
167  0x00007721 0x00408321 5   6    .text   ascii   5ineI
168  0x0000772c 0x0040832c 5   6    .text   ascii   5Genu
169  0x00007751 0x00408351 4   5    .text   ascii   S\fuC
170  0x00007762 0x00408362 4   5    .text   ascii   t#=`
171  0x0000777e 0x0040837e 4   5    .text   ascii   t\a=p
172  0x00007894 0x00408494 4   5    .text   ascii   _^[3
173  0x000078d7 0x004084d7 6   7    .text   ascii   3\f8_^]
174  0x000078f8 0x004084f8 4   5    .text   ascii   ]\bVW
175  0x000079c8 0x004085c8 4   6    .text   utf8    ]ËE\b blocks=Basic Latin,Latin-1 Supplement
176  0x000079ce 0x004085ce 4   5    .text   ascii   8csm
177  0x000079d6 0x004085d6 4   5    .text   ascii   =x2A
178  0x000079dc 0x004085dc 6   7    .text   ascii   t/hx2A
179  0x000079f0 0x004085f0 4   5    .text   ascii   5x2A
180  0x00007a18 0x00408618 6   7    .text   ascii   E\f9x\ft
181  0x00007a84 0x00408684 4   5    .text   ascii   j\bhh
182  0x00007a98 0x00408698 4   5    .text   ascii   8csm
183  0x00007aef 0x004086ef 4   6    .text   utf8    YYËe blocks=Basic Latin,Latin-1 Supplement
184  0x00007b1f 0x0040871f 4   5    .text   ascii   Y_^[
185  0x00007b39 0x00408739 4   5    .text   ascii   t2VW
186  0x00007b43 0x00408743 4   5    .text   ascii   >csm
187  0x00007b9f 0x0040879f 4   6    .text   utf8    ̋L$\f blocks=Combining Diacritical Marks,Basic Latin
188  0x00007d0f 0x0040890f 6   7    .text   ascii   URPQQh
189  0x00007d25 0x00408925 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
190  0x00007d3a 0x0040893a 4   5    .text   ascii   L$,3
191  0x00007d8c 0x0040898c 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
192  0x00007e00 0x00408a00 4   5    .text   ascii   UVWS
193  0x00007e12 0x00408a12 5   7    .text   utf8    [_^]Ð blocks=Basic Latin,Latin-1 Supplement
194  0x00007e37 0x00408a37 4   5    .text   ascii   SVWj
195  0x00007e49 0x00408a49 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
196  0x00007e52 0x00408a52 5   6    .text   ascii   l$\bRQ
197  0x00007e86 0x00408a86 4   5    .text   ascii   ;A\br
198  0x00007eb3 0x00408ab3 4   5    .text   ascii   ;A\br
199  0x00007f31 0x00408b31 5   6    .text   ascii   BVj(j
200  0x00008043 0x00408c43 5   6    .text   ascii   SVWUj
201  0x00008059 0x00408c59 4   5    .text   ascii   ]_^[
202  0x0000805f 0x00408c5f 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
203  0x000080e5 0x00408ce5 6   7    .text   ascii   ;t$,v-
204  0x00008140 0x00408d40 6   7    .text   ascii   R\f9Q\bu
205  0x0000816e 0x00408d6e 10  11   .text   ascii   k\fUQPXY]Y[
206  0x00008181 0x00408d81 4   5    .text   ascii   QSVW
207  0x000081f9 0x00408df9 4   5    .text   ascii   ;}\fu
208  0x0000821c 0x00408e1c 4   5    .text   ascii   E\bVW
209  0x00008297 0x00408e97 4   5    .text   ascii   %01A
210  0x00008315 0x00408f15 5   6    .text   ascii   Vh\b=A
211  0x00008320 0x00408f20 4   5    .text   ascii   h\b=A
212  0x000083f1 0x00408ff1 6   8    .text   utf8    D$\f^_Ë blocks=Basic Latin,Latin-1 Supplement
213  0x00008486 0x00409086 4   5    .text   ascii   oF f
214  0x000084e2 0x004090e2 4   5    .text   ascii   oF f
215  0x0000853a 0x0040913a 4   5    .text   ascii   oF f
216  0x00008615 0x00409215 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
217  0x00008621 0x00409221 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
218  0x00008633 0x00409233 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
219  0x0000864d 0x0040924d 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
220  0x000086c1 0x004092c1 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
221  0x000086cf 0x004092cf 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
222  0x000086e5 0x004092e5 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
223  0x000086ff 0x004092ff 5   6    .text   ascii   D$\f^_
224  0x000087e5 0x004093e5 5   6    .text   ascii   D$\f^_
225  0x0000881b 0x0040941b 4   5    .text   ascii   oV f
226  0x00008820 0x00409420 4   5    .text   ascii   o^0f
227  0x00008838 0x00409438 4   5    .text   ascii   of@f
228  0x0000883d 0x0040943d 4   5    .text   ascii   onPf
229  0x00008842 0x00409442 4   5    .text   ascii   ov`f
230  0x00008847 0x00409447 4   5    .text   ascii   o~pf
231  0x000088c0 0x004094c0 5   6    .text   ascii   \aFGIu
232  0x000088d1 0x004094d1 6   8    .text   utf8    D$\f^_Í blocks=Basic Latin,Latin-1 Supplement
233  0x000088f7 0x004094f7 4   5    .text   ascii   FGIu
234  0x000089c1 0x004095c1 6   8    .text   utf8    D$\f^_Ë blocks=Basic Latin,Latin-1 Supplement
235  0x00008a56 0x00409656 4   5    .text   ascii   oF f
236  0x00008ab2 0x004096b2 4   5    .text   ascii   oF f
237  0x00008b0a 0x0040970a 4   5    .text   ascii   oF f
238  0x00008be5 0x004097e5 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
239  0x00008bf1 0x004097f1 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
240  0x00008c03 0x00409803 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
241  0x00008c1d 0x0040981d 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
242  0x00008c91 0x00409891 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
243  0x00008c9f 0x0040989f 7   9    .text   utf8    D$\f^_ÍI blocks=Basic Latin,Latin-1 Supplement
244  0x00008cb5 0x004098b5 6   8    .text   utf8    D$\f^_Ð blocks=Basic Latin,Latin-1 Supplement
245  0x00008ccf 0x004098cf 5   6    .text   ascii   D$\f^_
246  0x00008db5 0x004099b5 5   6    .text   ascii   D$\f^_
247  0x00008deb 0x004099eb 4   5    .text   ascii   oV f
