[Strings]
nth  paddr      vaddr       len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d  41  42           ascii   !This program cannot be run in DOS mode.$
1    0x00000180 0x00000180  5   6            ascii   .text
2    0x000001a7 0x000001a7  7   8            ascii   `.rdata
3    0x000001cf 0x000001cf  6   7            ascii   @.data
4    0x000001f8 0x000001f8  6   7            ascii   .pdata
5    0x0000021f 0x0000021f  7   8            ascii   @.00cfg
6    0x00000247 0x00000247  10  11           ascii   @.gehcont\b
7    0x0000026f 0x0000026f  6   7            ascii   @.rsrc
8    0x00000297 0x00000297  7   8            ascii   @.reloc
9    0x000004f0 0x1400010f0 13  14   .text   ascii   AWAVAUATVWUSH
10   0x00000505 0x140001105 4   5    .text   ascii   L$4E
11   0x00000538 0x140001138 4   5    .text   ascii   D$.I
12   0x000005d8 0x1400011d8 5   6    .text   ascii   =D{MG
13   0x00000625 0x140001225 5   6    .text   ascii   =L(o(
14   0x00000639 0x140001239 4   5    .text   ascii   D$HL
15   0x00000641 0x140001241 4   5    .text   ascii   D$PD
16   0x00000662 0x140001262 4   5    .text   ascii   D$@D
17   0x00000680 0x140001280 4   5    .text   ascii   =n0!
18   0x0000075c 0x14000135c 5   6    .text   ascii   ={X#W
19   0x000007ab 0x1400013ab 4   5    .text   ascii   =ETt
20   0x000008f7 0x1400014f7 5   6    .text   ascii   =\ve\rt
21   0x00000912 0x140001512 4   5    .text   ascii   a1CW
22   0x00000b08 0x140001708 4   6    .text   utf8    \r0Zȹ blocks=Basic Latin,Latin Extended-B
23   0x00000c7b 0x14000187b 4   6    .text   utf8    =\)­ blocks=Basic Latin,Latin-1 Supplement
24   0x00000cdb 0x1400018db 5   6    .text   ascii   =}|y3
25   0x00000ce6 0x1400018e6 5   6    .text   ascii   =)iC2
26   0x00000cf1 0x1400018f1 5   6    .text   ascii   =*iC2
27   0x00000d3d 0x14000193d 4   5    .text   ascii   =K'@
28   0x00000d6d 0x14000196d 6   8    .text   utf8    EC=f\a\a
29   0x00000f44 0x140001b44 4   5    .text   ascii   =~-@
30   0x00001050 0x140001c50 4   6    .text   utf8    ="ɕP blocks=Basic Latin,IPA Extensions
31   0x00001070 0x140001c70 4   5    .text   ascii   D$8H
32   0x000010c2 0x140001cc2 4   5    .text   ascii   =3\vi
33   0x000010e2 0x140001ce2 4   5    .text   ascii   E{MG
34   0x0000117b 0x140001d7b 4   5    .text   ascii   =b?*
35   0x0000123e 0x140001e3e 4   6    .text   utf8    =l͔. blocks=Basic Latin,Combining Diacritical Marks
36   0x00001249 0x140001e49 4   6    .text   utf8    =m͔. blocks=Basic Latin,Combining Diacritical Marks
37   0x00001284 0x140001e84 4   6    .text   utf8    EC=O
38   0x0000140a 0x14000200a 4   5    .text   ascii   =!Fr
39   0x00001415 0x140002015 4   5    .text   ascii   ="Fr
40   0x000014f9 0x1400020f9 4   5    .text   ascii   *iC2
41   0x00001603 0x140002203 4   5    .text   ascii   E{MG
42   0x0000160c 0x14000220c 4   5    .text   ascii   =Wd%
43   0x00001617 0x140002217 4   5    .text   ascii   =Xd%
44   0x000016f3 0x1400022f3 4   5    .text   ascii   =\o.
45   0x00001729 0x140002329 5   6    .text   ascii   =VHN8
46   0x00001781 0x140002381 4   5    .text   ascii   D$8H
47   0x00001792 0x140002392 4   5    .text   ascii   D$xH
48   0x0000183f 0x14000243f 4   7    .text   utf8    EՄ۹= blocks=Basic Latin,Armenian,Arabic
49   0x000019b1 0x1400025b1 4   6    .text   utf8    EC="
50   0x000019dd 0x1400025dd 5   6    .text   ascii   =q,`E
51   0x00001a6a 0x14000266a 4   5    .text   ascii   D$(H
52   0x00001bbb 0x1400027bb 4   5    .text   ascii   =\bUu
53   0x00001bf0 0x1400027f0 6   8    .text   utf8    0ȸP7jC blocks=Basic Latin,Latin Extended-B
54   0x00001bfd 0x1400027fd 7   10   .text   utf8    EńɹP7jC blocks=Basic Latin,Latin Extended-A,IPA Extensions
55   0x00001c5c 0x14000285c 5   6    .text   ascii   =a1CW
56   0x00001c87 0x140002887 4   5    .text   ascii   FSye
57   0x00001cc4 0x1400028c4 4   5    .text   ascii   =o0!
58   0x00001ccf 0x1400028cf 4   5    .text   ascii   =\r0Z
59   0x00001ce4 0x1400028e4 4   5    .text   ascii   =FTt
60   0x00001d1c 0x14000291c 4   5    .text   ascii   =ZRU
61   0x00001e67 0x140002a67 4   7    .text   utf8    EȄۻ& blocks=Basic Latin,Latin Extended-B,Arabic
62   0x00001e9a 0x140002a9a 5   6    .text   ascii   =E{MG
63   0x00001f8a 0x140002b8a 4   6    .text   utf8    =])­ blocks=Basic Latin,Latin-1 Supplement
64   0x000020c5 0x140002cc5 4   5    .text   ascii   =S9S
65   0x000020d1 0x140002cd1 4   5    .text   ascii   D$(=
66   0x000021e2 0x140002de2 4   6    .text   utf8    \r0Zȹ blocks=Basic Latin,Latin Extended-B
67   0x000023ac 0x140002fac 4   5    .text   ascii   =|_/
68   0x000024a0 0x1400030a0 5   7    .text   utf8    0ٽvtV blocks=Basic Latin,Arabic
69   0x000024b5 0x1400030b5 4   6    .text   utf8    ɹvtV blocks=IPA Extensions,Basic Latin
70   0x000024c1 0x1400030c1 6   9    .text   utf8    D̈́8vtV blocks=Basic Latin,Combining Diacritical Marks
71   0x000025bb 0x1400031bb 4   5    .text   ascii   =|Ge
72   0x000025d0 0x1400031d0 5   6    .text   ascii   =~|y3
73   0x0000264f 0x14000324f 4   5    .text   ascii   =vtV
74   0x000027ab 0x1400033ab 5   6    .text   ascii   =P7jC
75   0x00002853 0x140003453 5   6    .text   ascii   =FSye
76   0x00002894 0x140003494 4   5    .text   ascii   D$HL
77   0x0000289c 0x14000349c 4   5    .text   ascii   D$PD
78   0x000028bd 0x1400034bd 4   5    .text   ascii   D$@D
79   0x0000298d 0x14000358d 4   5    .text   ascii   |X#W
80   0x00002aed 0x1400036ed 4   7    .text   utf8    L﹂DU blocks=Basic Latin,CJK Compatibility Forms
81   0x00002d6d 0x14000396d 4   6    .text   utf8    EC=f
82   0x00002e73 0x140003a73 4   7    .text   utf8    0˄ҸC blocks=Basic Latin,Spacing Modifier Letters,Cyrillic
83   0x00002e98 0x140003a98 4   5    .text   ascii   D$PH
84   0x00002eb8 0x140003ab8 4   5    .text   ascii   D$XH
85   0x00002f22 0x140003b22 4   7    .text   utf8    D0\t@
86   0x0000306a 0x140003c6a 4   5    .text   ascii   D$HL
87   0x00003072 0x140003c72 4   5    .text   ascii   D$PD
88   0x00003093 0x140003c93 4   5    .text   ascii   D$@D
89   0x000030a4 0x140003ca4 4   5    .text   ascii   P7jC
90   0x000030ef 0x140003cef 4   5    .text   ascii   *iC2
91   0x000030fe 0x140003cfe 4   5    .text   ascii   D$(H
92   0x00003175 0x140003d75 5   7    .text   utf8    ιVHN8 blocks=Greek and Coptic,Basic Latin
93   0x000031ae 0x140003dae 7   9    .text   utf8    K'@ҹ~-@ blocks=Basic Latin,Cyrillic
94   0x00003295 0x140003e95 4   6    .text   utf8    EC=>
95   0x00003322 0x140003f22 4   5    .text   ascii   D$(H
96   0x00003390 0x140003f90 4   5    .text   ascii   a1CW
97   0x00003395 0x140003f95 4   5    .text   ascii   \ve\rt
98   0x00003421 0x140004021 4   5    .text   ascii   ~|y3
99   0x000035e1 0x1400041e1 4   5    .text   ascii   D$`H
100  0x000035f9 0x1400041f9 4   5    .text   ascii   D$hH
101  0x00003676 0x140004276 4   5    .text   ascii   q,`E
102  0x000036ec 0x1400042ec 4   7    .text   utf8    9])­ blocks=Basic Latin,Latin-1 Supplement
103  0x00003844 0x140004444 4   5    .text   ascii   \ve\rt
104  0x00003993 0x140004593 4   5    .text   ascii   D$HL
105  0x0000399b 0x14000459b 4   5    .text   ascii   D$PD
106  0x000039bc 0x1400045bc 4   5    .text   ascii   D$@D
107  0x00003a09 0x140004609 4   5    .text   ascii   D$(H
108  0x00003ae5 0x1400046e5 4   5    .text   ascii   D$8H
109  0x00003b73 0x140004773 4   6    .text   utf8    OƹM/ blocks=Basic Latin,Latin Extended-B
110  0x00003b80 0x140004780 4   5    .text   ascii   q,`E
111  0x00003bb1 0x1400047b1 4   5    .text   ascii   D$8H
112  0x00003c0b 0x14000480b 4   5    .text   ascii   |$@H
113  0x00003c23 0x140004823 4   5    .text   ascii   D$HL
114  0x00003c35 0x140004835 4   5    .text   ascii   L$HH
115  0x00003d2e 0x14000492e 4   6    .text   utf8    ŹZRU blocks=Latin Extended-A,Basic Latin
116  0x00003ec3 0x140004ac3 4   5    .text   ascii   L(o(
117  0x00003edc 0x140004adc 7   10   .text   utf8    K'@ҹm͔. blocks=Basic Latin,Cyrillic,Combining Diacritical Marks
118  0x00003f1e 0x140004b1e 6   8    .text   utf8    0ȸL(o( blocks=Basic Latin,Latin Extended-B
119  0x00003f2b 0x140004b2b 7   10   .text   utf8    EńɹL(o( blocks=Basic Latin,Latin Extended-A,IPA Extensions
120  0x0000400b 0x140004c0b 6   7    .text   ascii   \v=|X#W
121  0x00004029 0x140004c29 12  13   .text   ascii   []_^A\A]A^A_
122  0x00004040 0x140004c40 13  14   .text   ascii   AWAVAUATVWUSH
123  0x0000407c 0x140004c7c 4   5    .text   ascii   D$#A
124  0x000040a8 0x140004ca8 5   7    .text   utf8     ؈D$$ blocks=Basic Latin,Arabic
125  0x000040ca 0x140004cca 4   5    .text   ascii   3i6Y
126  0x000040cf 0x140004ccf 5   6    .text   ascii   3i6YA
127  0x00004112 0x140004d12 4   7    .text   utf8    EȄۻ" blocks=Basic Latin,Latin Extended-B,Arabic
128  0x0000412d 0x140004d2d 7   9    .text   utf8    DƉD$tA  blocks=Basic Latin,Latin Extended-B
129  0x00004151 0x140004d51 4   6    .text   utf8    ۹lo2 blocks=Arabic,Basic Latin
130  0x0000419f 0x140004d9f 4   5    .text   ascii   |$pE
131  0x000041b0 0x140004db0 5   7    .text   utf8    DȉL$l blocks=Basic Latin,Latin Extended-B
132  0x000041bc 0x140004dbc 6   8    .text   utf8    DȉL$hA blocks=Basic Latin,Latin Extended-B
133  0x000041c9 0x140004dc9 5   6    .text   ascii   3i6YD
134  0x000041dc 0x140004ddc 5   7    .text   utf8    DID$x
135  0x000041ed 0x140004ded 5   7    .text   utf8    DȉL$d blocks=Basic Latin,Latin Extended-B
136  0x00004206 0x140004e06 6   8    .text   utf8    DȉL$`A blocks=Basic Latin,Latin Extended-B
137  0x00004214 0x140004e14 6   8    .text   utf8    Dȹa\a]z blocks=Basic Latin,Latin Extended-B
138  0x00004221 0x140004e21 5   7    .text   utf8    DȉL$\ blocks=Basic Latin,Latin Extended-B
139  0x00004241 0x140004e41 5   7    .text   utf8    DȉL$X blocks=Basic Latin,Latin Extended-B
140  0x0000424d 0x140004e4d 6   8    .text   utf8    DȉL$TA blocks=Basic Latin,Latin Extended-B
141  0x0000427d 0x140004e7d 5   6    .text   ascii   u0cuD
142  0x00004290 0x140004e90 5   7    .text   utf8    DȉL$H blocks=Basic Latin,Latin Extended-B
143  0x0000429d 0x140004e9d 6   8    .text   utf8    D\tD$DA
144  0x000042b8 0x140004eb8 6   9    .text   utf8    DظЂeqA blocks=Basic Latin,Arabic,Cyrillic
145  0x000042c7 0x140004ec7 5   7    .text   utf8    DŉD$8 blocks=Basic Latin,Latin Extended-A
146  0x000042e4 0x140004ee4 5   7    .text   utf8    DȉL$$ blocks=Basic Latin,Latin Extended-B
147  0x000042fd 0x140004efd 4   5    .text   ascii   |$PD
148  0x00004302 0x140004f02 4   5    .text   ascii   t$LD
149  0x0000430b 0x140004f0b 4   5    .text   ascii   \$<D
150  0x0000435e 0x140004f5e 4   5    .text   ascii   =mEB
151  0x00004464 0x140005064 5   6    .text   ascii   =3i6Y
152  0x00004520 0x140005120 4   5    .text   ascii   =lo2
153  0x00004534 0x140005134 5   6    .text   ascii   =`\a]z
154  0x0000454c 0x14000514c 5   6    .text   ascii   =u0cu
155  0x0000459d 0x14000519d 5   6    .text   ascii   L$$=)
156  0x000045da 0x1400051da 4   5    .text   ascii   L$|=
157  0x00004616 0x140005216 4   6    .text   utf8    =Ђeq blocks=Basic Latin,Cyrillic
158  0x000046c9 0x1400052c9 5   6    .text   ascii   =a\a]z
