[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
58   0x00000e29 0x00401c29 6   7    .text   ascii   strcPH
59   0x00000e34 0x00401c34 6   7    .text   ascii   sranPH
60   0x00000e3d 0x00401c3d 8   9    .text   ascii   sprintPH
61   0x00000e46 0x00401c46 6   7    .text   ascii   signal
62   0x00000e51 0x00401c51 5   6    .text   ascii   alloc
63   0x00000e62 0x00401c62 4   5    .text   ascii   rePH
64   0x00000e6d 0x00401c6d 4   5    .text   ascii   raPH
65   0x00000e76 0x00401c76 6   7    .text   ascii   memcPH
66   0x00000e7d 0x00401c7d 10  11   .text   ascii   stowcs_sPH
67   0x00000e8e 0x00401c8e 4   5    .text   ascii   mbPH
68   0x00000e97 0x00401c97 6   7    .text   ascii   mallPH
69   0x00000ea0 0x00401ca0 8   9    .text   ascii   isspacPH
70   0x00000ea9 0x00401ca9 6   7    .text   ascii   fwrite
71   0x00000eb4 0x00401cb4 4   5    .text   ascii   free
72   0x00000ebf 0x00401cbf 4   5    .text   ascii   lloc
73   0x00000ed0 0x00401cd0 4   5    .text   ascii   caPH
74   0x00000edb 0x00401cdb 4   5    .text   ascii   atPH
75   0x00000ee4 0x00401ce4 6   7    .text   ascii   asctPH
76   0x00000eef 0x00401cef 6   7    .text   ascii   aborPH
77   0x00000ef6 0x00401cf6 10  11   .text   ascii   _wcsicmpPH
78   0x00000f01 0x00401d01 5   6    .text   ascii   rintf
79   0x00000f0e 0x00401d0e 8   9    .text   ascii   _vsnwpPH
80   0x00000f17 0x00401d17 6   7    .text   ascii   printf
81   0x00000f26 0x00401d26 6   7    .text   ascii   _vsnPH
82   0x00000f2f 0x00401d2f 8   9    .text   ascii   _unlocPH
83   0x00000f38 0x00401d38 6   7    .text   ascii   _ultoa
84   0x00000f43 0x00401d43 5   6    .text   ascii   ime64
85   0x00000f54 0x00401d54 4   5    .text   ascii   _tPH
86   0x00000f5f 0x00401d5f 4   5    .text   ascii   _lPH
87   0x00000f64 0x00401d64 10  11   .text   ascii   ocaltimePH
88   0x00000f75 0x00401d75 4   5    .text   ascii   _lPH
89   0x00000f7c 0x00401d7c 8   9    .text   ascii   _inittPH
90   0x00000f85 0x00401d85 6   7    .text   ascii   _errno
91   0x00000f90 0x00401d90 4   5    .text   ascii   me64
92   0x00000f9f 0x00401d9f 6   7    .text   ascii   _ctiPH
93   0x00000fa6 0x00401da6 10  11   .text   ascii   msg_exitPH
94   0x00000fb7 0x00401db7 4   5    .text   ascii   _aPH
95   0x00000fbc 0x00401dbc 10  11   .text   ascii   __iob_fuPH
96   0x00000fc7 0x00401dc7 4   5    .text   ascii   lenW
97   0x00000fd6 0x00401dd6 6   7    .text   ascii   lstrPH
98   0x00000fdd 0x00401ddd 10  11   .text   ascii   lstrcpyWPH
99   0x00000fe8 0x00401de8 4   5    .text   ascii   uery
100  0x00000ff3 0x00401df3 10  11   .text   ascii   VirtualQPH
101  0x00000ffe 0x00401dfe 4   5    .text   ascii   tect
102  0x00001009 0x00401e09 10  11   .text   ascii   rtualProPH
103  0x0000101a 0x00401e1a 4   5    .text   ascii   ViPH
104  0x0000101f 0x00401e1f 10  11   .text   ascii   tionFiltPH
105  0x0000102a 0x00401e2a 10  11   .text   ascii   ledExcepPH
106  0x00001037 0x00401e37 8   9    .text   ascii   UnhandPH
107  0x00001040 0x00401e40 7   8    .text   ascii   etValue
108  0x0000104f 0x00401e4f 6   7    .text   ascii   TlsGPH
109  0x00001056 0x00401e56 10  11   .text   ascii   eProcessPH
110  0x00001061 0x00401e61 10  11   .text   ascii   TerminatPH
111  0x0000106c 0x00401e6c 5   6    .text   ascii   Sleep
112  0x00001077 0x00401e77 5   6    .text   ascii   ilter
113  0x00001082 0x00401e82 10  11   .text   ascii   ceptionFPH
114  0x0000108d 0x00401e8d 10  11   .text   ascii   andledExPH
115  0x0000109a 0x00401e9a 8   9    .text   ascii   SetUnhPH
116  0x000010a3 0x00401ea3 6   7    .text   ascii   Unwind
117  0x000010ae 0x00401eae 10  11   .text   ascii   lVirtualPH
118  0x000010bf 0x00401ebf 4   5    .text   ascii   RtPH
119  0x000010c4 0x00401ec4 10  11   .text   ascii   ctionEntPH
120  0x000010cf 0x00401ecf 10  11   .text   ascii   ookupFunPH
121  0x000010de 0x00401ede 6   7    .text   ascii   RtlLPH
122  0x000010e5 0x00401ee5 10  11   .text   ascii   reContexPH
123  0x000010f0 0x00401ef0 10  11   .text   ascii   RtlCaptuPH
124  0x000010fb 0x00401efb 5   6    .text   ascii   Table
125  0x00001106 0x00401f06 10  11   .text   ascii   FunctionPH
126  0x00001113 0x00401f13 8   9    .text   ascii   RtlAddPH
127  0x0000111c 0x00401f1c 7   8    .text   ascii   Counter
128  0x00001127 0x00401f27 10  11   .text   ascii   formancePH
129  0x00001132 0x00401f32 10  11   .text   ascii   QueryPerPH
130  0x0000113d 0x00401f3d 5   6    .text   ascii   lFree
131  0x0000114c 0x00401f4c 6   7    .text   ascii   LocaPH
132  0x00001153 0x00401f53 10  11   .text   ascii   calAllocPH
133  0x00001164 0x00401f64 4   5    .text   ascii   LoPH
134  0x00001169 0x00401f69 10  11   .text   ascii   calSectiPH
135  0x00001174 0x00401f74 10  11   .text   ascii   aveCritiPH
136  0x00001185 0x00401f85 4   5    .text   ascii   LePH
137  0x0000118a 0x00401f8a 10  11   .text   ascii   icalSectPH
138  0x00001195 0x00401f95 10  11   .text   ascii   lizeCritPH
139  0x000011a2 0x00401fa2 8   9    .text   ascii   InitiaPH
140  0x000011ab 0x00401fab 7   8    .text   ascii   ReAlloc
141  0x000011ba 0x00401fba 6   7    .text   ascii   HeapPH
142  0x000011c1 0x00401fc1 10  11   .text   ascii   HeapFreePH
143  0x000011cc 0x00401fcc 5   6    .text   ascii   Alloc
144  0x000011db 0x00401fdb 6   7    .text   ascii   HeapPH
145  0x000011e2 0x00401fe2 10  11   .text   ascii   ickCountPH
146  0x000011f1 0x00401ff1 6   7    .text   ascii   GetTPH
147  0x000011f8 0x00401ff8 10  11   .text   ascii   sFileTimPH
148  0x00001203 0x00402003 10  11   .text   ascii   temTimeAPH
149  0x00001210 0x00402010 8   9    .text   ascii   GetSysPH
150  0x00001219 0x00402019 6   7    .text   ascii   ssHeap
151  0x00001224 0x00402024 10  11   .text   ascii   GetProcePH
152  0x0000122f 0x0040202f 4   5    .text   ascii   ress
153  0x0000123a 0x0040203a 10  11   .text   ascii   tProcAddPH
154  0x0000124b 0x0040204b 4   5    .text   ascii   GePH
