[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1424 0x00009cdb 0x0040aadb 4   9    .text   utf16le n: L
1425 0x00009ce6 0x0040aae6 4   9    .text   utf16le ssio
1426 0x00009cf1 0x0040aaf1 4   9    .text   utf16le ] Se
1427 0x00009cfc 0x0040aafc 4   9    .text   utf16le vent
1428 0x00009d07 0x0040ab07 4   9    .text   utf16le is-E
1429 0x00009d12 0x0040ab12 4   9    .text   utf16le Cris
1430 0x00009d28 0x0040ab28 4   9    .text   utf16le sume
1431 0x00009d33 0x0040ab33 4   9    .text   utf16le m Re
1432 0x00009d3e 0x0040ab3e 4   9    .text   utf16le yste
1433 0x00009d49 0x0040ab49 4   9    .text   utf16le t] S
1434 0x00009d54 0x0040ab54 4   9    .text   utf16le Even
1435 0x00009d5f 0x0040ab5f 4   9    .text   utf16le sis-
1436 0x00009d6a 0x0040ab6a 4   9    .text   utf16le [Cri
1437 0x00009d80 0x0040ab80 4   9    .text   utf16le pend
1438 0x00009d8b 0x0040ab8b 4   9    .text   utf16le  Sus
1439 0x00009d96 0x0040ab96 4   9    .text   utf16le stem
1440 0x00009da1 0x0040aba1 4   9    .text   utf16le ] Sy
1441 0x00009dac 0x0040abac 4   9    .text   utf16le vent
1442 0x00009db7 0x0040abb7 4   9    .text   utf16le is-E
1443 0x00009dc2 0x0040abc2 4   9    .text   utf16le Cris
1444 0x00009dd8 0x0040abd8 4   9    .text   utf16le %d %
1445 0x00009de3 0x0040abe3 4   9    .text   utf16le ng: 
1446 0x00009dee 0x0040abee 4   9    .text   utf16le aini
1447 0x00009df9 0x0040abf9 4   9    .text   utf16le  Rem
1448 0x00009e04 0x0040ac04 4   9    .text   utf16le tery
1449 0x00009e0f 0x0040ac0f 4   9    .text   utf16le  Bat
1450 0x00009e1a 0x0040ac1a 4   9    .text   utf16le ent]
1451 0x00009e25 0x0040ac25 4   9    .text   utf16le s-Ev
1452 0x00009e30 0x0040ac30 4   9    .text   utf16le risi
1453 0x00009e46 0x0040ac46 4   9    .text   utf16le  %ls
1454 0x00009e51 0x0040ac51 4   9    .text   utf16le wer:
1455 0x00009e5c 0x0040ac5c 4   9    .text   utf16le C Po
1456 0x00009e67 0x0040ac67 4   9    .text   utf16le t] A
1457 0x00009e72 0x0040ac72 4   9    .text   utf16le Even
1458 0x00009e7d 0x0040ac7d 4   9    .text   utf16le sis-
1459 0x00009e88 0x0040ac88 4   9    .text   utf16le [Cri
1460 0x00009e9e 0x0040ac9e 4   9    .text   utf16le tart
1461 0x00009ea9 0x0040aca9 4   9    .text   utf16le r: S
1462 0x00009eb4 0x0040acb4 4   9    .text   utf16le nito
1463 0x00009ebf 0x0040acbf 4   9    .text   utf16le s Mo
1464 0x00009eca 0x0040acca 4   9    .text   utf16le risi
1465 0x00009ed5 0x0040acd5 4   9    .text   utf16le +] C
1466 0x00009ef6 0x0040acf6 4   9    .text   utf16le unni
1467 0x00009f01 0x0040ad01 4   9    .text   utf16le dy R
1468 0x00009f0c 0x0040ad0c 4   9    .text   utf16le lrea
1469 0x00009f17 0x0040ad17 4   9    .text   utf16le r: A
1470 0x00009f22 0x0040ad22 4   9    .text   utf16le nito
1471 0x00009f2d 0x0040ad2d 4   9    .text   utf16le s Mo
1472 0x00009f38 0x0040ad38 4   9    .text   utf16le risi
1473 0x00009f43 0x0040ad43 4   9    .text   utf16le +] C
1474 0x00009f64 0x0040ad64 4   9    .text   utf16le cted
1475 0x00009f6f 0x0040ad6f 4   9    .text   utf16le onne
1476 0x00009f85 0x0040ad85 4   9    .text   utf16le nect
1477 0x00009f90 0x0040ad90 4   9    .text   utf16le scon
1478 0x00009fac 0x0040adac 4   5    .text   ascii   prPH
1479 0x00009fb1 0x0040adb1 4   9    .text   utf16le lete
1480 0x00009fbc 0x0040adbc 4   9    .text   utf16le comp
1481 0x00009fc7 0x0040adc7 4   9    .text   utf16le can 
1482 0x00009fd2 0x0040add2 4   9    .text   utf16le orts
1483 0x00009fe8 0x0040ade8 4   9    .text   utf16le ted]
1484 0x00009ff3 0x0040adf3 4   9    .text   utf16le star
1485 0x00009ffe 0x0040adfe 4   9    .text   utf16le  %S 
1486 0x0000a009 0x0040ae09 4   9    .text   utf16le n =>
1487 0x0000a014 0x0040ae14 4   9    .text   utf16le tsca
1488 0x0000a01f 0x0040ae1f 4   9    .text   utf16le [Por
1489 0x0000a035 0x0040ae35 4   9    .text   utf16le : %l
1490 0x0000a040 0x0040ae40 4   9    .text   utf16le able
1491 0x0000a04b 0x0040ae4b 4   9    .text   utf16le ecut
1492 0x0000a056 0x0040ae56 4   9    .text   utf16le ] Ex
1493 0x0000a061 0x0040ae61 4   9    .text   utf16le s\n[+
1494 0x0000a06c 0x0040ae6c 4   9    .text   utf16le s\%l
1495 0x0000a077 0x0040ae77 4   9    .text   utf16le : %l
1496 0x0000a082 0x0040ae82 4   9    .text   utf16le User
1497 0x0000a08d 0x0040ae8d 4   9    .text   utf16le [+] 
1498 0x0000a098 0x0040ae98 4   9    .text   utf16le %lu\n
1499 0x0000a0a3 0x0040aea3 4   9    .text   utf16le ID: 
1500 0x0000a0ae 0x0040aeae 4   9    .text   utf16le +] P
1501 0x0000a0b9 0x0040aeb9 4   9    .text   utf16le lu\n[
1502 0x0000a0c4 0x0040aec4 4   9    .text   utf16le D: %
1503 0x0000a0cf 0x0040aecf 4   9    .text   utf16le  PPI
1504 0x0000a0da 0x0040aeda 4   9    .text   utf16le s[+]
1505 0x0000a0eb 0x0040aeeb 4   5    .text   ascii   %lPH
1506 0x0000a0f0 0x0040aef0 4   9    .text   utf16le : %l
1507 0x0000a0fb 0x0040aefb 4   9    .text   utf16le ored
1508 0x0000a106 0x0040af06 4   9    .text   utf16le rest
1509 0x0000a111 0x0040af11 4   9    .text   utf16le ath 
1510 0x0000a11c 0x0040af1c 4   9    .text   utf16le ce p
1511 0x0000a127 0x0040af27 4   9    .text   utf16le ervi
1512 0x0000a132 0x0040af32 4   9    .text   utf16le ld s
1513 0x0000a13d 0x0040af3d 4   9    .text   utf16le +] O
1514 0x0000a153 0x0040af53 4   9    .text   utf16le : %l
1515 0x0000a15e 0x0040af5e 4   9    .text   utf16le ated
1516 0x0000a169 0x0040af69 4   9    .text   utf16le  upd
1517 0x0000a174 0x0040af74 4   9    .text   utf16le path
1518 0x0000a17f 0x0040af7f 4   9    .text   utf16le ice 
1519 0x0000a18a 0x0040af8a 4   9    .text   utf16le Serv
1520 0x0000a195 0x0040af95 4   9    .text   utf16le [+] 
1521 0x0000a1ab 0x0040afab 4   9    .text   utf16le h: %
1522 0x0000a1b6 0x0040afb6 4   9    .text   utf16le  pat
1523 0x0000a1c1 0x0040afc1 4   9    .text   utf16le nary
1524 0x0000a1cc 0x0040afcc 4   9    .text   utf16le e bi
1525 0x0000a1d7 0x0040afd7 4   9    .text   utf16le rvic
1526 0x0000a1e2 0x0040afe2 4   9    .text   utf16le l se
1527 0x0000a1ed 0x0040afed 4   9    .text   utf16le gina
1528 0x0000a1f8 0x0040aff8 4   9    .text   utf16le  Ori
1529 0x0000a20e 0x0040b00e 4   9    .text   utf16le ted\n
1530 0x0000a219 0x0040b019 4   9    .text   utf16le dele
1531 0x0000a224 0x0040b024 4   9    .text   utf16le ice 
1532 0x0000a22f 0x0040b02f 4   9    .text   utf16le Serv
1533 0x0000a23a 0x0040b03a 4   9    .text   utf16le [+] 
1534 0x0000a245 0x0040b045 7   8    .text   ascii   calhost
1535 0x0000a256 0x0040b056 4   5    .text   ascii   loPH
1536 0x0000a25b 0x0040b05b 4   9    .text   utf16le arte
1537 0x0000a266 0x0040b066 4   9    .text   utf16le e st
1538 0x0000a271 0x0040b071 4   9    .text   utf16le rvic
1539 0x0000a27c 0x0040b07c 4   9    .text   utf16le ] Se
1540 0x0000a292 0x0040b092 4   9    .text   utf16le  %ls
1541 0x0000a29d 0x0040b09d 4   9    .text   utf16le ted:
1542 0x0000a2a8 0x0040b0a8 4   9    .text   utf16le crea
1543 0x0000a2b3 0x0040b0b3 4   9    .text   utf16le ice 
1544 0x0000a2be 0x0040b0be 4   9    .text   utf16le Serv
1545 0x0000a2c9 0x0040b0c9 4   9    .text   utf16le [+] 
1546 0x0000a2d4 0x0040b0d4 6   7    .text   ascii   Active
1547 0x0000a2df 0x0040b0df 10  11   .text   ascii   ServicesPH
1548 0x0000a2f5 0x0040b0f5 4   9    .text   utf16le S) %
1549 0x0000a300 0x0040b100 4   9    .text   utf16le : (%
1550 0x0000a30b 0x0040b10b 4   9    .text   utf16le aded
1551 0x0000a316 0x0040b116 4   9    .text   utf16le uplo
1552 0x0000a321 0x0040b121 4   9    .text   utf16le ice 
1553 0x0000a32c 0x0040b12c 4   9    .text   utf16le Serv
1554 0x0000a337 0x0040b137 4   9    .text   utf16le [+] 
1555 0x0000a34d 0x0040b14d 4   9    .text   utf16le %ls.
1556 0x0000a358 0x0040b158 4   9    .text   utf16le ows\
1557 0x0000a363 0x0040b163 4   9    .text   utf16le Wind
1558 0x0000a379 0x0040b179 4   9    .text   utf16le  %S\n
1559 0x0000a384 0x0040b184 4   9    .text   utf16le pped
1560 0x0000a38f 0x0040b18f 4   9    .text   utf16le  sto
1561 0x0000a39a 0x0040b19a 4   9    .text   utf16le ener
1562 0x0000a3a5 0x0040b1a5 4   9    .text   utf16le list
1563 0x0000a3b0 0x0040b1b0 4   9    .text   utf16le TCP 
1564 0x0000a3bb 0x0040b1bb 4   9    .text   utf16le [-] 
1565 0x0000a3d1 0x0040b1d1 4   9    .text   utf16le ted 
1566 0x0000a3dc 0x0040b1dc 4   9    .text   utf16le star
1567 0x0000a3e7 0x0040b1e7 4   9    .text   utf16le ner 
1568 0x0000a3f2 0x0040b1f2 4   9    .text   utf16le iste
1569 0x0000a3fd 0x0040b1fd 4   9    .text   utf16le CP l
1570 0x0000a408 0x0040b208 4   9    .text   utf16le +] T
1571 0x0000a41e 0x0040b21e 4   9    .text   utf16le  %S\n
1572 0x0000a429 0x0040b229 4   9    .text   utf16le ner:
1573 0x0000a434 0x0040b234 4   9    .text   utf16le iste
1574 0x0000a43f 0x0040b23f 4   9    .text   utf16le te l
1575 0x0000a44a 0x0040b24a 4   9    .text   utf16le lica
1576 0x0000a455 0x0040b255 4   9    .text   utf16le  Dup
1577 0x0000a460 0x0040b260 4   9    .text   utf16le s[-]
1578 0x0000a471 0x0040b271 4   5    .text   ascii   :%PH
1579 0x0000a476 0x0040b276 4   9    .text   utf16le : %l
1580 0x0000a481 0x0040b281 4   9    .text   utf16le d to
1581 0x0000a48c 0x0040b28c 4   9    .text   utf16le ecte
1582 0x0000a497 0x0040b297 4   9    .text   utf16le  Inj
1583 0x0000a4ad 0x0040b2ad 4   9    .text   utf16le ged\n
1584 0x0000a4b8 0x0040b2b8 4   9    .text   utf16le chan
1585 0x0000a4c3 0x0040b2c3 4   9    .text   utf16le per 
1586 0x0000a4ce 0x0040b2ce 4   9    .text   utf16le llpa
1587 0x0000a4d9 0x0040b2d9 4   9    .text   utf16le ] Wa
1588 0x0000a4f3 0x0040b2f3 6   7    .text   ascii   %s%lPH
1589 0x0000a4fa 0x0040b2fa 4   9    .text   utf16le tes)
1590 0x0000a505 0x0040b305 4   9    .text   utf16le u by
1591 0x0000a510 0x0040b310 4   9    .text   utf16le  (%l
1592 0x0000a51b 0x0040b31b 4   9    .text   utf16le : %S
1593 0x0000a526 0x0040b326 4   9    .text   utf16le aded
1594 0x0000a531 0x0040b331 4   9    .text   utf16le uplo
1595 0x0000a53c 0x0040b33c 4   9    .text   utf16le ile 
1596 0x0000a547 0x0040b347 4   9    .text   utf16le +] F
1597 0x0000a55d 0x0040b35d 4   9    .text   utf16le byte
1598 0x0000a568 0x0040b368 4   9    .text   utf16le  %d 
1599 0x0000a573 0x0040b373 4   9    .text   utf16le rted
1600 0x0000a57e 0x0040b37e 4   9    .text   utf16le Impo
1601 0x0000a589 0x0040b389 4   9    .text   utf16le [+] 
1602 0x0000a59f 0x0040b39f 4   9    .text   utf16le ce N
1603 0x0000a5aa 0x0040b3aa 4   9    .text   utf16le ervi
1604 0x0000a5c0 0x0040b3c0 4   9    .text   utf16le ipti
1605 0x0000a5cb 0x0040b3cb 4   9    .text   utf16le escr
1606 0x0000a5d6 0x0040b3d6 4   9    .text   utf16le ce D
1607 0x0000a5e1 0x0040b3e1 4   9    .text   utf16le ervi
1608 0x0000a5f7 0x0040b3f7 4   9    .text   utf16le (%lu
1609 0x0000a602 0x0040b402 4   9    .text   utf16le ror 
1610 0x0000a60d 0x0040b40d 4   9    .text   utf16le : Er
1611 0x0000a618 0x0040b418 4   9    .text   utf16le 0ls 
1612 0x0000a623 0x0040b423 4   9    .text   utf16le  %-2
1613 0x0000a639 0x0040b439 4   9    .text   utf16le type
1614 0x0000a644 0x0040b444 4   9    .text   utf16le  Sub
1615 0x0000a64f 0x0040b44f 4   9    .text   utf16le gger
1616 0x0000a665 0x0040b465 4   9    .text   utf16le %lu\n
1617 0x0000a67b 0x0040b47b 4   9    .text   utf16le DPOI
1618 0x0000a686 0x0040b486 4   9    .text   utf16le K_EN
1619 0x0000a691 0x0040b491 4   9    .text   utf16le TWOR
1620 0x0000a6a7 0x0040b4a7 4   9    .text   utf16le LICY
1621 0x0000a6b2 0x0040b4b2 4   9    .text   utf16le P_PO
1622 0x0000a6bd 0x0040b4bd 4   9    .text   utf16le GROU
1623 0x0000a6d3 0x0040b4d3 4   9    .text   utf16le _EVE
1624 0x0000a6de 0x0040b4de 4   9    .text   utf16le PORT
1625 0x0000a6e9 0x0040b4e9 4   9    .text   utf16le ALL_
1626 0x0000a6f4 0x0040b4f4 4   9    .text   utf16le IREW
1627 0x0000a70a 0x0040b50a 4   9    .text   utf16le _JOI
1628 0x0000a715 0x0040b515 4   9    .text   utf16le MAIN
1629 0x0000a72b 0x0040b52b 4   9    .text   utf16le LITY
1630 0x0000a736 0x0040b536 4   9    .text   utf16le LABI
1631 0x0000a741 0x0040b541 4   9    .text   utf16le AVAI
1632 0x0000a74c 0x0040b54c 4   9    .text   utf16le ESS_
1633 0x0000a757 0x0040b557 4   9    .text   utf16le ADDR
1634 0x0000a76d 0x0040b56d 4   9    .text   utf16le VAL\n
1635 0x0000a778 0x0040b578 4   9    .text   utf16le ARRI
1636 0x0000a783 0x0040b583 4   9    .text   utf16le ACE_
1637 0x0000a78e 0x0040b58e 4   9    .text   utf16le TERF
1638 0x0000a799 0x0040b599 4   9    .text   utf16le E_IN
1639 0x0000a7a4 0x0040b5a4 4   9    .text   utf16le EVIC
1640 0x0000a7ba 0x0040b5ba 4   9    .text   utf16le USTO
1641 0x0000a7d0 0x0040b5d0 4   9    .text   utf16le r Ty
1642 0x0000a7db 0x0040b5db 4   9    .text   utf16le igge
1643 0x0000a7f1 0x0040b5f1 4   9    .text   utf16le nown
1644 0x0000a807 0x0040b607 4   9    .text   utf16le ice\n
1645 0x0000a812 0x0040b612 4   9    .text   utf16le Serv
1646 0x0000a81d 0x0040b61d 4   9    .text   utf16le top 
1647 0x0000a833 0x0040b633 4   9    .text   utf16le rvic
1648 0x0000a83e 0x0040b63e 4   9    .text   utf16le t Se
1649 0x0000a849 0x0040b649 4   9    .text   utf16le Star
1650 0x0000a85f 0x0040b65f 4   9    .text   utf16le 20ls
1651 0x0000a86a 0x0040b66a 4   9    .text   utf16le - %-
1652 0x0000a880 0x0040b680 4   9    .text   utf16le ctio
1653 0x0000a88b 0x0040b68b 4   9    .text   utf16le er A
1654 0x0000a896 0x0040b696 4   9    .text   utf16le rigg
1655 0x0000a8ac 0x0040b6ac 4   9    .text   utf16le  : N
1656 0x0000a8b7 0x0040b6b7 4   9    .text   utf16le 20ls
1657 0x0000a8c2 0x0040b6c2 4   9    .text   utf16le - %-
1658 0x0000a8d8 0x0040b6d8 4   9    .text   utf16le igge
1659 0x0000a8e3 0x0040b6e3 4   9    .text   utf16le e Tr
1660 0x0000a8ee 0x0040b6ee 4   9    .text   utf16le rvic
1661 0x0000a904 0x0040b704 4   9    .text   utf16le  Typ
1662 0x0000a90f 0x0040b70f 4   9    .text   utf16le vice
1663 0x0000a925 0x0040b725 4   9    .text   utf16le User
1664 0x0000a930 0x0040b730 4   9    .text   utf16le ice 
1665 0x0000a93b 0x0040b73b 4   9    .text   utf16le Serv
1666 0x0000a951 0x0040b751 4   9    .text   utf16le ce P
1667 0x0000a95c 0x0040b75c 4   9    .text   utf16le ervi
1668 0x0000a972 0x0040b772 4   9    .text   utf16le : %l
1669 0x0000a97d 0x0040b77d 4   9    .text   utf16le 0ls 
1670 0x0000a988 0x0040b788 4   9    .text   utf16le  %-2
1671 0x0000a99e 0x0040b79e 4   9    .text   utf16le %ls\n
1672 0x0000a9a9 0x0040b7a9 4   9    .text   utf16le s : 
1673 0x0000a9b4 0x0040b7b4 4   9    .text   utf16le -20l
1674 0x0000a9bf 0x0040b7bf 4   9    .text   utf16le  - %
1675 0x0000a9d5 0x0040b7d5 4   9    .text   utf16le  Sta
1676 0x0000a9e0 0x0040b7e0 4   9    .text   utf16le vice
1677 0x0000a9f6 0x0040b7f6 4   9    .text   utf16le %ls\n
1678 0x0000aa01 0x0040b801 4   9    .text   utf16le s : 
1679 0x0000aa0c 0x0040b80c 4   9    .text   utf16le -20l
1680 0x0000aa17 0x0040b817 4   9    .text   utf16le +] %
1681 0x0000aa2d 0x0040b82d 4   9    .text   utf16le y Na
1682 0x0000aa38 0x0040b838 4   9    .text   utf16le spla
1683 0x0000aa54 0x0040b854 4   5    .text   ascii   fuPH
1684 0x0000aa59 0x0040b859 4   9    .text   utf16le AILE
1685 0x0000aab1 0x0040b8b1 4   9    .text   utf16le x%x\n
1686 0x0000aac7 0x0040b8c7 4   9    .text   utf16le : %l
1687 0x0000aad2 0x0040b8d2 4   9    .text   utf16le rror
1688 0x0000aae8 0x0040b8e8 4   9    .text   utf16le 02x 
1689 0x0000aafe 0x0040b8fe 4   9    .text   utf16le %-40
1690 0x0000ab09 0x0040b909 4   9    .text   utf16le   - 
1691 0x0000ab1f 0x0040b91f 4   9    .text   utf16le s: %
1692 0x0000ab2a 0x0040b92a 4   9    .text   utf16le alue
1693 0x0000ab35 0x0040b935 4   9    .text   utf16le +] V
1694 0x0000ab4b 0x0040b94b 4   9    .text   utf16le \%ls
1695 0x0000ab56 0x0040b956 4   9    .text   utf16le - %S
1696 0x0000ab6c 0x0040b96c 4   9    .text   utf16le  %lu
1697 0x0000ab77 0x0040b977 4   9    .text   utf16le eys:
1698 0x0000ab82 0x0040b982 4   9    .text   utf16le Subk
1699 0x0000ab8d 0x0040b98d 4   9    .text   utf16le [+] 
1700 0x0000aba3 0x0040b9a3 4   9    .text   utf16le  '%l
1701 0x0000abae 0x0040b9ae 4   9    .text   utf16le ated
1702 0x0000abb9 0x0040b9b9 4   9    .text   utf16le rson
1703 0x0000abc4 0x0040b9c4 4   9    .text   utf16le Impe
1704 0x0000abcf 0x0040b9cf 4   9    .text   utf16le [+] 
1705 0x0000abe5 0x0040b9e5 4   9    .text   utf16le D: %
1706 0x0000abf0 0x0040b9f0 4   9    .text   utf16le ] PI
1707 0x0000ac06 0x0040ba06 4   9    .text   utf16le s.ex
1708 0x0000ac11 0x0040ba11 4   9    .text   utf16le lsas
1709 0x0000ac27 0x0040ba27 4   9    .text   utf16le gon.
1710 0x0000ac32 0x0040ba32 4   9    .text   utf16le inlo
1711 0x0000ac48 0x0040ba48 4   9    .text   utf16le UI.e
1712 0x0000ac53 0x0040ba53 4   9    .text   utf16le ogon
1713 0x0000ac5e 0x0040ba5e 4   5    .text   ascii   %s%s
1714 0x0000ac74 0x0040ba74 4   9    .text   utf16le ot s
1715 0x0000ac7f 0x0040ba7f 4   9    .text   utf16le ss n
1716 0x0000ac8a 0x0040ba8a 4   9    .text   utf16le roce
1717 0x0000ac95 0x0040ba95 4   9    .text   utf16le ld p
1718 0x0000aca0 0x0040baa0 4   9    .text   utf16le  Chi
1719 0x0000acc1 0x0040bac1 4   9    .text   utf16le %ls\n
1720 0x0000accc 0x0040bacc 4   9    .text   utf16le N/A,
1721 0x0000acd7 0x0040bad7 4   9    .text   utf16le ,%d,
1722 0x0000aced 0x0040baed 4   9    .text   utf16le  %ls
1723 0x0000acf8 0x0040baf8 4   9    .text   utf16le s \t|
1724 0x0000ad03 0x0040bb03 4   9    .text   utf16le -30l
1725 0x0000ad0e 0x0040bb0e 4   9    .text   utf16le  | %
1726 0x0000ad19 0x0040bb19 4   9    .text   utf16le %-8d
1727 0x0000ad24 0x0040bb24 4   9    .text   utf16le d | 
1728 0x0000ad3a 0x0040bb3a 4   9    .text   utf16le %ls\n
1729 0x0000ad45 0x0040bb45 4   9    .text   utf16le %ls,
1730 0x0000ad50 0x0040bb50 4   9    .text   utf16le ,%d,
1731 0x0000ad66 0x0040bb66 4   9    .text   utf16le ree]
1732 0x0000ad71 0x0040bb71 4   9    .text   utf16le [pst
1733 0x0000ad92 0x0040bb92 4   9    .text   utf16le in\U
1734 0x0000ad9d 0x0040bb9d 4   9    .text   utf16le Doma
1735 0x0000adb3 0x0040bbb3 4   9    .text   utf16le le P
1736 0x0000adc9 0x0040bbc9 4   9    .text   utf16le s\n%l
1737 0x0000add4 0x0040bbd4 4   9    .text   utf16le | %l
1738 0x0000addf 0x0040bbdf 4   9    .text   utf16le ls \t
1739 0x0000adea 0x0040bbea 4   9    .text   utf16le %-30
1740 0x0000adf5 0x0040bbf5 4   9    .text   utf16le s | 
1741 0x0000ae00 0x0040bc00 4   9    .text   utf16le %-8l
1742 0x0000ae0b 0x0040bc0b 4   9    .text   utf16le s | 
1743 0x0000ae16 0x0040bc16 4   9    .text   utf16le %-8l
1744 0x0000ae2c 0x0040bc2c 4   9    .text   utf16le PPID
1745 0x0000ae42 0x0040bc42 4   9    .text   utf16le d: %
1746 0x0000ae4d 0x0040bc4d 4   9    .text   utf16le ille
1747 0x0000ae58 0x0040bc58 4   9    .text   utf16le ss K
1748 0x0000ae63 0x0040bc63 4   9    .text   utf16le roce
1749 0x0000ae6e 0x0040bc6e 4   9    .text   utf16le +] P
1750 0x0000ae84 0x0040bc84 4   9    .text   utf16le S\%S
1751 0x0000ae8f 0x0040bc8f 4   9    .text   utf16le : '%
1752 0x0000ae9a 0x0040bc9a 4   9    .text   utf16le ated
1753 0x0000aea5 0x0040bca5 4   9    .text   utf16le rson
1754 0x0000aeb0 0x0040bcb0 4   9    .text   utf16le Impe
1755 0x0000aebb 0x0040bcbb 4   9    .text   utf16le [+] 
1756 0x0000aed1 0x0040bcd1 4   9    .text   utf16le ID: 
1757 0x0000aedc 0x0040bcdc 4   9    .text   utf16le +] P
1758 0x0000aef2 0x0040bcf2 4   9    .text   utf16le > %l
1759 0x0000aefd 0x0040bcfd 4   9    .text   utf16le FILE
1760 0x0000af08 0x0040bd08 4   9    .text   utf16le lu <
1761 0x0000af13 0x0040bd13 4   9    .text   utf16le r: %
1762 0x0000af1e 0x0040bd1e 4   9    .text   utf16le Erro
1763 0x0000af34 0x0040bd34 4   9    .text   utf16le  byt
1764 0x0000af3f 0x0040bd3f 4   9    .text   utf16le %lld
1765 0x0000af4a 0x0040bd4a 4   9    .text   utf16le %ls 
1766 0x0000af55 0x0040bd55 4   9    .text   utf16le LE> 
1767 0x0000af60 0x0040bd60 4   9    .text   utf16le  <FI
1768 0x0000af6b 0x0040bd6b 4   9    .text   utf16le %02d
1769 0x0000af76 0x0040bd76 4   9    .text   utf16le 02d:
1770 0x0000af81 0x0040bd81 4   9    .text   utf16le %d %
1771 0x0000af8c 0x0040bd8c 4   9    .text   utf16le 02d-
1772 0x0000af97 0x0040bd97 4   9    .text   utf16le 2d-%
1773 0x0000afad 0x0040bdad 4   9    .text   utf16le  %ls
1774 0x0000afb8 0x0040bdb8 4   9    .text   utf16le DIR>
1775 0x0000afc3 0x0040bdc3 4   9    .text   utf16le lu <
1776 0x0000afce 0x0040bdce 4   9    .text   utf16le r: %
1777 0x0000afd9 0x0040bdd9 4   9    .text   utf16le Erro
1778 0x0000afef 0x0040bdef 4   9    .text   utf16le >  %
1779 0x0000affa 0x0040bdfa 4   9    .text   utf16le <DIR
1780 0x0000b005 0x0040be05 4   9    .text   utf16le 02d 
1781 0x0000b010 0x0040be10 4   9    .text   utf16le 2d:%
1782 0x0000b01b 0x0040be1b 4   9    .text   utf16le d %0
1783 0x0000b026 0x0040be26 4   9    .text   utf16le 2d-%
1784 0x0000b031 0x0040be31 4   9    .text   utf16le d-%0
1785 0x0000b047 0x0040be47 4   9    .text   utf16le \%ls
1786 0x0000b05d 0x0040be5d 4   9    .text   utf16le ls\n\n
1787 0x0000b068 0x0040be68 4   9    .text   utf16le ng %
1788 0x0000b073 0x0040be73 4   9    .text   utf16le isti
1789 0x0000b07e 0x0040be7e 4   9    .text   utf16le +] l
1790 0x0000b0aa 0x0040beaa 4   9    .text   utf16le move
1791 0x0000b0b5 0x0040beb5 4   9    .text   utf16le y Re
1792 0x0000b0c0 0x0040bec0 4   9    .text   utf16le ctor
1793 0x0000b0cb 0x0040becb 4   9    .text   utf16le Dire
1794 0x0000b0d6 0x0040bed6 4   9    .text   utf16le [+] 
1795 0x0000b0ec 0x0040beec 4   9    .text   utf16le reat
1796 0x0000b0f7 0x0040bef7 4   9    .text   utf16le ry C
1797 0x0000b102 0x0040bf02 4   9    .text   utf16le ecto
1798 0x0000b10d 0x0040bf0d 4   9    .text   utf16le  Dir
1799 0x0000b123 0x0040bf23 4   9    .text   utf16le ted\n
1800 0x0000b12e 0x0040bf2e 4   9    .text   utf16le Dele
1801 0x0000b139 0x0040bf39 4   9    .text   utf16le ile 
1802 0x0000b144 0x0040bf44 4   9    .text   utf16le +] F
1803 0x0000b15a 0x0040bf5a 4   9    .text   utf16le Move
1804 0x0000b165 0x0040bf65 4   9    .text   utf16le ile 
1805 0x0000b170 0x0040bf70 4   9    .text   utf16le +] F
1806 0x0000b186 0x0040bf86 4   9    .text   utf16le opie
1807 0x0000b191 0x0040bf91 4   9    .text   utf16le le C
1808 0x0000b19c 0x0040bf9c 4   9    .text   utf16le ] Fi
1809 0x0000b1b2 0x0040bfb2 4   9    .text   utf16le nged
1810 0x0000b1bd 0x0040bfbd 4   9    .text   utf16le  cha
1811 0x0000b1c8 0x0040bfc8 4   9    .text   utf16le tory
1812 0x0000b1d3 0x0040bfd3 4   9    .text   utf16le irec
1813 0x0000b1de 0x0040bfde 4   9    .text   utf16le +] D
1814 0x0000b1f4 0x0040bff4 4   9    .text   utf16le %d:%
1815 0x0000b1ff 0x0040bfff 4   9    .text   utf16le is: 
1816 0x0000b20a 0x0040c00a 4   9    .text   utf16le Stas
1817 0x0000b215 0x0040c015 4   9    .text   utf16le [+] 
1818 0x0000b22b 0x0040c02b 4   9    .text   utf16le %S]\n
1819 0x0000b236 0x0040c036 4   9    .text   utf16le <>-[
1820 0x0000b241 0x0040c041 4   9    .text   utf16le -<>-
1821 0x0000b24c 0x0040c04c 4   9    .text   utf16le ] %S
1822 0x0000b26d 0x0040c06d 4   9    .text   utf16le ---+
1823 0x0000b278 0x0040c078 4   9    .text   utf16le ----
1824 0x0000b283 0x0040c083 4   9    .text   utf16le ----
1825 0x0000b28e 0x0040c08e 4   9    .text   utf16le ----
1826 0x0000b299 0x0040c099 4   9    .text   utf16le ----
1827 0x0000b2a4 0x0040c0a4 4   9    .text   utf16le ----
1828 0x0000b2af 0x0040c0af 4   9    .text   utf16le ----
1829 0x0000b2ba 0x0040c0ba 4   9    .text   utf16le ----
1830 0x0000b2c5 0x0040c0c5 4   9    .text   utf16le ----
1831 0x0000b2d0 0x0040c0d0 4   9    .text   utf16le ----
1832 0x0000b2db 0x0040c0db 4   9    .text   utf16le ----
