Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
76   0x00002363 0x00402f63 5   7    .text   utf8    F3\t54
77   0x000023c5 0x00402fc5 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
78   0x000024b5 0x004030b5 4   6    .text   utf8    t\r+ъ blocks=Basic Latin,Cyrillic
79   0x00002536 0x00403136 4   5    .text   ascii   u\aAB
80   0x0000254d 0x0040314d 4   5    .text   ascii   QSVW
81   0x0000264b 0x0040324b 4   6    .text   utf8    ދ}\fO blocks=Thaana,Basic Latin
82   0x000026d4 0x004032d4 4   5    .text   ascii   Wj S
83   0x00002744 0x00403344 4   5    .text   ascii   Pj0S
84   0x00002768 0x00403368 5   8    .text   utf8    Wj S菵 blocks=Basic Latin,CJK Unified Ideographs
85   0x00002788 0x00403388 6   8    .text   utf8     SV3ۉU blocks=Basic Latin,Arabic
86   0x0000281c 0x0040341c 4   5    .text   ascii   Wj V
87   0x00002838 0x00403438 4   5    .text   ascii   $SVW
88   0x00002842 0x00403442 4   5    .text   ascii   - 6B
89   0x0000286f 0x0040346f 5   6    .text   ascii   LjdX;
90   0x000028b6 0x004034b6 4   6    .text   utf8    D=܋E blocks=Basic Latin,Syriac
91   0x00002908 0x00403508 4   5    .text   ascii   Sj V
92   0x00002b7c 0x0040377c 6   7    .text   ascii   84~%S3
93   0x00002b96 0x00403796 5   7    .text   utf8    \n*Ȉ\nJ blocks=Basic Latin,Latin Extended-B
94   0x00002bbd 0x004037bd 4   5    .text   ascii   ]\fVW
95   0x00002c04 0x00403804 5   7    .text   utf8    Mܺp6B blocks=Basic Latin,Syriac
96   0x00002c25 0x00403825 4   5    .text   ascii   j\tYj
97   0x00002c86 0x00403886 4   5    .text   ascii   \aGAF
98   0x00002cbf 0x004038bf 4   7    .text   utf8    GȉM؊ blocks=Basic Latin,Latin Extended-B,Arabic
99   0x00002cca 0x004038ca 4   5    .text   ascii   F<Eu
100  0x00002ce5 0x004038e5 5   6    .text   ascii   \a0G@;
101  0x00002d56 0x00403956 4   5    .text   ascii   \a<.t
102  0x00002d9b 0x0040399b 6   7    .text   ascii   u.j\tYj
103  0x00002dcd 0x004039cd 4   5    .text   ascii   y\aQQ
104  0x00002eaf 0x00403aaf 4   5    .text   ascii    je[
105  0x00002eb5 0x00403ab5 5   6    .text   ascii   gu=QQ
106  0x00003003 0x00403c03 4   5    .text   ascii   Wj0V
107  0x00003015 0x00403c15 4   6    .text   utf8    tF+ވ blocks=Basic Latin,Thaana
108  0x0000304f 0x00403c4f 5   8    .text   utf8    Wj0V訬 blocks=Basic Latin,CJK Unified Ideographs
109  0x00003078 0x00403c78 11  12   .text   ascii   <.t5<et\n<Et
110  0x000030b4 0x00403cb4 5   6    .text   ascii   <.t\aA
111  0x000030c7 0x00403cc7 10  11   .text   ascii   \t<et\v<Et\aA
112  0x000031a5 0x00403da5 5   6    .text   ascii   {\fgu\f
113  0x00003244 0x00403e44 5   8    .text   utf8    Wj P質 blocks=Basic Latin,CJK Unified Ideographs
114  0x0000328d 0x00403e8d 6   8    .text   utf8    3ĉD$ S blocks=Basic Latin,Latin Extended-A
115  0x000032a6 0x00403ea6 5   7    .text   utf8    3\tD$\f
116  0x0000334f 0x00403f4f 6   7    .text   ascii   L$ uDB
117  0x00003375 0x00403f75 4   6    .text   utf8    ȉD$  blocks=Latin Extended-B,Basic Latin
118  0x00003392 0x00403f92 5   7    .text   utf8    3ɉL$  blocks=Basic Latin,Latin Extended-B
119  0x0000339f 0x00403f9f 7   8    .text   ascii   <ht\b<lt
120  0x000033a7 0x00403fa7 4   5    .text   ascii   <Lu\f
121  0x000033c1 0x00403fc1 4   5    .text   ascii   D$$\n
122  0x000033fd 0x00403ffd 4   5    .text   ascii   \ttuH
123  0x00003428 0x00404028 4   5    .text   ascii   Vj W
124  0x0000344d 0x0040404d 5   8    .text   utf8    Vj W誨 blocks=Basic Latin,CJK Unified Ideographs
125  0x0000347f 0x0040407f 7   8    .text   ascii   |$(lPQV
126  0x000034b7 0x004040b7 4   5    .text   ascii   t$(Q
127  0x00003566 0x00404166 8   10   .text   utf8    D$(+ȋD$\f blocks=Basic Latin,Latin Extended-B
128  0x0000357d 0x0040417d 4   5    .text   ascii   Vj W
129  0x00003592 0x00404192 4   5    .text   ascii   \f)t$
130  0x000035a0 0x004041a0 4   5    .text   ascii   )|$(
131  0x000035a5 0x004041a5 4   6    .text   utf8    ыL$( blocks=Cyrillic,Basic Latin
132  0x000035dc 0x004041dc 4   5    .text   ascii   PQVj
133  0x000035e4 0x004041e4 4   5    .text   ascii   D$$\b
134  0x00003656 0x00404256 4   5    .text   ascii   _^[3
135  0x000036a0 0x004042a0 4   6    .text   utf8    Ȉ\f>F blocks=Latin Extended-B,Basic Latin
136  0x000036b2 0x004042b2 4   5    .text   ascii   hpJB
137  0x000036c0 0x004042c0 5   7    .text   utf8    }\f3ۉ] blocks=Basic Latin,Arabic
138  0x000036ea 0x004042ea 5   6    .text   ascii   PWSSV
139  0x00003801 0x00404401 4   5    .text   ascii   @PSj
140  0x000038ad 0x004044ad 4   5    .text   ascii   \tt\vf
141  0x0000391f 0x0040451f 5   6    .text   ascii   \u\rH;
142  0x00003930 0x00404530 4   5    .text   ascii   D$\bP
143  0x00003bd4 0x004047d4 4   5    .text   ascii   jD^V
144  0x00003c05 0x00404805 7   8    .text   ascii   PSSSSSS
145  0x00003d2e 0x0040492e 5   6    .text   ascii   Sh\b|B
146  0x00003dac 0x004049ac 6   8    .text   utf8    UFVeƅ< blocks=Basic Latin,Latin Extended-B
147  0x00003dc0 0x004049c0 4   5    .text   ascii   hjhB
148  0x00003e50 0x00404a50 6   8    .text   utf8    UFVeƅ< blocks=Basic Latin,Latin Extended-B
149  0x00004082 0x00404c82 4   5    .text   ascii   er\A
150  0x000040af 0x00404caf 7   9    .text   utf8    dvanfǅ4 blocks=Basic Latin,Latin Extended-B
151  0x000040ba 0x00404cba 4   6    .text   utf8    ceƅ6 blocks=Basic Latin,Latin Extended-B
152  0x000040d6 0x00404cd6 8   10   .text   utf8    HiddVPfǅ blocks=Basic Latin,Latin Extended-B
153  0x000040f5 0x00404cf5 6   7    .text   ascii   HideVP
154  0x000040fe 0x00404cfe 5   6    .text   ascii   Filef
155  0x00004179 0x00404d79 5   6    .text   ascii   cmd j
156  0x000041a9 0x00404da9 4   5    .text   ascii   jD^V
157  0x000041e7 0x00404de7 4   5    .text   ascii   PQQh
158  0x000041ee 0x00404dee 4   5    .text   ascii   \bQQQ
159  0x00004271 0x00404e71 4   5    .text   ascii   E\fSV
160  0x000044b9 0x004050b9 7   9    .text   utf8    E\bSVW3ۉ blocks=Basic Latin,Arabic
161  0x000046ab 0x004052ab 5   6    .text   ascii   VPu+h
162  0x00004a3b 0x0040563b 4   5    .text   ascii   h\7B
163  0x00004a50 0x00405650 4   7    .text   utf8    VSP訒 blocks=Basic Latin,CJK Unified Ideographs
164  0x00004aa9 0x004056a9 4   5    .text   ascii   hx7B
165  0x00004b11 0x00405711 4   5    .text   ascii   _^[3
166  0x00004bac 0x004057ac 4   5    .text   ascii   j,Xf
167  0x00004cb8 0x004058b8 4   6    .text   utf8    u.3ɍ blocks=Basic Latin,Latin Extended-B
168  0x00004d22 0x00405922 5   6    .text   ascii   WVWVh
169  0x00004d64 0x00405964 4   5    .text   ascii   SVW3
170  0x00004dde 0x004059de 5   7    .text   utf8    3+j\bf
171  0x00004e5b 0x00405a5b 7   8    .text   ascii   QQQQPQQ
172  0x00004f77 0x00405b77 5   6    .text   ascii   .tZj\a
173  0x00004f8f 0x00405b8f 4   5    .text   ascii   tCj\a
174  0x000051b7 0x00405db7 4   5    .text   ascii   tHj@
175  0x0000526c 0x00405e6c 4   5    .text   ascii   h,8B
176  0x000052a9 0x00405ea9 5   6    .text   ascii   Vh,8B
177  0x000053b4 0x00405fb4 4   5    .text   ascii   h48B
178  0x000054f5 0x004060f5 5   6    .text   ascii   Vh<8B
179  0x00005550 0x00406150 4   5    .text   ascii   SVWh
180  0x00005573 0x00406173 5   6    .text   ascii   Sh@8B
181  0x000055f1 0x004061f1 4   5    .text   ascii   h,8B
182  0x0000567a 0x0040627a 4   5    .text   ascii   h,8B
183  0x00005714 0x00406314 4   5    .text   ascii   SVWP
184  0x00005795 0x00406395 4   5    .text   ascii   hH8B
185  0x0000583f 0x0040643f 4   5    .text   ascii   hp8B
186  0x000058be 0x004064be 5   6    .text   ascii   txj~Z
187  0x0000595f 0x0040655f 4   5    .text   ascii   Y_^[
188  0x000059ba 0x004065ba 5   7    .text   utf8    3\tD$\f
189  0x000059cf 0x004065cf 4   5    .text   ascii   L$,t
190  0x00005a10 0x00406610 8   10   .text   utf8    |$I3\rT$,
191  0x00005a1b 0x0040661b 6   7    .text   ascii   L$Hj\bf
192  0x00005a6a 0x0040666a 4   5    .text   ascii   D$,P
193  0x00005a83 0x00406683 4   5    .text   ascii   D$,P
194  0x00005a92 0x00406692 4   6    .text   utf8    3ɍD$ blocks=Basic Latin,Latin Extended-B
195  0x00005a98 0x00406698 7   8    .text   ascii   QQQQPQQ
196  0x00005aa0 0x004066a0 4   5    .text   ascii   D$HP
197  0x00005abe 0x004066be 7   9    .text   utf8    3ɍD$$PQ blocks=Basic Latin,Latin Extended-B
198  0x00005ac7 0x004066c7 8   9    .text   ascii   D$4PhJG@
199  0x00005b08 0x00406708 7   8    .text   ascii   D$<RECY
200  0x00005b14 0x00406714 7   8    .text   ascii   D$@CLER
201  0x00005ba3 0x004067a3 4   5    .text   ascii   D$Tj
202  0x00005bb9 0x004067b9 4   5    .text   ascii   D$$P
203  0x00005bbf 0x004067bf 4   5    .text   ascii   D$&P
204  0x00005bc5 0x004067c5 4   5    .text   ascii   D$(P
205  0x00005bcb 0x004067cb 4   5    .text   ascii   D$*P
