[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000e0 0x000000e0 4   5            ascii   Rich
2    0x000001f8 0x000001f8 5   6            ascii   .text
3    0x0000021f 0x0000021f 7   8            ascii   `.rdata
4    0x00000247 0x00000247 6   7            ascii   @.data
5    0x00000270 0x00000270 5   6            ascii   .rsrc
6    0x00000297 0x00000297 7   8            ascii   @.reloc
7    0x0000043e 0x1000103e 4   5    .text   ascii   PSQR
8    0x00000443 0x10001043 4   5    .text   ascii   hXMV
9    0x00000457 0x10001057 4   5    .text   ascii   ZY[X
10   0x00000470 0x10001070 5   6    .text   ascii   -hXMV
11   0x00000489 0x10001089 4   5    .text   ascii   Y_^[
12   0x000004c2 0x100010c2 4   6    .text   utf8    \f3ɍU blocks=Basic Latin,Latin Extended-B
13   0x000004cc 0x100010cc 8   9    .text   ascii   PQQQQQQf
14   0x000004d5 0x100010d5 6   8    .text   utf8    M܋M\fQj blocks=Basic Latin,Syriac
15   0x00000593 0x10001193 4   5    .text   ascii   [_^]
16   0x000008d4 0x100014d4 4   5    .text   ascii   E\bSV
17   0x0000091e 0x1000151e 4   5    .text   ascii   \f)NP
18   0x00000a60 0x10001660 5   6    .text   ascii   E\f9FP
19   0x00000a86 0x10001686 4   5    .text   ascii   ~T_^
20   0x00000b56 0x10001756 5   6    .text   ascii   tt\f[_
21   0x00000ddf 0x100019df 6   7    .text   ascii   VPj j 
22   0x00000e21 0x10001a21 4   5    .text   ascii   j\nhp
23   0x00000e32 0x10001a32 4   5    .text   ascii   tu\v_
24   0x00000efd 0x10001afd 4   5    .text   ascii   u\bW3
25   0x00000fe7 0x10001be7 4   5    .text   ascii   SVWh
26   0x0000108f 0x10001c8f 4   5    .text   ascii   j\nhp
27   0x0000116e 0x10001d6e 4   6    .text   utf8    Ju"ǅ blocks=Basic Latin,Latin Extended-B
28   0x000013ab 0x10001fab 4   5    .text   ascii   j\nhp
29   0x000013d8 0x10001fd8 4   5    .text   ascii   j\nhp
30   0x00001426 0x10002026 5   6    .text   ascii   j\bVVP
31   0x0000145f 0x1000205f 5   6    .text   ascii   E\fRVP
32   0x00001489 0x10002089 4   6    .text   utf8    ًCDj blocks=Arabic,Basic Latin
33   0x0000148f 0x1000208f 4   5    .text   ascii   j\nPj
34   0x000015dc 0x100021dc 4   5    .text   ascii   j j 
35   0x0000181d 0x1000241d 4   5    .text   ascii   D7\nG
36   0x0000187a 0x1000247a 4   5    .text   ascii   D7'G
37   0x00001983 0x10002583 4   7    .text   utf8    @tX葼 blocks=Basic Latin,CJK Unified Ideographs
38   0x00001ab0 0x100026b0 4   6    .text   utf8    2\bF\b
39   0x00001bcf 0x100027cf 4   6    .text   utf8    ɍD\b' blocks=Latin Extended-B,Basic Latin
40   0x00001cb6 0x100028b6 4   5    .text   ascii   0^[]
41   0x00001ce1 0x100028e1 4   5    .text   ascii   qpl&
42   0x00001cea 0x100028ea 4   5    .text   ascii   ..BB
43   0x00001cf1 0x100028f1 4   5    .text   ascii   BBBB
44   0x00001cf8 0x100028f8 4   5    .text   ascii   BBBB
45   0x00001cff 0x100028ff 4   5    .text   ascii   %'61
46   0x00001d06 0x10002906 4   5    .text   ascii   -!),
47   0x00001d0d 0x1000290d 4   5    .text   ascii   #/'B
48   0x00001d14 0x10002914 4   5    .text   ascii   BBBB
49   0x00001d1b 0x1000291b 4   5    .text   ascii   1'.'
50   0x00001d22 0x10002922 4   5    .text   ascii   !6BB
51   0x00001d29 0x10002929 4   5    .text   ascii   BBBB
52   0x00001d30 0x10002930 4   5    .text   ascii   BBBB
53   0x00001d37 0x10002937 4   5    .text   ascii   0'!4
54   0x00001d3e 0x1000293e 4   5    .text   ascii   BBBB
55   0x00001d45 0x10002945 4   5    .text   ascii   BBBB
56   0x00001d4c 0x1000294c 4   5    .text   ascii   ,6-*
57   0x00001d53 0x10002953 4   5    .text   ascii   1BBB
58   0x00001d5a 0x1000295a 4   5    .text   ascii   BBBB
59   0x00001d61 0x10002961 4   5    .text   ascii   BB%'
60   0x00001d68 0x10002968 4   5    .text   ascii   6*-1
61   0x00001d6f 0x1000296f 4   5    .text   ascii   6 ;,
62   0x00001d76 0x10002976 4   5    .text   ascii   #/'B
63   0x00001d7d 0x1000297d 4   5    .text   ascii   BB+,
64   0x00001d8b 0x1000298b 4   5    .text   ascii   6-#B
65   0x00001d92 0x10002992 4   5    .text   ascii   BBBB
66   0x00001f13 0x10002b13 4   6    .text   utf8    =<Eǅ blocks=Basic Latin,Latin Extended-B
67   0x00001f1c 0x10002b1c 5   7    .text   utf8    "M\tUǅ blocks=Basic Latin,Latin Extended-B
68   0x00001f3a 0x10002b3a 4   7    .text   utf8    P}مǅ blocks=Basic Latin,Arabic,Latin Extended-B
69   0x00001fbc 0x10002bbc 5   7    .text   utf8    5M>Uǅ blocks=Basic Latin,Latin Extended-B
