[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
77   0x000013f0 0x00401ff0 4   5    CODE    ascii   SVWU
78   0x0000141b 0x0040201b 4   6    CODE    utf8    ǋT$\b blocks=Latin Extended-B,Basic Latin
79   0x00001424 0x00402024 5   8    CODE    utf8    Ѝ\f.+у blocks=Cyrillic,Basic Latin
80   0x00001496 0x00402096 4   6    CODE    utf8    ԋD$\b blocks=Cyrillic Supplement,Basic Latin
81   0x000014a6 0x004020a6 5   6    CODE    ascii   \f]_^[
82   0x0000159f 0x0040219f 4   6    CODE    utf8    \f^[Ð blocks=Basic Latin,Latin-1 Supplement
83   0x00001638 0x00402238 4   5    CODE    ascii   t$\f;
84   0x00001675 0x00402275 5   7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
85   0x000016a3 0x004022a3 6   8    CODE    utf8    YZ[ÐSV blocks=Basic Latin,Latin-1 Supplement
86   0x000016d4 0x004022d4 6   8    CODE    utf8    YZ^[Í@ blocks=Basic Latin,Latin-1 Supplement
87   0x00001703 0x00402303 4   5    CODE    ascii   u\b@=
88   0x00001714 0x00402314 4   5    CODE    ascii   SVWU
89   0x0000171c 0x0040231c 4   6    CODE    utf8    ؍t$\b blocks=Arabic,Basic Latin
90   0x00001791 0x00402391 4   6    CODE    utf8    u\n3\t
91   0x0000180d 0x0040240d 4   5    CODE    ascii   ;\au\a
92   0x00001856 0x00402456 5   6    CODE    ascii   \f]_^[
93   0x0000187d 0x0040247d 5   7    CODE    utf8    ~\n3\tE
94   0x0000189e 0x0040249e 5   7    CODE    utf8    t\nh̵F blocks=Basic Latin,Combining Diacritical Marks
95   0x000019d9 0x004025d9 4   5    CODE    ascii   ZYYd
96   0x000019eb 0x004025eb 5   7    CODE    utf8    t\nh̵F blocks=Basic Latin,Combining Diacritical Marks
97   0x00001a11 0x00402611 4   7    CODE    utf8    3#ȵF blocks=Basic Latin,Latin Extended-B
98   0x00001a55 0x00402655 5   7    CODE    utf8    t\nh̵F blocks=Basic Latin,Combining Diacritical Marks
99   0x00001ad0 0x004026d0 4   5    CODE    ascii   ;B\bt
100  0x00001b7b 0x0040277b 5   6    CODE    ascii   x\b\f}\f
101  0x00001bb0 0x004027b0 4   5    CODE    ascii   ZYYd
102  0x00001bc2 0x004027c2 5   7    CODE    utf8    t\nh̵F blocks=Basic Latin,Combining Diacritical Marks
103  0x00001be0 0x004027e0 4   5    CODE    ascii   SVWU
104  0x00001c34 0x00402834 5   6    CODE    ascii   u,)- 
105  0x00001cc4 0x004028c4 4   5    CODE    ascii   ue;=
106  0x00001ddd 0x004029dd 7   9    CODE    utf8    \f]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
107  0x00001e00 0x00402a00 5   7    CODE    utf8    u\n3\tE
108  0x00001e21 0x00402a21 5   7    CODE    utf8    t\nh̵F blocks=Basic Latin,Combining Diacritical Marks
109  0x00001e7e 0x00402a7e 4   5    CODE    ascii   ZYYd
110  0x00001e90 0x00402a90 5   7    CODE    utf8    t\nh̵F blocks=Basic Latin,Combining Diacritical Marks
111  0x00001ea7 0x00402aa7 7   9    CODE    utf8    ^[YY]Í@ blocks=Basic Latin,Latin-1 Supplement
112  0x00001ed9 0x00402ad9 5   7    CODE    utf8    $Z[Í@ blocks=Basic Latin,Latin-1 Supplement
113  0x00001fc7 0x00402bc7 4   6    CODE    utf8    3҉P\b blocks=Basic Latin,Cyrillic
114  0x00002014 0x00402c14 5   8    CODE    utf8    w\n3\nÊ blocks=Basic Latin,Latin-1 Supplement
115  0x0000204b 0x00402c4b 4   5    CODE    ascii   YZXu
116  0x0000206f 0x00402c6f 5   7    CODE    utf8    Ƌ|$\f1 blocks=Latin Extended-B,Basic Latin
117  0x000020ec 0x00402cec 5   7    CODE    utf8    _^Ít1 blocks=Basic Latin,Latin-1 Supplement
118  0x00002118 0x00402d18 4   6    CODE    utf8    , Ðf blocks=Basic Latin,Latin-1 Supplement
119  0x0000212f 0x00402d2f 4   6    CODE    utf8    <$XÐ blocks=Basic Latin,Latin-1 Supplement
120  0x0000215c 0x00402d5c 6   9    CODE    utf8    ,$YXZË blocks=Basic Latin,Latin-1 Supplement
121  0x000021e2 0x00402de2 4   5    CODE    ascii   r/f=
122  0x000021e8 0x00402de8 4   5    CODE    ascii   w)f%
123  0x0000225c 0x00402e5c 4   6    CODE    utf8    3Ɋ\nA blocks=Basic Latin,Latin Extended-B
124  0x00002270 0x00402e70 4   6    CODE    utf8    ˈ\bB@ blocks=Spacing Modifier Letters,Basic Latin
125  0x00002281 0x00402e81 5   7    CODE    utf8    [ÐSVW blocks=Basic Latin,Latin-1 Supplement
126  0x000022a7 0x00402ea7 4   5    CODE    ascii   uDJt
127  0x000022d1 0x00402ed1 4   5    CODE    ascii   u/Jt
128  0x000022dc 0x00402edc 5   6    CODE    ascii   u$Jt\b
129  0x00002302 0x00402f02 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
130  0x00002318 0x00402f18 4   5    CODE    ascii   uENt
131  0x0000233f 0x00402f3f 7   8    CODE    ascii   \b:\nu0Nt
132  0x0000234d 0x00402f4d 5   6    CODE    ascii   u%Nt\b
133  0x00002374 0x00402f74 4   6    CODE    utf8    ^[ÐW blocks=Basic Latin,Latin-1 Supplement
134  0x00002395 0x00402f95 5   7    CODE    utf8    _ÐSVW blocks=Basic Latin,Latin-1 Supplement
135  0x000023ef 0x00402fef 4   5    CODE    ascii   \tw%9
136  0x00002413 0x00403013 6   7    CODE    ascii   ~KxI[)
137  0x00002464 0x00403064 6   8    CODE    utf8    2_^[Í@ blocks=Basic Latin,Latin-1 Supplement
138  0x00002499 0x00403099 4   6    CODE    utf8    [ÐVW blocks=Basic Latin,Latin-1 Supplement
139  0x000024aa 0x004030aa 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
140  0x000024d8 0x004030d8 5   7    CODE    utf8    ۬Sk1@ blocks=Arabic,Basic Latin
141  0x00002501 0x00403101 5   7    CODE    utf8    ۬C73@ blocks=Arabic,Basic Latin
142  0x0000251d 0x0040311d 5   7    CODE    utf8    ۬Sk1@ blocks=Arabic,Basic Latin
143  0x00002546 0x00403146 5   7    CODE    utf8    ۬C73@ blocks=Arabic,Basic Latin
144  0x00002553 0x00403153 4   6    CODE    utf8    ۫a1@ blocks=Arabic,Basic Latin
145  0x000025f1 0x004031f1 4   7    CODE    utf8    *焑*@ blocks=Basic Latin,CJK Unified Ideographs
146  0x00002621 0x00403221 5   6    CODE    ascii   @v:k\v
147  0x0000262e 0x0040322e 4   6    CODE    utf8    #Ǌ>@ blocks=Basic Latin,Latin Extended-B
148  0x00002668 0x00403268 4   5    CODE    ascii   @aQY
149  0x000026a4 0x004032a4 4   5    CODE    ascii   E@|o
150  0x000026b1 0x004032b1 4   7    CODE    utf8    ŝi@զ blocks=Latin Extended-A,Basic Latin,Armenian
151  0x000026dc 0x004032dc 5   6    CODE    ascii   BkU'9
152  0x00002701 0x00403301 4   6    CODE    utf8    &һCv blocks=Basic Latin,Cyrillic
153  0x00002753 0x00403353 6   9    CODE    utf8    HM䧓9;5 blocks=Basic Latin,CJK Unified Ideographs Extension A
154  0x000027ec 0x004033ec 4   5    CODE    ascii   hl4@
155  0x00002801 0x00403401 5   6    CODE    ascii   UhE4@
156  0x00002830 0x00403430 4   5    CODE    ascii   ZYYd
157  0x00002836 0x00403436 4   5    CODE    ascii   hL4@
158  0x0000286c 0x0040346c 27  28   CODE    ascii   SOFTWARE\Borland\Delphi\RTL
159  0x00002888 0x00403488 12  13   CODE    ascii   FPUMaskValue
160  0x000028b4 0x004034b4 5   7    CODE    utf8    $ZÐVW blocks=Basic Latin,Latin-1 Supplement
161  0x000028c6 0x004034c6 4   6    CODE    utf8    _^Í@ blocks=Basic Latin,Latin-1 Supplement
162  0x000028d6 0x004034d6 5   7    CODE    utf8    1Ɋ\b;J blocks=Basic Latin,Latin Extended-B
163  0x000029c6 0x004035c6 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
164  0x000029d5 0x004035d5 4   7    CODE    utf8    V\vv܅ blocks=Basic Latin,Syriac
165  0x000029e9 0x004035e9 4   7    CODE    utf8    ^[Çс blocks=Basic Latin,Latin-1 Supplement,Cyrillic
166  0x00002a22 0x00403622 6   8    CODE    utf8    SVW3ۉ] blocks=Basic Latin,Arabic
167  0x00002a96 0x00403696 4   5    CODE    ascii   ZYYd
168  0x00002ab3 0x004036b3 7   9    CODE    utf8    _^[YY]Ë blocks=Basic Latin,Latin-1 Supplement
169  0x00002acd 0x004036cd 4   5    CODE    ascii   2;0u
170  0x00002adb 0x004036db 7   8    CODE    ascii   r\b;p\bu\b
171  0x00002ae3 0x004036e3 6   7    CODE    ascii   r\f;p\ft
172  0x00002aed 0x004036ed 5   8    CODE    utf8    Iu܋[܅ blocks=Basic Latin,Syriac
173  0x00002b1e 0x0040371e 4   6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
174  0x00002b66 0x00403766 4   6    CODE    utf8    )ȋtG blocks=Basic Latin,Latin Extended-B
175  0x00002bbf 0x004037bf 4   7    CODE    utf8    $ZË8 blocks=Basic Latin,Latin-1 Supplement
176  0x00002bfe 0x004037fe 5   7    CODE    utf8    ÐSVW1 blocks=Latin-1 Supplement,Basic Latin
177  0x00002c4a 0x0040384a 4   6    CODE    utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
178  0x00002c50 0x00403850 4   5    CODE    ascii   SVW1
179  0x00002c71 0x00403871 5   6    CODE    ascii   t1\aOu
180  0x00002caa 0x004038aa 4   6    CODE    utf8    1ҍL$ blocks=Basic Latin,Cyrillic
181  0x00002cc4 0x004038c4 4   5    CODE    ascii   \n[YZ
182  0x00002d3d 0x0040393d 5   6    CODE    ascii   PPRTj
183  0x00002d52 0x00403952 4   6    CODE    utf8    \bXÍ@ blocks=Basic Latin,Latin-1 Supplement
184  0x00002d8b 0x0040398b 4   5    CODE    ascii   v\aPS
185  0x00002dda 0x004039da 5   7    CODE    utf8    YYZXÐ blocks=Basic Latin,Latin-1 Supplement
