[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
93    0x00001274 0x00401e74 4   5    sect_0  ascii   {]p,
94    0x000012e0 0x00401ee0 5   6    sect_0  ascii   =bdWQ
95    0x000012f3 0x00401ef3 4   5    sect_0  ascii   _<C8
96    0x000012f8 0x00401ef8 5   7    sect_0  utf8    "F+yO
97    0x0000136e 0x00401f6e 4   5    sect_0  ascii   6~Aa
98    0x0000137c 0x00401f7c 5   6    sect_0  ascii   )RT\rn
99    0x000013c1 0x00401fc1 4   6    sect_0  utf8    vb݃n blocks=Basic Latin,Syriac
100   0x00001425 0x00402025 5   6    sect_0  ascii   z&WD{
101   0x0000145d 0x0040205d 6   8    sect_0  utf8    3|6+%ι blocks=Basic Latin,Greek and Coptic
102   0x00001474 0x00402074 4   5    sect_0  ascii   ,Er8
103   0x0000149c 0x0040209c 6   7    sect_0  ascii   P\e/);(
104   0x000014c9 0x004020c9 5   6    sect_0  ascii    &ukE
105   0x000014d7 0x004020d7 4   5    sect_0  ascii   wyRS
106   0x000014f7 0x004020f7 4   6    sect_0  utf8    bUέV blocks=Basic Latin,Greek and Coptic
107   0x00001524 0x00402124 4   5    sect_0  ascii   \v\fjf
108   0x0000155c 0x0040215c 7   10   sect_0  utf8    )Qqڢ.ޓc blocks=Basic Latin,Arabic,Thaana
109   0x0000161e 0x0040221e 5   7    sect_0  utf8    _R߁kO blocks=Basic Latin,NKo
110   0x00001628 0x00402228 5   6    sect_0  ascii   btvl\f
111   0x00001649 0x00402249 4   5    sect_0  ascii   8O*s
112   0x00001705 0x00402305 6   7    sect_0  ascii   Cb\e,3r
113   0x00001722 0x00402322 5   7    sect_0  utf8    0̛!f, blocks=Basic Latin,Combining Diacritical Marks
114   0x00001754 0x00402354 6   7    sect_0  ascii   8W:u25
115   0x00001799 0x00402399 4   5    sect_0  ascii   \b,gy
116   0x000017d0 0x004023d0 4   5    sect_0  ascii   .'da
117   0x00001809 0x00402409 4   7    sect_0  utf8    U-ܡơ blocks=Basic Latin,Syriac,Latin Extended-B
118   0x00001826 0x00402426 5   6    sect_0  ascii   qCb7r
119   0x00001849 0x00402449 4   5    sect_0  ascii   O?jb
120   0x0000185b 0x0040245b 4   5    sect_0  ascii   ;SR;
121   0x00001861 0x00402461 4   5    sect_0  ascii   q%oN
122   0x000018a2 0x004024a2 7   9    sect_0  utf8    \e\aCߛb%y blocks=Basic Latin,NKo
123   0x000018bf 0x004024bf 4   6    sect_0  utf8    ѹc\tZ blocks=Cyrillic,Basic Latin
124   0x000018d8 0x004024d8 4   5    sect_0  ascii   ,\a.o
125   0x00001908 0x00402508 5   6    sect_0  ascii   \$:Sx
126   0x00001917 0x00402517 4   6    sect_0  utf8    ̫\a|! blocks=Combining Diacritical Marks,Basic Latin
127   0x00001982 0x00402582 4   7    sect_0  utf8    E툌jw blocks=Basic Latin,Hangul Syllables
128   0x00001a20 0x00402620 4   5    sect_0  ascii   ,R*r
129   0x00001a50 0x00402650 4   6    sect_0  utf8    Ifơ- blocks=Basic Latin,Latin Extended-B
130   0x00001a6a 0x0040266a 4   5    sect_0  ascii   \nU)]
131   0x00001aca 0x004026ca 4   6    sect_0  utf8    ߁PFZ blocks=NKo,Basic Latin
132   0x00001afa 0x004026fa 6   7    sect_0  ascii   2mY6`}
133   0x00001b2f 0x0040272f 4   5    sect_0  ascii   \r>G3
134   0x00001b3d 0x0040273d 7   8    sect_0  ascii   Q_3duD3
135   0x00001b51 0x00402751 4   5    sect_0  ascii   |){9
136   0x00001b7e 0x0040277e 4   5    sect_0  ascii   %iQ,
137   0x00001b83 0x00402783 4   6    sect_0  utf8    Ѳv}# blocks=Cyrillic,Basic Latin
138   0x00001bab 0x004027ab 4   6    sect_0  utf8    YTdѹ blocks=Basic Latin,Cyrillic
139   0x00001bd3 0x004027d3 4   5    sect_0  ascii   *%%n
140   0x00001bf3 0x004027f3 5   6    sect_0  ascii   +b^jc
141   0x00001c0c 0x0040280c 4   6    sect_0  utf8    دuA@ blocks=Arabic,Basic Latin
142   0x00001c12 0x00402812 4   6    sect_0  utf8    ¦@Uj blocks=Latin-1 Supplement,Basic Latin
143   0x00001c19 0x00402819 4   5    sect_0  ascii   o"\aw
144   0x00001d09 0x00402909 4   6    sect_0  utf8    \e_ցQ blocks=Basic Latin,Armenian
145   0x00001d22 0x00402922 6   7    sect_0  ascii   JZ~_GY
146   0x00001d45 0x00402945 4   6    sect_0  utf8    ҏR9t blocks=Cyrillic,Basic Latin
147   0x00001d5a 0x0040295a 4   5    sect_0  ascii   $lwC
148   0x00001da9 0x004029a9 5   6    sect_0  ascii   pUIJx
149   0x00001dcb 0x004029cb 4   5    sect_0  ascii   ]@!B
