[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000a7 0x000000a7 5   6            ascii   ~2#n~
2    0x000000af 0x000000af 5   6            ascii   ~2#i~
3    0x000000b7 0x000000b7 7   8            ascii   ~2#{~-q
4    0x000000bf 0x000000bf 7   8            ascii   ~Rich,q
5    0x000001d8 0x000001d8 5   6            ascii   .text
6    0x000001ff 0x000001ff 7   8            ascii   `.rdata
7    0x00000227 0x00000227 6   7            ascii   @.data
8    0x00000250 0x00000250 5   6            ascii   .rsrc
9    0x00000277 0x00000277 6   7            ascii   @.text
49   0x00000d79 0x00401979 5   6    .text   ascii   VPWUj
50   0x00000d96 0x00401996 4   5    .text   ascii   _^][
51   0x00000df6 0x004019f6 5   6    .text   ascii   SUVW3
52   0x00000e20 0x00401a20 4   5    .text   ascii   D$\e*
53   0x00000e3e 0x00401a3e 4   5    .text   ascii   D$! 
54   0x00000e43 0x00401a43 4   5    .text   ascii   D$"d
55   0x00000e57 0x00401a57 4   5    .text   ascii   D$&=
56   0x00000e70 0x00401a70 4   5    .text   ascii   D$+h
57   0x00000e7a 0x00401a7a 4   5    .text   ascii   D$-v
58   0x00000e84 0x00401a84 4   5    .text   ascii   D$/4
59   0x00000e98 0x00401a98 4   5    .text   ascii   D$3x
60   0x00000ea7 0x00401aa7 4   5    .text   ascii   D$6o
61   0x00000ed3 0x00401ad3 4   7    .text   utf8    Pj\b譒 blocks=Basic Latin,CJK Unified Ideographs
62   0x00000ee4 0x00401ae4 4   6    .text   utf8    RWǄ$ blocks=Basic Latin,Latin Extended-B
63   0x00000ef7 0x00401af7 4   5    .text   ascii   D$e'
64   0x00000f0b 0x00401b0b 4   5    .text   ascii   D$i.
65   0x00000f10 0x00401b10 4   5    .text   ascii   D$j"
66   0x00000f15 0x00401b15 4   5    .text   ascii   D$kW
67   0x00000f1f 0x00401b1f 4   5    .text   ascii   D$m!
68   0x00000f24 0x00401b24 4   5    .text   ascii   D$nW
69   0x00000f29 0x00401b29 4   5    .text   ascii   D$o:
70   0x00000f38 0x00401b38 4   5    .text   ascii   D$r[
71   0x00000f4c 0x00401b4c 4   5    .text   ascii   D$v{
72   0x00000f5b 0x00401b5b 4   5    .text   ascii   D$yv
73   0x00000f65 0x00401b65 4   5    .text   ascii   D${4
74   0x00000fd2 0x00401bd2 4   5    .text   ascii   D$!)
75   0x00000fd7 0x00401bd7 4   5    .text   ascii   D$";
76   0x00000fdc 0x00401bdc 4   5    .text   ascii   D$#V
77   0x00000feb 0x00401beb 4   5    .text   ascii   D$&[
78   0x00000fff 0x00401bff 4   5    .text   ascii   D$*{
79   0x0000100e 0x00401c0e 4   5    .text   ascii   D$-v
80   0x00001018 0x00401c18 4   5    .text   ascii   D$/4
81   0x0000102c 0x00401c2c 4   5    .text   ascii   D$3x
82   0x0000103b 0x00401c3b 4   5    .text   ascii   D$6o
83   0x0000105e 0x00401c5e 4   5    .text   ascii   L$`Q
84   0x000010a5 0x00401ca5 4   5    .text   ascii   _^][
85   0x00001119 0x00401d19 4   5    .text   ascii   D$`P
86   0x000011fc 0x00401dfc 4   5    .text   ascii   D$!D
87   0x00001201 0x00401e01 4   5    .text   ascii   D$"K
88   0x00001206 0x00401e06 4   5    .text   ascii   D$##
89   0x00001210 0x00401e10 4   5    .text   ascii   D$%E
90   0x00001215 0x00401e15 4   5    .text   ascii   D$&;
91   0x0000121a 0x00401e1a 4   5    .text   ascii   D$'V
92   0x00001229 0x00401e29 4   5    .text   ascii   D$*[
93   0x0000123d 0x00401e3d 4   5    .text   ascii   D$.{
94   0x0000124c 0x00401e4c 4   5    .text   ascii   D$1v
95   0x00001256 0x00401e56 4   5    .text   ascii   D$34
96   0x0000126a 0x00401e6a 4   5    .text   ascii   D$7x
97   0x00001279 0x00401e79 4   5    .text   ascii   D$:o
98   0x000012cf 0x00401ecf 4   5    .text   ascii   D$4;
99   0x000012fd 0x00401efd 5   6    .text   ascii   T$HRW
100  0x00001322 0x00401f22 5   7    .text   utf8    +ʉT$4 blocks=Basic Latin,IPA Extensions
101  0x00001342 0x00401f42 4   5    .text   ascii   L$Th
102  0x0000135d 0x00401f5d 5   7    .text   utf8    uԋL$@ blocks=Basic Latin,Cyrillic Supplement
103  0x00001378 0x00401f78 5   7    .text   utf8    D$@+M
104  0x00001387 0x00401f87 5   7    .text   utf8    KL$XP
105  0x00001397 0x00401f97 7   10   .text   utf8    D$<RSP莚 blocks=Basic Latin,CJK Unified Ideographs
106  0x000013cf 0x00401fcf 4   5    .text   ascii   |$8P
107  0x000013e6 0x00401fe6 6   7    .text   ascii   L$PQSV
108  0x000013fa 0x00401ffa 4   5    .text   ascii   D$0P
109  0x00001407 0x00402007 4   5    .text   ascii   D$5'
110  0x0000141b 0x0040201b 4   5    .text   ascii   D$9!
111  0x00001420 0x00402020 4   5    .text   ascii   D$:.
112  0x00001425 0x00402025 4   5    .text   ascii   D$;\r
113  0x0000142f 0x0040202f 4   5    .text   ascii   D$=)
114  0x00001434 0x00402034 4   5    .text   ascii   D$>W
115  0x00001439 0x00402039 4   5    .text   ascii   D$?V
116  0x00001448 0x00402048 4   5    .text   ascii   D$B[
117  0x0000145c 0x0040205c 4   5    .text   ascii   D$F{
118  0x0000146b 0x0040206b 4   5    .text   ascii   D$Iv
119  0x00001475 0x00402075 4   5    .text   ascii   D$K4
120  0x00001489 0x00402089 4   5    .text   ascii   D$Ox
121  0x00001498 0x00402098 4   5    .text   ascii   D$Ro
122  0x000014f1 0x004020f1 4   5    .text   ascii   D$!\f
123  0x000014f6 0x004020f6 4   5    .text   ascii   D$"U
124  0x000014fb 0x004020fb 4   5    .text   ascii   D$#%
125  0x0000150a 0x0040210a 4   5    .text   ascii   D$&5
126  0x0000151e 0x0040211e 4   5    .text   ascii   D$*{
127  0x0000152d 0x0040212d 4   5    .text   ascii   D$-v
128  0x00001537 0x00402137 4   5    .text   ascii   D$/4
129  0x0000154b 0x0040214b 4   5    .text   ascii   D$3x
130  0x0000155a 0x0040215a 4   5    .text   ascii   D$6o
131  0x0000159f 0x0040219f 4   5    .text   ascii   \$T:
132  0x000015c6 0x004021c6 4   5    .text   ascii   8\$G
133  0x000015d1 0x004021d1 4   5    .text   ascii   D$8j
134  0x00001627 0x00402227 5   6    .text   ascii   T$LRh
135  0x000016ab 0x004022ab 4   5    .text   ascii   D$PP
136  0x000016b0 0x004022b0 5   7    .text   utf8    ыt$X; blocks=Cyrillic,Basic Latin
137  0x0000170f 0x0040230f 6   7    .text   ascii   D$HUWP
138  0x00001725 0x00402325 4   5    .text   ascii   D$T;
139  0x0000175c 0x0040235c 4   5    .text   ascii   D$4;
140  0x00001792 0x00402392 4   5    .text   ascii   SSj\f
141  0x0000179d 0x0040239d 4   5    .text   ascii   L$<;
142  0x000017af 0x004023af 4   5    .text   ascii   D$8;
143  0x00001827 0x00402427 4   5    .text   ascii   D$<;
144  0x00001835 0x00402435 4   6    .text   utf8    ҍL$@ blocks=Cyrillic,Basic Latin
145  0x00001840 0x00402440 4   5    .text   ascii   D$4;
146  0x0000186b 0x0040246b 4   5    .text   ascii   D$T;
147  0x00001879 0x00402479 5   7    .text   utf8    ЋD$X; blocks=Cyrillic,Basic Latin
148  0x0000188a 0x0040248a 4   5    .text   ascii   _^]3
149  0x000018f7 0x004024f7 4   6    .text   utf8    ^_[Ã blocks=Basic Latin,Latin-1 Supplement
150  0x00001b0f 0x0040270f 4   6    .text   utf8    ̋L$\f blocks=Combining Diacritical Marks,Basic Latin
151  0x00001b28 0x00402728 4   6    .text   utf8    ًL$\b blocks=Arabic,Basic Latin
152  0x00001bbc 0x004027bc 4   5    .text   ascii   D$DS
153  0x00001bc1 0x004027c1 5   6    .text   ascii   \$Dj8
154  0x00001bcb 0x004027cb 4   5    .text   ascii   L$Th
155  0x00001c0d 0x0040280d 4   5    .text   ascii   D$\bj
156  0x00001c23 0x00402823 4   5    .text   ascii   L$\bQ
157  0x00001c3e 0x0040283e 4   6    .text   utf8    8ËT$ blocks=Basic Latin,Latin-1 Supplement
158  0x00001c45 0x00402845 4   5    .text   ascii   D$\bP
159  0x00001c69 0x00402869 4   5    .text   ascii   T$\bj
160  0x00001c70 0x00402870 6   7    .text   ascii   D$\fQRP
161  0x00001c8f 0x0040288f 4   6    .text   utf8    ȍD\n\v blocks=Latin Extended-B,Basic Latin
162  0x000022f2 0x00402ef2 4   7    .text   utf8    73ҋ˅ blocks=Basic Latin,Cyrillic,Spacing Modifier Letters
163  0x00002391 0x00402f91 4   5    .text   ascii   L<\f3
164  0x000023cc 0x00402fcc 4   6    .text   utf8    t#3ҍ blocks=Basic Latin,Cyrillic
165  0x00002436 0x00403036 7   9    .text   utf8    t\e3ҍL$\f blocks=Basic Latin,Cyrillic
166  0x0000247f 0x0040307f 4   6    .text   utf8    ̋L$\b blocks=Combining Diacritical Marks,Basic Latin
167  0x0000248a 0x0040308a 4   6    .text   utf8    ËT$\f blocks=Latin-1 Supplement,Basic Latin
168  0x000024ed 0x004030ed 5   6    .text   ascii   A0SUP
169  0x0000251d 0x0040311d 5   6    .text   ascii   V8WUR
170  0x00002546 0x00403146 5   7    .text   utf8    \f3҉FH blocks=Basic Latin,Cyrillic
171  0x0000258b 0x0040318b 4   5    .text   ascii   _^]3
172  0x000025f5 0x004031f5 6   7    .text   ascii   J#T$\ff
173  0x0000264f 0x0040324f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
174  0x000026db 0x004032db 5   6    .text   ascii   N\fWPQ
175  0x00002776 0x00403376 6   8    .text   utf8    ^ËV(SU blocks=Basic Latin,Latin-1 Supplement
176  0x0000297e 0x0040357e 4   5    .text   ascii   O0PQ
177  0x000029db 0x004035db 4   6    .text   utf8    \vȃ~l blocks=Basic Latin,Latin Extended-B
178  0x00002a54 0x00403654 5   6    .text   ascii   9F sn
179  0x00002a63 0x00403663 5   6    .text   ascii   ;F\fu6
180  0x00002a7c 0x0040367c 5   7    .text   utf8    KO0PQ
181  0x00002a99 0x00403699 5   6    .text   ascii   ;F\ft)
182  0x00002ac2 0x004036c2 4   5    .text   ascii   9V r
183  0x00002af3 0x004036f3 4   5    .text   ascii   V ;Q
184  0x00002b2a 0x0040372a 5   6    .text   ascii   ;F\fu6
185  0x00002b60 0x00403760 5   6    .text   ascii   ;F\ft 
186  0x00002b9e 0x0040379e 5   7    .text   utf8    ʋW0QR blocks=IPA Extensions,Basic Latin
187  0x00002bda 0x004037da 5   6    .text   ascii   ;F\fu6
188  0x00002c10 0x00403810 5   6    .text   ascii   ;F\ft 
189  0x00002c4e 0x0040384e 5   7    .text   utf8    ʋW0QR blocks=IPA Extensions,Basic Latin
190  0x00002c7f 0x0040387f 5   6    .text   ascii   ;N\fv\a
191  0x00002c91 0x00403891 5   6    .text   ascii   ;V\fw5
192  0x00002ce5 0x004038e5 4   5    .text   ascii   ][_3
193  0x00002cf4 0x004038f4 5   6    .text   ascii   u!;\$
194  0x00002d11 0x00403911 4   6    .text   utf8    ^Ë\$ blocks=Basic Latin,Latin-1 Supplement
195  0x00002dfe 0x004039fe 5   7    .text   utf8    ][_^Ã blocks=Basic Latin,Latin-1 Supplement
196  0x00002f38 0x00403b38 4   6    .text   utf8    ^Ë@\b blocks=Basic Latin,Latin-1 Supplement
197  0x00002f9a 0x00403b9a 4   5    .text   ascii   N$RP
198  0x000030d2 0x00403cd2 5   6    .text   ascii   N\bRPQ
199  0x00003187 0x00403d87 5   6    .text   ascii   V0WQR
200  0x0000319b 0x00403d9b 5   6    .text   ascii   N0WPQ
201  0x000031ae 0x00403dae 6   7    .text   ascii   D$\bWRP
202  0x000031da 0x00403dda 4   6    .text   utf8    \tF<3
203  0x00003267 0x00403e67 4   5    .text   ascii   WlSU
204  0x000032ca 0x00403eca 5   6    .text   ascii   Wt9T$
205  0x0000338c 0x00403f8c 6   8    .text   utf8    W4#ЋG@ blocks=Basic Latin,Cyrillic
206  0x00003396 0x00403f96 4   5    .text   ascii   P;D$
207  0x00003471 0x00404071 5   6    .text   ascii   ~<+~t
208  0x00003486 0x00404086 4   5    .text   ascii   |$\f;
209  0x00003492 0x00404092 4   5    .text   ascii   \f(QP
210  0x0000349f 0x0040409f 8   9    .text   ascii   FD)np)nl
211  0x000034a9 0x004040a9 4   5    .text   ascii   \f)n\
212  0x0000352f 0x0040412f 5   6    .text   ascii   O0SPQ
213  0x00003543 0x00404143 5   6    .text   ascii   G0SRP
214  0x0000360a 0x0040420a 4   6    .text   utf8    +ЉVt blocks=Basic Latin,Cyrillic
215  0x0000364d 0x0040424d 5   6    .text   ascii   G\fSRP
216  0x000036db 0x004042db 5   6    .text   ascii   G\fSRP
217  0x0000371c 0x0040431c 5   7    .text   utf8    [YË|$ blocks=Basic Latin,Latin-1 Supplement
218  0x0000376c 0x0040436c 4   5    .text   ascii   _^[H
219  0x00003801 0x00404401 5   6    .text   ascii   Nl#N4
220  0x00003823 0x00404423 4   6    .text   utf8    N,+Á blocks=Basic Latin,Latin-1 Supplement
221  0x00003866 0x00404466 6   7    .text   ascii   Vlf+Vp
222  0x00003954 0x00404554 6   8    .text   utf8    ^4#ڋV@ blocks=Basic Latin,Arabic
223  0x00003967 0x00404567 5   6    .text   ascii   Nl#N4
224  0x00003a2b 0x0040462b 5   7    .text   utf8    3\vVlj
225  0x00003a5e 0x0040465e 5   6    .text   ascii   W\fUQR
226  0x00003a9b 0x0040469b 4   5    .text   ascii   _^]3
227  0x00003aa0 0x004046a0 4   6    .text   utf8    [ËN\ blocks=Basic Latin,Latin-1 Supplement
228  0x00003ae7 0x004046e7 5   6    .text   ascii   _^][H
229  0x00003af6 0x004046f6 4   5    .text   ascii   _^][
230  0x00003b00 0x00404700 4   5    .text   ascii   QSUV
231  0x00003b77 0x00404777 5   6    .text   ascii   Nl#N4
232  0x00003c12 0x00404812 5   6    .text   ascii   Vl+Vp
233  0x00003c39 0x00404839 6   7    .text   ascii   Vlf+Vd
234  0x00003c50 0x00404850 4   5    .text   ascii   Fxf+
235  0x00003d03 0x00404903 4   5    .text   ascii   #V43
236  0x00003d1b 0x0040491b 5   6    .text   ascii   Nl#N4
237  0x00003d9e 0x0040499e 5   6    .text   ascii   G\fSRP
238  0x00003ddb 0x004049db 4   5    .text   ascii   _^]3
239  0x00003de0 0x004049e0 5   7    .text   utf8    [YÃ~h blocks=Basic Latin,Latin-1 Supplement
240  0x00003e4e 0x00404a4e 5   7    .text   utf8    3\vVlj
241  0x00003e81 0x00404a81 5   6    .text   ascii   W\fSQR
242  0x00003f62 0x00404b62 5   6    .text   ascii   _^][H
243  0x00003f72 0x00404b72 4   5    .text   ascii   _^][
244  0x00003f92 0x00404b92 12  13   .text   ascii   tr9_ tm9_$th
245  0x00004074 0x00404c74 6   7    .text   ascii   9B\bt\vj
246  0x000040fe 0x00404cfe 4   5    .text   ascii   |$$8
247  0x0000410a 0x00404d0a 4   5    .text   ascii   |$\f;
248  0x0000411a 0x00404d1a 5   6    .text   ascii   9O u\n
249  0x00004127 0x00404d27 7   8    .text   ascii   O(9O$u\a
250  0x00004161 0x00404d61 4   5    .text   ascii   D$ H
251  0x000041a9 0x00404da9 4   5    .text   ascii   G Vh
252  0x00004257 0x00404e57 4   5    .text   ascii   W PQ
253  0x00004275 0x00404e75 4   5    .text   ascii   V\ftN
254  0x000042a0 0x00404ea0 4   5    .text   ascii   T$(W
255  0x000042c2 0x00404ec2 4   5    .text   ascii   ^[_]
256  0x00004309 0x00404f09 4   5    .text   ascii   T$\bP
257  0x0000430e 0x00404f0e 5   6    .text   ascii   D$\bQj
258  0x00004318 0x00404f18 4   5    .text   ascii   j\bRP
259  0x0000433a 0x00404f3a 5   6    .text   ascii   ~\wuJ
260  0x00004349 0x00404f49 4   5    .text   ascii   FHQh
261  0x00004379 0x00404f79 6   7    .text   ascii   D$\fRPV
262  0x0000438e 0x00404f8e 4   6    .text   utf8    ^Ã~< blocks=Basic Latin,Latin-1 Supplement
263  0x000043ab 0x00404fab 4   5    .text   ascii   NDPh
264  0x00004471 0x00405071 4   6    .text   utf8    FX^Ë blocks=Basic Latin,Latin-1 Supplement
265  0x0000456c 0x0040516c 4   6    .text   utf8    _ËFP blocks=Basic Latin,Latin-1 Supplement
266  0x00004584 0x00405184 7   8    .text   ascii   F\<wu\bV
267  0x00004591 0x00405191 6   7    .text   ascii   \n<ru\vV
268  0x0000460f 0x0040520f 4   6    .text   utf8    ̋L$\b blocks=Combining Diacritical Marks,Basic Latin
269  0x0000461c 0x0040521c 5   6    .text   ascii   y\ru2
270  0x00004627 0x00405227 7   8    .text   ascii   t*9Qlu%
271  0x0000462f 0x0040522f 6   8    .text   utf8    Qh3҃y8 blocks=Basic Latin,Cyrillic
272  0x0000469a 0x0040529a 4   5    .text   ascii   FHQh
273  0x000046d4 0x004052d4 6   7    .text   ascii   )Nd)Vh
274  0x000046f2 0x004052f2 5   6    .text   ascii   FLWUP
275  0x00004707 0x00405307 4   6    .text   utf8    _]^ø blocks=Basic Latin,Latin-1 Supplement
276  0x0000473b 0x0040533b 4   5    .text   ascii   T$\bh
277  0x00004795 0x00405395 4   5    .text   ascii   D$\bj
278  0x0000479b 0x0040539b 5   6    .text   ascii   L$\fQR
279  0x000047b3 0x004053b3 4   6    .text   utf8    D$\bÃ blocks=Basic Latin,Latin-1 Supplement
280  0x000047bf 0x004053bf 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
281  0x000047db 0x004053db 5   6    .text   ascii   D$\fRP
282  0x0000481e 0x0040541e 5   6    .text   ascii   NHPWj
283  0x0000484a 0x0040544a 4   5    .text   ascii   FhQV
284  0x0000489f 0x0040549f 4   5    .text   ascii   F8^[
285  0x000048af 0x004054af 5   7    .text   utf8    ̋D$\bV blocks=Combining Diacritical Marks,Basic Latin
286  0x000048b6 0x004054b6 4   5    .text   ascii   t$\bP
287  0x000048f2 0x004054f2 5   6    .text   ascii   t$\bW3
288  0x000048fd 0x004054fd 5   6    .text   ascii   ~\ruK
289  0x00004903 0x00405503 5   6    .text   ascii   FDWWW
290  0x00004923 0x00405523 8   9    .text   ascii   FL9~Xu\tV
291  0x00004937 0x00405537 5   6    .text   ascii   V@WQR
292  0x00004969 0x00405569 4   5    .text   ascii   x\ru
293  0x0000497a 0x0040557a 4   6    .text   utf8    3Ƀx8 blocks=Basic Latin,Latin Extended-B
294  0x00004999 0x00405599 4   5    .text   ascii   x\ru
295  0x00004a2c 0x0040562c 8   10   .text   utf8    ^À~\wu(j blocks=Basic Latin,Latin-1 Supplement
296  0x00004a88 0x00405688 4   6    .text   utf8    [ËC8 blocks=Basic Latin,Latin-1 Supplement
297  0x00004b23 0x00405723 6   8    .text   utf8    ^][ËKT blocks=Basic Latin,Latin-1 Supplement
298  0x00004b5b 0x0040575b 4   6    .text   utf8    {P+K
299  0x00004b79 0x00405779 9   11   .text   utf8    CP_^][ËD$ blocks=Basic Latin,Latin-1 Supplement
300  0x00004bb2 0x004057b2 5   7    .text   utf8    XSU3ۃ blocks=Basic Latin,Arabic
301  0x00004bc9 0x004057c9 4   5    .text   ascii   9\$h
302  0x00004c78 0x00405878 4   5    .text   ascii   \a<wt
303  0x00004c86 0x00405886 7   8    .text   ascii   \a<0|\f<9
304  0x00004c96 0x00405896 5   6    .text   ascii   5<fu\n
305  0x00004ca4 0x004058a4 5   6    .text   ascii   '<hu\n
306  0x00004cb3 0x004058b3 4   5    .text   ascii   <Ru\n
307  0x00004cd2 0x004058d2 6   7    .text   ascii   T$h9T$
308  0x00004ce0 0x004058e0 6   7    .text   ascii   t:<wuE
309  0x00004cf1 0x004058f1 4   5    .text   ascii   Pj\bj
310  0x00004cf6 0x004058f6 4   5    .text   ascii   j\bUV
311  0x00004d21 0x00405921 4   5    .text   ascii   ^_]3
312  0x00004d50 0x00405950 4   5    .text   ascii   9^Dt
313  0x00004d64 0x00405964 7   9    .text   utf8    D$p;ÍL$ blocks=Basic Latin,Latin-1 Supplement
314  0x00004d71 0x00405971 4   5    .text   ascii   T$pR
315  0x00004d8d 0x0040598d 4   5    .text   ascii   ~\wu
316  0x00004d9b 0x0040599b 4   5    .text   ascii   ^_][
317  0x00004dbe 0x004059be 4   5    .text   ascii   ^_][
318  0x00004e1f 0x00405a1f 5   7    .text   utf8    ̋D$\bV blocks=Combining Diacritical Marks,Basic Latin
319  0x00004e26 0x00405a26 4   5    .text   ascii   t$\bW
320  0x00004e6f 0x00405a6f 7   8    .text   ascii   t.9Vlt)
321  0x00004e95 0x00405a95 5   6    .text   ascii   t\b][_
322  0x00004e9b 0x00405a9b 5   7    .text   utf8    F8^Ã~ blocks=Basic Latin,Latin-1 Supplement
323  0x00004ed5 0x00405ad5 4   5    .text   ascii   FDRh
324  0x00004f29 0x00405b29 6   7    .text   ascii   )Vd)Nh
325  0x00004f5a 0x00405b5a 5   6    .text   ascii   ;FLuK
326  0x00004fc6 0x00405bc6 5   6    .text   ascii   V\fWQR
327  0x00004fe8 0x00405be8 5   6    .text   ascii   N@QPj
328  0x00005010 0x00405c10 4   5    .text   ascii   ][_^
329  0x00005044 0x00405c44 5   6    .text   ascii   u\b][_
330  0x00005050 0x00405c50 4   5    .text   ascii   ][_+
331  0x00005072 0x00405c72 4   5    .text   ascii   L$\bj
332  0x00005078 0x00405c78 5   6    .text   ascii   D$\aPQ
333  0x000050d8 0x00405cd8 4   5    .text   ascii   F<\nu
334  0x00005130 0x00405d30 4   5    .text   ascii   ~\wW
335  0x000051a6 0x00405da6 6   9    .text   utf8    ًFd_^Ã blocks=Arabic,Basic Latin,Latin-1 Supplement
336  0x000051f5 0x00405df5 6   8    .text   utf8    _^ËFh; blocks=Basic Latin,Latin-1 Supplement
337  0x0000525d 0x00405e5d 4   5    .text   ascii   FHPV
338  0x00005274 0x00405e74 4   5    .text   ascii   Fh_^
339  0x000052f5 0x00405ef5 5   6    .text   ascii   9^ u\n
340  0x00005302 0x00405f02 7   8    .text   ascii   ^(9^$u\a
341  0x00005314 0x00405f14 5   6    .text   ascii   V h0%
342  0x00005325 0x00405f25 5   6    .text   ascii   u\n_^]
343  0x000053de 0x00405fde 5   7    .text   utf8    \v3ۉL$ blocks=Basic Latin,Arabic
344  0x00005517 0x00406117 4   7    .text   utf8     rƋˋ blocks=Basic Latin,Latin Extended-B,Spacing Modifier Letters
345  0x0000558d 0x0040618d 5   6    .text   ascii   D$@QP
346  0x000055db 0x004061db 4   5    .text   ascii   )D$ 
347  0x000055e0 0x004061e0 6   7    .text   ascii   D$$)G@
348  0x000056d0 0x004062d0 4   6    .text   utf8    rƋOh blocks=Basic Latin,Latin Extended-B
349  0x000056f8 0x004062f8 4   5    .text   ascii   ;O\r
350  0x00005734 0x00406334 4   5    .text   ascii   GTPQ
351  0x00005741 0x00406341 4   5    .text   ascii   GpPj
352  0x000057e3 0x004063e3 4   6    .text   utf8    \bH#Ë blocks=Basic Latin,Latin-1 Supplement
353  0x000058ce 0x004064ce 4   6    .text   utf8    r\vL$
354  0x00005951 0x00406551 4   6    .text   utf8    r\vL$
355  0x000059b0 0x004065b0 4   6    .text   utf8    r\vL$
356  0x000059f1 0x004065f1 4   5    .text   ascii   WhHf
357  0x00005a04 0x00406604 5   6    .text   ascii   G`9Gh
358  0x00005a38 0x00406638 4   5    .text   ascii   G`QP
359  0x00005a3d 0x0040663d 4   5    .text   ascii   GpPj
360  0x00005a8b 0x0040668b 4   5    .text   ascii   GXPQ
361  0x00005a9d 0x0040669d 5   6    .text   ascii   TOpRj
362  0x00005ae8 0x004066e8 7   8    .text   ascii   w<9G,s\a
363  0x00005af1 0x004066f1 4   6    .text   utf8    +щW, blocks=Basic Latin,Cyrillic
364  0x00005af7 0x004066f7 5   6    .text   ascii   t$,PV
365  0x00005b31 0x00406731 5   7    .text   utf8    OLH#Ë blocks=Basic Latin,Latin-1 Supplement
366  0x00005b85 0x00406785 4   6    .text   utf8    \bH#Ë blocks=Basic Latin,Latin-1 Supplement
367  0x00005bb0 0x004067b0 4   6    .text   utf8    щL$$ blocks=Cyrillic,Basic Latin
