[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
90    0x0000121a 0x00401e1a 4   5    .text   ascii   D$'V
91    0x00001229 0x00401e29 4   5    .text   ascii   D$*[
92    0x0000123d 0x00401e3d 4   5    .text   ascii   D$.{
93    0x0000124c 0x00401e4c 4   5    .text   ascii   D$1v
94    0x00001256 0x00401e56 4   5    .text   ascii   D$34
95    0x0000126a 0x00401e6a 4   5    .text   ascii   D$7x
96    0x00001279 0x00401e79 4   5    .text   ascii   D$:o
97    0x000012cf 0x00401ecf 4   5    .text   ascii   D$4;
98    0x000012fd 0x00401efd 5   6    .text   ascii   T$HRW
99    0x00001322 0x00401f22 5   7    .text   utf8    +ʉT$4 blocks=Basic Latin,IPA Extensions
100   0x00001342 0x00401f42 4   5    .text   ascii   L$Th
101   0x0000135d 0x00401f5d 5   7    .text   utf8    uԋL$@ blocks=Basic Latin,Cyrillic Supplement
102   0x00001378 0x00401f78 5   7    .text   utf8    D$@+M
103   0x00001387 0x00401f87 5   7    .text   utf8    KL$XP
104   0x00001397 0x00401f97 7   10   .text   utf8    D$<RSP莚 blocks=Basic Latin,CJK Unified Ideographs
105   0x000013cf 0x00401fcf 4   5    .text   ascii   |$8P
106   0x000013e6 0x00401fe6 6   7    .text   ascii   L$PQSV
107   0x000013fa 0x00401ffa 4   5    .text   ascii   D$0P
108   0x00001407 0x00402007 4   5    .text   ascii   D$5'
109   0x0000141b 0x0040201b 4   5    .text   ascii   D$9!
110   0x00001420 0x00402020 4   5    .text   ascii   D$:.
111   0x00001425 0x00402025 4   5    .text   ascii   D$;\r
112   0x0000142f 0x0040202f 4   5    .text   ascii   D$=)
113   0x00001434 0x00402034 4   5    .text   ascii   D$>W
114   0x00001439 0x00402039 4   5    .text   ascii   D$?V
115   0x00001448 0x00402048 4   5    .text   ascii   D$B[
116   0x0000145c 0x0040205c 4   5    .text   ascii   D$F{
117   0x0000146b 0x0040206b 4   5    .text   ascii   D$Iv
118   0x00001475 0x00402075 4   5    .text   ascii   D$K4
119   0x00001489 0x00402089 4   5    .text   ascii   D$Ox
120   0x00001498 0x00402098 4   5    .text   ascii   D$Ro
121   0x000014f1 0x004020f1 4   5    .text   ascii   D$!\f
122   0x000014f6 0x004020f6 4   5    .text   ascii   D$"U
123   0x000014fb 0x004020fb 4   5    .text   ascii   D$#%
124   0x0000150a 0x0040210a 4   5    .text   ascii   D$&5
125   0x0000151e 0x0040211e 4   5    .text   ascii   D$*{
126   0x0000152d 0x0040212d 4   5    .text   ascii   D$-v
127   0x00001537 0x00402137 4   5    .text   ascii   D$/4
128   0x0000154b 0x0040214b 4   5    .text   ascii   D$3x
129   0x0000155a 0x0040215a 4   5    .text   ascii   D$6o
130   0x0000159f 0x0040219f 4   5    .text   ascii   \$T:
131   0x000015c6 0x004021c6 4   5    .text   ascii   8\$G
132   0x000015d1 0x004021d1 4   5    .text   ascii   D$8j
133   0x00001627 0x00402227 5   6    .text   ascii   T$LRh
134   0x000016ab 0x004022ab 4   5    .text   ascii   D$PP
135   0x000016b0 0x004022b0 5   7    .text   utf8    ыt$X; blocks=Cyrillic,Basic Latin
136   0x0000170f 0x0040230f 6   7    .text   ascii   D$HUWP
137   0x00001725 0x00402325 4   5    .text   ascii   D$T;
138   0x0000175c 0x0040235c 4   5    .text   ascii   D$4;
139   0x00001792 0x00402392 4   5    .text   ascii   SSj\f
140   0x0000179d 0x0040239d 4   5    .text   ascii   L$<;
141   0x000017af 0x004023af 4   5    .text   ascii   D$8;
142   0x00001827 0x00402427 4   5    .text   ascii   D$<;
143   0x00001835 0x00402435 4   6    .text   utf8    ҍL$@ blocks=Cyrillic,Basic Latin
144   0x00001840 0x00402440 4   5    .text   ascii   D$4;
145   0x0000186b 0x0040246b 4   5    .text   ascii   D$T;
146   0x00001879 0x00402479 5   7    .text   utf8    ЋD$X; blocks=Cyrillic,Basic Latin
147   0x0000188a 0x0040248a 4   5    .text   ascii   _^]3
148   0x000018f7 0x004024f7 4   6    .text   utf8    ^_[Ã blocks=Basic Latin,Latin-1 Supplement
149   0x00001b0f 0x0040270f 4   6    .text   utf8    ̋L$\f blocks=Combining Diacritical Marks,Basic Latin
150   0x00001b28 0x00402728 4   6    .text   utf8    ًL$\b blocks=Arabic,Basic Latin
151   0x00001bbc 0x004027bc 4   5    .text   ascii   D$DS
152   0x00001bc1 0x004027c1 5   6    .text   ascii   \$Dj8
153   0x00001bcb 0x004027cb 4   5    .text   ascii   L$Th
154   0x00001c0d 0x0040280d 4   5    .text   ascii   D$\bj
155   0x00001c23 0x00402823 4   5    .text   ascii   L$\bQ
156   0x00001c3e 0x0040283e 4   6    .text   utf8    8ËT$ blocks=Basic Latin,Latin-1 Supplement
157   0x00001c45 0x00402845 4   5    .text   ascii   D$\bP
158   0x00001c69 0x00402869 4   5    .text   ascii   T$\bj
159   0x00001c70 0x00402870 6   7    .text   ascii   D$\fQRP
160   0x00001c8f 0x0040288f 4   6    .text   utf8    ȍD\n\v blocks=Latin Extended-B,Basic Latin
161   0x000022f2 0x00402ef2 4   7    .text   utf8    73ҋ˅ blocks=Basic Latin,Cyrillic,Spacing Modifier Letters
162   0x00002391 0x00402f91 4   5    .text   ascii   L<\f3
163   0x000023cc 0x00402fcc 4   6    .text   utf8    t#3ҍ blocks=Basic Latin,Cyrillic
164   0x00002436 0x00403036 7   9    .text   utf8    t\e3ҍL$\f blocks=Basic Latin,Cyrillic
165   0x0000247f 0x0040307f 4   6    .text   utf8    ̋L$\b blocks=Combining Diacritical Marks,Basic Latin
166   0x0000248a 0x0040308a 4   6    .text   utf8    ËT$\f blocks=Latin-1 Supplement,Basic Latin
167   0x000024ed 0x004030ed 5   6    .text   ascii   A0SUP
168   0x0000251d 0x0040311d 5   6    .text   ascii   V8WUR
169   0x00002546 0x00403146 5   7    .text   utf8    \f3҉FH blocks=Basic Latin,Cyrillic
170   0x0000258b 0x0040318b 4   5    .text   ascii   _^]3
171   0x000025f5 0x004031f5 6   7    .text   ascii   J#T$\ff
172   0x0000264f 0x0040324f 4   6    .text   utf8    ̋T$\b blocks=Combining Diacritical Marks,Basic Latin
173   0x000026db 0x004032db 5   6    .text   ascii   N\fWPQ
174   0x00002776 0x00403376 6   8    .text   utf8    ^ËV(SU blocks=Basic Latin,Latin-1 Supplement
175   0x0000297e 0x0040357e 4   5    .text   ascii   O0PQ
176   0x000029db 0x004035db 4   6    .text   utf8    \vȃ~l blocks=Basic Latin,Latin Extended-B
177   0x00002a54 0x00403654 5   6    .text   ascii   9F sn
178   0x00002a63 0x00403663 5   6    .text   ascii   ;F\fu6
179   0x00002a7c 0x0040367c 5   7    .text   utf8    KO0PQ
