[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000d8 0x000000d8 6   7            ascii   Rich$e
2    0x000001f0 0x000001f0 5   6            ascii   .text
3    0x00000217 0x00000217 7   8            ascii   `.rdata
4    0x0000023f 0x0000023f 6   7            ascii   @.data
5    0x00000268 0x00000268 5   6            ascii   .rsrc
6    0x0000028f 0x0000028f 7   8            ascii   @.reloc
7    0x00000429 0x10001029 4   5    .text   ascii   SVWP
8    0x0000056e 0x1000116e 4   5    .text   ascii   y\aH\r
9    0x000005e5 0x100011e5 4   5    .text   ascii   Y_^[
10   0x00000629 0x10001229 4   5    .text   ascii   SVWP
11   0x0000064e 0x1000124e 5   7    .text   utf8    u\t3\tE
12   0x000006a1 0x100012a1 4   5    .text   ascii   y\aH\r
13   0x000007a5 0x100013a5 4   5    .text   ascii   Y_^[
14   0x000007d4 0x100013d4 4   5    .text   ascii   E\fSV
15   0x00000ad9 0x100016d9 4   5    .text   ascii   SVWP
16   0x00000bde 0x100017de 4   5    .text   ascii   Y_^[
17   0x00000c09 0x10001809 4   5    .text   ascii   SVWh
18   0x00000d59 0x10001959 4   5    .text   ascii   SVWP
19   0x00000d9a 0x1000199a 5   6    .text   ascii   vGPSh
20   0x00001006 0x10001c06 9   14   .text   utf8    3\tE҉E։EډE blocks=Basic Latin,Cyrillic,Armenian,Arabic
21   0x000011f8 0x10001df8 5   8    .text   utf8    EЋЍd$ blocks=Basic Latin,Cyrillic
22   0x000013b7 0x10001fb7 4   7    .text   utf8    t\tP訾 blocks=Basic Latin,CJK Unified Ideographs
23   0x000013ce 0x10001fce 4   5    .text   ascii   Y_^[
24   0x000014db 0x100020db 4   5    .text   ascii   D$ 0
25   0x00001503 0x10002103 5   6    .text   ascii   T$lR3
26   0x00001627 0x10002227 5   8    .text   utf8    D$lP迼 blocks=Basic Latin,CJK Unified Ideographs
27   0x0000163d 0x1000223d 4   5    .text   ascii   t$|f
28   0x00001642 0x10002242 4   5    .text   ascii   L$l;
29   0x00001658 0x10002258 6   7    .text   ascii   @f94Cu
30   0x00001668 0x10002268 4   5    .text   ascii   t$D3
31   0x00001679 0x10002279 4   5    .text   ascii   |$Lf
32   0x0000168a 0x1000228a 7   10   .text   utf8    ÍL$TƄ$4 blocks=Latin-1 Supplement,Basic Latin,Latin Extended-B
33   0x000016be 0x100022be 6   7    .text   ascii   9t$dr\r
34   0x000016c5 0x100022c5 4   5    .text   ascii   L$PQ
35   0x000016e9 0x100022e9 9   10   .text   ascii   T$P9t$Hr\r
36   0x000016f3 0x100022f3 4   5    .text   ascii   D$4P
37   0x00001736 0x10002336 7   10   .text   utf8    ƍL$TƄ$4 blocks=Latin Extended-B,Basic Latin
38   0x0000176a 0x1000236a 6   7    .text   ascii   9t$dr\r
39   0x00001771 0x10002371 4   5    .text   ascii   L$PQ
40   0x00001795 0x10002395 9   10   .text   ascii   T$P9t$Hr\r
41   0x0000179f 0x1000239f 4   5    .text   ascii   D$4P
42   0x00001848 0x10002448 4   6    .text   utf8    ̉d$L blocks=Combining Diacritical Marks,Basic Latin
43   0x00001862 0x10002462 4   6    .text   utf8    ̉d$d blocks=Combining Diacritical Marks,Basic Latin
44   0x0000186d 0x1000246d 7   9    .text   utf8    D$lPƄ$l blocks=Basic Latin,Latin Extended-B
45   0x00001880 0x10002480 4   6    .text   utf8    <Ƅ$0 blocks=Basic Latin,Latin Extended-B
46   0x0000188e 0x1000248e 5   7    .text   utf8    |$4+ϸ blocks=Basic Latin,Greek and Coptic
47   0x00001986 0x10002586 4   5    .text   ascii   |$d\b
48   0x0000198b 0x1000258b 4   5    .text   ascii   D$Ps
49   0x000019a1 0x100025a1 6   8    .text   utf8    \$4Ƅ$0 blocks=Basic Latin,Latin Extended-B
50   0x00001a04 0x10002604 4   5    .text   ascii   Y_^[
51   0x00001ab8 0x100026b8 4   5    .text   ascii   t$Tf
52   0x00001ddb 0x100029db 4   5    .text   ascii   VRQP
