[Strings]
nth  paddr      vaddr      len  size section type    string
80   0x00001196 0x00401d96 4    6    CODE    utf8    ǋT$\b blocks=Latin Extended-B,Basic Latin
81   0x0000119f 0x00401d9f 5    8    CODE    utf8    Ѝ\f.+у blocks=Cyrillic,Basic Latin
82   0x00001211 0x00401e11 4    6    CODE    utf8    ԋD$\b blocks=Cyrillic Supplement,Basic Latin
83   0x00001221 0x00401e21 5    6    CODE    ascii   \f]_^[
84   0x0000131a 0x00401f1a 4    6    CODE    utf8    \f^[Ð blocks=Basic Latin,Latin-1 Supplement
85   0x0000135a 0x00401f5a 5    7    CODE    utf8    3#\b&B
86   0x000013b3 0x00401fb3 4    5    CODE    ascii   t$\f;
87   0x000013f0 0x00401ff0 5    7    CODE    utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
88   0x0000141e 0x0040201e 6    8    CODE    utf8    YZ[ÐSV blocks=Basic Latin,Latin-1 Supplement
89   0x0000144f 0x0040204f 6    8    CODE    utf8    YZ^[Í@ blocks=Basic Latin,Latin-1 Supplement
90   0x00001470 0x00402070 4    5    CODE    ascii   \r\f&B
91   0x0000147e 0x0040207e 4    5    CODE    ascii   u\b@=
92   0x0000148f 0x0040208f 4    5    CODE    ascii   SVWU
93   0x00001497 0x00402097 4    6    CODE    utf8    ؍t$\b blocks=Arabic,Basic Latin
94   0x0000150c 0x0040210c 4    6    CODE    utf8    u\n3\t
95   0x00001588 0x00402188 4    5    CODE    ascii   ;\au\a
96   0x000015d1 0x004021d1 5    6    CODE    ascii   \f]_^[
97   0x000015f8 0x004021f8 5    7    CODE    utf8    ~\n3\tE
98   0x00001606 0x00402206 5    6    CODE    ascii   Uh`#@
99   0x00001613 0x00402213 4    5    CODE    ascii   =5 B
100  0x00001754 0x00402354 4    5    CODE    ascii   ZYYd
101  0x0000175a 0x0040235a 4    5    CODE    ascii   hg#@
102  0x00001760 0x00402360 4    5    CODE    ascii   =5 B
103  0x000017bd 0x004023bd 5    6    CODE    ascii   Uh7%@
104  0x000017ca 0x004023ca 4    5    CODE    ascii   =5 B
105  0x0000184b 0x0040244b 4    5    CODE    ascii   ;B\bt
106  0x000018f6 0x004024f6 5    6    CODE    ascii   x\b\f}\f
107  0x0000192b 0x0040252b 4    5    CODE    ascii   ZYYd
108  0x00001931 0x00402531 4    5    CODE    ascii   h>%@
109  0x00001937 0x00402537 4    5    CODE    ascii   =5 B
110  0x0000195b 0x0040255b 4    5    CODE    ascii   SVWU
111  0x000019af 0x004025af 7    8    CODE    ascii   u,)-\b&B
112  0x000019cb 0x004025cb 4    5    CODE    ascii   -\b&B
113  0x00001a3f 0x0040263f 4    5    CODE    ascii   ue;=
114  0x00001a50 0x00402650 4    5    CODE    ascii   =\b&B
115  0x00001b58 0x00402758 7    9    CODE    utf8    \f]_^[ÐU blocks=Basic Latin,Latin-1 Supplement
116  0x00001b7b 0x0040277b 5    7    CODE    utf8    u\n3\tE
117  0x00001b96 0x00402796 4    5    CODE    ascii   =5 B
118  0x00001bf9 0x004027f9 4    5    CODE    ascii   ZYYd
119  0x00001bff 0x004027ff 4    5    CODE    ascii   h\f(@
120  0x00001c05 0x00402805 4    5    CODE    ascii   =5 B
121  0x00001c22 0x00402822 7    9    CODE    utf8    ^[YY]Í@ blocks=Basic Latin,Latin-1 Supplement
122  0x00001c54 0x00402854 5    7    CODE    utf8    $Z[Í@ blocks=Basic Latin,Latin-1 Supplement
123  0x00001ce1 0x004028e1 4    5    CODE    ascii   =\b B
124  0x00001d02 0x00402902 5    8    CODE    utf8    w\n3\nÊ blocks=Basic Latin,Latin-1 Supplement
125  0x00001d19 0x00402919 4    6    CODE    utf8    ^[Í@ blocks=Basic Latin,Latin-1 Supplement
126  0x00001d2a 0x0040292a 4    6    CODE    utf8    ã$&B blocks=Latin-1 Supplement,Basic Latin
127  0x00001d4f 0x0040294f 5    7    CODE    utf8    _^Ít1 blocks=Basic Latin,Latin-1 Supplement
128  0x00001d95 0x00402995 4    6    CODE    utf8    YZÍ@ blocks=Basic Latin,Latin-1 Supplement
129  0x00001db5 0x004029b5 4    5    CODE    ascii   r/f=
130  0x00001dbb 0x004029bb 4    5    CODE    ascii   w)f%
131  0x00001e2f 0x00402a2f 4    6    CODE    utf8    3Ɋ\nA blocks=Basic Latin,Latin Extended-B
132  0x00001e58 0x00402a58 4    6    CODE    utf8    _ÐS1 blocks=Basic Latin,Latin-1 Supplement
133  0x00001e77 0x00402a77 4    5    CODE    ascii   SVWR
134  0x00001eca 0x00402aca 4    5    CODE    ascii   \aGKu
135  0x00001ed2 0x00402ad2 4    6    CODE    utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
136  0x00001f3a 0x00402b3a 4    5    CODE    ascii   \tw%9
137  0x00001f5e 0x00402b5e 6    7    CODE    ascii   ~KxI[)
138  0x00001faf 0x00402baf 6    8    CODE    utf8    2_^[Í@ blocks=Basic Latin,Latin-1 Supplement
139  0x00001fb8 0x00402bb8 4    5    CODE    ascii   %L2B
140  0x00002007 0x00402c07 4    5    CODE    ascii   ht,@
141  0x0000201c 0x00402c1c 5    6    CODE    ascii   UhM,@
142  0x0000204b 0x00402c4b 4    5    CODE    ascii   ZYYd
143  0x00002051 0x00402c51 4    5    CODE    ascii   hT,@
144  0x00002087 0x00402c87 27   28   CODE    ascii   SOFTWARE\Borland\Delphi\RTL
145  0x000020a3 0x00402ca3 12   13   CODE    ascii   FPUMaskValue
146  0x000020f0 0x00402cf0 5    6    CODE    ascii   PPRTj
147  0x00002105 0x00402d05 4    6    CODE    utf8    \bXÍ@ blocks=Basic Latin,Latin-1 Supplement
148  0x0000212a 0x00402d2a 4    5    CODE    ascii   v\aPS
149  0x00002179 0x00402d79 5    7    CODE    utf8    YYZXÐ blocks=Basic Latin,Latin-1 Supplement
150  0x000021b6 0x00402db6 6    9    CODE    utf8    ZXË\vD$ blocks=Basic Latin,Latin-1 Supplement
151  0x0000225c 0x00402e5c 6    7    CODE    ascii   D$\bRQP
152  0x0000226a 0x00402e6a 5    6    CODE    ascii   YZXtp
153  0x00002276 0x00402e76 4    5    CODE    ascii   VWUd
154  0x0000227b 0x00402e7b 5    6    CODE    ascii   \eSPRQ
155  0x00002281 0x00402e81 4    5    CODE    ascii   T$(j
156  0x000022e4 0x00402ee4 4    7    CODE    utf8    Ë\vD$ blocks=Latin-1 Supplement,Basic Latin
157  0x00002302 0x00402f02 4    5    CODE    ascii   SVWU
158  0x00002313 0x00402f13 4    5    CODE    ascii   ]_^[
159  0x0000231c 0x00402f1c 5    8    CODE    utf8    Ë\vD$0 blocks=Latin-1 Supplement,Basic Latin
160  0x00002366 0x00402f66 4    5    CODE    ascii   ]_^[
161  0x00002390 0x00402f90 4    5    CODE    ascii   d$,1
162  0x000023a3 0x00402fa3 5    7    CODE    utf8    1ҋL$\b blocks=Basic Latin,Cyrillic
163  0x000023c9 0x00402fc9 4    5    CODE    ascii   ,t\=
164  0x000023e1 0x00402fe1 5    6    CODE    ascii   t=HtN
165  0x000023f0 0x00402ff0 4    5    CODE    ascii   r6t0
166  0x00002404 0x00403004 4    5    CODE    ascii   t.Ht
167  0x0000248f 0x0040308f 4    5    CODE    ascii   T$\bj
168  0x0000251b 0x0040311b 5    7    CODE    utf8    1ҡ,&B blocks=Basic Latin,Cyrillic
169  0x00002590 0x00403190 4    5    CODE    ascii   ZYYd
170  0x000025ac 0x004031ac 6    7    CODE    ascii   _^[YY]
171  0x000025c9 0x004031c9 4    6    CODE    utf8    03ۋ@ blocks=Basic Latin,Arabic
172  0x00002600 0x00403200 4    5    CODE    ascii   ZYYd
173  0x0000261c 0x0040321c 6    7    CODE    ascii   _^[YY]
174  0x0000263c 0x0040323c 5    7    CODE    utf8    3#4&B
