[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
732  0x00004215 0x00404215 9   11   .text   utf8    Iq7IqͦIq~ blocks=Basic Latin,Combining Diacritical Marks
733  0x00004223 0x00404223 6   7    .text   ascii   Iq&Iqj
734  0x00004246 0x00404246 5   6    .text   ascii   Iq_Iq
735  0x00004256 0x00404256 7   8    .text   ascii   IqRs\eIq
736  0x0000425f 0x0040425f 5   6    .text   ascii   Iq>Iq
737  0x00004270 0x00404270 5   6    .text   ascii   Iq)Iq
738  0x00004288 0x00404288 6   7    .text   ascii   wt\m31
739  0x00004293 0x00404293 4   5    .text   ascii   \acE^
740  0x000042a4 0x004042a4 6   7    .text   ascii   \tJ.3NK
741  0x000042b0 0x004042b0 8   9    .text   ascii   \tJ.31804
742  0x000042e0 0x004042e0 7   8    .text   ascii   wt\mcE^
743  0x000042f4 0x004042f4 6   7    .text   ascii   \tJ.3WR
744  0x000042fb 0x004042fb 4   5    .text   ascii   \acE^
745  0x0000430a 0x0040430a 9   10   .text   ascii   AY\tJ.3cE^
746  0x0000431b 0x0040431b 7   8    .text   ascii   \a=0;@NK
747  0x0000432c 0x0040432c 11  12   .text   ascii   \tJ.3wt\mcE^
748  0x0000434c 0x0040434c 8   9    .text   ascii   \tJ.31804
749  0x00004358 0x00404358 14  15   .text   ascii   \tJ.3wt\mwt\m31
750  0x00004368 0x00404368 4   5    .text   ascii   1804
751  0x00004374 0x00404374 4   5    .text   ascii   1804
752  0x00004384 0x00404384 10  11   .text   ascii   \tJ.3\tJ.3WR
753  0x0000438f 0x0040438f 13  14   .text   ascii   \awt\m\tJ.31804
754  0x000043a0 0x004043a0 7   8    .text   ascii   \tJ.3868
755  0x000043a8 0x004043a8 10  11   .text   ascii   \tJ.3\tJ.3NK
756  0x000043bb 0x004043bb 4   5    .text   ascii   \acE^
757  0x000043cc 0x004043cc 7   8    .text   ascii   \tJ.3cE^
758  0x000043ec 0x004043ec 4   5    .text   ascii   1804
759  0x000043fc 0x004043fc 4   5    .text   ascii   1804
760  0x00004404 0x00404404 4   5    .text   ascii   7218
761  0x0000440f 0x0040440f 5   6    .text   ascii   \aXaWO
762  0x00004420 0x00404420 4   5    .text   ascii   1804
763  0x00004476 0x00404476 4   5    .text   ascii   E\bWO
764  0x000044bd 0x004044bd 4   9    .text   utf16le jjjh
765  0x000044d1 0x004044d1 4   5    .text   ascii   T$P#
766  0x0000451b 0x0040451b 4   5    .text   ascii   T$Ph
767  0x0000454b 0x0040454b 4   9    .text   utf16le jjjh
768  0x00004554 0x00404554 4   9    .text   utf16le @jjh
769  0x00004579 0x00404579 4   6    .text   utf8    ՈA\e# blocks=Armenian,Basic Latin
770  0x000045d4 0x004045d4 5   8    .text   utf8    \a#Ӌǡl blocks=Basic Latin,Cyrillic,Latin Extended-B
771  0x000045de 0x004045de 4   6    .text   utf8    ËD$d blocks=Latin-1 Supplement,Basic Latin
772  0x0000464f 0x0040464f 4   5    .text   ascii   L$X3
773  0x00004655 0x00404655 5   7    .text   utf8    ։L$@Y blocks=Armenian,Basic Latin
774  0x000046b2 0x004046b2 4   5    .text   ascii   D$`#
775  0x00004762 0x00404762 4   7    .text   utf8    ́ÊL* blocks=Combining Diacritical Marks,Latin-1 Supplement,Basic Latin
776  0x0000476e 0x0040476e 5   11   .text   utf16le jjjjj
777  0x000047a2 0x004047a2 5   7    .text   utf8    ǉD$<h blocks=Latin Extended-B,Basic Latin
778  0x000047c8 0x004047c8 4   6    .text   utf8    *ƇGW blocks=Basic Latin,Latin Extended-B
779  0x0000486e 0x0040486e 5   7    .text   utf8    E܍D$  blocks=Basic Latin,Syriac
780  0x00004891 0x00404891 8   17   .text   utf16le @jjjjjjj
781  0x000048a8 0x004048a8 4   5    .text   ascii   L$8#
782  0x000048b0 0x004048b0 4   9    .text   utf16le @jjj
783  0x00004975 0x00404975 6   7    .text   ascii   A\bhTOA
784  0x000049fd 0x004049fd 4   5    .text   ascii   T$Xj
785  0x00004a59 0x00404a59 4   5    .text   ascii   |$Lj
786  0x00004a5e 0x00404a5e 8   17   .text   utf16le jjjjjjjj
787  0x00004a85 0x00404a85 5   7    .text   utf8    ̉\$D^ blocks=Combining Diacritical Marks,Basic Latin
788  0x00004a8c 0x00404a8c 4   5    .text   ascii   \$hS
789  0x00004a94 0x00404a94 4   5    .text   ascii   =TnA
790  0x00004b0b 0x00404b0b 7   8    .text   ascii   D$0hXt@
791  0x00004b28 0x00404b28 4   5    .text   ascii   jDjx
792  0x00004b98 0x00404b98 4   5    .text   ascii   |$$j
793  0x00004bcb 0x00404bcb 4   6    .text   utf8    3KD$
794  0x00004bea 0x00404bea 5   7    .text   utf8    L$$#͋ blocks=Basic Latin,Combining Diacritical Marks
795  0x00004bfe 0x00404bfe 4   5    .text   ascii   D$8h
796  0x00004c1f 0x00404c1f 5   8    .text   utf8    #ƁÎCy blocks=Basic Latin,Latin Extended-B,Latin-1 Supplement
797  0x00004c27 0x00404c27 4   6    .text   utf8    3ˉ|$ blocks=Basic Latin,Spacing Modifier Letters
798  0x00004c9a 0x00404c9a 4   5    .text   ascii   #U\bj
799  0x00004d07 0x00404d07 9   10   .text   ascii   Qj$j2j@jL
800  0x00004d7a 0x00404d7a 4   5    .text   ascii   hpmA
801  0x00004e21 0x00404e21 4   5    .text   ascii   l$@\v
802  0x00004e26 0x00404e26 4   6    .text   utf8    ̉\$x blocks=Combining Diacritical Marks,Basic Latin
803  0x00004e7b 0x00404e7b 5   11   .text   utf16le @jjjj
804  0x00004ecc 0x00404ecc 4   5    .text   ascii   jBj=
805  0x00004f6f 0x00404f6f 5   7    .text   utf8    L$,3Ë blocks=Basic Latin,Latin-1 Supplement
806  0x00004f7d 0x00404f7d 5   11   .text   utf16le @jjjj
807  0x00005041 0x00405041 5   7    .text   utf8    ډ5\OA blocks=Arabic,Basic Latin
808  0x00005051 0x00405051 4   5    .text   ascii   T$TQ
809  0x00005084 0x00405084 5   6    .text   ascii   @\fvT2
810  0x000050b2 0x004050b2 5   7    .text   utf8    \n#ǋD$ blocks=Basic Latin,Latin Extended-B
811  0x0000513b 0x0040513b 4   9    .text   utf16le jjjh
812  0x00005144 0x00405144 4   9    .text   utf16le @jjh
813  0x0000517d 0x0040517d 4   6    .text   utf8    D$0\v
814  0x000051a3 0x004051a3 5   6    .text   ascii   \$ j\b
815  0x000051d6 0x004051d6 4   5    .text   ascii   L$4P
816  0x00005256 0x00405256 6   8    .text   utf8    3̉T$P# blocks=Basic Latin,Combining Diacritical Marks
817  0x0000527e 0x0040527e 5   6    .text   ascii   jQjyj
818  0x000052e2 0x004052e2 4   6    .text   utf8    ϋ]\fh blocks=Greek and Coptic,Basic Latin
819  0x00005345 0x00405345 4   6    .text   utf8    ƉL$4 blocks=Latin Extended-B,Basic Latin
820  0x000053eb 0x004053eb 4   5    .text   ascii   L$XS
821  0x00005438 0x00405438 5   8    .text   utf8    jSj+蠒 blocks=Basic Latin,CJK Unified Ideographs
822  0x000054f1 0x004054f1 4   5    .text   ascii   L$@h
823  0x0000559a 0x0040559a 6   7    .text   ascii   Vj;jaS
824  0x0000561c 0x0040561c 4   6    .text   utf8    3\vH(
825  0x00005646 0x00405646 5   11   .text   utf16le jjjjj
826  0x00005676 0x00405676 5   11   .text   utf16le jjjjj
827  0x000056ac 0x004056ac 5   11   .text   utf16le jjjjj
828  0x000056d6 0x004056d6 5   6    .text   ascii   _hTOA
829  0x0000573e 0x0040573e 4   5    .text   ascii   h\bW;
830  0x0000574b 0x0040574b 4   5    .text   ascii   Pj>j
831  0x000057ae 0x004057ae 4   6    .text   utf8    #ǍE\b blocks=Basic Latin,Latin Extended-B
832  0x000057c3 0x004057c3 5   8    .text   utf8    \vȋÍB\f blocks=Basic Latin,Latin Extended-B,Latin-1 Supplement
833  0x00005804 0x00405804 6   8    .text   utf8    p\f\vȉD$ blocks=Basic Latin,Latin Extended-B
834  0x00005968 0x00405968 4   6    .text   utf8    ЋD$d blocks=Cyrillic,Basic Latin
835  0x00005974 0x00405974 6   8    .text   utf8    #Ɖt$Hj blocks=Basic Latin,Latin Extended-B
836  0x0000597c 0x0040597c 7   15   .text   utf16le jjjjjjj
837  0x000059d2 0x004059d2 4   5    .text   ascii   j4jK
838  0x000059eb 0x004059eb 4   5    .text   ascii   D$d#
839  0x00005a23 0x00405a23 7   8    .text   ascii   jmj1j$j
840  0x00005a4b 0x00405a4b 5   8    .text   utf8    ̋Ƌu\bN blocks=Combining Diacritical Marks,Latin Extended-B,Basic Latin
841  0x00005a75 0x00405a75 4   5    .text   ascii   T$Tj
842  0x00005a7a 0x00405a7a 4   5    .text   ascii   j?jz
843  0x00005a96 0x00405a96 4   9    .text   utf16le jjjj
844  0x00005add 0x00405add 4   5    .text   ascii   \$ ;
845  0x00005b00 0x00405b00 9   19   .text   utf16le jjjjjjjjj
846  0x00005b86 0x00405b86 4   5    .text   ascii   D$83
847  0x00005d76 0x00405d76 5   6    .text   ascii   u\bjrj
848  0x00005db8 0x00405db8 4   5    .text   ascii   D$(3
849  0x00005e85 0x00405e85 4   5    .text   ascii   j?jz
850  0x00005ea3 0x00405ea3 5   6    .text   ascii   jBjOj
851  0x00005fc0 0x00405fc0 5   11   .text   utf16le jjjjj
852  0x0000600a 0x0040600a 4   5    .text   ascii   L$P#
853  0x0000601e 0x0040601e 4   9    .text   utf16le Ijjj
854  0x0000602c 0x0040602c 5   7    .text   utf8    D$8̸N blocks=Basic Latin,Combining Diacritical Marks
855  0x000060bc 0x004060bc 5   6    .text   ascii    Vj0j
856  0x000060c8 0x004060c8 4   5    .text   ascii   jOj"
857  0x000060ef 0x004060ef 4   5    .text   ascii   Vjuj
858  0x000060f4 0x004060f4 5   6    .text   ascii   VjJRj
859  0x0000614a 0x0040614a 5   6    .text   ascii   j0jIj
860  0x00006150 0x00406150 5   6    .text   ascii   j,j^j
861  0x00006156 0x00406156 4   5    .text   ascii   j?js
862  0x00006162 0x00406162 4   5    .text   ascii   L$L#
863  0x00006183 0x00406183 4   5    .text   ascii   D$Th
864  0x00006212 0x00406212 5   6    .text   ascii   ShTOA
865  0x00006223 0x00406223 4   5    .text   ascii   #T$X
866  0x00006271 0x00406271 4   5    .text   ascii   $SWh
867  0x0000629b 0x0040629b 4   5    .text   ascii   hXt@
868  0x000062b6 0x004062b6 5   11   .text   utf16le jjjjj
869  0x000062ea 0x004062ea 5   6    .text   ascii   +=|\A
870  0x000062f6 0x004062f6 4   5    .text   ascii   5|\A
871  0x000063c7 0x004063c7 4   5    .text   ascii   D$8j
872  0x000063d4 0x004063d4 4   6    .text   utf8    \n\vȋE blocks=Basic Latin,Latin Extended-B
873  0x000063dc 0x004063dc 4   5    .text   ascii   D$03
874  0x000063ea 0x004063ea 4   6    .text   utf8    L$<Í blocks=Basic Latin,Latin-1 Supplement
875  0x00006413 0x00406413 4   5    .text   ascii   l$(#
876  0x00006429 0x00406429 4   5    .text   ascii   L$ h
877  0x0000644f 0x0040644f 9   19   .text   utf16le jjjjjjjjj
878  0x0000648b 0x0040648b 4   5    .text   ascii   L$,U
879  0x00006493 0x00406493 4   5    .text   ascii   D$<h
880  0x0000650f 0x0040650f 4   5    .text   ascii   D$Pj
881  0x0000657f 0x0040657f 4   6    .text   utf8    #Ɖ\$ blocks=Basic Latin,Latin Extended-B
882  0x00006586 0x00406586 4   5    .text   ascii   T$\bh
883  0x0000659c 0x0040659c 4   5    .text   ascii   \$(U
884  0x000065b1 0x004065b1 4   5    .text   ascii   M\fj\f
885  0x000065bf 0x004065bf 6   7    .text   ascii   ++u\f35
886  0x00006600 0x00406600 4   5    .text   ascii   D$ h
887  0x00006724 0x00406724 4   6    .text   utf8    ̋L$$ blocks=Combining Diacritical Marks,Basic Latin
888  0x0000673b 0x0040673b 4   5    .text   ascii   D$43
889  0x0000676a 0x0040676a 4   6    .text   utf8    \a+߉] blocks=Basic Latin,NKo
890  0x000067b0 0x004067b0 5   11   .text   utf16le jjjjj
891  0x000067d7 0x004067d7 5   11   .text   utf16le jjjjj
892  0x000067e9 0x004067e9 4   5    .text   ascii   hpmA
893  0x0000687c 0x0040687c 11  12   .text   ascii   jnjPjjVjmjX
894  0x000068a6 0x004068a6 6   7    .text   ascii   \ajQjyj
895  0x00006abe 0x00406abe 6   8    .text   utf8    Q#ƉD$< blocks=Basic Latin,Latin Extended-B
896  0x00006ad0 0x00406ad0 4   6    .text   utf8    3ҋ|$ blocks=Basic Latin,Cyrillic
897  0x00006ae2 0x00406ae2 4   5    .text   ascii   _3T$
898  0x00006bbb 0x00406bbb 4   5    .text   ascii   j?jz
899  0x00006c64 0x00406c64 4   5    .text   ascii   QZ^&
900  0x00006cf7 0x00406cf7 4   5    .text   ascii   D$Dh
901  0x00006daf 0x00406daf 9   10   .text   ascii   0RSjgjdj;
902  0x00006dc8 0x00406dc8 4   5    .text   ascii   hpmA
903  0x00006de5 0x00406de5 15  16   .text   ascii   jMj;joPj;jxjRj$
904  0x00006e28 0x00406e28 4   5    .text   ascii   hpmA
905  0x00006e9c 0x00406e9c 8   10   .text   utf8    ̲7jMj|jy blocks=Combining Diacritical Marks,Basic Latin
906  0x00006edd 0x00406edd 5   7    .text   utf8    3\vL$`
907  0x00006f4f 0x00406f4f 4   5    .text   ascii   |$$j
908  0x00006f54 0x00406f54 4   5    .text   ascii   j?jz
909  0x0000702e 0x0040702e 4   5    .text   ascii   \$<]
910  0x00007169 0x00407169 4   5    .text   ascii   j"jZ
911  0x000071e6 0x004071e6 9   19   .text   utf16le jjjjjjjjj
912  0x00007233 0x00407233 5   7    .text   utf8    Á8csm blocks=Latin-1 Supplement,Basic Latin
913  0x00007311 0x00407311 8   10   .text   utf8    D$`#ω\$P blocks=Basic Latin,Greek and Coptic
914  0x00007344 0x00407344 7   10   .text   utf8    щL$(+ǉE blocks=Cyrillic,Basic Latin,Latin Extended-B
915  0x000073c3 0x004073c3 4   5    .text   ascii   D$0j
916  0x000073db 0x004073db 4   6    .text   utf8    3щM\b blocks=Basic Latin,Cyrillic
917  0x00007403 0x00407403 4   5    .text   ascii   |$$h
918  0x0000742b 0x0040742b 4   5    .text   ascii   j)jR
919  0x00007471 0x00407471 4   5    .text   ascii   L$Xh
920  0x00007480 0x00407480 5   6    .text   ascii   L$P95
921  0x00007562 0x00407562 5   7    .text   utf8    3Mw?3
922  0x00007584 0x00407584 6   7    .text   ascii   jFWQj,
923  0x000075ee 0x004075ee 4   5    .text   ascii   L$4j
924  0x00007662 0x00407662 5   7    .text   utf8    PP#ˈA blocks=Basic Latin,Spacing Modifier Letters
925  0x0000779f 0x0040779f 4   6    .text   utf8    ǍD$H blocks=Latin Extended-B,Basic Latin
926  0x000077ab 0x004077ab 4   5    .text   ascii   j?jz
927  0x000077db 0x004077db 9   19   .text   utf16le jjjjjjjjj
928  0x000077fc 0x004077fc 5   11   .text   utf16le @jjjj
929  0x00007906 0x00407906 4   5    .text   ascii   l$ P
930  0x00007958 0x00407958 5   7    .text   utf8    \a7ËE\b blocks=Basic Latin,Latin-1 Supplement
931  0x00007a10 0x00407a10 5   7    .text   utf8    3\v\$\b
932  0x00007a27 0x00407a27 4   5    .text   ascii   D$D\v
933  0x00007a7b 0x00407a7b 4   5    .text   ascii   #Egh
934  0x00007a8c 0x00407a8c 4   5    .text   ascii   L$ j
935  0x00007ae4 0x00407ae4 4   5    .text   ascii   \$\b#
936  0x00007c30 0x00407c30 5   7    .text   utf8    3ŋH,[ blocks=Basic Latin,Latin Extended-A
937  0x00007c77 0x00407c77 7   15   .text   utf16le jjjjjjj
938  0x00007c93 0x00407c93 4   5    .text   ascii   +M\f_
939  0x00007ca6 0x00407ca6 4   5    .text   ascii   |$4P
940  0x00007ce1 0x00407ce1 6   8    .text   utf8    \vȋl$(# blocks=Basic Latin,Latin Extended-B
941  0x00007d7c 0x00407d7c 4   6    .text   utf8    3ȋH0 blocks=Basic Latin,Latin Extended-B
942  0x00007da2 0x00407da2 4   6    .text   utf8    ʍt$  blocks=IPA Extensions,Basic Latin
943  0x00007f0b 0x00407f0b 4   6    .text   utf8    щD$0 blocks=Cyrillic,Basic Latin
944  0x00007fdb 0x00407fdb 4   5    .text   ascii   j3jD
945  0x00007ffe 0x00407ffe 4   9    .text   utf16le jjjj
946  0x00008046 0x00408046 5   7    .text   utf8    #HA\rj
947  0x000080ad 0x004080ad 4   9    .text   utf16le @jjj
948  0x000080f4 0x004080f4 5   6    .text   ascii   Wj{jv
949  0x0000812a 0x0040812a 4   5    .text   ascii   \$Ph
950  0x0000813f 0x0040813f 4   5    .text   ascii   hTOA
951  0x0000814b 0x0040814b 4   5    .text   ascii   L$,W
952  0x00008156 0x00408156 4   5    .text   ascii   l$@j
953  0x00008225 0x00408225 5   11   .text   utf16le jjjjj
954  0x00008274 0x00408274 4   5    .text   ascii   L$`j
955  0x00008279 0x00408279 7   15   .text   utf16le jjjjjjj
956  0x000082b8 0x004082b8 4   9    .text   utf16le @jjj
957  0x00008316 0x00408316 7   8    .text   ascii   jkj^j2P
958  0x00008396 0x00408396 5   11   .text   utf16le jjjjj
959  0x000083f1 0x004083f1 4   5    .text   ascii   #D$P
960  0x00008409 0x00408409 4   5    .text   ascii   L$L3
961  0x0000845e 0x0040845e 4   9    .text   utf16le jjjj
962  0x0000850b 0x0040850b 4   5    .text   ascii   D$\fh
963  0x00008542 0x00408542 4   9    .text   utf16le jjjh
964  0x0000854b 0x0040854b 4   9    .text   utf16le @jjh
965  0x0000858c 0x0040858c 5   6    .text   ascii   D$`VU
966  0x00008595 0x00408595 8   9    .text   ascii   LVWjijjj
967  0x000085b5 0x004085b5 7   15   .text   utf16le jjjjjjj
968  0x000085cc 0x004085cc 4   6    .text   utf8    ̉\$x blocks=Combining Diacritical Marks,Basic Latin
969  0x000085fc 0x004085fc 4   5    .text   ascii   L$03
970  0x00008636 0x00408636 4   5    .text   ascii   L$,^
971  0x0000871e 0x0040871e 4   5    .text   ascii   \fW]#
972  0x00008776 0x00408776 4   5    .text   ascii   D$hW
973  0x0000881d 0x0040881d 4   5    .text   ascii   D$P#
974  0x0000888b 0x0040888b 6   7    .text   ascii   jUj[jM
975  0x000088a8 0x004088a8 4   5    .text   ascii   l$8h
976  0x000088be 0x004088be 4   5    .text   ascii   L$d;
977  0x000088cd 0x004088cd 4   9    .text   utf16le jjjh
978  0x000088d6 0x004088d6 4   9    .text   utf16le @jjh
979  0x000088e7 0x004088e7 5   7    .text   utf8    #ǋD$h blocks=Basic Latin,Latin Extended-B
980  0x000088ee 0x004088ee 5   7    .text   utf8    l$(ú\v blocks=Basic Latin,Latin-1 Supplement
981  0x00008966 0x00408966 4   9    .text   utf16le jjjh
982  0x0000896f 0x0040896f 4   9    .text   utf16le @jjh
983  0x0000898a 0x0040898a 4   5    .text   ascii   D$0h
984  0x0000899e 0x0040899e 4   5    .text   ascii   D$4j
985  0x000089cf 0x004089cf 5   6    .text   ascii   @\fvT2
986  0x00008a7f 0x00408a7f 4   9    .text   utf16le @jjj
987  0x00008b7d 0x00408b7d 4   5    .text   ascii   W\fYh
988  0x00008b95 0x00408b95 4   5    .text   ascii   L$0W
989  0x00008c12 0x00408c12 5   7    .text   utf8    KD$\h
990  0x00008c2b 0x00408c2b 4   9    .text   utf16le jjjj
991  0x00008c57 0x00408c57 4   9    .text   utf16le jjjh
992  0x00008c60 0x00408c60 4   9    .text   utf16le @jjh
993  0x00008ca0 0x00408ca0 4   5    .text   ascii   D$4[
994  0x00008d15 0x00408d15 5   7    .text   utf8    L$`#Ƌ blocks=Basic Latin,Latin Extended-B
995  0x00008d2f 0x00408d2f 4   5    .text   ascii   T$$3
996  0x00008daf 0x00408daf 4   5    .text   ascii   |$P#
997  0x00008db7 0x00408db7 4   9    .text   utf16le jjjj
998  0x00008de6 0x00408de6 5   11   .text   utf16le jjjjj
999  0x00008e24 0x00408e24 4   5    .text   ascii   D$4\v
1000 0x00008e5c 0x00408e5c 7   8    .text   ascii   j5j\bj3j
1001 0x00008e74 0x00408e74 7   8    .text   ascii   Pjhjzjl
1002 0x00008ede 0x00408ede 5   7    .text   utf8    #ǋM\bj blocks=Basic Latin,Latin Extended-B
1003 0x00008f7f 0x00408f7f 5   11   .text   utf16le @jjjh
1004 0x00008f95 0x00408f95 4   5    .text   ascii   L$Lj
1005 0x0000902a 0x0040902a 4   5    .text   ascii   p $3
1006 0x00009047 0x00409047 5   6    .text   ascii   jQjyj
1007 0x00009083 0x00409083 4   5    .text   ascii   f9\bh
1008 0x0000912d 0x0040912d 5   6    .text   ascii   jQjyj
1009 0x00009153 0x00409153 5   6    .text   ascii   4a4a,
1010 0x000091e4 0x004091e4 4   5    .text   ascii   j\ji
1011 0x0000926b 0x0040926b 4   5    .text   ascii   L$,h
1012 0x0000931f 0x0040931f 4   6    .text   utf8    ՋH<U blocks=Armenian,Basic Latin
1013 0x0000938d 0x0040938d 4   9    .text   utf16le jjjh
1014 0x000093e4 0x004093e4 8   10   .text   utf8    l$L̋D$\fh blocks=Basic Latin,Combining Diacritical Marks
1015 0x000093ef 0x004093ef 5   11   .text   utf16le @jjjj
1016 0x00009454 0x00409454 4   6    .text   utf8    \t̋E\b blocks=Basic Latin,Combining Diacritical Marks
1017 0x000094ff 0x004094ff 4   6    .text   utf8    щL$0 blocks=Cyrillic,Basic Latin
1018 0x000095dd 0x004095dd 4   5    .text   ascii   \bPWj
1019 0x000095ea 0x004095ea 4   5    .text   ascii   jojP
1020 0x00009664 0x00409664 5   11   .text   utf16le jjjjj
1021 0x0000967a 0x0040967a 4   5    .text   ascii   T$\b\v
1022 0x0000968b 0x0040968b 4   5    .text   ascii   t$Th
1023 0x000096a5 0x004096a5 4   5    .text   ascii   hpmA
1024 0x0000973b 0x0040973b 5   6    .text   ascii   jQjyj
1025 0x0000974f 0x0040974f 5   6    .text   ascii   FhpmA
1026 0x00009789 0x00409789 4   9    .text   utf16le @jjj
1027 0x000097a7 0x004097a7 8   10   .text   utf8    L$,;މD$T blocks=Basic Latin,Thaana
1028 0x00009807 0x00409807 4   5    .text   ascii   D$4h
1029 0x00009870 0x00409870 4   5    .text   ascii   \$ \v
1030 0x00009875 0x00409875 7   15   .text   utf16le jjjjjjj
1031 0x00009939 0x00409939 5   7    .text   utf8    \tL$ h
1032 0x0000998a 0x0040998a 5   6    .text   ascii   jhjhW
1033 0x00009a1a 0x00409a1a 5   6    .text   ascii   D$0S\v
1034 0x00009a41 0x00409a41 4   5    .text   ascii   Wj=j
1035 0x00009a4e 0x00409a4e 4   9    .text   utf16le jjjh
1036 0x00009a57 0x00409a57 4   9    .text   utf16le @jjh
1037 0x00009a6d 0x00409a6d 4   6    .text   utf8    \vȉA\f blocks=Basic Latin,Latin Extended-B
1038 0x00009b0e 0x00409b0e 4   6    .text   utf8    ȋM\b; blocks=Latin Extended-B,Basic Latin
1039 0x00009b83 0x00409b83 4   5    .text   ascii   H\bj8
1040 0x00009c1b 0x00409c1b 4   5    .text   ascii   D$$k
1041 0x00009c5a 0x00409c5a 5   7    .text   utf8    ÍD$ \v blocks=Latin-1 Supplement,Basic Latin
1042 0x00009c82 0x00409c82 4   6    .text   utf8    ]\f3ā blocks=Basic Latin,Latin Extended-A
1043 0x00009d72 0x00409d72 5   6    .text   ascii   jvj%S
1044 0x00009d8e 0x00409d8e 4   5    .text   ascii   |$H#
1045 0x00009e52 0x00409e52 4   9    .text   utf16le jjjj
1046 0x00009e72 0x00409e72 4   6    .text   utf8    +ދH< blocks=Basic Latin,Thaana
1047 0x00009ea4 0x00409ea4 4   5    .text   ascii   t$4#
1048 0x00009ebb 0x00409ebb 4   5    .text   ascii   l$@j
1049 0x00009ee7 0x00409ee7 4   5    .text   ascii   D$lj
1050 0x00009f32 0x00409f32 7   8    .text   ascii   Wj`j+jF
1051 0x00009fc1 0x00409fc1 4   9    .text   utf16le jjjj
1052 0x0000a090 0x0040a090 5   7    .text   utf8    3ǉL$@ blocks=Basic Latin,Latin Extended-B
1053 0x0000a0ee 0x0040a0ee 4   5    .text   ascii   jxjo
1054 0x0000a10d 0x0040a10d 4   5    .text   ascii   L$,f
1055 0x0000a118 0x0040a118 5   7    .text   utf8    ID$\bj
1056 0x0000a11f 0x0040a11f 4   9    .text   utf16le jjjj
1057 0x0000a13c 0x0040a13c 5   11   .text   utf16le @jjjh
1058 0x0000a17b 0x0040a17b 4   5    .text   ascii   L$0j
1059 0x0000a180 0x0040a180 4   5    .text   ascii   j?jz
1060 0x0000a2a2 0x0040a2a2 7   11   .text   utf8    ƋދƋl$(h blocks=Latin Extended-B,Thaana,Basic Latin
1061 0x0000a2c6 0x0040a2c6 4   5    .text   ascii   #EgU
1062 0x0000a2d4 0x0040a2d4 4   5    .text   ascii   j\ejF
1063 0x0000a322 0x0040a322 5   11   .text   utf16le jjjjj
1064 0x0000a359 0x0040a359 4   5    .text   ascii   l$\f^
1065 0x0000a396 0x0040a396 4   5    .text   ascii   \$<\r
1066 0x0000a3a1 0x0040a3a1 6   9    .text   utf8    3ËՋD$l blocks=Basic Latin,Latin-1 Supplement,Armenian
1067 0x0000a3fc 0x0040a3fc 4   5    .text   ascii   QZ^&
1068 0x0000a443 0x0040a443 4   5    .text   ascii   Y[ej
1069 0x0000a538 0x0040a538 4   5    .text   ascii   QZ^&
1070 0x0000a641 0x0040a641 5   8    .text   utf8    ̋ÍD$H blocks=Combining Diacritical Marks,Latin-1 Supplement,Basic Latin
1071 0x0000a685 0x0040a685 4   5    .text   ascii   L$$j
1072 0x0000a7b1 0x0040a7b1 5   7    .text   utf8    #Ƌ?Pj blocks=Basic Latin,Latin Extended-B
1073 0x0000a7ec 0x0040a7ec 4   5    .text   ascii   L$$j
1074 0x0000a815 0x0040a815 4   5    .text   ascii   |$Lf
1075 0x0000a853 0x0040a853 8   17   .text   utf16le jjjjjjjj
1076 0x0000a8b0 0x0040a8b0 4   9    .text   utf16le jjjh
1077 0x0000a8e5 0x0040a8e5 4   6    .text   utf8    ͉L$, blocks=Combining Diacritical Marks,Basic Latin
1078 0x0000a906 0x0040a906 4   5    .text   ascii   L$,\v
1079 0x0000a921 0x0040a921 4   5    .text   ascii   D$ ^
1080 0x0000a929 0x0040a929 6   8    .text   utf8    3ҋL$4f blocks=Basic Latin,Cyrillic
1081 0x0000a937 0x0040a937 4   5    .text   ascii   l$,j
1082 0x0000a9b8 0x0040a9b8 4   6    .text   utf8    T$L3
1083 0x0000a9c5 0x0040a9c5 4   6    .text   utf8    3\rD$
1084 0x0000aa14 0x0040aa14 4   5    .text   ascii   5lzA
1085 0x0000aa1f 0x0040aa1f 4   5    .text   ascii   5lzA
1086 0x0000aa28 0x0040aa28 5   8    .text   utf8    j'jM蹰 blocks=Basic Latin,CJK Unified Ideographs
1087 0x0000aa59 0x0040aa59 4   6    .text   utf8    ŉL$( blocks=Latin Extended-A,Basic Latin
1088 0x0000aac2 0x0040aac2 4   6    .text   utf8    3\rl$
1089 0x0000ab31 0x0040ab31 8   9    .text   ascii   VSjaj>j@
1090 0x0000ab51 0x0040ab51 9   19   .text   utf16le jjjjjjjjj
1091 0x0000aba5 0x0040aba5 4   5    .text   ascii   jbj*
1092 0x0000abb8 0x0040abb8 11  12   .text   ascii   Sj<jKjWSj,j
1093 0x0000ac61 0x0040ac61 4   5    .text   ascii   D$DS
1094 0x0000acbc 0x0040acbc 4   9    .text   utf16le jjjh
1095 0x0000acc5 0x0040acc5 4   9    .text   utf16le @jjh
1096 0x0000ad5a 0x0040ad5a 5   6    .text   ascii   +\rL`A
1097 0x0000ad72 0x0040ad72 4   5    .text   ascii   jTj\n
1098 0x0000ae16 0x0040ae16 6   8    .text   utf8    ؋L$ j\b blocks=Arabic,Basic Latin
