[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
45   0x00000836 0x00011436 4   5    .text   ascii   \$\bH
46   0x00000843 0x00011443 6   7    .text   ascii   WATAUH
47   0x00000873 0x00011473 6   7    .text   ascii   3H9C u
48   0x000008ce 0x000114ce 4   5    .text   ascii   \$@H
49   0x000008d3 0x000114d3 4   5    .text   ascii   l$HH
50   0x000008d8 0x000114d8 4   5    .text   ascii   t$PH
51   0x000008de 0x000114de 6   7    .text   ascii    A]A\_
52   0x000008f7 0x000114f7 5   6    .text   ascii   VWATH
53   0x00000931 0x00011531 7   8    .text   ascii   L9^ u#H
54   0x0000095c 0x0001155c 4   5    .text   ascii   D$0H
55   0x00000961 0x00011561 4   5    .text   ascii   T$hD
56   0x00000969 0x00011569 4   6    .text   utf8    Ή\$  blocks=Greek and Coptic,Basic Latin
57   0x00000981 0x00011581 5   6    .text   ascii   T$hH;
58   0x00000997 0x00011597 5   6    .text   ascii   T$0H;
59   0x000009bf 0x000115bf 4   5    .text   ascii   \$`H
60   0x000009c4 0x000115c4 4   5    .text   ascii   l$pH
61   0x000009ca 0x000115ca 5   6    .text   ascii   @A\_^
62   0x000009e5 0x000115e5 8   9    .text   ascii   p WATAUH
63   0x00000a50 0x00011650 5   7    .text   utf8    ÉL$ L blocks=Latin-1 Supplement,Basic Latin
64   0x00000a57 0x00011657 4   5    .text   ascii   D$0"
65   0x00000a5e 0x0001165e 4   5    .text   ascii   T$hD
66   0x00000a7b 0x0001167b 4   5    .text   ascii   t$hM
67   0x00000a93 0x00011693 5   7    .text   utf8    ̉\$ A blocks=Combining Diacritical Marks,Basic Latin
68   0x00000aa0 0x000116a0 4   5    .text   ascii   |$0u
69   0x00000af4 0x000116f4 4   5    .text   ascii   \$`H
70   0x00000af9 0x000116f9 4   5    .text   ascii   l$pH
71   0x00000afe 0x000116fe 4   5    .text   ascii   t$xH
72   0x00000b04 0x00011704 6   7    .text   ascii   @A]A\_
73   0x00000b20 0x00011720 5   6    .text   ascii   t$ WH
74   0x00000b33 0x00011733 4   5    .text   ascii   L$ H
75   0x00000b41 0x00011741 4   5    .text   ascii   D$@H
76   0x00000b6b 0x0001176b 4   5    .text   ascii   f9+u
77   0x00000b70 0x00011770 5   6    .text   ascii   f9+t\b
78   0x00000b7f 0x0001177f 4   5    .text   ascii   \$HH
79   0x00000b8b 0x0001178b 4   5    .text   ascii   t$XH
80   0x00000bb1 0x000117b1 12  13   .text   ascii   UVWATAUAVAWH
81   0x00000bd0 0x000117d0 4   6    .text   utf8    D95ٹ blocks=Basic Latin,Arabic
82   0x00000c32 0x00011832 4   5    .text   ascii   T$\bf
83   0x00000c8c 0x0001188c 4   5    .text   ascii   C$A;
84   0x00000cbd 0x000118bd 4   5    .text   ascii   C$A;
85   0x00000ce9 0x000118e9 6   7    .text   ascii   {d\bs-H
86   0x00000d14 0x00011914 4   5    .text   ascii   fD9u
87   0x00000d32 0x00011932 4   5    .text   ascii   D$PH
88   0x00000d43 0x00011943 4   5    .text   ascii   D$(@
89   0x00000d56 0x00011956 4   5    .text   ascii   D$P0
90   0x00000d63 0x00011963 4   5    .text   ascii   D$h@
91   0x00000d6c 0x0001196c 4   5    .text   ascii   d$`L
92   0x00000d71 0x00011971 4   5    .text   ascii   t$pL
93   0x00000db6 0x000119b6 4   5    .text   ascii   D$0H
94   0x00000e34 0x00011a34 4   5    .text   ascii   $fD9
95   0x00000e50 0x00011a50 4   5    .text   ascii   \bs.H
96   0x00000e7a 0x00011a7a 4   5    .text   ascii   fD9u
97   0x00000ee4 0x00011ae4 4   5    .text   ascii   40I;
98   0x00000f1c 0x00011b1c 11  12   .text   ascii   A_A^A]A\_^]
99   0x00000f37 0x00011b37 5   6    .text   ascii   t$ WH
100  0x00000f80 0x00011b80 6   7    .text   ascii   fD;I\nu
101  0x00000fd7 0x00011bd7 5   6    .text   ascii   lbnmf
102  0x00000fec 0x00011bec 4   5    .text   ascii   D$0H
103  0x00001005 0x00011c05 4   5    .text   ascii   L$@H
104  0x0000104a 0x00011c4a 4   5    .text   ascii   l$8H
105  0x0000104f 0x00011c4f 4   5    .text   ascii   t$HH
106  0x00001062 0x00011c62 4   5    .text   ascii   \$\bH
107  0x0000107c 0x00011c7c 4   5    .text   ascii   T$0H
108  0x000010ee 0x00011cee 4   5    .text   ascii   T$ H
109  0x000010f6 0x00011cf6 4   5    .text   ascii   D$ H
110  0x0000112b 0x00011d2b 7   8    .text   ascii   D$(plbn
111  0x00001157 0x00011d57 7   8    .text   ascii   \bH9\vv1H
112  0x000011c0 0x00011dc0 8   9    .text   ascii   L$@H9\vv\f
113  0x000011c9 0x00011dc9 4   5    .text   ascii   D$HH
114  0x0000120d 0x00011e0d 5   6    .text   ascii   \bH9\vv
115  0x00001223 0x00011e23 5   6    .text   ascii   H;C\bu
116  0x00001322 0x00011f22 5   6    .text   ascii   \$\bWH
117  0x00001408 0x00012008 4   5    .text   ascii   D$XH
118  0x0000157e 0x0001217e 4   5    .text   ascii   \$PH
119  0x000015da 0x000121da 4   5    .text   ascii   \$\bH
120  0x00001607 0x00012207 4   5    .text   ascii   MKCS
121  0x0000163f 0x0001223f 5   6    .text   ascii   MKCSH
122  0x00001690 0x00012290 4   5    .text   ascii   \$0H
123  0x00001695 0x00012295 4   5    .text   ascii   t$8H
124  0x000016a7 0x000122a7 4   5    .text   ascii   t?SH
125  0x000016f2 0x000122f2 5   6    .text   ascii   \$\bWH
126  0x00001732 0x00012332 8   10   .text   utf8    O(E3\bG\bD
127  0x0000177a 0x0001237a 5   7    .text   utf8    ۶m[%I blocks=Arabic,Basic Latin
