[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
211  0x000040f4 0x00404cf4 12  13   .text   ascii   es-ES_tradnl
212  0x00004104 0x00404d04 11  12   .text   ascii   nb-NO,nb,no
213  0x00004110 0x00404d10 10  11   .text   ascii   tg-Cyrl-TJ
214  0x0000411c 0x00404d1c 10  11   .text   ascii   az-Latn-AZ
215  0x00004128 0x00404d28 10  11   .text   ascii   uz-Latn-UZ
216  0x00004134 0x00404d34 16  17   .text   ascii   mn-MN,mn-Cyrl,mn
217  0x00004148 0x00404d48 10  11   .text   ascii   iu-Cans-CA
218  0x00004154 0x00404d54 10  11   .text   ascii   ha-Latn-NG
219  0x00004160 0x00404d60 11  12   .text   ascii   qps-ploc,en
220  0x0000416c 0x00404d6c 12  13   .text   ascii   qps-ploca,ja
221  0x0000417c 0x00404d7c 16  17   .text   ascii   zh-CN,zh-Hans,zh
222  0x00004190 0x00404d90 11  12   .text   ascii   nn-NO,nn,no
223  0x0000419c 0x00404d9c 10  11   .text   ascii   sr-Latn-CS
224  0x000041a8 0x00404da8 10  11   .text   ascii   az-Cyrl-AZ
225  0x000041b4 0x00404db4 14  15   .text   ascii   dsb-DE,dsb,hsb
226  0x000041c4 0x00404dc4 10  11   .text   ascii   uz-Cyrl-UZ
227  0x000041d0 0x00404dd0 10  11   .text   ascii   mn-Mong-CN
228  0x000041dc 0x00404ddc 10  11   .text   ascii   iu-Latn-CA
229  0x000041e8 0x00404de8 11  12   .text   ascii   tzm-Latn-DZ
230  0x000041f4 0x00404df4 12  13   .text   ascii   qps-plocm,ar
231  0x00004204 0x00404e04 16  17   .text   ascii   zh-HK,zh-Hant,zh
232  0x00004218 0x00404e18 10  11   .text   ascii   sr-Cyrl-CS
233  0x00004224 0x00404e24 16  17   .text   ascii   zh-SG,zh-Hans,zh
234  0x00004238 0x00404e38 13  14   .text   ascii   smj-NO,smj,se
235  0x00004248 0x00404e48 16  17   .text   ascii   zh-MO,zh-Hant,zh
236  0x0000425c 0x00404e5c 10  11   .text   ascii   bs-Latn-BA
237  0x00004268 0x00404e68 13  14   .text   ascii   smj-SE,smj,se
238  0x00004278 0x00404e78 10  11   .text   ascii   sr-Latn-BA
239  0x00004284 0x00404e84 13  14   .text   ascii   sma-NO,sma,se
240  0x00004294 0x00404e94 10  11   .text   ascii   sr-Cyrl-BA
241  0x000042a0 0x00404ea0 13  14   .text   ascii   sma-SE,sma,se
242  0x000042b0 0x00404eb0 10  11   .text   ascii   bs-Cyrl-BA
243  0x000042bc 0x00404ebc 13  14   .text   ascii   sms-FI,sms,se
244  0x000042cc 0x00404ecc 10  11   .text   ascii   sr-Latn-RS
245  0x000042d8 0x00404ed8 13  14   .text   ascii   smn-FI,smn,se
246  0x000042e8 0x00404ee8 10  11   .text   ascii   sr-Cyrl-RS
247  0x000042f4 0x00404ef4 10  11   .text   ascii   sr-Latn-ME
248  0x00004300 0x00404f00 10  11   .text   ascii   sr-Cyrl-ME
249  0x0000438c 0x00404f8c 29  30   .text   ascii   GetThreadPreferredUILanguages
250  0x000043ac 0x00404fac 12  26   .text   utf16le kernel32.dll
251  0x000043c8 0x00404fc8 29  30   .text   ascii   SetThreadPreferredUILanguages
252  0x000043e8 0x00404fe8 19  20   .text   ascii   GetThreadUILanguage
253  0x00004414 0x00405014 16  17   .text   ascii   0123456789ABCDEF
254  0x000044a4 0x004050a4 4   5    .text   ascii   ZYYd
255  0x000044c1 0x004050c1 5   7    .text   utf8    [Y]Í@ blocks=Basic Latin,Latin-1 Supplement
256  0x000044cd 0x004050cd 6   7    .text   ascii   QQQQSV
257  0x0000450f 0x0040510f 6   7    .text   ascii   ,tfBHu
