[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00000210 0x00000210 5   6            ascii   .text
1    0x00000237 0x00000237 6   7            ascii   `.data
2    0x00000260 0x00000260 6   7            ascii   .reloc
3    0x00001157 0x00401d57 4   6    .text   utf8    |#ˁ| blocks=Basic Latin,Spacing Modifier Letters
4    0x000013f1 0x00401ff1 8   9    .text   ascii   \rC~g4B~i
5    0x0000141e 0x0040201e 5   7    .text   utf8    A~ҐA~ blocks=Basic Latin,Cyrillic
6    0x00001425 0x00402025 4   5    .text   ascii   fF~&
7    0x0000145b 0x0040205b 7   8    .text   ascii   x\e6\axAC
8    0x00001463 0x00402063 5   6    .text   ascii   xE6\ax
9    0x0000146f 0x0040206f 5   6    .text   ascii   xl\v\bx
10   0x0000157d 0x0040217d 4   5    .text   ascii   ^PwF
11   0x00001585 0x00402185 4   5    .text   ascii   kQw{
12   0x000015d6 0x004021d6 4   5    .text   ascii   qswN
13   0x000015fa 0x004021fa 4   5    .text   ascii   3)6{
14   0x0000161a 0x0040221a 4   5    .text   ascii   3)6{
15   0x0000168a 0x0040228a 4   5    .text   ascii   L09n
16   0x00001697 0x00402297 6   8    .text   utf8    Ԛ<5IkQ blocks=Cyrillic Supplement,Basic Latin
17   0x000016f9 0x004022f9 5   6    .text   ascii   <5IkQ
18   0x000017ba 0x004023ba 4   5    .text   ascii   s1q4
19   0x00001849 0x00402449 5   6    .text   ascii   <5IkQ
20   0x00001881 0x00402481 5   7    .text   utf8    $%'%֗ blocks=Basic Latin,Hebrew
21   0x00002278 0x00402e78 14  60   .text   utf32le \a\a\b\b\t\t\n\n\v\v\f\f\r\r
22   0x00002702 0x00403302 7   16   .text   utf16le \a@\a \a`\a
23   0x00002712 0x00403312 15  32   .text   utf16le \aP\a0\ap\a\b\aH\a(\ah\a
24   0x00002732 0x00403332 7   16   .text   utf16le \aX\a8\ax\a
25   0x00002742 0x00403342 7   16   .text   utf16le \aD\a$\ad\a
26   0x00002752 0x00403352 7   16   .text   utf16le \aT\a4\at\a
27   0x00002804 0x00403404 116 117  .text   ascii   \a\a\a\a\b\b\b\b\b\b\b\b\t\t\t\t\t\t\t\t\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r
28   0x00002958 0x00403558 32  33   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
29   0x000029ff 0x004035ff 17  18   .text   ascii   \a\b\b\t\t\n\n\v\v\f\f\f\f\r\r\r\r
30   0x00002ad8 0x004036d8 31  32   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
31   0x00002b14 0x00403714 4   20   .text   utf32le \a\b\n\f
32   0x00002b38 0x00403738 8   36   .text   utf32le  (08@P`p
33   0x00002b98 0x00403798 4   20   .text   utf32le  0@`
34   0x00002bed 0x004037ed 5   6    .text   ascii   0\aw,a
35   0x00002c4c 0x0040384c 4   6    .text   utf8    (kdz
36   0x00002c69 0x00403869 4   5    .text   ascii    n;^
37   0x00002cbb 0x004038bb 4   6    .text   utf8    !#ĳV blocks=Basic Latin,Latin Extended-A
38   0x00002d1c 0x0040391c 4   5    .text   ascii   -=m\b
39   0x00002d29 0x00403929 6   7    .text   ascii   Qkkbal
40   0x00002d61 0x00403961 4   6    .text   utf8    |ӌeL blocks=Basic Latin,Cyrillic
41   0x00002d9f 0x0040399f 4   5    .text   ascii   3_L\n
42   0x00002df5 0x004039f5 4   6    .text   utf8    ұt9G blocks=Cyrillic,Basic Latin
43   0x00002e10 0x00403a10 4   5    .text   ascii   >jm\r
44   0x00002e15 0x00403a15 4   5    .text   ascii   Zjz\v
45   0x00002e37 0x00403a37 4   5    .text   ascii   i]Wb
46   0x00002e46 0x00403a46 4   5    .text   ascii   knv\e
47   0x00002e4d 0x00403a4d 4   6    .text   utf8    +ӉZz blocks=Basic Latin,Cyrillic
48   0x00002eee 0x00403aee 5   8    .text   utf8    c윣ju\n blocks=Basic Latin,Hangul Syllables
49   0x00002f77 0x00403b77 4   5    .text   ascii   9a&g
50   0x00002f80 0x00403b80 4   5    .text   ascii   MGiI
51   0x00002f85 0x00403b85 6   8    .text   utf8    wn>JjѮ blocks=Basic Latin,Cyrillic
52   0x00002fc7 0x00403bc7 4   5    .text   ascii   #.zf
53   0x00002fd5 0x00403bd5 4   5    .text   ascii   +o*7
54   0x00003002 0x00403c02 6   8    .text   utf8    ZVǖAO\b blocks=Basic Latin,Latin Extended-B
55   0x0000309d 0x00403c9d 9   10   .text   ascii   Z* ,\t\a\vm8
56   0x000030a9 0x00403ca9 5   7    .text   utf8    6F߲\a] blocks=Basic Latin,NKo
57   0x000030d0 0x00403cd0 4   6    .text   utf8    yީ%8 blocks=Basic Latin,Thaana
58   0x00003108 0x00403d08 4   6    .text   utf8    \rŠ8L blocks=Basic Latin,Latin Extended-A
59   0x00003180 0x00403d80 4   6    .text   utf8    !̧3` blocks=Basic Latin,Combining Diacritical Marks
60   0x000031ad 0x00403dad 6   7    .text   ascii   H$6t\e\t
61   0x00003211 0x00403e11 5   7    .text   utf8    pl@Aw
62   0x0000323c 0x00403e3c 4   5    .text   ascii   _~6\f
63   0x00003279 0x00403e79 5   7    .text   utf8    ykʬHp blocks=Basic Latin,IPA Extensions
64   0x000032ce 0x00403ece 5   6    .text   ascii   \a52F*
65   0x000032d4 0x00403ed4 4   5    .text   ascii   sw1\a
66   0x0000337d 0x00403f7d 10  11   .text   ascii   \a\t#jT$\b+e?
67   0x00003423 0x00404023 6   7    .text   ascii   \n=G\\vp
68   0x0000348a 0x0040408a 4   5    .text   ascii   ^6o}
69   0x000034b5 0x004040b5 9   10   .text   ascii   [-&LMb#{'
70   0x000034d3 0x004040d3 5   6    .text   ascii   )q\n>(
71   0x000034fb 0x004040fb 6   7    .text   ascii   w+OQvr
72   0x00003507 0x00404107 5   7    .text   utf8    ux܉~O blocks=Basic Latin,Syriac
73   0x00003511 0x00404111 5   6    .text   ascii   \b\r}!b
74   0x00003541 0x00404141 5   6    .text   ascii   R1h58
75   0x00003572 0x00404172 4   5    .text   ascii   SKyu
76   0x000035b2 0x004041b2 5   7    .text   utf8    uW\tַV blocks=Basic Latin,Hebrew
77   0x000035de 0x004041de 8   9    .text   ascii   )\ZEo^m/
78   0x0000380b 0x0040440b 5   7    .text   utf8    ŊO\b}d blocks=Latin Extended-A,Basic Latin
79   0x0000383f 0x0040443f 7   8    .text   ascii   gC\bru&o
80   0x00003865 0x00404465 4   5    .text   ascii   Gz\b>
81   0x00003878 0x00404478 6   7    .text   ascii   i8P/\f_
82   0x00003894 0x00404494 4   5    .text   ascii   ?(3w
83   0x0000389d 0x0040449d 4   5    .text   ascii   wXR\r
84   0x000038af 0x004044af 7   8    .text   ascii   H*0"ZOW
85   0x000038c7 0x004044c7 5   7    .text   utf8    mNП5+ blocks=Basic Latin,Cyrillic
86   0x00003923 0x00404523 5   7    .text   utf8    {kHwâ blocks=Basic Latin,Latin-1 Supplement
87   0x00003977 0x00404577 4   5    .text   ascii   )T`D
88   0x000039db 0x004045db 4   5    .text   ascii   !AxU
89   0x000039e4 0x004045e4 4   6    .text   utf8    ʰ\3; blocks=Spacing Modifier Letters,Basic Latin
90   0x000039f8 0x004045f8 6   7    .text   ascii   l!;b\tF
91   0x00003a14 0x00404614 4   5    .text   ascii   :1X:
92   0x00003a20 0x00404620 4   6    .text   utf8    \bF\rm
93   0x00003a53 0x00404653 4   6    .text   utf8    ҥfAj blocks=Cyrillic,Basic Latin
94   0x00003a5c 0x0040465c 4   5    .text   ascii   y9*O
95   0x00003a6a 0x0040466a 4   5    .text   ascii   kM`~
96   0x00003a8d 0x0040468d 4   5    .text   ascii   Vc0a
97   0x00003af7 0x004046f7 4   5    .text   ascii   dQy/
98   0x00003aff 0x004046ff 4   6    .text   utf8    Aڱ&S blocks=Basic Latin,Arabic
99   0x00003b5b 0x0040475b 4   6    .text   utf8    lDa>
100  0x00003b64 0x00404764 5   7    .text   utf8    ϩ7~8A blocks=Greek and Coptic,Basic Latin
101  0x00003bbd 0x004047bd 4   7    .text   utf8    渱{I\r blocks=CJK Unified Ideographs,Basic Latin
102  0x00003bcb 0x004047cb 4   5    .text   ascii   C-Yn
103  0x00003c09 0x00404809 4   7    .text   utf8    ۈ2yܸ blocks=Arabic,Basic Latin,Syriac
104  0x00003c75 0x00404875 4   5    .text   ascii   gqr<
105  0x00003cd7 0x004048d7 4   5    .text   ascii   $/o|
106  0x00003ce5 0x004048e5 4   5    .text   ascii   f-=v
107  0x00003d07 0x00404907 4   6    .text   utf8    3x\aɢ blocks=Basic Latin,IPA Extensions
108  0x00003d1c 0x0040491c 4   5    .text   ascii   \bm=-
109  0x00003d78 0x00404978 6   10   .text   utf8    JߥA=ؕפ blocks=Basic Latin,NKo,Arabic,Hebrew
110  0x00003de2 0x004049e2 4   6    .text   utf8    \;:l
111  0x00003e10 0x00404a10 7   8    .text   ascii   \rmj>zjZ
112  0x00003e41 0x00404a41 5   6    .text   ascii   l6qnk
113  0x00003e89 0x00404a89 7   9    .text   utf8    \r+گ\n\eL6 blocks=Basic Latin,Arabic
114  0x00003eb0 0x00404ab0 5   7    .text   utf8    %oҠRh blocks=Basic Latin,Cyrillic
115  0x00003ec6 0x00404ac6 4   6    .text   utf8    &/ź; blocks=Basic Latin,Latin Extended-A
116  0x00003efe 0x00404afe 5   6    .text   ascii   6?r\ag
117  0x00003f77 0x00404b77 4   6    .text   utf8    §g&a blocks=Latin-1 Supplement,Basic Latin
118  0x00003f80 0x00404b80 8   10   .text   utf8    IiGM>nwۮ blocks=Basic Latin,Arabic
119  0x00003fed 0x00404bed 6   7    .text   ascii   \e1A26b
120  0x00004085 0x00404c85 4   6    .text   utf8    Ųe]] blocks=Latin Extended-A,Basic Latin
121  0x00004097 0x00404c97 4   5    .text   ascii   i91k
122  0x000040a0 0x00404ca0 4   5    .text   ascii   \v\a\t,
123  0x000041a5 0x00404da5 6   7    .text   ascii   ewh/?y
124  0x000041b6 0x00404db6 4   5    .text   ascii   *5KS
125  0x0000423c 0x00404e3c 7   8    .text   ascii   \f6~_'\e-
126  0x00004285 0x00404e85 4   5    .text   ascii   F*.f
127  0x000042d1 0x00404ed1 9   10   .text   ascii   *F2\a1wsHp
128  0x0000430d 0x00404f0d 4   5    .text   ascii   8l\a1
129  0x0000436c 0x00404f6c 5   7    .text   utf8    Ge­lH blocks=Basic Latin,Latin-1 Supplement
130  0x00004380 0x00404f80 4   5    .text   ascii   \b$Tj
131  0x0000441b 0x0040501b 5   7    .text   utf8    d\bؓS\n blocks=Basic Latin,Arabic
132  0x00004422 0x00405022 6   7    .text   ascii   -\n\v\G=
133  0x00004437 0x00405037 4   5    .text   ascii   )\e/\v
134  0x00004467 0x00405067 4   5    .text   ascii   M8MF
135  0x00004486 0x00405086 4   5    .text   ascii   Pe6^
