[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
45    0x00001799 0x10002399 4   6    .text   utf8    ]ËNl blocks=Basic Latin,Latin-1 Supplement
46    0x000017d4 0x100023d4 4   5    .text   ascii   t\f_^
47    0x0000185d 0x1000245d 5   6    .text   ascii   Nl#N4
48    0x000018a4 0x100024a4 6   7    .text   ascii   Flf+Fp
49    0x0000192d 0x1000252d 4   5    .text   ascii   )Ft;
50    0x00001954 0x10002554 5   6    .text   ascii   FH#~4
51    0x00001a1b 0x1000261b 5   7    .text   utf8    3ҋFl+ blocks=Basic Latin,Cyrillic
52    0x00001aee 0x100026ee 5   7    .text   utf8    []ËNl blocks=Basic Latin,Latin-1 Supplement
53    0x00001c0f 0x1000280f 5   6    .text   ascii   Nl#N4
54    0x00001c7c 0x1000287c 6   7    .text   ascii   Fl+Fp=
55    0x00001cae 0x100028ae 6   7    .text   ascii   Flf+Fd
56    0x00001e3b 0x10002a3b 4   6    .text   utf8    ]Ã~h blocks=Basic Latin,Latin-1 Supplement
57    0x00001ea4 0x10002aa4 5   7    .text   utf8    3ҋFl+ blocks=Basic Latin,Cyrillic
58    0x00001f60 0x10002b60 4   5    .text   ascii   ]\fu\v
59    0x00002255 0x10002e55 5   7    .text   utf8    3ҋFl+ blocks=Basic Latin,Cyrillic
60    0x00002349 0x10002f49 5   7    .text   utf8    3ҋFl+ blocks=Basic Latin,Cyrillic
61    0x00002395 0x10002f95 5   7    .text   utf8    3ҋFl+ blocks=Basic Latin,Cyrillic
62    0x000023bc 0x10002fbc 4   5    .text   ascii   t\f_^
63    0x000023e5 0x10002fe5 4   5    .text   ascii   \bSVW
64    0x00002456 0x10003056 4   5    .text   ascii   OlH9
65    0x00002568 0x10003168 5   7    .text   utf8    3ҋGl+ blocks=Basic Latin,Cyrillic
66    0x000025b4 0x100031b4 5   7    .text   utf8    3ҋGl+ blocks=Basic Latin,Cyrillic
67    0x000026dc 0x100032dc 6   7    .text   ascii   t\e9w$t
68    0x0000276c 0x1000336c 5   7    .text   utf8    ^]Ã~  blocks=Basic Latin,Latin-1 Supplement
69    0x00002798 0x10003398 4   5    .text   ascii   F Wh
70    0x000027b3 0x100033b3 6   8    .text   utf8    _^]ËU\f blocks=Basic Latin,Latin-1 Supplement
71    0x000027e7 0x100033e7 5   7    .text   utf8    [_^]ø blocks=Basic Latin,Latin-1 Supplement
72    0x00002866 0x10003466 4   5    .text   ascii   r%W+
73    0x0000287b 0x1000347b 4   5    .text   ascii   F,[_
74    0x0000288d 0x1000348d 4   5    .text   ascii   +~0;
75    0x000028c6 0x100034c6 4   5    .text   ascii   F,_3
76    0x000028e2 0x100034e2 6   7    .text   ascii   F,;F(s
77    0x000028ea 0x100034ea 6   8    .text   utf8    ǉF,[_3 blocks=Latin Extended-B,Basic Latin
78    0x00002963 0x10003563 4   7    .text   utf8    3\tEԋ blocks=Basic Latin,Cyrillic Supplement
79    0x00002ae0 0x100036e0 4   5    .text   ascii   ;A$v
80    0x00002bd1 0x100037d1 4   6    .text   utf8     r܋M blocks=Basic Latin,Syriac
81    0x00002d4c 0x1000394c 4   6    .text   utf8    A@;Ë blocks=Basic Latin,Latin-1 Supplement
82    0x00002d53 0x10003953 6   10   .text   utf8    GӉEЉU̅ blocks=Basic Latin,Cyrillic,Combining Diacritical Marks
83    0x00002d7a 0x1000397a 6   9    .text   utf8    +MЉMЋH blocks=Basic Latin,Cyrillic
84    0x00002e15 0x10003a15 5   7    .text   utf8    EЋA B blocks=Basic Latin,Cyrillic
