[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
33   0x0000061e 0x0040121e 9   10   .text   ascii   \bInstance
34   0x00000632 0x00401232 13  14   .text   ascii   \fCodeInstance
35   0x0000064a 0x0040124a 13  14   .text   ascii   \fDataInstance
36   0x00000662 0x00401262 12  13   .text   ascii   \vResInstance
37   0x00000679 0x00401279 9   10   .text   ascii   \bTypeInfo
38   0x0000068d 0x0040128d 9   10   .text   ascii   \bReserved
39   0x0000080a 0x0040140a 4   6    .text   utf8    D[Í@ blocks=Basic Latin,Latin-1 Supplement
40   0x00000834 0x00401434 90  91   .text   ascii   FastMM Borland Edition (c) 2004 - 2008 Pierre le Riche / Professional Software Development
41   0x00000890 0x00401490 40  41   .text   ascii   An unexpected memory leak has occurred. 
42   0x000008bc 0x004014bc 39  40   .text   ascii   The unexpected small block leaks are:\r\n
43   0x000008e4 0x004014e4 60  61   .text   ascii   The sizes of unexpected leaked medium and large blocks are: 
44   0x00000924 0x00401524 8   9    .text   ascii    bytes: 
45   0x00000930 0x00401530 7   8    .text   ascii   Unknown
46   0x00000938 0x00401538 10  11   .text   ascii   AnsiString
47   0x00000944 0x00401544 13  14   .text   ascii   UnicodeString
48   0x00000958 0x00401558 22  23   .text   ascii   Unexpected Memory Leak
49   0x00000986 0x00401586 4   6    .text   utf8    B\bÍ@ blocks=Basic Latin,Latin-1 Supplement
50   0x00000c57 0x00401857 4   6    .text   utf8    +ˉ\r$ blocks=Basic Latin,Spacing Modifier Letters
51   0x00000c5f 0x0040185f 4   7    .text   utf8    +Ӌ£  blocks=Basic Latin,Cyrillic,Latin-1 Supplement
52   0x00000cc6 0x004018c6 5   7    .text   utf8    ÐSVWU blocks=Latin-1 Supplement,Basic Latin
53   0x00000d25 0x00401925 5   7    .text   utf8    ]_^[Ë blocks=Basic Latin,Latin-1 Supplement
54   0x00000d2c 0x0040192c 4   5    .text   ascii   SVWU
55   0x00000d79 0x00401979 5   6    .text   ascii   D$\fPS
56   0x00000dc9 0x004019c9 10  12   .text   utf8    $]_^[ÐSVWU blocks=Basic Latin,Latin-1 Supplement
57   0x00000e13 0x00401a13 4   5    .text   ascii   D$\bP
58   0x00000e18 0x00401a18 4   5    .text   ascii   D$\bP
59   0x00000e35 0x00401a35 4   6    .text   utf8    +ӋD$ blocks=Basic Latin,Cyrillic
60   0x00000e61 0x00401a61 4   5    .text   ascii   D$\fP
61   0x00000e77 0x00401a77 4   5    .text   ascii   D$\fP
62   0x00000f16 0x00401b16 7   9    .text   utf8     ]_^[ÍP blocks=Basic Latin,Latin-1 Supplement
63   0x00000f75 0x00401b75 5   6    .text   ascii   ;C\fwv
64   0x00001029 0x00401c29 4   5    .text   ascii   t\tj\n
65   0x000010fc 0x00401cfc 6   8    .text   utf8    _^[Àd7 blocks=Basic Latin,Latin-1 Supplement
66   0x00001130 0x00401d30 4   6    .text   utf8    )ω{\f blocks=Basic Latin,Greek and Coptic
67   0x0000113b 0x00401d3b 4   6    .text   utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
68   0x0000116e 0x00401d6e 4   5    .text   ascii   t*j\n
69   0x000012c0 0x00401ec0 4   5    .text   ascii   B\bt,
70   0x000012cf 0x00401ecf 4   6    .text   utf8    t\a1\b
71   0x0000134c 0x00401f4c 4   5    .text   ascii   QRj\n
72   0x0000138a 0x00401f8a 4   5    .text   ascii   t!j\n
73   0x000014ed 0x004020ed 4   5    .text   ascii   L\t W
74   0x0000152b 0x0040212b 4   6    .text   utf8    _^[Ð blocks=Basic Latin,Latin-1 Supplement
75   0x00001556 0x00402156 7   9    .text   utf8    r\b]_^[Ð blocks=Basic Latin,Latin-1 Supplement
76   0x000015ca 0x004021ca 5   6    .text   ascii   t\fQj\n
77   0x00001633 0x00402233 5   8    .text   utf8    ]_^[É blocks=Basic Latin,Latin-1 Supplement
78   0x0000165b 0x0040225b 6   8    .text   utf8    ]_^[ËG blocks=Basic Latin,Latin-1 Supplement
79   0x000016b6 0x004022b6 4   5    .text   ascii   QRj\n
80   0x000016db 0x004022db 5   6    .text   ascii   wt=0\v
81   0x0000174a 0x0040234a 5   7    .text   utf8    ]_^[Ð blocks=Basic Latin,Latin-1 Supplement
82   0x0000179a 0x0040239a 7   9    .text   utf8    ]_^[Ð^[ blocks=Basic Latin,Latin-1 Supplement
83   0x000017e0 0x004023e0 5   10   .text   utf8    [Ë\vȋу blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B,Cyrillic
84   0x00001859 0x00402459 6   7    .text   ascii   Z\b;Z\fv
85   0x00001876 0x00402476 6   8    .text   utf8    ^[ËB\bH blocks=Basic Latin,Latin-1 Supplement
86   0x000019cf 0x004025cf 5   7    .text   utf8    [á<`A blocks=Basic Latin,Latin-1 Supplement
87   0x000019dc 0x004025dc 5   8    .text   utf8    ȋӡ<`A blocks=Latin Extended-B,Cyrillic,Basic Latin
88   0x00001a1c 0x0040261c 5   7    .text   utf8    U\b3ɉJ blocks=Basic Latin,Latin Extended-B
89   0x00001a64 0x00402664 4   6    .text   utf8    []ÐU blocks=Basic Latin,Latin-1 Supplement
90   0x00001ae1 0x004026e1 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
91   0x00001b54 0x00402754 5   8    .text   utf8    uŃ=*A blocks=Basic Latin,Latin Extended-A
92   0x00001be5 0x004027e5 5   7    .text   utf8    |&B3\v
93   0x00001c16 0x00402816 4   6    .text   utf8    _^[Ë blocks=Basic Latin,Latin-1 Supplement
94   0x00001c44 0x00402844 5   8    .text   utf8    M؍U܋E blocks=Basic Latin,Arabic,Syriac
95   0x00001ca4 0x004028a4 4   6    .text   utf8    E܋@\b blocks=Basic Latin,Syriac
96   0x00001fc5 0x00402bc5 5   8    .text   utf8    ȋӡ0`A blocks=Latin Extended-B,Cyrillic,Basic Latin
97   0x00002016 0x00402c16 4   6    .text   utf8    ء8`A blocks=Arabic,Basic Latin
98   0x00002022 0x00402c22 5   8    .text   utf8    ȋӡ8`A blocks=Latin Extended-B,Cyrillic,Basic Latin
99   0x00002047 0x00402c47 7   8    .text   ascii   r\at!Ht:
100  0x0000205b 0x00402c5b 5   8    .text   utf8    ȋӡ<`A blocks=Latin Extended-B,Cyrillic,Basic Latin
101  0x00002077 0x00402c77 5   8    .text   utf8    ȋӡ@`A blocks=Latin Extended-B,Cyrillic,Basic Latin
102  0x00002093 0x00402c93 5   8    .text   utf8    ȋӡD`A blocks=Latin Extended-B,Cyrillic,Basic Latin
103  0x0000212a 0x00402d2a 5   8    .text   utf8    ȋӡ4`A blocks=Latin Extended-B,Cyrillic,Basic Latin
104  0x00002142 0x00402d42 4   5    .text   ascii   rAF3
105  0x00002182 0x00402d82 6   8    .text   utf8    NuΡH`A blocks=Basic Latin,Greek and Coptic
106  0x00002190 0x00402d90 5   8    .text   utf8    ȋӡH`A blocks=Latin Extended-B,Cyrillic,Basic Latin
107  0x0000224b 0x00402e4b 4   5    .text   ascii   0=0\v
108  0x00002325 0x00402f25 5   7    .text   utf8    _^[Í@ blocks=Basic Latin,Latin-1 Supplement
109  0x0000232c 0x00402f2c 4   5    .text   ascii   SVWU
110  0x00002370 0x00402f70 4   6    .text   utf8    3ɉH\f blocks=Basic Latin,Latin Extended-B
111  0x000023b7 0x00402fb7 8   11   .text   utf8    ]_^[Ã=ȪA blocks=Basic Latin,Latin-1 Supplement,Latin Extended-B
