[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
80   0x00002303 0x10002303 4   6    .text   utf8    ҥfAj blocks=Cyrillic,Basic Latin
81   0x0000230c 0x1000230c 4   5    .text   ascii   y9*O
82   0x0000231a 0x1000231a 4   5    .text   ascii   kM`~
83   0x0000233d 0x1000233d 4   5    .text   ascii   Vc0a
84   0x000023a7 0x100023a7 4   5    .text   ascii   dQy/
85   0x000023af 0x100023af 4   6    .text   utf8    Aڱ&S blocks=Basic Latin,Arabic
86   0x0000240b 0x1000240b 4   6    .text   utf8    lDa>
87   0x00002414 0x10002414 5   7    .text   utf8    ϩ7~8A blocks=Greek and Coptic,Basic Latin
88   0x0000246d 0x1000246d 4   7    .text   utf8    渱{I\r blocks=CJK Unified Ideographs,Basic Latin
89   0x0000247b 0x1000247b 4   5    .text   ascii   C-Yn
90   0x000024b9 0x100024b9 4   7    .text   utf8    ۈ2yܸ blocks=Arabic,Basic Latin,Syriac
91   0x00002525 0x10002525 4   5    .text   ascii   gqr<
92   0x00002587 0x10002587 4   5    .text   ascii   $/o|
93   0x00002595 0x10002595 4   5    .text   ascii   f-=v
94   0x000025b7 0x100025b7 4   6    .text   utf8    3x\aɢ blocks=Basic Latin,IPA Extensions
95   0x000025cc 0x100025cc 4   5    .text   ascii   \bm=-
96   0x00002628 0x10002628 6   10   .text   utf8    JߥA=ؕפ blocks=Basic Latin,NKo,Arabic,Hebrew
97   0x00002692 0x10002692 4   6    .text   utf8    \;:l
98   0x000026c0 0x100026c0 7   8    .text   ascii   \rmj>zjZ
99   0x000026f1 0x100026f1 5   6    .text   ascii   l6qnk
100  0x00002739 0x10002739 7   9    .text   utf8    \r+گ\n\eL6 blocks=Basic Latin,Arabic
101  0x00002760 0x10002760 5   7    .text   utf8    %oҠRh blocks=Basic Latin,Cyrillic
102  0x00002776 0x10002776 4   6    .text   utf8    &/ź; blocks=Basic Latin,Latin Extended-A
103  0x000027ae 0x100027ae 5   6    .text   ascii   6?r\ag
104  0x00002827 0x10002827 4   6    .text   utf8    §g&a blocks=Latin-1 Supplement,Basic Latin
105  0x00002830 0x10002830 8   10   .text   utf8    IiGM>nwۮ blocks=Basic Latin,Arabic
106  0x0000289d 0x1000289d 6   7    .text   ascii   \e1A26b
107  0x00002935 0x10002935 4   6    .text   utf8    Ųe]] blocks=Latin Extended-A,Basic Latin
108  0x00002947 0x10002947 4   5    .text   ascii   i91k
109  0x00002950 0x10002950 4   5    .text   ascii   \v\a\t,
110  0x00002a55 0x10002a55 6   7    .text   ascii   ewh/?y
111  0x00002a66 0x10002a66 4   5    .text   ascii   *5KS
112  0x00002aec 0x10002aec 7   8    .text   ascii   \f6~_'\e-
113  0x00002b35 0x10002b35 4   5    .text   ascii   F*.f
114  0x00002b81 0x10002b81 9   10   .text   ascii   *F2\a1wsHp
115  0x00002bbd 0x10002bbd 4   5    .text   ascii   8l\a1
116  0x00002c1c 0x10002c1c 5   7    .text   utf8    Ge­lH blocks=Basic Latin,Latin-1 Supplement
117  0x00002c30 0x10002c30 4   5    .text   ascii   \b$Tj
118  0x00002ccb 0x10002ccb 5   7    .text   utf8    d\bؓS\n blocks=Basic Latin,Arabic
119  0x00002cd2 0x10002cd2 6   7    .text   ascii   -\n\v\G=
120  0x00002ce7 0x10002ce7 4   5    .text   ascii   )\e/\v
121  0x00002d17 0x10002d17 4   5    .text   ascii   M8MF
122  0x00002d36 0x10002d36 4   5    .text   ascii   Pe6^
123  0x00002d68 0x10002d68 5   6    .text   ascii   #bML"
124  0x00002d82 0x10002d82 8   9    .text   ascii   `F(>\nq-q
125  0x00002dac 0x10002dac 5   6    .text   ascii   vQO+t
126  0x00002db3 0x10002db3 5   7    .text   utf8    ru՛E~ blocks=Basic Latin,Armenian
127  0x00002dbf 0x10002dbf 4   5    .text   ascii   O}\r\b
128  0x00002def 0x10002def 4   5    .text   ascii   [h1R
129  0x00002e4e 0x10002e4e 4   5    .text   ascii   XsBI
130  0x00002e5a 0x10002e5a 4   5    .text   ascii   hPU3
131  0x00002e90 0x10002e90 5   6    .text   ascii   ^oEZ_
132  0x00002f19 0x10002f19 6   8    .text   utf8    x]`غ7W blocks=Basic Latin,Arabic
133  0x00002f89 0x10002f89 6   8    .text   utf8    D\at͆mC blocks=Basic Latin,Combining Diacritical Marks
134  0x0000304a 0x1000304a 4   6    .text   utf8    )ġ:C blocks=Basic Latin,Latin Extended-A
135  0x0000308e 0x1000308e 4   8    .text   utf8    ÿZ^ھ blocks=Latin-1 Supplement,Basic Latin,Arabic
136  0x000030af 0x100030af 5   7    .text   utf8    2%k_ܝ blocks=Basic Latin,Syriac
137  0x000030d2 0x100030d2 4   5    .text   ascii   w3Xc
138  0x000030f0 0x100030f0 4   5    .text   ascii   ur\bC
139  0x00003114 0x10003114 5   7    .text   utf8    \bzGɠ2 blocks=Basic Latin,IPA Extensions
140  0x0000311f 0x1000311f 4   5    .text   ascii   [\n;g
141  0x00003128 0x10003128 4   5    .text   ascii   /P8i
142  0x00003140 0x10003140 7   9    .text   utf8    ϏOZw3(? blocks=Greek and Coptic,Basic Latin
143  0x00003160 0x10003160 4   5    .text   ascii   Z"0*
144  0x000031f1 0x100031f1 4   5    .text   ascii   fP~V
145  0x00003229 0x10003229 4   5    .text   ascii   D`T\f
146  0x0000329f 0x1000329f 4   5    .text   ascii   ^GP~
147  0x000032a8 0x100032a8 7   9    .text   utf8    b;!lڇF\t blocks=Basic Latin,Arabic
148  0x000032c2 0x100032c2 6   7    .text   ascii   V_:X1:
149  0x000032e6 0x100032e6 5   6    .text   ascii   NJ2"v
150  0x0000330c 0x1000330c 5   6    .text   ascii   O*9y]
151  0x0000337a 0x1000337a 4   5    .text   ascii   fu`z
152  0x000033a9 0x100033a9 4   5    .text   ascii   /yQA
153  0x000033c5 0x100033c5 4   5    .text   ascii   Li\a<
154  0x0000340d 0x1000340d 7   10   .text   utf8    >aDƋΪ~7 blocks=Basic Latin,Latin Extended-B,Greek and Coptic
155  0x0000341e 0x1000341e 4   5    .text   ascii   &]|v
156  0x0000346e 0x1000346e 5   8    .text   utf8    散\rI{\e blocks=CJK Unified Ideographs,Basic Latin
157  0x00003498 0x10003498 52  53   .text   ascii    deflate 1.2.3 Copyright 1995-2005 Jean-loup Gailly 
158  0x00003548 0x10003548 5   6    .text   ascii   2.1.0
159  0x00003620 0x10003620 14  60   .text   utf32le \a\a\b\b\t\t\n\n\v\v\f\f\r\r
160  0x00003aba 0x10003aba 7   16   .text   utf16le \a@\a \a`\a
161  0x00003aca 0x10003aca 15  32   .text   utf16le \aP\a0\ap\a\b\aH\a(\ah\a
162  0x00003aea 0x10003aea 7   16   .text   utf16le \aX\a8\ax\a
163  0x00003afa 0x10003afa 7   16   .text   utf16le \aD\a$\ad\a
164  0x00003b0a 0x10003b0a 7   16   .text   utf16le \aT\a4\at\a
165  0x00003bbc 0x10003bbc 116 117  .text   ascii   \a\a\a\a\b\b\b\b\b\b\b\b\t\t\t\t\t\t\t\t\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\v\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\f\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r\r
166  0x00003d10 0x10003d10 32  33   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
167  0x00003db7 0x10003db7 17  18   .text   ascii   \a\b\b\t\t\n\n\v\v\f\f\f\f\r\r\r\r
168  0x00003e90 0x10003e90 31  32   .text   ascii   \e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e\e
169  0x00003ecc 0x10003ecc 4   20   .text   utf32le \a\b\n\f
170  0x00003ef0 0x10003ef0 8   36   .text   utf32le  (08@P`p
171  0x00003f4c 0x10003f4c 4   20   .text   utf32le  0@`
172  0x000040d3 0x100040d3 5   6    .text   ascii   pvids
173  0x000041dc 0x100041dc 4   6    .text   utf8    [Ët$ blocks=Basic Latin,Latin-1 Supplement
174  0x000041e4 0x100041e4 4   5    .text   ascii   u\t_^
175  0x0000428c 0x1000428c 4   6    .text   utf8    3ҊV\a blocks=Basic Latin,Cyrillic
176  0x00004295 0x10004295 4   6    .text   utf8    3\nF\b
177  0x0000429e 0x1000429e 4   6    .text   utf8    3ҊV\t blocks=Basic Latin,Cyrillic
178  0x000042a7 0x100042a7 4   6    .text   utf8    3\nF\n
179  0x000042b0 0x100042b0 4   6    .text   utf8    3ҊV\v blocks=Basic Latin,Cyrillic
180  0x000042b9 0x100042b9 4   6    .text   utf8    3\nF\f
181  0x000042c2 0x100042c2 4   6    .text   utf8    3ҊV\r blocks=Basic Latin,Cyrillic
182  0x0000435f 0x1000435f 4   6    .text   utf8    3\nF\a
183  0x00004368 0x10004368 4   6    .text   utf8    3ҊV\b blocks=Basic Latin,Cyrillic
184  0x00004371 0x10004371 4   6    .text   utf8    3\nF\t
185  0x0000437a 0x1000437a 4   6    .text   utf8    3ҊV\n blocks=Basic Latin,Cyrillic
186  0x00004383 0x10004383 4   6    .text   utf8    3\nF\v
187  0x0000438c 0x1000438c 4   6    .text   utf8    3ҊV\f blocks=Basic Latin,Cyrillic
188  0x00004395 0x10004395 4   6    .text   utf8    3\nF\r
189  0x00004461 0x10004461 5   6    .text   ascii   D$\bVW
190  0x00004499 0x10004499 8   10   .text   utf8    L$\f_3\t\n^
191  0x000044e9 0x100044e9 5   6    .text   ascii   l$@Vj
192  0x00004511 0x10004511 5   7    .text   utf8    3ɋT$T blocks=Basic Latin,Latin Extended-B
193  0x00004518 0x10004518 4   5    .text   ascii   L$\bS
194  0x0000452c 0x1000452c 4   5    .text   ascii   D$Lf
195  0x00004535 0x10004535 5   6    .text   ascii   L$LQP
196  0x00004542 0x10004542 4   5    .text   ascii   6QVf
197  0x00004547 0x10004547 5   6    .text   ascii   D$$BM
198  0x00004551 0x10004551 4   5    .text   ascii   D$.6
199  0x00004562 0x10004562 5   7    .text   utf8    3\r|$ 
200  0x00004572 0x10004572 4   5    .text   ascii   T$$j
201  0x00004579 0x10004579 7   8    .text   ascii   T$(j(RV
202  0x00004581 0x10004581 4   5    .text   ascii   D$4(
203  0x00004589 0x10004589 4   5    .text   ascii   D$<f
204  0x0000459b 0x1000459b 5   7    .text   utf8    ӍD$Lj blocks=Cyrillic,Basic Latin
205  0x000045a7 0x100045a7 7   8    .text   ascii   T$\PQRV
206  0x00004689 0x10004689 4   6    .text   utf8    ;ǉ|$ blocks=Basic Latin,Latin Extended-B
207  0x0000470b 0x1000470b 6   7    .text   ascii   L$\f_^d
208  0x00004792 0x10004792 5   7    .text   utf8    PǄ$L\b blocks=Basic Latin,Latin Extended-B
209  0x000047a9 0x100047a9 4   6    .text   utf8    Ǆ$<\b blocks=Latin Extended-B,Basic Latin
210  0x000047d5 0x100047d5 4   5    .text   ascii   T$ R
211  0x00004816 0x10004816 4   5    .text   ascii   T$$j
212  0x0000481d 0x1000481d 4   5    .text   ascii   D$(\b
213  0x00004823 0x10004823 4   5    .text   ascii   \bRh(
214  0x0000483c 0x1000483c 5   6    .text   ascii   |$4PP
215  0x00004848 0x10004848 4   5    .text   ascii   D$<h
216  0x00004879 0x10004879 4   6    .text   utf8    Ѝ|$8 blocks=Cyrillic,Basic Latin
217  0x000048c1 0x100048c1 4   5    .text   ascii   L$,Q
218  0x000048e9 0x100048e9 4   5    .text   ascii   L$ Q
219  0x00004906 0x10004906 4   6    .text   utf8    Ǆ$<\b blocks=Latin Extended-B,Basic Latin
220  0x00004924 0x10004924 5   6    .text   ascii   _^][d
221  0x0000493c 0x1000493c 4   6    .text   utf8    Ǆ$<\b blocks=Latin Extended-B,Basic Latin
222  0x00004977 0x10004977 5   6    .text   ascii   LSUVW
223  0x000049c8 0x100049c8 4   5    .text   ascii   Wh$@
224  0x000049fa 0x100049fa 4   6    .text   utf8    3\r|$
225  0x00004bd3 0x10004bd3 12  14   .text   utf8    Q\b3\vL$\_^][d
226  0x00004c0b 0x10004c0b 4   5    .text   ascii   |$43
227  0x00004c32 0x10004c32 5   6    .text   ascii   \$,Ph
228  0x00004c61 0x10004c61 4   5    .text   ascii   Q\b_2
229  0x00004c81 0x10004c81 5   6    .text   ascii   L$4SQ
230  0x00004c9f 0x10004c9f 4   5    .text   ascii   \$,;
231  0x00004cc0 0x10004cc0 4   5    .text   ascii   Q\b_2
232  0x00004cd8 0x10004cd8 5   6    .text   ascii   D$4VP
233  0x00004d0c 0x10004d0c 5   6    .text   ascii   T$@Rh
234  0x00004d16 0x10004d16 4   5    .text   ascii   \bSSP
235  0x00004d2c 0x10004d2c 4   5    .text   ascii   D$ \b
236  0x00004d32 0x10004d32 4   5    .text   ascii   \bRh(
237  0x00004d58 0x10004d58 4   5    .text   ascii   T$$R
238  0x00004d63 0x10004d63 4   5    .text   ascii   D$@P
239  0x00004d9b 0x10004d9b 4   5    .text   ascii   \$0;
240  0x00004dc0 0x10004dc0 4   5    .text   ascii   L$$_
241  0x00004de0 0x10004de0 4   5    .text   ascii   SUVW
242  0x00004ded 0x10004ded 4   5    .text   ascii   w\bVh
243  0x00004dff 0x10004dff 5   7    .text   utf8    Ս_\fSh blocks=Armenian,Basic Latin
244  0x00004e28 0x10004e28 4   5    .text   ascii   RhT@
245  0x00004e3c 0x10004e3c 4   5    .text   ascii   WhD@
246  0x00004e47 0x10004e47 5   7    .text   utf8    _^][Ð blocks=Basic Latin,Latin-1 Supplement
247  0x00004e86 0x10004e86 4   6    .text   utf8    RL^Ð blocks=Basic Latin,Latin-1 Supplement
248  0x00004ef7 0x10004ef7 4   5    .text   ascii   L$\f_
249  0x00004f6c 0x10004f6c 4   5    .text   ascii   D$DS
250  0x00004f71 0x10004f71 4   5    .text   ascii   \$DV
251  0x00004fbd 0x10004fbd 4   5    .text   ascii   D$\bj
252  0x00004fd3 0x10004fd3 4   5    .text   ascii   L$\bQ
253  0x00004fee 0x10004fee 4   6    .text   utf8    8ËT$ blocks=Basic Latin,Latin-1 Supplement
254  0x00004ff5 0x10004ff5 4   5    .text   ascii   D$\bP
255  0x00005019 0x10005019 4   5    .text   ascii   T$\bP
256  0x0000501e 0x1000501e 5   6    .text   ascii   D$\bQj
257  0x00005028 0x10005028 4   5    .text   ascii   j\bRP
258  0x00005068 0x10005068 4   5    .text   ascii   |$08
259  0x00005078 0x10005078 5   6    .text   ascii   u\n_^]
260  0x00005082 0x10005082 4   6    .text   utf8    [ËG  blocks=Basic Latin,Latin-1 Supplement
261  0x00005096 0x10005096 7   8    .text   ascii   W(9W$u\a
262  0x000050ba 0x100050ba 4   5    .text   ascii   \$ ;
263  0x000050c4 0x100050c4 4   6    .text   utf8    ۋD$$ blocks=Arabic,Basic Latin
264  0x000050ee 0x100050ee 4   5    .text   ascii   D$(;
265  0x00005119 0x10005119 5   6    .text   ascii   u\n_^]
266  0x0000512f 0x1000512f 4   6    .text   utf8    ˋ\$$ blocks=Spacing Modifier Letters,Basic Latin
267  0x000051b0 0x100051b0 4   5    .text   ascii   W(PR
268  0x0000521f 0x1000521f 4   5    .text   ascii   _^][
269  0x00005241 0x10005241 4   5    .text   ascii   _^][
270  0x00005262 0x10005262 12  13   .text   ascii   tb9_ t]9_$tX
271  0x000052d2 0x100052d2 5   6    .text   ascii   \$\bUV
272  0x00005345 0x10005345 4   6    .text   utf8    [ËN( blocks=Basic Latin,Latin-1 Supplement
273  0x0000539c 0x1000539c 4   6    .text   utf8    \vȋFl blocks=Basic Latin,Latin Extended-B
274  0x0000541d 0x1000541d 4   5    .text   ascii   _^]3
275  0x00005527 0x10005527 4   5    .text   ascii   _^]3
276  0x00005531 0x10005531 6   7    .text   ascii   t\a_^]3
277  0x00005540 0x10005540 4   5    .text   ascii   \n_^]
278  0x00005549 0x10005549 4   6    .text   utf8    [ËC0 blocks=Basic Latin,Latin-1 Supplement
279  0x0000559a 0x1000559a 4   5    .text   ascii   _^]3
280  0x000055c5 0x100055c5 5   6    .text   ascii   L$\bVW
281  0x000056cf 0x100056cf 4   5    .text   ascii   V(PR
282  0x000056e4 0x100056e4 4   5    .text   ascii   N(PQ
283  0x00005707 0x10005707 4   5    .text   ascii   V(QR
284  0x00005744 0x10005744 4   5    .text   ascii   BDWf
285  0x00005750 0x10005750 6   8    .text   utf8    zD3\rL\t
286  0x000057c5 0x100057c5 4   6    .text   utf8    B`[Ð blocks=Basic Latin,Latin-1 Supplement
287  0x00005830 0x10005830 6   8    .text   utf8    r?+ЉFl blocks=Basic Latin,Cyrillic
288  0x00005838 0x10005838 5   7    .text   utf8    ɉVt|\a blocks=Latin Extended-B,Basic Latin
289  0x00005932 0x10005932 5   6    .text   ascii   \$\bUV
290  0x00005942 0x10005942 8   11   .text   utf8    Cl+ыK,+Ѝ blocks=Basic Latin,Cyrillic
291  0x0000595a 0x1000595a 4   7    .text   utf8    ͋M4/ blocks=Combining Diacritical Marks,Basic Latin
292  0x00005977 0x10005977 4   6    .text   utf8    +͉sp blocks=Basic Latin,Combining Diacritical Marks
293  0x00005983 0x10005983 6   8    .text   utf8    KD+ŉC\ blocks=Basic Latin,Latin Extended-A
294  0x00005a11 0x10005a11 8   11   .text   utf8    3KKT#ICH
295  0x00005a30 0x10005a30 5   7    .text   utf8    _^][Ð blocks=Basic Latin,Latin-1 Supplement
296  0x00005a41 0x10005a41 4   5    .text   ascii   L$\fS
297  0x00005a46 0x10005a46 4   5    .text   ascii   \$\bU
298  0x00005a6f 0x10005a6f 5   6    .text   ascii   S0UQR
299  0x00005a9f 0x10005a9f 4   6    .text   utf8    ͉C\b_ blocks=Combining Diacritical Marks,Basic Latin
300  0x00005aa8 0x10005aa8 4   6    .text   utf8    \v][Ð blocks=Basic Latin,Latin-1 Supplement
301  0x00005b0a 0x10005b0a 10  13   .text   utf8    V@3KNT#KND
302  0x00005b28 0x10005b28 7   9    .text   utf8    V@#ȋFH3 blocks=Basic Latin,Latin Extended-B
303  0x00005b48 0x10005b48 4   6    .text   utf8    N,+ǁ blocks=Basic Latin,Latin Extended-B
304  0x00005b77 0x10005b77 4   5    .text   ascii   u\rWV
305  0x00005ba2 0x10005ba2 6   7    .text   ascii   Flf+Fp
306  0x00005c36 0x10005c36 4   6    .text   utf8    ;ЋF` blocks=Basic Latin,Cyrillic
307  0x00005c4e 0x10005c4e 4   5    .text   ascii   Ntwm
308  0x00005c62 0x10005c62 7   9    .text   utf8    ~HB3ɉVl blocks=Basic Latin,Latin Extended-B
309  0x00005c76 0x10005c76 11  14   .text   utf8    ND3ǋ~T#ǋ~4# blocks=Basic Latin,Latin Extended-B
310  0x00005c99 0x10005c99 7   9    .text   utf8    FH#ʋV@3 blocks=Basic Latin,IPA Extensions
311  0x00005cd7 0x10005cd7 4   6    .text   utf8    NX3\n
312  0x00005ce7 0x10005ce7 8   11   .text   utf8    3KNT#IFH
313  0x00005d09 0x10005d09 4   5    .text   ascii   D$\ff
314  0x00005d79 0x10005d79 5   7    .text   utf8    3\vVlj
315  0x00005db7 0x10005db7 4   6    .text   utf8    3\vl$
316  0x00005dfd 0x10005dfd 5   7    .text   utf8    ]YËD$ blocks=Basic Latin,Latin-1 Supplement
317  0x00005e23 0x10005e23 4   5    .text   ascii   SUVW
318  0x00005e4c 0x10005e4c 4   6    .text   utf8    ;ӉD$ blocks=Basic Latin,Cyrillic
319  0x00005e94 0x10005e94 4   5    .text   ascii   T$ v
320  0x00005eb4 0x10005eb4 6   7    .text   ascii   D$(8D*
321  0x00005f41 0x10005f41 4   6    .text   utf8    wp;Ћ blocks=Basic Latin,Cyrillic
322  0x00005f7e 0x10005f7e 4   5    .text   ascii   D$ ;
323  0x00005f87 0x10005f87 4   5    .text   ascii   _^][
