ii 592 64
[Strings]
nth   paddr      vaddr      len  size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
101   0x0000195b 0x0000191b 4    5            ascii   ({RV
102   0x000019d3 0x00001993 4    5            ascii   tGDt
103   0x000019ea 0x000019aa 4    5            ascii   :O0`
104   0x00001a0a 0x000019ca 4    5            ascii   {J't
105   0x00001a43 0x00001a03 4    5            ascii   qI>|
106   0x00001ab6 0x00001a76 5    6            ascii   /i<ct
107   0x00001ac2 0x00001a82 5    8            utf8    B!u\v blocks=Basic Latin,Private Use Area
108   0x00001b39 0x00001af9 4    5            ascii   N+1m
109   0x00001b47 0x00001b07 4    5            ascii   f{p 
110   0x00001b79 0x00001b39 5    6            ascii   i\fQvL
111   0x00001bb5 0x00001b75 8    11           utf8    byLw˗cʔP blocks=Basic Latin,Spacing Modifier Letters,IPA Extensions
112   0x00001bd3 0x00001b93 4    6            utf8    hգfH blocks=Basic Latin,Armenian
113   0x00001c6b 0x00001c2b 4    5            ascii   iAD'
114   0x00001c95 0x00001c55 5    6            ascii   ?cRt;
115   0x00001cde 0x00001c9e 5    6            ascii   h?xv&
116   0x00001d27 0x00001ce7 5    7            utf8    Pt8\bԓ blocks=Basic Latin,Cyrillic Supplement
117   0x00001dbf 0x00001d7f 4    5            ascii   q\nJy
118   0x00001dee 0x00001dae 5    6            ascii   #ZCY\n
119   0x00001e28 0x00001de8 4    6            utf8    ̟LHM blocks=Combining Diacritical Marks,Basic Latin
120   0x00001e34 0x00001df4 4    5            ascii   J}PS
121   0x00001e79 0x00001e39 4    5            ascii   |ly&
122   0x00001eec 0x00001eac 6    7            ascii   n~Pj(-
123   0x00001f14 0x00001ed4 4    5            ascii   \a\ata
124   0x00001f40 0x00001f00 4    6            utf8    ,n\n\e
125   0x00001fee 0x00001fae 4    5            ascii   *P( 
126   0x00001ffc 0x00001fbc 4    8            utf8    HmͶ blocks=Private Use Area,Basic Latin,Greek and Coptic
127   0x00002066 0x00002026 4    5            ascii   f_kp
128   0x0000208b 0x0000204b 4    5            ascii   0W:Q
129   0x0000209d 0x0000205d 5    7            utf8    i4b̲U blocks=Basic Latin,Combining Diacritical Marks
130   0x000020c4 0x00002084 6    8            utf8    N;F͢q# blocks=Basic Latin,Combining Diacritical Marks
131   0x000020dc 0x0000209c 4    6            utf8    y\nڊ< blocks=Basic Latin,Arabic
132   0x000020e2 0x000020a2 4    6            utf8    C61ԁ blocks=Basic Latin,Cyrillic Supplement
133   0x000020e8 0x000020a8 10   12           utf8    5BFŌMAEw~( blocks=Basic Latin,Latin Extended-A
134   0x000020f4 0x000020b4 4    5            ascii   wu\\e
135   0x000020f9 0x000020b9 4    5            ascii   4Ze@
136   0x00002101 0x000020c1 4    5            ascii   \am%T
137   0x0000210d 0x000020cd 9    10           ascii   yk#_Ee<\fg
138   0x0000214d 0x0000210d 4    6            utf8    4,Ԑ0 blocks=Basic Latin,Cyrillic Supplement
139   0x00002157 0x00002117 4    6            utf8    U*ߩL blocks=Basic Latin,NKo
140   0x0000215e 0x0000211e 6    7            ascii   *qE`?(
141   0x0000216c 0x0000212c 5    9            utf8    ҌȷZ]¥ blocks=Cyrillic,Latin Extended-B,Basic Latin,Latin-1 Supplement
142   0x00002214 0x000021d4 4    5            ascii   <V'0
143   0x00002270 0x00002230 5    6            ascii   "lVjF
144   0x00002298 0x00002258 4    6            utf8    hk6ј blocks=Basic Latin,Cyrillic
145   0x0000232b 0x000022eb 4    5            ascii   v6^(
146   0x0000235b 0x0000231b 4    5            ascii   T;-\n
147   0x00002360 0x00002320 6    7            ascii   Cb\e@<j
148   0x00002367 0x00002327 5    7            utf8    e҉Iuq blocks=Basic Latin,Cyrillic
149   0x000023b6 0x00002376 6    7            ascii   B" y]U
150   0x000023c2 0x00002382 4    5            ascii   \vX6L
151   0x000023e4 0x000023a4 4    6            utf8    !էaE blocks=Basic Latin,Armenian
152   0x00002424 0x000023e4 4    5            ascii   Erf~
153   0x0000244c 0x0000240c 4    5            ascii   G39t
154   0x00002458 0x00002418 4    5            ascii   ]<$h
155   0x00002463 0x00002423 5    6            ascii   ]9ke'
156   0x000024bc 0x0000247c 4    6            utf8    t;iɪ blocks=Basic Latin,IPA Extensions
157   0x000024e6 0x000024a6 4    6            utf8    6Գ1R blocks=Basic Latin,Armenian
158   0x000025b7 0x00002577 4    5            ascii   [\t6D
159   0x000025ee 0x000025ae 6    7            ascii   \rr7:o[
160   0x00002619 0x000025d9 5    6            ascii   cX^:o
161   0x00002626 0x000025e6 6    7            ascii   "l~^f(
162   0x000026a8 0x00002668 4    5            ascii   x1u,
163   0x000026bb 0x0000267b 4    5            ascii   y\bPG
164   0x000026df 0x0000269f 4    7            utf8    #]\廓 blocks=Basic Latin,CJK Unified Ideographs
165   0x00002753 0x00002713 4    5            ascii   kv]M
166   0x00002758 0x00002718 4    5            ascii   6&|_
167   0x00002774 0x00002734 5    6            ascii   v_`TE
168   0x00002780 0x00002740 5    7            utf8    hXr6K
169   0x00002795 0x00002755 4    5            ascii   #C#l
170   0x0000279b 0x0000275b 7    8            ascii   g}U~X<S
171   0x000027ae 0x0000276e 5    6            ascii   Op%o>
172   0x000027b8 0x00002778 4    5            ascii   +\rdu
173   0x000027bd 0x0000277d 4    5            ascii   @(Iq
174   0x00002801 0x000027c1 4    7            utf8    йw_܅ blocks=Cyrillic,Basic Latin,Syriac
175   0x00002813 0x000027d3 4    6            utf8    g%8۠ blocks=Basic Latin,Arabic
176   0x00002858 0x00002818 5    7            utf8    ;0̠O> blocks=Basic Latin,Combining Diacritical Marks
177   0x00002884 0x00002844 5    6            ascii   !=}_3
178   0x0000292c 0x000028ec 4    5            ascii   \bC#!
179   0x00002958 0x00002918 5    7            utf8    wҭ49* blocks=Basic Latin,Cyrillic
180   0x00002963 0x00002923 4    5            ascii   N:*m
181   0x00002968 0x00002928 4    5            ascii   "hg2
182   0x0000297e 0x0000293e 4    8            utf8    ~֢) blocks=Basic Latin,Private Use Area,Hebrew
183   0x000029b1 0x00002971 5    6            ascii   Vq)*p
184   0x000029bc 0x0000297c 4    5            ascii   \r:I>
185   0x000029cb 0x0000298b 8    12           utf8    mAX>'$Յ blocks=Basic Latin,Armenian,Private Use Area
186   0x000029e7 0x000029a7 5    8            utf8    3Ĥ87ۊ blocks=Basic Latin,Latin Extended-A,Arabic
187   0x00002a0e 0x000029ce 4    5            ascii   &'e&
188   0x00002a2f 0x000029ef 6    8            utf8    FUjnݫ3 blocks=Basic Latin,Arabic Supplement
189   0x00002a82 0x00002a42 4    5            ascii   T$ic
190   0x00002ac2 0x00002a82 4    6            utf8    ʍkg5 blocks=IPA Extensions,Basic Latin
191   0x00002ae4 0x00002aa4 5    6            ascii   -Xngf
192   0x00002afd 0x00002abd 4    5            ascii   yJ4C
193   0x00002b59 0x00002b19 4    5            ascii   *ILe
194   0x00002b66 0x00002b26 5    6            ascii   ^bgMZ
195   0x00002b99 0x00002b59 4    5            ascii   ]7Do
196   0x00002c53 0x00002c13 4    5            ascii   {\b\bS
197   0x00002c61 0x00002c21 5    6            ascii   yu+Kd
198   0x00002c6f 0x00002c2f 4    5            ascii   r{Gc
199   0x00002c8e 0x00002c4e 6    7            ascii   VC!ko_
200   0x00002cb2 0x00002c72 4    5            ascii   u*{\f
201   0x00002cb9 0x00002c79 4    6            utf8    :j=ݷ blocks=Basic Latin,Arabic Supplement
202   0x00002cdb 0x00002c9b 5    6            ascii   D#va_
