[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1034 0x0000d752 0x1000e352 4   5    .text   ascii   T$03
1035 0x0000d780 0x1000e380 4   5    .text   ascii   t$PL
1036 0x0000d785 0x1000e385 4   5    .text   ascii   D$PH
1037 0x0000d7bb 0x1000e3bb 4   6    .text   utf8    t=Ƅ$ blocks=Basic Latin,Latin Extended-B
1038 0x0000d8af 0x1000e4af 8   9    .text   ascii   A]A\_^][
1039 0x0000d8d0 0x1000e4d0 4   5    .text   ascii   @SWH
1040 0x0000d8fb 0x1000e4fb 7   8    .text   ascii   H9x(t7H
1041 0x0000d940 0x1000e540 8   9    .text   ascii   @SUVWATH
1042 0x0000d9de 0x1000e5de 4   5    .text   ascii   D$xH
1043 0x0000d9f5 0x1000e5f5 4   5    .text   ascii   T$`H
1044 0x0000da06 0x1000e606 4   5    .text   ascii   D$`H
1045 0x0000da0e 0x1000e60e 4   5    .text   ascii   L$hH
1046 0x0000da38 0x1000e638 4   5    .text   ascii   D$hL
1047 0x0000da3d 0x1000e63d 4   5    .text   ascii   \$`D
1048 0x0000da61 0x1000e661 4   5    .text   ascii   \$XH
1049 0x0000da66 0x1000e666 4   5    .text   ascii   D$PH
1050 0x0000da6b 0x1000e66b 4   5    .text   ascii   D$pH
1051 0x0000da70 0x1000e670 4   5    .text   ascii   D$HH
1052 0x0000da75 0x1000e675 4   5    .text   ascii   D$xH
1053 0x0000dad5 0x1000e6d5 6   7    .text   ascii   A\_^][
1054 0x0000dadc 0x1000e6dc 4   5    .text   ascii   @SWH
1055 0x0000db01 0x1000e701 4   5    .text   ascii   K@E3
1056 0x0000db17 0x1000e717 4   5    .text   ascii   K@E3
1057 0x0000db4e 0x1000e74e 4   5    .text   ascii   H@E3
1058 0x0000db60 0x1000e760 4   5    .text   ascii   K@E3
1059 0x0000dba4 0x1000e7a4 12  13   .text   ascii   @SUVWATAUAWH
1060 0x0000dc10 0x1000e810 4   5    .text   ascii   Nu)I
1061 0x0000dc1e 0x1000e81e 4   5    .text   ascii   L$0L
1062 0x0000dc5a 0x1000e85a 4   5    .text   ascii    u$H
1063 0x0000dcd2 0x1000e8d2 4   5    .text   ascii   T$0H
1064 0x0000dcd7 0x1000e8d7 4   5    .text   ascii   T$ L
1065 0x0000dd28 0x1000e928 5   6    .text   ascii   u<H;|
1066 0x0000dd89 0x1000e989 4   5    .text   ascii   \bH9G
1067 0x0000dd90 0x1000e990 7   8    .text   ascii   D9/u\n9G
1068 0x0000dd9a 0x1000e99a 6   7    .text   ascii   9G\bv\rH
1069 0x0000dda2 0x1000e9a2 4   5    .text   ascii    H9G
1070 0x0000ddb6 0x1000e9b6 4   5    .text   ascii   \bH9G
1071 0x0000ddc3 0x1000e9c3 4   5    .text   ascii   u\n9G
1072 0x0000ddca 0x1000e9ca 6   7    .text   ascii   9G\bv\rH
1073 0x0000ddd2 0x1000e9d2 4   5    .text   ascii    H9G
1074 0x0000de8e 0x1000ea8e 4   5    .text   ascii   txI+
1075 0x0000de93 0x1000ea93 4   5    .text   ascii   tCI+
1076 0x0000df66 0x1000eb66 4   7    .text   utf8    L$H覎 blocks=Basic Latin,CJK Unified Ideographs
1077 0x0000df75 0x1000eb75 4   5    .text   ascii   D$PH
1078 0x0000dfd1 0x1000ebd1 4   5    .text   ascii   D$pD
1079 0x0000dfdc 0x1000ebdc 4   5    .text   ascii   T$HH
1080 0x0000dffb 0x1000ebfb 4   5    .text   ascii   D$0H
1081 0x0000e02e 0x1000ec2e 4   5    .text   ascii   tmI+
1082 0x0000e033 0x1000ec33 4   5    .text   ascii   t8I+
1083 0x0000e0fd 0x1000ecfd 4   5    .text   ascii   D$PD
1084 0x0000e106 0x1000ed06 4   5    .text   ascii   T$HH
1085 0x0000e119 0x1000ed19 4   5    .text   ascii   D$0H
1086 0x0000e168 0x1000ed68 4   5    .text   ascii   taI+
1087 0x0000e16d 0x1000ed6d 4   5    .text   ascii   tOI+
1088 0x0000e172 0x1000ed72 4   5    .text   ascii   t:I+
1089 0x0000e177 0x1000ed77 4   5    .text   ascii   t+I+
1090 0x0000e201 0x1000ee01 4   5    .text   ascii   tvI+
1091 0x0000e206 0x1000ee06 4   5    .text   ascii   tUI+
1092 0x0000e20b 0x1000ee0b 4   5    .text   ascii   t8I+
1093 0x0000e2f9 0x1000eef9 4   5    .text   ascii   teI+
1094 0x0000e2fe 0x1000eefe 4   5    .text   ascii   tKI+
1095 0x0000e38d 0x1000ef8d 4   5    .text   ascii   H9u@
1096 0x0000e3e7 0x1000efe7 4   5    .text   ascii   (ttH
1097 0x0000e3ed 0x1000efed 4   5    .text   ascii   )tHH
1098 0x0000e487 0x1000f087 5   7    .text   utf8    ƉD$8H blocks=Latin Extended-B,Basic Latin
1099 0x0000e492 0x1000f092 5   7    .text   utf8    ƉD$<I blocks=Latin Extended-B,Basic Latin
1100 0x0000e4a4 0x1000f0a4 4   5    .text   ascii   D$8H
1101 0x0000e507 0x1000f107 4   5    .text   ascii   t{I+
1102 0x0000e50c 0x1000f10c 4   5    .text   ascii   t^I+
1103 0x0000e511 0x1000f111 4   5    .text   ascii   t0I+
1104 0x0000e545 0x1000f145 5   7    .text   utf8    ƉD$8H blocks=Latin Extended-B,Basic Latin
1105 0x0000e550 0x1000f150 5   7    .text   utf8    ƉD$<H blocks=Latin Extended-B,Basic Latin
1106 0x0000e557 0x1000f157 4   5    .text   ascii   T$8H
1107 0x0000e5da 0x1000f1da 5   6    .text   ascii   \rt/I;
1108 0x0000e5e8 0x1000f1e8 5   7    .text   utf8    ƉD$8H blocks=Latin Extended-B,Basic Latin
1109 0x0000e5f3 0x1000f1f3 5   7    .text   utf8    ƉD$<H blocks=Latin Extended-B,Basic Latin
1110 0x0000e5fa 0x1000f1fa 4   5    .text   ascii   T$8H
1111 0x0000e613 0x1000f213 4   5    .text   ascii   D$0H
1112 0x0000e628 0x1000f228 5   7    .text   utf8    ƉD$8H blocks=Latin Extended-B,Basic Latin
1113 0x0000e633 0x1000f233 5   7    .text   utf8    ƉD$<M blocks=Latin Extended-B,Basic Latin
1114 0x0000e645 0x1000f245 4   5    .text   ascii   L$8H
1115 0x0000e651 0x1000f251 4   5    .text   ascii   D$0H
1116 0x0000e676 0x1000f276 5   7    .text   utf8    ƉD$8H blocks=Latin Extended-B,Basic Latin
1117 0x0000e681 0x1000f281 5   7    .text   utf8    ƉD$<L blocks=Latin Extended-B,Basic Latin
1118 0x0000e688 0x1000f288 4   5    .text   ascii   D$8A
1119 0x0000e6de 0x1000f2de 4   5    .text   ascii   D$0H
1120 0x0000e6f0 0x1000f2f0 4   5    .text   ascii   L$0H
1121 0x0000e71b 0x1000f31b 10  11   .text   ascii   A_A]A\_^][
1122 0x0000e819 0x1000f419 4   5    .text   ascii   D$8L
1123 0x0000e81e 0x1000f41e 6   8    .text   utf8    L$0E3:
1124 0x0000e896 0x1000f496 4   5    .text   ascii   L$8L
1125 0x0000e89b 0x1000f49b 4   5    .text   ascii   L$0A
1126 0x0000e8a9 0x1000f4a9 4   5    .text   ascii   D$0H
1127 0x0000e926 0x1000f526 9   10   .text   ascii   L$\bSVWATH
1128 0x0000e95a 0x1000f55a 4   5    .text   ascii   d$hH
1129 0x0000e971 0x1000f571 5   6    .text   ascii   D$xH;
1130 0x0000e9b9 0x1000f5b9 4   5    .text   ascii   t$`D
1131 0x0000e9be 0x1000f5be 4   5    .text   ascii   d$hH
1132 0x0000e9c3 0x1000f5c3 5   6    .text   ascii   |$pH;
1133 0x0000e9d6 0x1000f5d6 6   7    .text   ascii   8A\_^[
1134 0x0000eadf 0x1000f6df 4   5    .text   ascii   D$ C
1135 0x0000eb07 0x1000f707 4   5    .text   ascii   D$ C
1136 0x0000eba4 0x1000f7a4 6   7    .text   ascii   @SUVWH
1137 0x0000ec22 0x1000f822 4   5    .text   ascii   L$xH
1138 0x0000ec28 0x1000f828 5   6    .text   ascii   8_^][
1139 0x0000ec4c 0x1000f84c 6   7    .text   ascii   @SUVWH
1140 0x0000ecca 0x1000f8ca 4   5    .text   ascii   L$xH
1141 0x0000ecd0 0x1000f8d0 5   6    .text   ascii   8_^][
1142 0x0000ed2b 0x1000f92b 4   5    .text   ascii   D$`H
1143 0x0000ed3f 0x1000f93f 4   5    .text   ascii   D$`H
1144 0x0000ed54 0x1000f954 6   7    .text   ascii   @SUVWH
1145 0x0000edb5 0x1000f9b5 4   5    .text   ascii   L$ H
1146 0x0000edbd 0x1000f9bd 4   5    .text   ascii   D$pH
1147 0x0000edcf 0x1000f9cf 4   5    .text   ascii   L$pH
1148 0x0000edfe 0x1000f9fe 4   5    .text   ascii   L$pH
1149 0x0000ee27 0x1000fa27 5   6    .text   ascii   8_^][
1150 0x0000ee54 0x1000fa54 5   6    .text   ascii   @SVWH
1151 0x0000ee6d 0x1000fa6d 4   5    .text   ascii   D$0H
1152 0x0000ee9e 0x1000fa9e 5   6    .text   ascii   8X(tJ
1153 0x0000eeb9 0x1000fab9 4   5    .text   ascii   pXH;
1154 0x0000ef2c 0x1000fb2c 4   5    .text   ascii   @SWH
1155 0x0000ef78 0x1000fb78 8   9    .text   ascii   @SUVWATH
1156 0x0000efa3 0x1000fba3 4   5    .text   ascii   L$ 3
1157 0x0000efaa 0x1000fbaa 4   5    .text   ascii   D$HA
1158 0x0000efdb 0x1000fbdb 4   5    .text   ascii   D$HH
1159 0x0000efe0 0x1000fbe0 5   7    .text   utf8    L$8Ǆ$ blocks=Basic Latin,Latin Extended-B
1160 0x0000effd 0x1000fbfd 4   5    .text   ascii   D$ \v
1161 0x0000f02b 0x1000fc2b 4   5    .text   ascii   L$ H
1162 0x0000f04f 0x1000fc4f 4   5    .text   ascii   L$ D
1163 0x0000f054 0x1000fc54 4   5    .text   ascii   d$ H
1164 0x0000f059 0x1000fc59 4   5    .text   ascii   D$`H
1165 0x0000f081 0x1000fc81 4   5    .text   ascii   L$ A
1166 0x0000f08b 0x1000fc8b 4   5    .text   ascii   D$ \b
1167 0x0000f0a7 0x1000fca7 4   5    .text   ascii   \bt0H
1168 0x0000f0b3 0x1000fcb3 4   5    .text   ascii   L$ A
1169 0x0000f0bd 0x1000fcbd 4   5    .text   ascii   D$ \v
1170 0x0000f19b 0x1000fd9b 4   5    .text   ascii   \ns\eH
1171 0x0000f307 0x1000ff07 7   8    .text   ascii   pA\_^][
1172 0x0000f45c 0x1001005c 4   5    .text   ascii   u0L;
1173 0x0000f4b3 0x100100b3 4   5    .text   ascii   D$ A
1174 0x0000f4c7 0x100100c7 5   6    .text   ascii   tWSWH
1175 0x0000f640 0x10010240 5   6    .text   ascii   @SVWH
1176 0x0000f65d 0x1001025d 7   8    .text   ascii   H9X0ud;
1177 0x0000f682 0x10010282 5   6    .text   ascii   D$hH;
1178 0x0000f694 0x10010294 4   5    .text   ascii   D$ \b
1179 0x0000f6ce 0x100102ce 4   5    .text   ascii   @_^[
1180 0x0000f748 0x10010348 4   5    .text   ascii   @SWH
1181 0x0000f7ac 0x100103ac 4   5    .text   ascii   @SWH
1182 0x0000f7e0 0x100103e0 14  15   .text   ascii   @SUVWATAUAVAWH
1183 0x0000f82d 0x1001042d 6   7    .text   ascii   'D+a8I
1184 0x0000f88b 0x1001048b 4   5    .text   ascii   w(D+
1185 0x0000f8e3 0x100104e3 4   5    .text   ascii   wHE3
1186 0x0000f994 0x10010594 13  14   .text   ascii   8A_A^A]A\_^][
1187 0x0000f9a4 0x100105a4 4   5    .text   ascii   @SWH
1188 0x0000f9b6 0x100105b6 7   8    .text   ascii   A8H9A@t
1189 0x0000f9c0 0x100105c0 6   7    .text   ascii   I0+C@A
1190 0x0000f9e8 0x100105e8 7   8    .text   ascii   H9Q8tcH
1191 0x0000fa03 0x10010603 8   9    .text   ascii   \aH9A8t$H
1192 0x0000fa10 0x10010610 4   5    .text   ascii   C8E3
1193 0x0000fa18 0x10010618 4   5    .text   ascii   D+\aA
1194 0x0000fa47 0x10010647 4   5    .text   ascii   D$ A
1195 0x0000fa60 0x10010660 10  11   .text   ascii   @SUVWATAUH
1196 0x0000faaa 0x100106aa 4   5    .text   ascii   IHL;
1197 0x0000fb86 0x10010786 5   6    .text   ascii   +G8A;
1198 0x0000fb8c 0x1001078c 5   7    .text   utf8    s\v3ҍJ blocks=Basic Latin,Cyrillic
1199 0x0000fb9c 0x1001079c 9   10   .text   ascii   8A]A\_^][
1200 0x0000fbb1 0x100107b1 9   10   .text   ascii   SUVWATAUH
1201 0x0000fbf3 0x100107f3 5   6    .text   ascii   D+a8H
1202 0x0000fbf9 0x100107f9 4   5    .text   ascii   I8E;
1203 0x0000fc57 0x10010857 5   8    .text   utf8    O03ҋƋ blocks=Basic Latin,Cyrillic,Latin Extended-B
1204 0x0000fca3 0x100108a3 6   7    .text   ascii   _8;w(r
1205 0x0000fcb2 0x100108b2 7   8    .text   ascii   O8H;OHt
1206 0x0000fd00 0x10010900 9   10   .text   ascii   8A]A\_^][
1207 0x0000fd0c 0x1001090c 5   6    .text   ascii   @SUWH
1208 0x0000fd43 0x10010943 5   6    .text   ascii   H;A@v
1209 0x0000fd7a 0x1001097a 5   6    .text   ascii   H;A@v
1210 0x0000fdbd 0x100109bd 7   8    .text   ascii   H;C@v\bH
1211 0x0000fdef 0x100109ef 7   8    .text   ascii   H;C@v\bH
1212 0x0000fe26 0x10010a26 9   10   .text   ascii   A\bH;C@v\bH
1213 0x0000fe3f 0x10010a3f 4   5    .text   ascii   C8\bH
1214 0x0000fe45 0x10010a45 4   5    .text   ascii    _][
1215 0x0000fe72 0x10010a72 5   6    .text   ascii   H;A@v
1216 0x0000fe79 0x10010a79 5   6    .text   ascii   Q8+Q@
1217 0x0000fe98 0x10010a98 4   5    .text   ascii   C8t\b
1218 0x0000febd 0x10010abd 5   6    .text   ascii   H;C@v
1219 0x0000ff04 0x10010b04 6   7    .text   ascii   \bH;C@v
1220 0x0000ff3c 0x10010b3c 7   8    .text   ascii   @SVWATH
1221 0x0000ffa2 0x10010ba2 4   5    .text   ascii   D$xH
1222 0x0001000d 0x10010c0d 4   5    .text   ascii   D$xH
1223 0x0001005d 0x10010c5d 4   5    .text   ascii   T$xH
1224 0x00010087 0x10010c87 6   7    .text   ascii   HA\_^[
1225 0x000100fe 0x10010cfe 10  11   .text   ascii   L$\bSUVWATH
1226 0x00010187 0x10010d87 7   8    .text   ascii   0A\_^][
1227 0x000101b8 0x10010db8 4   5    .text   ascii   @SWH
1228 0x00010208 0x10010e08 4   5    .text   ascii   @SWH
1229 0x0001022c 0x10010e2c 4   5    .text   ascii   D$h3
1230 0x00010243 0x10010e43 4   5    .text   ascii   D$`H
1231 0x000102fa 0x10010efa 5   6    .text   ascii   L$8H3
1232 0x0001030c 0x10010f0c 14  15   .text   ascii   @SUVWATAUAVAWH
1233 0x00010342 0x10010f42 4   5    .text   ascii   D8*A
1234 0x0001034e 0x10010f4e 4   5    .text   ascii   ;%uD
1235 0x0001035d 0x10010f5d 6   7    .text   ascii   <A|5<Z
1236 0x00010364 0x10010f64 5   6    .text   ascii   1<9~\b
1237 0x0001037e 0x10010f7e 4   5    .text   ascii   }.Hc
1238 0x000103b1 0x10010fb1 4   5    .text   ascii   D8+u
1239 0x000103f6 0x10010ff6 6   7    .text   ascii   <A|t<Z
1240 0x000103fd 0x10010ffd 5   6    .text   ascii   p<9~\b
1241 0x0001045a 0x1001105a 5   6    .text   ascii   PuAA+
1242 0x000104eb 0x100110eb 15  17   .text   utf8    (A_A^A]A\_^][ùW blocks=Basic Latin,Latin-1 Supplement
1243 0x00010504 0x10011104 8   9    .text   ascii   @SUVWATH
1244 0x00010583 0x10011183 4   5    .text   ascii   \$ H
1245 0x000105d3 0x100111d3 7   8    .text   ascii   0A\_^][
1246 0x00010607 0x10011207 4   5    .text   ascii   D$@A
1247 0x00010624 0x10011224 6   7    .text   ascii   @SUVWH
1248 0x0001064c 0x1001124c 4   5    .text   ascii   I\bu"
1249 0x00010779 0x10011379 4   5    .text   ascii   \f(L+
1250 0x0001079b 0x1001139b 5   6    .text   ascii   (_^][
1251 0x000107a4 0x100113a4 7   8    .text   ascii   @SUVATH
1252 0x000107fd 0x100113fd 6   7    .text   ascii   (A\^][
1253 0x000108a0 0x100114a0 4   5    .text   ascii   @SWH
1254 0x00010966 0x10011566 4   5    .text   ascii   \$@H
1255 0x0001096b 0x1001156b 4   5    .text   ascii   t$HH
1256 0x00010970 0x10011570 4   5    .text   ascii   |$PL
1257 0x00010975 0x10011575 4   5    .text   ascii   d$XL
1258 0x0001097a 0x1001157a 4   5    .text   ascii   l$0L
1259 0x0001097f 0x1001157f 4   5    .text   ascii   t$(H
1260 0x000109bf 0x100115bf 4   5    .text   ascii   \brzI
1261 0x000109f5 0x100115f5 5   6    .text   ascii   T$ I;
1262 0x00010a48 0x10011648 4   5    .text   ascii   \$@H
1263 0x00010a4d 0x1001164d 4   5    .text   ascii   t$HH
1264 0x00010a52 0x10011652 4   5    .text   ascii   |$PL
1265 0x00010a57 0x10011657 4   5    .text   ascii   d$XL
1266 0x00010a5c 0x1001165c 4   5    .text   ascii   l$0L
1267 0x00010a61 0x10011661 4   5    .text   ascii   t$(H
1268 0x00010ab3 0x100116b3 4   5    .text   ascii   t7SH
1269 0x00010af9 0x100116f9 4   5    .text   ascii   \$PH
1270 0x00010afe 0x100116fe 4   5    .text   ascii   |$XI
1271 0x00010b41 0x10011741 4   5    .text   ascii   |$XH
1272 0x00010b46 0x10011746 4   5    .text   ascii   \$PH
1273 0x00010ba4 0x100117a4 4   5    .text   ascii   |$XH
1274 0x00010ba9 0x100117a9 4   5    .text   ascii   \$PH
1275 0x00010bbe 0x100117be 4   5    .text   ascii   |$XH
1276 0x00010bc3 0x100117c3 4   5    .text   ascii   \$PH
1277 0x00010bda 0x100117da 4   5    .text   ascii   \$8H
1278 0x00010be8 0x100117e8 4   5    .text   ascii   t$@H
1279 0x00010bf9 0x100117f9 6   7    .text   ascii   |$Hfff
1280 0x00010c6d 0x1001186d 4   5    .text   ascii   t$@H
1281 0x00010c75 0x10011875 4   5    .text   ascii   |$HH
1282 0x00010c7a 0x1001187a 4   5    .text   ascii   \$8H
1283 0x00010ca9 0x100118a9 4   5    .text   ascii   \$0H
1284 0x00010cae 0x100118ae 4   5    .text   ascii   |$HH
1285 0x00010cbe 0x100118be 4   5    .text   ascii   |$HH
1286 0x00010cc3 0x100118c3 4   5    .text   ascii   \$0H
1287 0x00010cdd 0x100118dd 4   5    .text   ascii   |$HH
1288 0x00010ce2 0x100118e2 4   5    .text   ascii   \$0H
1289 0x00010cf0 0x100118f0 4   5    .text   ascii   l$8H
1290 0x00010cf5 0x100118f5 5   6    .text   ascii   t$@wD
1291 0x00010d55 0x10011955 4   5    .text   ascii   l$8H
1292 0x00010d5a 0x1001195a 4   5    .text   ascii   t$@H
1293 0x00010d5f 0x1001195f 4   5    .text   ascii   |$HH
1294 0x00010d64 0x10011964 4   5    .text   ascii   \$0H
1295 0x00010e1d 0x10011a1d 4   5    .text   ascii   \$@H
1296 0x00010e37 0x10011a37 6   7    .text   ascii   \$@t\bH
1297 0x00010e49 0x10011a49 4   5    .text   ascii   |$HH
1298 0x00010e99 0x10011a99 4   5    .text   ascii   \$hI
1299 0x00010eef 0x10011aef 4   5    .text   ascii   \$hH
1300 0x00010f11 0x10011b11 4   5    .text   ascii   d$(D
1301 0x00010f75 0x10011b75 4   5    .text   ascii   |$0H
1302 0x00010f7a 0x10011b7a 4   5    .text   ascii   t$8H
1303 0x00010fe3 0x10011be3 4   5    .text   ascii   \$hH
1304 0x00010ffe 0x10011bfe 4   5    .text   ascii   \$hH
1305 0x0001104b 0x10011c4b 4   5    .text   ascii   \$hH
1306 0x000110ac 0x10011cac 4   5    .text   ascii   \$hH
1307 0x000110c0 0x10011cc0 4   5    .text   ascii   \$hH
1308 0x000110db 0x10011cdb 4   5    .text   ascii   \$hH
1309 0x000110f6 0x10011cf6 4   5    .text   ascii   \$@H
1310 0x000110fb 0x10011cfb 4   5    .text   ascii   t$HH
1311 0x00011100 0x10011d00 4   5    .text   ascii   |$PL
1312 0x00011105 0x10011d05 4   5    .text   ascii   d$XI
1313 0x00011140 0x10011d40 4   6    .text   utf8    щD$  blocks=Cyrillic,Basic Latin
1314 0x00011170 0x10011d70 4   6    .text   utf8    ؉D$  blocks=Arabic,Basic Latin
1315 0x000111c7 0x10011dc7 7   9    .text   utf8    u\b3ۉ\$  blocks=Basic Latin,Arabic
1316 0x000111ea 0x10011dea 5   8    .text   utf8    Ћ؉D$  blocks=Cyrillic,Arabic,Basic Latin
1317 0x000111f9 0x10011df9 4   5    .text   ascii   \$@H
1318 0x000111fe 0x10011dfe 4   5    .text   ascii   t$HH
1319 0x00011203 0x10011e03 4   5    .text   ascii   |$PL
1320 0x00011208 0x10011e08 4   5    .text   ascii   d$XH
1321 0x00011239 0x10011e39 4   5    .text   ascii   \$8H
1322 0x0001123e 0x10011e3e 4   5    .text   ascii   t$@H
1323 0x0001125f 0x10011e5f 4   5    .text   ascii   |$HH
1324 0x00011264 0x10011e64 4   5    .text   ascii   t$@H
1325 0x00011269 0x10011e69 4   5    .text   ascii   \$8H
1326 0x00011286 0x10011e86 4   5    .text   ascii   l$hH
1327 0x0001128b 0x10011e8b 8   9    .text   ascii   |$xIcx\fL
1328 0x00011294 0x10011e94 4   5    .text   ascii   d$PL
1329 0x00011299 0x10011e99 4   5    .text   ascii   l$HL
1330 0x0001129e 0x10011e9e 4   5    .text   ascii   t$@L
1331 0x000112a3 0x10011ea3 4   5    .text   ascii   |$8L
1332 0x000112cd 0x10011ecd 4   5    .text   ascii   t$pH
1333 0x000112d6 0x10011ed6 4   5    .text   ascii   \$`H
1334 0x000112fe 0x10011efe 5   6    .text   ascii   ~J;k\b
1335 0x0001130b 0x10011f0b 5   6    .text   ascii   T$ E3
1336 0x00011320 0x10011f20 4   5    .text   ascii   T$ D
1337 0x0001132f 0x10011f2f 4   5    .text   ascii   J\fHc
1338 0x0001136b 0x10011f6b 4   5    .text   ascii   \$`H
1339 0x00011370 0x10011f70 4   5    .text   ascii   t$pI
1340 0x00011378 0x10011f78 4   5    .text   ascii   |$8L
1341 0x0001137d 0x10011f7d 4   5    .text   ascii   t$@L
1342 0x00011382 0x10011f82 4   5    .text   ascii   l$HL
1343 0x00011387 0x10011f87 4   5    .text   ascii   d$PH
1344 0x0001138c 0x10011f8c 4   5    .text   ascii   |$xH
1345 0x00011391 0x10011f91 4   5    .text   ascii   l$hH
1346 0x00011435 0x10012035 7   8    .text   ascii   x Icx\fL
1347 0x0001145f 0x1001205f 4   5    .text   ascii   L$ D
1348 0x0001148f 0x1001208f 6   7    .text   ascii   ~KD;c\b
1349 0x0001149d 0x1001209d 5   6    .text   ascii   T$(E3
1350 0x000114b2 0x100120b2 4   5    .text   ascii   T$(D
1351 0x000114c1 0x100120c1 4   5    .text   ascii   J\fHc
1352 0x000114f9 0x100120f9 4   5    .text   ascii   L$ I
1353 0x00011507 0x10012107 5   6    .text   ascii   Hc]\fL
1354 0x00011540 0x10012140 7   8    .text   ascii   ;t:\b~=H
1355 0x00011557 0x10012157 4   5    .text   ascii   L$ L
1356 0x00011567 0x10012167 4   5    .text   ascii   l$8H
1357 0x0001156c 0x1001216c 4   5    .text   ascii   |$hH
1358 0x00011571 0x10012171 4   5    .text   ascii   t$`H
1359 0x00011576 0x10012176 4   5    .text   ascii   l$XH
1360 0x0001157b 0x1001217b 4   5    .text   ascii   \$PH
1361 0x00011596 0x10012196 4   5    .text   ascii   \$hH
1362 0x0001159b 0x1001219b 4   5    .text   ascii   t$pH
1363 0x000115a0 0x100121a0 4   5    .text   ascii   |$xI
1364 0x000115df 0x100121df 4   5    .text   ascii   T$@L
1365 0x000115f0 0x100121f0 5   7    .text   utf8    ΉD$8H blocks=Greek and Coptic,Basic Latin
1366 0x000115fb 0x100121fb 4   5    .text   ascii   D$(L
1367 0x00011600 0x10012200 4   5    .text   ascii   D$ L
1368 0x0001160d 0x1001220d 4   5    .text   ascii   |$xH
1369 0x00011612 0x10012212 4   5    .text   ascii   t$pH
1370 0x00011617 0x10012217 4   5    .text   ascii   \$hH
1371 0x00011626 0x10012226 4   5    .text   ascii   \$`H
1372 0x0001162b 0x1001222b 4   5    .text   ascii   l$XH
1373 0x00011630 0x10012230 4   5    .text   ascii   t$PH
1374 0x00011635 0x10012235 4   5    .text   ascii   |$HI
1375 0x00011683 0x10012283 4   5    .text   ascii   \$(H
1376 0x00011688 0x10012288 4   5    .text   ascii   L$ H
1377 0x000116a8 0x100122a8 4   5    .text   ascii   |$HH
1378 0x000116ad 0x100122ad 4   5    .text   ascii   t$PH
1379 0x000116b2 0x100122b2 4   5    .text   ascii   l$XH
1380 0x000116d2 0x100122d2 4   5    .text   ascii   L$ L
1381 0x000116e1 0x100122e1 5   6    .text   ascii   L$\bSH
1382 0x000116f6 0x100122f6 4   5    .text   ascii   L$HL
1383 0x0001171f 0x1001231f 4   5    .text   ascii   D$@H
1384 0x0001173f 0x1001233f 4   5    .text   ascii   D$0H
1385 0x0001174b 0x1001234b 4   5    .text   ascii   D$(H
1386 0x00011757 0x10012357 4   5    .text   ascii   D$ L
1387 0x00011786 0x10012386 4   5    .text   ascii   \$PH
1388 0x0001178b 0x1001238b 4   5    .text   ascii   l$HH
1389 0x00011790 0x10012390 8   9    .text   ascii   t$@Hcr\fH
1390 0x00011799 0x10012399 4   5    .text   ascii   |$8L
1391 0x0001179e 0x1001239e 4   5    .text   ascii   d$0L
1392 0x000117a6 0x100123a6 4   5    .text   ascii   l$(L
1393 0x000117ef 0x100123ef 6   7    .text   ascii   t)IcL$
1394 0x0001181f 0x1001241f 4   5    .text   ascii   \$Pt
1395 0x0001182c 0x1001242c 4   5    .text   ascii   IcD$
1396 0x00011837 0x10012437 4   6    .text   utf8    }\b3҅ blocks=Basic Latin,Cyrillic
1397 0x0001183d 0x1001243d 4   5    .text   ascii   toE3
1398 0x00011850 0x10012450 4   5    .text   ascii   IcL$
1399 0x00011869 0x10012469 4   5    .text   ascii   G\b9A
1400 0x0001189f 0x1001249f 4   5    .text   ascii   IcD$
1401 0x000118c0 0x100124c0 4   5    .text   ascii   l$(L
1402 0x000118c5 0x100124c5 4   5    .text   ascii   d$0H
1403 0x000118ca 0x100124ca 4   5    .text   ascii   |$8H
1404 0x000118cf 0x100124cf 4   5    .text   ascii   t$@H
1405 0x000118d4 0x100124d4 4   5    .text   ascii   l$HH
1406 0x00011986 0x10012586 4   5    .text   ascii   |$HH
1407 0x000119c5 0x100125c5 4   5    .text   ascii   |$HH
1408 0x000119ca 0x100125ca 4   5    .text   ascii   \$@H
1409 0x000119e1 0x100125e1 4   5    .text   ascii   |$HH
1410 0x000119e6 0x100125e6 4   5    .text   ascii   \$@H
1411 0x00011a2c 0x1001262c 4   5    .text   ascii   L$0A
1412 0x00011a53 0x10012653 5   6    .text   ascii   D$`Hc
1413 0x00011a60 0x10012660 4   5    .text   ascii   D$hH
1414 0x00011a81 0x10012681 4   5    .text   ascii   D$0H
1415 0x00011a95 0x10012695 4   5    .text   ascii   D$(H
1416 0x00011aa5 0x100126a5 4   5    .text   ascii   \$PH
1417 0x00011aaa 0x100126aa 4   5    .text   ascii   \$XH
1418 0x00011aaf 0x100126af 4   5    .text   ascii   |$pH
1419 0x00011ab4 0x100126b4 4   5    .text   ascii   D$ H
1420 0x00011b99 0x10012799 4   5    .text   ascii   \$@H
1421 0x00011b9e 0x1001279e 4   5    .text   ascii   |$HH
1422 0x00011bc5 0x100127c5 4   5    .text   ascii   |$HH
1423 0x00011bca 0x100127ca 4   5    .text   ascii   \$@H
1424 0x00011d50 0x10012950 4   5    .text   ascii   |$HH
