[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
79   0x00003dd2 0x004049d2 4   5    .text   ascii   j\nhx
80   0x00003e34 0x00404a34 4   5    .text   ascii   j\nhx
81   0x00003f79 0x00404b79 4   5    .text   ascii   j\vj0
82   0x00003fbc 0x00404bbc 4   6    .text   utf8    ʀ9.t blocks=IPA Extensions,Basic Latin
83   0x000040ec 0x00404cec 4   5    .text   ascii   w4RQ
84   0x000041a1 0x00404da1 4   5    .text   ascii   SVWP
85   0x00004208 0x00404e08 4   5    .text   ascii   jNh\b
86   0x00004243 0x00404e43 4   5    .text   ascii   j1hX
87   0x000042bc 0x00404ebc 4   5    .text   ascii   j=hh
88   0x0000436d 0x00404f6d 4   5    .text   ascii   jGh8
89   0x00004497 0x00405097 4   5    .text   ascii   j[h@
90   0x00004589 0x00405189 4   5    .text   ascii   jDh8
91   0x00004602 0x00405202 4   5    .text   ascii   jah(
92   0x0000467b 0x0040527b 4   5    .text   ascii   jHh 
93   0x000046b6 0x004052b6 4   5    .text   ascii   jWhp
94   0x0000472c 0x0040532c 4   5    .text   ascii   jRhH
95   0x00004853 0x00405453 4   5    .text   ascii   jFhH
96   0x00004904 0x00405504 4   5    .text   ascii   jNh8
97   0x000049b5 0x004055b5 4   5    .text   ascii   jRh0
98   0x00004aa4 0x004056a4 4   5    .text   ascii   j{hX
99   0x00004b73 0x00405773 4   5    .text   ascii   jah\b
100  0x00004c0f 0x0040580f 4   5    .text   ascii   jehX
101  0x00004c85 0x00405885 4   5    .text   ascii   jZh\b
102  0x00004cc0 0x004058c0 4   5    .text   ascii   j>hd
103  0x00004dea 0x004059ea 4   5    .text   ascii   j9h0
104  0x00004e25 0x00405a25 4   5    .text   ascii   jFhp
105  0x00004ed3 0x00405ad3 4   5    .text   ascii   j9hL
106  0x00004fe4 0x00405be4 4   5    .text   ascii   hP\@
107  0x0000503b 0x00405c3b 4   5    .text   ascii   Y_^[
108  0x000050c1 0x00405cc1 4   5    .text   ascii   SVWP
109  0x000053dd 0x00405fdd 4   5    .text   ascii   ?QWj
110  0x00005416 0x00406016 5   8    .text   utf8    CϋUT+ blocks=Basic Latin,Greek and Coptic
111  0x000056df 0x004062df 4   5    .text   ascii   PRQQ
112  0x00005de4 0x004069e4 4   5    .text   ascii   PVQQ
113  0x00005e6f 0x00406a6f 4   5    .text   ascii   0Nu\a
114  0x0000611d 0x00406d1d 4   5    .text   ascii   wBRQ
115  0x0000617d 0x00406d7d 4   5    .text   ascii   Y_^[
116  0x000061c9 0x00406dc9 4   5    .text   ascii   PVh0
117  0x000061f6 0x00406df6 4   5    .text   ascii   hh\eA
118  0x00006245 0x00406e45 4   5    .text   ascii   PVh`
119  0x00006272 0x00406e72 4   5    .text   ascii   hh\eA
120  0x000062e0 0x00406ee0 4   5    .text   ascii   hh\eA
121  0x0000633b 0x00406f3b 4   5    .text   ascii   hh\eA
122  0x00006363 0x00406f63 4   5    .text   ascii   \bSVW
123  0x0000640d 0x0040700d 4   5    .text   ascii   Y\bVf
124  0x00006430 0x00407030 4   5    .text   ascii   Y_^[
125  0x000064f0 0x004070f0 4   6    .text   utf8    3\v~L
126  0x000064fd 0x004070fd 4   5    .text   ascii   QPRW
127  0x000065d1 0x004071d1 4   5    .text   ascii   D$\bP
128  0x000065ff 0x004071ff 4   6    .text   utf8    OP+щ blocks=Basic Latin,Cyrillic
129  0x00006678 0x00407278 4   5    .text   ascii   \fSVW
130  0x00006682 0x00407282 5   6    .text   ascii   O<9\bu
131  0x000066fb 0x004072fb 5   6    .text   ascii   O<9\bu
132  0x00006705 0x00407305 5   7    .text   utf8    OP+щ\b blocks=Basic Latin,Cyrillic
133  0x000067fa 0x004073fa 4   6    .text   utf8    Ɖt$\f blocks=Latin Extended-B,Basic Latin
134  0x0000681d 0x0040741d 5   6    .text   ascii   U\b\e|$
135  0x00006886 0x00407486 4   5    .text   ascii   u\f^3
136  0x0000690a 0x0040750a 5   7    .text   utf8    KP+щ\b blocks=Basic Latin,Cyrillic
137  0x0000693c 0x0040753c 4   6    .text   utf8    ЋM\b+ blocks=Cyrillic,Basic Latin
138  0x00006961 0x00407561 4   5    .text   ascii   sLWj
139  0x000069be 0x004075be 4   5    .text   ascii   SVWP
140  0x00006a15 0x00407615 4   6    .text   utf8    KP+щ blocks=Basic Latin,Cyrillic
141  0x00006ab9 0x004076b9 4   6    .text   utf8    E\vK8
142  0x00006ac2 0x004076c2 4   6    .text   utf8    Cu؍U blocks=Basic Latin,Arabic
143  0x00006af7 0x004076f7 4   6    .text   utf8    9E\rE
144  0x00006b3d 0x0040773d 4   6    .text   utf8    E̍{@ blocks=Basic Latin,Combining Diacritical Marks
145  0x00006b86 0x00407786 4   6    .text   utf8    CE؋M blocks=Basic Latin,Arabic
146  0x00006bec 0x004077ec 4   5    .text   ascii   Y_^[
147  0x00006c54 0x00407854 6   7    .text   ascii   F\f9\bs'
148  0x00006caa 0x004078aa 7   8    .text   ascii   N<9\nt2W
149  0x00006d5f 0x0040795f 5   6    .text   ascii   F<9\au
150  0x00006d69 0x00407969 4   6    .text   utf8    NP+щ blocks=Basic Latin,Cyrillic
151  0x00006df1 0x004079f1 4   5    .text   ascii   vLWj
152  0x00006e4e 0x00407a4e 4   6    .text   utf8    YËAL blocks=Basic Latin,Latin-1 Supplement
153  0x00006e96 0x00407a96 5   6    .text   ascii   F<9\au
154  0x00006ea0 0x00407aa0 4   6    .text   utf8    NP+щ blocks=Basic Latin,Cyrillic
155  0x00006ef3 0x00407af3 4   5    .text   ascii   \bSVW
156  0x00006faf 0x00407baf 4   5    .text   ascii   Qj!S
157  0x00006ff6 0x00407bf6 4   5    .text   ascii   Y_^[
158  0x0000701e 0x00407c1e 5   6    .text   ascii   ~\bOu\t
159  0x000070ef 0x00407cef 5   6    .text   ascii   8X\ru/
160  0x000071b1 0x00407db1 4   5    .text   ascii   Y_^[
161  0x0000732a 0x00407f2a 4   6    .text   utf8    N\b+ȁ blocks=Basic Latin,Latin Extended-B
162  0x0000740d 0x0040800d 5   6    .text   ascii   F<9\au
163  0x00007417 0x00408017 4   6    .text   utf8    NP+щ blocks=Basic Latin,Cyrillic
164  0x00007440 0x00408040 5   6    .text   ascii   t\vjXV
165  0x00007520 0x00408120 4   5    .text   ascii   vLWj
166  0x00007580 0x00408180 4   6    .text   utf8    vL3ɋ blocks=Basic Latin,Latin Extended-B
167  0x0000760f 0x0040820f 4   6    .text   utf8    N\b+ȁ blocks=Basic Latin,Latin Extended-B
168  0x00007647 0x00408247 4   5    .text   ascii   F\b^[
169  0x00007665 0x00408265 5   6    .text   ascii   E\fSVW
170  0x00007735 0x00408335 4   6    .text   utf8    3ۋE\f blocks=Basic Latin,Arabic
171  0x000079f5 0x004085f5 5   6    .text   ascii   E\bSVW
172  0x00007a14 0x00408614 5   7    .text   utf8    +ƉM\b; blocks=Basic Latin,Latin Extended-B
173  0x00007abe 0x004086be 4   6    .text   utf8    Ë}\b+ blocks=Latin-1 Supplement,Basic Latin
174  0x00007b2e 0x0040872e 4   7    .text   utf8    u\vƋM blocks=Basic Latin,Latin Extended-B
175  0x00007b3c 0x0040873c 4   5    .text   ascii   Y_^[
176  0x00007b63 0x00408763 4   5    .text   ascii   \fSVW
177  0x00007ba5 0x004087a5 5   6    .text   ascii   ;x\fs\f
178  0x00007bc4 0x004087c4 5   6    .text   ascii   ;x\fs\n
179  0x00007c25 0x00408825 4   5    .text   ascii   Y_^[
180  0x00007d1e 0x0040891e 4   6    .text   utf8    \fƋE\f blocks=Basic Latin,Latin Extended-B
181  0x00007d5b 0x0040895b 5   6    .text   ascii   E\bQV;
182  0x00007dc2 0x004089c2 4   6    .text   utf8    #+ڍC blocks=Basic Latin,Arabic
183  0x00007def 0x004089ef 4   5    .text   ascii   \f7_^
184  0x00007fbf 0x00408bbf 5   8    .text   utf8    E؍\fΉO blocks=Basic Latin,Arabic,Greek and Coptic
185  0x00007fd7 0x00408bd7 4   5    .text   ascii   Y_^[
186  0x0000805f 0x00408c5f 4   5    .text   ascii   _j@P
187  0x0000806a 0x00408c6a 4   5    .text   ascii   \b^[]
188  0x0000829e 0x00408e9e 4   5    .text   ascii   ;_^[
189  0x00008509 0x00409109 7   8    .text   ascii   B\b;Q\bu\r
190  0x000085e6 0x004091e6 5   6    .text   ascii   ;H\bu\v
191  0x00008628 0x00409228 4   7    .text   utf8    ыȋA\b blocks=Cyrillic,Latin Extended-B,Basic Latin
192  0x00008652 0x00409252 4   5    .text   ascii   ;P\bu
193  0x000087c5 0x004093c5 5   6    .text   ascii   t\vj@P
194  0x000087e5 0x004093e5 5   6    .text   ascii   t\vj,P
195  0x000088f8 0x004094f8 4   5    .text   ascii   E\fVP
196  0x00008954 0x00409554 4   6    .text   utf8    N\b+ȁ blocks=Basic Latin,Latin Extended-B
197  0x0000898d 0x0040958d 4   5    .text   ascii   F\b^[
198  0x000089cd 0x004095cd 5   6    .text   ascii   E\fVPS
199  0x000089d9 0x004095d9 4   5    .text   ascii   $_^[
200  0x000089f5 0x004095f5 4   5    .text   ascii   E\fVP
201  0x00008a76 0x00409676 4   5    .text   ascii   \bj,V
202  0x00008b58 0x00409758 4   5    .text   ascii   Y_^[
203  0x00008bd9 0x004097d9 4   5    .text   ascii   Y_^[
204  0x00008c4c 0x0040984c 4   5    .text   ascii   Y_^[
205  0x00008cd2 0x004098d2 4   5    .text   ascii   Y_^[
206  0x00008e93 0x00409a93 5   6    .text   ascii   >@PWV
207  0x00008f14 0x00409b14 5   7    .text   utf8    ӋG\b9X blocks=Cyrillic,Basic Latin
208  0x00008f34 0x00409b34 4   5    .text   ascii   _^[]
209  0x00008f5f 0x00409b5f 4   5    .text   ascii   _^[]
210  0x00008fea 0x00409bea 4   5    .text   ascii   _^[]
211  0x00008ffa 0x00409bfa 4   5    .text   ascii   _^[]
212  0x00009029 0x00409c29 5   6    .text   ascii   ;A\bu!
213  0x00009046 0x00409c46 4   7    .text   utf8    ʋЀx\r blocks=IPA Extensions,Cyrillic,Basic Latin
214  0x00009061 0x00409c61 4   5    .text   ascii   8N\ru
215  0x000090a0 0x00409ca0 4   5    .text   ascii   _^[]
216  0x000090b3 0x00409cb3 4   5    .text   ascii   _^[]
217  0x000090d0 0x00409cd0 4   5    .text   ascii   _^[]
218  0x00009141 0x00409d41 5   6    .text   ascii   P;;u)
219  0x000091a9 0x00409da9 4   7    .text   utf8    ȋЀ~\r blocks=Latin Extended-B,Cyrillic,Basic Latin
220  0x00009248 0x00409e48 5   6    .text   ascii   ;F\bu!
221  0x000093b3 0x00409fb3 4   5    .text   ascii    SVW
222  0x000093ea 0x00409fea 4   9    .text   utf16le jjjj
223  0x0000945e 0x0040a05e 4   5    .text   ascii   Y_^[
224  0x0000948f 0x0040a08f 4   5    .text   ascii   Y_^[
225  0x0000950f 0x0040a10f 5   6    .text   ascii   CM\bPj
226  0x00009561 0x0040a161 5   7    .text   utf8    +ʍE\b; blocks=Basic Latin,IPA Extensions
227  0x0000958a 0x0040a18a 5   6    .text   ascii   ;F\bt 
228  0x000095fa 0x0040a1fa 4   6    .text   utf8    }̍M\b blocks=Basic Latin,Combining Diacritical Marks
229  0x00009610 0x0040a210 4   5    .text   ascii   CM\bW
230  0x00009673 0x0040a273 4   5    .text   ascii   ;F\bt
231  0x000096bf 0x0040a2bf 4   5    .text   ascii   wrRQ
232  0x000096ef 0x0040a2ef 4   5    .text   ascii   wBRQ
233  0x0000978e 0x0040a38e 4   5    .text   ascii   SVWP
234  0x00009819 0x0040a419 4   5    .text   ascii   CM\bV
235  0x000098c0 0x0040a4c0 4   5    .text   ascii   4\bRV
236  0x0000997b 0x0040a57b 5   6    .text   ascii   }\fF;u
237  0x000099a9 0x0040a5a9 4   6    .text   utf8    E\b+ރ blocks=Basic Latin,Thaana
238  0x00009ac2 0x0040a6c2 4   5    .text   ascii   wBRQ
239  0x00009b22 0x0040a722 4   5    .text   ascii   Y_^[
240  0x00009b53 0x0040a753 4   5    .text   ascii   SVWj
241  0x00009e03 0x0040aa03 4   5    .text   ascii   Qj"h
242  0x00009ef3 0x0040aaf3 7   15   .text   utf16le jjjjjjj
243  0x00009f75 0x0040ab75 4   6    .text   utf8    \bj@ǅ blocks=Basic Latin,Latin Extended-B
244  0x00009fde 0x0040abde 4   6    .text   utf8    \tj@ǅ blocks=Basic Latin,Latin Extended-B
245  0x0000a3de 0x0040afde 5   9    .text   utf8    rЋu싽\b blocks=Basic Latin,Cyrillic,Hangul Syllables
246  0x0000a50f 0x0040b10f 4   5    .text   ascii   w\RQ
247  0x0000a57c 0x0040b17c 4   6    .text   utf8    \b3\vM
248  0x0000a5b0 0x0040b1b0 4   5    .text   ascii   PSVW
249  0x0000a646 0x0040b246 4   5    .text   ascii   Y_^[
250  0x0000a7c0 0x0040b3c0 4   6    .text   utf8    u܋@8 blocks=Basic Latin,Syriac
251  0x0000a965 0x0040b565 4   5    .text   ascii   Y_^[
252  0x0000a975 0x0040b575 4   5    .text   ascii   u\bj\n
253  0x0000aadf 0x0040b6df 4   5    .text   ascii   Y_^[
254  0x0000ab22 0x0040b722 4   6    .text   utf8    }\vU\b
255  0x0000abc1 0x0040b7c1 4   7    .text   utf8    BƋuă blocks=Basic Latin,Latin Extended-B,Latin Extended-A
256  0x0000abec 0x0040b7ec 5   6    .text   ascii   ;G\bt 
257  0x0000ac95 0x0040b895 4   7    .text   utf8    ỦEЃ blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
258  0x0000acf3 0x0040b8f3 4   5    .text   ascii   ;G\bt
259  0x0000adce 0x0040b9ce 4   7    .text   utf8    Mԋuԃ blocks=Basic Latin,Cyrillic Supplement
260  0x0000aecb 0x0040bacb 5   8    .text   utf8    }̋UЉE blocks=Basic Latin,Combining Diacritical Marks,Cyrillic
261  0x0000b25a 0x0040be5a 5   7    .text   utf8    É;_^[ blocks=Latin-1 Supplement,Basic Latin
262  0x0000b271 0x0040be71 5   6    .text   ascii   ;\r\f@A
263  0x0000b2a1 0x0040bea1 4   6    .text   utf8    ]Ã}\b blocks=Basic Latin,Latin-1 Supplement
