[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
93   0x000023f0 0x00402ff0 7   8    .text   ascii   :BBBBQj
94   0x000024f7 0x004030f7 5   6    .text   ascii   .CCCC
95   0x0000257a 0x0040317a 4   5    .text   ascii   RPh/
96   0x000025b8 0x004031b8 4   5    .text   ascii   RPhd
97   0x000025c6 0x004031c6 4   5    .text   ascii   \fXZY
98   0x000025d8 0x004031d8 5   6    .text   ascii   [VSh]
99   0x00002614 0x00403214 4   5    .text   ascii   VSh.
100  0x00002631 0x00403231 5   6    .text   ascii   _QWh1
101  0x0000266f 0x0040326f 4   5    .text   ascii   QWh|
102  0x0000267d 0x0040327d 4   5    .text   ascii   \f_YX
103  0x000026db 0x004032db 4   5    .text   ascii   \f^[Z
104  0x000026ed 0x004032ed 4   5    .text   ascii   0QVh
105  0x0000270d 0x0040330d 4   5    .text   ascii   QVhd
106  0x0000273b 0x0040333b 4   5    .text   ascii   \f^Y_
107  0x00002782 0x00403382 6   7    .text   ascii   GGGGFH
108  0x000028e4 0x004034e4 5   7    .text   utf8    _X[Í\r blocks=Basic Latin,Latin-1 Supplement
109  0x00002965 0x00403565 4   5    .text   ascii   U[]!
110  0x000029c8 0x004035c8 4   5    .text   ascii   P]XG
111  0x000029e5 0x004035e5 4   5    .text   ascii   6]3+
112  0x00002a70 0x00403670 4   5    .text   ascii   SWhX
113  0x00002a9e 0x0040369e 6   8    .text   utf8    \f_[XÍ\r blocks=Basic Latin,Latin-1 Supplement
114  0x00002aee 0x004036ee 6   7    .text   ascii   FFFFPj
115  0x00002b63 0x00403763 5   6    .text   ascii   9RWh:
116  0x00002ba0 0x004037a0 4   5    .text   ascii   RWhh
117  0x00002bbe 0x004037be 4   5    .text   ascii   WRhB
118  0x00002c0a 0x0040380a 4   6    .text   utf8    Z_^ø blocks=Basic Latin,Latin-1 Supplement
119  0x00002c4e 0x0040384e 4   5    .text   ascii   WRh3
120  0x00002c6c 0x0040386c 4   5    .text   ascii   WRhX
121  0x00002c9a 0x0040389a 4   5    .text   ascii   \fZ_Y
122  0x00002cec 0x004038ec 4   5    .text   ascii   RVh$
123  0x00002d11 0x00403911 5   6    .text   ascii   2_38W
124  0x00002d19 0x00403919 4   5    .text   ascii   BBBB
125  0x00002d33 0x00403933 4   5    .text   ascii   RQh\t
126  0x00002d6e 0x0040396e 4   5    .text   ascii   RQhi
127  0x00002d7c 0x0040397c 4   5    .text   ascii   \fYZ_
128  0x00002dca 0x004039ca 4   5    .text   ascii   WUh/
129  0x00002dd8 0x004039d8 4   5    .text   ascii   \f]_[
130  0x00002dee 0x004039ee 4   5    .text   ascii   ;QWh
131  0x00002e0c 0x00403a0c 4   5    .text   ascii   QWh\n
132  0x00002e38 0x00403a38 4   6    .text   utf8    _YZý blocks=Basic Latin,Latin-1 Supplement
133  0x00002ed4 0x00403ad4 4   5    .text   ascii   P_XG
134  0x00002ef9 0x00403af9 4   5    .text   ascii   CCCC
135  0x00002f1c 0x00403b1c 5   6    .text   ascii   0^37V
136  0x00002f24 0x00403b24 6   7    .text   ascii   @@@@GI
137  0x00003016 0x00403c16 4   5    .text   ascii   VSh[
138  0x000030a5 0x00403ca5 4   5    .text   ascii   UPhW
139  0x000030d0 0x00403cd0 5   7    .text   utf8    \fX]^Í blocks=Basic Latin,Latin-1 Supplement
140  0x00003131 0x00403d31 4   5    .text   ascii   W^_!
141  0x000031be 0x00403dbe 5   6    .text   ascii   \bEEEE
142  0x00003244 0x00403e44 4   5    .text   ascii   S^[G
143  0x00003280 0x00403e80 4   5    .text   ascii   P^X!
144  0x000033bd 0x00403fbd 4   5    .text   ascii   PVh&
145  0x000033db 0x00403fdb 4   5    .text   ascii   PVh\n
146  0x0000340b 0x0040400b 5   7    .text   utf8    ^X_ù7 blocks=Basic Latin,Latin-1 Supplement
147  0x0000342b 0x0040402b 6   7    .text   ascii   GGGGQj
148  0x00003449 0x00404049 4   5    .text   ascii   ZVRh
149  0x00003495 0x00404095 4   5    .text   ascii   \fZ^[
150  0x000034f7 0x004040f7 4   5    .text   ascii   \fXZ_
151  0x00003532 0x00404132 4   5    .text   ascii   VZ^!
152  0x000035a1 0x004041a1 4   5    .text   ascii   UQh[
