[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
121  0x00001e14 0x00422a14 5   6    UPX1    ascii   \t)<Q"
122  0x00001e1e 0x00422a1e 5   6    UPX1    ascii   hXH/A
123  0x00001e2f 0x00422a2f 5   6    UPX1    ascii   jp$,x
124  0x00001e51 0x00422a51 4   5    UPX1    ascii   t#Ht
125  0x00001e7e 0x00422a7e 4   5    UPX1    ascii   \bYHS
126  0x00001e8b 0x00422a8b 5   6    UPX1    ascii   U\n):T
127  0x00001e99 0x00422a99 7   8    UPX1    ascii   $-TGcst
128  0x00001eec 0x00422aec 5   9    UPX1    utf8    ,股X)Ӏ blocks=Basic Latin,CJK Unified Ideographs,Cyrillic
129  0x00001ef8 0x00422af8 5   7    UPX1    utf8    ܿ\tPj\r blocks=Syriac,Basic Latin
130  0x00001f0a 0x00422b0a 4   5    UPX1    ascii   woSW
131  0x00001f16 0x00422b16 4   5    UPX1    ascii   !`Uj
132  0x00001f3e 0x00422b3e 11  12   UPX1    ascii   j\f[9j3 t\rs]
133  0x00001f67 0x00422b67 4   7    UPX1    utf8    kȑӃe blocks=Basic Latin,Latin Extended-B,Cyrillic
134  0x00001fe1 0x00422be1 4   5    UPX1    ascii   (npU
135  0x00001fe6 0x00422be6 6   7    UPX1    ascii   0bm\a8\b
136  0x0000200a 0x00422c0a 4   5    UPX1    ascii   nm0Z
137  0x00002013 0x00422c13 4   5    UPX1    ascii   v3]D
138  0x0000203a 0x00422c3a 5   6    UPX1    ascii   \vU<H\a
139  0x00002040 0x00422c40 5   7    UPX1    utf8    c֡J\vG blocks=Basic Latin,Hebrew
140  0x0000204d 0x00422c4d 4   5    UPX1    ascii   \f\bac
141  0x00002077 0x00422c77 6   7    UPX1    ascii   WWFP:_
142  0x00002081 0x00422c81 7   8    UPX1    ascii   =C(;\r\au
143  0x0000208e 0x00422c8e 7   10   UPX1    utf8    è|P̋T$\f blocks=Latin-1 Supplement,Basic Latin,Combining Diacritical Marks
144  0x000020a7 0x00422ca7 4   5    UPX1    ascii   %!6L
145  0x000020dc 0x00422cdc 5   7    UPX1    utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
146  0x00002102 0x00422d02 4   5    UPX1    ascii   un\n'
147  0x0000212c 0x00422d2c 6   7    UPX1    ascii   WSl\f5J
148  0x00002153 0x00422d53 6   9    UPX1    utf8    ʋЉVAJl blocks=IPA Extensions,Cyrillic,Basic Latin
149  0x0000216e 0x00422d6e 6   9    UPX1    utf8    ܅Bpu ݭ blocks=Syriac,Basic Latin,Arabic Supplement
150  0x000021d9 0x00422dd9 4   5    UPX1    ascii   _s|=
151  0x0000220e 0x00422e0e 4   6    UPX1    utf8    NR\aϕ blocks=Basic Latin,Greek and Coptic
152  0x00002261 0x00422e61 9   11   UPX1    utf8    [ɀ<FWh8:^ blocks=Basic Latin,Latin Extended-B
153  0x000022a9 0x00422ea9 4   5    UPX1    ascii   =ynn
