[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
380  0x00008970 0x00409370 4   5    .rdata  ascii   R)){
381  0x00008977 0x00409377 5   6    .rdata  ascii   >^//q
382  0x0000898f 0x0040938f 5   6    .rdata  ascii   ,@  `
383  0x000089ac 0x004093ac 4   5    .rdata  ascii   r99K
384  0x000089b1 0x004093b1 5   8    .rdata  utf8    JJޘLL blocks=Basic Latin,Thaana
385  0x000089d1 0x004093d1 5   7    .rdata  utf8    CCŚMM blocks=Basic Latin,Latin Extended-A
386  0x000089d8 0x004093d8 4   5    .rdata  ascii   f33U
387  0x000089f4 0x004093f4 5   6    .rdata  ascii   x<<D%
388  0x00008a18 0x00409418 4   5    .rdata  ascii   p88H
389  0x00008a2b 0x0040942b 6   7    .rdata  ascii   uB!!c 
390  0x00008a6c 0x0040946c 4   5    .rdata  ascii   z==G
391  0x00008a90 0x00409490 9   10   .rdata  ascii   D""fT**~;
392  0x00008ac3 0x004094c3 9   10   .rdata  ascii   ;d22Vt::N
393  0x00008ad7 0x004094d7 5   6    .rdata  ascii   \nH$$l
394  0x00008b07 0x00409507 5   6    .rdata  ascii   Cn77Y
395  0x00008b48 0x00409548 9   10   .rdata  ascii   J%%o\..r8
396  0x00008b84 0x00409584 5   6    .rdata  ascii   |>>Bq
397  0x00008ba4 0x004095a4 4   5    .rdata  ascii   j55_
398  0x00008bf8 0x004095f8 4   5    .rdata  ascii   P((x
399  0x00008c28 0x00409628 4   5    .rdata  ascii   Z--w
400  0x00008c60 0x00409660 4   5    .rdata  ascii   P`00
401  0x00008c6a 0x0040966a 6   7    .rdata  ascii   gg}V++
402  0x00008c96 0x00409696 6   8    .rdata  utf8    YYɎGG\v blocks=Basic Latin,Latin Extended-B
403  0x00008ccc 0x004096cc 12  13   .rdata  ascii   jL&&Zl66A~??
404  0x00008ce0 0x004096e0 4   5    .rdata  ascii   \h44
405  0x00008cf8 0x004096f8 6   7    .rdata  ascii   Sb11?*
406  0x00008d08 0x00409708 5   6    .rdata  ascii   eF##^
407  0x00008d22 0x00409722 4   5    .rdata  ascii   \a\a6$
408  0x00008d34 0x00409734 4   5    .rdata  ascii   iN''
409  0x00008d48 0x00409748 6   7    .rdata  ascii   tX,,.4
410  0x00008d50 0x00409750 4   5    .rdata  ascii   -6\e\e
411  0x00008d62 0x00409762 7   8    .rdata  ascii   RRMv;;a
412  0x00008d70 0x00409770 5   6    .rdata  ascii   {R))>
413  0x00008d78 0x00409778 4   5    .rdata  ascii   q^//
414  0x00008d90 0x00409790 4   5    .rdata  ascii   `@  
415  0x00008dac 0x004097ac 10  13   .rdata  utf8    Kr99ޔJJԘLL blocks=Basic Latin,Thaana,Cyrillic Supplement
416  0x00008dd0 0x004097d0 10  13   .rdata  utf8    ņCCךMMUf33 blocks=Latin Extended-A,Basic Latin,Hebrew
417  0x00008df2 0x004097f2 6   7    .rdata  ascii   PPDx<<
418  0x00008e18 0x00409818 4   5    .rdata  ascii   Hp88
419  0x00008e2c 0x0040982c 6   7    .rdata  ascii   cB!!0 
420  0x00008e46 0x00409846 4   5    .rdata  ascii   \f\f5&
421  0x00008e58 0x00409858 5   7    .rdata  utf8    ̈DD9. blocks=Combining Diacritical Marks,Basic Latin
422  0x00008e6a 0x0040986a 6   7    .rdata  ascii   ~~Gz==
423  0x00008e76 0x00409876 4   5    .rdata  ascii   ]]+2
424  0x00008e90 0x00409890 8   9    .rdata  ascii   fD""~T**
425  0x00008ea0 0x004098a0 4   6    .rdata  utf8    ʌFF) blocks=IPA Extensions,Basic Latin
426  0x00008ec4 0x004098c4 8   9    .rdata  ascii   Vd22Nt::
427  0x00008ece 0x004098ce 7   9    .rdata  utf8    \n\nےII\n\f blocks=Basic Latin,Arabic
428  0x00008ed8 0x004098d8 4   5    .rdata  ascii   lH$$
429  0x00008f08 0x00409908 4   5    .rdata  ascii   Yn77
430  0x00008f46 0x00409946 12  13   .rdata  ascii   xxoJ%%r\..$8
431  0x00008f6a 0x0040996a 4   5    .rdata  ascii   tt!>
432  0x00008f82 0x00409982 6   7    .rdata  ascii   ppB|>>
433  0x00008f8e 0x0040998e 5   7    .rdata  utf8    ffؐHH blocks=Basic Latin,Arabic
434  0x00008fa2 0x004099a2 6   7    .rdata  ascii   aa_j55
435  0x00008ff6 0x004099f6 7   8    .rdata  ascii   UUxP((z
436  0x0000901e 0x00409a1e 5   7    .rdata  utf8    hhÂAA blocks=Basic Latin,Latin-1 Supplement
437  0x00009028 0x00409a28 4   5    .rdata  ascii   wZ--
438  0x00009060 0x00409a60 4   5    .rdata  ascii   0P`0
439  0x0000906b 0x00409a6b 5   6    .rdata  ascii   g+}V+
440  0x00009097 0x00409a97 4   6    .rdata  utf8    YGɎG blocks=Basic Latin,Latin Extended-B
441  0x000090cc 0x00409acc 12  13   .rdata  ascii   &jL&6Zl6?A~?
442  0x000090e0 0x00409ae0 4   5    .rdata  ascii   4\h4
443  0x000090f8 0x00409af8 4   5    .rdata  ascii   1Sb1
444  0x00009108 0x00409b08 4   5    .rdata  ascii   #eF#
445  0x00009134 0x00409b34 4   5    .rdata  ascii   'iN'
446  0x00009148 0x00409b48 4   5    .rdata  ascii   ,tX,
447  0x00009150 0x00409b50 5   6    .rdata  ascii   \e-6\en
448  0x00009163 0x00409b63 5   6    .rdata  ascii   R;Mv;
449  0x00009170 0x00409b70 4   5    .rdata  ascii   ){R)
450  0x00009178 0x00409b78 4   5    .rdata  ascii   /q^/
451  0x00009190 0x00409b90 4   5    .rdata  ascii    `@ 
452  0x000091ac 0x00409bac 11  14   .rdata  utf8    9Kr9JޔJLԘLX blocks=Basic Latin,Thaana,Cyrillic Supplement
453  0x000091d0 0x00409bd0 10  13   .rdata  utf8    CņCMךM3Uf3 blocks=Basic Latin,Latin Extended-A,Hebrew
454  0x000091f3 0x00409bf3 5   6    .rdata  ascii   P<Dx<
455  0x00009218 0x00409c18 4   5    .rdata  ascii   8Hp8
456  0x0000922c 0x00409c2c 4   5    .rdata  ascii   !cB!
457  0x0000926b 0x00409c6b 6   7    .rdata  ascii   ~=Gz=d
458  0x00009290 0x00409c90 8   9    .rdata  ascii   "fD"*~T*
459  0x000092c4 0x00409cc4 9   10   .rdata  ascii   2Vd2:Nt:\n
460  0x000092cf 0x00409ccf 4   6    .rdata  utf8    \nIےI blocks=Basic Latin,Arabic
461  0x000092d8 0x00409cd8 5   6    .rdata  ascii   $lH$\
462  0x00009308 0x00409d08 5   6    .rdata  ascii   7Yn7m
463  0x00009347 0x00409d47 9   10   .rdata  ascii   x%oJ%.r\.
464  0x00009383 0x00409d83 5   6    .rdata  ascii   p>B|>
465  0x0000938f 0x00409d8f 4   6    .rdata  utf8    fHؐH blocks=Basic Latin,Arabic
466  0x000093a3 0x00409da3 6   7    .rdata  ascii   a5_j5W
467  0x000093f7 0x00409df7 5   6    .rdata  ascii   U(xP(
468  0x00009418 0x00409e18 4   6    .rdata  utf8    BƄBh blocks=Basic Latin,Latin Extended-B
469  0x0000941f 0x00409e1f 4   6    .rdata  utf8    hAÂA blocks=Basic Latin,Latin-1 Supplement
470  0x00009428 0x00409e28 4   5    .rdata  ascii   -wZ-
471  0x00009460 0x00409e60 4   5    .rdata  ascii   00P`
472  0x0000946c 0x00409e6c 4   5    .rdata  ascii   ++}V
473  0x000094cb 0x00409ecb 13  14   .rdata  ascii   =&&jL66Zl??A~
474  0x000094e0 0x00409ee0 4   5    .rdata  ascii   44\h
475  0x000094f8 0x00409ef8 4   5    .rdata  ascii   11Sb
476  0x00009508 0x00409f08 4   5    .rdata  ascii   ##eF
477  0x0000951f 0x00409f1f 4   5    .rdata  ascii   /\a\a\t
478  0x00009534 0x00409f34 4   5    .rdata  ascii   ''iN
479  0x00009548 0x00409f48 4   5    .rdata  ascii   ,,tX
480  0x0000954e 0x00409f4e 8   9    .rdata  ascii   .4\e\e-6nn
481  0x00009564 0x00409f64 4   5    .rdata  ascii   ;;Mv
482  0x0000956f 0x00409f6f 5   6    .rdata  ascii   })){R
483  0x00009578 0x00409f78 4   5    .rdata  ascii   //q^
484  0x00009590 0x00409f90 4   5    .rdata  ascii     `@
485  0x000095ab 0x00409fab 13  16   .rdata  utf8    g99KrJJޔLLԘXX blocks=Basic Latin,Thaana,Cyrillic Supplement
486  0x000095d0 0x00409fd0 10  13   .rdata  utf8    CCņMMך33Uf blocks=Basic Latin,Latin Extended-A,Hebrew
487  0x000095f4 0x00409ff4 4   5    .rdata  ascii   <<Dx
488  0x00009617 0x0040a017 5   6    .rdata  ascii   !88Hp
489  0x0000962c 0x0040a02c 4   5    .rdata  ascii   !!cB
490  0x00009657 0x0040a057 4   6    .rdata  utf8    5DD̈ blocks=Basic Latin,Combining Diacritical Marks
491  0x0000966c 0x0040a06c 6   7    .rdata  ascii   ==Gzdd
492  0x0000967a 0x0040a07a 4   5    .rdata  ascii   +2ss
493  0x00009690 0x0040a090 8   9    .rdata  ascii   ""fD**~T
494  0x0000969f 0x0040a09f 4   6    .rdata  utf8    \vFFʌ blocks=Basic Latin,IPA Extensions
495  0x000096c4 0x0040a0c4 10  11   .rdata  ascii   22Vd::Nt\n\n
496  0x000096d6 0x0040a0d6 8   9    .rdata  ascii   \n\f$$lH\\
497  0x00009708 0x0040a108 6   7    .rdata  ascii   77Ynmm
498  0x00009748 0x0040a148 8   9    .rdata  ascii   %%oJ..r\
499  0x0000976e 0x0040a16e 5   7    .rdata  utf8    !>KKݖ blocks=Basic Latin,Arabic Supplement
500  0x00009784 0x0040a184 4   5    .rdata  ascii   >>B|
501  0x000097a4 0x0040a1a4 6   7    .rdata  ascii   55_jWW
502  0x000097ce 0x0040a1ce 4   5    .rdata  ascii   3"ii
503  0x000097f8 0x0040a1f8 4   5    .rdata  ascii   ((xP
504  0x00009818 0x0040a218 5   7    .rdata  utf8    BBƄhh blocks=Basic Latin,Latin Extended-B
505  0x00009827 0x0040a227 5   6    .rdata  ascii   )--wZ
506  0x00009840 0x0040a240 9   40   .rdata  utf32le c|w{òkoÅ0 blocks=Basic Latin,Latin-1 Supplement
507  0x00009868 0x0040a268 7   32   .rdata  utf32le g+þ×«vÊ blocks=Basic Latin,Latin-1 Supplement
508  0x0000988c 0x0040a28c 9   40   .rdata  utf32le }úYGð­Ô¢¯ blocks=Basic Latin,Latin-1 Supplement
509  0x000098b8 0x0040a2b8 4   20   .rdata  utf32le rÀ·ý blocks=Basic Latin,Latin-1 Supplement
510  0x000098cc 0x0040a2cc 12  52   .rdata  utf32le &6?÷Ì4¥åñqØ1 blocks=Basic Latin,Latin-1 Supplement
511  0x00009934 0x0040a334 4   20   .rdata  utf32le '²u\t blocks=Basic Latin,Latin-1 Supplement
512  0x00009950 0x0040a350 11  48   .rdata  utf32le \enZ R;Ö³)ã/ blocks=Basic Latin,Latin-1 Supplement
513  0x00009990 0x0040a390 19  80   .rdata  utf32le  ü±[jË¾9JLXÏÐïªûCM3 blocks=Basic Latin,Latin-1 Supplement
514  0x00009a18 0x0040a418 6   28   .rdata  utf32le 8õ¼¶Ú! blocks=Basic Latin,Latin-1 Supplement
515  0x00009a68 0x0040a468 4   20   .rdata  utf32le ~=d]
516  0x00009a88 0x0040a488 4   20   .rdata  utf32le OÜ"* blocks=Basic Latin,Latin-1 Supplement
517  0x00009ab4 0x0040a4b4 8   36   .rdata  utf32le ^\vÛà2:\nI blocks=Basic Latin,Latin-1 Supplement
518  0x00009ad8 0x0040a4d8 6   28   .rdata  utf32le $\ÂÓ¬b blocks=Basic Latin,Latin-1 Supplement
519  0x00009afc 0x0040a4fc 5   24   .rdata  utf32le yçÈ7m blocks=Basic Latin,Latin-1 Supplement
520  0x00009b18 0x0040a518 14  60   .rdata  utf32le N©lVôêez®\bºx%. blocks=Basic Latin,Latin-1 Supplement
521  0x00009b80 0x0040a580 5   24   .rdata  utf32le p>µfH blocks=Basic Latin,Latin-1 Supplement
522  0x00009ba0 0x0040a5a0 4   20   .rdata  utf32le a5W¹ blocks=Basic Latin,Latin-1 Supplement
523  0x00009c0c 0x0040a60c 6   28   .rdata  utf32le \r¿æBhA blocks=Basic Latin,Latin-1 Supplement
524  0x0000a843 0x0040b243 5   6    .rdata  ascii   P~AeS
525  0x0000a880 0x0040b280 4   6    .rdata  utf8    ޱZI% blocks=Thaana,Basic Latin
526  0x0000a8b3 0x0040b2b3 4   5    .rdata  ascii   -Xt!
527  0x0000a8c9 0x0040b2c9 4   5    .rdata  ascii   X>k'
528  0x0000a8e9 0x0040b2e9 5   6    .rdata  ascii   Q3`bS
529  0x0000a900 0x0040b300 4   5    .rdata  ascii   pHhX
530  0x0000a9a3 0x0040b3a3 5   9    .rdata  utf8    $ֽ闉@C blocks=Basic Latin,Hebrew,CJK Unified Ideographs
531  0x0000a9bf 0x0040b3bf 6   8    .rdata  utf8    ۡ|\nG|B blocks=Arabic,Basic Latin
532  0x0000a9dc 0x0040b3dc 4   5    .rdata  ascii   lZrN
533  0x0000a9ec 0x0040b3ec 5   6    .rdata  ascii   6-9'\n
534  0x0000a9fc 0x0040b3fc 7   8    .rdata  ascii   $6.:\f\ng
535  0x0000aa18 0x0040b418 4   5    .rdata  ascii   ZwKi
536  0x0000aa20 0x0040b420 4   8    .rdata  utf8    ⓺\n * blocks=Enclosed Alphanumerics,Basic Latin
537  0x0000aa81 0x0040b481 5   7    .rdata  utf8    J$}һ= blocks=Basic Latin,Cyrillic
538  0x0000aa92 0x0040b492 4   6    .rdata  utf8    /Kܲ0 blocks=Basic Latin,Syriac
539  0x0000aae7 0x0040b4e7 8   10   .rdata  utf8    \rj_̛T~Fb blocks=Basic Latin,Combining Diacritical Marks
540  0x0000ab04 0x0040b504 4   6    .rdata  utf8    iГ|o blocks=Basic Latin,Cyrillic
541  0x0000ab21 0x0040b521 5   6    .rdata  ascii   &x\tnY
542  0x0000ab54 0x0040b554 5   7    .rdata  utf8    *?#1ƥ blocks=Basic Latin,Latin Extended-B
543  0x0000ab87 0x0040b587 4   6    .rdata  utf8    M̪MT blocks=Basic Latin,Combining Diacritical Marks
544  0x0000abfc 0x0040b5fc 4   7    .rdata  utf8    xDۆʯ blocks=Basic Latin,Arabic,IPA Extensions
545  0x0000ac07 0x0040b607 8   10   .rdata  utf8    >8$4,£@_ blocks=Basic Latin,Latin-1 Supplement
546  0x0000ac16 0x0040b616 5   6    .rdata  ascii   %\f(<I
547  0x0000ac2c 0x0040b62c 6   9    .rdata  utf8    dVP{˄a blocks=Basic Latin,Spacing Modifier Letters
548  0x0000ac37 0x0040b637 10  12   .rdata  utf8    pHl\tиWBPQ blocks=Basic Latin,Cyrillic
549  0x0000ac44 0x0040b644 4   5    .rdata  ascii   S~Ae
550  0x0000ac76 0x0040b676 5   7    .rdata  utf8    *ˀ&5D blocks=Basic Latin,Spacing Modifier Letters
551  0x0000ac80 0x0040b680 5   7    .rdata  utf8    IޱZg% blocks=Basic Latin,Thaana
552  0x0000acaa 0x0040b6aa 7   10   .rdata  utf8    mzڕRY-Ծ blocks=Basic Latin,Arabic,Armenian
553  0x0000acb5 0x0040b6b5 5   6    .rdata  ascii   Xt!)I
554  0x0000acea 0x0040b6ea 5   6    .rdata  ascii   Q3EbS
555  0x0000acfe 0x0040b6fe 6   7    .rdata  ascii   \b+XpHh
556  0x0000ada8 0x0040b7a8 6   9    .rdata  utf8    ̉@Cwgٞ blocks=Combining Diacritical Marks,Basic Latin,Arabic
557  0x0000addb 0x0040b7db 5   6    .rdata  ascii   pNlZr
558  0x0000adec 0x0040b7ec 6   7    .rdata  ascii   '6-9d\n
559  0x0000adf8 0x0040b7f8 7   9    .rdata  utf8    ћ[T:$6. blocks=Cyrillic,Basic Latin
560  0x0000ae17 0x0040b817 5   6    .rdata  ascii    iZwK
561  0x0000ae25 0x0040b825 5   7    .rdata  utf8     *C<"
562  0x0000ae59 0x0040b859 5   6    .rdata  ascii   Df;4[
563  0x0000aeec 0x0040b8ec 4   5    .rdata  ascii   bT~F
564  0x0000aef6 0x0040b8f6 4   6    .rdata  utf8    ظ^.9 blocks=Arabic,Basic Latin
565  0x0000af54 0x0040b954 6   8    .rdata  utf8    1*?#0ƥ blocks=Basic Latin,Latin Extended-B
566  0x0000af5f 0x0040b95f 4   5    .rdata  ascii   f7tN
567  0x0000af92 0x0040b992 4   6    .rdata  utf8    ѵ\eLj blocks=Cyrillic,Basic Latin
568  0x0000affd 0x0040b9fd 4   7    .rdata  utf8    xDہʯ blocks=Basic Latin,Arabic,IPA Extensions
569  0x0000b008 0x0040ba08 8   10   .rdata  utf8    ,8$4_£@r blocks=Basic Latin,Latin-1 Supplement
570  0x0000b019 0x0040ba19 4   5    .rdata  ascii   (<IA
571  0x0000b030 0x0040ba30 4   6    .rdata  utf8    a{˄p blocks=Basic Latin,Spacing Modifier Letters
572  0x0000b038 0x0040ba38 7   9    .rdata  utf8    tHl\BиW blocks=Basic Latin,Cyrillic
573  0x0000b044 0x0040ba44 4   5    .rdata  ascii   eS~A
574  0x0000b061 0x0040ba61 4   5    .rdata  ascii   U 0m
575  0x0000b07f 0x0040ba7f 7   9    .rdata  utf8    bZIޱ\eg% blocks=Basic Latin,Thaana
576  0x0000b0ab 0x0040baab 4   6    .rdata  utf8    mYڕR blocks=Basic Latin,Arabic
577  0x0000b0b6 0x0040bab6 5   6    .rdata  ascii   Xti)I
578  0x0000b0ed 0x0040baed 4   5    .rdata  ascii   EbSw
579  0x0000b0ff 0x0040baff 5   6    .rdata  ascii   \bhXpH
580  0x0000b11d 0x0040bb1d 5   6    .rdata  ascii   *fU(\a
581  0x0000b1a6 0x0040bba6 4   7    .rdata  utf8    ֽC̉@ blocks=Hebrew,Basic Latin,Combining Diacritical Marks
582  0x0000b1d5 0x0040bbd5 4   5    .rdata  ascii   H2+p
583  0x0000b1dc 0x0040bbdc 4   5    .rdata  ascii   rNlZ
584  0x0000b1ec 0x0040bbec 4   5    .rdata  ascii   9'6-
585  0x0000b1f5 0x0040bbf5 11  13   .rdata  utf8    !h\Tћ[.:$6g blocks=Basic Latin,Cyrillic
586  0x0000b218 0x0040bc18 4   5    .rdata  ascii   KiZw
587  0x0000b25a 0x0040bc5a 5   6    .rdata  ascii   Df~4[
588  0x0000b276 0x0040bc76 4   5    .rdata  ascii   Bc"@
589  0x0000b2be 0x0040bcbe 5   7    .rdata  utf8    "3NǇI blocks=Basic Latin,Latin Extended-B
590  0x0000b2e5 0x0040bce5 10  12   .rdata  utf8    \rPx̛j_FbT~ blocks=Basic Latin,Combining Diacritical Marks
591  0x0000b318 0x0040bd18 4   7    .rdata  utf8    cn蜻{ blocks=Basic Latin,CJK Unified Ideographs
592  0x0000b354 0x0040bd54 4   5    .rdata  ascii   #1*?
593  0x0000b361 0x0040bd61 4   6    .rdata  utf8    7tNʦ blocks=Basic Latin,IPA Extensions
594  0x0000b393 0x0040bd93 4   6    .rdata  utf8    ш\eLj blocks=Cyrillic,Basic Latin
595  0x0000b3fb 0x0040bdfb 4   6    .rdata  utf8    =ۆxD blocks=Basic Latin,Arabic
596  0x0000b407 0x0040be07 8   10   .rdata  utf8    h4,8$@_£ blocks=Basic Latin,Latin-1 Supplement
597  0x0000b42a 0x0040be2a 4   7    .rdata  utf8    شPdV blocks=Arabic,Basic Latin
598  0x0000b431 0x0040be31 4   6    .rdata  utf8    a{˶p blocks=Basic Latin,Spacing Modifier Letters
599  0x0000b437 0x0040be37 8   10   .rdata  utf8    2\tHlWBи blocks=Basic Latin,Cyrillic
600  0x0000b442 0x0040be42 6   7    .rdata  ascii   PQAeS~
601  0x0000b462 0x0040be62 4   5    .rdata  ascii   U vm
602  0x0000b4ee 0x0040beee 4   5    .rdata  ascii   Ebdw
603  0x0000b500 0x0040bf00 5   6    .rdata  ascii   HhXpE
604  0x0000b5a8 0x0040bfa8 6   9    .rdata  utf8    @C̉ٞwg blocks=Basic Latin,Combining Diacritical Marks,Arabic
605  0x0000b5bf 0x0040bfbf 4   5    .rdata  ascii   y|\nG
606  0x0000b5dc 0x0040bfdc 4   5    .rdata  ascii   ZrNl
607  0x0000b5eb 0x0040bfeb 5   6    .rdata  ascii   =-9'6
608  0x0000b5f6 0x0040bff6 11  13   .rdata  utf8    !h[Tћ6.:$\ng blocks=Basic Latin,Cyrillic
609  0x0000b617 0x0040c017 5   6    .rdata  ascii   awKiZ
610  0x0000b643 0x0040c043 4   5    .rdata  ascii   Wu\aL
611  0x0000b65d 0x0040c05d 6   7    .rdata  ascii   ~4[C)v
612  0x0000b68e 0x0040c08e 4   6    .rdata  utf8    mǞ/K blocks=Basic Latin,Latin Extended-B
613  0x0000b6bf 0x0040c0bf 5   7    .rdata  utf8    "INǇ8 blocks=Basic Latin,Latin Extended-B
614  0x0000b6e6 0x0040c0e6 9   11   .rdata  utf8    \rP_̛j~FbT blocks=Basic Latin,Combining Diacritical Marks
615  0x0000b753 0x0040c153 5   6    .rdata  ascii   1?#1*
616  0x0000b7f6 0x0040c1f6 4   5    .rdata  ascii   [_=o
617  0x0000b808 0x0040c208 4   5    .rdata  ascii   $4,8
618  0x0000b82c 0x0040c22c 7   10   .rdata  utf8    VPd˄a{2 blocks=Basic Latin,Spacing Modifier Letters
619  0x0000b838 0x0040c238 4   5    .rdata  ascii   l\tH
620  0x0000b840 0x0040c240 11  48   .rdata  utf32le R\tjÕ06¥8¿@£ blocks=Basic Latin,Latin-1 Supplement
621  0x0000b8a8 0x0040c2a8 8   36   .rdata  utf32le CDÄÞéËT{ blocks=Basic Latin,Latin-1 Supplement
622  0x0000b8cc 0x0040c2cc 7   32   .rdata  utf32le 2¦Â#=îL blocks=Basic Latin,Latin-1 Supplement
623  0x0000b8ec 0x0040c2ec 18  76   .rdata  utf32le \vBúÃN\b.¡f(Ù$²v[¢Im blocks=Basic Latin,Latin-1 Supplement
624  0x0000b93c 0x0040c33c 5   24   .rdata  utf32le %røöd blocks=Basic Latin,Latin-1 Supplement
625  0x0000b968 0x0040c368 5   24   .rdata  utf32le \Ì]e¶ blocks=Basic Latin,Latin-1 Supplement
626  0x0000b980 0x0040c380 9   40   .rdata  utf32le lpHPýí¹Ú^ blocks=Basic Latin,Latin-1 Supplement
627  0x0000b9dc 0x0040c3dc 4   20   .rdata  utf32le \n÷äX blocks=Basic Latin,Latin-1 Supplement
628  0x0000ba4c 0x0040c44c 5   24   .rdata  utf32le AOgÜê blocks=Basic Latin,Latin-1 Supplement
629  0x0000ba88 0x0040c488 5   24   .rdata  utf32le t"ç­5 blocks=Basic Latin,Latin-1 Supplement
630  0x0000bab4 0x0040c4b4 5   24   .rdata  utf32le ußnGñ blocks=Basic Latin,Latin-1 Supplement
631  0x0000bafc 0x0040c4fc 9   40   .rdata  utf32le \eüV>KÆÒy  blocks=Basic Latin,Latin-1 Supplement
632  0x0000bb30 0x0040c530 4   20   .rdata  utf32le xÍZô blocks=Basic Latin,Latin-1 Supplement
633  0x0000bb54 0x0040c554 4   20   .rdata  utf32le \aÇ1± blocks=Basic Latin,Latin-1 Supplement
634  0x0000bb98 0x0040c598 5   24   .rdata  utf32le J\r-åz blocks=Basic Latin,Latin-1 Supplement
635  0x0000bbc8 0x0040c5c8 10  44   .rdata  utf32le ;M®*õ°Èë»< blocks=Basic Latin,Latin-1 Supplement
636  0x0000bc0c 0x0040c60c 7   32   .rdata  utf32le ~ºwÖ&ái blocks=Basic Latin,Latin-1 Supplement
637  0x0000c850 0x0040d250 30  31   .rdata  ascii   8$4,6-9'$6.:*?#1pHhX~AeSlZrNbS
638  0x0000c86f 0x0040d26f 8   9    .rdata  ascii   EHl\tFeQ
639  0x0000c878 0x0040d278 8   9    .rdata  ascii   T~FbZwKi
640  0x0000c951 0x0040d351 11  15   .rdata  utf8    RYڛ[Tщ@ĊIN blocks=Basic Latin,Arabic,Cyrillic,Combining Diacritical Marks
641  0x0000c993 0x0040d393 11  15   .rdata  utf8    j{˄aiГ|gٞw= blocks=Basic Latin,Spacing Modifier Letters,Cyrillic,Arabic
642  0x0000c9c4 0x0040d3c4 11  15   .rdata  utf8    xDۆj_̛dVPNi blocks=Basic Latin,Arabic,Combining Diacritical Marks
643  0x0000cb7f 0x0040d57f 4   5    .rdata  ascii   h\f\ng
644  0x0000cc50 0x0040d650 31  32   .rdata  ascii   ,8$4'6-9:$6.1*?#XpHhS~AeNlZrEbS
645  0x0000cc70 0x0040d670 4   5    .rdata  ascii   tHl\
646  0x0000cc75 0x0040d675 11  12   .rdata  ascii   FeQbT~FiZwK
647  0x0000cd94 0x0040d794 9   13   .rdata  utf8    a{˄|iГwgٞ blocks=Basic Latin,Spacing Modifier Letters,Cyrillic,Arabic
648  0x0000cdc1 0x0040d7c1 14  19   .rdata  utf8    vMֆxDۛj_̐dVaNi blocks=Basic Latin,Armenian,Arabic,Combining Diacritical Marks
649  0x0000cefd 0x0040d8fd 5   7    .rdata  utf8     *<zG
650  0x0000cfbd 0x0040d9bd 5   6    .rdata  ascii   V},z7
651  0x0000d04f 0x0040da4f 29  30   .rdata  ascii   \e4,8$9'6-.:$6#1*?hXpHeS~ArNlZ
652  0x0000d06d 0x0040da6d 8   9    .rdata  ascii   EbS\tHlQ
653  0x0000d076 0x0040da76 11  13   .rdata  utf8    FeFbT~KiZwа blocks=Basic Latin,Cyrillic
654  0x0000d195 0x0040db95 8   11   .rdata  utf8    a{˓|iОwg blocks=Basic Latin,Spacing Modifier Letters,Cyrillic
655  0x0000d1c2 0x0040dbc2 11  15   .rdata  utf8    vMۆxD̛j_PdV blocks=Basic Latin,Arabic,Combining Diacritical Marks
656  0x0000d3be 0x0040ddbe 5   6    .rdata  ascii   V}\fz7
657  0x0000d450 0x0040de50 29  30   .rdata  ascii   $4,8-9'66.:$?#1*HhXpAeS~ZrNlS
658  0x0000d46e 0x0040de6e 8   9    .rdata  ascii   Ebl\tHeQ
659  0x0000d477 0x0040de77 9   10   .rdata  ascii   F~FbTwKiZ
660  0x0000d592 0x0040df92 11  15   .rdata  utf8    ju˄a{Г|iٞwg blocks=Basic Latin,Spacing Modifier Letters,Cyrillic,Arabic
661  0x0000d5c3 0x0040dfc3 11  15   .rdata  utf8    vDۆx_̛jVPdi blocks=Basic Latin,Arabic,Combining Diacritical Marks
662  0x0000d635 0x0040e035 8   11   .rdata  utf8    WBУ@_ªMT blocks=Basic Latin,Cyrillic,Latin-1 Supplement
663  0x0000d67f 0x0040e07f 4   5    .rdata  ascii   \e|\nG
664  0x0000d840 0x0040e240 7   16   .rdata  utf16le AppData
665  0x0000d850 0x0040e250 4   10   .rdata  utf16le "%s"
666  0x0000d85c 0x0040e25c 11  24   .rdata  utf16le \Microsoft\
667  0x0000d874 0x0040e274 4   10   .rdata  utf16le .exe
668  0x0000d880 0x0040e280 9   20   .rdata  utf16le GandCrab!
669  0x0000d894 0x0040e294 8   18   .rdata  utf16le win32app
670  0x0000d8a8 0x0040e2a8 7   16   .rdata  utf16le firefox
671  0x0000d8b8 0x0040e2b8 4   5    .rdata  ascii   mask
672  0x0000d8c0 0x0040e2c0 7   8    .rdata  ascii   pub_key
673  0x0000d8c8 0x0040e2c8 7   8    .rdata  ascii   DELETE}
674  0x0000d8d0 0x0040e2d0 8   9    .rdata  ascii   {DELETE}
675  0x0000d8dc 0x0040e2dc 12  13   .rdata  ascii   advapi32.dll
676  0x0000d8ec 0x0040e2ec 20  21   .rdata  ascii   CheckTokenMembership
677  0x0000d91c 0x0040e31c 9   20   .rdata  utf16le ransom_id
678  0x0000d930 0x0040e330 6   14   .rdata  utf16le os_bit
679  0x0000d940 0x0040e340 8   18   .rdata  utf16le os_major
680  0x0000d954 0x0040e354 7   16   .rdata  utf16le pc_keyb
681  0x0000d964 0x0040e364 7   16   .rdata  utf16le pc_lang
