Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c8 0x000000c8 4   5            ascii   Rich
2    0x000001e8 0x000001e8 5   6            ascii   .text
3    0x0000020f 0x0000020f 7   8            ascii   h.rdata
4    0x00000237 0x00000237 6   7            ascii   H.data
5    0x00000260 0x00000260 6   7            ascii   .pdata
6    0x00000287 0x00000287 5   6            ascii   HINIT
7    0x000002b0 0x000002b0 5   6            ascii   .rsrc
8    0x000002d7 0x000002d7 7   8            ascii   B.reloc
197  0x00002e0b 0x00014c0b 4   6    .data   utf8    f-҄1 blocks=Basic Latin,Cyrillic
198  0x00002e39 0x00014c39 4   5    .data   ascii    s5V
199  0x00002e41 0x00014c41 4   5    .data   ascii   |j9=
200  0x00002e63 0x00014c63 5   6    .data   ascii   ,N;I.
201  0x00002e7f 0x00014c7f 4   6    .data   utf8    )ز'x blocks=Basic Latin,Arabic
202  0x00002e85 0x00014c85 4   6    .data   utf8    p$غ' blocks=Basic Latin,Arabic
203  0x00002eb6 0x00014cb6 5   7    .data   utf8    n$nȈ} blocks=Basic Latin,Latin Extended-B
204  0x00002ee5 0x00014ce5 5   6    .data   ascii   vZ&\bI
205  0x00002f1c 0x00014d1c 4   5    .data   ascii   N4z:
206  0x00002f36 0x00014d36 4   5    .data   ascii   MKR8
207  0x00002f51 0x00014d51 5   6    .data   ascii   pcSd"
208  0x00002f5a 0x00014d5a 5   7    .data   utf8    .0ק\n& blocks=Basic Latin,Hebrew
209  0x00002f80 0x00014d80 4   8    .data   utf8    s\eۊ脖 blocks=Basic Latin,Arabic,CJK Unified Ideographs
210  0x00002fe7 0x00014de7 4   6    .data   utf8    Uё9g blocks=Basic Latin,Cyrillic
211  0x00002ffa 0x00014dfa 6   7    .data   ascii   \viq|V\e
212  0x00003009 0x00014e09 5   6    .data   ascii   O%\t|f
213  0x0000301b 0x00014e1b 6   7    .data   ascii   *!bt\eK
214  0x000030a3 0x00014ea3 5   6    .data   ascii   @9Ijh
215  0x000030cb 0x00014ecb 5   6    .data   ascii   [IZb1
216  0x000030ea 0x00014eea 4   5    .data   ascii   Z3pg
217  0x00003126 0x00014f26 4   5    .data   ascii   l)N=
218  0x00003133 0x00014f33 4   7    .data   utf8    ˗˶SD blocks=Spacing Modifier Letters,Basic Latin
219  0x0000315f 0x00014f5f 4   5    .data   ascii   Qy7j
220  0x00003173 0x00014f73 4   5    .data   ascii   '/CM
221  0x000031a5 0x00014fa5 4   5    .data   ascii   \t;Vg
222  0x00003247 0x00015047 4   6    .data   utf8    :SDҴ blocks=Basic Latin,Cyrillic
223  0x0000336c 0x0001516c 6   8    .data   utf8    "CWcnٔ blocks=Basic Latin,Arabic
224  0x00003384 0x00015184 4   6    .data   utf8    z?yÝ blocks=Basic Latin,Latin-1 Supplement
225  0x00003393 0x00015193 4   5    .data   ascii   OkX`
226  0x000033b8 0x000151b8 4   6    .data   utf8    ]Yu2
227  0x0000341f 0x0001521f 6   8    .data   utf8    Rl2\n]¶ blocks=Basic Latin,Latin-1 Supplement
228  0x00003522 0x00015322 4   6    .data   utf8    xb:Ϡ blocks=Basic Latin,Greek and Coptic
229  0x00003541 0x00015341 5   6    .data   ascii   ;\b24+
230  0x0000354e 0x0001534e 4   7    .data   utf8    =z㳢E blocks=Basic Latin,CJK Unified Ideographs Extension A
231  0x00003563 0x00015363 4   5    .data   ascii   z&bI
232  0x000035b0 0x000153b0 4   5    .data   ascii   dQl<
233  0x000035c7 0x000153c7 5   6    .data   ascii   \f\vN&^
234  0x000035e9 0x000153e9 5   6    .data   ascii   3(H2z
235  0x00003635 0x00015435 4   5    .data   ascii   $1EN
236  0x00003656 0x00015456 4   5    .data   ascii   "%QE
237  0x0000367c 0x0001547c 4   5    .data   ascii   d`x'
238  0x0000369e 0x0001549e 4   5    .data   ascii   \eku7
239  0x000036b7 0x000154b7 4   5    .data   ascii   ! Mp
240  0x00003716 0x00015516 4   5    .data   ascii   wq\e)
241  0x0000374c 0x0001554c 4   5    .data   ascii   yzYQ
242  0x00003756 0x00015556 4   5    .data   ascii   W$=\t
243  0x0000375b 0x0001555b 4   5    .data   ascii   vtba
244  0x00003763 0x00015563 4   5    .data   ascii   "E02
245  0x00003793 0x00015593 6   7    .data   ascii   bs\vL9L
246  0x000037d4 0x000155d4 7   8    .data   ascii   FT]^7k~
247  0x000037e8 0x000155e8 4   6    .data   utf8    \r<#Ҭ blocks=Basic Latin,Cyrillic
248  0x000037fc 0x000155fc 4   6    .data   utf8    QçB\ blocks=Basic Latin,Latin-1 Supplement
249  0x00003830 0x00015630 4   5    .data   ascii   */=H
250  0x00003872 0x00015672 4   6    .data   utf8    F\t7Z
251  0x00003878 0x00015678 4   5    .data   ascii    TOR
252  0x0000388d 0x0001568d 4   5    .data   ascii   &QOy
253  0x000038a8 0x000156a8 6   8    .data   utf8    :kÑ\tK, blocks=Basic Latin,Latin-1 Supplement
254  0x000038f5 0x000156f5 4   5    .data   ascii   Wj\n!
255  0x00003900 0x00015700 6   7    .data   ascii   *"7Jy=
256  0x0000391b 0x0001571b 6   7    .data   ascii   LL(p<*
257  0x0000392b 0x0001572b 5   6    .data   ascii   ebre5
258  0x00003981 0x00015781 4   5    .data   ascii   $BLw
259  0x000039c4 0x000157c4 4   5    .data   ascii   s_H:
260  0x000039dc 0x000157dc 5   6    .data   ascii   :\vpR9
261  0x00003a18 0x00015818 4   5    .data   ascii   4^\tj
262  0x00003a3f 0x0001583f 6   7    .data   ascii   .8v7(!
263  0x00003ad1 0x000158d1 5   7    .data   utf8    IܷB!5 blocks=Basic Latin,Syriac
264  0x00003af8 0x000158f8 4   5    .data   ascii   F>sK
265  0x00003b8b 0x0001598b 4   7    .data   utf8    矛)\n8 blocks=CJK Unified Ideographs,Basic Latin
266  0x00003ba2 0x000159a2 6   7    .data   ascii   /6VU.i
267  0x00003bbc 0x000159bc 4   5    .data   ascii   yp< 
268  0x00003bc3 0x000159c3 4   5    .data   ascii   |u'3
269  0x00003bc8 0x000159c8 4   6    .data   utf8    9ɦ\e; blocks=Basic Latin,IPA Extensions
270  0x00003bdb 0x000159db 6   8    .data   utf8    0kѩ"hu blocks=Basic Latin,Cyrillic
271  0x00003bef 0x000159ef 4   5    .data   ascii   q6g0
272  0x00003c09 0x00015a09 4   5    .data   ascii   Y$,G
273  0x00003c3d 0x00015a3d 6   8    .data   utf8    rHYϕ%T blocks=Basic Latin,Greek and Coptic
274  0x00003c4b 0x00015a4b 4   6    .data   utf8    \fҟ1T blocks=Basic Latin,Cyrillic
275  0x00003ca8 0x00015aa8 4   5    .data   ascii   xMzv
276  0x00003cfc 0x00015afc 4   5    .data   ascii   *F4Q
277  0x00003d09 0x00015b09 5   6    .data   ascii   !{iDM
278  0x00003d2f 0x00015b2f 4   6    .data   utf8    8ڗ(U blocks=Basic Latin,Arabic
279  0x00003d44 0x00015b44 6   10   .data   utf8    hCڼgl blocks=Basic Latin,Private Use Area,Arabic
280  0x00003dac 0x00015bac 5   6    .data   ascii   gAUk|
281  0x00003dbd 0x00015bbd 4   5    .data   ascii   ~Wt9
282  0x00003de4 0x00015be4 5   8    .data   utf8    ;W͋oŞ blocks=Basic Latin,Combining Diacritical Marks,Latin Extended-A
283  0x00003e2f 0x00015c2f 5   6    .data   ascii   C{AR\r
284  0x00003e4d 0x00015c4d 6   7    .data   ascii   /xv+M&
285  0x00003eb4 0x00015cb4 4   5    .data   ascii   8-'5
286  0x00003f09 0x00015d09 4   6    .data   utf8    Ё^rW blocks=Cyrillic,Basic Latin
287  0x00003f13 0x00015d13 5   6    .data   ascii   iC+zD
288  0x00003f37 0x00015d37 5   6    .data   ascii   N7?aF
289  0x00003f48 0x00015d48 5   8    .data   utf8    qbH*뙐 blocks=Basic Latin,Hangul Syllables
290  0x00003f61 0x00015d61 4   5    .data   ascii   1K:#
291  0x00003f79 0x00015d79 6   8    .data   utf8    ֻjQ<6/ blocks=Hebrew,Basic Latin
292  0x00003f99 0x00015d99 4   5    .data   ascii    $f8
293  0x00003fe7 0x00015de7 7   9    .data   utf8    <aߝ#>[J blocks=Basic Latin,NKo
294  0x00004013 0x00015e13 4   5    .data   ascii   nMFP
295  0x0000404f 0x00015e4f 7   9    .data   utf8    pbߝPjJJ blocks=Basic Latin,NKo
296  0x00004085 0x00015e85 4   6    .data   utf8    M8Uȥ blocks=Basic Latin,Latin Extended-B
297  0x000040a4 0x00015ea4 4   5    .data   ascii   ;Su)
298  0x000040ec 0x00015eec 4   5    .data   ascii   T9I:
299  0x00004119 0x00015f19 7   8    .data   ascii   ;f1\rH%i
300  0x00004194 0x00015f94 4   6    .data   utf8    `'۟( blocks=Basic Latin,Arabic
301  0x000041c8 0x00015fc8 5   6    .data   ascii   ABeg\
302  0x00004212 0x00016012 6   7    .data   ascii   Um\vU@o
303  0x0000422e 0x0001602e 5   6    .data   ascii   v|v[0
304  0x000042ce 0x000160ce 4   5    .data   ascii   7qZ+
305  0x000042e5 0x000160e5 5   6    .data   ascii   fdRY0
306  0x00004316 0x00016116 5   8    .data   utf8    KPʖ`Ǟ blocks=Basic Latin,IPA Extensions,Latin Extended-B
307  0x0000437c 0x0001617c 4   5    .data   ascii   ]0hP
308  0x000043ca 0x000161ca 4   5    .data   ascii   a;Y+
309  0x000043f5 0x000161f5 4   5    .data   ascii   PuDd
310  0x00004401 0x00016201 4   5    .data   ascii   UHWg
311  0x00004474 0x00016274 4   5    .data   ascii   U97\b
312  0x00004520 0x00016320 6   7    .data   ascii   'lm)@\r
313  0x00004586 0x00016386 4   6    .data   utf8    D9Σ7 blocks=Basic Latin,Greek and Coptic
314  0x00004594 0x00016394 6   7    .data   ascii   \r{S 5^
315  0x000045c4 0x000163c4 5   7    .data   utf8    e\ȷj@ blocks=Basic Latin,Latin Extended-B
316  0x000045dd 0x000163dd 5   6    .data   ascii   PA\nw+
317  0x0000461d 0x0001641d 6   7    .data   ascii   |NP\a5^
318  0x0000462c 0x0001642c 4   5    .data   ascii   m<"\t
319  0x00004660 0x00016460 4   5    .data   ascii   \a\vJy
320  0x000046cf 0x000164cf 4   6    .data   utf8    Itʟ[ blocks=Basic Latin,IPA Extensions
321  0x00004708 0x00016508 4   5    .data   ascii   *k2&
322  0x0000472c 0x0001652c 4   6    .data   utf8    \a"D̗ blocks=Basic Latin,Combining Diacritical Marks
323  0x00004737 0x00016537 5   7    .data   utf8    G+0jĳ blocks=Basic Latin,Latin Extended-A
324  0x00004747 0x00016547 4   5    .data   ascii   \e0O8
325  0x00004765 0x00016565 4   5    .data   ascii   w2).
326  0x00004772 0x00016572 4   5    .data   ascii   $N_[
327  0x000047c8 0x000165c8 4   5    .data   ascii   2\"p
328  0x00004800 0x00016600 5   6    .data   ascii   ;-Gzl
329  0x00004851 0x00016651 5   6    .data   ascii   bp:IG
330  0x00004862 0x00016662 4   5    .data   ascii   qS93
331  0x00004873 0x00016673 4   5    .data   ascii   \tlFk
332  0x00004887 0x00016687 7   8    .data   ascii   S\2wHD\n
333  0x0000489c 0x0001669c 4   6    .data   utf8    ]L^˵ blocks=Basic Latin,Spacing Modifier Letters
334  0x000048c0 0x000166c0 4   7    .data   utf8    ۻ?\nĖ blocks=Arabic,Basic Latin,Latin Extended-A
335  0x000048da 0x000166da 5   6    .data   ascii   Q>Gg6
336  0x00004929 0x00016729 4   6    .data   utf8    έ@u> blocks=Greek and Coptic,Basic Latin
337  0x00004933 0x00016733 4   5    .data   ascii   b>tC
338  0x0000495a 0x0001675a 4   9    .data   utf8    ώ⭓%ξ blocks=Greek and Coptic,Miscellaneous Symbols and Arrows,Basic Latin
339  0x0000499a 0x0001679a 5   7    .data   utf8    \nABؚq blocks=Basic Latin,Arabic
340  0x000049b4 0x000167b4 4   6    .data   utf8    T3yܑ blocks=Basic Latin,Syriac
341  0x000049c3 0x000167c3 5   7    .data   utf8    +m݂-U blocks=Basic Latin,Syriac
342  0x00004a02 0x00016802 4   5    .data   ascii   GEUQ
343  0x00004a54 0x00016854 4   5    .data   ascii   t!&E
344  0x00004ada 0x000168da 4   5    .data   ascii   72ua
345  0x00004ae5 0x000168e5 7   9    .data   utf8    ~B0}.1ގ blocks=Basic Latin,Thaana
346  0x00004b56 0x00016956 5   6    .data   ascii   !'e;L
347  0x00004b8e 0x0001698e 4   6    .data   utf8    #Gl$
348  0x00004bd0 0x000169d0 5   6    .data   ascii   G?WO$
349  0x00004bd6 0x000169d6 7   8    .data   ascii   orL@g^t
350  0x00004bf5 0x000169f5 6   8    .data   utf8    _L-W˸x blocks=Basic Latin,Spacing Modifier Letters
351  0x00004c32 0x00016a32 4   5    .data   ascii   +?\tJ
352  0x00004c8c 0x00016a8c 5   6    .data   ascii   ~22f 
353  0x00004c94 0x00016a94 4   5    .data   ascii   s\n\r5
354  0x00004c99 0x00016a99 4   5    .data   ascii   fRLB
355  0x00004cfd 0x00016afd 4   5    .data   ascii   zb|i
356  0x00004d1b 0x00016b1b 4   6    .data   utf8    'ݻTg blocks=Basic Latin,Arabic Supplement
357  0x00004d2b 0x00016b2b 6   7    .data   ascii   >RIo)`
358  0x00004d73 0x00016b73 5   6    .data   ascii   ;~XR,
359  0x00004e04 0x00016c04 4   6    .data   utf8    8*̇G blocks=Basic Latin,Combining Diacritical Marks
360  0x00004e45 0x00016c45 5   7    .data   utf8    VJ~3ڦ blocks=Basic Latin,Arabic
361  0x00004e61 0x00016c61 4   5    .data   ascii   4r9j
362  0x00004e76 0x00016c76 4   5    .data   ascii   e/YG
363  0x00004e88 0x00016c88 5   6    .data   ascii   $\t{)S
364  0x00004e9b 0x00016c9b 4   5    .data   ascii   =\vSU
365  0x00004ead 0x00016cad 4   6    .data   utf8    0?Mƚ blocks=Basic Latin,Latin Extended-B
