[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000087 0x00000087 7   10           utf8    8W͍8W͍8 blocks=Basic Latin,Combining Diacritical Marks
2    0x00000093 0x00000093 4   6            utf8    8_͍8 blocks=Basic Latin,Combining Diacritical Marks
3    0x0000009f 0x0000009f 14  19           utf8    88҇8\͍88҉8U͍8a blocks=Basic Latin,Cyrillic,Combining Diacritical Marks
4    0x000000b3 0x000000b3 5   7            utf8    8T͍8a blocks=Basic Latin,Combining Diacritical Marks
5    0x000000bb 0x000000bb 7   10           utf8    8T͍8W͌8 blocks=Basic Latin,Combining Diacritical Marks
6    0x000000c9 0x000000c9 5   8            utf8    ҆8R͍8 blocks=Cyrillic,Basic Latin,Combining Diacritical Marks
7    0x000000d1 0x000000d1 12  16           utf8    ˋ8V͍8RichW͍8 blocks=Spacing Modifier Letters,Basic Latin,Combining Diacritical Marks
8    0x00000217 0x00000217 7   8            ascii   `Prdata
9    0x0000023f 0x0000023f 6   7            ascii   @.data
10   0x00000268 0x00000268 5   6            ascii   .rsrc
11   0x00001132 0x00401132 4   5    .t      ascii   hR)@
12   0x0000115c 0x0040115c 4   5    .t      ascii   h P@
13   0x00001195 0x00401195 4   5    .t      ascii   h 6@
14   0x000011d8 0x004011d8 4   5    .t      ascii   L$\bQ
15   0x000011fc 0x004011fc 4   5    .t      ascii   L$(d
16   0x00001208 0x00401208 5   7    .t      utf8    4ËN j blocks=Basic Latin,Latin-1 Supplement
17   0x000012c2 0x004012c2 4   5    .t      ascii   hh)@
18   0x00001304 0x00401304 4   5    .t      ascii   L$`d
19   0x000015b8 0x004015b8 5   6    .t      ascii   L$\b^d
20   0x000015e8 0x004015e8 4   5    .t      ascii   h@*@
21   0x000015f7 0x004015f7 4   5    .t      ascii   TSUV
22   0x00001618 0x00401618 5   6    .t      ascii   T$ RP
23   0x00001642 0x00401642 4   5    .t      ascii   -<0@
24   0x00001649 0x00401649 4   5    .t      ascii   D$$P
25   0x0000168c 0x0040168c 5   6    .t      ascii   L$tQP
26   0x000016ec 0x004016ec 6   8    .t      utf8    ;؉D$lt blocks=Basic Latin,Arabic
27   0x00001711 0x00401711 6   7    .t      ascii   D$$h9@
28   0x00001744 0x00401744 5   6    .t      ascii   L$8PQ
29   0x00001763 0x00401763 4   5    .t      ascii   L$TQ
30   0x000017e6 0x004017e6 5   6    .t      ascii   D$$@9
31   0x0000183b 0x0040183b 6   7    .t      ascii   D$$h9@
32   0x0000186e 0x0040186e 5   6    .t      ascii   T$8PR
33   0x00001885 0x00401885 8   10   .t      utf8    T$x\e\vL$<
34   0x000018a0 0x004018a0 7   9    .t      utf8    UW#KNXj
35   0x000018d7 0x004018d7 5   6    .t      ascii   \f?PQj
36   0x000018e9 0x004018e9 6   7    .t      ascii   D$$T9@
37   0x00001909 0x00401909 6   7    .t      ascii   D$$@9@
38   0x0000195e 0x0040195e 6   7    .t      ascii   D$$h9@
39   0x0000196c 0x0040196c 4   5    .t      ascii   D$x\a
40   0x00001991 0x00401991 5   6    .t      ascii   T$8PR
41   0x000019a8 0x004019a8 8   10   .t      utf8    T$x\e\vL$<
42   0x000019c3 0x004019c3 7   9    .t      utf8    UW#KNXj
43   0x000019e7 0x004019e7 4   5    .t      ascii   \r89@
44   0x00001a02 0x00401a02 4   5    .t      ascii   D$0P
45   0x00001a07 0x00401a07 4   5    .t      ascii   \r89@
46   0x00001a23 0x00401a23 6   7    .t      ascii   D$$T9@
47   0x00001a35 0x00401a35 4   5    .t      ascii   D$l\b
48   0x00001a43 0x00401a43 6   7    .t      ascii   D$$@9@
49   0x00001a6e 0x00401a6e 4   5    .t      ascii   D$l\t
50   0x00001a98 0x00401a98 6   7    .t      ascii   D$,h9@
51   0x00001aa6 0x00401aa6 4   5    .t      ascii   D$x\n
52   0x00001acc 0x00401acc 4   5    .t      ascii   D$LP
53   0x00001ae2 0x00401ae2 8   10   .t      utf8    T$x\e\vL$L
54   0x00001afd 0x00401afd 7   9    .t      utf8    UW#KNXj
55   0x00001b21 0x00401b21 4   5    .t      ascii   \r09@
56   0x00001b3c 0x00401b3c 4   5    .t      ascii   D$0P
