Metadata Signature: 0xc37c 0x10001424a5342 12
.NET Version: v4.0.30319
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 6c08
Stream name: #~ 4
DirectoryAddress: 6c74 Size: 1f94
Stream name: #Strings 12
DirectoryAddress: 8c08 Size: 4a8
Stream name: #US 4
DirectoryAddress: 90b0 Size: 10
Stream name: #GUID 8
DirectoryAddress: 90c0 Size: 1934
Stream name: #Blob 8
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3    0x000001c7 0x000001c7 7   8            ascii   @.reloc
4    0x000002f1 0x004020f1 5   6    .text   ascii   F,+~2
5    0x0000033a 0x0040213a 6   7    .text   ascii   XF,=~5
6    0x000003e1 0x004021e1 4   5    .text   ascii   \eXF,
7    0x00000456 0x00402256 4   5    .text   ascii   \tXF,
8    0x00000477 0x00402277 4   5    .text   ascii   \nXF,
9    0x00000496 0x00402296 5   6    .text   ascii   \vXF,2
10   0x000004ab 0x004022ab 4   5    .text   ascii   \f\b\v\a
11   0x000004de 0x004022de 4   5    .text   ascii   \fXF,
12   0x00000504 0x00402304 4   5    .text   ascii   \rXF,
13   0x00000999 0x00402799 6   7    .text   ascii   +>+C~8
14   0x000009aa 0x004027aa 8   9    .text   ascii   +>+C+H+M
15   0x00000a1c 0x0040281c 5   6    .text   ascii   +\b*(\t
16   0x00000a52 0x00402852 4   5    .text   ascii   ,\a+G
17   0x00000a57 0x00402857 6   7    .text   ascii   -=+E,2
18   0x00000a62 0x00402862 4   5    .text   ascii   ,#~;
19   0x00000a6e 0x0040286e 4   5    .text   ascii   +3~:
20   0x00000a7f 0x0040287f 10  11   .text   ascii   +)+.+3+8+9
21   0x00000a9b 0x0040289b 4   5    .text   ascii   \b*\n+
22   0x00000b0a 0x0040290a 4   5    .text   ascii   +#~;
23   0x00000b1f 0x0040291f 5   6    .text   ascii   +#+$t
24   0x00000b27 0x00402927 4   5    .text   ascii   \e+ +
25   0x00000b58 0x00402958 5   6    .text   ascii   +\b*(\t
26   0x00000b78 0x00402978 7   8    .text   ascii   B+\b+\t}<
27   0x00000b98 0x00402998 7   8    .text   ascii   B+\b+\t}=
28   0x00000bb8 0x004029b8 7   8    .text   ascii   B+\b+\t}>
29   0x00000bd8 0x004029d8 7   8    .text   ascii   B+\b+\t}?
30   0x00000bf8 0x004029f8 7   8    .text   ascii   B+\b+\t}@
31   0x00000c30 0x00402a30 7   8    .text   ascii   B+\b+\t}A
32   0x00000c50 0x00402a50 7   8    .text   ascii   B+\b+\t}B
33   0x00000c70 0x00402a70 7   8    .text   ascii   B+\b+\t}C
34   0x00000c90 0x00402a90 7   8    .text   ascii   B+\b+\t}D
35   0x00000cbc 0x00402abc 7   8    .text   ascii   B+\b+\t}E
36   0x00000cdc 0x00402adc 7   8    .text   ascii   B+\b+\t}F
37   0x00000cfc 0x00402afc 7   8    .text   ascii   B+\b+\t}G
38   0x00000d1c 0x00402b1c 7   8    .text   ascii   B+\b+\t}H
39   0x00000d3c 0x00402b3c 7   8    .text   ascii   B+\b+\t}I
40   0x00000d5c 0x00402b5c 7   8    .text   ascii   B+\b+\t}J
41   0x00000d7c 0x00402b7c 7   8    .text   ascii   B+\b+\t}K
42   0x00000d9c 0x00402b9c 7   8    .text   ascii   B+\b+\t}L
43   0x00000dbc 0x00402bbc 7   8    .text   ascii   B+\b+\t}M
44   0x00000ddc 0x00402bdc 7   8    .text   ascii   B+\b+\t}N
45   0x00000dfc 0x00402bfc 7   8    .text   ascii   B+\b+\t}O
46   0x00000e1c 0x00402c1c 7   8    .text   ascii   B+\b+\t}P
47   0x00000e3c 0x00402c3c 7   8    .text   ascii   B+\b+\t}Q
48   0x00000e5c 0x00402c5c 7   8    .text   ascii   B+\b+\t}R
49   0x00000e7c 0x00402c7c 7   8    .text   ascii   B+\b+\t}S
50   0x00000e9c 0x00402c9c 7   8    .text   ascii   B+\b+\t}T
51   0x00000ebc 0x00402cbc 7   8    .text   ascii   B+\b+\t}U
52   0x00000edc 0x00402cdc 7   8    .text   ascii   B+\b+\t}V
53   0x00000efc 0x00402cfc 7   8    .text   ascii   B+\b+\t}W
54   0x00000f1c 0x00402d1c 7   8    .text   ascii   B+\b+\t}X
55   0x00000f3c 0x00402d3c 7   8    .text   ascii   B+\b+\t}Y
56   0x00000f5c 0x00402d5c 7   8    .text   ascii   B+\b+\t}Z
57   0x00000f7c 0x00402d7c 7   8    .text   ascii   B+\b+\t}[
58   0x00000f9c 0x00402d9c 7   8    .text   ascii   B+\b+\t}\
59   0x00000fc8 0x00402dc8 7   8    .text   ascii   B+\b+\t}]
60   0x00000fe8 0x00402de8 7   8    .text   ascii   B+\b+\t}^
61   0x00001008 0x00402e08 7   8    .text   ascii   B+\b+\t}_
62   0x00001028 0x00402e28 7   8    .text   ascii   B+\b+\t}`
63   0x00001089 0x00402e89 4   5    .text   ascii   T8"\b
64   0x0000110f 0x00402f0f 4   5    .text   ascii   OX~F
65   0x00001123 0x00402f23 4   5    .text   ascii   OXF,
66   0x0000113b 0x00402f3b 4   5    .text   ascii   PX~G
67   0x00001157 0x00402f57 7   8    .text   ascii   PXF,'~`
68   0x00001185 0x00402f85 4   5    .text   ascii   QX~4
69   0x000011b4 0x00402fb4 4   5    .text   ascii   QXF,
70   0x000011bd 0x00402fbd 4   5    .text   ascii   \nz~d
71   0x00001275 0x00403075 4   5    .text   ascii   RX~e
72   0x00001287 0x00403087 5   6    .text   ascii   RXF,,
73   0x0000128f 0x0040308f 4   5    .text   ascii   SX~0
74   0x000012a9 0x004030a9 7   8    .text   ascii   SXF,\t\e,
75   0x000012d0 0x004030d0 5   6    .text   ascii    X (#
76   0x000012fd 0x004030fd 4   5    .text   ascii   (X(\v
77   0x00001314 0x00403114 4   5    .text   ascii   UXF,
78   0x0000132a 0x0040312a 4   5    .text   ascii   VXF,
79   0x0000134f 0x0040314f 4   5    .text   ascii   WXF,
80   0x0000139c 0x0040319c 4   5    .text   ascii   YX~g
81   0x000013b2 0x004031b2 4   5    .text   ascii   YXF9
82   0x0000141c 0x0040321c 4   5    .text   ascii   ZXF,
83   0x0000144f 0x0040324f 4   5    .text   ascii   [XF,
84   0x0000149f 0x0040329f 4   5    .text   ascii   \XF:
85   0x000014b1 0x004032b1 4   5    .text   ascii   ]X~6
86   0x000014d7 0x004032d7 4   5    .text   ascii   ]XF,
87   0x000014f2 0x004032f2 5   6    .text   ascii   ^XF,*
88   0x000014f9 0x004032f9 4   5    .text   ascii   _X~3
89   0x00001508 0x00403308 5   6    .text   ascii   \fXJoS
90   0x00001516 0x00403316 4   5    .text   ascii   _XF,
91   0x0000151f 0x0040331f 4   5    .text   ascii   \nz~d
92   0x000015f8 0x004033f8 4   5    .text   ascii   `XF,
93   0x00001605 0x00403405 4   5    .text   ascii   aX~2
94   0x00001628 0x00403428 4   5    .text   ascii   aXF,
95   0x00001642 0x00403442 4   5    .text   ascii   LX~m
96   0x00001662 0x00403462 4   5    .text   ascii   @X~n
97   0x0000167a 0x0040347a 4   5    .text   ascii   DX~n
98   0x00001692 0x00403492 4   5    .text   ascii   HX~n
99   0x000016b7 0x004034b7 5   6    .text   ascii   bXF,_
100  0x000016e3 0x004034e3 4   5    .text   ascii   cX~2
101  0x000016f7 0x004034f7 4   5    .text   ascii   @XJX
