Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr          size vaddr         vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000      0x0 0x00000000      0x0 ---- 
1   0x00000158     0x20 0x00400158     0x20 -r-- .note.ABI-tag
2   0x00000178     0x18 0x00400178     0x18 -r-x .init
3   0x00000190  0xff7f4 0x00400190  0xff7f4 -r-x .text
4   0x000ff984    0xa0a 0x004ff984    0xa0a -r-x __libc_freeres_fn
5   0x0010038e     0xb7 0x0050038e     0xb7 -r-x __libc_thread_freeres_fn
6   0x00100448      0xe 0x00500448      0xe -r-x .fini
7   0x00100460  0x60a8e 0x00500460  0x60a8e -r-- .rodata
8   0x00160ef0     0x70 0x00560ef0     0x70 -r-- __libc_subfreeres
9   0x00160f60      0x8 0x00560f60      0x8 -r-- __libc_atexit
10  0x00160f68      0x8 0x00560f68      0x8 -r-- __libc_thread_subfreeres
11  0x00160f70  0x25ae4 0x00560f70  0x25ae4 -r-- .eh_frame
12  0x00187000     0x28 0x00687000     0x28 -rw- .tdata
13  0x00187028      0x0 0x00687028     0x38 -rw- .tbss
14  0x00187028     0x10 0x00687028     0x10 -rw- .ctors
15  0x00187038     0x18 0x00687038     0x18 -rw- .dtors
16  0x00187050      0x8 0x00687050      0x8 -rw- .jcr
17  0x00187060    0xcc0 0x00687060    0xcc0 -rw- .data.rel.ro
18  0x00187d20     0xe0 0x00687d20     0xe0 -rw- .got
19  0x00187e00     0x18 0x00687e00     0x18 -rw- .got.plt
20  0x00187e20   0x3408 0x00687e20   0x3408 -rw- .data
21  0x0018b228      0x0 0x0068b240  0x14770 -rw- .bss
22  0x0018b228      0x0 0x0069f9b0     0x58 -rw- __libc_freeres_ptrs
23  0x0018b228   0x2f0a 0x00000000   0x2f0a ---- .comment
24  0x0018e132    0x104 0x00000000    0x104 ---- .shstrtab

[Segments]

nth paddr           size vaddr          vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00000000  0x186a54 0x00400000  0x186a54 -r-x LOAD0
1   0x00187000    0x4228 0x00687000   0x18a08 -rw- LOAD1
2   0x00000158      0x20 0x00400158      0x20 -r-- NOTE
3   0x00187000      0x28 0x00687000      0x60 -r-- TLS
4   0x00000000       0x0 0x00000000       0x0 -rw- GNU_STACK
5   0x00000000      0x40 0x00400000      0x40 -rw- ehdr

[Entrypoints]
vaddr=0x00400190 paddr=0x00000190 haddr=0x00000018 hvaddr=0x00400018 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr bind type lib name
――――――――――――――――――――――――――――

[Symbols]

nth paddr vaddr bind type size lib name
―――――――――――――――――――――――――――――――――――――――
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x00100468 0x00500468 20  21   .rodata ascii   -rdxR218P.)0!jv$%!q~
1    0x0010047d 0x0050047d 6   7    .rodata ascii   |;!=.g
2    0x00100484 0x00500484 5   6    .rodata ascii   Y@GFA
3    0x0010048a 0x0050048a 4   5    .rodata ascii   \aG[\n
4    0x0010048f 0x0050048f 4   5    .rodata ascii   YI^t
5    0x0010049b 0x0050049b 22  23   .rodata ascii   \bA_\v\f\nXY&'b~du>b0+.)(d
6    0x001004b2 0x005004b2 11  12   .rodata ascii   /root/.sess
7    0x001004f4 0x005004f4 4   10   .rodata utf16le @8\t@
8    0x001006f8 0x005006f8 27  28   .rodata ascii   /lib64/ld-linux-x86-64.so.2
9    0x00100787 0x00500787 4   5    .rodata ascii   |fUa
10   0x001014c1 0x005014c1 11  12   .rodata ascii   libpam.so.0
11   0x001014cd 0x005014cd 27  28   .rodata ascii   _ITM_deregisterTMCloneTable
12   0x001014e9 0x005014e9 14  15   .rodata ascii   __gmon_start__
13   0x001014f8 0x005014f8 19  20   .rodata ascii   _Jv_RegisterClasses
14   0x0010150c 0x0050150c 25  26   .rodata ascii   _ITM_registerTMCloneTable
15   0x00101526 0x00501526 16  17   .rodata ascii   pam_open_session
16   0x00101537 0x00501537 17  18   .rodata ascii   pam_close_session
17   0x00101549 0x00501549 12  13   .rodata ascii   pam_set_item
18   0x00101556 0x00501556 11  12   .rodata ascii   pam_setcred
19   0x00101562 0x00501562 9   10   .rodata ascii   pam_start
20   0x0010156c 0x0050156c 12  13   .rodata ascii   pam_strerror
21   0x00101579 0x00501579 13  14   .rodata ascii   pam_acct_mgmt
22   0x00101587 0x00501587 14  15   .rodata ascii   pam_getenvlist
23   0x00101596 0x00501596 7   8    .rodata ascii   pam_end
24   0x0010159e 0x0050159e 15  16   .rodata ascii   libselinux.so.1
25   0x001015ae 0x005015ae 6   7    .rodata ascii   getcon
26   0x001015b5 0x005015b5 5   6    .rodata ascii   _init
27   0x001015bb 0x005015bb 18  19   .rodata ascii   is_selinux_enabled
28   0x001015ce 0x005015ce 19  20   .rodata ascii   security_getenforce
29   0x001015e2 0x005015e2 35  36   .rodata ascii   get_ordered_context_list_with_level
30   0x00101606 0x00501606 19  20   .rodata ascii   security_compute_av
31   0x0010161a 0x0050161a 11  12   .rodata ascii   fgetfilecon
32   0x00101626 0x00501626 7   8    .rodata ascii   freecon
33   0x0010162e 0x0050162e 10  11   .rodata ascii   setexeccon
34   0x00101639 0x00501639 15  16   .rodata ascii   getseuserbyname
35   0x00101649 0x00501649 10  11   .rodata ascii   freeconary
36   0x00101654 0x00501654 5   6    .rodata ascii   _fini
