Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1385 0x0001110b 0x00022d0b 4   5    .data   ascii   Rq@R
1386 0x00011152 0x00022d52 4   5    .data   ascii   1<YX
1387 0x00011163 0x00022d63 4   6    .data   utf8    ߔZ=\t blocks=NKo,Basic Latin
1388 0x0001116b 0x00022d6b 4   5    .data   ascii   N0t~
1389 0x00011176 0x00022d76 5   7    .data   utf8    SQ9gݟ blocks=Basic Latin,Arabic Supplement
1390 0x00011186 0x00022d86 6   9    .data   utf8    RցmG)ǘ blocks=Basic Latin,Armenian,Latin Extended-B
1391 0x0001119b 0x00022d9b 4   5    .data   ascii   `Jy\a
1392 0x000111ae 0x00022dae 4   6    .data   utf8    G>uƜ blocks=Basic Latin,Latin Extended-B
1393 0x000111c0 0x00022dc0 4   5    .data   ascii   RiQ7
1394 0x000111cd 0x00022dcd 4   5    .data   ascii   !PT\b
1395 0x00011201 0x00022e01 4   5    .data   ascii   \n24N
1396 0x0001123b 0x00022e3b 4   6    .data   utf8    5nNn
1397 0x0001126a 0x00022e6a 4   5    .data   ascii   P}Dj
1398 0x000112a7 0x00022ea7 4   5    .data   ascii   b@9{
1399 0x00011300 0x00022f00 5   7    .data   utf8    Ż%ejG blocks=Latin Extended-A,Basic Latin
1400 0x00011332 0x00022f32 5   6    .data   ascii   ;\OY*
1401 0x00011338 0x00022f38 4   5    .data   ascii   \n%;6
1402 0x00011354 0x00022f54 4   5    .data   ascii   NFw:
1403 0x0001136a 0x00022f6a 9   13   .data   utf8    릣a04~P͐$B blocks=Hangul Syllables,Basic Latin,Combining Diacritical Marks
1404 0x000113c9 0x00022fc9 4   5    .data   ascii   ?bmA
1405 0x000113d9 0x00022fd9 4   6    .data   utf8    ٻx-v blocks=Arabic,Basic Latin
1406 0x00011423 0x00023023 4   5    .data   ascii   +)5U
1407 0x000114b2 0x000230b2 4   5    .data   ascii   nEe<
1408 0x000114be 0x000230be 5   6    .data   ascii   w"Ks>
1409 0x000114dc 0x000230dc 4   5    .data   ascii   +&XY
1410 0x0001152c 0x0002312c 5   6    .data   ascii   y[/}g
1411 0x00011551 0x00023151 5   6    .data   ascii   Rv)K|
1412 0x0001155e 0x0002315e 4   5    .data   ascii   \b;\eN
1413 0x00011565 0x00023165 6   8    .data   utf8    ;xו%W6 blocks=Basic Latin,Hebrew
1414 0x0001159d 0x0002319d 4   5    .data   ascii   S KI
1415 0x000115d3 0x000231d3 4   5    .data   ascii   ~"`w
1416 0x000115db 0x000231db 4   6    .data   utf8    Reǖ\t blocks=Basic Latin,Latin Extended-B
1417 0x00011624 0x00023224 4   5    .data   ascii   mV(\a
1418 0x000116a3 0x000232a3 6   8    .data   utf8    KqUȁ\b, blocks=Basic Latin,Latin Extended-B
1419 0x000116c8 0x000232c8 6   7    .data   ascii   99P&[C
1420 0x0001172e 0x0002332e 6   8    .data   utf8    zHX<:U
1421 0x0001173d 0x0002333d 5   6    .data   ascii   \t#f%4
1422 0x00011749 0x00023349 4   5    .data   ascii   >AFg
1423 0x00011778 0x00023378 4   5    .data   ascii   [PKW
1424 0x000117ac 0x000233ac 7   9    .data   utf8    KUygշ\bX blocks=Basic Latin,Armenian
1425 0x000117c0 0x000233c0 4   6    .data   utf8    ̇_bH blocks=Combining Diacritical Marks,Basic Latin
1426 0x00011834 0x00023434 4   5    .data   ascii   \v5cH
1427 0x0001189c 0x0002349c 4   5    .data   ascii   \nUE\e
1428 0x000118ec 0x000234ec 5   7    .data   utf8    G_EƅF blocks=Basic Latin,Latin Extended-B
1429 0x0001193f 0x0002353f 6   7    .data   ascii   P\a\eHVV
1430 0x000119a2 0x000235a2 4   5    .data   ascii   &9ap
1431 0x000119e1 0x000235e1 5   6    .data   ascii   e9vJO
1432 0x00011a28 0x00023628 5   7    .data   utf8    x6rGּ blocks=Basic Latin,Hebrew
1433 0x00011a76 0x00023676 5   6    .data   ascii   HQIko
1434 0x00011aa3 0x000236a3 5   6    .data   ascii   qrG7 
1435 0x00011aa9 0x000236a9 9   10   .data   ascii   1\xo+;+[q
1436 0x00011ab4 0x000236b4 4   5    .data   ascii   hf4Q
1437 0x00011b07 0x00023707 4   5    .data   ascii   w]n 
1438 0x00011b37 0x00023737 4   5    .data   ascii   _<o+
1439 0x00011b83 0x00023783 5   7    .data   utf8    m\r^ԳV blocks=Basic Latin,Armenian
1440 0x00011bcc 0x000237cc 8   9    .data   ascii   \b`ltBw~U
1441 0x00011bfc 0x000237fc 4   5    .data   ascii   ~<i~
1442 0x00011c16 0x00023816 5   6    .data   ascii   dRz6q
1443 0x00011c3e 0x0002383e 4   5    .data   ascii   Bm{\b
1444 0x00011c48 0x00023848 5   6    .data   ascii   G`\blZ
1445 0x00011c5b 0x0002385b 4   5    .data   ascii   pnyI
1446 0x00011c6e 0x0002386e 7   8    .data   ascii   Kk5S?bb
1447 0x00011cb4 0x000238b4 6   8    .data   utf8    `\nޣ=d5 blocks=Basic Latin,Thaana
1448 0x00011cdd 0x000238dd 4   5    .data   ascii   F]\tA
1449 0x00011cfe 0x000238fe 5   7    .data   utf8    8mЗJ2 blocks=Basic Latin,Cyrillic
1450 0x00011d16 0x00023916 4   5    .data   ascii   >W;"
1451 0x00011d3a 0x0002393a 4   5    .data   ascii   {JFU
1452 0x00011d49 0x00023949 5   6    .data   ascii   ^\vmH{
1453 0x00011d72 0x00023972 4   5    .data   ascii   ICC%
1454 0x00011d8e 0x0002398e 6   7    .data   ascii   Oqq\vaH
1455 0x00011d9d 0x0002399d 4   5    .data   ascii   .S Q
1456 0x00011da6 0x000239a6 4   6    .data   utf8    è Ga blocks=Latin-1 Supplement,Basic Latin
1457 0x00011dc8 0x000239c8 6   7    .data   ascii   e*WL;q
1458 0x00011dd2 0x000239d2 4   6    .data   utf8    K3oʑ blocks=Basic Latin,IPA Extensions
1459 0x00011e18 0x00023a18 4   5    .data   ascii   =Z\{
1460 0x00011e48 0x00023a48 8   9    .data   ascii   ce\ns=1TE
1461 0x00011e56 0x00023a56 6   7    .data   ascii   TE\am# 
1462 0x00011e5f 0x00023a5f 4   5    .data   ascii   rS~?
1463 0x00011e81 0x00023a81 4   5    .data   ascii   b2o8
1464 0x00011ea8 0x00023aa8 4   7    .data   utf8    t쓷BS blocks=Basic Latin,Hangul Syllables
1465 0x00011ebe 0x00023abe 5   7    .data   utf8    #Ǐ\v-6 blocks=Basic Latin,Latin Extended-B
1466 0x00011ed1 0x00023ad1 4   7    .data   utf8    A|o壏 blocks=Basic Latin,CJK Unified Ideographs
1467 0x00011f2e 0x00023b2e 4   5    .data   ascii   {\e;5
1468 0x00011f5f 0x00023b5f 6   7    .data   ascii   Kx.~1C
1469 0x00011f67 0x00023b67 7   8    .data   ascii   <!SH*lQ
1470 0x00011f9a 0x00023b9a 6   7    .data   ascii   uEI]2\v
1471 0x00011fda 0x00023bda 5   6    .data   ascii   la$8#
1472 0x00012005 0x00023c05 6   7    .data   ascii   7CQO'+
1473 0x00012013 0x00023c13 4   7    .data   utf8    \at㢓b blocks=Basic Latin,CJK Unified Ideographs Extension A
1474 0x00012020 0x00023c20 5   9    .data   utf8    ^-꺑҆~ blocks=Basic Latin,Hangul Syllables,Cyrillic
1475 0x0001209b 0x00023c9b 4   5    .data   ascii   -:OC
1476 0x000120c9 0x00023cc9 5   6    .data   ascii   \b\b"\t1
1477 0x000120da 0x00023cda 4   5    .data   ascii   NxR`
1478 0x0001212a 0x00023d2a 4   5    .data   ascii   }Gvu
1479 0x0001215c 0x00023d5c 6   7    .data   ascii   ?P=qJ~
1480 0x00012192 0x00023d92 4   7    .data   utf8    ᦘC+@ blocks=New Tai Lue,Basic Latin
1481 0x000121b8 0x00023db8 4   6    .data   utf8    jE~Ƒ blocks=Basic Latin,Latin Extended-B
1482 0x0001223d 0x00023e3d 4   5    .data   ascii   Sv{&
1483 0x0001227f 0x00023e7f 4   6    .data   utf8    ˻8"< blocks=Spacing Modifier Letters,Basic Latin
1484 0x00012293 0x00023e93 5   6    .data   ascii   (Dq]\b
1485 0x000122c1 0x00023ec1 4   5    .data   ascii   }.:\r
1486 0x0001236f 0x00023f6f 5   6    .data   ascii   sa=z6
1487 0x000123dd 0x00023fdd 4   5    .data   ascii   M(KV
1488 0x00012451 0x00024051 4   6    .data   utf8    {,Vׁ blocks=Basic Latin,Hebrew
1489 0x00012489 0x00024089 4   5    .data   ascii   :&ty
1490 0x000124b9 0x000240b9 6   7    .data   ascii   Cwf}eG
1491 0x000124c1 0x000240c1 6   7    .data   ascii   yat85<
1492 0x0001250a 0x0002410a 4   5    .data   ascii   O]mh
1493 0x00012550 0x00024150 4   5    .data   ascii   i\vPa
1494 0x000125b1 0x000241b1 4   5    .data   ascii   d|i0
1495 0x00012612 0x00024212 4   5    .data   ascii   q }^
1496 0x0001263a 0x0002423a 4   5    .data   ascii   FpVk
1497 0x0001266a 0x0002426a 4   5    .data   ascii   \bm5o
1498 0x0001267f 0x0002427f 5   7    .data   utf8    ހ&E\t$ blocks=Thaana,Basic Latin
1499 0x00012686 0x00024286 4   5    .data   ascii   1|PA
1500 0x00012699 0x00024299 4   7    .data   utf8    c۾هv blocks=Basic Latin,Arabic
1501 0x000126a5 0x000242a5 4   7    .data   utf8    Ωʕ7^ blocks=Greek and Coptic,IPA Extensions,Basic Latin
1502 0x000126b7 0x000242b7 5   6    .data   ascii   Lc/\bT
1503 0x0001270e 0x0002430e 5   6    .data   ascii   ^juOI
1504 0x0001271a 0x0002431a 5   6    .data   ascii   '\f^VC
1505 0x0001276c 0x0002436c 4   5    .data   ascii   Vgdo
1506 0x000127a5 0x000243a5 4   5    .data   ascii   \nPrX
1507 0x000127bb 0x000243bb 4   5    .data   ascii   ;\vh{
1508 0x000127dc 0x000243dc 4   5    .data   ascii   5B$&
1509 0x000127e3 0x000243e3 7   8    .data   ascii   \b%\v:>M\v
1510 0x000127f1 0x000243f1 4   6    .data   utf8    nvϐY blocks=Basic Latin,Greek and Coptic
1511 0x0001283c 0x0002443c 4   5    .data   ascii   nhz<
1512 0x00012864 0x00024464 4   6    .data   utf8    *\n|ق blocks=Basic Latin,Arabic
1513 0x0001287c 0x0002447c 4   5    .data   ascii   -\$)
1514 0x0001288d 0x0002448d 5   7    .data   utf8    ++\aVа blocks=Basic Latin,Cyrillic
1515 0x000128d5 0x000244d5 4   5    .data   ascii   q=\\n
1516 0x000128fd 0x000244fd 4   5    .data   ascii   H. =
1517 0x00012954 0x00024554 4   6    .data   utf8    *Iڷ_ blocks=Basic Latin,Arabic
1518 0x0001299a 0x0002459a 4   5    .data   ascii   2||W
1519 0x000129d5 0x000245d5 4   5    .data   ascii   mXx;
1520 0x00012a3d 0x0002463d 4   5    .data   ascii   <Nt&
1521 0x00012a45 0x00024645 8   9    .data   ascii   OV|~\bAqw
1522 0x00012a7c 0x0002467c 6   8    .data   utf8     ו@5I' blocks=Basic Latin,Hebrew
1523 0x00012a8b 0x0002468b 5   6    .data   ascii   \dC==
1524 0x00012aab 0x000246ab 5   7    .data   utf8    hc1ӜQ blocks=Basic Latin,Cyrillic
1525 0x00012ac8 0x000246c8 4   6    .data   utf8    h<ϣ+ blocks=Basic Latin,Greek and Coptic
1526 0x00012b1e 0x0002471e 5   6    .data   ascii   [q.5<
1527 0x00012b57 0x00024757 4   5    .data   ascii   hH\v\n
1528 0x00012b65 0x00024765 4   5    .data   ascii   C\exT
1529 0x00012bb0 0x000247b0 4   5    .data   ascii   :~c~
1530 0x00012c29 0x00024829 4   5    .data   ascii   d!F^
1531 0x00012c78 0x00024878 4   5    .data   ascii   \au^\t
1532 0x00012c7e 0x0002487e 4   5    .data   ascii   *@Cc
1533 0x00012c88 0x00024888 4   5    .data   ascii   |k76
1534 0x00012cb3 0x000248b3 5   6    .data   ascii   IfJ\aX
1535 0x00012d57 0x00024957 4   5    .data   ascii   oNX_
1536 0x00012d62 0x00024962 5   7    .data   utf8    )y#ڋ[ blocks=Basic Latin,Arabic
1537 0x00012dcc 0x000249cc 4   5    .data   ascii   6>:H
1538 0x00012def 0x000249ef 4   5    .data   ascii   (6K|
1539 0x00012e2b 0x00024a2b 5   7    .data   utf8    ߬L?^r blocks=NKo,Basic Latin
1540 0x00012ea8 0x00024aa8 6   8    .data   utf8    E-Cy;,
1541 0x00012ecd 0x00024acd 8   9    .data   ascii   tW#Z)#2P
1542 0x00012edc 0x00024adc 5   7    .data   utf8    ÌjC + blocks=Latin-1 Supplement,Basic Latin
1543 0x00012f0b 0x00024b0b 6   7    .data   ascii   MT,`|F
1544 0x00012f20 0x00024b20 4   5    .data   ascii   IR\bo
1545 0x00012f47 0x00024b47 6   8    .data   utf8    r)`҂=\b blocks=Basic Latin,Cyrillic
1546 0x00012f51 0x00024b51 4   6    .data   utf8    KيA< blocks=Basic Latin,Arabic
1547 0x00012f6b 0x00024b6b 4   5    .data   ascii   \v-2W
1548 0x00012f81 0x00024b81 5   7    .data   utf8    [CMJ܄ blocks=Basic Latin,Syriac
1549 0x00012ff5 0x00024bf5 4   6    .data   utf8    +5eç blocks=Basic Latin,Latin-1 Supplement
1550 0x00013019 0x00024c19 4   5    .data   ascii   vXV8
1551 0x00013033 0x00024c33 6   8    .data   utf8    A8!`7ߩ blocks=Basic Latin,NKo
1552 0x00013068 0x00024c68 4   5    .data   ascii   \nbOy
1553 0x000130bf 0x00024cbf 4   5    .data   ascii   f\e)\v
1554 0x000130df 0x00024cdf 7   8    .data   ascii   +\eqLk.;
1555 0x000132a8 0x00024ea8 6   7    .data   ascii   t#{\aSV
1556 0x000132d3 0x00024ed3 6   7    .data   ascii   dj:m@-
1557 0x0001330f 0x00024f0f 7   10   .data   utf8    FJ.\rƼmݹ blocks=Basic Latin,Latin Extended-B,Arabic Supplement
1558 0x00013345 0x00024f45 7   10   .data   utf8    +y힍\fczL blocks=Basic Latin,Hangul Syllables
1559 0x0001336d 0x00024f6d 4   5    .data   ascii   \r\Ez
1560 0x0001339b 0x00024f9b 5   6    .data   ascii   _\t~\a6
1561 0x000133f2 0x00024ff2 7   8    .data   ascii   \vMHU@fQ
1562 0x00013453 0x00025053 4   5    .data   ascii   y173
1563 0x000134a8 0x000250a8 4   5    .data   ascii   E\b^A
1564 0x000134fd 0x000250fd 4   5    .data   ascii   ^#lP
1565 0x0001352d 0x0002512d 6   7    .data   ascii   "#u5[[
1566 0x00013563 0x00025163 4   6    .data   utf8    J_,\
1567 0x0001356c 0x0002516c 4   5    .data   ascii   Q*`g
1568 0x00013605 0x00025205 5   6    .data   ascii   R=-$T
1569 0x0001364c 0x0002524c 5   6    .data   ascii   \n0\vB^
1570 0x00013664 0x00025264 4   5    .data   ascii   CJ6O
1571 0x00013673 0x00025273 4   5    .data   ascii   9OLp
1572 0x00013718 0x00025318 4   8    .data   utf8    e%ͺ䛦 blocks=Basic Latin,Greek and Coptic,CJK Unified Ideographs Extension A
1573 0x0001372c 0x0002532c 5   6    .data   ascii   is\rni
1574 0x00013787 0x00025387 5   6    .data   ascii   O\tF\r\
1575 0x00013792 0x00025392 4   5    .data   ascii   \ny&~
1576 0x0001379e 0x0002539e 5   6    .data   ascii   %t|sf
1577 0x000137ab 0x000253ab 4   5    .data   ascii   ~E,$
1578 0x000137d1 0x000253d1 4   6    .data   utf8    eO˨0 blocks=Basic Latin,Spacing Modifier Letters
1579 0x000137ee 0x000253ee 6   7    .data   ascii   `h>Pz{
1580 0x00013800 0x00025400 4   5    .data   ascii   B\Bv
1581 0x00013837 0x00025437 4   6    .data   utf8    mͣ!Q blocks=Basic Latin,Combining Diacritical Marks
1582 0x0001391d 0x0002551d 4   5    .data   ascii   <Rv]
1583 0x00013937 0x00025537 4   5    .data   ascii   \b\a}\e
1584 0x00013958 0x00025558 4   5    .data   ascii   9g;H
1585 0x00013966 0x00025566 4   5    .data   ascii   q=#\t
1586 0x0001396b 0x0002556b 4   5    .data   ascii   jnI;
1587 0x00013973 0x00025573 4   5    .data   ascii   nI\vR
1588 0x00013984 0x00025584 4   5    .data   ascii   (yFr
1589 0x00013999 0x00025599 4   5    .data   ascii   cr}.
1590 0x000139a3 0x000255a3 5   8    .data   utf8    {sNȵӛ blocks=Basic Latin,Latin Extended-B,Cyrillic
1591 0x000139c1 0x000255c1 5   6    .data   ascii   g\b}H*
1592 0x000139fd 0x000255fd 5   6    .data   ascii   6nj\f2
1593 0x00013a35 0x00025635 7   9    .data   utf8    rЯ7/raO blocks=Basic Latin,Cyrillic
1594 0x00013a7f 0x0002567f 4   5    .data   ascii   o\r]q
1595 0x00013a9c 0x0002569c 4   5    .data   ascii   #a{I
1596 0x00013ad5 0x000256d5 4   5    .data   ascii   @0D%
1597 0x00013aeb 0x000256eb 4   5    .data   ascii   zX:a
1598 0x00013bb2 0x000257b2 4   5    .data   ascii   ;O3'
1599 0x00013bdb 0x000257db 7   8    .data   ascii   #\vbE{{
1600 0x00013c04 0x00025804 4   5    .data   ascii   r9+)
1601 0x00013c1e 0x0002581e 5   6    .data   ascii   V"/q\
1602 0x00013c56 0x00025856 4   5    .data   ascii   1^Q(
1603 0x00013cd9 0x000258d9 7   10   .data   utf8    㫐\eHcrx; blocks=CJK Unified Ideographs Extension A,Basic Latin
1604 0x00013ce4 0x000258e4 4   5    .data   ascii   waJ\
1605 0x00013d4a 0x0002594a 4   6    .data   utf8    1ۨ\r! blocks=Basic Latin,Arabic
1606 0x00013d79 0x00025979 4   6    .data   utf8    sBĬ# blocks=Basic Latin,Latin Extended-A
1607 0x00013dba 0x000259ba 4   5    .data   ascii   o\ek2
1608 0x00013dd6 0x000259d6 4   6    .data   utf8    z6}ʂ blocks=Basic Latin,IPA Extensions
1609 0x00013dfa 0x000259fa 4   5    .data   ascii   .Kre
1610 0x00013e06 0x00025a06 7   9    .data   utf8    KD\a!ΥqP blocks=Basic Latin,Greek and Coptic
1611 0x00013e19 0x00025a19 4   5    .data   ascii   cUhS
1612 0x00013e53 0x00025a53 4   5    .data   ascii   ~;8x
1613 0x00013e90 0x00025a90 4   8    .data   utf8    ǪR8 blocks=Latin Extended-B,Private Use Area,Basic Latin
1614 0x00013ea8 0x00025aa8 4   5    .data   ascii   }0V+
1615 0x00013ef5 0x00025af5 5   6    .data   ascii   8:nrl
1616 0x00013f1c 0x00025b1c 5   6    .data   ascii   uB5^C
1617 0x00013f43 0x00025b43 5   6    .data   ascii   p0r@B
1618 0x00013f5b 0x00025b5b 4   6    .data   utf8    ȃ}H3 blocks=Latin Extended-B,Basic Latin
1619 0x00013f6b 0x00025b6b 4   5    .data   ascii   *+y\b
1620 0x00013fb9 0x00025bb9 4   5    .data   ascii   sO6-
1621 0x00014076 0x00025c76 4   5    .data   ascii   G!;\b
1622 0x0001407c 0x00025c7c 4   6    .data   utf8    ^npǕ blocks=Basic Latin,Latin Extended-B
1623 0x000140a8 0x00025ca8 4   5    .data   ascii   L`;@
1624 0x000140de 0x00025cde 6   7    .data   ascii   d\t}m\rL
1625 0x00014114 0x00025d14 4   5    .data   ascii   nmh1
1626 0x00014132 0x00025d32 5   7    .data   utf8    Qά5\br blocks=Basic Latin,Greek and Coptic
1627 0x0001416d 0x00025d6d 4   5    .data   ascii   U!P=
1628 0x00014210 0x00025e10 4   5    .data   ascii   ~D$G
1629 0x00014228 0x00025e28 4   5    .data   ascii   ":?\r
1630 0x0001424a 0x00025e4a 4   7    .data   utf8    ׄٺy& blocks=Hebrew,Arabic,Basic Latin
1631 0x00014268 0x00025e68 7   8    .data   ascii   )8Q{?^j
1632 0x0001427b 0x00025e7b 10  13   .data   utf8    V1\vzqϹKѣW% blocks=Basic Latin,Greek and Coptic,Cyrillic
1633 0x000142d9 0x00025ed9 4   6    .data   utf8    #qĚ6 blocks=Basic Latin,Latin Extended-A
1634 0x000142fd 0x00025efd 4   5    .data   ascii   \rd>L
1635 0x000143a6 0x00025fa6 4   5    .data   ascii   @qZN
1636 0x000143f0 0x00025ff0 12  16   .data   utf8    ui(Ti`٫Tqđua blocks=Basic Latin,Arabic,Latin Extended-A
1637 0x0001440b 0x0002600b 4   5    .data   ascii   mAPq
1638 0x00014410 0x00026010 4   5    .data   ascii   R{QA
1639 0x00014444 0x00026044 4   5    .data   ascii   \bZ>i
1640 0x00014452 0x00026052 4   7    .data   utf8    kaٲï blocks=Basic Latin,Arabic,Latin-1 Supplement
1641 0x000144bd 0x000260bd 4   5    .data   ascii   ^S\f.
1642 0x0001451b 0x0002611b 4   5    .data   ascii   g$w.
1643 0x00014523 0x00026123 4   6    .data   utf8    Ľ3oL blocks=Latin Extended-A,Basic Latin
1644 0x00014550 0x00026150 5   7    .data   utf8    <4+ܮV blocks=Basic Latin,Syriac
1645 0x00014562 0x00026162 4   5    .data   ascii   :394
1646 0x00014576 0x00026176 4   5    .data   ascii   4idm
1647 0x00014594 0x00026194 4   6    .data   utf8    5qÁ8 blocks=Basic Latin,Latin-1 Supplement
1648 0x000145b9 0x000261b9 4   5    .data   ascii   UBXD
1649 0x0001461f 0x0002621f 4   5    .data   ascii   &0b-
1650 0x0001464c 0x0002624c 4   5    .data   ascii   oF\nq
1651 0x0001465f 0x0002625f 4   5    .data   ascii   Fi\ar
1652 0x00014664 0x00026264 4   5    .data   ascii   -3qS
1653 0x00014699 0x00026299 5   6    .data   ascii   H$a\tG
1654 0x0001470f 0x0002630f 4   5    .data   ascii   >|y4
1655 0x00014748 0x00026348 5   7    .data   utf8    <Ɵn>< blocks=Basic Latin,Latin Extended-B
1656 0x00014777 0x00026377 6   8    .data   utf8    lqG۫}l blocks=Basic Latin,Arabic
1657 0x000147dd 0x000263dd 4   5    .data   ascii   5]\rP
1658 0x00014826 0x00026426 5   6    .data   ascii   o.ul(
1659 0x00014884 0x00026484 4   5    .data   ascii   |W-\a
1660 0x000148c6 0x000264c6 4   6    .data   utf8    ۬}`P blocks=Arabic,Basic Latin
1661 0x000148ea 0x000264ea 4   5    .data   ascii   Au) 
1662 0x0001495b 0x0002655b 4   5    .data   ascii   {r$m
1663 0x00014967 0x00026567 4   5    .data   ascii   =MpU
1664 0x000149a2 0x000265a2 4   7    .data   utf8    )w캍0 blocks=Basic Latin,Hangul Syllables
1665 0x000149c9 0x000265c9 4   5    .data   ascii   !'bp
1666 0x00014a0c 0x0002660c 5   6    .data   ascii   l}xt3
1667 0x00014a6f 0x0002666f 5   6    .data   ascii   V)\a\v?
1668 0x00014a90 0x00026690 6   7    .data   ascii   Y8_lLz
1669 0x00014a9e 0x0002669e 4   6    .data   utf8    ŷ@.: blocks=Latin Extended-A,Basic Latin
1670 0x00014aa7 0x000266a7 4   5    .data   ascii   a8\f.
1671 0x00014ab9 0x000266b9 4   5    .data   ascii   'M`O
1672 0x00014adc 0x000266dc 4   5    .data   ascii   "u+q
1673 0x00014afd 0x000266fd 4   5    .data   ascii   \a\b;+
1674 0x00014b34 0x00026734 4   5    .data   ascii   \f0ZX
1675 0x00014b3e 0x0002673e 6   8    .data   utf8    ю\bS>/t blocks=Cyrillic,Basic Latin
1676 0x00014b46 0x00026746 4   6    .data   utf8    B|f$
1677 0x00014b84 0x00026784 5   7    .data   utf8    ,taQr
1678 0x00014bc4 0x000267c4 4   7    .data   utf8    *RB驃 blocks=Basic Latin,CJK Unified Ideographs
1679 0x00014c07 0x00026807 6   7    .data   ascii   >r@Q2!
1680 0x00014c14 0x00026814 4   7    .data   utf8    ȇK8O blocks=Latin Extended-B,Basic Latin
1681 0x00014c21 0x00026821 4   6    .data   utf8    XK{֤ blocks=Basic Latin,Hebrew
1682 0x00014c43 0x00026843 15  16   .data   ascii   7XSgS+2 \a\a\anEh-
1683 0x00014c56 0x00026856 4   5    .data   ascii   6)T;
1684 0x00014cda 0x000268da 6   7    .data   ascii   {RTG#Z
1685 0x00014d32 0x00026932 8   9    .data   ascii   6mL8KHEc
1686 0x00014db5 0x000269b5 4   5    .data   ascii   +'%:
1687 0x00014df3 0x000269f3 8   10   .data   utf8    dS3KGޚF+ blocks=Basic Latin,Thaana
1688 0x00014e4d 0x00026a4d 4   5    .data   ascii   iOFe
1689 0x00014eca 0x00026aca 4   5    .data   ascii   %Dh-
1690 0x00014fd1 0x00026bd1 4   5    .data   ascii   PS|!
1691 0x00014ff7 0x00026bf7 4   6    .data   utf8    F˷#\b blocks=Basic Latin,Spacing Modifier Letters
1692 0x00015021 0x00026c21 4   5    .data   ascii   \a^q>
1693 0x000150a4 0x00026ca4 5   6    .data   ascii   v-\nJG
1694 0x00015113 0x00026d13 4   5    .data   ascii   gm$w
1695 0x00015137 0x00026d37 4   5    .data   ascii   )<,?
1696 0x0001515a 0x00026d5a 5   6    .data   ascii   ;3\ax_
1697 0x0001517b 0x00026d7b 4   5    .data   ascii   6(f*
1698 0x000151bb 0x00026dbb 4   5    .data   ascii   \e5GQ
1699 0x000151cc 0x00026dcc 6   8    .data   utf8    pDϳp`\ blocks=Basic Latin,Greek and Coptic
1700 0x000151fa 0x00026dfa 5   7    .data   utf8    @\n8Ǩ_ blocks=Basic Latin,Latin Extended-B
1701 0x00015281 0x00026e81 4   5    .data   ascii   %7kW
1702 0x000152d6 0x00026ed6 8   9    .data   ascii   $JN6B%Qw
1703 0x000152ef 0x00026eef 6   8    .data   utf8    Ϩe^0Bf blocks=Greek and Coptic,Basic Latin
1704 0x000152fb 0x00026efb 4   5    .data   ascii   `ugO
1705 0x00015303 0x00026f03 4   6    .data   utf8    ͟s+1 blocks=Combining Diacritical Marks,Basic Latin
1706 0x0001536d 0x00026f6d 4   5    .data   ascii   [q8#
1707 0x0001538f 0x00026f8f 7   8    .data   ascii   W%uj)\n2
1708 0x000153bb 0x00026fbb 9   12   .data   utf8    Cޜ=T(1Sˢ\a blocks=Basic Latin,Thaana,Spacing Modifier Letters
1709 0x000153c9 0x00026fc9 4   5    .data   ascii   J^'F
1710 0x000153dd 0x00026fdd 4   5    .data   ascii   2,j\b
1711 0x00015429 0x00027029 5   6    .data   ascii   /Go4a
1712 0x00015452 0x00027052 8   12   .data   utf8    Z̋U贙qc)S blocks=Basic Latin,Combining Diacritical Marks,CJK Unified Ideographs
1713 0x000154c1 0x000270c1 4   7    .data   utf8    r^B blocks=Basic Latin,Private Use Area
1714 0x000154d9 0x000270d9 4   5    .data   ascii   +w\tH
1715 0x000154e4 0x000270e4 4   5    .data   ascii   )\aMy
1716 0x0001550b 0x0002710b 4   5    .data   ascii   V+-B
1717 0x00015531 0x00027131 5   6    .data   ascii   F+U1X
1718 0x00015575 0x00027175 6   8    .data   utf8    x\n4-jä blocks=Basic Latin,Latin-1 Supplement
1719 0x00015585 0x00027185 4   5    .data   ascii   A2,\e
1720 0x000155dc 0x000271dc 4   5    .data   ascii   z6(!
1721 0x000155e1 0x000271e1 6   7    .data   ascii   wdH.Z?
1722 0x000155f6 0x000271f6 5   6    .data   ascii   $5X.s
1723 0x00015602 0x00027202 5   8    .data   utf8    U뿯X,% blocks=Basic Latin,Hangul Syllables
1724 0x00015635 0x00027235 4   5    .data   ascii   E7Oh
1725 0x000156b4 0x000272b4 6   7    .data   ascii   3~p\v@f
1726 0x000156cb 0x000272cb 5   6    .data   ascii   XD$.\r
1727 0x000156d1 0x000272d1 4   5    .data   ascii   =<{U
1728 0x000156d8 0x000272d8 4   5    .data   ascii   \v}=f
1729 0x00015717 0x00027317 4   5    .data   ascii   J@"[
1730 0x0001571e 0x0002731e 11  13   .data   utf8    ҅\v5~|$qd1'r blocks=Cyrillic,Basic Latin
1731 0x0001572b 0x0002732b 5   7    .data   utf8    x\b)5|
1732 0x00015746 0x00027346 4   5    .data   ascii   *.Vs
1733 0x00015769 0x00027369 4   8    .data   utf8    PþQ~ blocks=Basic Latin,Latin-1 Supplement
