Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000c7 0x000000c7 5   6            ascii   ]",{]
2    0x00000117 0x00000117 5   6            ascii   ]Rich
3    0x00000228 0x00000228 5   6            ascii   .text
4    0x0000024f 0x0000024f 7   8            ascii   `.rdata
5    0x00000277 0x00000277 6   7            ascii   @.data
6    0x000002a0 0x000002a0 5   6            ascii   .rsrc
7    0x000002c7 0x000002c7 7   8            ascii   @.reloc
8    0x00001159 0x00401d59 5   6    .text   ascii   ;M\bu*
9    0x000012f7 0x00401ef7 4   5    .text   ascii   \f\b;\f
10   0x00001439 0x00402039 4   9    .text   utf16le jjjj
11   0x00001455 0x00402055 4   5    .text   ascii   2jTj
12   0x0000161d 0x0040221d 4   9    .text   utf16le jjjj
13   0x000017a3 0x004023a3 7   8    .text   ascii   U\b9B\bu\a
14   0x000017b5 0x004023b5 5   6    .text   ascii   H\bQj\
15   0x000018a6 0x004024a6 4   6    .text   utf8    PhėA blocks=Basic Latin,Latin Extended-A
16   0x00001a12 0x00402612 7   8    .text   ascii   M\b9A\bu\n
17   0x00001a70 0x00402670 5   6    .text   ascii   B\bPj\
18   0x00001adb 0x004026db 4   5    .text   ascii   B\bPj
19   0x00001d94 0x00402994 4   6    .text   utf8    \b3ʋU blocks=Basic Latin,IPA Extensions
20   0x00001dcb 0x004029cb 5   6    .text   ascii   ;Q\fs(
21   0x00001deb 0x004029eb 4   6    .text   utf8    \b3ʋU blocks=Basic Latin,IPA Extensions
22   0x00001eda 0x00402ada 4   5    .text   ascii   E\bPh
23   0x000020e3 0x00402ce3 4   5    .text   ascii   jdht
24   0x00002177 0x00402d77 4   5    .text   ascii   D\nPP
25   0x000021ac 0x00402dac 4   5    .text   ascii   4Phh
26   0x000022fe 0x00402efe 4   6    .text   utf8    Eذ$@ blocks=Basic Latin,Arabic
27   0x000023ff 0x00402fff 4   6    .text   utf8    RhėA blocks=Basic Latin,Latin Extended-A
28   0x00002632 0x00403232 4   5    .text   ascii   hp&@
29   0x000026b6 0x004032b6 4   5    .text   ascii   jdht
30   0x00002aa4 0x004036a4 4   5    .text   ascii   jdht
31   0x00002bbd 0x004037bd 4   5    .text   ascii   :u3f
32   0x00002c2f 0x0040382f 4   5    .text   ascii   uBj\n
