Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
139  0x000017f3 0x004bb3f3 4   5    ...._1  ascii   =hsO
140  0x00001805 0x004bb405 4   5    ...._1  ascii   hhsO
141  0x00001833 0x004bb433 6   7    ...._1  ascii   ~6hdrO
142  0x00001843 0x004bb443 4   5    ...._1  ascii   =drO
143  0x00001858 0x004bb458 4   5    ...._1  ascii   hdrO
144  0x000018a3 0x004bb4a3 6   7    ...._1  ascii   ~#h@rO
145  0x000018b3 0x004bb4b3 4   5    ...._1  ascii   =@rO
146  0x000018b9 0x004bb4b9 6   7    ...._1  ascii   u\rh@rO
147  0x000018f3 0x004bb4f3 6   7    ...._1  ascii   ~#hxrO
148  0x00001903 0x004bb503 4   5    ...._1  ascii   =xrO
149  0x00001909 0x004bb509 6   7    ...._1  ascii   u\rhxrO
150  0x00001943 0x004bb543 6   7    ...._1  ascii   ~!hxrO
151  0x00001953 0x004bb553 4   5    ...._1  ascii   =xrO
152  0x00001959 0x004bb559 6   7    ...._1  ascii   u\vhxrO
153  0x00001983 0x004bb583 6   7    ...._1  ascii   ~!hxrO
154  0x00001993 0x004bb593 4   5    ...._1  ascii   =xrO
155  0x00001999 0x004bb599 6   7    ...._1  ascii   u\vhxrO
156  0x000019c3 0x004bb5c3 6   7    ...._1  ascii   ~!hxrO
157  0x000019d3 0x004bb5d3 4   5    ...._1  ascii   =xrO
158  0x000019d9 0x004bb5d9 6   7    ...._1  ascii   u\vhxrO
159  0x00001a03 0x004bb603 6   7    ...._1  ascii   ~!hxrO
160  0x00001a13 0x004bb613 4   5    ...._1  ascii   =xrO
161  0x00001a19 0x004bb619 6   7    ...._1  ascii   u\vhxrO
162  0x00001a93 0x004bb693 4   5    ...._1  ascii   h\b`O
163  0x00001ae4 0x004bb6e4 4   6    ...._1  utf8    Y_^ù blocks=Basic Latin,Latin-1 Supplement
164  0x00001b5b 0x004bb75b 4   5    ...._1  ascii   hd&L
165  0x00001b92 0x004bb792 4   5    ...._1  ascii   h@hO
166  0x00001b9e 0x004bb79e 4   5    ...._1  ascii   hxqO
167  0x00001cb9 0x004bb8b9 4   5    ...._1  ascii   r\t@P
168  0x00001d0b 0x004bb90b 5   6    ...._1  ascii   t\vWSV
169  0x00001d68 0x004bb968 4   6    ...._1  utf8    s +C
170  0x00001e02 0x004bba02 4   5    ...._1  ascii   M\fQj
171  0x00001ee0 0x004bbae0 5   7    ...._1  utf8    ^]Ë}\f blocks=Basic Latin,Latin-1 Supplement
