Error parsing resource directory
[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
2938 0x0005056f 0x0050a16f 5   8    ...._1  utf8    E\tMĉM blocks=Basic Latin,Latin Extended-A
2939 0x0005057f 0x0050a17f 4   6    ...._1  utf8    W\vA 
2940 0x00050631 0x0050a231 4   6    ...._1  utf8    W\vA\b
2941 0x00050638 0x0050a238 6   9    ...._1  utf8    EĉEċA\f blocks=Basic Latin,Latin Extended-A
2942 0x0005064e 0x0050a24e 5   8    ...._1  utf8    EԉEЋA blocks=Basic Latin,Cyrillic Supplement,Cyrillic
2943 0x0005067c 0x0050a27c 5   7    ...._1  utf8    E؋A(f blocks=Basic Latin,Arabic
2944 0x0005069c 0x0050a29c 5   8    ...._1  utf8    E܉E\rE blocks=Basic Latin,Syriac
2945 0x000506d5 0x0050a2d5 5   6    ...._1  ascii   ~\bOu\a
2946 0x00050715 0x0050a315 4   5    ...._1  ascii   h6PK
2947 0x00050720 0x0050a320 4   5    ...._1  ascii   PSVW
2948 0x00050761 0x0050a361 5   6    ...._1  ascii   ^\bKu\a
2949 0x000507bc 0x0050a3bc 4   5    ...._1  ascii   Y_^[
2950 0x0005084e 0x0050a44e 4   5    ...._1  ascii   E\bPQ
2951 0x0005088e 0x0050a48e 4   5    ...._1  ascii   E\bPQ
2952 0x000508f1 0x0050a4f1 4   5    ...._1  ascii   ~B f
2953 0x00050991 0x0050a591 4   6    ...._1  utf8    EЋF$ blocks=Basic Latin,Cyrillic
2954 0x000509a3 0x0050a5a3 4   6    ...._1  utf8    E؋F0 blocks=Basic Latin,Arabic
2955 0x000509ef 0x0050a5ef 5   6    ...._1  ascii   w\bNu\a
2956 0x00050b4f 0x0050a74f 5   6    ...._1  ascii   ~\bOu\a
2957 0x00050bf1 0x0050a7f1 5   6    ...._1  ascii   ~\bOu\a
2958 0x00050de4 0x0050a9e4 4   5    ...._1  ascii   E\bRP
2959 0x00050f15 0x0050ab15 5   6    ...._1  ascii   _\bKu\a
2960 0x00050f2d 0x0050ab2d 4   5    ...._1  ascii   Y_^[
2961 0x00050f80 0x0050ab80 4   5    ...._1  ascii   PSVW
2962 0x00050fbd 0x0050abbd 5   6    ...._1  ascii   ^\bKu\a
2963 0x00050fd7 0x0050abd7 4   5    ...._1  ascii   \br\v@
2964 0x00051095 0x0050ac95 4   5    ...._1  ascii   \br\v@
2965 0x000510c6 0x0050acc6 4   5    ...._1  ascii   \br\v@
2966 0x000510ff 0x0050acff 4   5    ...._1  ascii   Y_^[
2967 0x00051123 0x0050ad23 4   5    ...._1  ascii   \bSVW
2968 0x00051172 0x0050ad72 5   8    ...._1  utf8    E\bRP襀 blocks=Basic Latin,CJK Unified Ideographs
2969 0x000511a4 0x0050ada4 4   5    ...._1  ascii   E RP
2970 0x000512eb 0x0050aeeb 4   5    ...._1  ascii   C\bu\a
2971 0x0005130a 0x0050af0a 4   5    ...._1  ascii   \br\r@
2972 0x00051333 0x0050af33 4   5    ...._1  ascii   \br\r@
2973 0x0005142d 0x0050b02d 5   6    ...._1  ascii   _\bKu\a
2974 0x00051445 0x0050b045 4   5    ...._1  ascii   Y_^[
2975 0x00051471 0x0050b071 4   5    ...._1  ascii   SVWP
2976 0x0005154e 0x0050b14e 4   5    ...._1  ascii   \br\r@
2977 0x00051652 0x0050b252 4   5    ...._1  ascii   hT\eM
2978 0x00051879 0x0050b479 4   5    ...._1  ascii   F\bu\a
2979 0x000518b3 0x0050b4b3 4   5    ...._1  ascii   F\bu\a
2980 0x000519a0 0x0050b5a0 4   5    ...._1  ascii   \br\r@
2981 0x00051a59 0x0050b659 4   5    ...._1  ascii   \br\r@
2982 0x00051a9d 0x0050b69d 5   6    ...._1  ascii   ^\bKu\a
2983 0x00051ab5 0x0050b6b5 4   5    ...._1  ascii   Y_^[
2984 0x00051af1 0x0050b6f1 4   5    ...._1  ascii   SVWP
2985 0x00051bd0 0x0050b7d0 4   5    ...._1  ascii   \br\r@
2986 0x00051c17 0x0050b817 5   6    ...._1  ascii   ^\bKu\a
2987 0x00051ee6 0x0050bae6 4   5    ...._1  ascii   C\bu\a
2988 0x00051f6e 0x0050bb6e 4   5    ...._1  ascii   G\bu\a
2989 0x00051f7e 0x0050bb7e 4   5    ...._1  ascii   \br\r@
2990 0x00052049 0x0050bc49 4   5    ...._1  ascii   \br\r@
2991 0x00052122 0x0050bd22 4   5    ...._1  ascii   \br\r@
2992 0x00052166 0x0050bd66 5   6    ...._1  ascii   ^\bKu\a
2993 0x00052182 0x0050bd82 4   5    ...._1  ascii   Y_^[
2994 0x0005225e 0x0050be5e 6   8    ...._1  utf8    3ĉD$ V blocks=Basic Latin,Latin Extended-A
2995 0x00052298 0x0050be98 4   5    ...._1  ascii   L$ 3
2996 0x00052317 0x0050bf17 4   5    ...._1  ascii   L$\fP
2997 0x00052353 0x0050bf53 4   5    ...._1  ascii   \bSVW
2998 0x00052398 0x0050bf98 4   6    ...._1  utf8    sC+ӻ blocks=Basic Latin,Cyrillic
2999 0x000523ab 0x0050bfab 6   7    ...._1  ascii   s\nhx\aM
3000 0x00052433 0x0050c033 4   5    ...._1  ascii   y\bOu
3001 0x0005246f 0x0050c06f 6   7    ...._1  ascii   s\nhx\aM
3002 0x00052488 0x0050c088 4   6    ...._1  utf8    ÉM\b3 blocks=Latin-1 Supplement,Basic Latin
3003 0x000524ef 0x0050c0ef 4   5    ...._1  ascii   y\bOu
3004 0x00052512 0x0050c112 4   5    ...._1  ascii   Y_^[
3005 0x00052528 0x0050c128 4   5    ...._1  ascii   ]\bVW
3006 0x000525d1 0x0050c1d1 4   5    ...._1  ascii   7_^[
3007 0x00052770 0x0050c370 4   5    ...._1  ascii   PSVW
3008 0x000527af 0x0050c3af 4   5    ...._1  ascii   F\bu\a
3009 0x000527df 0x0050c3df 4   5    ...._1  ascii   F\bu\a
3010 0x0005280d 0x0050c40d 5   6    ...._1  ascii   ^\bKu\a
3011 0x00052827 0x0050c427 4   5    ...._1  ascii   \br\v@
3012 0x000528eb 0x0050c4eb 4   5    ...._1  ascii   \br\v@
3013 0x0005291c 0x0050c51c 4   5    ...._1  ascii   \br\v@
3014 0x0005294d 0x0050c54d 4   5    ...._1  ascii   \br\v@
3015 0x0005297e 0x0050c57e 4   5    ...._1  ascii   \br\v@
3016 0x000529b7 0x0050c5b7 4   5    ...._1  ascii   Y_^[
3017 0x00052ee1 0x0050cae1 4   5    ...._1  ascii   SVWP
3018 0x00053277 0x0050ce77 4   5    ...._1  ascii   Y_^[
3019 0x000532b1 0x0050ceb1 4   5    ...._1  ascii   SVWP
3020 0x0005334d 0x0050cf4d 4   5    ...._1  ascii   f9\au
3021 0x00053690 0x0050d290 4   5    ...._1  ascii   Y_^[
3022 0x000536c0 0x0050d2c0 5   6    ...._1  ascii   PQSVW
3023 0x000536e6 0x0050d2e6 8   10   ...._1  utf8    w:+ظgfff blocks=Basic Latin,Arabic
3024 0x000536fb 0x0050d2fb 6   7    ...._1  ascii   ;N\bu\bQ
3025 0x00053722 0x0050d322 6   7    ...._1  ascii   ;N\bu\bQ
3026 0x00053788 0x0050d388 4   5    ...._1  ascii   Y_^[
3027 0x000537a2 0x0050d3a2 6   8    ...._1  utf8    ٸgfffV blocks=Arabic,Basic Latin
3028 0x000537c2 0x0050d3c2 4   5    ...._1  ascii   sV+3
3029 0x000537c7 0x0050d3c7 4   5    ...._1  ascii   gfff
3030 0x000537e2 0x0050d3e2 4   5    ...._1  ascii   r;+\v
3031 0x000537e7 0x0050d3e7 4   5    ...._1  ascii   gfff
3032 0x0005381f 0x0050d41f 4   5    ...._1  ascii   hx\aM
3033 0x000538a4 0x0050d4a4 5   6    ...._1  ascii   gfff+
3034 0x000538d4 0x0050d4d4 4   5    ...._1  ascii   gfff
3035 0x0005390e 0x0050d50e 4   5    ...._1  ascii   >_^[
3036 0x00053984 0x0050d584 10  12   ...._1  utf8    ^_[]ËE\b_[] blocks=Basic Latin,Latin-1 Supplement
3037 0x000539a3 0x0050d5a3 4   5    ...._1  ascii   \fSVW
3038 0x000539f2 0x0050d5f2 4   5    ...._1  ascii   E\bRP
3039 0x00053a24 0x0050d624 4   5    ...._1  ascii   EPRP
3040 0x00053a56 0x0050d656 4   5    ...._1  ascii   E RP
3041 0x00053a88 0x0050d688 4   5    ...._1  ascii   E8RP
3042 0x00053cdc 0x0050d8dc 4   5    ...._1  ascii   \br\r@
3043 0x00053d05 0x0050d905 4   5    ...._1  ascii   \br\r@
3044 0x00053d2e 0x0050d92e 4   5    ...._1  ascii   \br\r@
3045 0x00053d57 0x0050d957 4   5    ...._1  ascii   \br\r@
3046 0x00053e77 0x0050da77 4   5    ...._1  ascii   G\bu\a
3047 0x00053ea4 0x0050daa4 4   5    ...._1  ascii   G\bu\a
3048 0x00053ed2 0x0050dad2 5   6    ...._1  ascii   _\bKu\a
3049 0x00053eea 0x0050daea 4   5    ...._1  ascii   Y_^[
3050 0x00053fde 0x0050dbde 5   7    ...._1  utf8    3ĉD$P blocks=Basic Latin,Latin Extended-A
3051 0x00054008 0x0050dc08 6   7    ...._1  ascii   CD$ QP
3052 0x0005401d 0x0050dc1d 4   5    ...._1  ascii   Dt$4
3053 0x000540ae 0x0050dcae 4   5    ...._1  ascii   SVWP
3054 0x0005428b 0x0050de8b 4   5    ...._1  ascii   \br\r@
3055 0x000542c1 0x0050dec1 4   5    ...._1  ascii   \br\r@
3056 0x000543b5 0x0050dfb5 4   5    ...._1  ascii   \br\r@
3057 0x000543eb 0x0050dfeb 4   5    ...._1  ascii   \br\r@
3058 0x000545b3 0x0050e1b3 4   5    ...._1  ascii   \br\r@
3059 0x000545e9 0x0050e1e9 4   5    ...._1  ascii   \br\r@
3060 0x000546dd 0x0050e2dd 4   5    ...._1  ascii   \br\r@
3061 0x00054713 0x0050e313 4   5    ...._1  ascii   \br\r@
3062 0x00054750 0x0050e350 4   5    ...._1  ascii   \br\r@
3063 0x00054779 0x0050e379 5   6    ...._1  ascii   \br\rAQ
3064 0x00054795 0x0050e395 4   5    ...._1  ascii   Y_^[
3065 0x00054801 0x0050e401 4   5    ...._1  ascii   9E\f[
3066 0x00054840 0x0050e440 5   6    ...._1  ascii   f9\au@
3067 0x00054853 0x0050e453 6   7    ...._1  ascii   \bf;\nu"
3068 0x00054b88 0x0050e788 4   5    ...._1  ascii   q\bNu
3069 0x00054bbf 0x0050e7bf 5   6    ...._1  ascii   t\vjTV
3070 0x00054bf0 0x0050e7f0 5   6    ...._1  ascii   PQSVW
3071 0x00054c46 0x0050e846 5   6    ...._1  ascii   F8\f2M
3072 0x00054c8f 0x0050e88f 5   6    ...._1  ascii   F(P1M
3073 0x00054d33 0x0050e933 4   5    ...._1  ascii   C\bu\a
3074 0x00054d60 0x0050e960 4   5    ...._1  ascii   C\bu\a
3075 0x00054d8b 0x0050e98b 5   6    ...._1  ascii   {\bOu\a
3076 0x00054da7 0x0050e9a7 4   5    ...._1  ascii   Y_^[
3077 0x00054dd1 0x0050e9d1 4   5    ...._1  ascii   SVWP
3078 0x00054fa6 0x0050eba6 4   5    ...._1  ascii   \br\r@
3079 0x00054fbf 0x0050ebbf 4   5    ...._1  ascii   \br\r@
3080 0x00055043 0x0050ec43 4   5    ...._1  ascii   G\bu\a
3081 0x000550a8 0x0050eca8 4   5    ...._1  ascii   \br\r@
3082 0x000550d1 0x0050ecd1 4   5    ...._1  ascii   \br\r@
3083 0x00055172 0x0050ed72 4   5    ...._1  ascii   gfff
3084 0x000551c3 0x0050edc3 5   6    ...._1  ascii   ~\bOu\a
3085 0x0005524a 0x0050ee4a 4   5    ...._1  ascii   r\rAQ
3086 0x00055265 0x0050ee65 4   5    ...._1  ascii   Y_^[
3087 0x0005532c 0x0050ef2c 4   5    ...._1  ascii   G\bu\a
3088 0x0005538f 0x0050ef8f 4   5    ...._1  ascii   G\bu\a
3089 0x000554cf 0x0050f0cf 4   5    ...._1  ascii   E\fRP
3090 0x000555dd 0x0050f1dd 4   5    ...._1  ascii   \br\r@
3091 0x000556a1 0x0050f2a1 4   5    ...._1  ascii   \br\v@
3092 0x000556db 0x0050f2db 4   5    ...._1  ascii   \br\r@
3093 0x000556f0 0x0050f2f0 5   6    ...._1  ascii   \br\rAQ
3094 0x00055741 0x0050f341 4   5    ...._1  ascii   SVWP
3095 0x0005599d 0x0050f59d 4   5    ...._1  ascii   C\bu\a
3096 0x00055bd6 0x0050f7d6 4   5    ...._1  ascii   \br\r@
3097 0x00055bef 0x0050f7ef 4   5    ...._1  ascii   \br\r@
3098 0x00055c6e 0x0050f86e 4   5    ...._1  ascii   \br\r@
3099 0x00055c97 0x0050f897 4   5    ...._1  ascii   \br\r@
3100 0x00055da3 0x0050f9a3 4   5    ...._1  ascii   F\bu\a
3101 0x00055e06 0x0050fa06 4   5    ...._1  ascii   G\bu\a
3102 0x00055e6f 0x0050fa6f 4   5    ...._1  ascii   F\bu\a
3103 0x00055f2f 0x0050fb2f 4   5    ...._1  ascii   F\bu\a
3104 0x00055f57 0x0050fb57 5   6    ...._1  ascii   ^\bKu\a
3105 0x00055ff7 0x0050fbf7 4   5    ...._1  ascii   Y_^[
3106 0x0005607e 0x0050fc7e 4   5    ...._1  ascii   \br\r@
3107 0x000560ab 0x0050fcab 4   5    ...._1  ascii   \br\r@
3108 0x0005613e 0x0050fd3e 5   6    ...._1  ascii   CM8PQ
3109 0x000561d3 0x0050fdd3 4   5    ...._1  ascii   \br\r@
3110 0x000561fc 0x0050fdfc 4   5    ...._1  ascii   \br\r@
3111 0x00056225 0x0050fe25 4   5    ...._1  ascii   \br\r@
3112 0x0005624e 0x0050fe4e 4   5    ...._1  ascii   \br\r@
3113 0x000562d8 0x0050fed8 4   5    ...._1  ascii   E\bRP
3114 0x00056315 0x0050ff15 4   5    ...._1  ascii   E RP
3115 0x0005632f 0x0050ff2f 5   9    ...._1  utf8    uċuȍM blocks=Basic Latin,Latin Extended-A,Latin Extended-B
3116 0x000563d8 0x0050ffd8 4   5    ...._1  ascii   tlQh
3117 0x0005645a 0x0051005a 5   6    ...._1  ascii   tfj\aj
3118 0x00056470 0x00510070 4   5    ...._1  ascii   tPQh
3119 0x00056483 0x00510083 4   5    ...._1  ascii   t=Qh
3120 0x00056496 0x00510096 7   8    ...._1  ascii   t*Qh$1M
3121 0x000564f1 0x005100f1 4   5    ...._1  ascii   \br\r@
3122 0x0005651a 0x0051011a 4   5    ...._1  ascii   \br\r@
3123 0x00056543 0x00510143 5   6    ...._1  ascii   \br\rAQ
3124 0x0005659e 0x0051019e 4   5    ...._1  ascii   SVWP
3125 0x000565cc 0x005101cc 6   7    ...._1  ascii   CM QPQ
3126 0x00056619 0x00511019 4   5    .rsrc   ascii   \br\r@
3127 0x00056646 0x00511046 4   5    .rsrc   ascii   \br\r@
3128 0x0005673b 0x0051113b 6   9    .rsrc   utf8    CM8QS諛 blocks=Basic Latin,CJK Unified Ideographs
3129 0x0005676a 0x0051116a 4   5    .rsrc   ascii   \br\r@
3130 0x00056793 0x00511193 4   5    .rsrc   ascii   \br\r@
3131 0x000567a8 0x005111a8 4   5    .rsrc   ascii   \br\r@
3132 0x000567f9 0x005111f9 4   5    .rsrc   ascii   r\rAQ
3133 0x00056814 0x00511214 4   5    .rsrc   ascii   Y_^[
3134 0x00056843 0x00511243 4   5    .rsrc   ascii   8SVW
3135 0x00056925 0x00511325 4   5    .rsrc   ascii   Y_^[
3136 0x00056943 0x00511343 4   5    .rsrc   ascii   8SVW
3137 0x00056a25 0x00511425 4   5            ascii   Y_^[
3138 0x00056a3e 0x0051143e 6   8            utf8    3ĉD$ V blocks=Basic Latin,Latin Extended-A
3139 0x00056a78 0x00511478 4   5            ascii   L$ 3
3140 0x00056aff 0x005114ff 4   5            ascii   L$\fP
3141 0x00056b28 0x00511528 4   5            ascii   \br\r@
3142 0x00056b51 0x00511551 4   5            ascii   \br\r@
3143 0x00056bc7 0x005115c7 4   5            ascii   CE\bP
3144 0x00056c00 0x00511600 4   5            ascii   CE\bP
3145 0x00056c46 0x00511646 4   5            ascii   \br\r@
3146 0x00056ca0 0x005116a0 5   6            ascii   \br\rAQ
3147 0x00056cc8 0x005116c8 4   5            ascii   \br\r@
3148 0x00056d43 0x00511743 4   5            ascii   CE\bP
3149 0x00056d88 0x00511788 4   5            ascii   CE\bP
3150 0x00056dce 0x005117ce 4   5            ascii   \br\r@
3151 0x00056df7 0x005117f7 4   5            ascii   \br\r@
3152 0x00056e38 0x00511838 4   5            ascii   \br\r@
3153 0x00056e61 0x00511861 4   5            ascii   \br\r@
3154 0x00056e88 0x00511888 4   5            ascii   \br\r@
3155 0x00056ef7 0x005118f7 4   5            ascii   CE\bP
3156 0x00056f08 0x00511908 4   5            ascii   \br\r@
3157 0x00056f31 0x00511931 4   5            ascii   \br\r@
3158 0x00056f5c 0x0051195c 4   5            ascii   CE\bj
3159 0x00056f74 0x00511974 5   6            ascii   \br\rAQ
3160 0x00056ff3 0x005119f3 4   5            ascii   \bSVW
3161 0x0005705d 0x00511a5d 4   5            ascii   F\bu\a
3162 0x000570bf 0x00511abf 5   6            ascii   ~\bOu\a
3163 0x000570d5 0x00511ad5 4   5            ascii   Y_^[
3164 0x00057140 0x00511b40 4   5            ascii   PSVW
3165 0x000571a6 0x00511ba6 4   5            ascii   Y_^[
3166 0x00057233 0x00511c33 4   5            ascii   hx\aM
3167 0x00057250 0x00511c50 4   5            ascii   PSVW
3168 0x000572c9 0x00511cc9 4   5            ascii   Y_^[
3169 0x000572f0 0x00511cf0 4   5            ascii   PSVW
3170 0x00057369 0x00511d69 4   5            ascii   Y_^[
3171 0x000573a1 0x00511da1 4   5            ascii   SVWP
3172 0x0005766c 0x0051206c 4   5            ascii   Y_^[
3173 0x0005769e 0x0051209e 4   5            ascii   SVWP
3174 0x000576b4 0x005120b4 5   6            ascii   ]\fj`j
3175 0x0005773a 0x0051213a 4   5            ascii   Y_^[
3176 0x00057901 0x00512301 4   5            ascii   SVWP
3177 0x00057a1a 0x0051241a 4   6            utf8    EȍE\b blocks=Basic Latin,Latin Extended-B
3178 0x00057bd6 0x005125d6 4   5            ascii   tij`
3179 0x00057ca8 0x005126a8 5   6            ascii   ^\bKu\a
3180 0x00057cbe 0x005126be 4   5            ascii   Y_^[
3181 0x00057cfe 0x005126fe 4   5            ascii   SVWP
3182 0x00057d14 0x00512714 5   6            ascii   ]\fj`j
3183 0x00057d9a 0x0051279a 4   5            ascii   Y_^[
3184 0x00057f95 0x00512995 4   5            ascii   hmRK
3185 0x00058055 0x00512a55 4   5            ascii   hLUK
3186 0x00058060 0x00512a60 4   5            ascii   PSVW
3187 0x00058078 0x00512a78 4   5            ascii   \ah2M
3188 0x0005811f 0x00512b1f 4   5            ascii   Y_^[
3189 0x00058161 0x00512b61 4   5            ascii   h`\aM
3190 0x000581be 0x00512bbe 4   5            ascii   SVWP
3191 0x000581d1 0x00512bd1 4   6            utf8    W\vU\f
3192 0x000581d7 0x00512bd7 4   5            ascii   }\bPR
3193 0x00058277 0x00512c77 4   6            utf8    E؉A$ blocks=Basic Latin,Arabic
3194 0x0005827d 0x00512c7d 4   6            utf8    E܉A( blocks=Basic Latin,Syriac
3195 0x0005831a 0x00512d1a 4   5            ascii   Y_^[
3196 0x00058385 0x00512d85 4   5            ascii   hmRK
3197 0x00058445 0x00512e45 4   5            ascii   hLUK
3198 0x00058450 0x00512e50 4   5            ascii   PSVW
3199 0x0005850f 0x00512f0f 4   5            ascii   Y_^[
3200 0x0005853e 0x00512f3e 4   5            ascii   SVWP
3201 0x00058551 0x00512f51 4   6            utf8    W\vU\f
3202 0x00058557 0x00512f57 4   5            ascii   }\bPR
3203 0x000585f7 0x00512ff7 4   6            utf8    E؉A$ blocks=Basic Latin,Arabic
3204 0x000585fd 0x00512ffd 4   6            utf8    E܉A( blocks=Basic Latin,Syriac
3205 0x0005869a 0x0051309a 4   5            ascii   Y_^[
3206 0x000586bf 0x005130bf 6   9            utf8    t\vj0V觍 blocks=Basic Latin,CJK Unified Ideographs
3207 0x000586ef 0x005130ef 5   6            ascii   t\vj0V
3208 0x00058720 0x00513120 4   5            ascii   PQVW
3209 0x00058750 0x00513150 5   6            ascii   u\fj0j
3210 0x0005886c 0x0051326c 4   5            ascii   \a;E\b
3211 0x000589c1 0x005133c1 4   5            ascii   SVWP
3212 0x000589d1 0x005133d1 4   5            ascii   \a;G\f
3213 0x00058ab5 0x005134b5 5   7            utf8    \vG\bt\b
3214 0x00058b35 0x00513535 4   5            ascii   w\f;w
3215 0x00058b87 0x00513587 6   7            ascii   jqh0\vM
3216 0x00058c7f 0x0051367f 4   5            ascii   Y_^[
3217 0x00058cb0 0x005136b0 4   5            ascii   PQVW
3218 0x00058ce0 0x005136e0 5   6            ascii   u\fj0j
3219 0x00058dfc 0x005137fc 4   5            ascii   \a;E\b
3220 0x0005902f 0x00513a2f 4   5            ascii   \ah2M
3221 0x000590d0 0x00513ad0 4   5            ascii   PQVW
3222 0x000593c0 0x00513dc0 4   5            ascii   PQVW
3223 0x0005960e 0x0051400e 5   6            ascii   t\e;7u
3224 0x000596ee 0x005140ee 5   6            ascii   t\e;7u
3225 0x00059873 0x00514273 4   5            ascii   \bSVW
3226 0x000598da 0x005142da 4   5            ascii   P\bSS
3227 0x000598f3 0x005142f3 4   5            ascii   Y_^[
3228 0x00059913 0x00514313 4   5            ascii   \bSVW
3229 0x0005997a 0x0051437a 4   5            ascii   P\bSS
3230 0x00059993 0x00514393 4   5            ascii   Y_^[
3231 0x000599b0 0x005143b0 5   6            ascii   PQSVW
3232 0x000599d1 0x005143d1 4   5            ascii   E\b;E
3233 0x00059a1b 0x0051441b 4   5            ascii   Y_^[
3234 0x00059a43 0x00514443 4   5            ascii   \bSVW
3235 0x00059aaa 0x005144aa 4   5            ascii   P\bSS
3236 0x00059ac3 0x005144c3 4   5            ascii   Y_^[
3237 0x00059ae0 0x005144e0 5   6            ascii   PQSVW
3238 0x00059b01 0x00514501 4   5            ascii   E\b;E
3239 0x00059b4b 0x0051454b 4   5            ascii   Y_^[
3240 0x00059b73 0x00514573 4   5            ascii   \bSVW
3241 0x00059bda 0x005145da 4   5            ascii   P\bSS
3242 0x00059bf3 0x005145f3 4   5            ascii   Y_^[
3243 0x00059c13 0x00514613 4   5            ascii   \bSVW
3244 0x00059c7a 0x0051467a 4   5            ascii   P\bSS
3245 0x00059c93 0x00514693 4   5            ascii   Y_^[
3246 0x00059cb3 0x005146b3 4   5            ascii   \bSVW
3247 0x00059d1a 0x0051471a 4   5            ascii   P\bSS
3248 0x00059d33 0x00514733 4   5            ascii   Y_^[
3249 0x00059d53 0x00514753 4   5            ascii   \bSVW
3250 0x00059dba 0x005147ba 4   5            ascii   P\bSS
3251 0x00059dd3 0x005147d3 4   5            ascii   Y_^[
3252 0x00059df3 0x005147f3 4   5            ascii   \bSVW
3253 0x00059e5a 0x0051485a 4   5            ascii   P\bSS
3254 0x00059e73 0x00514873 4   5            ascii   Y_^[
3255 0x00059e93 0x00514893 4   5            ascii   \bSVW
3256 0x00059efa 0x005148fa 4   5            ascii   P\bSS
3257 0x00059f13 0x00514913 4   5            ascii   Y_^[
3258 0x00059f33 0x00514933 4   5            ascii   \bSVW
3259 0x00059f9a 0x0051499a 4   5            ascii   P\bSS
3260 0x00059fb3 0x005149b3 4   5            ascii   Y_^[
3261 0x0005a1f3 0x00514bf3 4   5            ascii   \bSVW
3262 0x0005a224 0x00514c24 4   6            utf8    W\vE\b
3263 0x0005a254 0x00514c54 4   5            ascii   Y_^[
3264 0x0005a283 0x00514c83 4   5            ascii   \bSVW
3265 0x0005a2b4 0x00514cb4 4   6            utf8    W\vE\b
3266 0x0005a2e4 0x00514ce4 4   5            ascii   Y_^[
3267 0x0005a313 0x00514d13 4   5            ascii   \bSVW
3268 0x0005a344 0x00514d44 4   6            utf8    W\vE\b
3269 0x0005a374 0x00514d74 4   5            ascii   Y_^[
3270 0x0005a3a3 0x00514da3 4   5            ascii   \bSVW
3271 0x0005a3d4 0x00514dd4 4   6            utf8    W\vE\b
3272 0x0005a404 0x00514e04 4   5            ascii   Y_^[
3273 0x0005a433 0x00514e33 4   5            ascii   \bSVW
3274 0x0005a464 0x00514e64 4   6            utf8    W\vE\b
3275 0x0005a494 0x00514e94 4   5            ascii   Y_^[
3276 0x0005a4c3 0x00514ec3 4   5            ascii   \bSVW
3277 0x0005a4f4 0x00514ef4 4   6            utf8    W\vE\b
3278 0x0005a524 0x00514f24 4   5            ascii   Y_^[
3279 0x0005a553 0x00514f53 4   5            ascii   \bSVW
3280 0x0005a584 0x00514f84 4   6            utf8    W\vE\b
3281 0x0005a5b4 0x00514fb4 4   5            ascii   Y_^[
3282 0x0005a5f3 0x00514ff3 4   5            ascii   \bSVW
3283 0x0005a624 0x00515024 4   6            utf8    W\vE\b
3284 0x0005a654 0x00515054 4   5            ascii   Y_^[
3285 0x0005a693 0x00515093 4   5            ascii   \bSVW
3286 0x0005a6c4 0x005150c4 4   6            utf8    W\vE\b
3287 0x0005a6f4 0x005150f4 4   5            ascii   Y_^[
3288 0x0005a723 0x00515123 4   5            ascii   \bSVW
3289 0x0005a754 0x00515154 4   6            utf8    W\vE\b
3290 0x0005a784 0x00515184 4   5            ascii   Y_^[
3291 0x0005a7b3 0x005151b3 4   5            ascii   \bSVW
3292 0x0005a841 0x00515241 4   5            ascii   h(\nM
3293 0x0005a860 0x00515260 4   5            ascii   Y_^[
3294 0x0005a8a3 0x005152a3 4   5            ascii   \fSVW
3295 0x0005a941 0x00515341 4   5            ascii   h(\nM
3296 0x0005a960 0x00515360 4   5            ascii   Y_^[
3297 0x0005a9b9 0x005153b9 10  12           utf8    ^_[]ËE\b_[] blocks=Basic Latin,Latin-1 Supplement
3298 0x0005a9e0 0x005153e0 4   5            ascii   PQVW
3299 0x0005aa80 0x00515480 4   5            ascii   PQVW
3300 0x0005ab20 0x00515520 4   5            ascii   PQVW
3301 0x0005abc0 0x005155c0 4   5            ascii   PQVW
3302 0x0005ac60 0x00515660 5   6            ascii   PQSVW
3303 0x0005acc2 0x005156c2 4   5            ascii   F\bu\a
3304 0x0005acf8 0x005156f8 4   5            ascii   Y_^[
3305 0x0005ae09 0x00515809 5   6            ascii   ~\bOu\a
3306 0x0005af9a 0x0051599a 5   6            ascii   ~\bOu\a
3307 0x0005b037 0x00515a37 5   6            ascii   ~\bOu\a
3308 0x0005b070 0x00515a70 4   5            ascii   PSVW
3309 0x0005b0ce 0x00515ace 4   5            ascii   Y_^[
3310 0x0005b0ef 0x00515aef 4   5            ascii   Y_^[
3311 0x0005b118 0x00515b18 4   5            ascii   Y_^[
3312 0x0005b14a 0x00515b4a 4   5            ascii   Y_^[
3313 0x0005b168 0x00515b68 4   5            ascii   Y_^[
3314 0x0005b180 0x00515b80 4   5            ascii   PSVW
3315 0x0005b1de 0x00515bde 4   5            ascii   Y_^[
3316 0x0005b1ff 0x00515bff 4   5            ascii   Y_^[
3317 0x0005b228 0x00515c28 4   5            ascii   Y_^[
3318 0x0005b23a 0x00515c3a 4   5            ascii   h,^O
3319 0x0005b25a 0x00515c5a 4   5            ascii   Y_^[
3320 0x0005b263 0x00515c63 4   5            ascii   \a(^O
3321 0x0005b278 0x00515c78 4   5            ascii   Y_^[
3322 0x0005b36f 0x00515d6f 4   5            ascii   hXUN
3323 0x0005b38f 0x00515d8f 4   5            ascii   hxUN
3324 0x0005b4fa 0x00515efa 4   5            ascii   h0YK
3325 0x0005b55a 0x00515f5a 4   6            utf8    ΣT_O blocks=Greek and Coptic,Basic Latin
3326 0x0005b570 0x00515f70 4   5            ascii   5T_O
3327 0x0005b580 0x00515f80 4   5            ascii   hPVK
