[Strings]
nth  paddr      vaddr      len size section type    string
87   0x000023dd 0x000023dd 4   5            ascii   \b\bY+
88   0x00002411 0x00002411 4   6            utf8    :/ۆ/ blocks=Basic Latin,Arabic
89   0x00002421 0x00002421 4   6            utf8    :/ۆ/ blocks=Basic Latin,Arabic
90   0x00002431 0x00002431 4   6            utf8    :/ۆ/ blocks=Basic Latin,Arabic
91   0x00002441 0x00002441 4   6            utf8    :/ۆ/ blocks=Basic Latin,Arabic
92   0x00002451 0x00002451 4   6            utf8    :/ۆ/ blocks=Basic Latin,Arabic
93   0x00002461 0x00002461 4   6            utf8    :/ۆ/ blocks=Basic Latin,Arabic
94   0x000024af 0x000024af 6   7            ascii   FU\r8r+
95   0x000024e0 0x000024e0 5   7            utf8    Cj?$e
96   0x00002770 0x00002770 5   7            utf8    âRX0e blocks=Latin-1 Supplement,Basic Latin
97   0x000027a2 0x000027a2 4   5            ascii   E\rKv
98   0x000027ae 0x000027ae 4   5            ascii   ne\ny
99   0x0000282e 0x0000282e 4   5            ascii   ne |
100  0x0000291b 0x0000291b 5   6            ascii   'zO{T
101  0x00002984 0x00002984 4   5            ascii   Ty\bI
102  0x000029cc 0x000029cc 4   5            ascii   ?i]?
103  0x000029e9 0x000029e9 4   5            ascii   ~2]r
104  0x000029fd 0x000029fd 4   5            ascii   6u^g
105  0x00002a19 0x00002a19 4   6            utf8    r*Gݓ blocks=Basic Latin,Arabic Supplement
106  0x00002a2a 0x00002a2a 4   6            utf8    ]ͷgh blocks=Basic Latin,Greek and Coptic
107  0x00002a54 0x00002a54 4   5            ascii   ;?B@
108  0x00002a91 0x00002a91 5   6            ascii   O(hHj
109  0x00002b5f 0x00002b5f 4   5            ascii   \aef\v
110  0x00002bac 0x00002bac 4   5            ascii   N$XA
111  0x00002be4 0x00002be4 4   5            ascii   dX&L
112  0x00002c01 0x00002c01 5   6            ascii   'WF\eA
113  0x00002c24 0x00002c24 4   5            ascii   _\fcA
114  0x00002c7a 0x00002c7a 4   6            utf8    BK3ć blocks=Basic Latin,Latin Extended-A
115  0x00002c83 0x00002c83 4   6            utf8    ݗihN blocks=Arabic Supplement,Basic Latin
116  0x00002cbb 0x00002cbb 4   5            ascii   >Yz(
117  0x00002cda 0x00002cda 6   7            ascii   A'qQU\v
118  0x00002ceb 0x00002ceb 4   5            ascii   \ns\v\v
119  0x00002d5c 0x00002d5c 4   6            utf8    ҇26  blocks=Cyrillic,Basic Latin
120  0x00002d8b 0x00002d8b 5   6            ascii   W'tVa
121  0x00002db1 0x00002db1 4   5            ascii   I-`:
122  0x00002e04 0x00002e04 4   5            ascii   /B{N
123  0x00002e19 0x00002e19 4   5            ascii   #t9J
124  0x00002e4d 0x00002e4d 6   8            utf8    !`[ǽ\e6 blocks=Basic Latin,Latin Extended-B
125  0x00002e9d 0x00002e9d 4   5            ascii   3\.Q
126  0x00002ebd 0x00002ebd 4   5            ascii   \fs<_
127  0x00002efa 0x00002efa 4   5            ascii   hsxD
128  0x00002f03 0x00002f03 5   6            ascii   WJ?,C
129  0x00002f7c 0x00002f7c 6   7            ascii   |<ho'r
130  0x00002faa 0x00002faa 4   6            utf8    O'ߖZ blocks=Basic Latin,NKo
131  0x00002fbb 0x00002fbb 4   6            utf8    ӌro= blocks=Cyrillic,Basic Latin
132  0x00002fc2 0x00002fc2 4   5            ascii   _P>k
133  0x00002ff9 0x00002ff9 7   8            ascii   X7iii9P
134  0x00003013 0x00003013 4   6            utf8    B~ۜC blocks=Basic Latin,Arabic
135  0x0000304e 0x0000304e 4   5            ascii   p4Bf
136  0x0000306a 0x0000306a 4   5            ascii   '"v0
137  0x00003070 0x00003070 4   5            ascii   \n\vSN
138  0x0000307d 0x0000307d 4   5            ascii   "(\ei
139  0x000030b4 0x000030b4 4   5            ascii   r?RJ
140  0x000030fa 0x000030fa 5   6            ascii   t&1Zs
141  0x00003119 0x00003119 5   7            utf8    v2̤\fp blocks=Basic Latin,Combining Diacritical Marks
142  0x00003162 0x00003162 5   7            utf8    Z<QɷL blocks=Basic Latin,IPA Extensions
143  0x0000316d 0x0000316d 7   9            utf8    \fΓtq\n$S blocks=Basic Latin,Greek and Coptic
144  0x0000318a 0x0000318a 4   5            ascii   2/>r
145  0x000031af 0x000031af 4   5            ascii   ?FA&
146  0x0000321b 0x0000321b 6   8            utf8    BeUNOخ blocks=Basic Latin,Arabic
147  0x00003269 0x00003269 4   5            ascii   {_41
148  0x00003289 0x00003289 5   6            ascii   b\rVBP
149  0x000032d2 0x000032d2 4   5            ascii   \t49Z
150  0x0000333f 0x0000333f 5   6            ascii   dn0@D
151  0x000033c1 0x000033c1 4   5            ascii   OY<0
152  0x00003541 0x00003541 7   8            ascii   T&<rskO
153  0x000035fe 0x000035fe 6   9            utf8    ̻#˱ hi blocks=Combining Diacritical Marks,Basic Latin,Spacing Modifier Letters
154  0x0000363e 0x0000363e 5   6            ascii   )47$D
155  0x00003644 0x00003644 4   5            ascii   hlRO
156  0x0000368c 0x0000368c 5   7            utf8    Ƌ.|uU blocks=Latin Extended-B,Basic Latin
157  0x000036ce 0x000036ce 4   5            ascii   yZ\n8
158  0x000036ff 0x000036ff 4   6            utf8    SǬ\ap blocks=Basic Latin,Latin Extended-B
159  0x00003714 0x00003714 4   5            ascii   550D
160  0x00003774 0x00003774 4   5            ascii   Vh`D
161  0x000037b1 0x000037b1 4   6            utf8    @FkM
162  0x000037bc 0x000037bc 6   8            utf8    f;.h"¾ blocks=Basic Latin,Latin-1 Supplement
163  0x000037da 0x000037da 4   5            ascii   B5*S
164  0x000038f9 0x000038f9 4   7            utf8    Mn錕R blocks=Basic Latin,CJK Unified Ideographs
165  0x00003902 0x00003902 6   7            ascii   %=*K<C
166  0x00003920 0x00003920 5   6            ascii   {Sl"v
167  0x0000394c 0x0000394c 4   6            utf8    hŨ\e" blocks=Basic Latin,Latin Extended-A
168  0x0000395e 0x0000395e 5   7            utf8    ?vk΄e blocks=Basic Latin,Greek and Coptic
169  0x0000398f 0x0000398f 4   5            ascii   [09|
170  0x000039a3 0x000039a3 5   6            ascii   RC%jA
171  0x000039e3 0x000039e3 5   6            ascii   IZgnM
172  0x000039f2 0x000039f2 4   5            ascii   o&\rI
173  0x00003a09 0x00003a09 4   5            ascii    Ng4
174  0x00003a32 0x00003a32 4   5            ascii   h>5q
175  0x00003a98 0x00003a98 4   5            ascii   8\a\a@
176  0x00003aa0 0x00003aa0 8   18           utf16le advapi32
177  0x00003ab8 0x00003ab8 29  60           utf16le api-ms-win-core-fibers-l1-1-1
178  0x00003af8 0x00003af8 28  58           utf16le api-ms-win-core-synch-l1-2-0
179  0x00003b38 0x00003b38 8   18           utf16le kernel32
180  0x00003b50 0x00003b50 13  14           ascii   EventRegister
181  0x00003b68 0x00003b68 19  20           ascii   EventSetInformation
182  0x00003b80 0x00003b80 15  16           ascii   EventUnregister
183  0x00003b98 0x00003b98 18  19           ascii   EventWriteTransfer
184  0x00003bb8 0x00003bb8 8   9            ascii   FlsAlloc
185  0x00003bd0 0x00003bd0 7   8            ascii   FlsFree
186  0x00003be0 0x00003be0 11  12           ascii   FlsGetValue
187  0x00003bf8 0x00003bf8 11  12           ascii   FlsSetValue
188  0x00003c10 0x00003c10 27  28           ascii   InitializeCriticalSectionEx
189  0x00003c30 0x00003c30 4   5            ascii   P\v\a@
190  0x00003c38 0x00003c38 4   5            ascii   `\v\a@
191  0x00003c40 0x00003c40 4   5            ascii   h\v\a@
192  0x00003c48 0x00003c48 4   5            ascii   x\v\a@
193  0x00003cc0 0x00003cc0 4   5            ascii    \f\a@
194  0x00003cc8 0x00003cc8 4   5            ascii   $\f\a@
195  0x00003cd0 0x00003cd0 4   5            ascii   (\f\a@
196  0x00003cd8 0x00003cd8 4   5            ascii   ,\f\a@
197  0x00003ce0 0x00003ce0 4   5            ascii   0\f\a@
198  0x00003ce8 0x00003ce8 4   5            ascii   8\f\a@
199  0x00003cf0 0x00003cf0 4   5            ascii   D\f\a@
200  0x00003cf8 0x00003cf8 4   5            ascii   H\f\a@
201  0x00003d00 0x00003d00 4   5            ascii   L\f\a@
202  0x00003d08 0x00003d08 4   5            ascii   P\f\a@
203  0x00003d10 0x00003d10 4   5            ascii   T\f\a@
204  0x00003d18 0x00003d18 4   5            ascii   X\f\a@
205  0x00003d20 0x00003d20 4   5            ascii   \\f\a@
206  0x00003d28 0x00003d28 4   5            ascii   `\f\a@
207  0x00003d30 0x00003d30 4   5            ascii   d\f\a@
208  0x00003d38 0x00003d38 4   5            ascii   h\f\a@
209  0x00003d40 0x00003d40 4   5            ascii   l\f\a@
210  0x00003d48 0x00003d48 4   5            ascii   p\f\a@
211  0x00003d50 0x00003d50 4   5            ascii   t\f\a@
212  0x00003d58 0x00003d58 4   5            ascii   x\f\a@
213  0x00003d60 0x00003d60 4   5            ascii   |\f\a@
214  0x00003e18 0x00003e18 4   5            ascii    \r\a@
215  0x00003e20 0x00003e20 4   5            ascii   8\r\a@
216  0x00003e28 0x00003e28 4   5            ascii   X\r\a@
217  0x00003e30 0x00003e30 4   5            ascii   x\r\a@
218  0x00003f50 0x00003f50 8   9            ascii   __based(
219  0x00003f60 0x00003f60 7   8            ascii   __cdecl
220  0x00003f68 0x00003f68 8   9            ascii   __pascal
221  0x00003f78 0x00003f78 9   10           ascii   __stdcall
222  0x00003f88 0x00003f88 10  11           ascii   __thiscall
223  0x00003f98 0x00003f98 10  11           ascii   __fastcall
224  0x00003fa8 0x00003fa8 12  13           ascii   __vectorcall
225  0x00003fb8 0x00003fb8 9   10           ascii   __clrcall
226  0x00003fc4 0x00003fc4 6   7            ascii   __eabi
227  0x00003fd0 0x00003fd0 7   8            ascii   __ptr64
228  0x00003fd8 0x00003fd8 10  11           ascii   __restrict
229  0x00003fe8 0x00003fe8 11  12           ascii   __unaligned
230  0x00003ff8 0x00003ff8 9   10           ascii   restrict(
231  0x00004004 0x00004004 4   5            ascii    new
232  0x00004010 0x00004010 7   8            ascii    delete
233  0x00004038 0x00004038 8   9            ascii   operator
234  0x000040c0 0x000040c0 9   10           ascii   `vftable'
235  0x000040d0 0x000040d0 9   10           ascii   `vbtable'
236  0x000040e0 0x000040e0 7   8            ascii   `vcall'
237  0x000040e8 0x000040e8 8   9            ascii   `typeof'
238  0x000040f8 0x000040f8 20  21           ascii   `local static guard'
239  0x00004110 0x00004110 8   9            ascii   `string'
240  0x00004120 0x00004120 18  19           ascii   `vbase destructor'
241  0x00004138 0x00004138 28  29           ascii   `vector deleting destructor'
242  0x00004158 0x00004158 29  30           ascii   `default constructor closure'
243  0x00004178 0x00004178 28  29           ascii   `scalar deleting destructor'
244  0x00004198 0x00004198 29  30           ascii   `vector constructor iterator'
