[Strings]
nth  paddr      vaddr      len size section  type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45            ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000cf 0x000000cf 5   6             ascii   ]Rich
2    0x000001d8 0x000001d8 4   5             ascii   UPX0
3    0x00000200 0x00000200 4   5             ascii   UPX1
4    0x00000228 0x00000228 5   6             ascii   .rsrc
5    0x00000250 0x00000250 8   9             ascii   .imports
6    0x0000041a 0x0040101a 4   5    UPX0     ascii   D$\bj
7    0x0000055b 0x0040115b 5   6    UPX0     ascii   t\t<Vt
8    0x000005a7 0x004011a7 5   6    UPX0     ascii   L$!SQ
9    0x00000628 0x00401228 4   6    UPX0     utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
10   0x0000065f 0x0040125f 4   6    UPX0     utf8    ƁtGA blocks=Latin Extended-B,Basic Latin
11   0x0000066f 0x0040126f 5   6    UPX0     ascii   D$\fht
12   0x0000068a 0x0040128a 4   5    UPX0     ascii   L$!f
13   0x0000079a 0x0040139a 4   5    UPX0     ascii   SUVj
14   0x000007cb 0x004013cb 4   5    UPX0     ascii   5`GA
15   0x0000080a 0x0040140a 5   6    UPX0     ascii   ^][_3
16   0x00000822 0x00401422 4   5    UPX0     ascii   =`GA
17   0x0000083d 0x0040143d 4   5    UPX0     ascii   =`GA
18   0x00000851 0x00401451 7   8    UPX0     ascii   |\b9=`GA
19   0x0000085c 0x0040145c 8   9    UPX0     ascii   D$\bPhdGA
20   0x00000888 0x00401488 4   5    UPX0     ascii   5`GA
21   0x000008a6 0x004014a6 4   5    UPX0     ascii   h`DA
22   0x000008b7 0x004014b7 4   5    UPX0     ascii   h`EA
23   0x000008c8 0x004014c8 4   5    UPX0     ascii   h`FA
24   0x000008df 0x004014df 5   7    UPX0     utf8    É\rdDA blocks=Latin-1 Supplement,Basic Latin
25   0x000008ea 0x004014ea 4   5    UPX0     ascii   -`DA
26   0x00000a58 0x00401658 5   7    UPX0     utf8    É-`FA blocks=Latin-1 Supplement,Basic Latin
27   0x00000b36 0x00401736 4   9    UPX0     utf16le jjjj
28   0x00000b50 0x00401750 5   6    UPX0     ascii   u\a[_2
29   0x00000b83 0x00401783 4   5    UPX0     ascii   l$\fV
30   0x00000bd2 0x004017d2 4   9    UPX0     utf16le @jjj
31   0x00000c20 0x00401820 4   5    UPX0     ascii   SUVW
32   0x00000c84 0x00401884 4   9    UPX0     utf16le @jjj
33   0x00000ccb 0x004018cb 5   6    UPX0     ascii   t\t<Yt
34   0x00000ce8 0x004018e8 4   6    UPX0     utf8    3ĉD$ blocks=Basic Latin,Latin Extended-A
35   0x00000cef 0x004018ef 5   6    UPX0     ascii   D$\fSU
36   0x00000d2d 0x0040192d 7   8    UPX0     ascii   PUVh`EA
37   0x00000d5b 0x0040195b 4   5    UPX0     ascii   \rdGA
38   0x00000d79 0x00401979 4   5    UPX0     ascii   \rpGA
39   0x00000da5 0x004019a5 5   6    UPX0     ascii   t\t<Yt
40   0x00000dca 0x004019ca 4   5    UPX0     ascii   jPRP
41   0x00000dfd 0x004019fd 5   6    UPX0     ascii   tJWVj
42   0x00000e43 0x00401a43 4   6    UPX0     utf8    \bËl$ blocks=Basic Latin,Latin-1 Supplement
43   0x00000e85 0x00401a85 5   6    UPX0     ascii   _^][3
44   0x00000ebb 0x00401abb 4   5    UPX0     ascii   D$\rj
45   0x00000ed6 0x00401ad6 7   8    UPX0     ascii   L$\fh`FA
46   0x00000f11 0x00401b11 5   6    UPX0     ascii   L$\bQh
47   0x00000f9b 0x00401b9b 4   5    UPX0     ascii   D$\rj
48   0x00000fb6 0x00401bb6 7   8    UPX0     ascii   L$\fh`DA
49   0x00001017 0x00401c17 5   6    UPX0     ascii   L$\bQh
50   0x000010a9 0x00401ca9 4   5    UPX0     ascii   _^]3
51   0x000011d0 0x00401dd0 4   5    UPX0     ascii   QSWV
52   0x00001235 0x00401e35 4   5    UPX0     ascii   T$\fR
53   0x00001273 0x00401e73 4   6    UPX0     utf8    [YÃ> blocks=Basic Latin,Latin-1 Supplement
54   0x000012c5 0x00401ec5 4   5    UPX0     ascii   <8\t
55   0x000012d5 0x00401ed5 4   5    UPX0     ascii   t$\b+
56   0x000013fd 0x00401ffd 4   5    UPX0     ascii   T$!j
57   0x0000141b 0x0040201b 4   6    UPX0     utf8    PƄ$8 blocks=Basic Latin,Latin Extended-B
58   0x0000142a 0x0040202a 4   5    UPX0     ascii   L$4Q
59   0x00001433 0x00402033 4   5    UPX0     ascii   htGA
60   0x00001439 0x00402039 4   5    UPX0     ascii   T$<R
61   0x00001515 0x00402115 6   8    UPX0     utf8    3\tD$,3
62   0x00001523 0x00402123 4   5    UPX0     ascii   D$(P
63   0x00001528 0x00402128 4   5    UPX0     ascii   L$(Q
64   0x0000152d 0x0040212d 4   5    UPX0     ascii   T$(R
65   0x0000153a 0x0040213a 4   5    UPX0     ascii   D$4\f
66   0x00001555 0x00402155 5   6    UPX0     ascii   D$HUP
67   0x00001567 0x00402167 4   5    UPX0     ascii   L$@Q
68   0x00001572 0x00402172 4   5    UPX0     ascii   D$ h
69   0x00001621 0x00402221 4   5    UPX0     ascii   D$0P
70   0x00001626 0x00402226 8   9    UPX0     ascii   L$DQUUUj
71   0x00001692 0x00402292 4   5    UPX0     ascii   <+WQ
72   0x000016ba 0x004022ba 4   5    UPX0     ascii   RVWP
73   0x0000172e 0x0040232e 5   6    UPX0     ascii   _^][3
74   0x00001833 0x00402433 5   7    UPX0     utf8    D$@Ƅ$ blocks=Basic Latin,Latin Extended-B
75   0x00001854 0x00402454 4   5    UPX0     ascii   D$\f,
76   0x00001869 0x00402469 4   5    UPX0     ascii   L$@Q
77   0x00001880 0x00402480 5   7    UPX0     utf8    D$<Ƅ$ blocks=Basic Latin,Latin Extended-B
78   0x0000191b 0x0040251b 4   5    UPX0     ascii   L$\fQ
79   0x00001a1b 0x0040261b 4   5    UPX0     ascii   t}Pj
80   0x00001a76 0x00402676 4   5    UPX0     ascii   jDPh
