[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
36   0x00000f21 0x00401b21 4   5    .text   ascii   D$,P
37   0x00000f71 0x00401b71 4   5    .text   ascii   Y_^3
38   0x00000fa3 0x00401ba3 4   6    .text   utf8    ؉\$  blocks=Arabic,Basic Latin
39   0x00000fcf 0x00401bcf 4   5    .text   ascii   u\fVV
40   0x0000103e 0x00401c3e 5   6    .text   ascii   0f;1u
41   0x000010c9 0x00401cc9 5   7    .text   utf8    \vD$\fu
42   0x000010fa 0x00401cfa 7   8    .text   ascii   j\Yf;\bt
43   0x000011a7 0x00401da7 4   5    .text   ascii   9t$\f
44   0x000011f1 0x00401df1 4   5    .text   ascii   Y9t$
45   0x00001201 0x00401e01 4   5    .text   ascii   Y_^3
46   0x00001209 0x00401e09 4   6    .text   utf8    ]Ë|$ blocks=Basic Latin,Latin-1 Supplement
47   0x00001237 0x00401e37 4   5    .text   ascii   f;\at
48   0x00001261 0x00401e61 4   5    .text   ascii   \fSWh
49   0x00001374 0x00401f74 4   5    .text   ascii   _[t\t
50   0x00001426 0x00402026 4   5    .text   ascii   u\bW3
51   0x0000143a 0x0040203a 4   5    .text   ascii   WWWh
52   0x00001445 0x00402045 6   8    .text   utf8    ӉE\b9>u blocks=Cyrillic,Basic Latin
53   0x00001485 0x00402085 7   8    .text   ascii   uf9>t,W
54   0x000014b3 0x004020b3 5   6    .text   ascii   9>u)j
55   0x000014ed 0x004020ed 4   5    .text   ascii   9}\bt
56   0x00001521 0x00402121 7   11   .text   utf8    W3\t]ԍ}ث blocks=Basic Latin,Cyrillic Supplement,Arabic
57   0x0000152c 0x0040212c 6   10   .text   utf8    3\t]č}ȫ blocks=Basic Latin,Latin Extended-A,Latin Extended-B
58   0x000015b2 0x004021b2 5   6    .text   ascii   Yt2j 
59   0x000015bd 0x004021bd 4   5    .text   ascii   PjXh
60   0x00001717 0x00402317 5   8    .text   utf8    E؉EȋE blocks=Basic Latin,Arabic,Latin Extended-B
61   0x0000172f 0x0040232f 5   8    .text   utf8    MԉU܉M blocks=Basic Latin,Cyrillic Supplement,Syriac
62   0x00001751 0x00402351 4   5    .text   ascii   u SS
