[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
366  0x00008dd2 0x004099d2 4   6    .text   utf8    _^]Ë blocks=Basic Latin,Latin-1 Supplement
367  0x00008df0 0x004099f0 8   9    .text   ascii   u,9E\ft'9
368  0x00008e2f 0x00409a2f 4   6    .text   utf8    ̋T$\f blocks=Combining Diacritical Marks,Basic Latin
369  0x00008e3a 0x00409a3a 7   9    .text   utf8    ti3\nD$\b
370  0x00008e69 0x00409a69 5   7    .text   utf8    t\f+ш\a blocks=Basic Latin,Cyrillic
371  0x00008ea0 0x00409aa0 7   9    .text   utf8    D$\b_ËD$ blocks=Basic Latin,Latin-1 Supplement
372  0x00008ef0 0x00409af0 4   5    .text   ascii   t\b@;
373  0x00008f0a 0x00409b0a 5   6    .text   ascii   9]$u\v
374  0x00008f22 0x00409b22 5   6    .text   ascii   9](SS
375  0x00008f5c 0x00409b5c 4   5    .text   ascii   D?\b=
376  0x00009019 0x00409c19 4   5    .text   ascii   D?\b;
377  0x00009068 0x00409c68 8   9    .text   ascii   t"SS9] u
378  0x00009128 0x00409d28 5   6    .text   ascii   9] SS
379  0x00009158 0x00409d58 4   5    .text   ascii   D?\b=
380  0x000095ea 0x0040a1ea 5   6    .text   ascii   v4;5L
381  0x000095fa 0x0040a1fa 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
382  0x0000963c 0x0040a23c 4   7    .text   utf8    t\aP谺 blocks=Basic Latin,CJK Unified Ideographs
383  0x0000964e 0x0040a24e 4   7    .text   utf8    t\aP螺 blocks=Basic Latin,CJK Unified Ideographs
384  0x00009660 0x0040a260 4   7    .text   utf8    t\aP茺 blocks=Basic Latin,CJK Unified Ideographs
385  0x000096e8 0x0040a2e8 5   6    .text   ascii   vL;5d
386  0x000096f8 0x0040a2f8 4   6    .text   utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
387  0x00009703 0x0040a303 4   5    .text   ascii   9E\fv
388  0x00009715 0x0040a315 4   5    .text   ascii   ;E\fr
389  0x0000978d 0x0040a38d 4   5    .text   ascii   U\bVW
390  0x000097ff 0x0040a3ff 6   7    .text   ascii   URPQQh
391  0x00009815 0x0040a415 6   8    .text   utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
392  0x0000982a 0x0040a42a 4   5    .text   ascii   L$,3
393  0x0000987c 0x0040a47c 6   8    .text   utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
394  0x000098e2 0x0040a4e2 4   5    .text   ascii   UVWS
395  0x000098f4 0x0040a4f4 5   7    .text   utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
396  0x00009915 0x0040a515 4   5    .text   ascii   SVWj
397  0x00009926 0x0040a526 4   5    .text   ascii   _^[]
398  0x0000992d 0x0040a52d 5   6    .text   ascii   l$\bRQ
399  0x00009b52 0x0040a752 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
400  0x00009b68 0x0040a768 5   7    .text   utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
401  0x00009b83 0x0040a783 5   6    .text   ascii   SVWUj
402  0x00009b98 0x0040a798 4   5    .text   ascii   ]_^[
403  0x00009b9e 0x0040a79e 4   6    .text   utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
404  0x00009c24 0x0040a824 6   7    .text   ascii   ;t$,v-
405  0x00009c7f 0x0040a87f 6   7    .text   ascii   R\f9Q\bu
406  0x00009ca7 0x0040a8a7 10  11   .text   ascii   k\fUQPXY]Y[
407  0x00009cfa 0x0040a8fa 4   5    .text   ascii   9]\bu
408  0x00009d22 0x0040a922 4   5    .text   ascii   u\bVW
409  0x00009d35 0x0040a935 6   7    .text   ascii   \fSSSSS
410  0x00009d42 0x0040a942 5   7    .text   utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
411  0x00009d4f 0x0040a94f 4   5    .text   ascii   9]\bu
412  0x00009d74 0x0040a974 4   5    .text   ascii   u\bVW
413  0x00009d87 0x0040a987 6   7    .text   ascii   \fSSSSS
414  0x00009d94 0x0040a994 4   5    .text   ascii   _^[]
415  0x00009db7 0x0040a9b7 4   6    .text   utf8    ؋D$\f blocks=Arabic,Basic Latin
416  0x00009df4 0x0040a9f4 9   10   .text   ascii   w\br\a;D$\fv
417  0x0000a218 0x0040b218 14  15   .rdata  ascii   CorExitProcess
418  0x0000a228 0x0040b228 11  24   .rdata  utf16le mscoree.dll
419  0x0000a240 0x0040b240 14  30   .rdata  utf16le runtime error 
420  0x0000a268 0x0040b268 13  28   .rdata  utf16le TLOSS error\r\n
421  0x0000a284 0x0040b284 12  26   .rdata  utf16le SING error\r\n
422  0x0000a2a0 0x0040b2a0 14  30   .rdata  utf16le DOMAIN error\r\n
423  0x0000a2c0 0x0040b2c0 246 494  .rdata  utf16le R6033\r\n- Attempt to use MSIL code from this assembly during native code initialization\nThis indicates a bug in your application. It is most likely the result of calling an MSIL-compiled (/clr) function from a native constructor or from DllMain.\r\n
424  0x0000a4b0 0x0040b4b0 50  102  .rdata  utf16le R6032\r\n- not enough space for locale information\r\n
425  0x0000a518 0x0040b518 98  198  .rdata  utf16le R6031\r\n- Attempt to initialize the CRT more than once.\nThis indicates a bug in your application.\r\n
426  0x0000a5e0 0x0040b5e0 30  62   .rdata  utf16le R6030\r\n- CRT not initialized\r\n
427  0x0000a620 0x0040b620 36  74   .rdata  utf16le R6028\r\n- unable to initialize heap\r\n
428  0x0000a670 0x0040b670 52  106  .rdata  utf16le R6027\r\n- not enough space for lowio initialization\r\n
429  0x0000a6e0 0x0040b6e0 52  106  .rdata  utf16le R6026\r\n- not enough space for stdio initialization\r\n
430  0x0000a750 0x0040b750 37  76   .rdata  utf16le R6025\r\n- pure virtual function call\r\n
431  0x0000a7a0 0x0040b7a0 52  106  .rdata  utf16le R6024\r\n- not enough space for _onexit/atexit table\r\n
432  0x0000a810 0x0040b810 40  82   .rdata  utf16le R6019\r\n- unable to open console device\r\n
433  0x0000a868 0x0040b868 32  66   .rdata  utf16le R6018\r\n- unexpected heap error\r\n
434  0x0000a8b0 0x0040b8b0 44  90   .rdata  utf16le R6017\r\n- unexpected multithread lock error\r\n
435  0x0000a910 0x0040b910 43  88   .rdata  utf16le R6016\r\n- not enough space for thread data\r\n
436  0x0000a968 0x0040b968 34  70   .rdata  utf16le R6010\r\n- abort() has been called\r\n
437  0x0000a9b0 0x0040b9b0 43  88   .rdata  utf16le R6009\r\n- not enough space for environment\r\n
438  0x0000aa08 0x0040ba08 41  84   .rdata  utf16le R6008\r\n- not enough space for arguments\r\n
439  0x0000aa60 0x0040ba60 44  90   .rdata  utf16le R6002\r\n- floating point support not loaded\r\n
440  0x0000ab6e 0x0040bb6e 37  76   .rdata  utf16le @Microsoft Visual C++ Runtime Library
441  0x0000abcc 0x0040bbcc 22  46   .rdata  utf16le <program name unknown>
442  0x0000abfc 0x0040bbfc 25  52   .rdata  utf16le Runtime Error!\n\nProgram: 
443  0x0000ac30 0x0040bc30 12  26   .rdata  utf16le KERNEL32.DLL
444  0x0000ac4c 0x0040bc4c 7   8    .rdata  ascii   FlsFree
445  0x0000ac54 0x0040bc54 11  12   .rdata  ascii   FlsSetValue
446  0x0000ac60 0x0040bc60 11  12   .rdata  ascii   FlsGetValue
447  0x0000ac6c 0x0040bc6c 8   9    .rdata  ascii   FlsAlloc
448  0x0000ac78 0x0040bc78 8   18   .rdata  utf16le HH:mm:ss
449  0x0000ac8c 0x0040bc8c 19  40   .rdata  utf16le dddd, MMMM dd, yyyy
450  0x0000acb4 0x0040bcb4 8   18   .rdata  utf16le MM/dd/yy
451  0x0000acd8 0x0040bcd8 8   18   .rdata  utf16le December
452  0x0000acec 0x0040bcec 8   18   .rdata  utf16le November
453  0x0000ad00 0x0040bd00 7   16   .rdata  utf16le October
454  0x0000ad10 0x0040bd10 9   20   .rdata  utf16le September
455  0x0000ad24 0x0040bd24 6   14   .rdata  utf16le August
456  0x0000ad34 0x0040bd34 4   10   .rdata  utf16le July
457  0x0000ad40 0x0040bd40 4   10   .rdata  utf16le June
458  0x0000ad4c 0x0040bd4c 5   12   .rdata  utf16le April
459  0x0000ad58 0x0040bd58 5   12   .rdata  utf16le March
460  0x0000ad64 0x0040bd64 8   18   .rdata  utf16le February
461  0x0000ad78 0x0040bd78 7   16   .rdata  utf16le January
462  0x0000ade8 0x0040bde8 8   18   .rdata  utf16le Saturday
463  0x0000adfc 0x0040bdfc 6   14   .rdata  utf16le Friday
464  0x0000ae0c 0x0040be0c 8   18   .rdata  utf16le Thursday
465  0x0000ae20 0x0040be20 9   20   .rdata  utf16le Wednesday
466  0x0000ae34 0x0040be34 7   16   .rdata  utf16le Tuesday
467  0x0000ae44 0x0040be44 6   14   .rdata  utf16le Monday
468  0x0000ae54 0x0040be54 6   14   .rdata  utf16le Sunday
469  0x0000ae9c 0x0040be9c 8   9    .rdata  ascii   HH:mm:ss
470  0x0000aea8 0x0040bea8 19  20   .rdata  ascii   dddd, MMMM dd, yyyy
471  0x0000aebc 0x0040bebc 8   9    .rdata  ascii   MM/dd/yy
472  0x0000aed0 0x0040bed0 8   9    .rdata  ascii   December
473  0x0000aedc 0x0040bedc 8   9    .rdata  ascii   November
474  0x0000aee8 0x0040bee8 7   8    .rdata  ascii   October
475  0x0000aef0 0x0040bef0 9   10   .rdata  ascii   September
476  0x0000aefc 0x0040befc 6   7    .rdata  ascii   August
477  0x0000af04 0x0040bf04 4   5    .rdata  ascii   July
478  0x0000af0c 0x0040bf0c 4   5    .rdata  ascii   June
479  0x0000af14 0x0040bf14 5   6    .rdata  ascii   April
480  0x0000af1c 0x0040bf1c 5   6    .rdata  ascii   March
481  0x0000af24 0x0040bf24 8   9    .rdata  ascii   February
482  0x0000af30 0x0040bf30 7   8    .rdata  ascii   January
483  0x0000af68 0x0040bf68 8   9    .rdata  ascii   Saturday
484  0x0000af74 0x0040bf74 6   7    .rdata  ascii   Friday
485  0x0000af7c 0x0040bf7c 8   9    .rdata  ascii   Thursday
486  0x0000af88 0x0040bf88 9   10   .rdata  ascii   Wednesday
487  0x0000af94 0x0040bf94 7   8    .rdata  ascii   Tuesday
488  0x0000af9c 0x0040bf9c 6   7    .rdata  ascii   Monday
489  0x0000afa4 0x0040bfa4 6   7    .rdata  ascii   Sunday
490  0x0000b06c 0x0040c06c 23  24   .rdata  ascii   GetProcessWindowStation
491  0x0000b084 0x0040c084 25  26   .rdata  ascii   GetUserObjectInformationW
492  0x0000b0a0 0x0040c0a0 18  19   .rdata  ascii   GetLastActivePopup
493  0x0000b0b4 0x0040c0b4 15  16   .rdata  ascii   GetActiveWindow
494  0x0000b0c4 0x0040c0c4 11  12   .rdata  ascii   MessageBoxW
495  0x0000b0d0 0x0040c0d0 10  22   .rdata  utf16le USER32.DLL
496  0x0000b1e8 0x0040c1e8 33  68   .rdata  utf16le          (((((                  H
497  0x0000b3ea 0x0040c3ea 33  68   .rdata  utf16le          h((((                  H
498  0x0000b4e8 0x0040c4e8 34  70   .rdata  utf16le                                  H
499  0x0000b677 0x0040c677 7   8    .rdata  ascii   \a\b\t\n\v\f\r
500  0x0000b690 0x0040c690 95  96   .rdata  ascii    !"#$%&'()*+,-./0123456789:;<=>?@abcdefghijklmnopqrstuvwxyz[\]^_`abcdefghijklmnopqrstuvwxyz{|}~
501  0x0000b7f7 0x0040c7f7 7   8    .rdata  ascii   \a\b\t\n\v\f\r
502  0x0000b810 0x0040c810 95  96   .rdata  ascii    !"#$%&'()*+,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ[\]^_`ABCDEFGHIJKLMNOPQRSTUVWXYZ{|}~
503  0x0000b8f6 0x0040c8f6 10  22   .rdata  utf16le @\\?\UNC\H
504  0x0000bd6e 0x0040cd6e 13  14   .rdata  ascii   WNetCloseEnum
505  0x0000bd7e 0x0040cd7e 13  14   .rdata  ascii   WNetOpenEnumW
506  0x0000bd8e 0x0040cd8e 17  18   .rdata  ascii   WNetEnumResourceW
507  0x0000bda0 0x0040cda0 7   8    .rdata  ascii   MPR.dll
508  0x0000bda8 0x0040cda8 10  11   .rdata  ascii   WS2_32.dll
509  0x0000bdb6 0x0040cdb6 19  20   .rdata  ascii   WaitForSingleObject
510  0x0000bdcc 0x0040cdcc 16  17   .rdata  ascii   GetComputerNameW
511  0x0000bde0 0x0040cde0 16  17   .rdata  ascii   GetLogicalDrives
512  0x0000bdf4 0x0040cdf4 12  13   .rdata  ascii   GetTickCount
513  0x0000be04 0x0040ce04 9   10   .rdata  ascii   WriteFile
514  0x0000be10 0x0040ce10 15  16   .rdata  ascii   TerminateThread
515  0x0000be22 0x0040ce22 5   6    .rdata  ascii   Sleep
516  0x0000be2a 0x0040ce2a 9   10   .rdata  ascii   CopyFileW
517  0x0000be36 0x0040ce36 11  12   .rdata  ascii   CreateFileW
518  0x0000be44 0x0040ce44 22  23   .rdata  ascii   WaitForMultipleObjects
519  0x0000be5e 0x0040ce5e 11  12   .rdata  ascii   CloseHandle
520  0x0000be6c 0x0040ce6c 12  13   .rdata  ascii   CreateThread
521  0x0000be7c 0x0040ce7c 8   9    .rdata  ascii   SetEvent
522  0x0000be88 0x0040ce88 37  38   .rdata  ascii   InitializeCriticalSectionAndSpinCount
523  0x0000beb0 0x0040ceb0 20  21   .rdata  ascii   LeaveCriticalSection
524  0x0000bec8 0x0040cec8 20  21   .rdata  ascii   EnterCriticalSection
525  0x0000bee0 0x0040cee0 10  11   .rdata  ascii   ResetEvent
526  0x0000beee 0x0040ceee 12  13   .rdata  ascii   CreateEventW
527  0x0000befe 0x0040cefe 21  22   .rdata  ascii   DeleteCriticalSection
528  0x0000bf16 0x0040cf16 12  13   .rdata  ascii   CreateMutexW
529  0x0000bf26 0x0040cf26 14  15   .rdata  ascii   CreateProcessW
530  0x0000bf38 0x0040cf38 17  18   .rdata  ascii   GetCurrentProcess
531  0x0000bf4c 0x0040cf4c 20  21   .rdata  ascii   SetHandleInformation
532  0x0000bf64 0x0040cf64 11  12   .rdata  ascii   OpenProcess
533  0x0000bf72 0x0040cf72 14  15   .rdata  ascii   GetLocaleInfoW
534  0x0000bf84 0x0040cf84 16  17   .rdata  ascii   TerminateProcess
535  0x0000bf98 0x0040cf98 10  11   .rdata  ascii   OpenMutexW
536  0x0000bfa6 0x0040cfa6 14  15   .rdata  ascii   GetProcAddress
537  0x0000bfb8 0x0040cfb8 15  16   .rdata  ascii   Process32FirstW
538  0x0000bfca 0x0040cfca 17  18   .rdata  ascii   GetExitCodeThread
539  0x0000bfde 0x0040cfde 10  11   .rdata  ascii   CreatePipe
540  0x0000bfec 0x0040cfec 14  15   .rdata  ascii   Process32NextW
541  0x0000bffe 0x0040cffe 16  17   .rdata  ascii   GetModuleHandleA
542  0x0000c012 0x0040d012 24  25   .rdata  ascii   CreateToolhelp32Snapshot
543  0x0000c02e 0x0040d02e 12  13   .rdata  ascii   ReleaseMutex
544  0x0000c03e 0x0040d03e 10  11   .rdata  ascii   GetVersion
545  0x0000c04c 0x0040d04c 21  22   .rdata  ascii   GetVolumeInformationW
546  0x0000c064 0x0040d064 25  26   .rdata  ascii   ExpandEnvironmentStringsW
547  0x0000c080 0x0040d080 18  19   .rdata  ascii   GetModuleFileNameW
548  0x0000c096 0x0040d096 9   10   .rdata  ascii   FindClose
549  0x0000c0a2 0x0040d0a2 13  14   .rdata  ascii   FindNextFileW
550  0x0000c0b2 0x0040d0b2 14  15   .rdata  ascii   FindFirstFileW
551  0x0000c0c4 0x0040d0c4 12  13   .rdata  ascii   SetEndOfFile
552  0x0000c0d4 0x0040d0d4 16  17   .rdata  ascii   SetFilePointerEx
553  0x0000c0e8 0x0040d0e8 18  19   .rdata  ascii   GetFileAttributesW
554  0x0000c0fe 0x0040d0fe 8   9    .rdata  ascii   ReadFile
555  0x0000c10a 0x0040d10a 13  14   .rdata  ascii   GetFileSizeEx
556  0x0000c11a 0x0040d11a 9   10   .rdata  ascii   MoveFileW
557  0x0000c126 0x0040d126 11  12   .rdata  ascii   DeleteFileW
558  0x0000c134 0x0040d134 18  19   .rdata  ascii   SetFileAttributesW
559  0x0000c148 0x0040d148 12  13   .rdata  ascii   KERNEL32.dll
560  0x0000c158 0x0040d158 14  15   .rdata  ascii   GetShellWindow
561  0x0000c16a 0x0040d16a 24  25   .rdata  ascii   GetWindowThreadProcessId
562  0x0000c184 0x0040d184 10  11   .rdata  ascii   USER32.dll
563  0x0000c192 0x0040d192 16  17   .rdata  ascii   OpenProcessToken
564  0x0000c1a6 0x0040d1a6 19  20   .rdata  ascii   GetTokenInformation
565  0x0000c1bc 0x0040d1bc 16  17   .rdata  ascii   RegQueryValueExW
566  0x0000c1d0 0x0040d1d0 16  17   .rdata  ascii   DuplicateTokenEx
567  0x0000c1e4 0x0040d1e4 13  14   .rdata  ascii   RegOpenKeyExW
568  0x0000c1f4 0x0040d1f4 11  12   .rdata  ascii   RegCloseKey
569  0x0000c202 0x0040d202 14  15   .rdata  ascii   RegSetValueExW
570  0x0000c214 0x0040d214 20  21   .rdata  ascii   CryptAcquireContextW
571  0x0000c22c 0x0040d22c 16  17   .rdata  ascii   CryptSetKeyParam
572  0x0000c240 0x0040d240 14  15   .rdata  ascii   CryptGenRandom
573  0x0000c252 0x0040d252 14  15   .rdata  ascii   CryptImportKey
574  0x0000c264 0x0040d264 12  13   .rdata  ascii   CryptEncrypt
575  0x0000c274 0x0040d274 15  16   .rdata  ascii   CryptDestroyKey
576  0x0000c286 0x0040d286 12  13   .rdata  ascii   CryptDecrypt
577  0x0000c294 0x0040d294 12  13   .rdata  ascii   ADVAPI32.dll
578  0x0000c2a4 0x0040d2a4 15  16   .rdata  ascii   ShellExecuteExW
579  0x0000c2b4 0x0040d2b4 11  12   .rdata  ascii   SHELL32.dll
580  0x0000c2c2 0x0040d2c2 12  13   .rdata  ascii   GetLastError
581  0x0000c2d2 0x0040d2d2 8   9    .rdata  ascii   HeapFree
582  0x0000c2de 0x0040d2de 9   10   .rdata  ascii   HeapAlloc
583  0x0000c2ea 0x0040d2ea 11  12   .rdata  ascii   HeapReAlloc
584  0x0000c2f8 0x0040d2f8 15  16   .rdata  ascii   GetCommandLineA
585  0x0000c30a 0x0040d30a 18  19   .rdata  ascii   HeapSetInformation
586  0x0000c320 0x0040d320 15  16   .rdata  ascii   GetStartupInfoW
587  0x0000c332 0x0040d332 10  11   .rdata  ascii   HeapCreate
588  0x0000c340 0x0040d340 16  17   .rdata  ascii   GetModuleHandleW
589  0x0000c354 0x0040d354 11  12   .rdata  ascii   ExitProcess
590  0x0000c362 0x0040d362 13  14   .rdata  ascii   DecodePointer
591  0x0000c372 0x0040d372 12  13   .rdata  ascii   GetStdHandle
592  0x0000c382 0x0040d382 13  14   .rdata  ascii   EncodePointer
593  0x0000c392 0x0040d392 8   9    .rdata  ascii   TlsAlloc
594  0x0000c39e 0x0040d39e 11  12   .rdata  ascii   TlsGetValue
595  0x0000c3ac 0x0040d3ac 11  12   .rdata  ascii   TlsSetValue
596  0x0000c3ba 0x0040d3ba 7   8    .rdata  ascii   TlsFree
597  0x0000c3c4 0x0040d3c4 20  21   .rdata  ascii   InterlockedIncrement
598  0x0000c3dc 0x0040d3dc 12  13   .rdata  ascii   SetLastError
599  0x0000c3ec 0x0040d3ec 18  19   .rdata  ascii   GetCurrentThreadId
600  0x0000c402 0x0040d402 20  21   .rdata  ascii   InterlockedDecrement
601  0x0000c41a 0x0040d41a 25  26   .rdata  ascii   IsProcessorFeaturePresent
602  0x0000c436 0x0040d436 9   10   .rdata  ascii   GetCPInfo
603  0x0000c442 0x0040d442 6   7    .rdata  ascii   GetACP
604  0x0000c44c 0x0040d44c 8   9    .rdata  ascii   GetOEMCP
605  0x0000c458 0x0040d458 15  16   .rdata  ascii   IsValidCodePage
606  0x0000c46a 0x0040d46a 12  13   .rdata  ascii   LCMapStringW
607  0x0000c47a 0x0040d47a 14  15   .rdata  ascii   GetStringTypeW
608  0x0000c48c 0x0040d48c 27  28   .rdata  ascii   SetUnhandledExceptionFilter
609  0x0000c4aa 0x0040d4aa 18  19   .rdata  ascii   GetModuleFileNameA
610  0x0000c4c0 0x0040d4c0 23  24   .rdata  ascii   FreeEnvironmentStringsW
611  0x0000c4da 0x0040d4da 19  20   .rdata  ascii   WideCharToMultiByte
612  0x0000c4f0 0x0040d4f0 22  23   .rdata  ascii   GetEnvironmentStringsW
613  0x0000c50a 0x0040d50a 14  15   .rdata  ascii   SetHandleCount
614  0x0000c51c 0x0040d51c 11  12   .rdata  ascii   GetFileType
615  0x0000c52a 0x0040d52a 23  24   .rdata  ascii   QueryPerformanceCounter
616  0x0000c544 0x0040d544 19  20   .rdata  ascii   GetCurrentProcessId
617  0x0000c55a 0x0040d55a 23  24   .rdata  ascii   GetSystemTimeAsFileTime
618  0x0000c574 0x0040d574 24  25   .rdata  ascii   UnhandledExceptionFilter
619  0x0000c590 0x0040d590 17  18   .rdata  ascii   IsDebuggerPresent
620  0x0000c5a4 0x0040d5a4 12  13   .rdata  ascii   LoadLibraryW
621  0x0000c5b4 0x0040d5b4 19  20   .rdata  ascii   MultiByteToWideChar
622  0x0000c5ca 0x0040d5ca 9   10   .rdata  ascii   RtlUnwind
623  0x0000c5d6 0x0040d5d6 8   9    .rdata  ascii   HeapSize
624  0x0000c600 0x0040e000 16  34   .data   utf16le 0123456789ABCDEF
625  0x0000c628 0x0040e028 16  17   .data   ascii   0123456789ABCDEF
626  0x0000c6b4 0x0040e0b4 12  52   .data   utf32le \t\a\f\b\f\t\f\n\a\v\b\f
627  0x0000c738 0x0040e138 5   24   .data   utf32le R\rS\rW
628  0x0000c750 0x0040e150 7   32   .data   utf32le Y\vl\rm p
629  0x0000c7c4 0x0040e1c4 4   20   .data   utf32le \v§\r· blocks=Basic Latin,Latin-1 Supplement
630  0x0000c87e 0x0040e27e 26  27   .data   ascii                             
631  0x0000c95e 0x0040e35e 26  27   .data   ascii   abcdefghijklmnopqrstuvwxyz
632  0x0000c97e 0x0040e37e 26  27   .data   ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
633  0x0000ca82 0x0040e482 26  27   .data   ascii                             
634  0x0000cb69 0x0040e569 26  27   .data   ascii   abcdefghijklmnopqrstuvwxyz
635  0x0000cb89 0x0040e589 26  27   .data   ascii   ABCDEFGHIJKLMNOPQRSTUVWXYZ
636  0x0000d195 0x0040eb95 5   6    .data   ascii   0\aw,a
637  0x0000d1f4 0x0040ebf4 4   6    .data   utf8    (kdz
638  0x0000d211 0x0040ec11 4   5    .data   ascii    n;^
639  0x0000d263 0x0040ec63 4   6    .data   utf8    !#ĳV blocks=Basic Latin,Latin Extended-A
640  0x0000d2c4 0x0040ecc4 4   5    .data   ascii   -=m\b
641  0x0000d2d1 0x0040ecd1 6   7    .data   ascii   Qkkbal
642  0x0000d309 0x0040ed09 4   6    .data   utf8    |ӌeL blocks=Basic Latin,Cyrillic
643  0x0000d347 0x0040ed47 4   5    .data   ascii   3_L\n
644  0x0000d39d 0x0040ed9d 4   6    .data   utf8    ұt9G blocks=Cyrillic,Basic Latin
645  0x0000d3b8 0x0040edb8 4   5    .data   ascii   >jm\r
646  0x0000d3bd 0x0040edbd 4   5    .data   ascii   Zjz\v
647  0x0000d3df 0x0040eddf 4   5    .data   ascii   i]Wb
648  0x0000d3ee 0x0040edee 4   5    .data   ascii   knv\e
649  0x0000d3f5 0x0040edf5 4   6    .data   utf8    +ӉZz blocks=Basic Latin,Cyrillic
650  0x0000d496 0x0040ee96 5   8    .data   utf8    c윣ju\n blocks=Basic Latin,Hangul Syllables
651  0x0000d51f 0x0040ef1f 4   5    .data   ascii   9a&g
652  0x0000d528 0x0040ef28 4   5    .data   ascii   MGiI
653  0x0000d52d 0x0040ef2d 6   8    .data   utf8    wn>JjѮ blocks=Basic Latin,Cyrillic
654  0x0000d56f 0x0040ef6f 4   5    .data   ascii   #.zf
655  0x0000d57d 0x0040ef7d 4   5    .data   ascii   +o*7
656  0x0000d59c 0x0040ef9c 23  24   .data   ascii   CreateProcessWithTokenW
657  0x0000d5b4 0x0040efb4 12  13   .data   ascii   advapi32.dll
658  0x0000d5d4 0x0040efd4 4   10   .data   utf16le ELVL
659  0x0000d5e0 0x0040efe0 4   10   .data   utf16le ELVL
660  0x0000d613 0x0040f013 4   5    .data   ascii   >2R=
661  0x0000d628 0x0040f028 4   20   .data   utf32le \\\\
662  0x0000d648 0x0040f048 6   14   .data   utf16le \\?\X:
663  0x0000d658 0x0040f058 6   14   .data   utf16le \\?\X:
664  0x0000d844 0x00410044 4   20   .rsrc   utf32le H𐁘ŚӤ blocks=Basic Latin,Linear B Syllabary,Latin Extended-A,Cyrillic
665  0x0000d858 0x00410058 424 425  .rsrc   ascii   <assembly xmlns="urn:schemas-microsoft-com:asm.v1" manifestVersion="1.0">\r\n  <trustInfo xmlns="urn:schemas-microsoft-com:asm.v3">\r\n    <security>\r\n      <requestedPrivileges>\r\n        <requestedExecutionLevel level="asInvoker" uiAccess="false"></requestedExecutionLevel>\r\n      </requestedPrivileges>\r\n    </security>\r\n  </trustInfo>\r\n</assembly>PAPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPADDINGPADDINGXXPAD
666  0x0000da09 0x00411009 7   8    .reloc  ascii   0/0D0e0
667  0x0000da25 0x00411025 5   6    .reloc  ascii   8@9S9
668  0x0000da54 0x00411054 8   9    .reloc  ascii    0>0^0k0
669  0x0000da67 0x00411067 9   10   .reloc  ascii   1A1Y1i1t1
670  0x0000da75 0x00411075 5   6    .reloc  ascii   1E2_2
671  0x0000da7b 0x0041107b 5   6    .reloc  ascii   2(3Z3
672  0x0000da89 0x00411089 7   8    .reloc  ascii   3J4S4Y4
673  0x0000da9f 0x0041109f 7   8    .reloc  ascii   7@8I8u8
674  0x0000dab3 0x004110b3 7   8    .reloc  ascii   ;8;Q;~;
675  0x0000dabb 0x004110bb 7   8    .reloc  ascii   ;4<^<M=
676  0x0000dac3 0x004110c3 11  12   .reloc  ascii   =\e>1>Z>p>w>
677  0x0000dae9 0x004110e9 13  14   .reloc  ascii   0)0<0T0u0G1~1
678  0x0000db09 0x00411109 5   6    .reloc  ascii   3F3q3
679  0x0000db15 0x00411115 5   6    .reloc  ascii   3>4E4
680  0x0000db27 0x00411127 7   8    .reloc  ascii   5,5V5a5
681  0x0000db39 0x00411139 7   8    .reloc  ascii   6%6N6b6
682  0x0000db45 0x00411145 5   6    .reloc  ascii   :\a;\v<
683  0x0000db4b 0x0041114b 7   8    .reloc  ascii   <:<a<u<
684  0x0000db57 0x00411157 5   6    .reloc  ascii   =^=}=
685  0x0000db65 0x00411165 7   8    .reloc  ascii   ?a?q?w?
686  0x0000db80 0x00411180 12  13   .reloc  ascii   (0E0U0[0m0s0
687  0x0000db91 0x00411191 5   6    .reloc  ascii   2'2-2
688  0x0000db9b 0x0041119b 5   6    .reloc  ascii   >!>o>
689  0x0000dbb3 0x004111b3 5   6    .reloc  ascii   060{0
690  0x0000dbbb 0x004111bb 13  14   .reloc  ascii   0<1a1>2\2\f3h3
691  0x0000dbd5 0x004111d5 5   6    .reloc  ascii   4=4J4
692  0x0000dbdd 0x004111dd 13  14   .reloc  ascii   5\n696`6>7{7\r8
693  0x0000dbff 0x004111ff 7   8    .reloc  ascii   =@=o=u=
694  0x0000dc1b 0x0041121b 19  20   .reloc  ascii   ?-?4?8?<?@?D?H?L?P?
695  0x0000dc43 0x00411243 13  14   .reloc  ascii   080?0D0H0L0m0
696  0x0000dc63 0x00411263 11  12   .reloc  ascii   061<1@1D1H1
697  0x0000dc75 0x00411275 7   8    .reloc  ascii   2-2h2p2
