Missing bin header main
Missing bin header dwarf
[Sections]

nth paddr          size vaddr         vsize perm name
―――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x00001000   0xa000 0x00401000   0xa000 -rwx UPX0
1   0x0000b000   0x3000 0x0040b000   0x3000 -rwx UPX1
2   0x0000e000  0x12000 0x0040e000  0x12000 -rw- .rsrc

[Segments]

nth paddr  size vaddr  vsize perm name
――――――――――――――――――――――――――――――――――――――

[Entrypoints]
vaddr=0x00404670 paddr=0x00004670 haddr=0x00000128 type=program

1 entrypoints
[Constructors]

0 entrypoints
[Imports]
nth vaddr      bind type lib          name
――――――――――――――――――――――――――――――――――――――――――
1   0x004070f4 NONE FUNC KERNEL32.DLL WriteFile
2   0x004070f8 NONE FUNC KERNEL32.DLL ReadFile
3   0x004070fc NONE FUNC KERNEL32.DLL GetWindowsDirectoryA
4   0x00407100 NONE FUNC KERNEL32.DLL GetLastError
5   0x00407104 NONE FUNC KERNEL32.DLL FindNextFileA
6   0x00407108 NONE FUNC KERNEL32.DLL FindFirstFileA
7   0x0040710c NONE FUNC KERNEL32.DLL FindClose
8   0x00407110 NONE FUNC KERNEL32.DLL FileTimeToLocalFileTime
9   0x00407114 NONE FUNC KERNEL32.DLL FileTimeToDosDateTime
10  0x00407118 NONE FUNC KERNEL32.DLL ExitProcess
11  0x0040711c NONE FUNC KERNEL32.DLL DeleteFileA
12  0x00407120 NONE FUNC KERNEL32.DLL CreateMutexA
13  0x00407124 NONE FUNC KERNEL32.DLL CreateFileA
14  0x00407128 NONE FUNC KERNEL32.DLL CopyFileA
15  0x0040712c NONE FUNC KERNEL32.DLL CloseHandle
1   0x00407064 NONE FUNC KERNEL32.DLL GetCurrentThreadId
2   0x00407100 NONE FUNC KERNEL32.DLL GetLastError
3   0x00407118 NONE FUNC KERNEL32.DLL ExitProcess
4   0x004070f4 NONE FUNC KERNEL32.DLL WriteFile
5   0x00407074 NONE FUNC KERNEL32.DLL UnhandledExceptionFilter
6   0x00407078 NONE FUNC KERNEL32.DLL SetFilePointer
7   0x0040707c NONE FUNC KERNEL32.DLL SetEndOfFile
8   0x00407080 NONE FUNC KERNEL32.DLL RtlUnwind
9   0x004070f8 NONE FUNC KERNEL32.DLL ReadFile
10  0x00407088 NONE FUNC KERNEL32.DLL RaiseException
11  0x0040708c NONE FUNC KERNEL32.DLL GetStdHandle
12  0x00407090 NONE FUNC KERNEL32.DLL GetFileSize
13  0x00407094 NONE FUNC KERNEL32.DLL GetFileType
14  0x00407124 NONE FUNC KERNEL32.DLL CreateFileA
15  0x0040712c NONE FUNC KERNEL32.DLL CloseHandle
16  0x004070a0 NONE FUNC KERNEL32.DLL GetCommandLineA
17  0x004070a4 NONE FUNC KERNEL32.DLL TlsSetValue
18  0x004070a8 NONE FUNC KERNEL32.DLL TlsGetValue
19  0x004070ac NONE FUNC KERNEL32.DLL LocalAlloc
20  0x004070b0 NONE FUNC KERNEL32.DLL GetModuleHandleA
21  0x004070b4 NONE FUNC KERNEL32.DLL GetModuleFileNameA
22  0x004070b8 NONE FUNC KERNEL32.DLL FreeLibrary
23  0x004070bc NONE FUNC KERNEL32.DLL HeapFree
24  0x004070c0 NONE FUNC KERNEL32.DLL HeapReAlloc
25  0x004070c4 NONE FUNC KERNEL32.DLL HeapAlloc
26  0x004070c8 NONE FUNC KERNEL32.DLL GetProcessHeap
1   0x004070d8 NONE FUNC advapi32.dll RegSetValueExA
2   0x004070dc NONE FUNC advapi32.dll RegQueryValueExA
3   0x004070e0 NONE FUNC advapi32.dll RegOpenKeyExA
4   0x004070e4 NONE FUNC advapi32.dll RegFlushKey
5   0x004070e8 NONE FUNC advapi32.dll RegCreateKeyExA
6   0x004070ec NONE FUNC advapi32.dll RegCloseKey
1   0x004070d0 NONE FUNC user32.dll   CharNextA

[Symbols]

nth paddr      vaddr      bind type size lib          name
1   0x000070d8 0x004070d8 NONE FUNC 0    advapi32.dll imp.RegSetValueExA
2   0x000070dc 0x004070dc NONE FUNC 0    advapi32.dll imp.RegQueryValueExA
3   0x000070e0 0x004070e0 NONE FUNC 0    advapi32.dll imp.RegOpenKeyExA
4   0x000070e4 0x004070e4 NONE FUNC 0    advapi32.dll imp.RegFlushKey
5   0x000070e8 0x004070e8 NONE FUNC 0    advapi32.dll imp.RegCreateKeyExA
6   0x000070ec 0x004070ec NONE FUNC 0    advapi32.dll imp.RegCloseKey
1   0x000070d0 0x004070d0 NONE FUNC 0    user32.dll   imp.CharNextA
[Strings]
nth paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0   0x0000e004 0x0040e004 4   5    .rsrc   ascii   i3\v1
1   0x0000e01c 0x0040e01c 4   5    .rsrc   ascii   i3\v1
2   0x0000e03c 0x0040e03c 4   5    .rsrc   ascii   i3\v1
3   0x0000e064 0x0040e064 4   5    .rsrc   ascii   i3\v1
4   0x0000e08a 0x0040e08a 18  37   .rsrc   utf16le DVCLAL\vPACKAGEINFO
5   0x0000e120 0x0040e120 12  13   .rsrc   ascii   KERNEL32.DLL
6   0x0000e12d 0x0040e12d 12  13   .rsrc   ascii   advapi32.dll
7   0x0000e13a 0x0040e13a 10  11   .rsrc   ascii   user32.dll
8   0x0000e146 0x0040e146 12  13   .rsrc   ascii   LoadLibraryA
9   0x0000e154 0x0040e154 14  15   .rsrc   ascii   GetProcAddress
10  0x0000e164 0x0040e164 11  12   .rsrc   ascii   ExitProcess
11  0x0000e172 0x0040e172 11  12   .rsrc   ascii   RegFlushKey
12  0x0000e180 0x0040e180 9   10   .rsrc   ascii   CharNextA
13  0x00012064 0x00412064 12  13   .rsrc   ascii   KERNEL32.DLL
14  0x00012071 0x00412071 12  13   .rsrc   ascii   KERNEL32.DLL
15  0x0001207e 0x0041207e 12  13   .rsrc   ascii   advapi32.dll
16  0x0001208b 0x0041208b 10  11   .rsrc   ascii   user32.dll
17  0x000120f4 0x004120f4 9   10   .rsrc   ascii   WriteFile
18  0x00012100 0x00412100 8   9    .rsrc   ascii   ReadFile
19  0x0001210b 0x0041210b 20  21   .rsrc   ascii   GetWindowsDirectoryA
20  0x00012122 0x00412122 12  13   .rsrc   ascii   GetLastError
21  0x00012131 0x00412131 13  14   .rsrc   ascii   FindNextFileA
22  0x00012141 0x00412141 14  15   .rsrc   ascii   FindFirstFileA
23  0x00012152 0x00412152 9   10   .rsrc   ascii   FindClose
24  0x0001215e 0x0041215e 23  24   .rsrc   ascii   FileTimeToLocalFileTime
25  0x00012178 0x00412178 21  22   .rsrc   ascii   FileTimeToDosDateTime
26  0x00012190 0x00412190 11  12   .rsrc   ascii   ExitProcess
27  0x0001219e 0x0041219e 11  12   .rsrc   ascii   DeleteFileA
28  0x000121ac 0x004121ac 12  13   .rsrc   ascii   CreateMutexA
29  0x000121bb 0x004121bb 11  12   .rsrc   ascii   CreateFileA
30  0x000121c9 0x004121c9 9   10   .rsrc   ascii   CopyFileA
31  0x000121d5 0x004121d5 11  12   .rsrc   ascii   CloseHandle
32  0x00012263 0x00412263 18  19   .rsrc   ascii   GetCurrentThreadId
33  0x00012278 0x00412278 12  13   .rsrc   ascii   GetLastError
34  0x00012287 0x00412287 11  12   .rsrc   ascii   ExitProcess
35  0x00012295 0x00412295 9   10   .rsrc   ascii   WriteFile
36  0x000122a1 0x004122a1 24  25   .rsrc   ascii   UnhandledExceptionFilter
37  0x000122bc 0x004122bc 14  15   .rsrc   ascii   SetFilePointer
38  0x000122cd 0x004122cd 12  13   .rsrc   ascii   SetEndOfFile
39  0x000122dc 0x004122dc 9   10   .rsrc   ascii   RtlUnwind
40  0x000122e8 0x004122e8 8   9    .rsrc   ascii   ReadFile
41  0x000122f3 0x004122f3 14  15   .rsrc   ascii   RaiseException
42  0x00012304 0x00412304 12  13   .rsrc   ascii   GetStdHandle
43  0x00012313 0x00412313 11  12   .rsrc   ascii   GetFileSize
44  0x00012321 0x00412321 11  12   .rsrc   ascii   GetFileType
45  0x0001232f 0x0041232f 11  12   .rsrc   ascii   CreateFileA
46  0x0001233d 0x0041233d 11  12   .rsrc   ascii   CloseHandle
47  0x0001234b 0x0041234b 15  16   .rsrc   ascii   GetCommandLineA
48  0x0001235d 0x0041235d 11  12   .rsrc   ascii   TlsSetValue
49  0x0001236b 0x0041236b 11  12   .rsrc   ascii   TlsGetValue
50  0x00012379 0x00412379 10  11   .rsrc   ascii   LocalAlloc
51  0x00012386 0x00412386 16  17   .rsrc   ascii   GetModuleHandleA
52  0x00012399 0x00412399 18  19   .rsrc   ascii   GetModuleFileNameA
53  0x000123ae 0x004123ae 11  12   .rsrc   ascii   FreeLibrary
54  0x000123bc 0x004123bc 8   9    .rsrc   ascii   HeapFree
55  0x000123c7 0x004123c7 11  12   .rsrc   ascii   HeapReAlloc
56  0x000123d5 0x004123d5 9   10   .rsrc   ascii   HeapAlloc
57  0x000123e1 0x004123e1 14  15   .rsrc   ascii   GetProcessHeap
58  0x00012422 0x00412422 14  15   .rsrc   ascii   RegSetValueExA
59  0x00012433 0x00412433 16  17   .rsrc   ascii   RegQueryValueExA
60  0x00012446 0x00412446 13  14   .rsrc   ascii   RegOpenKeyExA
61  0x00012456 0x00412456 11  12   .rsrc   ascii   RegFlushKey
62  0x00012464 0x00412464 15  16   .rsrc   ascii   RegCreateKeyExA
63  0x00012476 0x00412476 11  12   .rsrc   ascii   RegCloseKey
64  0x000124a0 0x004124a0 9   10   .rsrc   ascii   CharNextA
arch     x86
baddr    0x400000
binsz    1766458
bintype  pe
bits     32
canary   true
retguard false
class    PE32
cmp.csum 0x001bb6af
compiled Fri Jun 19 22:22:17 1992
crypto   false
endian   little
havecode true
hdr.csum 0x00023252
laddr    0x0
lang     c
linenum  true
lsyms    true
machine  i386
nx       false
os       windows
overlay  true
cc       cdecl
pic      false
relocs   true
signed   false
sanitize false
static   false
stripped false
subsys   Windows GUI
va       true
PE file header:
IMAGE_NT_HEADERS
  Signature : 0x4550
IMAGE_FILE_HEADERS
  Machine : 0x14c
  NumberOfSections : 0x3
  TimeDateStamp : 0x2a425e19
  PointerToSymbolTable : 0x0
  NumberOfSymbols : 0x0
  SizeOfOptionalHeader : 0xe0
  Characteristics : 0x818f
IMAGE_OPTIONAL_HEADERS
  Magic : 0x10b
  MajorLinkerVersion : 0x2
  MinorLinkerVersion : 0x19
  SizeOfCode : 0x3000
  SizeOfInitializedData : 0x1000
  SizeOfUninitializedData : 0xa000
  AddressOfEntryPoint : 0x4670
  BaseOfCode : 0xb000
  BaseOfData : 0xe000
  ImageBase : 0x400000
  SectionAlignment : 0x1000
  FileAlignment : 0x200
  MajorOperatingSystemVersion : 0x4
  MinorOperatingSystemVersion : 0x0
  MajorImageVersion : 0x0
  MinorImageVersion : 0x0
  MajorSubsystemVersion : 0x4
  MinorSubsystemVersion : 0x0
  Win32VersionValue : 0x0
  SizeOfImage : 0x20000
  SizeOfHeaders : 0x1000
  CheckSum : 0x23252
  Subsystem : 0x2
  DllCharacteristics : 0x0
  SizeOfStackReserve : 0x100000
  SizeOfStackCommit : 0x4000
  SizeOfHeapReserve : 0x100000
  SizeOfHeapCommit : 0x1000
  LoaderFlags : 0x0
  NumberOfRvaAndSizes : 0x10
RICH_FIELDS
IMAGE_DIRECTORY_ENTRY_IMPORT
  VirtualAddress : 0x12000
  Size : 0x50
IMAGE_DIRECTORY_ENTRY_RESOURCE
  VirtualAddress : 0xe000
  Size : 0xb0
IMAGE_DIRECTORY_ENTRY_TLS
  VirtualAddress : 0xd214
  Size : 0x18
IMAGE_DIRECTORY_ENTRY_DELAY_IMPORT
  VirtualAddress : 0x0
  Size : 0xffff
[Linked libraries]
kernel32.dll
advapi32.dll
user32.dll

3 libraries
[Relocations]

vaddr      paddr      type   name
―――――――――――――――――――――――――――――――――
0x000120f2 0x000070f4 SET_32 KERNEL32.DLL_WriteFile
0x000120fe 0x000070f8 SET_32 KERNEL32.DLL_ReadFile
0x00012109 0x000070fc SET_32 KERNEL32.DLL_GetWindowsDirectoryA
0x00012120 0x00007100 SET_32 KERNEL32.DLL_GetLastError
