Metadata Signature: 0x14d14 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 537c
Stream name: #~ 4
DirectoryAddress: 53e8 Size: 57c4
Stream name: #Strings 12
DirectoryAddress: abac Size: cc
Stream name: #US 4
DirectoryAddress: ac78 Size: 10
Stream name: #GUID 8
DirectoryAddress: ac88 Size: 1ac8
Stream name: #Blob 8
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
3141  0x000517c3 0x004533c3 6   7    .text   ascii   szcZe_
3142  0x000517d3 0x004533d3 5   6    .text   ascii   ,T\cn
3143  0x000517fb 0x004533fb 4   5    .text   ascii   EIzA
3144  0x00051833 0x00453433 5   6    .text   ascii   \ag[Ou
3145  0x00051851 0x00453451 4   5    .text   ascii   3AKD
3146  0x00051865 0x00453465 4   5    .text   ascii   2D{N
3147  0x0005188c 0x0045348c 4   5    .text   ascii   SN!$
3148  0x0005189a 0x0045349a 4   6    .text   utf8    ^DѼL blocks=Basic Latin,Cyrillic
3149  0x0005198a 0x0045358a 7   9    .text   utf8    F\n?#\vN+
3150  0x00051a21 0x00453621 7   8    .text   ascii   L[eU\r\v}
3151  0x00051a33 0x00453633 4   5    .text   ascii   }^}j
3152  0x00051ace 0x004536ce 7   8    .text   ascii   yO\apS9a
3153  0x00051ad6 0x004536d6 4   5    .text   ascii   8#iU
3154  0x00051b0c 0x0045370c 4   7    .text   utf8    N\epｗ blocks=Basic Latin,Halfwidth and Fullwidth Forms
3155  0x00051b18 0x00453718 5   6    .text   ascii   :9}>\r
3156  0x00051b35 0x00453735 4   5    .text   ascii   ^|R'
3157  0x00051b41 0x00453741 5   7    .text   utf8    ɻ`o%G blocks=IPA Extensions,Basic Latin
3158  0x00051be5 0x004537e5 4   5    .text   ascii   qq6%
3159  0x00051c23 0x00453823 5   6    .text   ascii   O~Al(
3160  0x00051c37 0x00453837 5   8    .text   utf8    :C0\b blocks=Private Use Area,Basic Latin
3161  0x00051cfd 0x004538fd 5   7    .text   utf8    \rϡQ_\b blocks=Basic Latin,Greek and Coptic
3162  0x00051d66 0x00453966 4   6    .text   utf8    ٨:.n blocks=Arabic,Basic Latin
3163  0x00051da6 0x004539a6 5   7    .text   utf8    }/|Ào blocks=Basic Latin,Latin-1 Supplement
3164  0x00051deb 0x004539eb 4   6    .text   utf8    zQÞ# blocks=Basic Latin,Latin-1 Supplement
3165  0x00051e19 0x00453a19 4   5    .text   ascii   Cv\th
3166  0x00051e33 0x00453a33 4   5    .text   ascii   -!2'
3167  0x00051e61 0x00453a61 4   5    .text   ascii   ]mow
3168  0x00051e70 0x00453a70 5   6    .text   ascii   OB_"K
3169  0x00051e88 0x00453a88 6   8    .text   utf8    GF\aX<#
3170  0x00051eca 0x00453aca 4   5    .text   ascii   mMq~
3171  0x00051f19 0x00453b19 4   5    .text   ascii   O+G*
3172  0x00051f5a 0x00453b5a 5   7    .text   utf8    6Ʃ#0\n blocks=Basic Latin,Latin Extended-B
3173  0x00051f69 0x00453b69 7   8    .text   ascii    k9@sW|
3174  0x00051f85 0x00453b85 4   5    .text   ascii   ,XZG
3175  0x00051f99 0x00453b99 9   11   .text   utf8    ,aZaϐ{|2l blocks=Basic Latin,Greek and Coptic
3176  0x0005200b 0x00453c0b 4   5    .text   ascii   ~u.C
3177  0x00052010 0x00453c10 4   5    .text   ascii   M2ma
3178  0x00052024 0x00453c24 4   5    .text   ascii   nTo\a
3179  0x000520d6 0x00453cd6 5   7    .text   utf8    @,\e$߹ blocks=Basic Latin,NKo
3180  0x0005211c 0x00453d1c 4   5    .text   ascii   ys_{
3181  0x0005217f 0x00453d7f 4   5    .text   ascii   `35r
3182  0x000521b5 0x00453db5 4   5    .text   ascii   IY0!
3183  0x000521d5 0x00453dd5 4   5    .text   ascii   H~Xq
3184  0x0005222d 0x00453e2d 5   7    .text   utf8    ؠCln` blocks=Arabic,Basic Latin
3185  0x0005232f 0x00453f2f 4   5    .text   ascii   D1I(
3186  0x00052341 0x00453f41 5   6    .text   ascii   w"Y:=
3187  0x00052359 0x00453f59 5   6    .text   ascii   -54o0
3188  0x00052367 0x00453f67 4   5    .text   ascii   \nj_2
3189  0x000523b7 0x00453fb7 4   5    .text   ascii   qZNS
3190  0x000523d9 0x00453fd9 6   8    .text   utf8    kC\aˆoO blocks=Basic Latin,Spacing Modifier Letters
3191  0x00052416 0x00454016 4   5    .text   ascii   |K@C
3192  0x00052423 0x00454023 4   5    .text   ascii   c]A\t
3193  0x00052440 0x00454040 5   8    .text   utf8    Q-ۗ`ȶ blocks=Basic Latin,Arabic,Latin Extended-B
3194  0x0005245d 0x0045405d 5   6    .text   ascii   fHjv4
3195  0x0005249f 0x0045409f 7   9    .text   utf8    q$.]a#=
3196  0x000524f0 0x004540f0 5   8    .text   utf8    a촒ZW2 blocks=Basic Latin,Hangul Syllables
3197  0x00052528 0x00454128 4   5    .text   ascii   :'~T
3198  0x00052551 0x00454151 4   5    .text   ascii   aVQ]
3199  0x000525a1 0x004541a1 4   5    .text   ascii   u7T;
3200  0x000525aa 0x004541aa 5   6    .text   ascii   /k"Ev
3201  0x000525d6 0x004541d6 6   7    .text   ascii   -0,0\tz
3202  0x000525f5 0x004541f5 4   5    .text   ascii   rm]3
3203  0x000525fd 0x004541fd 4   5    .text   ascii   x7N 
3204  0x00052625 0x00454225 5   6    .text   ascii   O\tJy\b
3205  0x0005266f 0x0045426f 6   7    .text   ascii   J{M@HI
3206  0x0005267b 0x0045427b 4   5    .text   ascii   r,Nn
3207  0x000526ad 0x004542ad 4   6    .text   utf8    hT6ߤ blocks=Basic Latin,NKo
3208  0x000526f6 0x004542f6 4   5    .text   ascii   l}P,
3209  0x00052729 0x00454329 4   5    .text   ascii   sY_Z
3210  0x00052752 0x00454352 5   6    .text   ascii   7N2-m
3211  0x00052758 0x00454358 4   5    .text   ascii   _X\aH
3212  0x0005276a 0x0045436a 4   5    .text   ascii   f\acX
3213  0x000527ba 0x004543ba 4   5    .text   ascii   tEb\r
3214  0x00052805 0x00454405 5   6    .text   ascii   OEW=t
3215  0x00052835 0x00454435 4   5    .text   ascii   e}Rf
3216  0x0005284a 0x0045444a 4   5    .text   ascii   7Kd5
3217  0x00052850 0x00454450 4   5    .text   ascii   -dJ\n
3218  0x0005285e 0x0045445e 4   6    .text   utf8    5(ð! blocks=Basic Latin,Latin-1 Supplement
3219  0x00052879 0x00454479 4   5    .text   ascii   7U(E
3220  0x00052892 0x00454492 4   5    .text   ascii   .}|?
3221  0x000528cc 0x004544cc 4   5    .text   ascii   \e9(4
3222  0x000528d1 0x004544d1 4   5    .text   ascii   I\r<f
3223  0x000528e4 0x004544e4 4   5    .text   ascii   &\fLS
3224  0x0005293c 0x0045453c 4   5    .text   ascii   i5\tp
3225  0x00052972 0x00454572 4   5    .text   ascii   iAd]
3226  0x0005297a 0x0045457a 4   5    .text   ascii   vSRb
3227  0x00052984 0x00454584 4   5    .text   ascii   G87`
3228  0x000529dd 0x004545dd 4   6    .text   utf8    ^cǽq blocks=Basic Latin,Latin Extended-B
3229  0x00052a0c 0x0045460c 5   8    .text   utf8    "lgᏔ> blocks=Basic Latin,Cherokee
3230  0x00052a28 0x00454628 4   5    .text   ascii   {02q
3231  0x00052a7e 0x0045467e 4   6    .text   utf8    -lӭ\t blocks=Basic Latin,Cyrillic
3232  0x00052b16 0x00454716 4   5    .text   ascii   =eZ\n
3233  0x00052b51 0x00454751 8   11   .text   utf8    h2κVj3͜p blocks=Basic Latin,Greek and Coptic,Combining Diacritical Marks
3234  0x00052b76 0x00454776 4   5    .text   ascii   \nuc\v
3235  0x00052bb3 0x004547b3 5   6    .text   ascii   R\vUc\v
3236  0x00052be3 0x004547e3 4   5    .text   ascii   Ca4$
3237  0x00052c75 0x00454875 4   6    .text   utf8    \R7ț blocks=Basic Latin,Latin Extended-B
3238  0x00052c85 0x00454885 5   7    .text   utf8    l ˠ<p blocks=Basic Latin,Spacing Modifier Letters
3239  0x00052d05 0x00454905 5   7    .text   utf8    %ֲ\rG' blocks=Basic Latin,Hebrew
3240  0x00052db2 0x004549b2 4   5    .text   ascii   ,\a:g
3241  0x00052dbc 0x004549bc 4   5    .text   ascii   `(2;
3242  0x00052dc5 0x004549c5 4   5    .text   ascii   c9WJ
3243  0x00052e0c 0x00454a0c 6   7    .text   ascii   m%YDo'
3244  0x00052e14 0x00454a14 5   6    .text   ascii   9oOq\n
3245  0x00052e81 0x00454a81 4   5    .text   ascii   @\thD
3246  0x00052e92 0x00454a92 4   5    .text   ascii   M@j&
3247  0x00052f02 0x00454b02 5   6    .text   ascii   PwHW}
3248  0x00052f30 0x00454b30 5   7    .text   utf8    ŤQebp blocks=Latin Extended-A,Basic Latin
3249  0x00052f39 0x00454b39 5   6    .text   ascii   -Q40,
3250  0x00052f5d 0x00454b5d 4   5    .text   ascii   <y\eP
3251  0x00052f62 0x00454b62 4   5    .text   ascii   \tmU\n
3252  0x00052f9a 0x00454b9a 4   5    .text   ascii   #740
3253  0x00052fb6 0x00454bb6 4   5    .text   ascii   K|e_
3254  0x00052fd8 0x00454bd8 4   5    .text   ascii   #=Q_
3255  0x00052ffb 0x00454bfb 4   6    .text   utf8    3Ӌ\f\t blocks=Basic Latin,Cyrillic
3256  0x00053003 0x00454c03 5   7    .text   utf8    h֛C\f2 blocks=Basic Latin,Hebrew
3257  0x00053018 0x00454c18 6   7    .text   ascii   D&NMmt
3258  0x00053032 0x00454c32 4   5    .text   ascii   \aF^,
3259  0x00053093 0x00454c93 5   6    .text   ascii   k@\vqo
3260  0x000530c6 0x00454cc6 8   10   .text   utf8    HErZԡFWu blocks=Basic Latin,Cyrillic Supplement
3261  0x000530d1 0x00454cd1 6   7    .text   ascii   5D2\bv0
3262  0x000530f3 0x00454cf3 4   5    .text   ascii   </4H
3263  0x0005313a 0x00454d3a 5   6    .text   ascii   X'=K8
3264  0x00053173 0x00454d73 4   5    .text   ascii   >fg=
3265  0x00053185 0x00454d85 4   6    .text   utf8    }\r!߫ blocks=Basic Latin,NKo
3266  0x000531ac 0x00454dac 7   8    .text   ascii   F!(uA=r
3267  0x000531d2 0x00454dd2 4   5    .text   ascii   \aS%U
3268  0x000531ee 0x00454dee 6   7    .text   ascii   Q+Z\fxH
3269  0x000531ff 0x00454dff 4   5    .text   ascii   J)M9
3270  0x0005322b 0x00454e2b 7   11   .text   utf8    D䯵Xr܆tN blocks=Basic Latin,CJK Unified Ideographs Extension A,Syriac
3271  0x00053273 0x00454e73 5   6    .text   ascii   [\n .m
3272  0x00053286 0x00454e86 6   7    .text   ascii   }t{C=3
3273  0x00053291 0x00454e91 6   8    .text   utf8    o>XX3Ӌ blocks=Basic Latin,Cyrillic
3274  0x000532e5 0x00454ee5 4   5    .text   ascii   \v0b(
3275  0x000532f0 0x00454ef0 6   7    .text   ascii   {U\ad_'
3276  0x00053328 0x00454f28 6   7    .text   ascii   d]L!Ot
3277  0x0005335e 0x00454f5e 5   6    .text   ascii   Jb,e\v
3278  0x00053364 0x00454f64 5   6    .text   ascii   Q/lK-
3279  0x0005336c 0x00454f6c 4   5    .text   ascii   =pXD
3280  0x00053382 0x00454f82 7   9    .text   utf8    \vzK\r϶\b} blocks=Basic Latin,Greek and Coptic
3281  0x00053396 0x00454f96 4   5    .text   ascii   \wK\a
3282  0x000533d8 0x00454fd8 4   5    .text   ascii   hDH#
3283  0x000533e1 0x00454fe1 4   6    .text   utf8    ä2z9 blocks=Latin-1 Supplement,Basic Latin
3284  0x0005347d 0x0045507d 8   9    .text   ascii   W5OklbW\v
3285  0x00053538 0x00455138 6   7    .text   ascii   |{)v<T
3286  0x00053565 0x00455165 4   5    .text   ascii   23z-
3287  0x0005356a 0x0045516a 7   8    .text   ascii   w3P}#fR
3288  0x00053572 0x00455172 12  14   .text   utf8    \v-a|5rw<A ןX blocks=Basic Latin,Hebrew
3289  0x000535bb 0x004551bb 5   6    .text   ascii   ASC9\
3290  0x000535ca 0x004551ca 4   5    .text   ascii   bc--
3291  0x000535f1 0x004551f1 7   9    .text   utf8    #ѬX5Gjd blocks=Basic Latin,Cyrillic
3292  0x000535fa 0x004551fa 4   5    .text   ascii   "iV\b
3293  0x0005360a 0x0045520a 4   5    .text   ascii   9;:M
3294  0x000536ac 0x004552ac 4   5    .text   ascii   GD=I
3295  0x000536ec 0x004552ec 4   5    .text   ascii   p-C'
3296  0x00053732 0x00455332 4   5    .text   ascii   KOV/
3297  0x00053742 0x00455342 4   5    .text   ascii   w'R~
3298  0x00053761 0x00455361 7   8    .text   ascii   *Gnmd4;
3299  0x00053785 0x00455385 7   8    .text   ascii   6bJ(L:S
3300  0x00053795 0x00455395 4   7    .text   utf8    "LںԤ blocks=Basic Latin,Arabic,Cyrillic Supplement
3301  0x000537e6 0x004553e6 5   8    .text   utf8    Bƙ3ҧX blocks=Basic Latin,Latin Extended-B,Cyrillic
3302  0x0005382c 0x0045542c 5   7    .text   utf8    {×8`Y blocks=Basic Latin,Latin-1 Supplement
3303  0x00053835 0x00455435 6   8    .text   utf8    ovɓP~W blocks=Basic Latin,IPA Extensions
3304  0x0005384e 0x0045544e 4   5    .text   ascii   o\nig
3305  0x00053863 0x00455463 5   7    .text   utf8    ٧^H-\r blocks=Arabic,Basic Latin
3306  0x0005389c 0x0045549c 4   5    .text   ascii   =4$k
3307  0x000538a1 0x004554a1 5   7    .text   utf8    y҇",\t blocks=Basic Latin,Cyrillic
3308  0x00053920 0x00455520 4   5    .text   ascii   5}x\
3309  0x0005395a 0x0045555a 6   7    .text   ascii   \tF'XR{
3310  0x00053979 0x00455579 4   6    .text   utf8    Wǿ99 blocks=Basic Latin,Latin Extended-B
3311  0x0005397f 0x0045557f 4   5    .text   ascii   R\t4V
3312  0x000539d0 0x004555d0 5   6    .text   ascii   INS9P
3313  0x00053a16 0x00455616 4   6    .text   utf8    B QՎ blocks=Basic Latin,Armenian
3314  0x00053ad9 0x004556d9 5   6    .text   ascii   h6H\au
3315  0x00053b19 0x00455719 8   11   .text   utf8    hǵ/p~fƼD blocks=Basic Latin,Latin Extended-B
3316  0x00053b41 0x00455741 6   7    .text   ascii   u)WA;m
3317  0x00053b67 0x00455767 4   7    .text   utf8    v62닀 blocks=Basic Latin,Hangul Syllables
3318  0x00053b7f 0x0045577f 4   6    .text   utf8    ʕ\nKn blocks=IPA Extensions,Basic Latin
3319  0x00053b91 0x00455791 5   6    .text   ascii   /O*-y
3320  0x00053b9a 0x0045579a 4   7    .text   utf8    8z[ blocks=Basic Latin,Private Use Area
3321  0x00053ba9 0x004557a9 4   6    .text   utf8    -|[c
3322  0x00053bca 0x004557ca 5   6    .text   ascii   {\asJR
3323  0x00053bda 0x004557da 5   6    .text   ascii   Lmy\tL
3324  0x00053be1 0x004557e1 5   7    .text   utf8    DԶ3\a blocks=Basic Latin,Armenian
3325  0x00053bfc 0x004557fc 4   5    .text   ascii   bg;?
3326  0x00053c0e 0x0045580e 4   5    .text   ascii   UO\ns
3327  0x00053c49 0x00455849 5   7    .text   utf8    8ϼR\rd blocks=Basic Latin,Greek and Coptic
3328  0x00053c87 0x00455887 7   9    .text   utf8    k+dLHIā blocks=Basic Latin,Latin Extended-A
3329  0x00053c95 0x00455895 5   6    .text   ascii   j+,\M
3330  0x00053cb1 0x004558b1 4   5    .text   ascii   W~eK
3331  0x00053cc3 0x004558c3 4   5    .text   ascii   )Y>V
3332  0x00053cfa 0x004558fa 4   5    .text   ascii   epJ*
3333  0x00053d08 0x00455908 5   6    .text   ascii   ,(Pg_
3334  0x00053d18 0x00455918 5   6    .text   ascii   ^a\faz
3335  0x00053d22 0x00455922 4   5    .text   ascii   ~|zo
3336  0x00053d31 0x00455931 5   6    .text   ascii   u" \fq
3337  0x00053d51 0x00455951 4   5    .text   ascii   tKod
3338  0x00053d5f 0x0045595f 4   5    .text   ascii   s1Rm
3339  0x00053d70 0x00455970 5   6    .text   ascii   U(ef$
3340  0x00053dbc 0x004559bc 6   9    .text   utf8    t[ou孴E blocks=Basic Latin,CJK Unified Ideographs
3341  0x00053dcc 0x004559cc 5   6    .text   ascii   8$McW
3342  0x00053dda 0x004559da 5   6    .text   ascii   \rvj[X
3343  0x00053de5 0x004559e5 4   6    .text   utf8    Uyƿ  blocks=Basic Latin,Latin Extended-B
3344  0x00053e1c 0x00455a1c 6   7    .text   ascii   c)!N4?
3345  0x00053e9c 0x00455a9c 4   5    .text   ascii   \LC1
3346  0x00053ed5 0x00455ad5 6   7    .text   ascii   q05ZgW
3347  0x00053edf 0x00455adf 5   7    .text   utf8    ީ!U/^ blocks=Thaana,Basic Latin
3348  0x00053f00 0x00455b00 6   8    .text   utf8    X6r¿0p blocks=Basic Latin,Latin-1 Supplement
3349  0x00053f09 0x00455b09 4   5    .text   ascii   G\n\nG
3350  0x00053f8b 0x00455b8b 5   8    .text   utf8    5ڽť\a  blocks=Basic Latin,Arabic,Latin Extended-A
3351  0x00053f99 0x00455b99 6   7    .text   ascii   <\t8ZZv
3352  0x00053fd1 0x00455bd1 4   5    .text   ascii   .FEV
3353  0x00054024 0x00455c24 4   5    .text   ascii   7DS'
3354  0x0005403c 0x00455c3c 4   5    .text   ascii   E+2\v
3355  0x0005404a 0x00455c4a 5   6    .text   ascii   &62ai
3356  0x0005406a 0x00455c6a 7   8    .text   ascii   cootq~G
3357  0x00054087 0x00455c87 4   6    .text   utf8    fĽd8 blocks=Basic Latin,Latin Extended-A
3358  0x000540f9 0x00455cf9 5   6    .text   ascii   qbu\eu
3359  0x00054139 0x00455d39 5   7    .text   utf8    nAޢ9U blocks=Basic Latin,Thaana
3360  0x00054182 0x00455d82 4   5    .text   ascii   #<%E
3361  0x0005419d 0x00455d9d 5   6    .text   ascii   (\t pE
3362  0x000541d0 0x00455dd0 7   8    .text   ascii   <cJPje4
3363  0x000541e4 0x00455de4 4   5    .text   ascii   ~h9V
3364  0x000541f8 0x00455df8 4   5    .text   ascii   \a/YX
3365  0x00054225 0x00455e25 4   6    .text   utf8    `mד= blocks=Basic Latin,Hebrew
3366  0x000542e3 0x00455ee3 6   8    .text   utf8    PXKσw\a blocks=Basic Latin,Greek and Coptic
3367  0x0005430a 0x00455f0a 4   5    .text   ascii   \\f:)
3368  0x00054323 0x00455f23 5   6    .text   ascii   \r\t`CT
3369  0x00054350 0x00455f50 5   6    .text   ascii   O+)d+
3370  0x000543c1 0x00455fc1 4   5    .text   ascii   \am\tH
3371  0x000543eb 0x00455feb 7   11   .text   utf8    ,Ӏyƈyƀ- blocks=Basic Latin,Cyrillic,Latin Extended-B
3372  0x0005446d 0x0045606d 7   11   .text   utf8    qٯ^ŧkŗI blocks=Basic Latin,Arabic,Latin Extended-A
3373  0x00054551 0x00456151 5   7    .text   utf8    Q\bMgW
3374  0x00054618 0x00456218 4   5    .text   ascii   .+Y:
3375  0x000546e5 0x004562e5 5   6    .text   ascii   =UGmK
3376  0x0005472a 0x0045632a 6   8    .text   utf8    "\eYٳc> blocks=Basic Latin,Arabic
3377  0x00054742 0x00456342 4   6    .text   utf8    hhʤr blocks=Basic Latin,IPA Extensions
3378  0x0005474d 0x0045634d 7   8    .text   ascii   bJvFqOq
3379  0x00054797 0x00456397 4   5    .text   ascii   7kZm
3380  0x000547d2 0x004563d2 5   6    .text   ascii   \LR0G
3381  0x000547ff 0x004563ff 4   5    .text   ascii   NHnT
3382  0x0005480a 0x0045640a 5   8    .text   utf8    |ea\vᛯ blocks=Basic Latin,Runic
3383  0x00054827 0x00456427 4   5    .text   ascii   3`p{
3384  0x00054830 0x00456430 5   7    .text   utf8    gg[ձ\v blocks=Basic Latin,Armenian
3385  0x00054931 0x00456531 5   6    .text   ascii   h2:-'
3386  0x00054985 0x00456585 4   5    .text   ascii   .58'
3387  0x0005499e 0x0045659e 5   8    .text   utf8    ΙP^ɠ? blocks=Greek and Coptic,Basic Latin,IPA Extensions
3388  0x000549b5 0x004565b5 5   6    .text   ascii   J?[t[
3389  0x000549bb 0x004565bb 4   5    .text   ascii   YJ\f,
3390  0x000549c6 0x004565c6 4   7    .text   utf8    M'`ࡔ blocks=Basic Latin,Mandaic
3391  0x000549cd 0x004565cd 5   6    .text   ascii   8\n%d\r
3392  0x00054a0e 0x0045660e 4   7    .text   utf8    :#+宺 blocks=Basic Latin,CJK Unified Ideographs
3393  0x00054acb 0x004566cb 4   5    .text   ascii   :>\>
3394  0x00054ae4 0x004566e4 4   6    .text   utf8    qR)X
3395  0x00054af6 0x004566f6 7   8    .text   ascii   8"l*j@S
3396  0x00054b1b 0x0045671b 7   8    .text   ascii   uA`B6:P
3397  0x00054b37 0x00456737 4   5    .text   ascii   #^S\n
3398  0x00054b74 0x00456774 4   6    .text   utf8    ɍ:Ju blocks=Latin Extended-B,Basic Latin
3399  0x00054b9c 0x0045679c 4   7    .text   utf8    <h̒ܩ blocks=Basic Latin,Combining Diacritical Marks,Syriac
3400  0x00054bca 0x004567ca 6   7    .text   ascii   d6L0\a'
3401  0x00054be5 0x004567e5 4   5    .text   ascii   Q@I6
3402  0x00054c58 0x00456858 5   6    .text   ascii   FP{UT
3403  0x00054c62 0x00456862 4   5    .text   ascii   D7%d
3404  0x00054c92 0x00456892 6   7    .text   ascii   YD)6\b)
3405  0x00054cec 0x004568ec 5   6    .text   ascii   w)\n\t"
3406  0x00054d35 0x00456935 4   5    .text   ascii   o$:I
3407  0x00054d44 0x00456944 9   10   .text   ascii   P}dQ4oC:W
3408  0x00054d54 0x00456954 4   5    .text   ascii   CP;m
3409  0x00054d69 0x00456969 5   6    .text   ascii   xgx}E
3410  0x00054d94 0x00456994 4   6    .text   utf8    ?İ%P blocks=Basic Latin,Latin Extended-A
3411  0x00054d9c 0x0045699c 4   5    .text   ascii   +:\bj
3412  0x00054daa 0x004569aa 5   6    .text   ascii   <M#D\n
3413  0x00054dbf 0x004569bf 4   5    .text   ascii   :ah1
3414  0x00054dc8 0x004569c8 8   10   .text   utf8    ǅ0J7ao1\v blocks=Latin Extended-B,Basic Latin
3415  0x00054df1 0x004569f1 6   7    .text   ascii   F\ecoyT
3416  0x00054df8 0x004569f8 8   10   .text   utf8    AIɂG2{"W blocks=Basic Latin,Latin Extended-B
3417  0x00054e1c 0x00456a1c 5   7    .text   utf8    )˻mxG blocks=Basic Latin,Spacing Modifier Letters
3418  0x00054e2d 0x00456a2d 6   8    .text   utf8    yHGͪ~a blocks=Basic Latin,Combining Diacritical Marks
3419  0x00054ec8 0x00456ac8 5   6    .text   ascii   JY.b\n
3420  0x00054f98 0x00456b98 4   5    .text   ascii   ^y"o
3421  0x00054fa6 0x00456ba6 4   5    .text   ascii   dT@4
3422  0x00054fed 0x00456bed 4   5    .text   ascii   Un(m
3423  0x00055062 0x00456c62 4   5    .text   ascii   _abu
3424  0x0005506b 0x00456c6b 5   8    .text   utf8    ItŰ_ݥ blocks=Basic Latin,Latin Extended-A,Arabic Supplement
3425  0x000550a0 0x00456ca0 6   8    .text   utf8    Ҿ@{lEk blocks=Cyrillic,Basic Latin
3426  0x000550b3 0x00456cb3 4   5    .text   ascii   E91&
3427  0x000550ce 0x00456cce 4   5    .text   ascii   bN+x
3428  0x00055117 0x00456d17 5   6    .text   ascii   ?#Wpc
3429  0x0005515d 0x00456d5d 4   5    .text   ascii   5u|N
3430  0x0005517b 0x00456d7b 5   7    .text   utf8    %ݺ:`t blocks=Basic Latin,Arabic Supplement
3431  0x00055194 0x00456d94 4   5    .text   ascii   #i!\v
3432  0x000551a0 0x00456da0 4   7    .text   utf8    䄬1By blocks=CJK Unified Ideographs Extension A,Basic Latin
3433  0x000551fa 0x00456dfa 4   5    .text   ascii   Uw>k
3434  0x00055240 0x00456e40 4   5    .text   ascii   B5|S
3435  0x00055259 0x00456e59 6   7    .text   ascii   %:t_N\e
3436  0x000552c4 0x00456ec4 4   5    .text   ascii   w\e\t}
3437  0x000552e9 0x00456ee9 6   9    .text   utf8    "aȦ \bϻ blocks=Basic Latin,Latin Extended-B,Greek and Coptic
3438  0x00055305 0x00456f05 4   5    .text   ascii   Pu\bQ
3439  0x0005532a 0x00456f2a 4   6    .text   utf8    KURב blocks=Basic Latin,Hebrew
3440  0x000553c9 0x00456fc9 4   5    .text   ascii   pQM(
3441  0x00055409 0x00457009 4   6    .text   utf8    J²G) blocks=Basic Latin,Latin-1 Supplement
3442  0x0005544f 0x0045704f 4   5    .text   ascii   1J`"
3443  0x00055499 0x00457099 4   5    .text   ascii   2rYm
3444  0x000554b4 0x004570b4 6   10   .text   utf8    ߮9|ï*ي blocks=NKo,Basic Latin,Latin-1 Supplement,Arabic
3445  0x000554ca 0x004570ca 4   5    .text   ascii   3}@k
3446  0x000554dd 0x004570dd 4   5    .text   ascii   -\k_
3447  0x000554fb 0x004570fb 4   5    .text   ascii   GXC|
3448  0x00055500 0x00457100 4   5    .text   ascii   \b)SA
3449  0x0005552c 0x0045712c 5   7    .text   utf8    +D)ȄU blocks=Basic Latin,Latin Extended-B
3450  0x0005554b 0x0045714b 5   6    .text   ascii   k`\ea`
3451  0x00055579 0x00457179 4   5    .text   ascii   \f!Q7
3452  0x000555e0 0x004571e0 4   5    .text   ascii   \nY{c
3453  0x000555e6 0x004571e6 4   5    .text   ascii   @o\fz
3454  0x000555fc 0x004571fc 4   6    .text   utf8    0wə, blocks=Basic Latin,IPA Extensions
3455  0x00055611 0x00457211 4   6    .text   utf8    bQ.݃ blocks=Basic Latin,Syriac
3456  0x0005567c 0x0045727c 4   5    .text   ascii   Vj`R
3457  0x00055681 0x00457281 4   5    .text   ascii   \f[J@
3458  0x00055693 0x00457293 5   7    .text   utf8    +MUJб blocks=Basic Latin,Cyrillic
3459  0x000556d7 0x004572d7 4   7    .text   utf8    Kаȥ' blocks=Basic Latin,Cyrillic,Latin Extended-B
3460  0x000556f4 0x004572f4 4   6    .text   utf8    Kб]7 blocks=Basic Latin,Cyrillic
3461  0x000556fe 0x004572fe 6   7    .text   ascii   XU.*e+
3462  0x00055771 0x00457371 5   6    .text   ascii   [JpiE
3463  0x0005577e 0x0045737e 6   7    .text   ascii   bMh=@\v
3464  0x000557aa 0x004573aa 4   5    .text   ascii   ,C?c
3465  0x000557c0 0x004573c0 6   8    .text   utf8    tË,Cz6 blocks=Basic Latin,Latin-1 Supplement
3466  0x00055838 0x00457438 5   9    .text   utf8    [⚋mߟ\a blocks=Basic Latin,Miscellaneous Symbols,NKo
3467  0x0005585a 0x0045745a 4   5    .text   ascii   F3PL
3468  0x00055868 0x00457468 5   8    .text   utf8    \f֑\f֑\f blocks=Basic Latin,Hebrew
3469  0x00055877 0x00457477 5   8    .text   utf8    \f֑\f֑\f blocks=Basic Latin,Hebrew
3470  0x00055886 0x00457486 5   8    .text   utf8    \f֑\f֑\f blocks=Basic Latin,Hebrew
3471  0x000558a7 0x004574a7 4   6    .text   utf8    \f֒\fk blocks=Basic Latin,Hebrew
3472  0x000558b1 0x004574b1 4   6    .text   utf8    ؟sQ= blocks=Arabic,Basic Latin
3473  0x000558cd 0x004574cd 4   5    .text   ascii   L\rC]
3474  0x00055975 0x00457575 4   6    .text   utf8    ȍ}sQ blocks=Latin Extended-B,Basic Latin
3475  0x000559a5 0x004575a5 4   5    .text   ascii   #jB(
3476  0x000559ae 0x004575ae 4   5    .text   ascii   E\bKO
3477  0x000559be 0x004575be 4   5    .text   ascii   v/C(
3478  0x000559f5 0x004575f5 4   7    .text   utf8    ݦ\v*݇ blocks=Arabic Supplement,Basic Latin,Syriac
3479  0x00055a04 0x00457604 4   7    .text   utf8    ץ\n?ۅ blocks=Hebrew,Basic Latin,Arabic
3480  0x00055a32 0x00457632 5   7    .text   utf8    abܘX7 blocks=Basic Latin,Syriac
