Metadata Signature: 0x14d14 0x10001424a5342 12
.NET Version: v2.0.50727
Number of Metadata Streams: 5
DirectoryAddress: 6c Size: 537c
Stream name: #~ 4
DirectoryAddress: 53e8 Size: 57c4
Stream name: #Strings 12
DirectoryAddress: abac Size: cc
Stream name: #US 4
DirectoryAddress: ac78 Size: 10
Stream name: #GUID 8
DirectoryAddress: ac88 Size: 1ac8
Stream name: #Blob 8
[Strings]
nth   paddr      vaddr      len size section type    string
―――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
87    0x0000554c 0x0040714c 4   20   .text   utf32le \f//\f
88    0x000055be 0x004071be 5   6    .text   ascii   Yj_i\f
89    0x00005616 0x00407216 4   5    .text   ascii   _d}Q
90    0x000056e5 0x004072e5 4   5    .text   ascii   _d}Q
91    0x00005916 0x00407516 5   6    .text   ascii   \n*\e0\a
92    0x00005929 0x00407529 4   5    .text   ascii   %\n}R
93    0x00005931 0x00407531 4   5    .text   ascii   %\v}P
94    0x00005938 0x00407538 5   6    .text   ascii   \a%\f}O
95    0x00005a3e 0x0040763e 5   6    .text   ascii   _b`}Q
96    0x00005ca8 0x004078a8 5   6    .text   ascii   X%\f}U
97    0x00005e80 0x00407a80 4   5    .text   ascii   \aYou
98    0x00006139 0x00407d39 4   5    .text   ascii   \aY}U
99    0x000061ec 0x00407dec 4   5    .text   ascii   \nz\a\r
100   0x0000624b 0x00407e4b 4   5    .text   ascii   %\n}T
101   0x000068da 0x004084da 4   5    .text   ascii   ce\f\a
102   0x00006a86 0x00408686 5   6    .text   ascii   \n*\e0\f
103   0x00006d54 0x00408954 4   5    .text   ascii   X\r8 
104   0x000071ac 0x00408dac 4   5    .text   ascii   \f`}g
105   0x00007370 0x00408f70 4   5    .text   ascii   \tX\n 
106   0x000073ab 0x00408fab 5   6    .text   ascii   \tjX}h
107   0x000073b3 0x00408fb3 6   7    .text   ascii   \a\tY\v\a9
108   0x000074df 0x004090df 4   5    .text   ascii   \fb~l
109   0x000074ee 0x004090ee 4   5    .text   ascii   b`~l
110   0x000074fd 0x004090fd 4   5    .text   ascii   b`~l
111   0x0000761d 0x0040921d 4   5    .text   ascii   X\n \t
112   0x000078b4 0x004094b4 4   5    .text   ascii   X\n88
113   0x00007c40 0x00409840 4   5    .text   ascii   Y\f9m
114   0x00007ec0 0x00409ac0 4   5    .text   ascii   ZX\r8
115   0x00007fcb 0x00409bcb 4   5    .text   ascii   Y\v \a
116   0x0000800f 0x00409c0f 4   5    .text   ascii   \b\t@M
117   0x00008085 0x00409c85 4   5    .text   ascii   X\n \t
118   0x000083a0 0x00409fa0 4   5    .text   ascii   [X}t
119   0x000083f0 0x00409ff0 4   5    .text   ascii   YX}t
120   0x0000864b 0x0040a24b 5   6    .text   ascii   _bX\v 
121   0x000086da 0x0040a2da 4   5    .text   ascii   X\r \a
122   0x000088b8 0x0040a4b8 5   6    .text   ascii   _bY\f\b
123   0x00008b47 0x0040a747 4   5    .text   ascii   i\n \f
124   0x00008b7a 0x0040a77a 4   5    .text   ascii   \r\b?U
125   0x00008e5e 0x0040aa5e 4   5    .text   ascii   X\b<\e
126   0x00008f09 0x0040ab09 4   5    .text   ascii   \b\a\b%
127   0x00009084 0x0040ac84 5   6    .text   ascii   ZX\n84
128   0x00009259 0x0040ae59 4   5    .text   ascii   \bhXh
129   0x000093db 0x0040afdb 4   5    .text   ascii   \b\a<#
130   0x000095e8 0x0040b1e8 5   24   .text   utf32le \f\f*@̠ blocks=Basic Latin,Combining Diacritical Marks
131   0x00009b16 0x0040b716 5   6    .text   ascii   Y%\n:^
132   0x0000a1c1 0x0040bdc1 4   5    .text   ascii   Y\r \f
133   0x0000a5d4 0x0040c1d4 4   6    .text   utf8    dҜ8q blocks=Basic Latin,Cyrillic
134   0x0000a6ac 0x0040c2ac 4   5    .text   ascii   _b`}
135   0x0000a6fb 0x0040c2fb 4   6    .text   utf8    dҜ88 blocks=Basic Latin,Cyrillic
136   0x0000aade 0x0040c6de 4   5    .text   ascii   \n*\e0
137   0x0000b06b 0x0040cc6b 4   5    .text   ascii   +\n8]
138   0x0000b391 0x0040cf91 4   5    .text   ascii   \n M\r
