[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1146 0x0000eac9 0x1004d6c9 5   6    .upx1   ascii   '\rFp\b
1147 0x0000eaec 0x1004d6ec 5   6    .upx1   ascii   OUcty
1148 0x0000eaf9 0x1004d6f9 6   8    .upx1   utf8    9\^i2ǩ blocks=Basic Latin,Latin Extended-B
1149 0x0000eb3e 0x1004d73e 7   8    .upx1   ascii   Y6X\a2J7
1150 0x0000ebac 0x1004d7ac 5   6    .upx1   ascii   p&C4-
1151 0x0000ebce 0x1004d7ce 4   6    .upx1   utf8    ,Jêp blocks=Basic Latin,Latin-1 Supplement
1152 0x0000ebef 0x1004d7ef 6   7    .upx1   ascii   !a~o%D
1153 0x0000ebfa 0x1004d7fa 4   5    .upx1   ascii   y-m@
1154 0x0000ec22 0x1004d822 10  11   .upx1   ascii   \rx=(ZHZ"(h
1155 0x0000ec2f 0x1004d82f 7   9    .upx1   utf8    ˅v=\eX~R blocks=Spacing Modifier Letters,Basic Latin
1156 0x0000ec5b 0x1004d85b 4   5    .upx1   ascii   2f%}
1157 0x0000ec61 0x1004d861 4   5    .upx1   ascii   GXxd
1158 0x0000ec91 0x1004d891 4   5    .upx1   ascii   z`|p
1159 0x0000eca4 0x1004d8a4 4   5    .upx1   ascii   K-<C
1160 0x0000ecc2 0x1004d8c2 7   8    .upx1   ascii   JXX+YZ@
1161 0x0000ecfd 0x1004d8fd 5   7    .upx1   utf8    x"fHá blocks=Basic Latin,Latin-1 Supplement
1162 0x0000eda1 0x1004d9a1 5   6    .upx1   ascii   g;\e>V
1163 0x0000ede1 0x1004d9e1 4   6    .upx1   utf8    \vߓ~0 blocks=Basic Latin,NKo
1164 0x0000ee32 0x1004da32 4   5    .upx1   ascii   u\b/z
1165 0x0000ee6d 0x1004da6d 4   6    .upx1   utf8    x\bVӷ blocks=Basic Latin,Cyrillic
1166 0x0000eed2 0x1004dad2 4   6    .upx1   utf8    i9̷H blocks=Basic Latin,Combining Diacritical Marks
1167 0x0000ef2d 0x1004db2d 5   6    .upx1   ascii   Uile\f
1168 0x0000efb0 0x1004dbb0 4   5    .upx1   ascii   Bn\h
1169 0x0000eff8 0x1004dbf8 4   7    .upx1   utf8    v¾Tٔ blocks=Basic Latin,Latin-1 Supplement,Arabic
1170 0x0000f012 0x1004dc12 4   6    .upx1   utf8    ^̈N= blocks=Basic Latin,Combining Diacritical Marks
1171 0x0000f02a 0x1004dc2a 4   5    .upx1   ascii   >WH\v
1172 0x0000f03f 0x1004dc3f 6   8    .upx1   utf8    \f~G_|ϳ blocks=Basic Latin,Greek and Coptic
1173 0x0000f047 0x1004dc47 5   8    .upx1   utf8    ҊCC+ɔ blocks=Cyrillic,Basic Latin,IPA Extensions
1174 0x0000f067 0x1004dc67 5   7    .upx1   utf8    4'pŭK blocks=Basic Latin,Latin Extended-A
1175 0x0000f126 0x1004dd26 6   7    .upx1   ascii   $OgwJ\
1176 0x0000f143 0x1004dd43 4   7    .upx1   utf8    |ϝ L blocks=Basic Latin,Greek and Coptic
1177 0x0000f19e 0x1004dd9e 4   6    .upx1   utf8    "iʇ3 blocks=Basic Latin,IPA Extensions
1178 0x0000f1c6 0x1004ddc6 4   6    .upx1   utf8    X|\ٻ blocks=Basic Latin,Arabic
1179 0x0000f237 0x1004de37 4   6    .upx1   utf8    cQCe
1180 0x0000f23e 0x1004de3e 4   5    .upx1   ascii   \eJT\e
1181 0x0000f254 0x1004de54 4   6    .upx1   utf8    ڭe)g blocks=Arabic,Basic Latin
1182 0x0000f2c2 0x1004dec2 4   5    .upx1   ascii   _1aK
1183 0x0000f2ca 0x1004deca 4   5    .upx1   ascii   _d,T
1184 0x0000f2ee 0x1004deee 4   6    .upx1   utf8    *OĖw blocks=Basic Latin,Latin Extended-A
1185 0x0000f302 0x1004df02 4   6    .upx1   utf8    Ȫ/Y| blocks=Latin Extended-B,Basic Latin
1186 0x0000f343 0x1004df43 4   7    .upx1   utf8    Jෟ>_ blocks=Basic Latin,Sinhala
1187 0x0000f352 0x1004df52 4   6    .upx1   utf8    ؽKdU blocks=Arabic,Basic Latin
1188 0x0000f3a6 0x1004dfa6 5   6    .upx1   ascii   $%'dC
1189 0x0000f3da 0x1004dfda 4   7    .upx1   utf8    JsϞe blocks=Basic Latin,Greek and Coptic
1190 0x0000f437 0x1004e037 5   6    .upx1   ascii   ,\tY[/
1191 0x0000f444 0x1004e044 4   9    .upx1   utf8    Cְ9ӯ blocks=Basic Latin,Hebrew,Cyrillic
1192 0x0000f45e 0x1004e05e 4   5    .upx1   ascii   #\al2
1193 0x0000f48a 0x1004e08a 4   5    .upx1   ascii   ^vrO
1194 0x0000f4cf 0x1004e0cf 4   5    .upx1   ascii   }u{=
1195 0x0000f500 0x1004e100 5   6    .upx1   ascii   Ca\eHv
1196 0x0000f5b2 0x1004e1b2 5   6    .upx1   ascii   }uSIz
1197 0x0000f5cd 0x1004e1cd 5   7    .upx1   utf8    gKWГ0 blocks=Basic Latin,Cyrillic
1198 0x0000f65d 0x1004e25d 4   5    .upx1   ascii   |ni3
1199 0x0000f6c0 0x1004e2c0 5   7    .upx1   utf8    Dy3;֩ blocks=Basic Latin,Hebrew
1200 0x0000f6cf 0x1004e2cf 4   5    .upx1   ascii   F4?W
1201 0x0000f6e0 0x1004e2e0 4   6    .upx1   utf8    ĽQ\e# blocks=Latin Extended-A,Basic Latin
1202 0x0000f6f4 0x1004e2f4 4   6    .upx1   utf8    ]keC
1203 0x0000f727 0x1004e327 4   5    .upx1   ascii   .aJC
1204 0x0000f743 0x1004e343 4   5    .upx1   ascii   7d3=
1205 0x0000f780 0x1004e380 6   7    .upx1   ascii   7:\fBuT
1206 0x0000f794 0x1004e394 4   5    .upx1   ascii   *hX+
1207 0x0000f7f0 0x1004e3f0 4   5    .upx1   ascii   4a\tu
1208 0x0000f84d 0x1004e44d 6   7    .upx1   ascii   \rFFfOG
1209 0x0000f8a6 0x1004e4a6 4   7    .upx1   utf8    +$^逋 blocks=Basic Latin,CJK Unified Ideographs
1210 0x0000f8f7 0x1004e4f7 6   7    .upx1   ascii   k#mNiy
1211 0x0000f942 0x1004e542 4   6    .upx1   utf8    Ѓ&)4 blocks=Cyrillic,Basic Latin
1212 0x0000f9ab 0x1004e5ab 4   5    .upx1   ascii   +B{K
1213 0x0000f9c4 0x1004e5c4 4   7    .upx1   utf8    읩=8z blocks=Hangul Syllables,Basic Latin
1214 0x0000fa09 0x1004e609 4   7    .upx1   utf8    f˜?ȩ blocks=Basic Latin,Spacing Modifier Letters,Latin Extended-B
1215 0x0000fa15 0x1004e615 5   6    .upx1   ascii   t^/;+
1216 0x0000fab1 0x1004e6b1 4   6    .upx1   utf8    \Y\vڜ blocks=Basic Latin,Arabic
1217 0x0000fb17 0x1004e717 4   5    .upx1   ascii   C:8)
1218 0x0000fb1f 0x1004e71f 4   5    .upx1   ascii   \bKMq
1219 0x0000fb7e 0x1004e77e 4   5    .upx1   ascii    V_;
1220 0x0000fb85 0x1004e785 4   5    .upx1   ascii   +S\bj
1221 0x0000fb9f 0x1004e79f 6   7    .upx1   ascii   ftK eX
1222 0x0000fbab 0x1004e7ab 4   5    .upx1   ascii   =7Xz
1223 0x0000fbd3 0x1004e7d3 4   5    .upx1   ascii   xqtt
1224 0x0000fbf6 0x1004e7f6 4   5    .upx1   ascii   }7U/
1225 0x0000fbfb 0x1004e7fb 12  15   .upx1   utf8    ۀ!&[<eAKT9'۰ blocks=Arabic,Basic Latin
1226 0x0000fc60 0x1004e860 4   5    .upx1   ascii   h6>\a
1227 0x0000fc92 0x1004e892 7   10   .upx1   utf8    '/(̒A͘X blocks=Basic Latin,Combining Diacritical Marks
1228 0x0000fd16 0x1004e916 9   13   .upx1   utf8    tҕ9ZƃJڵw  blocks=Basic Latin,Cyrillic,Latin Extended-B,Arabic
1229 0x0000fe0f 0x1004ea0f 4   5    .upx1   ascii   Od0u
1230 0x0000fe28 0x1004ea28 4   5    .upx1   ascii   BTig
1231 0x0000fe42 0x1004ea42 6   7    .upx1   ascii   hC47*D
1232 0x0000fe84 0x1004ea84 4   5    .upx1   ascii   I9U\n
1233 0x0000feda 0x1004eada 4   5    .upx1   ascii   'H>u
1234 0x0000ff87 0x1004eb87 4   6    .upx1   utf8     -ʽ< blocks=Basic Latin,Spacing Modifier Letters
1235 0x0000ff92 0x1004eb92 4   5    .upx1   ascii   b(C/
1236 0x0000ffc7 0x1004ebc7 6   7    .upx1   ascii   \tZ'(0O
1237 0x0000ffea 0x1004ebea 4   5    .upx1   ascii   \tbrP
1238 0x0000fffe 0x1004ebfe 4   5    .upx1   ascii   'u\tO
1239 0x00010009 0x1004ec09 4   5    .upx1   ascii   yOx\t
1240 0x00010019 0x1004ec19 4   5    .upx1   ascii   %MS.
1241 0x00010053 0x1004ec53 5   6    .upx1   ascii   X10/K
1242 0x0001007f 0x1004ec7f 6   7    .upx1   ascii   {?.\$%
1243 0x00010091 0x1004ec91 4   5    .upx1   ascii   (_I\t
1244 0x00010099 0x1004ec99 4   6    .upx1   utf8    GϚD\a blocks=Basic Latin,Greek and Coptic
1245 0x000100b5 0x1004ecb5 10  11   .upx1   ascii   _f2,Hp~w'S
1246 0x0001011c 0x1004ed1c 4   5    .upx1   ascii   E`t?
1247 0x00010133 0x1004ed33 8   9    .upx1   ascii   EdT9$-4#
1248 0x00010155 0x1004ed55 4   6    .upx1   utf8    <ǷeQ blocks=Basic Latin,Latin Extended-B
1249 0x00010167 0x1004ed67 4   5    .upx1   ascii   .WZ$
1250 0x000101b1 0x1004edb1 4   5    .upx1   ascii   YAYn
1251 0x000101b6 0x1004edb6 4   5    .upx1   ascii   db|g
1252 0x000101ec 0x1004edec 4   5    .upx1   ascii   d>\M
1253 0x000101f1 0x1004edf1 5   7    .upx1   utf8    ߵ9bnw blocks=NKo,Basic Latin
1254 0x000102a6 0x1004eea6 4   6    .upx1   utf8    3ٜ5q blocks=Basic Latin,Arabic
1255 0x000102b1 0x1004eeb1 4   5    .upx1   ascii   mqR_
1256 0x000102ba 0x1004eeba 4   5    .upx1   ascii   #k%,
1257 0x000102f6 0x1004eef6 4   5    .upx1   ascii   FHLu
1258 0x00010308 0x1004ef08 6   7    .upx1   ascii   ;x>C#3
1259 0x0001034d 0x1004ef4d 5   7    .upx1   utf8    08ɁVl blocks=Basic Latin,Latin Extended-B
1260 0x00010384 0x1004ef84 4   5    .upx1   ascii   g\v[-
1261 0x000103a7 0x1004efa7 7   8    .upx1   ascii   @;m@!:m
1262 0x00010406 0x1004f006 5   6    .upx1   ascii   cD=>\b
1263 0x00010448 0x1004f048 7   10   .upx1   utf8    9`ێfMUӟ blocks=Basic Latin,Arabic,Cyrillic
1264 0x00010454 0x1004f054 5   6    .upx1   ascii   0'e,\a
1265 0x00010464 0x1004f064 4   5    .upx1   ascii   jnM\e
1266 0x0001047b 0x1004f07b 6   7    .upx1   ascii   v{7EC'
1267 0x00010482 0x1004f082 4   5    .upx1   ascii   Zi96
1268 0x0001048f 0x1004f08f 5   6    .upx1   ascii   ~T8/m
1269 0x00010560 0x1004f160 4   6    .upx1   utf8    'TǍ\a blocks=Basic Latin,Latin Extended-B
1270 0x00010577 0x1004f177 4   5    .upx1   ascii   !X}8
1271 0x000105ac 0x1004f1ac 4   5    .upx1   ascii   xyh\b
1272 0x000105f5 0x1004f1f5 5   6    .upx1   ascii   1T2U+
1273 0x000105fe 0x1004f1fe 4   5    .upx1   ascii   %AZs
1274 0x00010617 0x1004f217 5   6    .upx1   ascii   cUs;L
1275 0x00010633 0x1004f233 5   6    .upx1   ascii   gN\rL/
1276 0x00010640 0x1004f240 6   8    .upx1   utf8    \e6XߖC0 blocks=Basic Latin,NKo
1277 0x0001064e 0x1004f24e 4   5    .upx1   ascii   q_4Z
1278 0x00010660 0x1004f260 5   6    .upx1   ascii   \eYYiM
1279 0x00010695 0x1004f295 4   5    .upx1   ascii   'x5U
1280 0x000106c6 0x1004f2c6 4   8    .upx1   utf8    \aߪڙԾ blocks=Basic Latin,NKo,Arabic,Armenian
1281 0x00010741 0x1004f341 7   8    .upx1   ascii   N\eZUb,\a
1282 0x000107d0 0x1004f3d0 5   6    .upx1   ascii   CeO'>
1283 0x000107e2 0x1004f3e2 7   9    .upx1   utf8    xB6ߧZLA blocks=Basic Latin,NKo
1284 0x00010820 0x1004f420 6   7    .upx1   ascii   \e8;Y!K
1285 0x0001087e 0x1004f47e 4   5    .upx1   ascii   8Rg\t
1286 0x000108d5 0x1004f4d5 4   5    .upx1   ascii   U6tG
1287 0x0001091c 0x1004f51c 8   9    .upx1   ascii   7\f}Y0\vOX
1288 0x00010970 0x1004f570 5   6    .upx1   ascii   e!pzZ
1289 0x00010a00 0x1004f600 4   6    .upx1   utf8    ſ\eYa blocks=Latin Extended-A,Basic Latin
1290 0x00010a8e 0x1004f68e 4   5    .upx1   ascii   oF9_
1291 0x00010ae9 0x1004f6e9 4   5    .upx1   ascii   \e\eRX
1292 0x00010af6 0x1004f6f6 4   5    .upx1   ascii   \fOA{
1293 0x00010b01 0x1004f701 4   6    .upx1   utf8    \nXlԓ blocks=Basic Latin,Cyrillic Supplement
1294 0x00010b14 0x1004f714 4   5    .upx1   ascii   ,\ej\a
1295 0x00010bb8 0x1004f7b8 4   5    .upx1   ascii   \XR?
1296 0x00010c77 0x1004f877 4   5    .upx1   ascii   ;3\eN
1297 0x00010c7c 0x1004f87c 4   5    .upx1   ascii   JuR 
1298 0x00010c82 0x1004f882 4   7    .upx1   utf8    шXŹT blocks=Cyrillic,Basic Latin,Latin Extended-A
1299 0x00010c99 0x1004f899 4   5    .upx1   ascii   :.R#
1300 0x00010cec 0x1004f8ec 4   6    .upx1   utf8    U:˷\v blocks=Basic Latin,Spacing Modifier Letters
1301 0x00010d08 0x1004f908 4   5    .upx1   ascii   \rZ+C
1302 0x00010d1f 0x1004f91f 4   5    .upx1   ascii   3l_u
1303 0x00010d25 0x1004f925 8   9    .upx1   ascii   Y5C\4rHo
1304 0x00010d3f 0x1004f93f 8   9    .upx1   ascii   \e&5Tx\rAs
1305 0x00010d57 0x1004f957 4   5    .upx1   ascii   vKM7
1306 0x00010d5f 0x1004f95f 4   5    .upx1   ascii   EY9\a
1307 0x00010d68 0x1004f968 4   5    .upx1   ascii   VJYZ
1308 0x00010deb 0x1004f9eb 4   5    .upx1   ascii   {ja(
1309 0x00010dfb 0x1004f9fb 4   5    .upx1   ascii   8ZQl
1310 0x00010e1d 0x1004fa1d 5   7    .upx1   utf8    ştG3# blocks=Latin Extended-A,Basic Latin
1311 0x00010e82 0x1004fa82 4   5    .upx1   ascii   hX:N
1312 0x00010eaa 0x1004faaa 5   7    .upx1   utf8    YĲBv! blocks=Basic Latin,Latin Extended-A
1313 0x00010eb5 0x1004fab5 4   5    .upx1   ascii   xeig
1314 0x00010eba 0x1004faba 4   5    .upx1   ascii   { _1
1315 0x00010f24 0x1004fb24 4   6    .upx1   utf8    9ߙxK blocks=Basic Latin,NKo
1316 0x00010f2b 0x1004fb2b 4   6    .upx1   utf8    D ͻ8 blocks=Basic Latin,Greek and Coptic
1317 0x00010f9f 0x1004fb9f 4   6    .upx1   utf8    ]{Gأ blocks=Basic Latin,Arabic
1318 0x00010fa9 0x1004fba9 5   6    .upx1   ascii   &xC}A
1319 0x00010fba 0x1004fbba 4   5    .upx1   ascii   ^;Yi
1320 0x00010fe0 0x1004fbe0 4   5    .upx1   ascii   ":Y{
1321 0x00010ff7 0x1004fbf7 6   7    .upx1   ascii   g'n6q[
1322 0x00011033 0x1004fc33 4   5    .upx1   ascii   UU85
1323 0x0001103d 0x1004fc3d 4   6    .upx1   utf8    :߉pY blocks=Basic Latin,NKo
1324 0x000110b4 0x1004fcb4 5   7    .upx1   utf8    X:"WǄ blocks=Basic Latin,Latin Extended-B
1325 0x0001118d 0x1004fd8d 5   7    .upx1   utf8    UK\a'~
1326 0x00011197 0x1004fd97 5   6    .upx1   ascii   ]X^E>
1327 0x0001120a 0x1004fe0a 7   8    .upx1   ascii   O95U\3?
1328 0x0001121d 0x1004fe1d 5   8    .upx1   utf8    )9C" blocks=Private Use Area,Basic Latin
1329 0x00011250 0x1004fe50 5   6    .upx1   ascii   jIC@U
1330 0x0001125d 0x1004fe5d 4   5    .upx1   ascii   KL{b
1331 0x00011275 0x1004fe75 4   5    .upx1   ascii   {)\fV
1332 0x000112ad 0x1004fead 5   7    .upx1   utf8    VÃsE\b blocks=Basic Latin,Latin-1 Supplement
1333 0x0001130b 0x1004ff0b 5   6    .upx1   ascii   bwl2D
1334 0x000113a9 0x1004ffa9 4   5    .upx1   ascii   5j@C
1335 0x000113ae 0x1004ffae 5   7    .upx1   utf8    K7ӈo; blocks=Basic Latin,Cyrillic
1336 0x000113ec 0x1004ffec 5   7    .upx1   utf8    @LZFڸ blocks=Basic Latin,Arabic
1337 0x0001142a 0x1005002a 5   6    .upx1   ascii   T_\r6q
1338 0x0001143d 0x1005003d 4   5    .upx1   ascii   FC\ep
1339 0x00011456 0x10050056 4   5    .upx1   ascii   j4FV
1340 0x000114a8 0x100500a8 5   6    .upx1   ascii   0?_g<
1341 0x000114cb 0x100500cb 4   5    .upx1   ascii   XPYZ
1342 0x000114fb 0x100500fb 4   6    .upx1   utf8    Ԙ:\eq blocks=Cyrillic Supplement,Basic Latin
1343 0x00011507 0x10050107 4   5    .upx1   ascii   \f-<\
1344 0x0001152c 0x1005012c 4   5    .upx1   ascii   )?Y;
1345 0x00011536 0x10050136 5   6    .upx1   ascii   zGQs~
1346 0x000115a0 0x100501a0 4   5    .upx1   ascii   uwOD
1347 0x000115c0 0x100501c0 4   5    .upx1   ascii   W+MZ
1348 0x000115ec 0x100501ec 4   6    .upx1   utf8    Mk\fލ blocks=Basic Latin,Thaana
1349 0x0001165d 0x1005025d 4   5    .upx1   ascii   cU! 
1350 0x0001169e 0x1005029e 5   6    .upx1   ascii   \f~5q[
1351 0x000116f9 0x100502f9 6   8    .upx1   utf8    UC2ڸ\fl blocks=Basic Latin,Arabic
1352 0x00011737 0x10050337 4   5    .upx1   ascii   )VGC
1353 0x0001174b 0x1005034b 5   8    .upx1   utf8    ۜ_Vۘ& blocks=Arabic,Basic Latin
1354 0x00011799 0x10050399 9   10   .upx1   ascii   zOP6m\ve0
1355 0x00011813 0x10050413 4   5    .upx1   ascii   xtdZ
1356 0x00011828 0x10050428 10  12   .upx1   utf8    ĔZ\nsF\a%:K} blocks=Latin Extended-A,Basic Latin
1357 0x00011855 0x10050455 4   5    .upx1   ascii   \TbI
1358 0x00011863 0x10050463 6   7    .upx1   ascii   M4AH7X
1359 0x00011898 0x10050498 5   6    .upx1   ascii   )<'v>
1360 0x000118a8 0x100504a8 7   9    .upx1   utf8    v[65ͽ(\t blocks=Basic Latin,Greek and Coptic
1361 0x000118bd 0x100504bd 6   7    .upx1   ascii   S\e7u,x
1362 0x000118ce 0x100504ce 4   5    .upx1   ascii   \aI9$
1363 0x000118f9 0x100504f9 4   6    .upx1   utf8    wVѲE blocks=Basic Latin,Cyrillic
1364 0x00011955 0x10050555 4   5    .upx1   ascii   UJ5A
1365 0x0001195e 0x1005055e 7   8    .upx1   ascii   c?4\e_uZ
1366 0x0001197b 0x1005057b 6   7    .upx1   ascii   \vBg;W9
1367 0x0001198a 0x1005058a 5   6    .upx1   ascii   6Kb/(
1368 0x000119c4 0x100505c4 5   6    .upx1   ascii   Im24/
1369 0x000119f6 0x100505f6 4   5    .upx1   ascii   K-\bA
1370 0x00011a3a 0x1005063a 4   5    .upx1   ascii   9V?,
1371 0x00011a70 0x10050670 5   6    .upx1   ascii   UG5Y6
1372 0x00011ac9 0x100506c9 4   5    .upx1   ascii   xZfV
1373 0x00011b14 0x10050714 5   6    .upx1   ascii   5K\>R
1374 0x00011b2e 0x1005072e 6   7    .upx1   ascii   E\ehJTz
1375 0x00011b54 0x10050754 4   6    .upx1   utf8    %ߕ<| blocks=Basic Latin,NKo
1376 0x00011b60 0x10050760 6   8    .upx1   utf8    KwDxّT blocks=Basic Latin,Arabic
1377 0x00011b9d 0x1005079d 6   7    .upx1   ascii   &Yum66
1378 0x00011bbe 0x100507be 4   5    .upx1   ascii   AXqm
1379 0x00011c42 0x10050842 9   12   .upx1   utf8    $^iw\vtԗٚO blocks=Basic Latin,Cyrillic Supplement,Arabic
1380 0x00011cd9 0x100508d9 5   7    .upx1   utf8    R:ӋAp blocks=Basic Latin,Cyrillic
1381 0x00011d04 0x10050904 5   6    .upx1   ascii   X!\bP\
1382 0x00011d0e 0x1005090e 4   5    .upx1   ascii   +t\n:
1383 0x00011d39 0x10050939 5   6    .upx1   ascii   ]h{;m
1384 0x00011d6a 0x1005096a 5   6    .upx1   ascii   }\\g!
1385 0x00011dad 0x100509ad 4   5    .upx1   ascii   HUJl
1386 0x00011db2 0x100509b2 4   5    .upx1   ascii   RY*-
1387 0x00011dbf 0x100509bf 5   7    .upx1   utf8    GƙtF+ blocks=Basic Latin,Latin Extended-B
1388 0x00011dd3 0x100509d3 4   5    .upx1   ascii   \a%\eC
1389 0x00011dfe 0x100509fe 4   5    .upx1   ascii   H\tPe
1390 0x00011e49 0x10050a49 7   10   .upx1   utf8    Ț_\n/߉ZK blocks=Latin Extended-B,Basic Latin,NKo
1391 0x00011e75 0x10050a75 7   10   .upx1   utf8    ѿp'FڙV  blocks=Cyrillic,Basic Latin,Arabic
1392 0x00011ea2 0x10050aa2 4   7    .upx1   utf8    Çߠ5Y blocks=Latin-1 Supplement,NKo,Basic Latin
1393 0x00011ece 0x10050ace 4   6    .upx1   utf8    ~9Ł: blocks=Basic Latin,Latin Extended-A
1394 0x00011f1f 0x10050b1f 6   7    .upx1   ascii   xhR-+p
1395 0x00011f8c 0x10050b8c 6   7    .upx1   ascii   9ZFN;_
1396 0x00012034 0x10050c34 8   9    .upx1   ascii   Y.#\auC@4
1397 0x00012075 0x10050c75 5   6    .upx1   ascii   2_VXA
1398 0x000120db 0x10050cdb 5   6    .upx1   ascii   fx56c
1399 0x00012126 0x10050d26 6   7    .upx1   ascii   \4ko7\e
1400 0x000121be 0x10050dbe 4   5    .upx1   ascii   1uAX
1401 0x0001222b 0x10050e2b 4   5    .upx1   ascii   xPD&
1402 0x00012232 0x10050e32 4   5    .upx1   ascii   Kxyt
1403 0x0001229d 0x10050e9d 4   5    .upx1   ascii   OVNl
1404 0x000122ee 0x10050eee 4   6    .upx1   utf8    ?ѿ8R blocks=Basic Latin,Cyrillic
1405 0x000122f9 0x10050ef9 4   5    .upx1   ascii   HUG/
1406 0x0001231f 0x10050f1f 4   6    .upx1   utf8    \e֕5{ blocks=Basic Latin,Hebrew
1407 0x00012335 0x10050f35 8   9    .upx1   ascii   Ub4C\eyw@
1408 0x000123a3 0x10050fa3 5   6    .upx1   ascii   X_5R.
1409 0x000123b5 0x10050fb5 5   6    .upx1   ascii   )YU\a4
1410 0x000123dc 0x10050fdc 6   8    .upx1   utf8    w1M<Nԇ blocks=Basic Latin,Cyrillic Supplement
1411 0x00012451 0x10051051 4   6    .upx1   utf8    YՁ'\t blocks=Basic Latin,Armenian
1412 0x00012477 0x10051077 5   6    .upx1   ascii   9T4?R
1413 0x00012480 0x10051080 5   6    .upx1   ascii   g@5vC
1414 0x000124a4 0x100510a4 4   5    .upx1   ascii   tcbV
1415 0x000124ae 0x100510ae 5   7    .upx1   utf8    IryAձ blocks=Basic Latin,Armenian
1416 0x00012570 0x10051170 4   5    .upx1   ascii   __hS
1417 0x0001259a 0x1005119a 4   6    .upx1   utf8    \e|5߹ blocks=Basic Latin,NKo
1418 0x000125e0 0x100511e0 4   6    .upx1   utf8    Gxߒy blocks=Basic Latin,NKo
1419 0x0001266e 0x1005126e 4   5    .upx1   ascii   5G `
1420 0x00012674 0x10051274 4   6    .upx1   utf8    Ѓ\e9\r blocks=Cyrillic,Basic Latin
1421 0x00012701 0x10051301 4   5    .upx1   ascii   @3cG
1422 0x00012709 0x10051309 5   7    .upx1   utf8    O\eÓIU blocks=Basic Latin,Latin-1 Supplement
1423 0x00012754 0x10051354 4   5    .upx1   ascii   6yA`
1424 0x000127be 0x100513be 6   7    .upx1   ascii   Fk@;g\b
1425 0x0001280b 0x1005140b 8   10   .upx1   utf8    CK%L"ۂY9 blocks=Basic Latin,Arabic
1426 0x0001289f 0x1005149f 6   7    .upx1   ascii   i)Yu:e
1427 0x000128bf 0x100514bf 5   6    .upx1   ascii   Ldhxw
1428 0x000128e7 0x100514e7 4   6    .upx1   utf8     \eG֙ blocks=Basic Latin,Hebrew
1429 0x00012906 0x10051506 4   5    .upx1   ascii   z@5T
1430 0x0001290b 0x1005150b 5   6    .upx1   ascii   v{_<m
1431 0x00012924 0x10051524 4   5    .upx1   ascii   {G~1
1432 0x00012954 0x10051554 6   7    .upx1   ascii   8[TR2-
1433 0x000129a8 0x100515a8 4   6    .upx1   utf8    ;Քh0 blocks=Basic Latin,Armenian
1434 0x000129c8 0x100515c8 6   7    .upx1   ascii   7^mwAG
1435 0x000129ea 0x100515ea 4   5    .upx1   ascii   dN+\e
1436 0x00012a01 0x10051601 4   5    .upx1   ascii   r(z3
1437 0x00012a2f 0x1005162f 7   9    .upx1   utf8    ]h3ë:V] blocks=Basic Latin,Latin-1 Supplement
1438 0x00012aba 0x100516ba 4   5    .upx1   ascii   |$A'
1439 0x00012ac7 0x100516c7 4   5    .upx1   ascii   9YRI
1440 0x00012ae1 0x100516e1 4   5    .upx1   ascii   Oyg}
1441 0x00012af6 0x100516f6 4   7    .upx1   utf8    ؤ3ѡ! blocks=Arabic,Basic Latin,Cyrillic
1442 0x00012b0f 0x1005170f 5   6    .upx1   ascii   v2;5K
1443 0x00012b3b 0x1005173b 6   7    .upx1   ascii   ST3<}\t
1444 0x00012b61 0x10051761 4   5    .upx1   ascii   KDgP
1445 0x00012bf9 0x100517f9 4   5    .upx1   ascii   {d,n
1446 0x00012c27 0x10051827 4   5    .upx1   ascii   H]mN
1447 0x00012c62 0x10051862 4   5    .upx1   ascii   wjq\f
1448 0x00012c98 0x10051898 6   7    .upx1   ascii   UC 3u7
1449 0x00012cdd 0x100518dd 6   7    .upx1   ascii   Tv`2+~
1450 0x00012d24 0x10051924 6   8    .upx1   utf8    uXhGł4 blocks=Basic Latin,Latin Extended-A
1451 0x00012d67 0x10051967 7   8    .upx1   ascii    yu.3Vz
1452 0x00012d8c 0x1005198c 5   9    .upx1   utf8    Xԧ졗YW blocks=Basic Latin,Cyrillic Supplement,Hangul Syllables
1453 0x00012d9f 0x1005199f 4   5    .upx1   ascii   O8ve
1454 0x00012db3 0x100519b3 6   7    .upx1   ascii   Y\vuwqY
1455 0x00012e28 0x10051a28 4   5    .upx1   ascii   O_5_
1456 0x00012eb6 0x10051ab6 6   7    .upx1   ascii   oyYK)y
1457 0x00012ef2 0x10051af2 4   5    .upx1   ascii   u3@K
1458 0x00012f44 0x10051b44 4   7    .upx1   utf8    I<*ᚸ blocks=Basic Latin,Runic
1459 0x00012f4b 0x10051b4b 4   6    .upx1   utf8    ϸy\rT blocks=Greek and Coptic,Basic Latin
1460 0x00012f6f 0x10051b6f 4   5    .upx1   ascii   WY5k
1461 0x00012f92 0x10051b92 4   6    .upx1   utf8    CEڧ5 blocks=Basic Latin,Arabic
1462 0x00012fae 0x10051bae 8   9    .upx1   ascii   E\efaY(6;
1463 0x00012fdf 0x10051bdf 8   9    .upx1   ascii   C5_63fWK
1464 0x00013081 0x10051c81 4   5    .upx1   ascii   N45.
1465 0x0001308b 0x10051c8b 5   7    .upx1   utf8    كvO#A blocks=Arabic,Basic Latin
1466 0x000130b5 0x10051cb5 5   6    .upx1   ascii   ?{`9Z
