[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
80   0x00000df2 0x1003f9f2 19  20   .upx1   ascii   4'4H4P4V4]4c4j4p4x4
81   0x00000e2c 0x1003fa2c 19  20   .upx1   ascii   5$585>5G5g5m5U6^6j6
82   0x00000e5a 0x1003fa5a 13  14   .upx1   ascii   8-888R8]8e8u8
83   0x00000e7c 0x1003fa7c 11  12   .upx1   ascii   91:I:S:n:v:
84   0x00000ea4 0x1003faa4 23  24   .upx1   ascii   >\t?/?M?T?X?\?`?d?h?l?p?
85   0x00000ecd 0x1003facd 14  15   .upx1   ascii   20=0X0_0d0h0l0
86   0x00000eec 0x1003faec 15  16   .upx1   ascii   1\b1\f1V1\1`1d1h1
87   0x00000f02 0x1003fb02 11  12   .upx1   ascii   2 2,2e2n2z2
88   0x00000f12 0x1003fb12 7   8    .upx1   ascii   2:3A3V3
89   0x00000f26 0x1003fb26 9   10   .upx1   ascii   5*595q5{5
90   0x00000f42 0x1003fb42 5   6    .upx1   ascii   7C8I8
91   0x00000f52 0x1003fb52 13  14   .upx1   ascii   :0;8;C;P;W;a;
92   0x00000f74 0x1003fb74 9   10   .upx1   ascii   =,=M=V=}=
93   0x00000f80 0x1003fb80 5   6    .upx1   ascii   =h>m>
94   0x00000f9e 0x1003fb9e 13  14   .upx1   ascii   0/080^0\n1(1d1
95   0x00000fac 0x1003fbac 7   8    .upx1   ascii   1"252M2
96   0x00000fc8 0x1003fbc8 5   6    .upx1   ascii   ;R<|<
97   0x00000fce 0x1003fbce 5   6    .upx1   ascii   <J=m=
98   0x00000ff2 0x1003fbf2 13  14   .upx1   ascii   7!737E7W7i7{7
99   0x00001010 0x1003fc10 13  14   .upx1   ascii   9I9T9b9g9l9q9
100  0x00001024 0x1003fc24 15  16   .upx1   ascii   :\n:D:I:P:U:\:a:
101  0x00001038 0x1003fc38 5   6    .upx1   ascii   :g;v;
102  0x0000104c 0x1003fc4c 5   6    .upx1   ascii   ;\a<\r<
103  0x00001052 0x1003fc52 11  12   .upx1   ascii   < <+<0<C<N<
104  0x00001062 0x1003fc62 7   8    .upx1   ascii   <\>c>i>
105  0x0000107c 0x1003fc7c 13  14   .upx1   ascii   2@3K3Q364\4g4
106  0x0000109c 0x1003fc9c 11  12   .upx1   ascii   :6:n:s:y:}:
107  0x000010dd 0x1003fcdd 4   5    .upx1   ascii   B1q4
108  0x00001114 0x1003fd14 5   6    .upx1   ascii   ;P<V<
109  0x00001124 0x1003fd24 7   8    .upx1   ascii   ={>o?w?
110  0x00001135 0x1003fd35 4   5    .upx1   ascii   (0\t1
111  0x0000113c 0x1003fd3c 7   8    .upx1   ascii   1H2N2\2
112  0x0000115c 0x1003fd5c 5   6    .upx1   ascii   :\b:\f:
113  0x0000117e 0x1003fd7e 7   8    .upx1   ascii   5;9H9V9
114  0x0000118a 0x1003fd8a 7   8    .upx1   ascii   9#:M:z:
115  0x00001196 0x1003fd96 5   6    .upx1   ascii   :8;x;
116  0x000011a2 0x1003fda2 5   6    .upx1   ascii   <==g=
117  0x000011ae 0x1003fdae 5   6    .upx1   ascii   >C?o?
118  0x000011d6 0x1003fdd6 19  20   .upx1   ascii   0!0&080A0F0X0a0f0x0
119  0x00001206 0x1003fe06 19  20   .upx1   ascii   1!1&181A1F1X1a1f1x1
120  0x00001236 0x1003fe36 19  20   .upx1   ascii   2!2&282A2F2X2a2f2x2
121  0x00001266 0x1003fe66 19  20   .upx1   ascii   3!3&383A3F3X3a3f3x3
122  0x00001296 0x1003fe96 19  20   .upx1   ascii   4!4&484A4F4X4a4f4x4
123  0x000012c6 0x1003fec6 19  20   .upx1   ascii   5!5&585A5F5X5a5f5x5
124  0x000012f6 0x1003fef6 19  20   .upx1   ascii   6!6&686A6F6X6a6f6x6
125  0x00001326 0x1003ff26 19  20   .upx1   ascii   7!7&787A7F7X7a7f7x7
126  0x00001356 0x1003ff56 19  20   .upx1   ascii   8!8&888A8F8X8a8f8x8
127  0x00001386 0x1003ff86 19  20   .upx1   ascii   9!9&989A9F9X9a9f9x9
128  0x000013b6 0x1003ffb6 19  20   .upx1   ascii   :!:&:8:A:F:X:a:f:x:
129  0x000013e6 0x1003ffe6 19  20   .upx1   ascii   ;!;&;8;A;F;X;a;f;x;
130  0x00001418 0x10040018 5   6    .upx1   ascii   <#<(<
131  0x00001425 0x10040025 4   5    .upx1   ascii   \b2\f2
132  0x00001430 0x10040030 49  50   .upx1   ascii   2 2$2(2,2024282<2@2D2H2L2P2T2X2\2`2d2h2l2p2t2x2|2
133  0x000014a4 0x100400a4 5   6    .upx1   ascii   3\b3\f3
134  0x000014b0 0x100400b0 49  50   .upx1   ascii   3 3$3(3,3034383<3@3D3H3L3P3T3X3\3`3d3h3l3p3t3x3|3
135  0x00001534 0x10040134 37  38   .upx1   ascii   2$2,242<2D2L2P9T9X9\9`9d9h9l9p9t9x9|9
136  0x0000159c 0x1004019c 5   6    .upx1   ascii   :\b:\f:
137  0x000015a8 0x100401a8 49  50   .upx1   ascii   : :$:(:,:0:4:8:<:@:D:H:L:P:T:X:\:`:d:h:l:p:t:x:|:
138  0x00001622 0x10040222 5   6    .upx1   ascii   3$4(4
139  0x00001630 0x10040230 13  14   .upx1   ascii   :<;@;P;T;\;t;
140  0x0000165a 0x1004025a 21  22   .upx1   ascii   <\f<$<4<8<H<L<P<T<\<t<
141  0x0000168c 0x1004028c 17  18   .upx1   ascii   =,=0=4=<=T=d=h=p=
142  0x000016ba 0x100402ba 7   8    .upx1   ascii   ?8?D?`?
143  0x000016d6 0x100402d6 9   10   .upx1   ascii   000P0l0p0
144  0x000016ea 0x100402ea 15  16   .upx1   ascii   1,101P1X1l1t1|1
145  0x00001718 0x10040318 15  16   .upx1   ascii   2$2(20282@2\2l2
146  0x00001734 0x10040334 15  16   .upx1   ascii   3\f3$3,343@3`3l3
147  0x00001750 0x10040350 13  14   .upx1   ascii   4$4<4H4h4p4|4
148  0x00001768 0x10040368 11  12   .upx1   ascii   505<5D5\5h5
