[Strings]
nth   paddr      vaddr      len  size section       type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
4572  0x000ad7da 0x004cadda 35   36   .debug_info   ascii   __MIDL_itf_msxml_0000_v0_0_s_ifspec
4573  0x000ad805 0x004cae05 11   12   .debug_info   ascii   LIBID_MSXML
4574  0x000ad818 0x004cae18 25   26   .debug_info   ascii   IID_IXMLDOMImplementation
4575  0x000ad83a 0x004cae3a 15   16   .debug_info   ascii   IID_IXMLDOMNode
4576  0x000ad852 0x004cae52 27   28   .debug_info   ascii   IID_IXMLDOMDocumentFragment
4577  0x000ad876 0x004cae76 19   20   .debug_info   ascii   IID_IXMLDOMDocument
4578  0x000ad892 0x004cae92 19   20   .debug_info   ascii   IID_IXMLDOMNodeList
4579  0x000ad8ae 0x004caeae 23   24   .debug_info   ascii   IID_IXMLDOMNamedNodeMap
4580  0x000ad8ce 0x004caece 24   25   .debug_info   ascii   IID_IXMLDOMCharacterData
4581  0x000ad8ef 0x004caeef 20   21   .debug_info   ascii   IID_IXMLDOMAttribute
4582  0x000ad90c 0x004caf0c 18   19   .debug_info   ascii   IID_IXMLDOMElement
4583  0x000ad927 0x004caf27 15   16   .debug_info   ascii   IID_IXMLDOMText
4584  0x000ad93f 0x004caf3f 18   19   .debug_info   ascii   IID_IXMLDOMComment
4585  0x000ad95a 0x004caf5a 32   33   .debug_info   ascii   IID_IXMLDOMProcessingInstruction
4586  0x000ad983 0x004caf83 23   24   .debug_info   ascii   IID_IXMLDOMCDATASection
4587  0x000ad9a3 0x004cafa3 23   24   .debug_info   ascii   IID_IXMLDOMDocumentType
4588  0x000ad9c3 0x004cafc3 19   20   .debug_info   ascii   IID_IXMLDOMNotation
4589  0x000ad9d8 0x004cafd8 4    5    .debug_info   ascii   \f\bf\a
4590  0x000ad9df 0x004cafdf 17   18   .debug_info   ascii   IID_IXMLDOMEntity
4591  0x000ad9f9 0x004caff9 26   27   .debug_info   ascii   IID_IXMLDOMEntityReference
4592  0x000ada1c 0x004cb01c 21   22   .debug_info   ascii   IID_IXMLDOMParseError
4593  0x000ada33 0x004cb033 4    5    .debug_info   ascii   b\tf\a
4594  0x000ada3a 0x004cb03a 15   16   .debug_info   ascii   IID_IXTLRuntime
4595  0x000ada52 0x004cb052 25   26   .debug_info   ascii   DIID_XMLDOMDocumentEvents
4596  0x000ada6d 0x004cb06d 4    5    .debug_info   ascii   >\nf\a
4597  0x000ada74 0x004cb074 17   18   .debug_info   ascii   CLSID_DOMDocument
4598  0x000ada87 0x004cb087 4    5    .debug_info   ascii   ]\nx\a
4599  0x000ada8e 0x004cb08e 29   30   .debug_info   ascii   CLSID_DOMFreeThreadedDocument
4600  0x000adaad 0x004cb0ad 4    5    .debug_info   ascii   a\nx\a
4601  0x000adab4 0x004cb0b4 19   20   .debug_info   ascii   IID_IXMLHttpRequest
4602  0x000adac9 0x004cb0c9 4    5    .debug_info   ascii   h\nf\a
4603  0x000adad0 0x004cb0d0 20   21   .debug_info   ascii   CLSID_XMLHTTPRequest
4604  0x000adaed 0x004cb0ed 18   19   .debug_info   ascii   IID_IXMLDSOControl
4605  0x000adb08 0x004cb108 19   20   .debug_info   ascii   CLSID_XMLDSOControl
4606  0x000adb24 0x004cb124 25   26   .debug_info   ascii   IID_IXMLElementCollection
4607  0x000adb46 0x004cb146 16   17   .debug_info   ascii   IID_IXMLDocument
4608  0x000adb58 0x004cb158 4    5    .debug_info   ascii   K\vf\a
4609  0x000adb5f 0x004cb15f 17   18   .debug_info   ascii   IID_IXMLDocument2
4610  0x000adb79 0x004cb179 15   16   .debug_info   ascii   IID_IXMLElement
4611  0x000adb8a 0x004cb18a 4    5    .debug_info   ascii   %\ff\a
4612  0x000adb91 0x004cb191 16   17   .debug_info   ascii   IID_IXMLElement2
4613  0x000adbaa 0x004cb1aa 17   18   .debug_info   ascii   IID_IXMLAttribute
4614  0x000adbc4 0x004cb1c4 13   14   .debug_info   ascii   IID_IXMLError
4615  0x000adbda 0x004cb1da 17   18   .debug_info   ascii   CLSID_XMLDocument
4616  0x000adbed 0x004cb1ed 4    5    .debug_info   ascii   /\rx\a
4617  0x000adbf4 0x004cb1f4 23   24   .debug_info   ascii   CLSID_SBS_StdURLMoniker
4618  0x000adc14 0x004cb214 22   23   .debug_info   ascii   CLSID_SBS_HttpProtocol
4619  0x000adc33 0x004cb233 21   22   .debug_info   ascii   CLSID_SBS_FtpProtocol
4620  0x000adc51 0x004cb251 24   25   .debug_info   ascii   CLSID_SBS_GopherProtocol
4621  0x000adc72 0x004cb272 23   24   .debug_info   ascii   CLSID_SBS_HttpSProtocol
4622  0x000adc92 0x004cb292 22   23   .debug_info   ascii   CLSID_SBS_FileProtocol
4623  0x000adcb1 0x004cb2b1 20   21   .debug_info   ascii   CLSID_SBS_MkProtocol
4624  0x000adcce 0x004cb2ce 22   23   .debug_info   ascii   CLSID_SBS_UrlMkBindCtx
4625  0x000adced 0x004cb2ed 21   22   .debug_info   ascii   CLSID_SBS_SoftDistExt
4626  0x000add0b 0x004cb30b 21   22   .debug_info   ascii   CLSID_SBS_CdlProtocol
4627  0x000add29 0x004cb329 28   29   .debug_info   ascii   CLSID_SBS_ClassInstallFilter
4628  0x000add4e 0x004cb34e 33   34   .debug_info   ascii   CLSID_SBS_InternetSecurityManager
4629  0x000add78 0x004cb378 29   30   .debug_info   ascii   CLSID_SBS_InternetZoneManager
4630  0x000add9e 0x004cb39e 17   18   .debug_info   ascii   IID_IAsyncMoniker
4631  0x000addb8 0x004cb3b8 19   20   .debug_info   ascii   CLSID_StdURLMoniker
4632  0x000addd4 0x004cb3d4 18   19   .debug_info   ascii   CLSID_HttpProtocol
4633  0x000addef 0x004cb3ef 17   18   .debug_info   ascii   CLSID_FtpProtocol
4634  0x000ade09 0x004cb409 20   21   .debug_info   ascii   CLSID_GopherProtocol
4635  0x000ade26 0x004cb426 19   20   .debug_info   ascii   CLSID_HttpSProtocol
4636  0x000ade42 0x004cb442 18   19   .debug_info   ascii   CLSID_FileProtocol
4637  0x000ade5d 0x004cb45d 16   17   .debug_info   ascii   CLSID_MkProtocol
4638  0x000ade76 0x004cb476 20   21   .debug_info   ascii   CLSID_StdURLProtocol
4639  0x000ade93 0x004cb493 18   19   .debug_info   ascii   CLSID_UrlMkBindCtx
4640  0x000adeae 0x004cb4ae 17   18   .debug_info   ascii   CLSID_CdlProtocol
4641  0x000adec8 0x004cb4c8 24   25   .debug_info   ascii   CLSID_ClassInstallFilter
4642  0x000adee9 0x004cb4e9 17   18   .debug_info   ascii   IID_IAsyncBindCtx
4643  0x000adf03 0x004cb503 19   20   .debug_info   ascii   IID_IPersistMoniker
4644  0x000adf1f 0x004cb51f 16   17   .debug_info   ascii   IID_IMonikerProp
4645  0x000adf38 0x004cb538 17   18   .debug_info   ascii   IID_IBindProtocol
4646  0x000adf52 0x004cb552 12   13   .debug_info   ascii   IID_IBinding
4647  0x000adf67 0x004cb567 23   24   .debug_info   ascii   IID_IBindStatusCallback
4648  0x000adf87 0x004cb587 25   26   .debug_info   ascii   IID_IBindStatusCallbackEx
4649  0x000adfa9 0x004cb5a9 17   18   .debug_info   ascii   IID_IAuthenticate
4650  0x000adfc3 0x004cb5c3 19   20   .debug_info   ascii   IID_IAuthenticateEx
4651  0x000adfdf 0x004cb5df 18   19   .debug_info   ascii   IID_IHttpNegotiate
4652  0x000adff3 0x004cb5f3 4    5    .debug_info   ascii   ^\bV\a
4653  0x000adffa 0x004cb5fa 19   20   .debug_info   ascii   IID_IHttpNegotiate2
4654  0x000ae016 0x004cb616 19   20   .debug_info   ascii   IID_IHttpNegotiate3
4655  0x000ae02b 0x004cb62b 4    5    .debug_info   ascii   :\tV\a
4656  0x000ae032 0x004cb632 22   23   .debug_info   ascii   IID_IWinInetFileStream
4657  0x000ae051 0x004cb651 23   24   .debug_info   ascii   IID_IWindowForBindingUI
4658  0x000ae071 0x004cb671 16   17   .debug_info   ascii   IID_ICodeInstall
4659  0x000ae083 0x004cb683 4    5    .debug_info   ascii   z\nV\a
4660  0x000ae08a 0x004cb68a 8    9    .debug_info   ascii   IID_IUri
4661  0x000ae09b 0x004cb69b 17   18   .debug_info   ascii   IID_IUriContainer
4662  0x000ae0b5 0x004cb6b5 15   16   .debug_info   ascii   IID_IUriBuilder
4663  0x000ae0cd 0x004cb6cd 22   23   .debug_info   ascii   IID_IUriBuilderFactory
4664  0x000ae0ec 0x004cb6ec 16   17   .debug_info   ascii   IID_IWinInetInfo
4665  0x000ae105 0x004cb705 17   18   .debug_info   ascii   IID_IHttpSecurity
4666  0x000ae11f 0x004cb71f 20   21   .debug_info   ascii   IID_IWinInetHttpInfo
4667  0x000ae13c 0x004cb73c 24   25   .debug_info   ascii   IID_IWinInetHttpTimeouts
4668  0x000ae15d 0x004cb75d 22   23   .debug_info   ascii   IID_IWinInetCacheHints
4669  0x000ae17c 0x004cb77c 23   24   .debug_info   ascii   IID_IWinInetCacheHints2
4670  0x000ae19c 0x004cb79c 12   13   .debug_info   ascii   SID_BindHost
4671  0x000ae1b1 0x004cb7b1 13   14   .debug_info   ascii   IID_IBindHost
4672  0x000ae1c7 0x004cb7c7 13   14   .debug_info   ascii   IID_IInternet
4673  0x000ae1dd 0x004cb7dd 21   22   .debug_info   ascii   IID_IInternetBindInfo
4674  0x000ae1fb 0x004cb7fb 23   24   .debug_info   ascii   IID_IInternetBindInfoEx
4675  0x000ae21b 0x004cb81b 25   26   .debug_info   ascii   IID_IInternetProtocolRoot
4676  0x000ae23d 0x004cb83d 21   22   .debug_info   ascii   IID_IInternetProtocol
4677  0x000ae25b 0x004cb85b 23   24   .debug_info   ascii   IID_IInternetProtocolEx
4678  0x000ae27b 0x004cb87b 25   26   .debug_info   ascii   IID_IInternetProtocolSink
4679  0x000ae29d 0x004cb89d 34   35   .debug_info   ascii   IID_IInternetProtocolSinkStackable
4680  0x000ae2c8 0x004cb8c8 20   21   .debug_info   ascii   IID_IInternetSession
4681  0x000ae2e5 0x004cb8e5 25   26   .debug_info   ascii   IID_IInternetThreadSwitch
4682  0x000ae307 0x004cb907 21   22   .debug_info   ascii   IID_IInternetPriority
4683  0x000ae325 0x004cb925 25   26   .debug_info   ascii   IID_IInternetProtocolInfo
4684  0x000ae347 0x004cb947 29   30   .debug_info   ascii   CLSID_InternetSecurityManager
4685  0x000ae36d 0x004cb96d 25   26   .debug_info   ascii   CLSID_InternetZoneManager
4686  0x000ae38f 0x004cb98f 30   31   .debug_info   ascii   CLSID_PersistentZoneIdentifier
4687  0x000ae3b6 0x004cb9b6 28   29   .debug_info   ascii   IID_IInternetSecurityMgrSite
4688  0x000ae3db 0x004cb9db 28   29   .debug_info   ascii   IID_IInternetSecurityManager
4689  0x000ae400 0x004cba00 30   31   .debug_info   ascii   IID_IInternetSecurityManagerEx
4690  0x000ae427 0x004cba27 31   32   .debug_info   ascii   IID_IInternetSecurityManagerEx2
4691  0x000ae44f 0x004cba4f 19   20   .debug_info   ascii   IID_IZoneIdentifier
4692  0x000ae46b 0x004cba6b 32   33   .debug_info   ascii   IID_IInternetHostSecurityManager
4693  0x000ae494 0x004cba94 36   37   .debug_info   ascii   GUID_CUSTOM_LOCALMACHINEZONEUNLOCKED
4694  0x000ae4c1 0x004cbac1 24   25   .debug_info   ascii   IID_IInternetZoneManager
4695  0x000ae4e2 0x004cbae2 26   27   .debug_info   ascii   IID_IInternetZoneManagerEx
4696  0x000ae505 0x004cbb05 27   28   .debug_info   ascii   IID_IInternetZoneManagerEx2
4697  0x000ae529 0x004cbb29 17   18   .debug_info   ascii   CLSID_SoftDistExt
4698  0x000ae543 0x004cbb43 16   17   .debug_info   ascii   IID_ISoftDistExt
4699  0x000ae55c 0x004cbb5c 20   21   .debug_info   ascii   IID_ICatalogFileInfo
4700  0x000ae572 0x004cbb72 4    5    .debug_info   ascii   x"V\a
4701  0x000ae579 0x004cbb79 15   16   .debug_info   ascii   IID_IDataFilter
4702  0x000ae591 0x004cbb91 26   27   .debug_info   ascii   IID_IEncodingFilterFactory
4703  0x000ae5ad 0x004cbbad 4    5    .debug_info   ascii   p#V\a
4704  0x000ae5b4 0x004cbbb4 31   32   .debug_info   ascii   GUID_CUSTOM_CONFIRMOBJECTSAFETY
4705  0x000ae5dc 0x004cbbdc 20   21   .debug_info   ascii   IID_IWrappedProtocol
4706  0x000ae5f9 0x004cbbf9 18   19   .debug_info   ascii   IID_IGetBindHandle
4707  0x000ae60d 0x004cbc0d 4    5    .debug_info   ascii   R$V\a
4708  0x000ae614 0x004cbc14 25   26   .debug_info   ascii   IID_IBindCallbackRedirect
4709  0x000ae636 0x004cbc36 20   21   .debug_info   ascii   IID_IPropertyStorage
4710  0x000ae653 0x004cbc53 23   24   .debug_info   ascii   IID_IPropertySetStorage
4711  0x000ae673 0x004cbc73 20   21   .debug_info   ascii   IID_IEnumSTATPROPSTG
4712  0x000ae690 0x004cbc90 23   24   .debug_info   ascii   IID_IEnumSTATPROPSETSTG
4713  0x000ae6b0 0x004cbcb0 10   11   .debug_info   ascii   IID_StdOle
4714  0x000ae6c2 0x004cbcc2 22   23   .debug_info   ascii   GUID_DEVINTERFACE_DISK
4715  0x000ae6e0 0x004cbce0 23   24   .debug_info   ascii   GUID_DEVINTERFACE_CDROM
4716  0x000ae6ff 0x004cbcff 27   28   .debug_info   ascii   GUID_DEVINTERFACE_PARTITION
4717  0x000ae722 0x004cbd22 22   23   .debug_info   ascii   GUID_DEVINTERFACE_TAPE
4718  0x000ae740 0x004cbd40 31   32   .debug_info   ascii   GUID_DEVINTERFACE_WRITEONCEDISK
4719  0x000ae767 0x004cbd67 24   25   .debug_info   ascii   GUID_DEVINTERFACE_VOLUME
4720  0x000ae787 0x004cbd87 31   32   .debug_info   ascii   GUID_DEVINTERFACE_MEDIUMCHANGER
4721  0x000ae7ae 0x004cbdae 24   25   .debug_info   ascii   GUID_DEVINTERFACE_FLOPPY
4722  0x000ae7ce 0x004cbdce 27   28   .debug_info   ascii   GUID_DEVINTERFACE_CDCHANGER
4723  0x000ae7f1 0x004cbdf1 29   30   .debug_info   ascii   GUID_DEVINTERFACE_STORAGEPORT
4724  0x000ae816 0x004cbe16 25   26   .debug_info   ascii   GUID_DEVINTERFACE_COMPORT
4725  0x000ae837 0x004cbe37 40   41   .debug_info   ascii   GUID_DEVINTERFACE_SERENUM_BUS_ENUMERATOR
4726  0x000ae867 0x004cbe67 17   18   .debug_info   ascii   _SCARD_IO_REQUEST
4727  0x000ae881 0x004cbe81 10   11   .debug_info   ascii   dwProtocol
4728  0x000ae894 0x004cbe94 11   12   .debug_info   ascii   cbPciLength
4729  0x000ae8a9 0x004cbea9 16   17   .debug_info   ascii   SCARD_IO_REQUEST
4730  0x000ae8c6 0x004cbec6 14   15   .debug_info   ascii   g_rgSCardT0Pci
4731  0x000ae8dc 0x004cbedc 14   15   .debug_info   ascii   g_rgSCardT1Pci
4732  0x000ae8f2 0x004cbef2 15   16   .debug_info   ascii   g_rgSCardRawPci
4733  0x000ae909 0x004cbf09 24   25   .debug_info   ascii   IID_IPrintDialogCallback
4734  0x000ae929 0x004cbf29 24   25   .debug_info   ascii   IID_IPrintDialogServices
4735  0x000ae949 0x004cbf49 8    9    .debug_info   ascii   func_ptr
4736  0x000ae964 0x004cbf64 13   14   .debug_info   ascii   __CTOR_LIST__
4737  0x000ae979 0x004cbf79 13   14   .debug_info   ascii   __DTOR_LIST__
4738  0x000ae98e 0x004cbf8e 11   12   .debug_info   ascii   initialized
4739  0x000ae9ab 0x004cbfab 6    7    .debug_info   ascii   __main
4740  0x000ae9b3 0x004cbfb3 4    5    .debug_info   ascii   N0\rH
4741  0x000ae9d8 0x004cbfd8 18   19   .debug_info   ascii    __do_global_ctors
4742  0x000aea03 0x004cc003 6    7    .debug_info   ascii   !nptrs
4743  0x000aea21 0x004cc021 4    5    .debug_info   ascii   "\r\rH
4744  0x000aea3d 0x004cc03d 18   19   .debug_info   ascii    __do_global_dtors
4745  0x000aea82 0x004cc082 7    8    .debug_info   ascii   $atexit
4746  0x000aea8a 0x004cc08a 6    7    .debug_info   ascii   atexit
4747  0x000aeaa1 0x004cc0a1 65   66   .debug_info   ascii   GNU C99 7.5.0 -m64 -mtune=generic -march=x86-64 -g -O2 -std=gnu99
4748  0x000aeae3 0x004cc0e3 15   16   .debug_info   ascii   \fcrt/natstart.c
4749  0x000aeaf3 0x004cc0f3 49   50   .debug_info   ascii   R:\winlibs64-7.5.0\mingw-w64-v7.0.0\mingw-w64-crt
4750  0x000aeb2c 0x004cc12c 4    5    .debug_info   ascii   char
4751  0x000aeb32 0x004cc132 24   25   .debug_info   ascii   \b\along long unsigned int
4752  0x000aeb4e 0x004cc14e 13   14   .debug_info   ascii   long long int
4753  0x000aeb5d 0x004cc15d 8    9    .debug_info   ascii   intptr_t
4754  0x000aeb6d 0x004cc16d 7    8    .debug_info   ascii   wchar_t
4755  0x000aeb7d 0x004cc17d 19   20   .debug_info   ascii   \ashort unsigned int
4756  0x000aeba0 0x004cc1a0 8    9    .debug_info   ascii   long int
4757  0x000aebaa 0x004cc1aa 14   15   .debug_info   ascii   pthreadlocinfo
4758  0x000aebc6 0x004cc1c6 23   24   .debug_info   ascii   \athreadlocaleinfostruct
4759  0x000aebf4 0x004cc1f4 12   13   .debug_info   ascii   \tlc_codepage
4760  0x000aec09 0x004cc209 14   15   .debug_info   ascii   \tlc_collate_cp
4761  0x000aec1f 0x004cc21f 11   12   .debug_info   ascii   \b\tlc_handle
4762  0x000aec32 0x004cc232 7    8    .debug_info   ascii   \f\tlc_id
4763  0x000aec41 0x004cc241 13   14   .debug_info   ascii   $\tlc_category
4764  0x000aec56 0x004cc256 10   11   .debug_info   ascii   H\nlc_clike
4765  0x000aec6a 0x004cc26a 11   12   .debug_info   ascii   \nmb_cur_max
4766  0x000aec7f 0x004cc27f 20   21   .debug_info   ascii   \nlconv_intl_refcount
4767  0x000aec9d 0x004cc29d 19   20   .debug_info   ascii   \nlconv_num_refcount
4768  0x000aecba 0x004cc2ba 19   20   .debug_info   ascii   \nlconv_mon_refcount
4769  0x000aecd7 0x004cc2d7 6    7    .debug_info   ascii   \nlconv
4770  0x000aece7 0x004cc2e7 16   17   .debug_info   ascii   \nctype1_refcount
4771  0x000aed01 0x004cc301 7    8    .debug_info   ascii   \nctype1
4772  0x000aed12 0x004cc312 7    8    .debug_info   ascii   \npctype
4773  0x000aed23 0x004cc323 7    8    .debug_info   ascii   \npclmap
4774  0x000aed34 0x004cc334 7    8    .debug_info   ascii   \npcumap
4775  0x000aed45 0x004cc345 13   14   .debug_info   ascii   \nlc_time_curr
4776  0x000aed5e 0x004cc35e 14   15   .debug_info   ascii   pthreadmbcinfo
4777  0x000aed7a 0x004cc37a 20   21   .debug_info   ascii   \vthreadmbcinfostruct
4778  0x000aed8f 0x004cc38f 18   19   .debug_info   ascii   \flocaleinfo_struct
4779  0x000aedaa 0x004cc3aa 8    9    .debug_info   ascii   \tlocinfo
4780  0x000aedbb 0x004cc3bb 8    9    .debug_info   ascii   \tmbcinfo
4781  0x000aedce 0x004cc3ce 15   16   .debug_info   ascii   _locale_tstruct
4782  0x000aede5 0x004cc3e5 9    10   .debug_info   ascii   \ftagLC_ID
4783  0x000aedf7 0x004cc3f7 10   11   .debug_info   ascii   \twLanguage
4784  0x000aee0a 0x004cc40a 9    10   .debug_info   ascii   \twCountry
4785  0x000aee1c 0x004cc41c 10   11   .debug_info   ascii   \twCodePage
4786  0x000aee31 0x004cc431 5    6    .debug_info   ascii   LC_ID
4787  0x000aee47 0x004cc447 7    8    .debug_info   ascii   \tlocale
4788  0x000aee57 0x004cc457 8    9    .debug_info   ascii   \twlocale
4789  0x000aee75 0x004cc475 10   11   .debug_info   ascii   \twrefcount
4790  0x000aee9d 0x004cc49d 13   14   .debug_info   ascii   \aunsigned int
4791  0x000aeec2 0x004cc4c2 18   19   .debug_info   ascii   \along unsigned int
4792  0x000aeef5 0x004cc4f5 6    7    .debug_info   ascii   \vlconv
4793  0x000aef16 0x004cc516 14   15   .debug_info   ascii   \bunsigned char
4794  0x000aef2a 0x004cc52a 15   16   .debug_info   ascii   \v__lc_time_data
4795  0x000aef41 0x004cc541 7    8    .debug_info   ascii   _PHNDLR
4796  0x000aef61 0x004cc561 12   13   .debug_info   ascii   _XCPT_ACTION
4797  0x000aef76 0x004cc576 7    8    .debug_info   ascii   XcptNum
4798  0x000aef86 0x004cc586 6    7    .debug_info   ascii   SigNum
4799  0x000aef95 0x004cc595 10   11   .debug_info   ascii   XcptAction
4800  0x000aefb4 0x004cc5b4 11   12   .debug_info   ascii   _XcptActTab
4801  0x000aefc7 0x004cc5c7 16   17   .debug_info   ascii   _XcptActTabCount
4802  0x000aefdf 0x004cc5df 15   16   .debug_info   ascii   _XcptActTabSize
4803  0x000aeff6 0x004cc5f6 15   16   .debug_info   ascii   _First_FPE_Indx
4804  0x000af00d 0x004cc60d 8    9    .debug_info   ascii   _Num_FPE
4805  0x000af01f 0x004cc61f 4    5    .debug_info   ascii   WORD
4806  0x000af02b 0x004cc62b 5    6    .debug_info   ascii   DWORD
4807  0x000af03a 0x004cc63a 5    6    .debug_info   ascii   float
4808  0x000af047 0x004cc647 13   14   .debug_info   ascii   __imp__pctype
4809  0x000af062 0x004cc662 13   14   .debug_info   ascii   __imp__wctype
4810  0x000af077 0x004cc677 14   15   .debug_info   ascii   __imp__pwctype
4811  0x000af09d 0x004cc69d 10   11   .debug_info   ascii   __newclmap
4812  0x000af0af 0x004cc6af 10   11   .debug_info   ascii   __newcumap
4813  0x000af0c1 0x004cc6c1 11   12   .debug_info   ascii   __ptlocinfo
4814  0x000af0d4 0x004cc6d4 11   12   .debug_info   ascii   __ptmbcinfo
4815  0x000af0e7 0x004cc6e7 20   21   .debug_info   ascii   __globallocalestatus
4816  0x000af103 0x004cc703 16   17   .debug_info   ascii   __locale_changed
4817  0x000af11b 0x004cc71b 16   17   .debug_info   ascii   __initiallocinfo
4818  0x000af133 0x004cc733 25   26   .debug_info   ascii   __initiallocalestructinfo
4819  0x000af154 0x004cc754 18   19   .debug_info   ascii   __imp___mb_cur_max
4820  0x000af170 0x004cc770 11   12   .debug_info   ascii   signed char
4821  0x000af17f 0x004cc77f 9    10   .debug_info   ascii   short int
4822  0x000af18a 0x004cc78a 9    10   .debug_info   ascii   ULONG_PTR
4823  0x000af19b 0x004cc79b 4    5    .debug_info   ascii   LONG
4824  0x000af1a8 0x004cc7a8 6    7    .debug_info   ascii   HANDLE
4825  0x000af1b6 0x004cc7b6 12   13   .debug_info   ascii   \f_LIST_ENTRY
4826  0x000af1cb 0x004cc7cb 6    7    .debug_info   ascii   \tFlink
4827  0x000af1da 0x004cc7da 6    7    .debug_info   ascii   \tBlink
4828  0x000af1f1 0x004cc7f1 10   11   .debug_info   ascii   LIST_ENTRY
4829  0x000af204 0x004cc804 5    6    .debug_info   ascii   _GUID
4830  0x000af212 0x004cc812 5    6    .debug_info   ascii   Data1
4831  0x000af220 0x004cc820 5    6    .debug_info   ascii   Data2
4832  0x000af22e 0x004cc82e 5    6    .debug_info   ascii   Data3
4833  0x000af23c 0x004cc83c 5    6    .debug_info   ascii   Data4
4834  0x000af25b 0x004cc85b 4    5    .debug_info   ascii   GUID
4835  0x000af27c 0x004cc87c 5    6    .debug_info   ascii   CLSID
4836  0x000af28e 0x004cc88e 5    6    .debug_info   ascii   FMTID
4837  0x000af2a2 0x004cc8a2 6    7    .debug_info   ascii   double
4838  0x000af2ac 0x004cc8ac 11   12   .debug_info   ascii   long double
4839  0x000af2c9 0x004cc8c9 12   13   .debug_info   ascii   _sys_errlist
4840  0x000af2dd 0x004cc8dd 9    10   .debug_info   ascii   _sys_nerr
4841  0x000af2ee 0x004cc8ee 12   13   .debug_info   ascii   __imp___argc
4842  0x000af303 0x004cc903 12   13   .debug_info   ascii   __imp___argv
4843  0x000af324 0x004cc924 13   14   .debug_info   ascii   __imp___wargv
4844  0x000af346 0x004cc946 14   15   .debug_info   ascii   __imp__environ
4845  0x000af35d 0x004cc95d 15   16   .debug_info   ascii   __imp__wenviron
4846  0x000af375 0x004cc975 13   14   .debug_info   ascii   __imp__pgmptr
4847  0x000af38b 0x004cc98b 14   15   .debug_info   ascii   __imp__wpgmptr
4848  0x000af3a2 0x004cc9a2 17   18   .debug_info   ascii   __imp__osplatform
4849  0x000af3bc 0x004cc9bc 12   13   .debug_info   ascii   __imp__osver
4850  0x000af3d1 0x004cc9d1 13   14   .debug_info   ascii   __imp__winver
4851  0x000af3e7 0x004cc9e7 15   16   .debug_info   ascii   __imp__winmajor
4852  0x000af3ff 0x004cc9ff 15   16   .debug_info   ascii   __imp__winminor
4853  0x000af417 0x004cca17 9    10   .debug_info   ascii   _amblksiz
4854  0x000af428 0x004cca28 22   23   .debug_info   ascii   GUID_MAX_POWER_SAVINGS
4855  0x000af447 0x004cca47 22   23   .debug_info   ascii   GUID_MIN_POWER_SAVINGS
4856  0x000af466 0x004cca66 26   27   .debug_info   ascii   GUID_TYPICAL_POWER_SAVINGS
4857  0x000af489 0x004cca89 16   17   .debug_info   ascii   NO_SUBGROUP_GUID
4858  0x000af4a2 0x004ccaa2 21   22   .debug_info   ascii   ALL_POWERSCHEMES_GUID
4859  0x000af4c0 0x004ccac0 28   29   .debug_info   ascii   GUID_POWERSCHEME_PERSONALITY
4860  0x000af4e5 0x004ccae5 23   24   .debug_info   ascii   GUID_ACTIVE_POWERSCHEME
4861  0x000af505 0x004ccb05 29   30   .debug_info   ascii   GUID_IDLE_RESILIENCY_SUBGROUP
4862  0x000af52b 0x004ccb2b 27   28   .debug_info   ascii   GUID_IDLE_RESILIENCY_PERIOD
4863  0x000af54f 0x004ccb4f 38   39   .debug_info   ascii   GUID_DISK_COALESCING_POWERDOWN_TIMEOUT
4864  0x000af57e 0x004ccb7e 39   40   .debug_info   ascii   GUID_EXECUTION_REQUIRED_REQUEST_TIMEOUT
4865  0x000af5ae 0x004ccbae 19   20   .debug_info   ascii   GUID_VIDEO_SUBGROUP
4866  0x000af5ca 0x004ccbca 28   29   .debug_info   ascii   GUID_VIDEO_POWERDOWN_TIMEOUT
4867  0x000af5ef 0x004ccbef 28   29   .debug_info   ascii   GUID_VIDEO_ANNOYANCE_TIMEOUT
4868  0x000af614 0x004ccc14 36   37   .debug_info   ascii   GUID_VIDEO_ADAPTIVE_PERCENT_INCREASE
4869  0x000af641 0x004ccc41 22   23   .debug_info   ascii   GUID_VIDEO_DIM_TIMEOUT
4870  0x000af660 0x004ccc60 29   30   .debug_info   ascii   GUID_VIDEO_ADAPTIVE_POWERDOWN
4871  0x000af686 0x004ccc86 21   22   .debug_info   ascii   GUID_MONITOR_POWER_ON
4872  0x000af6a4 0x004ccca4 41   42   .debug_info   ascii   GUID_DEVICE_POWER_POLICY_VIDEO_BRIGHTNESS
4873  0x000af6d6 0x004cccd6 45   46   .debug_info   ascii   GUID_DEVICE_POWER_POLICY_VIDEO_DIM_BRIGHTNESS
4874  0x000af70c 0x004ccd0c 37   38   .debug_info   ascii   GUID_VIDEO_CURRENT_MONITOR_BRIGHTNESS
4875  0x000af73a 0x004ccd3a 38   39   .debug_info   ascii   GUID_VIDEO_ADAPTIVE_DISPLAY_BRIGHTNESS
4876  0x000af769 0x004ccd69 26   27   .debug_info   ascii   GUID_CONSOLE_DISPLAY_STATE
4877  0x000af78c 0x004ccd8c 27   28   .debug_info   ascii   GUID_ALLOW_DISPLAY_REQUIRED
4878  0x000af7b0 0x004ccdb0 31   32   .debug_info   ascii   GUID_VIDEO_CONSOLE_LOCK_TIMEOUT
