[Strings]
nth   paddr      vaddr      len  size section       type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
83    0x0000bcbf 0x0040c6bf 4    5    .text         ascii   H9E 
84    0x0000be9b 0x0040c89b 4    5    .text         ascii   @ H9
85    0x0000c3a7 0x0040cda7 5    6    .text         ascii   @(H9E
86    0x0000c468 0x0040ce68 4    5    .text         ascii   @(H=
87    0x0000c549 0x0040cf49 4    5    .text         ascii   @\bH)
88    0x0000c5d3 0x0040cfd3 4    5    .text         ascii   @\bH=
89    0x0000d1ec 0x0040dbec 4    5    .text         ascii   @\bH!
90    0x0000d56c 0x0040df6c 5    6    .text         ascii   @\bH9E
91    0x0000d984 0x0040e384 5    6    .text         ascii   @\bH9E
92    0x0000df99 0x0040e999 5    6    .text         ascii   @ H9E
93    0x0000e05e 0x0040ea5e 4    6    .text         utf8    \bE H
94    0x0000e330 0x0040ed30 4    6    .text         utf8    \bE H
95    0x0000f00b 0x0040fa0b 4    5    .text         ascii   H9E 
96    0x0000f040 0x0040fa40 5    6    .text         ascii   E H9E
97    0x0000f0e5 0x0040fae5 4    5    .text         ascii   H9E 
98    0x0000fa78 0x00410478 4    5    .text         ascii   D$ 5
99    0x0000fa81 0x00410481 4    5    .text         ascii   \r\bU\a
100   0x0000fe90 0x00410890 4    5    .text         ascii   D$ 5
101   0x0000ff68 0x00410968 4    5    .text         ascii   \rS@\a
102   0x00010300 0x00410d00 4    6    .text         utf8    H+EȺ blocks=Basic Latin,Latin Extended-B
103   0x00010670 0x00411070 4    5    .text         ascii   D$ 5
104   0x00010edb 0x004118db 4    5    .text         ascii   D$ 5
105   0x00011a09 0x00412409 4    5    .text         ascii   \tH\vE
106   0x00011e5f 0x0041285f 4    5    .text         ascii   @0H9
107   0x00011ed2 0x004128d2 5    6    .text         ascii   @\bH9E
108   0x00011f59 0x00412959 4    5    .text         ascii   @\bH9
109   0x00011fef 0x004129ef 5    6    .text         ascii   @\bH9E
110   0x00012dd1 0x004137d1 4    5    .text         ascii   @"f=
111   0x000130a6 0x00413aa6 4    6    .text         utf8    HǀX+ blocks=Basic Latin,Latin Extended-B
112   0x000130cb 0x00413acb 4    6    .text         utf8    Hǀ`+ blocks=Basic Latin,Latin Extended-B
113   0x000130f0 0x00413af0 4    6    .text         utf8    Hǀh+ blocks=Basic Latin,Latin Extended-B
114   0x00013115 0x00413b15 4    6    .text         utf8    Hǀp+ blocks=Basic Latin,Latin Extended-B
115   0x0001313a 0x00413b3a 4    6    .text         utf8    Hǀx+ blocks=Basic Latin,Latin Extended-B
116   0x000135ad 0x00413fad 4    5    .text         ascii   \vu-H
117   0x00013615 0x00414015 4    5    .text         ascii   \bu*H
118   0x00013b1a 0x0041451a 9    10   .text         ascii   gfffffffH
119   0x00013dfd 0x004147fd 4    5    .text         ascii   D$ 5
120   0x00013e37 0x00414837 4    5    .text         ascii   \rd\a\a
121   0x00013efc 0x004148fc 4    5    .text         ascii   U H9
122   0x00014aaf 0x004154af 4    6    .text         utf8    ȈE(H blocks=Latin Extended-B,Basic Latin
123   0x00014fa3 0x004159a3 4    5    .text         ascii   D$ 5
124   0x00015675 0x00416075 4    5    .text         ascii   H;EX
125   0x0001604e 0x00416a4e 4    5    .text         ascii   \vH1E
126   0x000162ab 0x00416cab 4    5    .text         ascii   D$ 5
127   0x00016e55 0x00417855 5    6    .text         ascii   @\bH9E
128   0x0001718b 0x00417b8b 4    5    .text         ascii   UhH)
129   0x000171bc 0x00417bbc 5    6    .text         ascii   H+E(q
130   0x00017298 0x00417c98 6    7    .text         ascii   E8H;E 
131   0x00017345 0x00417d45 4    5    .text         ascii   H9Eh
132   0x000176d0 0x004180d0 4    5    .text         ascii   D$ 5
133   0x00018998 0x00419398 4    5    .text         ascii   @"f=
134   0x00018aa6 0x004194a6 4    5    .text         ascii   H;E(
135   0x00018e27 0x00419827 4    5    .text         ascii   <9w\a
136   0x00018f24 0x00419924 4    5    .text         ascii   <9w\a
137   0x0001903b 0x00419a3b 9    10   .text         ascii   gfffffffH
138   0x0001926b 0x00419c6b 5    6    .text         ascii   H+E q
139   0x000192d7 0x00419cd7 4    5    .text         ascii    H\tE
140   0x000192ef 0x00419cef 4    5    .text         ascii   \bH\tE
141   0x00019518 0x00419f18 4    5    .text         ascii   @"f=
142   0x0001951d 0x00419f1d 4    7    .text         utf8    \au\a蝗 blocks=Basic Latin,CJK Unified Ideographs
143   0x000196f8 0x0041a0f8 4    5    .text         ascii   @"f=
144   0x000196fd 0x0041a0fd 4    7    .text         utf8    \au\a轕 blocks=Basic Latin,CJK Unified Ideographs
145   0x000199ef 0x0041a3ef 5    6    .text         ascii   <>u\rH
146   0x00019a71 0x0041a471 5    6    .text         ascii   <~u\nH
147   0x00019c0f 0x0041a60f 5    6    .text         ascii   H;E |
148   0x00019d08 0x0041a708 5    6    .text         ascii   H;E |
149   0x0001b14e 0x0041bb4e 4    5    .text         ascii   <>u:
150   0x0001b1fd 0x0041bbfd 4    5    .text         ascii   <~u7
151   0x0001bfe8 0x0041c9e8 4    5    .text         ascii   @"f=
152   0x0001c075 0x0041ca75 4    5    .text         ascii   <@v'
153   0x0001c334 0x0041cd34 4    6    .text         utf8    ЈE H blocks=Cyrillic,Basic Latin
154   0x0001d3ac 0x0041ddac 4    5    .text         ascii   <@vy
155   0x0001d3b4 0x0041ddb4 5    6    .text         ascii   <ZwqH
156   0x0001d6ff 0x0041e0ff 5    6    .text         ascii   H;E |
157   0x0001dfda 0x0041e9da 5    6    .text         ascii   </v#H
158   0x0001dff6 0x0041e9f6 4    5    .text         ascii   <9w\a
159   0x0001e626 0x0041f026 4    5    .text         ascii   <}t\a
160   0x0001e855 0x0041f255 5    7    .text         utf8    u\rHǅ( blocks=Basic Latin,Latin Extended-B
