[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
1066 0x0000d614 0x00414414 6   7    .rsrc   ascii   W.wo#$
1067 0x0000d64a 0x0041444a 4   6    .rsrc   utf8    2ęFZ blocks=Basic Latin,Latin Extended-A
1068 0x0000d67b 0x0041447b 4   5    .rsrc   ascii   .&\n\
1069 0x0000d6b3 0x004144b3 6   7    .rsrc   ascii    9E\f9n
1070 0x0000d6be 0x004144be 5   6    .rsrc   ascii   Xo8?=
1071 0x0000d6d5 0x004144d5 4   6    .rsrc   utf8    v#Wإ blocks=Basic Latin,Arabic
1072 0x0000d703 0x00414503 5   7    .rsrc   utf8    C\a\\\
1073 0x0000d726 0x00414526 5   7    .rsrc   utf8    ~yA{ޢ blocks=Basic Latin,Thaana
1074 0x0000d741 0x00414541 4   5    .rsrc   ascii   7_c0
1075 0x0000d76a 0x0041456a 4   5    .rsrc   ascii   CR\\n
1076 0x0000d776 0x00414576 4   5    .rsrc   ascii   1Vx\v
1077 0x0000d78f 0x0041458f 5   6    .rsrc   ascii   jTcr5
1078 0x0000d79c 0x0041459c 4   5    .rsrc   ascii   $%A\
1079 0x0000d7dc 0x004145dc 4   5    .rsrc   ascii   *"un
1080 0x0000d826 0x00414626 5   6    .rsrc   ascii   .\tzK9
1081 0x0000d850 0x00414650 8   11   .rsrc   utf8    LX]]BJ袠m blocks=Basic Latin,CJK Unified Ideographs
1082 0x0000d8a0 0x004146a0 4   6    .rsrc   utf8    PJit
1083 0x0000d8e6 0x004146e6 4   5    .rsrc   ascii   \\]1
1084 0x0000d906 0x00414706 5   6    .rsrc   ascii   suvF3
1085 0x0000d93e 0x0041473e 4   6    .rsrc   utf8    ީLwP blocks=Thaana,Basic Latin
1086 0x0000d978 0x00414778 4   6    .rsrc   utf8    =Ȇ7| blocks=Basic Latin,Latin Extended-B
1087 0x0000d9bd 0x004147bd 4   5    .rsrc   ascii   sw,\t
1088 0x0000d9e7 0x004147e7 4   5    .rsrc   ascii   IPyR
1089 0x0000da4a 0x0041484a 4   5    .rsrc   ascii   9\tXJ
1090 0x0000da6b 0x0041486b 5   6    .rsrc   ascii   nq>fZ
1091 0x0000da78 0x00414878 4   5    .rsrc   ascii   u-I$
1092 0x0000da82 0x00414882 4   5    .rsrc   ascii   k\e.N
1093 0x0000daa2 0x004148a2 7   11   .rsrc   utf8    wՀD"qaʒ blocks=Basic Latin,Armenian,IPA Extensions
1094 0x0000dab7 0x004148b7 6   7    .rsrc   ascii   ! IZq9
1095 0x0000dabe 0x004148be 4   6    .rsrc   utf8    sqqΓ blocks=Basic Latin,Greek and Coptic
1096 0x0000dada 0x004148da 5   6    .rsrc   ascii   -sY v
1097 0x0000db10 0x00414910 4   5    .rsrc   ascii   7K6'
1098 0x0000db19 0x00414919 4   5    .rsrc   ascii   2\\\
1099 0x0000db38 0x00414938 5   6    .rsrc   ascii   2'T\vg
1100 0x0000db65 0x00414965 4   5    .rsrc   ascii   1H|T
1101 0x0000dbb6 0x004149b6 4   5    .rsrc   ascii   Kb9$
1102 0x0000dbe1 0x004149e1 5   7    .rsrc   utf8    lc'ڄ\n blocks=Basic Latin,Arabic
1103 0x0000dbf3 0x004149f3 10  13   .rsrc   utf8    ]e"e-\bαپA< blocks=Basic Latin,Greek and Coptic,Arabic
1104 0x0000dc2d 0x00414a2d 7   8    .rsrc   ascii   5!F\pHU
1105 0x0000dc4c 0x00414a4c 5   7    .rsrc   utf8    >tX۳\ blocks=Basic Latin,Arabic
1106 0x0000dc62 0x00414a62 4   6    .rsrc   utf8    /cċ2 blocks=Basic Latin,Latin Extended-A
1107 0x0000dc7f 0x00414a7f 5   6    .rsrc   ascii   eEQVt
1108 0x0000dca6 0x00414aa6 5   6    .rsrc   ascii   5kVWs
1109 0x0000dd5b 0x00414b5b 6   7    .rsrc   ascii   2{F6\fx
1110 0x0000dde6 0x00414be6 4   5    .rsrc   ascii   en,&
1111 0x0000de6b 0x00414c6b 4   5    .rsrc   ascii   2g.\n
1112 0x0000de89 0x00414c89 4   6    .rsrc   utf8    ƮK$` blocks=Latin Extended-B,Basic Latin
1113 0x0000def4 0x00414cf4 5   7    .rsrc   utf8    YΗL&{ blocks=Basic Latin,Greek and Coptic
1114 0x0000df3d 0x00414d3d 8   9    .rsrc   ascii   G"$I\b"+R
1115 0x0000df46 0x00414d46 4   7    .rsrc   utf8     ؘِF blocks=Basic Latin,Arabic
1116 0x0000df8a 0x00414d8a 6   7    .rsrc   ascii   @]DlHY
1117 0x0000dff1 0x00414df1 4   5    .rsrc   ascii   W_g8
1118 0x0000e059 0x00414e59 6   7    .rsrc   ascii   P*Mk{t
1119 0x0000e082 0x00414e82 4   5    .rsrc   ascii   KS`L
1120 0x0000e08f 0x00414e8f 4   5    .rsrc   ascii   OO &
1121 0x0000e0a6 0x00414ea6 4   5    .rsrc   ascii   5UYP
1122 0x0000e0ed 0x00414eed 4   5    .rsrc   ascii   >\a7n
1123 0x0000e176 0x00414f76 5   8    .rsrc   utf8    瞴??;{ blocks=CJK Unified Ideographs,Basic Latin
1124 0x0000e1a2 0x00414fa2 4   6    .rsrc   utf8    ͇$)H blocks=Combining Diacritical Marks,Basic Latin
1125 0x0000e1b2 0x00414fb2 4   6    .rsrc   utf8    V`t¨ blocks=Basic Latin,Latin-1 Supplement
1126 0x0000e1db 0x00414fdb 4   6    .rsrc   utf8    1ҡ\nA blocks=Basic Latin,Cyrillic
1127 0x0000e265 0x00415065 4   5    .rsrc   ascii   FczA
1128 0x0000e28c 0x0041508c 4   6    .rsrc   utf8    ӮWTE blocks=Cyrillic,Basic Latin
1129 0x0000e2a3 0x004150a3 6   9    .rsrc   utf8    AQЍ&Ĕ2 blocks=Basic Latin,Cyrillic,Latin Extended-A
1130 0x0000e2b8 0x004150b8 4   5    .rsrc   ascii   zY2W
1131 0x0000e2fa 0x004150fa 4   5    .rsrc   ascii   o8}z
1132 0x0000e38f 0x0041518f 4   5    .rsrc   ascii   '[xu
1133 0x0000e455 0x00415255 4   5    .rsrc   ascii   (\ay>
1134 0x0000e4a7 0x004152a7 4   5    .rsrc   ascii   A\rjz
1135 0x0000e4c9 0x004152c9 5   7    .rsrc   utf8    xwkХc blocks=Basic Latin,Cyrillic
1136 0x0000e51b 0x0041531b 5   6    .rsrc   ascii   \t}q@3
1137 0x0000e58e 0x0041538e 4   5    .rsrc   ascii   WWWW
1138 0x0000e597 0x00415397 4   7    .rsrc   utf8    x|2 blocks=Basic Latin,Private Use Area
1139 0x0000e5ba 0x004153ba 10  11   .rsrc   ascii   qY"\nd~S(E$
1140 0x0000e5de 0x004153de 4   5    .rsrc   ascii   H1Q\b
1141 0x0000e5e3 0x004153e3 5   6    .rsrc   ascii   *5EUc
1142 0x0000e5ef 0x004153ef 4   5    .rsrc   ascii   -Oxy
1143 0x0000e62e 0x0041542e 4   5    .rsrc   ascii   2Xj3
1144 0x0000e659 0x00415459 4   5    .rsrc   ascii   88<D
1145 0x0000e686 0x00415486 4   5    .rsrc   ascii   \e@\n(
1146 0x0000e696 0x00415496 5   6    .rsrc   ascii   K-'ON
1147 0x0000e6dd 0x004154dd 5   6    .rsrc   ascii   \eXu9;
1148 0x0000e6f0 0x004154f0 5   6    .rsrc   ascii   hm`|t
1149 0x0000e76f 0x0041556f 4   6    .rsrc   utf8    {IԹJ blocks=Basic Latin,Armenian
1150 0x0000e786 0x00415586 5   6    .rsrc   ascii   unsrr
1151 0x0000e7c8 0x004155c8 4   5    .rsrc   ascii   I%"f
1152 0x0000e8be 0x004156be 4   5    .rsrc   ascii   \a\a4m
1153 0x0000e8d4 0x004156d4 5   8    .rsrc   utf8    ػےy() blocks=Arabic,Basic Latin
1154 0x0000e933 0x00415733 7   8    .rsrc   ascii   \n(~H,_G
1155 0x0000e960 0x00415760 5   6    .rsrc   ascii   "h)3i
1156 0x0000e970 0x00415770 4   5    .rsrc   ascii   oqd(
1157 0x0000e9ae 0x004157ae 4   5    .rsrc   ascii   7=`'
1158 0x0000e9b8 0x004157b8 4   5    .rsrc   ascii   g=.\b
1159 0x0000e9d2 0x004157d2 4   5    .rsrc   ascii   oRBP
1160 0x0000e9e1 0x004157e1 4   5    .rsrc   ascii   q9Z<
1161 0x0000ea19 0x00415819 5   7    .rsrc   utf8    ͛l6[> blocks=Combining Diacritical Marks,Basic Latin
1162 0x0000ea2a 0x0041582a 4   5    .rsrc   ascii   su5'
1163 0x0000ea42 0x00415842 4   5    .rsrc   ascii   3}Bj
1164 0x0000ea56 0x00415856 4   5    .rsrc   ascii   \ff\aT
1165 0x0000eadd 0x004158dd 4   7    .rsrc   utf8    ᭄((\r blocks=Balinese,Basic Latin
1166 0x0000eaef 0x004158ef 4   7    .rsrc   utf8    ੩'{H blocks=Gurmukhi,Basic Latin
1167 0x0000eba8 0x004159a8 5   7    .rsrc   utf8    En4ן{ blocks=Basic Latin,Hebrew
1168 0x0000ebc8 0x004159c8 4   5    .rsrc   ascii   I)GC
1169 0x0000ec3f 0x00415a3f 4   5    .rsrc   ascii   ko]@
1170 0x0000ec5c 0x00415a5c 5   6    .rsrc   ascii   \a#tir
1171 0x0000ec74 0x00415a74 5   6    .rsrc   ascii   f\erYe
1172 0x0000ec92 0x00415a92 6   7    .rsrc   ascii   # '7\vi
1173 0x0000ecd8 0x00415ad8 4   5    .rsrc   ascii   ]#0h
1174 0x0000ed07 0x00415b07 7   8    .rsrc   ascii   Qk&{{L&
1175 0x0000ed2f 0x00415b2f 4   5    .rsrc   ascii   %4AZ
1176 0x0000ed3b 0x00415b3b 4   5    .rsrc   ascii   _!n|
1177 0x0000ed55 0x00415b55 5   7    .rsrc   utf8    "Ĕ+"' blocks=Basic Latin,Latin Extended-A
1178 0x0000ed5f 0x00415b5f 5   6    .rsrc   ascii   x/0Qf
1179 0x0000eda2 0x00415ba2 4   5    .rsrc   ascii   HkC@
1180 0x0000edd6 0x00415bd6 5   6    .rsrc   ascii   \bmOA@
1181 0x0000ee04 0x00415c04 4   5    .rsrc   ascii   ?`7-
1182 0x0000ee2f 0x00415c2f 5   7    .rsrc   utf8    ίP"px blocks=Greek and Coptic,Basic Latin
1183 0x0000ee4f 0x00415c4f 4   5    .rsrc   ascii   {t7o
1184 0x0000ee79 0x00415c79 4   5    .rsrc   ascii   6g.D
1185 0x0000eed8 0x00415cd8 4   5    .rsrc   ascii   6"Cb
1186 0x0000eedd 0x00415cdd 4   6    .rsrc   utf8    /ٻ\rr blocks=Basic Latin,Arabic
1187 0x0000ef16 0x00415d16 4   5    .rsrc   ascii   GSF{
1188 0x0000ef6e 0x00415d6e 5   6    .rsrc   ascii   V9jmU
1189 0x0000ef85 0x00415d85 4   6    .rsrc   utf8    ɓG_Z blocks=IPA Extensions,Basic Latin
1190 0x0000efcc 0x00415dcc 4   5    .rsrc   ascii   rgd\t
1191 0x0000efd4 0x00415dd4 4   5    .rsrc   ascii   *ADk
1192 0x0000efdd 0x00415ddd 5   7    .rsrc   utf8    H٪Z\b\n blocks=Basic Latin,Arabic
1193 0x0000efef 0x00415def 5   6    .rsrc   ascii   sg@q,
1194 0x0000f022 0x00415e22 5   6    .rsrc   ascii   \rJ)Sv
1195 0x0000f03b 0x00415e3b 7   9    .rsrc   utf8    \by\aQ݆0' blocks=Basic Latin,Syriac
1196 0x0000f04f 0x00415e4f 5   6    .rsrc   ascii   mLU!P
1197 0x0000f06e 0x00415e6e 5   6    .rsrc   ascii   \fXk\t>
1198 0x0000f082 0x00415e82 5   7    .rsrc   utf8    sq~ ( blocks=Basic Latin,Latin-1 Supplement
1199 0x0000f0ba 0x00415eba 6   7    .rsrc   ascii   se" m\e
1200 0x0000f0e8 0x00415ee8 6   7    .rsrc   ascii   w>.X-$
1201 0x0000f114 0x00415f14 11  13   .rsrc   utf8    >_]|@xhONXܿ blocks=Basic Latin,Syriac
1202 0x0000f140 0x00415f40 4   6    .rsrc   utf8    ;oP݊ blocks=Basic Latin,Syriac
1203 0x0000f14a 0x00415f4a 5   6    .rsrc   ascii   @u[1<
1204 0x0000f195 0x00415f95 4   5    .rsrc   ascii   ?;;;
1205 0x0000f1b3 0x00415fb3 4   5    .rsrc   ascii   &S%\r
1206 0x0000f1bd 0x00415fbd 5   7    .rsrc   utf8    q"҈Dg blocks=Basic Latin,Cyrillic
1207 0x0000f1cf 0x00415fcf 8   9    .rsrc   ascii   \t-EN{!a\n
1208 0x0000f1fc 0x00415ffc 4   5    .rsrc   ascii   8:f6
1209 0x0000f22c 0x0041602c 6   8    .rsrc   utf8    T\n+=/ݝ blocks=Basic Latin,Arabic Supplement
1210 0x0000f245 0x00416045 5   6    .rsrc   ascii   a^~D*
1211 0x0000f24c 0x0041604c 4   5    .rsrc   ascii   770\b
1212 0x0000f28e 0x0041608e 4   5    .rsrc   ascii   ]kIJ
1213 0x0000f32e 0x0041612e 4   6    .rsrc   utf8    (fTܳ blocks=Basic Latin,Syriac
1214 0x0000f361 0x00416161 5   6    .rsrc   ascii   22@Pd
1215 0x0000f42b 0x0041622b 4   5    .rsrc   ascii   j|:E
1216 0x0000f438 0x00416238 6   7    .rsrc   ascii   H\tZ\tb\f
1217 0x0000f460 0x00416260 4   5    .rsrc   ascii   0fwo
1218 0x0000f47a 0x0041627a 4   5    .rsrc   ascii   jP!2
1219 0x0000f4fe 0x004162fe 4   5    .rsrc   ascii   n1EI
1220 0x0000f503 0x00416303 5   6    .rsrc   ascii   64gO1
1221 0x0000f51d 0x0041631d 4   6    .rsrc   utf8    ٯvB  blocks=Arabic,Basic Latin
1222 0x0000f548 0x00416348 5   7    .rsrc   utf8    ³YH6[ blocks=Latin-1 Supplement,Basic Latin
1223 0x0000f561 0x00416361 4   5    .rsrc   ascii   ^]]}
1224 0x0000f5d1 0x004163d1 4   5    .rsrc   ascii   a`0(
1225 0x0000f5dd 0x004163dd 4   6    .rsrc   utf8    TȉBi blocks=Basic Latin,Latin Extended-B
1226 0x0000f696 0x00416496 4   5    .rsrc   ascii   hYp|
1227 0x0000f6d1 0x004164d1 10  12   .rsrc   utf8    l/-WOα10=< blocks=Basic Latin,Greek and Coptic
1228 0x0000f732 0x00416532 4   5    .rsrc   ascii   r?FJ
1229 0x0000f770 0x00416570 4   5    .rsrc   ascii   _^^^
1230 0x0000f79c 0x0041659c 6   7    .rsrc   ascii   KBY\bd 
1231 0x0000f7b1 0x004165b1 4   5    .rsrc   ascii   dd6L
1232 0x0000f7c2 0x004165c2 4   5    .rsrc   ascii   ,i\!
1233 0x0000f7c7 0x004165c7 4   5    .rsrc   ascii   nRW3
1234 0x0000f7fc 0x004165fc 4   5    .rsrc   ascii   pPq|
1235 0x0000f803 0x00416603 5   8    .rsrc   utf8    ǂͪa<= blocks=Latin Extended-B,Combining Diacritical Marks,Basic Latin
1236 0x0000f80f 0x0041660f 7   8    .rsrc   ascii   (Eh? l~
1237 0x0000f81b 0x0041661b 5   6    .rsrc   ascii   ;L'oR
1238 0x0000f84f 0x0041664f 4   6    .rsrc   utf8    %\vuβ blocks=Basic Latin,Greek and Coptic
1239 0x0000f89b 0x0041669b 6   7    .rsrc   ascii   ?^k\n)P
1240 0x0000f8a5 0x004166a5 4   5    .rsrc   ascii   t\n&%
1241 0x0000f8af 0x004166af 4   5    .rsrc   ascii   JJm\t
1242 0x0000f8d7 0x004166d7 4   5    .rsrc   ascii   PMFH
1243 0x0000f8fa 0x004166fa 4   5    .rsrc   ascii   }d)s
1244 0x0000f93d 0x0041673d 4   5    .rsrc   ascii   u^hM
1245 0x0000f942 0x00416742 4   5    .rsrc   ascii   tm{q
1246 0x0000f980 0x00416780 4   6    .rsrc   utf8    d6\v٨ blocks=Basic Latin,Arabic
1247 0x0000f992 0x00416792 5   6    .rsrc   ascii   \nDB.[
1248 0x0000f9d0 0x004167d0 4   5    .rsrc   ascii   FcA$
1249 0x0000f9d8 0x004167d8 5   6    .rsrc   ascii   1}5 l
1250 0x0000f9de 0x004167de 5   6    .rsrc   ascii   xoiW[
1251 0x0000fa10 0x00416810 12  15   .rsrc   utf8    KƥŘQc1FRUaRB blocks=Basic Latin,Latin Extended-B,Latin Extended-A
1252 0x0000fa37 0x00416837 4   5    .rsrc   ascii   ,%wo
1253 0x0000fa40 0x00416840 5   8    .rsrc   utf8    V0ۛaʊ blocks=Basic Latin,Arabic,IPA Extensions
1254 0x0000fa4d 0x0041684d 4   5    .rsrc   ascii   J**m
1255 0x0000fa5c 0x0041685c 5   6    .rsrc   ascii   mK*\fM
1256 0x0000fa62 0x00416862 6   7    .rsrc   ascii   qz9g"@
1257 0x0000fab1 0x004168b1 8   9    .rsrc   ascii   |>go:E:O
1258 0x0000fb6d 0x0041696d 4   5    .rsrc   ascii   FeAg
1259 0x0000fb7f 0x0041697f 4   5    .rsrc   ascii   Sn-q
1260 0x0000fc05 0x00416a05 5   6    .rsrc   ascii   |9?0>
1261 0x0000fc7d 0x00416a7d 4   5    .rsrc   ascii   O8\v{
1262 0x0000fccf 0x00416acf 4   5    .rsrc   ascii   9'2Y
1263 0x0000fd65 0x00416b65 4   5    .rsrc   ascii   t[3\n
1264 0x0000fda5 0x00416ba5 5   6    .rsrc   ascii   fTweH
1265 0x0000fdc9 0x00416bc9 6   7    .rsrc   ascii   5%9\n\\b
1266 0x0000fdf3 0x00416bf3 4   5    .rsrc   ascii   .F%/
1267 0x0000fe16 0x00416c16 4   5    .rsrc   ascii   4w_y
1268 0x0000fe5f 0x00416c5f 4   5    .rsrc   ascii   q0\b|
1269 0x0000fe77 0x00416c77 5   7    .rsrc   utf8    .(Mvi
1270 0x0000fe8d 0x00416c8d 7   8    .rsrc   ascii   "p|0foz
1271 0x0000feb4 0x00416cb4 6   8    .rsrc   utf8    +R\n\b9Ȍ blocks=Basic Latin,Latin Extended-B
1272 0x0000fede 0x00416cde 5   7    .rsrc   utf8    O"OךO blocks=Basic Latin,Hebrew
1273 0x0000ff34 0x00416d34 4   5    .rsrc   ascii   P=.%
1274 0x0000ff3a 0x00416d3a 7   12   .rsrc   utf8    ضŭ簺B5+t blocks=Arabic,Latin Extended-A,CJK Unified Ideographs,Basic Latin
1275 0x0000ffac 0x00416dac 4   5    .rsrc   ascii   IiA_
1276 0x0001000c 0x00416e0c 4   7    .rsrc   utf8    \t6%䨦 blocks=Basic Latin,CJK Unified Ideographs Extension A
1277 0x00010030 0x00416e30 4   6    .rsrc   utf8    mǶ\v$ blocks=Basic Latin,Latin Extended-B
1278 0x00010039 0x00416e39 4   5    .rsrc   ascii   3)PN
1279 0x00010044 0x00416e44 5   7    .rsrc   utf8    e=oʏ( blocks=Basic Latin,IPA Extensions
1280 0x00010070 0x00416e70 4   5    .rsrc   ascii   N&\fF
1281 0x000100f5 0x00416ef5 4   6    .rsrc   utf8    \v~\ƒ blocks=Basic Latin,Latin Extended-B
1282 0x00010103 0x00416f03 4   5    .rsrc   ascii   I;HH
1283 0x00010159 0x00416f59 4   5    .rsrc   ascii   &\tP;
1284 0x0001017a 0x00416f7a 5   6    .rsrc   ascii   #n6T\a
1285 0x000101ac 0x00416fac 4   5    .rsrc   ascii   `8`<
1286 0x000101df 0x00416fdf 5   7    .rsrc   utf8    ެY^\2 blocks=Thaana,Basic Latin
1287 0x00010235 0x00417035 5   7    .rsrc   utf8    ɨbXi* blocks=IPA Extensions,Basic Latin
1288 0x0001023c 0x0041703c 5   6    .rsrc   ascii   0RSV%
1289 0x00010304 0x00417104 4   5    .rsrc   ascii   }\uH
1290 0x00010373 0x00417173 7   8    .rsrc   ascii   ?K)w\rD`
1291 0x00010382 0x00417182 4   5    .rsrc   ascii   Q9%8
1292 0x000103ae 0x004171ae 5   7    .rsrc   utf8    \0ܛ!G blocks=Basic Latin,Syriac
1293 0x000103c8 0x004171c8 5   6    .rsrc   ascii   |=R0(
1294 0x000103ee 0x004171ee 4   5    .rsrc   ascii   qOl4
1295 0x0001040f 0x0041720f 5   7    .rsrc   utf8    gơR`\f blocks=Basic Latin,Latin Extended-B
1296 0x0001044e 0x0041724e 5   6    .rsrc   ascii   Y\f^e^
1297 0x0001045f 0x0041725f 4   6    .rsrc   utf8    ß\^^ blocks=Latin-1 Supplement,Basic Latin
1298 0x0001046c 0x0041726c 4   5    .rsrc   ascii   O_e!
1299 0x000104a8 0x004172a8 4   6    .rsrc   utf8    ݊BJ: blocks=Syriac,Basic Latin
1300 0x000104b2 0x004172b2 5   6    .rsrc   ascii   \bA"dB
1301 0x000104c4 0x004172c4 5   6    .rsrc   ascii   D"\eV
1302 0x000104cf 0x004172cf 4   5    .rsrc   ascii   hQ"k
1303 0x000104e6 0x004172e6 5   6    .rsrc   ascii   wl7\e6
1304 0x00010531 0x00417331 5   6    .rsrc   ascii   /P*W\t
1305 0x000105ca 0x004173ca 5   6    .rsrc   ascii   P\f2z-
1306 0x000105e0 0x004173e0 4   7    .rsrc   utf8    WZ߉~ blocks=Basic Latin,NKo
1307 0x0001060f 0x0041740f 4   5    .rsrc   ascii   c{l<
1308 0x00010674 0x00417474 4   6    .rsrc   utf8    f0#B
1309 0x00010682 0x00417482 5   7    .rsrc   utf8    B\n{\rͮ blocks=Basic Latin,Combining Diacritical Marks
1310 0x000106ce 0x004174ce 4   5    .rsrc   ascii   KOpT
1311 0x000106df 0x004174df 4   5    .rsrc   ascii   ^h<H
1312 0x0001074a 0x0041754a 4   5    .rsrc   ascii    $YF
1313 0x00010762 0x00417562 4   6    .rsrc   utf8    \e~ιg blocks=Basic Latin,Greek and Coptic
1314 0x0001079a 0x0041759a 6   8    .rsrc   utf8    bơ4u]3 blocks=Basic Latin,Latin Extended-B
1315 0x000107ec 0x004175ec 4   5    .rsrc   ascii   \v8~T
1316 0x0001080f 0x0041760f 4   5    .rsrc   ascii   :E'-
1317 0x0001085d 0x0041765d 4   5    .rsrc   ascii   olll
1318 0x00010880 0x00417680 5   7    .rsrc   utf8    ?|'4̱ blocks=Basic Latin,Combining Diacritical Marks
1319 0x000108ad 0x004176ad 4   5    .rsrc   ascii   HS*d
1320 0x000108b2 0x004176b2 5   7    .rsrc   utf8    Еf6u4 blocks=Cyrillic,Basic Latin
1321 0x000108bc 0x004176bc 8   9    .rsrc   ascii   V4k'Pf\r\e
1322 0x000108cc 0x004176cc 4   5    .rsrc   ascii   [Vsm
1323 0x000108d9 0x004176d9 4   5    .rsrc   ascii   G#0'
1324 0x00010903 0x00417703 4   5    .rsrc   ascii   7,..
1325 0x00010913 0x00417713 4   5    .rsrc   ascii   \eA"S
1326 0x0001092f 0x0041772f 5   6    .rsrc   ascii   G+r m
1327 0x00010942 0x00417742 5   7    .rsrc   utf8    bn͖d\t blocks=Basic Latin,Combining Diacritical Marks
1328 0x0001098f 0x0041778f 4   6    .rsrc   utf8    ɔb\x blocks=IPA Extensions,Basic Latin
1329 0x000109a1 0x004177a1 5   6    .rsrc   ascii   Z^Cvw
1330 0x000109fd 0x004177fd 4   5    .rsrc   ascii   N5Y&
1331 0x00010a51 0x00417851 5   6    .rsrc   ascii   !I<K}
1332 0x00010a7f 0x0041787f 4   7    .rsrc   utf8    lSa놦 blocks=Basic Latin,Hangul Syllables
1333 0x00010ac1 0x004178c1 4   6    .rsrc   utf8    7Ę6\v blocks=Basic Latin,Latin Extended-A
1334 0x00010af4 0x004178f4 4   5    .rsrc   ascii   ,./S
1335 0x00010b3e 0x0041793e 4   6    .rsrc   utf8    S˚OP blocks=Basic Latin,Spacing Modifier Letters
1336 0x00010b5f 0x0041795f 4   5    .rsrc   ascii   XDyl
1337 0x00010bed 0x004179ed 4   5    .rsrc   ascii   jguu
1338 0x00010c2e 0x00417a2e 5   9    .rsrc   utf8    =ܑ7R㠪 blocks=Basic Latin,Syriac,CJK Unified Ideographs Extension A
1339 0x00010c3e 0x00417a3e 5   7    .rsrc   utf8    %Ŭb6- blocks=Basic Latin,Latin Extended-A
1340 0x00010c4a 0x00417a4a 5   6    .rsrc   ascii   qQQ5Q
1341 0x00010c77 0x00417a77 6   7    .rsrc   ascii   F;c6/]
1342 0x00010c92 0x00417a92 4   5    .rsrc   ascii   6hcH
1343 0x00010cc2 0x00417ac2 4   5    .rsrc   ascii   [-\b
1344 0x00010ce2 0x00417ae2 6   7    .rsrc   ascii   xpuESF
1345 0x00010cef 0x00417aef 6   7    .rsrc   ascii   i,&MPi
1346 0x00010d19 0x00417b19 4   5    .rsrc   ascii   TAma
1347 0x00010d23 0x00417b23 7   9    .rsrc   utf8    ݚnG!Y@e blocks=Arabic Supplement,Basic Latin
1348 0x00010d61 0x00417b61 4   6    .rsrc   utf8    F!ҋj blocks=Basic Latin,Cyrillic
1349 0x00010e01 0x00417c01 8   12   .rsrc   utf8    (+fӊ鬢(\e* blocks=Basic Latin,Cyrillic,CJK Unified Ideographs
1350 0x00010e1a 0x00417c1a 4   5    .rsrc   ascii   bo!8
1351 0x00010e24 0x00417c24 4   6    .rsrc   utf8    K=Ҹr blocks=Basic Latin,Cyrillic
1352 0x00010e52 0x00417c52 6   7    .rsrc   ascii   y6/_`6
1353 0x00010e8f 0x00417c8f 4   5    .rsrc   ascii   \t.(n
1354 0x00010ea8 0x00417ca8 4   5    .rsrc   ascii   r4b:
1355 0x00010f4b 0x00417d4b 4   5    .rsrc   ascii   E7,o
1356 0x00010f97 0x00417d97 4   5    .rsrc   ascii   |`9D
1357 0x00010fad 0x00417dad 7   8    .rsrc   ascii   x$Qx-4A
1358 0x00010fc6 0x00417dc6 6   9    .rsrc   utf8    eEUהeì blocks=Basic Latin,Hebrew,Latin-1 Supplement
1359 0x00010fe8 0x00417de8 4   6    .rsrc   utf8    ͢p(] blocks=Combining Diacritical Marks,Basic Latin
1360 0x00010ff9 0x00417df9 4   5    .rsrc   ascii   ]|Y0
1361 0x00011050 0x00417e50 4   5    .rsrc   ascii   8`gw
1362 0x0001106a 0x00417e6a 4   5    .rsrc   ascii   z(c(
1363 0x00011083 0x00417e83 5   6    .rsrc   ascii   AB`ZL
1364 0x000110fc 0x00417efc 4   5    .rsrc   ascii   [n#A
1365 0x0001113c 0x00417f3c 4   5    .rsrc   ascii   x<.O
1366 0x00011178 0x00417f78 6   8    .rsrc   utf8    "3Ycڹ\r blocks=Basic Latin,Arabic
1367 0x0001119a 0x00417f9a 4   5    .rsrc   ascii   B hM
1368 0x000111a9 0x00417fa9 4   5    .rsrc   ascii   xPB@
1369 0x000111c8 0x00417fc8 6   7    .rsrc   ascii   n}\bQc>
1370 0x000111d0 0x00417fd0 7   9    .rsrc   utf8    P6\rӢd:- blocks=Basic Latin,Cyrillic
1371 0x000111f4 0x00417ff4 4   5    .rsrc   ascii   l^a6
1372 0x00011212 0x00418012 4   5    .rsrc   ascii   F(_Q
1373 0x000112a8 0x004180a8 10  11   .rsrc   ascii   ,G%\t*MQ&!(
1374 0x000112db 0x004180db 5   7    .rsrc   utf8    ;ɓ;K| blocks=Basic Latin,IPA Extensions
1375 0x00011326 0x00418126 4   5    .rsrc   ascii   @')8
1376 0x0001134c 0x0041814c 4   5    .rsrc   ascii   V3Tw
1377 0x00011368 0x00418168 4   5    .rsrc   ascii   \fGSF
1378 0x00011379 0x00418179 4   5    .rsrc   ascii   *nN=
1379 0x0001139f 0x0041819f 7   8    .rsrc   ascii   q!Rx}4C
1380 0x000113d6 0x004181d6 4   5    .rsrc   ascii   noRN
1381 0x000113f1 0x004181f1 4   5    .rsrc   ascii   nN+3
1382 0x0001144d 0x0041824d 4   5    .rsrc   ascii   V\nA,
1383 0x00011452 0x00418252 4   5    .rsrc   ascii   %Gw9
1384 0x00011483 0x00418283 4   5    .rsrc   ascii   *IIZ
1385 0x000114b3 0x004182b3 5   6    .rsrc   ascii   \ ?u3
